	OrthologID	Candida_sorboxylosa	Saccharomyces_cerevisiae
10	OG0000010	-processed-gene-0.70-mRNA-1_1&gene=augustus_masked-gi|1002316170|dbj|BCGC01000008.1|-processed-gene-0.70&CDS=1-1764, -processed-gene-1.76-mRNA-1_1&gene=augustus_masked-gi|1002316169|dbj|BCGC01000009.1|-processed-gene-1.76&CDS=1-1713	YDR380W, YGR087C, YLR044C, YLR134W
11	OG0000011	-processed-gene-0.54-mRNA-1_1&gene=augustus_masked-gi|1002316174|dbj|BCGC01000004.1|-processed-gene-0.54&CDS=1-1662, -processed-gene-1.82-mRNA-1_1&gene=augustus_masked-gi|1002316169|dbj|BCGC01000009.1|-processed-gene-1.82&CDS=1-1680, -processed-gene-29.60-mRNA-1_1&gene=augustus_masked-gi|1002316177|dbj|BCGC01000001.1|-processed-gene-29.60&CDS=1-1695, -processed-gene-5.21-mRNA-1_1&gene=augustus_masked-gi|1002316177|dbj|BCGC01000001.1|-processed-gene-5.21&CDS=1-1662, -processed-gene-6.71-mRNA-1_1&gene=augustus_masked-gi|1002316174|dbj|BCGC01000004.1|-processed-gene-6.71&CDS=1-1605	YDL210W
12	OG0000012	-processed-gene-0.47-mRNA-1_1&gene=augustus_masked-gi|1002316173|dbj|BCGC01000005.1|-processed-gene-0.47&CDS=1-813, -processed-gene-0.81-mRNA-1_1&gene=snap_masked-gi|1002316173|dbj|BCGC01000005.1|-processed-gene-0.81&CDS=1-690, -processed-gene-2.67-mRNA-1_1&gene=augustus_masked-gi|1002316177|dbj|BCGC01000001.1|-processed-gene-2.67&CDS=1-945, -processed-gene-28.50-mRNA-1_1&gene=genemark-gi|1002316177|dbj|BCGC01000001.1|-processed-gene-28.50&CDS=1-2898, -processed-gene-6.59-mRNA-1_1&gene=augustus_masked-gi|1002316171|dbj|BCGC01000007.1|-processed-gene-6.59&CDS=1-1332	YOR049C
13	OG0000013	-processed-gene-11.105-mRNA-1_1&gene=augustus_masked-gi|1002316177|dbj|BCGC01000001.1|-processed-gene-11.105&CDS=1-2298, -processed-gene-2.131-mRNA-1_1&gene=snap_masked-gi|1002316176|dbj|BCGC01000002.1|-processed-gene-2.131&CDS=1-951, -processed-gene-28.40-mRNA-1_1&gene=augustus_masked-gi|1002316177|dbj|BCGC01000001.1|-processed-gene-28.40&CDS=1-1491, -processed-gene-3.105-mRNA-1_1&gene=genemark-gi|1002316174|dbj|BCGC01000004.1|-processed-gene-3.105&CDS=1-1407, -processed-gene-3.83-mRNA-1_1&gene=augustus_masked-gi|1002316176|dbj|BCGC01000002.1|-processed-gene-3.83&CDS=1-1464	YOL119C
14	OG0000014	-processed-gene-11.26-mRNA-1_1&gene=genemark-gi|1002316177|dbj|BCGC01000001.1|-processed-gene-11.26&CDS=1-807, -processed-gene-4.76-mRNA-1_1&gene=augustus_masked-gi|1002316174|dbj|BCGC01000004.1|-processed-gene-4.76&CDS=1-5109, -processed-gene-5.11-mRNA-1_1&gene=augustus_masked-gi|1002316177|dbj|BCGC01000001.1|-processed-gene-5.11&CDS=1-1665, -processed-gene-7.129-mRNA-1_1&gene=augustus_masked-gi|1002316175|dbj|BCGC01000003.1|-processed-gene-7.129&CDS=1-1671	YDR097C, YGL186C
15	OG0000015	-processed-gene-0.83-mRNA-1_1&gene=snap_masked-gi|1002316176|dbj|BCGC01000002.1|-processed-gene-0.83&CDS=1-1551, -processed-gene-10.68-mRNA-1_1&gene=augustus_masked-gi|1002316176|dbj|BCGC01000002.1|-processed-gene-10.68&CDS=1-1530, -processed-gene-10.69-mRNA-1_1&gene=augustus_masked-gi|1002316176|dbj|BCGC01000002.1|-processed-gene-10.69&CDS=1-1548, -processed-gene-21.38-mRNA-1_1&gene=augustus_masked-gi|1002316177|dbj|BCGC01000001.1|-processed-gene-21.38&CDS=1-5511	YGR260W, YPR022C
16	OG0000016	-processed-gene-3.83-mRNA-1_1&gene=snap_masked-gi|1002316177|dbj|BCGC01000001.1|-processed-gene-3.83&CDS=1-1206	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W
17	OG0000017	-processed-gene-0.58-mRNA-1_1&gene=augustus_masked-gi|1002316166|dbj|BCGC01000012.1|-processed-gene-0.58&CDS=1-384, -processed-gene-10.140-mRNA-1_1&gene=augustus_masked-gi|1002316175|dbj|BCGC01000003.1|-processed-gene-10.140&CDS=1-1143	YBR089C-A, YDL002C, YPR052C
18	OG0000018	-processed-gene-0.64-mRNA-1_1&gene=augustus_masked-gi|1002316166|dbj|BCGC01000012.1|-processed-gene-0.64&CDS=1-1806, -processed-gene-8.94-mRNA-1_1&gene=augustus_masked-gi|1002316174|dbj|BCGC01000004.1|-processed-gene-8.94&CDS=1-2703, -processed-gene-8.95-mRNA-1_1&gene=augustus_masked-gi|1002316174|dbj|BCGC01000004.1|-processed-gene-8.95&CDS=1-789	YKL046C, YMR238W
19	OG0000019	-processed-gene-0.129-mRNA-1_1&gene=augustus_masked-gi|1002316167|dbj|BCGC01000011.1|-processed-gene-0.129&CDS=1-1350, -processed-gene-30.122-mRNA-1_1&gene=snap_masked-gi|1002316177|dbj|BCGC01000001.1|-processed-gene-30.122&CDS=1-1194	YBL056W, YBR125C, YER089C
20	OG0000020	-augustus-gene-0.44-mRNA-1_1&gene=maker-gi|1002316174|dbj|BCGC01000004.1|-augustus-gene-0.44&CDS=1-2397, -processed-gene-0.104-mRNA-1_1&gene=augustus_masked-gi|1002316167|dbj|BCGC01000011.1|-processed-gene-0.104&CDS=1-2397, -processed-gene-31.52-mRNA-1_1&gene=snap_masked-gi|1002316177|dbj|BCGC01000001.1|-processed-gene-31.52&CDS=1-2361	YBR294W, YLR092W
21	OG0000021	-snap-gene-1.62-mRNA-1_1&gene=maker-gi|1002316168|dbj|BCGC01000010.1|-snap-gene-1.62&CDS=1-312	YLR154C-H, YLR156C-A, YLR157C-C, YLR159C-A
22	OG0000022	-processed-gene-1.91-mRNA-1_1&gene=augustus_masked-gi|1002316169|dbj|BCGC01000009.1|-processed-gene-1.91&CDS=1-834, -processed-gene-10.79-mRNA-1_1&gene=snap_masked-gi|1002316176|dbj|BCGC01000002.1|-processed-gene-10.79&CDS=1-2013, -processed-gene-3.43-mRNA-1_1&gene=augustus_masked-gi|1002316171|dbj|BCGC01000007.1|-processed-gene-3.43&CDS=1-840	YCR010C, YNR002C
23	OG0000023	-processed-gene-1.74-mRNA-1_1&gene=augustus_masked-gi|1002316169|dbj|BCGC01000009.1|-processed-gene-1.74&CDS=1-831, -processed-gene-28.45-mRNA-1_1&gene=augustus_masked-gi|1002316177|dbj|BCGC01000001.1|-processed-gene-28.45&CDS=1-948	YBR147W, YDR352W, YOL092W
24	OG0000024	-processed-gene-0.27-mRNA-1_1&gene=snap_masked-gi|1002316170|dbj|BCGC01000008.1|-processed-gene-0.27&CDS=1-2442, -processed-gene-5.57-mRNA-1_1&gene=genemark-gi|1002316177|dbj|BCGC01000001.1|-processed-gene-5.57&CDS=1-1560, -processed-gene-7.9-mRNA-1_1&gene=snap_masked-gi|1002316175|dbj|BCGC01000003.1|-processed-gene-7.9&CDS=1-1578	YHR206W, YOR140W
25	OG0000025	-processed-gene-2.62-mRNA-1_1&gene=augustus_masked-gi|1002316170|dbj|BCGC01000008.1|-processed-gene-2.62&CDS=1-4701, -processed-gene-20.102-mRNA-1_1&gene=augustus_masked-gi|1002316177|dbj|BCGC01000001.1|-processed-gene-20.102&CDS=1-2085	YML111W, YMR275C, YNR069C
26	OG0000026	-processed-gene-2.39-mRNA-1_1&gene=augustus_masked-gi|1002316171|dbj|BCGC01000007.1|-processed-gene-2.39&CDS=1-4116, -processed-gene-8.54-mRNA-1_1&gene=augustus_masked-gi|1002316175|dbj|BCGC01000003.1|-processed-gene-8.54&CDS=1-3594	YML072C, YNL087W, YOR086C
27	OG0000027	-processed-gene-4.84-mRNA-1_1&gene=augustus_masked-gi|1002316176|dbj|BCGC01000002.1|-processed-gene-4.84&CDS=1-3615, -snap-gene-3.76-mRNA-1_1&gene=maker-gi|1002316171|dbj|BCGC01000007.1|-snap-gene-3.76&CDS=1-5436	YDR216W, YJR127C, YML081W
28	OG0000028	-augustus-gene-27.108-mRNA-1_1&gene=maker-gi|1002316177|dbj|BCGC01000001.1|-augustus-gene-27.108&CDS=1-6567, -processed-gene-19.17-mRNA-1_1&gene=augustus_masked-gi|1002316177|dbj|BCGC01000001.1|-processed-gene-19.17&CDS=1-3867, -processed-gene-23.75-mRNA-1_1&gene=augustus_masked-gi|1002316177|dbj|BCGC01000001.1|-processed-gene-23.75&CDS=1-2649, -processed-gene-30.100-mRNA-1_1&gene=snap_masked-gi|1002316177|dbj|BCGC01000001.1|-processed-gene-30.100&CDS=1-3246, -processed-gene-5.83-mRNA-1_1&gene=augustus_masked-gi|1002316171|dbj|BCGC01000007.1|-processed-gene-5.83&CDS=1-2700	
29	OG0000029	-processed-gene-0.82-mRNA-1_1&gene=augustus_masked-gi|1002316172|dbj|BCGC01000006.1|-processed-gene-0.82&CDS=1-1773, -processed-gene-14.99-mRNA-1_1&gene=augustus_masked-gi|1002316177|dbj|BCGC01000001.1|-processed-gene-14.99&CDS=1-1794, -processed-gene-4.16-mRNA-1_1&gene=snap_masked-gi|1002316173|dbj|BCGC01000005.1|-processed-gene-4.16&CDS=1-1746, -snap-gene-0.56-mRNA-1_1&gene=maker-gi|1002316172|dbj|BCGC01000006.1|-snap-gene-0.56&CDS=1-3513	YKR039W
30	OG0000030	-processed-gene-0.55-mRNA-1_1&gene=augustus_masked-gi|1002316175|dbj|BCGC01000003.1|-processed-gene-0.55&CDS=1-468, -snap-gene-1.52-mRNA-1_1&gene=maker-gi|1002316172|dbj|BCGC01000006.1|-snap-gene-1.52&CDS=1-1863	YCL034W, YDR178W, YLR164W
31	OG0000031	-processed-gene-1.51-mRNA-1_1&gene=snap_masked-gi|1002316172|dbj|BCGC01000006.1|-processed-gene-1.51&CDS=1-1725, -processed-gene-30.18-mRNA-1_1&gene=augustus_masked-gi|1002316177|dbj|BCGC01000001.1|-processed-gene-30.18&CDS=1-1698, -processed-gene-7.85-mRNA-1_1&gene=augustus_masked-gi|1002316172|dbj|BCGC01000006.1|-processed-gene-7.85&CDS=1-1638	YJL172W, YOL153C
32	OG0000032	-processed-gene-5.67-mRNA-1_1&gene=augustus_masked-gi|1002316174|dbj|BCGC01000004.1|-processed-gene-5.67&CDS=1-3063, -snap-gene-2.2-mRNA-1_1&gene=maker-gi|1002316172|dbj|BCGC01000006.1|-snap-gene-2.2&CDS=1-1761	YFR022W, YGR068C, YOR018W
33	OG0000033	-processed-gene-7.104-mRNA-1_1&gene=augustus_masked-gi|1002316172|dbj|BCGC01000006.1|-processed-gene-7.104&CDS=1-3819, -processed-gene-7.41-mRNA-1_1&gene=snap_masked-gi|1002316176|dbj|BCGC01000002.1|-processed-gene-7.41&CDS=1-3081	YGL092W, YKL068W, YMR047C
34	OG0000034	-augustus-gene-3.107-mRNA-1_1&gene=maker-gi|1002316174|dbj|BCGC01000004.1|-augustus-gene-3.107&CDS=1-3624, -processed-gene-3.17-mRNA-1_1&gene=augustus_masked-gi|1002316174|dbj|BCGC01000004.1|-processed-gene-3.17&CDS=1-1008	YER175C, YHR209W, YLR347C
35	OG0000035	-processed-gene-4.110-mRNA-1_1&gene=genemark-gi|1002316174|dbj|BCGC01000004.1|-processed-gene-4.110&CDS=1-4536	YBL017C, YIL173W, YJL222W, YNR065C
36	OG0000036	-processed-gene-5.125-mRNA-1_1&gene=augustus_masked-gi|1002316176|dbj|BCGC01000002.1|-processed-gene-5.125&CDS=1-1761	YCL069W, YGR224W, YKR105C, YPR198W
37	OG0000037	-processed-gene-6.58-mRNA-1_1&gene=augustus_masked-gi|1002316176|dbj|BCGC01000002.1|-processed-gene-6.58&CDS=1-2007	YDR541C, YGL039W, YGL157W, YOL151W
38	OG0000038	-processed-gene-5.5-mRNA-1_1&gene=augustus_masked-gi|1002316177|dbj|BCGC01000001.1|-processed-gene-5.5&CDS=1-1602	YBR298C, YDL247W, YGR289C, YJR160C
39	OG0000039	-processed-gene-17.81-mRNA-1_1&gene=augustus_masked-gi|1002316177|dbj|BCGC01000001.1|-processed-gene-17.81&CDS=1-2970, -processed-gene-7.73-mRNA-1_1&gene=augustus_masked-gi|1002316177|dbj|BCGC01000001.1|-processed-gene-7.73&CDS=1-3333	YDR385W, YKL173W, YOR133W
40	OG0000040	-processed-gene-10.114-mRNA-1_1&gene=augustus_masked-gi|1002316177|dbj|BCGC01000001.1|-processed-gene-10.114&CDS=1-3192, -snap-gene-14.9-mRNA-1_1&gene=maker-gi|1002316177|dbj|BCGC01000001.1|-snap-gene-14.9&CDS=1-7401	YCR091W, YDR466W, YNR047W
41	OG0000041	-augustus-gene-21.106-mRNA-1_1&gene=maker-gi|1002316177|dbj|BCGC01000001.1|-augustus-gene-21.106&CDS=1-6525, -processed-gene-17.51-mRNA-1_1&gene=augustus_masked-gi|1002316177|dbj|BCGC01000001.1|-processed-gene-17.51&CDS=1-1587	YHR135C, YMR224C, YNL154C
42	OG0000042	-processed-gene-19.10-mRNA-1_1&gene=augustus_masked-gi|1002316177|dbj|BCGC01000001.1|-processed-gene-19.10&CDS=1-3219, -processed-gene-23.101-mRNA-1_1&gene=snap_masked-gi|1002316177|dbj|BCGC01000001.1|-processed-gene-23.101&CDS=1-3117	YDR038C, YDR039C, YDR040C
43	OG0000043		YKL220C, YLL051C, YNR060W, YOR381W, YOR384W
44	OG0000044	-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-gi|1002316160|dbj|BCGC01000018.1|-processed-gene-0.1&CDS=1-1026, -processed-gene-1.75-mRNA-1_1&gene=augustus_masked-gi|1002316171|dbj|BCGC01000007.1|-processed-gene-1.75&CDS=1-1389	YDL134C, YDL188C
45	OG0000045	-snap-gene-0.0-mRNA-1_1&gene=maker-gi|1002316161|dbj|BCGC01000017.1|-snap-gene-0.0&CDS=1-843	YCL067C, YCR039C, YCR096C
46	OG0000046	-processed-gene-0.202-mRNA-1_1&gene=snap_masked-gi|1002316166|dbj|BCGC01000012.1|-processed-gene-0.202&CDS=1-786, -processed-gene-0.51-mRNA-1_1&gene=augustus_masked-gi|1002316166|dbj|BCGC01000012.1|-processed-gene-0.51&CDS=1-783, -processed-gene-0.52-mRNA-1_1&gene=augustus_masked-gi|1002316166|dbj|BCGC01000012.1|-processed-gene-0.52&CDS=1-777	YOR126C
47	OG0000047	-processed-gene-0.22-mRNA-1_1&gene=augustus_masked-gi|1002316166|dbj|BCGC01000012.1|-processed-gene-0.22&CDS=1-1125, -processed-gene-10.12-mRNA-1_1&gene=genemark-gi|1002316176|dbj|BCGC01000002.1|-processed-gene-10.12&CDS=1-1041, -processed-gene-4.74-mRNA-1_1&gene=augustus_masked-gi|1002316174|dbj|BCGC01000004.1|-processed-gene-4.74&CDS=1-1056	YMR083W
48	OG0000048	-processed-gene-0.7-mRNA-1_1&gene=genemark-gi|1002316167|dbj|BCGC01000011.1|-processed-gene-0.7&CDS=1-1764, -processed-gene-3.134-mRNA-1_1&gene=snap_masked-gi|1002316176|dbj|BCGC01000002.1|-processed-gene-3.134&CDS=1-2073	YKL146W, YNL101W
49	OG0000049	-processed-gene-0.115-mRNA-1_1&gene=augustus_masked-gi|1002316167|dbj|BCGC01000011.1|-processed-gene-0.115&CDS=1-867, -processed-gene-2.9-mRNA-1_1&gene=augustus_masked-gi|1002316172|dbj|BCGC01000006.1|-processed-gene-2.9&CDS=1-1044	YFL029C, YPL031C
50	OG0000050	-processed-gene-0.98-mRNA-1_1&gene=augustus_masked-gi|1002316167|dbj|BCGC01000011.1|-processed-gene-0.98&CDS=1-1947, -processed-gene-29.49-mRNA-1_1&gene=augustus_masked-gi|1002316177|dbj|BCGC01000001.1|-processed-gene-29.49&CDS=1-1440	YBL052C, YOR244W
51	OG0000051	-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-gi|1002316168|dbj|BCGC01000010.1|-processed-gene-0.2&CDS=1-2028, -processed-gene-3.51-mRNA-1_1&gene=augustus_masked-gi|1002316172|dbj|BCGC01000006.1|-processed-gene-3.51&CDS=1-1941	YJL034W, YLL024C
52	OG0000052	-processed-gene-1.117-mRNA-1_1&gene=augustus_masked-gi|1002316168|dbj|BCGC01000010.1|-processed-gene-1.117&CDS=1-1221, -processed-gene-3.49-mRNA-1_1&gene=augustus_masked-gi|1002316174|dbj|BCGC01000004.1|-processed-gene-3.49&CDS=1-1647	YCR045C, YEL060C
53	OG0000053	-processed-gene-1.131-mRNA-1_1&gene=augustus_masked-gi|1002316168|dbj|BCGC01000010.1|-processed-gene-1.131&CDS=1-1395, -processed-gene-3.71-mRNA-1_1&gene=augustus_masked-gi|1002316173|dbj|BCGC01000005.1|-processed-gene-3.71&CDS=1-2784	YGR052W, YHR082C
54	OG0000054	-processed-gene-1.97-mRNA-1_1&gene=augustus_masked-gi|1002316169|dbj|BCGC01000009.1|-processed-gene-1.97&CDS=1-2541, -processed-gene-4.31-mRNA-1_1&gene=snap_masked-gi|1002316170|dbj|BCGC01000008.1|-processed-gene-4.31&CDS=1-1947	YDR458C, YML034W
55	OG0000055	-snap-gene-2.72-mRNA-1_1&gene=maker-gi|1002316169|dbj|BCGC01000009.1|-snap-gene-2.72&CDS=1-1437, -snap-gene-4.64-mRNA-1_1&gene=maker-gi|1002316171|dbj|BCGC01000007.1|-snap-gene-4.64&CDS=1-2433	YHR031C, YML061C
56	OG0000056	-processed-gene-0.74-mRNA-1_1&gene=augustus_masked-gi|1002316172|dbj|BCGC01000006.1|-processed-gene-0.74&CDS=1-1932, -processed-gene-2.18-mRNA-1_1&gene=snap_masked-gi|1002316169|dbj|BCGC01000009.1|-processed-gene-2.18&CDS=1-1614	YFL041W, YMR058W
57	OG0000057	-processed-gene-2.154-mRNA-1_1&gene=augustus_masked-gi|1002316169|dbj|BCGC01000009.1|-processed-gene-2.154&CDS=1-882, -processed-gene-2.158-mRNA-1_1&gene=augustus_masked-gi|1002316169|dbj|BCGC01000009.1|-processed-gene-2.158&CDS=1-1464	YFL016C, YOR254C
58	OG0000058	-processed-gene-4.128-mRNA-1_1&gene=augustus_masked-gi|1002316170|dbj|BCGC01000008.1|-processed-gene-4.128&CDS=1-636, -snap-gene-2.70-mRNA-1_1&gene=maker-gi|1002316169|dbj|BCGC01000009.1|-snap-gene-2.70&CDS=1-2145	YDR002W, YLR335W
59	OG0000059	-processed-gene-2.37-mRNA-1_1&gene=snap_masked-gi|1002316169|dbj|BCGC01000009.1|-processed-gene-2.37&CDS=1-1869, -processed-gene-9.114-mRNA-1_1&gene=augustus_masked-gi|1002316177|dbj|BCGC01000001.1|-processed-gene-9.114&CDS=1-1911	YER054C, YIL045W
60	OG0000060	-processed-gene-0.68-mRNA-1_1&gene=augustus_masked-gi|1002316170|dbj|BCGC01000008.1|-processed-gene-0.68&CDS=1-1137	YEL006W, YIL006W, YIL134W
61	OG0000061	-processed-gene-1.108-mRNA-1_1&gene=augustus_masked-gi|1002316174|dbj|BCGC01000004.1|-processed-gene-1.108&CDS=1-1473, -processed-gene-2.63-mRNA-1_1&gene=augustus_masked-gi|1002316170|dbj|BCGC01000008.1|-processed-gene-2.63&CDS=1-1869	YBR263W, YLR058C
62	OG0000062	-processed-gene-2.72-mRNA-1_1&gene=augustus_masked-gi|1002316170|dbj|BCGC01000008.1|-processed-gene-2.72&CDS=1-2013, -processed-gene-8.50-mRNA-1_1&gene=augustus_masked-gi|1002316176|dbj|BCGC01000002.1|-processed-gene-8.50&CDS=1-2022	YAL054C, YLR153C
63	OG0000063	-processed-gene-16.21-mRNA-1_1&gene=augustus_masked-gi|1002316177|dbj|BCGC01000001.1|-processed-gene-16.21&CDS=1-4380, -processed-gene-3.16-mRNA-1_1&gene=augustus_masked-gi|1002316170|dbj|BCGC01000008.1|-processed-gene-3.16&CDS=1-4485, -processed-gene-4.13-mRNA-1_1&gene=augustus_masked-gi|1002316171|dbj|BCGC01000007.1|-processed-gene-4.13&CDS=1-4464	YDR011W
64	OG0000064	-processed-gene-2.42-mRNA-1_1&gene=augustus_masked-gi|1002316171|dbj|BCGC01000007.1|-processed-gene-2.42&CDS=1-4215, -processed-gene-3.24-mRNA-1_1&gene=augustus_masked-gi|1002316170|dbj|BCGC01000008.1|-processed-gene-3.24&CDS=1-1389	YGL055W, YHR039C-A
65	OG0000065	-processed-gene-26.84-mRNA-1_1&gene=augustus_masked-gi|1002316177|dbj|BCGC01000001.1|-processed-gene-26.84&CDS=1-1668, -processed-gene-4.1-mRNA-1_1&gene=snap_masked-gi|1002316170|dbj|BCGC01000008.1|-processed-gene-4.1&CDS=1-1086	YDL225W, YJR076C
