	OrthologID	Saccharomyces_cerevisiae	yHMPu5000035679_Candida_rhagii
10	OG0000010		augustus_masked-NODE_1_length_1078932_cov_44.3637_ID_1562-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-NODE_1_length_1078932_cov_44.3637_ID_1562-processed-gene-0.19&CDS=1-2145, augustus_masked-NODE_20_length_252601_cov_47.633_ID_2704-processed-gene-1.44-mRNA-1_1&gene=augustus_masked-NODE_20_length_252601_cov_47.633_ID_2704-processed-gene-1.44&CDS=1-2016, augustus_masked-NODE_5_length_814963_cov_41.2419_ID_2115-processed-gene-3.109-mRNA-1_1&gene=augustus_masked-NODE_5_length_814963_cov_41.2419_ID_2115-processed-gene-3.109&CDS=1-2184, snap_masked-NODE_10_length_552946_cov_42.1042_ID_2312-processed-gene-4.63-mRNA-1_1&gene=snap_masked-NODE_10_length_552946_cov_42.1042_ID_2312-processed-gene-4.63&CDS=1-2631, snap_masked-NODE_20_length_252601_cov_47.633_ID_2704-processed-gene-1.177-mRNA-1_1&gene=snap_masked-NODE_20_length_252601_cov_47.633_ID_2704-processed-gene-1.177&CDS=1-2067, snap_masked-NODE_20_length_252601_cov_47.633_ID_2704-processed-gene-1.178-mRNA-1_1&gene=snap_masked-NODE_20_length_252601_cov_47.633_ID_2704-processed-gene-1.178&CDS=1-2250, snap_masked-NODE_2_length_989975_cov_44.1003_ID_1739-processed-gene-6.31-mRNA-1_1&gene=snap_masked-NODE_2_length_989975_cov_44.1003_ID_1739-processed-gene-6.31&CDS=1-2232
11	OG0000011	YBR015C, YJL186W	augustus_masked-NODE_19_length_291679_cov_42.1658_ID_2517-processed-gene-1.263-mRNA-1_1&gene=augustus_masked-NODE_19_length_291679_cov_42.1658_ID_2517-processed-gene-1.263&CDS=1-1692, augustus_masked-NODE_5_length_814963_cov_41.2419_ID_2115-processed-gene-0.76-mRNA-1_1&gene=augustus_masked-NODE_5_length_814963_cov_41.2419_ID_2115-processed-gene-0.76&CDS=1-1752, augustus_masked-NODE_9_length_641341_cov_43.475_ID_1522-processed-gene-5.23-mRNA-1_1&gene=augustus_masked-NODE_9_length_641341_cov_43.475_ID_1522-processed-gene-5.23&CDS=1-2208, snap_masked-NODE_5_length_814963_cov_41.2419_ID_2115-processed-gene-7.33-mRNA-1_1&gene=snap_masked-NODE_5_length_814963_cov_41.2419_ID_2115-processed-gene-7.33&CDS=1-1845
12	OG0000012	YBR150C, YOL089C	augustus_masked-NODE_3_length_984103_cov_43.6458_ID_5856-processed-gene-1.104-mRNA-1_1&gene=augustus_masked-NODE_3_length_984103_cov_43.6458_ID_5856-processed-gene-1.104&CDS=1-2694, augustus_masked-NODE_5_length_814963_cov_41.2419_ID_2115-processed-gene-3.93-mRNA-1_1&gene=augustus_masked-NODE_5_length_814963_cov_41.2419_ID_2115-processed-gene-3.93&CDS=1-1293, augustus_masked-NODE_6_length_723125_cov_44.3351_ID_1383-processed-gene-0.109-mRNA-1_1&gene=augustus_masked-NODE_6_length_723125_cov_44.3351_ID_1383-processed-gene-0.109&CDS=1-1818, maker-NODE_3_length_984103_cov_43.6458_ID_5856-augustus-gene-1.81-mRNA-1_1&gene=maker-NODE_3_length_984103_cov_43.6458_ID_5856-augustus-gene-1.81&CDS=1-5376
13	OG0000013	YBR207W, YER145C	augustus_masked-NODE_20_length_252601_cov_47.633_ID_2704-processed-gene-1.2-mRNA-1_1&gene=augustus_masked-NODE_20_length_252601_cov_47.633_ID_2704-processed-gene-1.2&CDS=1-1176, augustus_masked-NODE_20_length_252601_cov_47.633_ID_2704-processed-gene-1.45-mRNA-1_1&gene=augustus_masked-NODE_20_length_252601_cov_47.633_ID_2704-processed-gene-1.45&CDS=1-1320, augustus_masked-NODE_4_length_891347_cov_44.5073_ID_5516-processed-gene-4.22-mRNA-1_1&gene=augustus_masked-NODE_4_length_891347_cov_44.5073_ID_5516-processed-gene-4.22&CDS=1-1146, snap_masked-NODE_20_length_252601_cov_47.633_ID_2704-processed-gene-1.146-mRNA-1_1&gene=snap_masked-NODE_20_length_252601_cov_47.633_ID_2704-processed-gene-1.146&CDS=1-1203
14	OG0000014	YBR237W, YDR243C, YNL112W	maker-NODE_5_length_814963_cov_41.2419_ID_2115-augustus-gene-0.34-mRNA-1_1&gene=maker-NODE_5_length_814963_cov_41.2419_ID_2115-augustus-gene-0.34&CDS=1-1608, snap_masked-NODE_21_length_212649_cov_42.6514_ID_2803-processed-gene-0.47-mRNA-1_1&gene=snap_masked-NODE_21_length_212649_cov_42.6514_ID_2803-processed-gene-0.47&CDS=1-2715, snap_masked-NODE_5_length_814963_cov_41.2419_ID_2115-processed-gene-6.120-mRNA-1_1&gene=snap_masked-NODE_5_length_814963_cov_41.2419_ID_2115-processed-gene-6.120&CDS=1-3183
15	OG0000015	YBR245C, YFR038W, YOR304W	augustus_masked-NODE_2_length_989975_cov_44.1003_ID_1739-processed-gene-4.117-mRNA-1_1&gene=augustus_masked-NODE_2_length_989975_cov_44.1003_ID_1739-processed-gene-4.117&CDS=1-3156, augustus_masked-NODE_7_length_686333_cov_41.9281_ID_1972-processed-gene-1.22-mRNA-1_1&gene=augustus_masked-NODE_7_length_686333_cov_41.9281_ID_1972-processed-gene-1.22&CDS=1-3102, maker-NODE_11_length_521998_cov_45.7003_ID_1886-snap-gene-1.5-mRNA-1_1&gene=maker-NODE_11_length_521998_cov_45.7003_ID_1886-snap-gene-1.5&CDS=1-2433
16	OG0000016	YBR293W, YMR088C	augustus_masked-NODE_2_length_989975_cov_44.1003_ID_1739-processed-gene-6.117-mRNA-1_1&gene=augustus_masked-NODE_2_length_989975_cov_44.1003_ID_1739-processed-gene-6.117&CDS=1-1833, augustus_masked-NODE_2_length_989975_cov_44.1003_ID_1739-processed-gene-6.97-mRNA-1_1&gene=augustus_masked-NODE_2_length_989975_cov_44.1003_ID_1739-processed-gene-6.97&CDS=1-1746, augustus_masked-NODE_3_length_984103_cov_43.6458_ID_5856-processed-gene-5.19-mRNA-1_1&gene=augustus_masked-NODE_3_length_984103_cov_43.6458_ID_5856-processed-gene-5.19&CDS=1-1794, snap_masked-NODE_4_length_891347_cov_44.5073_ID_5516-processed-gene-7.178-mRNA-1_1&gene=snap_masked-NODE_4_length_891347_cov_44.5073_ID_5516-processed-gene-7.178&CDS=1-1680
17	OG0000017	YCL069W, YGR224W, YKR105C, YPR198W	augustus_masked-NODE_5_length_814963_cov_41.2419_ID_2115-processed-gene-1.15-mRNA-1_1&gene=augustus_masked-NODE_5_length_814963_cov_41.2419_ID_2115-processed-gene-1.15&CDS=1-1785, maker-NODE_8_length_685568_cov_43.9742_ID_2243-snap-gene-3.1-mRNA-1_1&gene=maker-NODE_8_length_685568_cov_43.9742_ID_2243-snap-gene-3.1&CDS=1-3576
18	OG0000018	YCR102C, YLR460C, YNL134C	augustus_masked-NODE_23_length_115203_cov_43.2049_ID_3069-processed-gene-0.28-mRNA-1_1&gene=augustus_masked-NODE_23_length_115203_cov_43.2049_ID_3069-processed-gene-0.28&CDS=1-1098, augustus_masked-NODE_28_length_7426_cov_133.586_ID_3778-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-NODE_28_length_7426_cov_133.586_ID_3778-processed-gene-0.6&CDS=1-1209, augustus_masked-NODE_6_length_723125_cov_44.3351_ID_1383-processed-gene-0.110-mRNA-1_1&gene=augustus_masked-NODE_6_length_723125_cov_44.3351_ID_1383-processed-gene-0.110&CDS=1-1221
19	OG0000019	YDL025C, YNL183C, YOR267C	augustus_masked-NODE_10_length_552946_cov_42.1042_ID_2312-processed-gene-0.104-mRNA-1_1&gene=augustus_masked-NODE_10_length_552946_cov_42.1042_ID_2312-processed-gene-0.104&CDS=1-2619, augustus_masked-NODE_15_length_335479_cov_41.8187_ID_2549-processed-gene-1.102-mRNA-1_1&gene=augustus_masked-NODE_15_length_335479_cov_41.8187_ID_2549-processed-gene-1.102&CDS=1-1725, augustus_masked-NODE_6_length_723125_cov_44.3351_ID_1383-processed-gene-6.3-mRNA-1_1&gene=augustus_masked-NODE_6_length_723125_cov_44.3351_ID_1383-processed-gene-6.3&CDS=1-2004
20	OG0000020	YDL132W, YGR003W, YJL047C	augustus_masked-NODE_7_length_686333_cov_41.9281_ID_1972-processed-gene-4.127-mRNA-1_1&gene=augustus_masked-NODE_7_length_686333_cov_41.9281_ID_1972-processed-gene-4.127&CDS=1-2739, augustus_masked-NODE_8_length_685568_cov_43.9742_ID_2243-processed-gene-5.44-mRNA-1_1&gene=augustus_masked-NODE_8_length_685568_cov_43.9742_ID_2243-processed-gene-5.44&CDS=1-2328, snap_masked-NODE_7_length_686333_cov_41.9281_ID_1972-processed-gene-2.37-mRNA-1_1&gene=snap_masked-NODE_7_length_686333_cov_41.9281_ID_1972-processed-gene-2.37&CDS=1-2532
21	OG0000021	YDR368W, YOR120W	augustus_masked-NODE_15_length_335479_cov_41.8187_ID_2549-processed-gene-2.15-mRNA-1_1&gene=augustus_masked-NODE_15_length_335479_cov_41.8187_ID_2549-processed-gene-2.15&CDS=1-912, augustus_masked-NODE_15_length_335479_cov_41.8187_ID_2549-processed-gene-2.45-mRNA-1_1&gene=augustus_masked-NODE_15_length_335479_cov_41.8187_ID_2549-processed-gene-2.45&CDS=1-915, augustus_masked-NODE_17_length_319834_cov_46.5835_ID_2197-processed-gene-2.56-mRNA-1_1&gene=augustus_masked-NODE_17_length_319834_cov_46.5835_ID_2197-processed-gene-2.56&CDS=1-915, snap_masked-NODE_17_length_319834_cov_46.5835_ID_2197-processed-gene-2.96-mRNA-1_1&gene=snap_masked-NODE_17_length_319834_cov_46.5835_ID_2197-processed-gene-2.96&CDS=1-927
22	OG0000022	YDR380W, YLR044C	augustus_masked-NODE_1_length_1078932_cov_44.3637_ID_1562-processed-gene-9.227-mRNA-1_1&gene=augustus_masked-NODE_1_length_1078932_cov_44.3637_ID_1562-processed-gene-9.227&CDS=1-1869, augustus_masked-NODE_20_length_252601_cov_47.633_ID_2704-processed-gene-0.99-mRNA-1_1&gene=augustus_masked-NODE_20_length_252601_cov_47.633_ID_2704-processed-gene-0.99&CDS=1-1689, augustus_masked-NODE_20_length_252601_cov_47.633_ID_2704-processed-gene-1.60-mRNA-1_1&gene=augustus_masked-NODE_20_length_252601_cov_47.633_ID_2704-processed-gene-1.60&CDS=1-1710, augustus_masked-NODE_3_length_984103_cov_43.6458_ID_5856-processed-gene-5.34-mRNA-1_1&gene=augustus_masked-NODE_3_length_984103_cov_43.6458_ID_5856-processed-gene-5.34&CDS=1-1767
23	OG0000023	YDR523C, YHR102W, YML131W	augustus_masked-NODE_10_length_552946_cov_42.1042_ID_2312-processed-gene-4.199-mRNA-1_1&gene=augustus_masked-NODE_10_length_552946_cov_42.1042_ID_2312-processed-gene-4.199&CDS=1-2436, augustus_masked-NODE_20_length_252601_cov_47.633_ID_2704-processed-gene-0.108-mRNA-1_1&gene=augustus_masked-NODE_20_length_252601_cov_47.633_ID_2704-processed-gene-0.108&CDS=1-5439, augustus_masked-NODE_5_length_814963_cov_41.2419_ID_2115-processed-gene-1.5-mRNA-1_1&gene=augustus_masked-NODE_5_length_814963_cov_41.2419_ID_2115-processed-gene-1.5&CDS=1-1263
24	OG0000024	YER015W, YPL235W	augustus_masked-NODE_3_length_984103_cov_43.6458_ID_5856-processed-gene-4.10-mRNA-1_1&gene=augustus_masked-NODE_3_length_984103_cov_43.6458_ID_5856-processed-gene-4.10&CDS=1-2202, augustus_masked-NODE_3_length_984103_cov_43.6458_ID_5856-processed-gene-8.76-mRNA-1_1&gene=augustus_masked-NODE_3_length_984103_cov_43.6458_ID_5856-processed-gene-8.76&CDS=1-2199, augustus_masked-NODE_7_length_686333_cov_41.9281_ID_1972-processed-gene-5.258-mRNA-1_1&gene=augustus_masked-NODE_7_length_686333_cov_41.9281_ID_1972-processed-gene-5.258&CDS=1-2178, snap_masked-NODE_6_length_723125_cov_44.3351_ID_1383-processed-gene-4.17-mRNA-1_1&gene=snap_masked-NODE_6_length_723125_cov_44.3351_ID_1383-processed-gene-4.17&CDS=1-3681
25	OG0000025	YGL257C, YNR059W	augustus_masked-NODE_14_length_382939_cov_48.858_ID_2359-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-NODE_14_length_382939_cov_48.858_ID_2359-processed-gene-0.3&CDS=1-2352, augustus_masked-NODE_14_length_382939_cov_48.858_ID_2359-processed-gene-2.32-mRNA-1_1&gene=augustus_masked-NODE_14_length_382939_cov_48.858_ID_2359-processed-gene-2.32&CDS=1-1716, augustus_masked-NODE_1_length_1078932_cov_44.3637_ID_1562-processed-gene-3.1-mRNA-1_1&gene=augustus_masked-NODE_1_length_1078932_cov_44.3637_ID_1562-processed-gene-3.1&CDS=1-2625, snap_masked-NODE_3_length_984103_cov_43.6458_ID_5856-processed-gene-8.233-mRNA-1_1&gene=snap_masked-NODE_3_length_984103_cov_43.6458_ID_5856-processed-gene-8.233&CDS=1-2031
26	OG0000026	YGR249W, YHR206W, YOR140W	augustus_masked-NODE_5_length_814963_cov_41.2419_ID_2115-processed-gene-2.150-mRNA-1_1&gene=augustus_masked-NODE_5_length_814963_cov_41.2419_ID_2115-processed-gene-2.150&CDS=1-1986, augustus_masked-NODE_8_length_685568_cov_43.9742_ID_2243-processed-gene-2.4-mRNA-1_1&gene=augustus_masked-NODE_8_length_685568_cov_43.9742_ID_2243-processed-gene-2.4&CDS=1-1620, augustus_masked-NODE_8_length_685568_cov_43.9742_ID_2243-processed-gene-4.8-mRNA-1_1&gene=augustus_masked-NODE_8_length_685568_cov_43.9742_ID_2243-processed-gene-4.8&CDS=1-2550
27	OG0000027	YIL126W, YKR008W, YOR290C	augustus_masked-NODE_13_length_385540_cov_42.6626_ID_2160-processed-gene-1.123-mRNA-1_1&gene=augustus_masked-NODE_13_length_385540_cov_42.6626_ID_2160-processed-gene-1.123&CDS=1-4752, augustus_masked-NODE_2_length_989975_cov_44.1003_ID_1739-processed-gene-7.10-mRNA-1_1&gene=augustus_masked-NODE_2_length_989975_cov_44.1003_ID_1739-processed-gene-7.10&CDS=1-1800, augustus_masked-NODE_2_length_989975_cov_44.1003_ID_1739-processed-gene-7.48-mRNA-1_1&gene=augustus_masked-NODE_2_length_989975_cov_44.1003_ID_1739-processed-gene-7.48&CDS=1-3897
28	OG0000028	YJL218W, YOL055C, YPL258C, YPR121W	augustus_masked-NODE_10_length_552946_cov_42.1042_ID_2312-processed-gene-1.1-mRNA-1_1&gene=augustus_masked-NODE_10_length_552946_cov_42.1042_ID_2312-processed-gene-1.1&CDS=1-702, augustus_masked-NODE_12_length_464382_cov_45.288_ID_2588-processed-gene-3.200-mRNA-1_1&gene=augustus_masked-NODE_12_length_464382_cov_45.288_ID_2588-processed-gene-3.200&CDS=1-2343
