	OrthologID	Saccharomyces_cerevisiae	yHMPu5000035244_Candida_incommunis
10	OG0000010	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W	snap_masked-NODE_2_length_1412833_cov_13.0169_ID_4150-processed-gene-10.62-mRNA-1_1&gene=snap_masked-NODE_2_length_1412833_cov_13.0169_ID_4150-processed-gene-10.62&CDS=1-1761
11	OG0000011	YBR149W, YDR368W, YOR120W	snap_masked-NODE_13_length_312288_cov_11.694_ID_2990-processed-gene-1.75-mRNA-1_1&gene=snap_masked-NODE_13_length_312288_cov_11.694_ID_2990-processed-gene-1.75&CDS=1-921, snap_masked-NODE_22_length_132583_cov_12.2165_ID_3666-processed-gene-0.159-mRNA-1_1&gene=snap_masked-NODE_22_length_132583_cov_12.2165_ID_3666-processed-gene-0.159&CDS=1-930, snap_masked-NODE_7_length_413013_cov_12.0337_ID_2331-processed-gene-2.72-mRNA-1_1&gene=snap_masked-NODE_7_length_413013_cov_12.0337_ID_2331-processed-gene-2.72&CDS=1-921
12	OG0000012	YBR160W, YKL139W, YPR161C	snap_masked-NODE_21_length_150314_cov_12.5994_ID_3325-processed-gene-0.170-mRNA-1_1&gene=snap_masked-NODE_21_length_150314_cov_12.5994_ID_3325-processed-gene-0.170&CDS=1-1947, snap_masked-NODE_3_length_1052257_cov_11.8842_ID_2282-processed-gene-3.144-mRNA-1_1&gene=snap_masked-NODE_3_length_1052257_cov_11.8842_ID_2282-processed-gene-3.144&CDS=1-948, snap_masked-NODE_6_length_501818_cov_23.4458_ID_4631-processed-gene-0.47-mRNA-1_1&gene=snap_masked-NODE_6_length_501818_cov_23.4458_ID_4631-processed-gene-0.47&CDS=1-1377
13	OG0000013	YBR240C	maker-NODE_5_length_530706_cov_14.5995_ID_2386-snap-gene-4.77-mRNA-1_1&gene=maker-NODE_5_length_530706_cov_14.5995_ID_2386-snap-gene-4.77&CDS=1-2112, snap_masked-NODE_10_length_351285_cov_13.1473_ID_2714-processed-gene-2.142-mRNA-1_1&gene=snap_masked-NODE_10_length_351285_cov_13.1473_ID_2714-processed-gene-2.142&CDS=1-1734, snap_masked-NODE_18_length_174238_cov_11.7413_ID_3486-processed-gene-0.197-mRNA-1_1&gene=snap_masked-NODE_18_length_174238_cov_11.7413_ID_3486-processed-gene-0.197&CDS=1-1632, snap_masked-NODE_2_length_1412833_cov_13.0169_ID_4150-processed-gene-8.84-mRNA-1_1&gene=snap_masked-NODE_2_length_1412833_cov_13.0169_ID_4150-processed-gene-8.84&CDS=1-1116, snap_masked-NODE_8_length_374505_cov_11.8115_ID_2888-processed-gene-1.74-mRNA-1_1&gene=snap_masked-NODE_8_length_374505_cov_11.8115_ID_2888-processed-gene-1.74&CDS=1-2220
14	OG0000014	YBR298C, YDL247W, YGR289C, YJR160C	snap_masked-NODE_12_length_331695_cov_12.2395_ID_3419-processed-gene-1.59-mRNA-1_1&gene=snap_masked-NODE_12_length_331695_cov_12.2395_ID_3419-processed-gene-1.59&CDS=1-1662, snap_masked-NODE_12_length_331695_cov_12.2395_ID_3419-processed-gene-1.79-mRNA-1_1&gene=snap_masked-NODE_12_length_331695_cov_12.2395_ID_3419-processed-gene-1.79&CDS=1-1659
15	OG0000015	YDR541C, YGL039W, YGL157W, YOL151W	maker-NODE_2_length_1412833_cov_13.0169_ID_4150-snap-gene-12.95-mRNA-1_1&gene=maker-NODE_2_length_1412833_cov_13.0169_ID_4150-snap-gene-12.95&CDS=1-2007, snap_masked-NODE_1_length_1840166_cov_12.6323_ID_4854-processed-gene-0.13-mRNA-1_1&gene=snap_masked-NODE_1_length_1840166_cov_12.6323_ID_4854-processed-gene-0.13&CDS=1-1080
16	OG0000016	YHR179W, YPL171C	snap_masked-NODE_12_length_331695_cov_12.2395_ID_3419-processed-gene-0.17-mRNA-1_1&gene=snap_masked-NODE_12_length_331695_cov_12.2395_ID_3419-processed-gene-0.17&CDS=1-1107, snap_masked-NODE_18_length_174238_cov_11.7413_ID_3486-processed-gene-0.261-mRNA-1_1&gene=snap_masked-NODE_18_length_174238_cov_11.7413_ID_3486-processed-gene-0.261&CDS=1-1080, snap_masked-NODE_9_length_356444_cov_16.9862_ID_3087-processed-gene-0.84-mRNA-1_1&gene=snap_masked-NODE_9_length_356444_cov_16.9862_ID_3087-processed-gene-0.84&CDS=1-1101, snap_masked-NODE_9_length_356444_cov_16.9862_ID_3087-processed-gene-0.85-mRNA-1_1&gene=snap_masked-NODE_9_length_356444_cov_16.9862_ID_3087-processed-gene-0.85&CDS=1-1128
17	OG0000017	YIL166C	snap_masked-NODE_17_length_210857_cov_11.6476_ID_3045-processed-gene-1.72-mRNA-1_1&gene=snap_masked-NODE_17_length_210857_cov_11.6476_ID_3045-processed-gene-1.72&CDS=1-1674, snap_masked-NODE_1_length_1840166_cov_12.6323_ID_4854-processed-gene-0.19-mRNA-1_1&gene=snap_masked-NODE_1_length_1840166_cov_12.6323_ID_4854-processed-gene-0.19&CDS=1-1641, snap_masked-NODE_5_length_530706_cov_14.5995_ID_2386-processed-gene-4.169-mRNA-1_1&gene=snap_masked-NODE_5_length_530706_cov_14.5995_ID_2386-processed-gene-4.169&CDS=1-1629, snap_masked-NODE_6_length_501818_cov_23.4458_ID_4631-processed-gene-0.56-mRNA-1_1&gene=snap_masked-NODE_6_length_501818_cov_23.4458_ID_4631-processed-gene-0.56&CDS=1-1653, snap_masked-NODE_9_length_356444_cov_16.9862_ID_3087-processed-gene-0.105-mRNA-1_1&gene=snap_masked-NODE_9_length_356444_cov_16.9862_ID_3087-processed-gene-0.105&CDS=1-1632
18	OG0000018	YLR237W, YOR071C, YOR192C	snap_masked-NODE_12_length_331695_cov_12.2395_ID_3419-processed-gene-1.91-mRNA-1_1&gene=snap_masked-NODE_12_length_331695_cov_12.2395_ID_3419-processed-gene-1.91&CDS=1-1665, snap_masked-NODE_36_length_43469_cov_11.5885_ID_4309-processed-gene-0.42-mRNA-1_1&gene=snap_masked-NODE_36_length_43469_cov_11.5885_ID_4309-processed-gene-0.42&CDS=1-1665, snap_masked-NODE_4_length_1052114_cov_13.5722_ID_2567-processed-gene-2.130-mRNA-1_1&gene=snap_masked-NODE_4_length_1052114_cov_13.5722_ID_2567-processed-gene-2.130&CDS=1-1659
19	OG0000019	YMR169C, YMR170C, YOR374W	snap_masked-NODE_11_length_335467_cov_11.6945_ID_3222-processed-gene-2.25-mRNA-1_1&gene=snap_masked-NODE_11_length_335467_cov_11.6945_ID_3222-processed-gene-2.25&CDS=1-1497, snap_masked-NODE_2_length_1412833_cov_13.0169_ID_4150-processed-gene-3.130-mRNA-1_1&gene=snap_masked-NODE_2_length_1412833_cov_13.0169_ID_4150-processed-gene-3.130&CDS=1-1494, snap_masked-NODE_3_length_1052257_cov_11.8842_ID_2282-processed-gene-4.117-mRNA-1_1&gene=snap_masked-NODE_3_length_1052257_cov_11.8842_ID_2282-processed-gene-4.117&CDS=1-1485
20	OG0000020	YNL274C, YPL113C	snap_masked-NODE_12_length_331695_cov_12.2395_ID_3419-processed-gene-1.54-mRNA-1_1&gene=snap_masked-NODE_12_length_331695_cov_12.2395_ID_3419-processed-gene-1.54&CDS=1-1002, snap_masked-NODE_37_length_43167_cov_10.6707_ID_4357-processed-gene-0.11-mRNA-1_1&gene=snap_masked-NODE_37_length_43167_cov_10.6707_ID_4357-processed-gene-0.11&CDS=1-987, snap_masked-NODE_4_length_1052114_cov_13.5722_ID_2567-processed-gene-5.6-mRNA-1_1&gene=snap_masked-NODE_4_length_1052114_cov_13.5722_ID_2567-processed-gene-5.6&CDS=1-1002, snap_masked-NODE_5_length_530706_cov_14.5995_ID_2386-processed-gene-4.182-mRNA-1_1&gene=snap_masked-NODE_5_length_530706_cov_14.5995_ID_2386-processed-gene-4.182&CDS=1-1077
21	OG0000021	YAL053W, YGL139W, YPL221W	snap_masked-NODE_11_length_335467_cov_11.6945_ID_3222-processed-gene-2.5-mRNA-1_1&gene=snap_masked-NODE_11_length_335467_cov_11.6945_ID_3222-processed-gene-2.5&CDS=1-2433, snap_masked-NODE_5_length_530706_cov_14.5995_ID_2386-processed-gene-0.24-mRNA-1_1&gene=snap_masked-NODE_5_length_530706_cov_14.5995_ID_2386-processed-gene-0.24&CDS=1-2226
22	OG0000022	YBL017C, YIL173W, YJL222W, YNR065C	snap_masked-NODE_21_length_150314_cov_12.5994_ID_3325-processed-gene-0.210-mRNA-1_1&gene=snap_masked-NODE_21_length_150314_cov_12.5994_ID_3325-processed-gene-0.210&CDS=1-2460
23	OG0000023	YBR038W, YNL192W	snap_masked-NODE_29_length_73783_cov_12.348_ID_4430-processed-gene-0.44-mRNA-1_1&gene=snap_masked-NODE_29_length_73783_cov_12.348_ID_4430-processed-gene-0.44&CDS=1-2922, snap_masked-NODE_3_length_1052257_cov_11.8842_ID_2282-processed-gene-4.138-mRNA-1_1&gene=snap_masked-NODE_3_length_1052257_cov_11.8842_ID_2282-processed-gene-4.138&CDS=1-3435, snap_masked-NODE_8_length_374505_cov_11.8115_ID_2888-processed-gene-1.55-mRNA-1_1&gene=snap_masked-NODE_8_length_374505_cov_11.8115_ID_2888-processed-gene-1.55&CDS=1-3516
24	OG0000024	YBR118W, YKR084C, YPR080W	snap_masked-NODE_3_length_1052257_cov_11.8842_ID_2282-processed-gene-4.108-mRNA-1_1&gene=snap_masked-NODE_3_length_1052257_cov_11.8842_ID_2282-processed-gene-4.108&CDS=1-2496, snap_masked-NODE_6_length_501818_cov_23.4458_ID_4631-processed-gene-2.48-mRNA-1_1&gene=snap_masked-NODE_6_length_501818_cov_23.4458_ID_4631-processed-gene-2.48&CDS=1-1374
25	OG0000025	YBR260C, YDR379W, YOR127W	augustus_masked-NODE_8_length_374505_cov_11.8115_ID_2888-processed-gene-1.26-mRNA-1_1&gene=augustus_masked-NODE_8_length_374505_cov_11.8115_ID_2888-processed-gene-1.26&CDS=1-1152, maker-NODE_8_length_374505_cov_11.8115_ID_2888-snap-gene-2.87-mRNA-1_1&gene=maker-NODE_8_length_374505_cov_11.8115_ID_2888-snap-gene-2.87&CDS=1-1968
26	OG0000026	YBR297W, YFL052W, YGR288W, YPR196W	snap_masked-NODE_3_length_1052257_cov_11.8842_ID_2282-processed-gene-0.34-mRNA-1_1&gene=snap_masked-NODE_3_length_1052257_cov_11.8842_ID_2282-processed-gene-0.34&CDS=1-1821
27	OG0000027	YCL069W, YGR224W, YKR105C, YPR198W	snap_masked-NODE_4_length_1052114_cov_13.5722_ID_2567-processed-gene-2.116-mRNA-1_1&gene=snap_masked-NODE_4_length_1052114_cov_13.5722_ID_2567-processed-gene-2.116&CDS=1-1758
28	OG0000028	YDR276C, YDR525W-A, YJL151C	snap_masked-NODE_11_length_335467_cov_11.6945_ID_3222-processed-gene-2.63-mRNA-1_1&gene=snap_masked-NODE_11_length_335467_cov_11.6945_ID_3222-processed-gene-2.63&CDS=1-417, snap_masked-NODE_14_length_284106_cov_11.7931_ID_3189-processed-gene-1.31-mRNA-1_1&gene=snap_masked-NODE_14_length_284106_cov_11.7931_ID_3189-processed-gene-1.31&CDS=1-399
29	OG0000029	YDR385W, YKL173W, YOR133W	snap_masked-NODE_24_length_104618_cov_11.3685_ID_3472-processed-gene-0.30-mRNA-1_1&gene=snap_masked-NODE_24_length_104618_cov_11.3685_ID_3472-processed-gene-0.30&CDS=1-2526, snap_masked-NODE_2_length_1412833_cov_13.0169_ID_4150-processed-gene-3.107-mRNA-1_1&gene=snap_masked-NODE_2_length_1412833_cov_13.0169_ID_4150-processed-gene-3.107&CDS=1-2892
30	OG0000030	YDR387C, YDR497C, YOL103W	snap_masked-NODE_12_length_331695_cov_12.2395_ID_3419-processed-gene-2.122-mRNA-1_1&gene=snap_masked-NODE_12_length_331695_cov_12.2395_ID_3419-processed-gene-2.122&CDS=1-1326, snap_masked-NODE_3_length_1052257_cov_11.8842_ID_2282-processed-gene-7.146-mRNA-1_1&gene=snap_masked-NODE_3_length_1052257_cov_11.8842_ID_2282-processed-gene-7.146&CDS=1-1707
31	OG0000031	YDR533C, YMR322C, YOR391C, YPL280W	snap_masked-NODE_3_length_1052257_cov_11.8842_ID_2282-processed-gene-9.124-mRNA-1_1&gene=snap_masked-NODE_3_length_1052257_cov_11.8842_ID_2282-processed-gene-9.124&CDS=1-702
32	OG0000032	YER185W, YGR213C	maker-NODE_25_length_100678_cov_12.664_ID_3598-snap-gene-0.44-mRNA-1_1&gene=maker-NODE_25_length_100678_cov_12.664_ID_3598-snap-gene-0.44&CDS=1-1599, snap_masked-NODE_25_length_100678_cov_12.664_ID_3598-processed-gene-0.10-mRNA-1_1&gene=snap_masked-NODE_25_length_100678_cov_12.664_ID_3598-processed-gene-0.10&CDS=1-861, snap_masked-NODE_25_length_100678_cov_12.664_ID_3598-processed-gene-0.9-mRNA-1_1&gene=snap_masked-NODE_25_length_100678_cov_12.664_ID_3598-processed-gene-0.9&CDS=1-903
33	OG0000033	YFL039C, YJL081C	snap_masked-NODE_1_length_1840166_cov_12.6323_ID_4854-processed-gene-17.140-mRNA-1_1&gene=snap_masked-NODE_1_length_1840166_cov_12.6323_ID_4854-processed-gene-17.140&CDS=1-1233, snap_masked-NODE_3_length_1052257_cov_11.8842_ID_2282-processed-gene-5.87-mRNA-1_1&gene=snap_masked-NODE_3_length_1052257_cov_11.8842_ID_2282-processed-gene-5.87&CDS=1-1128, snap_masked-NODE_9_length_356444_cov_16.9862_ID_3087-processed-gene-0.94-mRNA-1_1&gene=snap_masked-NODE_9_length_356444_cov_16.9862_ID_3087-processed-gene-0.94&CDS=1-1230
