	OrthologID	Saccharomyces_cerevisiae	yHMPu5000041818_Magnusiomyces_tetrasperma
30	OG0000030	YKL046C	augustus_masked-flattened_line_22-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-flattened_line_22-processed-gene-0.2&CDS=1-1392, genemark-flattened_line_102-processed-gene-0.13-mRNA-1_1&gene=genemark-flattened_line_102-processed-gene-0.13&CDS=1-1359, genemark-flattened_line_128-processed-gene-0.26-mRNA-1_1&gene=genemark-flattened_line_128-processed-gene-0.26&CDS=1-1356, genemark-flattened_line_274-processed-gene-0.49-mRNA-1_1&gene=genemark-flattened_line_274-processed-gene-0.49&CDS=1-1359
31	OG0000031	YKL107W	genemark-flattened_line_22-processed-gene-1.179-mRNA-1_1&gene=genemark-flattened_line_22-processed-gene-1.179&CDS=1-981, genemark-flattened_line_84-processed-gene-0.101-mRNA-1_1&gene=genemark-flattened_line_84-processed-gene-0.101&CDS=1-1056, genemark-flattened_line_92-processed-gene-0.48-mRNA-1_1&gene=genemark-flattened_line_92-processed-gene-0.48&CDS=1-1176, snap_masked-flattened_line_30-processed-gene-0.14-mRNA-1_1&gene=snap_masked-flattened_line_30-processed-gene-0.14&CDS=1-987
32	OG0000032	YMR006C, YMR008C, YOL011W	genemark-flattened_line_166-processed-gene-0.65-mRNA-1_1&gene=genemark-flattened_line_166-processed-gene-0.65&CDS=1-1977, genemark-flattened_line_288-processed-gene-0.56-mRNA-1_1&gene=genemark-flattened_line_288-processed-gene-0.56&CDS=1-1917
33	OG0000033	YMR058W	genemark-flattened_line_146-processed-gene-0.64-mRNA-1_1&gene=genemark-flattened_line_146-processed-gene-0.64&CDS=1-1824, genemark-flattened_line_383-processed-gene-0.42-mRNA-1_1&gene=genemark-flattened_line_383-processed-gene-0.42&CDS=1-1812, genemark-flattened_line_456-processed-gene-0.16-mRNA-1_1&gene=genemark-flattened_line_456-processed-gene-0.16&CDS=1-1866, genemark-flattened_line_468-processed-gene-0.10-mRNA-1_1&gene=genemark-flattened_line_468-processed-gene-0.10&CDS=1-1824
34	OG0000034	YOL137W	augustus_masked-flattened_line_56-processed-gene-1.67-mRNA-1_1&gene=augustus_masked-flattened_line_56-processed-gene-1.67&CDS=1-1569, genemark-flattened_line_6-processed-gene-1.77-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-1.77&CDS=1-1434, maker-flattened_line_96-snap-gene-0.62-mRNA-1_1&gene=maker-flattened_line_96-snap-gene-0.62&CDS=1-1278, snap_masked-flattened_line_486-processed-gene-0.2-mRNA-1_1&gene=snap_masked-flattened_line_486-processed-gene-0.2&CDS=1-1431
35	OG0000035	YAL007C, YOR016C	genemark-flattened_line_176-processed-gene-0.67-mRNA-1_1&gene=genemark-flattened_line_176-processed-gene-0.67&CDS=1-558, genemark-flattened_line_98-processed-gene-0.99-mRNA-1_1&gene=genemark-flattened_line_98-processed-gene-0.99&CDS=1-639
36	OG0000036	YAL017W, YOL045W	maker-flattened_line_286-snap-gene-0.29-mRNA-1_1&gene=maker-flattened_line_286-snap-gene-0.29&CDS=1-3891, maker-flattened_line_320-snap-gene-0.40-mRNA-1_1&gene=maker-flattened_line_320-snap-gene-0.40&CDS=1-4494
37	OG0000037	YAL034C, YOR338W	genemark-flattened_line_733-processed-gene-0.0-mRNA-1_1&gene=genemark-flattened_line_733-processed-gene-0.0&CDS=1-1716, genemark-flattened_line_82-processed-gene-0.131-mRNA-1_1&gene=genemark-flattened_line_82-processed-gene-0.131&CDS=1-1683
38	OG0000038	YAL062W, YOR375C	genemark-flattened_line_240-processed-gene-0.78-mRNA-1_1&gene=genemark-flattened_line_240-processed-gene-0.78&CDS=1-1359, genemark-flattened_line_268-processed-gene-0.32-mRNA-1_1&gene=genemark-flattened_line_268-processed-gene-0.32&CDS=1-1359
39	OG0000039	YAL067C	genemark-flattened_line_2-processed-gene-3.126-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-3.126&CDS=1-1737, genemark-flattened_line_434-processed-gene-0.5-mRNA-1_1&gene=genemark-flattened_line_434-processed-gene-0.5&CDS=1-1752, genemark-flattened_line_66-processed-gene-0.45-mRNA-1_1&gene=genemark-flattened_line_66-processed-gene-0.45&CDS=1-1743
40	OG0000040	YAR042W, YDL019C	genemark-flattened_line_28-processed-gene-0.63-mRNA-1_1&gene=genemark-flattened_line_28-processed-gene-0.63&CDS=1-3810, maker-flattened_line_154-snap-gene-0.123-mRNA-1_1&gene=maker-flattened_line_154-snap-gene-0.123&CDS=1-3702
41	OG0000041	YBL002W, YDR224C	genemark-flattened_line_114-processed-gene-0.119-mRNA-1_1&gene=genemark-flattened_line_114-processed-gene-0.119&CDS=1-411, genemark-flattened_line_362-processed-gene-0.29-mRNA-1_1&gene=genemark-flattened_line_362-processed-gene-0.29&CDS=1-414
42	OG0000042	YBL003C, YDR225W	genemark-flattened_line_114-processed-gene-0.86-mRNA-1_1&gene=genemark-flattened_line_114-processed-gene-0.86&CDS=1-408, genemark-flattened_line_362-processed-gene-0.23-mRNA-1_1&gene=genemark-flattened_line_362-processed-gene-0.23&CDS=1-408
43	OG0000043	YBL027W, YBR084C-A	genemark-flattened_line_517-processed-gene-0.7-mRNA-1_1&gene=genemark-flattened_line_517-processed-gene-0.7&CDS=1-573, snap_masked-flattened_line_208-processed-gene-0.21-mRNA-1_1&gene=snap_masked-flattened_line_208-processed-gene-0.21&CDS=1-633
44	OG0000044	YBL043W, YJR115W	genemark-flattened_line_44-processed-gene-0.32-mRNA-1_1&gene=genemark-flattened_line_44-processed-gene-0.32&CDS=1-1026, genemark-flattened_line_72-processed-gene-0.15-mRNA-1_1&gene=genemark-flattened_line_72-processed-gene-0.15&CDS=1-885
45	OG0000045	YBL056W, YER089C	maker-flattened_line_529-snap-gene-0.7-mRNA-1_1&gene=maker-flattened_line_529-snap-gene-0.7&CDS=1-1311, snap_masked-flattened_line_401-processed-gene-0.23-mRNA-1_1&gene=snap_masked-flattened_line_401-processed-gene-0.23&CDS=1-1389
46	OG0000046	YBL067C, YER098W	maker-flattened_line_256-snap-gene-0.29-mRNA-1_1&gene=maker-flattened_line_256-snap-gene-0.29&CDS=1-2949, maker-flattened_line_46-snap-gene-1.48-mRNA-1_1&gene=maker-flattened_line_46-snap-gene-1.48&CDS=1-2772
47	OG0000047	YBL072C, YER102W	genemark-flattened_line_16-processed-gene-2.124-mRNA-1_1&gene=genemark-flattened_line_16-processed-gene-2.124&CDS=1-603, genemark-flattened_line_278-processed-gene-0.54-mRNA-1_1&gene=genemark-flattened_line_278-processed-gene-0.54&CDS=1-603
48	OG0000048	YBL085W, YER114C	genemark-flattened_line_12-processed-gene-1.89-mRNA-1_1&gene=genemark-flattened_line_12-processed-gene-1.89&CDS=1-3264, genemark-flattened_line_4-processed-gene-1.47-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-1.47&CDS=1-3012
49	OG0000049	YBL087C, YER117W	genemark-flattened_line_234-processed-gene-0.66-mRNA-1_1&gene=genemark-flattened_line_234-processed-gene-0.66&CDS=1-411, snap_masked-flattened_line_72-processed-gene-0.155-mRNA-1_1&gene=snap_masked-flattened_line_72-processed-gene-0.155&CDS=1-375
50	OG0000050	YBL089W, YER119C	genemark-flattened_line_120-processed-gene-0.101-mRNA-1_1&gene=genemark-flattened_line_120-processed-gene-0.101&CDS=1-1695, genemark-flattened_line_94-processed-gene-0.17-mRNA-1_1&gene=genemark-flattened_line_94-processed-gene-0.17&CDS=1-1818
51	OG0000051	YBL106C, YPR032W	genemark-flattened_line_0-processed-gene-4.99-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-4.99&CDS=1-2949, genemark-flattened_line_200-processed-gene-0.38-mRNA-1_1&gene=genemark-flattened_line_200-processed-gene-0.38&CDS=1-2946
52	OG0000052	YBR009C, YNL030W	genemark-flattened_line_140-processed-gene-0.56-mRNA-1_1&gene=genemark-flattened_line_140-processed-gene-0.56&CDS=1-309, genemark-flattened_line_40-processed-gene-1.110-mRNA-1_1&gene=genemark-flattened_line_40-processed-gene-1.110&CDS=1-309
53	OG0000053	YBR010W, YNL031C	genemark-flattened_line_140-processed-gene-0.39-mRNA-1_1&gene=genemark-flattened_line_140-processed-gene-0.39&CDS=1-414, genemark-flattened_line_40-processed-gene-1.87-mRNA-1_1&gene=genemark-flattened_line_40-processed-gene-1.87&CDS=1-414
54	OG0000054	YBR042C, YDR018C	augustus_masked-flattened_line_54-processed-gene-1.57-mRNA-1_1&gene=augustus_masked-flattened_line_54-processed-gene-1.57&CDS=1-2037, genemark-flattened_line_70-processed-gene-0.165-mRNA-1_1&gene=genemark-flattened_line_70-processed-gene-0.165&CDS=1-1473
55	OG0000055	YBR048W, YDR025W	genemark-flattened_line_190-processed-gene-0.26-mRNA-1_1&gene=genemark-flattened_line_190-processed-gene-0.26&CDS=1-468, genemark-flattened_line_206-processed-gene-0.94-mRNA-1_1&gene=genemark-flattened_line_206-processed-gene-0.94&CDS=1-468
56	OG0000056	YBR054W, YDR033W	genemark-flattened_line_16-processed-gene-2.99-mRNA-1_1&gene=genemark-flattened_line_16-processed-gene-2.99&CDS=1-969, genemark-flattened_line_32-processed-gene-1.15-mRNA-1_1&gene=genemark-flattened_line_32-processed-gene-1.15&CDS=1-1089
57	OG0000057	YBR066C, YDR043C	genemark-flattened_line_110-processed-gene-0.56-mRNA-1_1&gene=genemark-flattened_line_110-processed-gene-0.56&CDS=1-996, genemark-flattened_line_50-processed-gene-1.13-mRNA-1_1&gene=genemark-flattened_line_50-processed-gene-1.13&CDS=1-897
58	OG0000058	YBR078W, YDR055W	genemark-flattened_line_0-processed-gene-5.55-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-5.55&CDS=1-1218, genemark-flattened_line_228-processed-gene-0.37-mRNA-1_1&gene=genemark-flattened_line_228-processed-gene-0.37&CDS=1-1236
59	OG0000059	YBR089C-A, YPR052C	genemark-flattened_line_132-processed-gene-0.28-mRNA-1_1&gene=genemark-flattened_line_132-processed-gene-0.28&CDS=1-333, snap_masked-flattened_line_188-processed-gene-0.36-mRNA-1_1&gene=snap_masked-flattened_line_188-processed-gene-0.36&CDS=1-360
60	OG0000060	YBR140C, YOL081W	augustus_masked-flattened_line_54-processed-gene-1.67-mRNA-1_1&gene=augustus_masked-flattened_line_54-processed-gene-1.67&CDS=1-8895, snap_masked-flattened_line_70-processed-gene-0.16-mRNA-1_1&gene=snap_masked-flattened_line_70-processed-gene-0.16&CDS=1-9285
61	OG0000061	YBR150C, YOL089C	snap_masked-flattened_line_196-processed-gene-0.2-mRNA-1_1&gene=snap_masked-flattened_line_196-processed-gene-0.2&CDS=1-2724, snap_masked-flattened_line_298-processed-gene-0.29-mRNA-1_1&gene=snap_masked-flattened_line_298-processed-gene-0.29&CDS=1-1524
62	OG0000062	YBR181C, YPL090C	augustus_masked-flattened_line_100-processed-gene-0.61-mRNA-1_1&gene=augustus_masked-flattened_line_100-processed-gene-0.61&CDS=1-732, augustus_masked-flattened_line_116-processed-gene-0.51-mRNA-1_1&gene=augustus_masked-flattened_line_116-processed-gene-0.51&CDS=1-732
63	OG0000063	YBR182C, YPL089C	genemark-flattened_line_100-processed-gene-0.12-mRNA-1_1&gene=genemark-flattened_line_100-processed-gene-0.12&CDS=1-2940, genemark-flattened_line_116-processed-gene-0.0-mRNA-1_1&gene=genemark-flattened_line_116-processed-gene-0.0&CDS=1-2409
64	OG0000064	YBR183W, YPL087W	genemark-flattened_line_128-processed-gene-0.17-mRNA-1_1&gene=genemark-flattened_line_128-processed-gene-0.17&CDS=1-933, genemark-flattened_line_316-processed-gene-0.6-mRNA-1_1&gene=genemark-flattened_line_316-processed-gene-0.6&CDS=1-894
65	OG0000065	YBR189W, YPL081W	maker-flattened_line_14-snap-gene-1.41-mRNA-1_1&gene=maker-flattened_line_14-snap-gene-1.41&CDS=1-1038, maker-flattened_line_144-snap-gene-0.22-mRNA-1_1&gene=maker-flattened_line_144-snap-gene-0.22&CDS=1-1173
66	OG0000066	YBR210W, YGL054C	snap_masked-flattened_line_168-processed-gene-0.90-mRNA-1_1&gene=snap_masked-flattened_line_168-processed-gene-0.90&CDS=1-579, snap_masked-flattened_line_68-processed-gene-0.153-mRNA-1_1&gene=snap_masked-flattened_line_68-processed-gene-0.153&CDS=1-408
67	OG0000067	YBR214W, YGL056C	genemark-flattened_line_30-processed-gene-1.63-mRNA-1_1&gene=genemark-flattened_line_30-processed-gene-1.63&CDS=1-1596, genemark-flattened_line_90-processed-gene-0.22-mRNA-1_1&gene=genemark-flattened_line_90-processed-gene-0.22&CDS=1-1470
68	OG0000068	YCL011C, YNL004W	augustus_masked-flattened_line_4-processed-gene-2.42-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-2.42&CDS=1-1389, genemark-flattened_line_62-processed-gene-0.87-mRNA-1_1&gene=genemark-flattened_line_62-processed-gene-0.87&CDS=1-1173
69	OG0000069	YCL036W, YDR514C	genemark-flattened_line_678-processed-gene-0.4-mRNA-1_1&gene=genemark-flattened_line_678-processed-gene-0.4&CDS=1-1320, snap_masked-flattened_line_428-processed-gene-0.28-mRNA-1_1&gene=snap_masked-flattened_line_428-processed-gene-0.28&CDS=1-570
70	OG0000070	YCL037C, YDR515W	augustus_masked-flattened_line_254-processed-gene-0.43-mRNA-1_1&gene=augustus_masked-flattened_line_254-processed-gene-0.43&CDS=1-1881, genemark-flattened_line_482-processed-gene-0.14-mRNA-1_1&gene=genemark-flattened_line_482-processed-gene-0.14&CDS=1-1854
71	OG0000071	YCL040W, YDR516C	genemark-flattened_line_14-processed-gene-1.78-mRNA-1_1&gene=genemark-flattened_line_14-processed-gene-1.78&CDS=1-1467, genemark-flattened_line_144-processed-gene-0.30-mRNA-1_1&gene=genemark-flattened_line_144-processed-gene-0.30&CDS=1-1467
72	OG0000072	YCR031C, YJL191W	genemark-flattened_line_40-processed-gene-1.75-mRNA-1_1&gene=genemark-flattened_line_40-processed-gene-1.75&CDS=1-432, genemark-flattened_line_6-processed-gene-1.83-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-1.83&CDS=1-426
73	OG0000073	YCR053W, YNR023W	genemark-flattened_line_266-processed-gene-0.58-mRNA-1_1&gene=genemark-flattened_line_266-processed-gene-0.58&CDS=1-1452, maker-flattened_line_208-augustus-gene-0.5-mRNA-1_1&gene=maker-flattened_line_208-augustus-gene-0.5&CDS=1-3045
74	OG0000074	YCR073W-A, YNR034W	genemark-flattened_line_56-processed-gene-1.33-mRNA-1_1&gene=genemark-flattened_line_56-processed-gene-1.33&CDS=1-1032, genemark-flattened_line_96-processed-gene-0.149-mRNA-1_1&gene=genemark-flattened_line_96-processed-gene-0.149&CDS=1-1068
