	OrthologID	Saccharomyces_cerevisiae	yHMPu5000035252_Yamadazyma_nakazawae
10	OG0000010	YER156C, YJL039C	genemark-NODE_19_length_213459_cov_13.3265_ID_7339-processed-gene-1.174-mRNA-1_1&gene=genemark-NODE_19_length_213459_cov_13.3265_ID_7339-processed-gene-1.174&CDS=1-1506, genemark-NODE_4_length_415900_cov_12.7607_ID_11117-processed-gene-0.15-mRNA-1_1&gene=genemark-NODE_4_length_415900_cov_12.7607_ID_11117-processed-gene-0.15&CDS=1-6696, genemark-NODE_54_length_44976_cov_18.8765_ID_10368-processed-gene-0.16-mRNA-1_1&gene=genemark-NODE_54_length_44976_cov_18.8765_ID_10368-processed-gene-0.16&CDS=1-1488, genemark-NODE_9_length_305470_cov_12.6467_ID_19013-processed-gene-0.62-mRNA-1_1&gene=genemark-NODE_9_length_305470_cov_12.6467_ID_19013-processed-gene-0.62&CDS=1-1566, maker-NODE_3_length_599222_cov_12.9438_ID_5790-augustus-gene-1.48-mRNA-1_1&gene=maker-NODE_3_length_599222_cov_12.9438_ID_5790-augustus-gene-1.48&CDS=1-2793
11	OG0000011	YFL021W, YKR034W	augustus_masked-NODE_23_length_167091_cov_13.5911_ID_21877-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-NODE_23_length_167091_cov_13.5911_ID_21877-processed-gene-0.12&CDS=1-1869, genemark-NODE_10_length_282863_cov_12.4527_ID_7779-processed-gene-1.48-mRNA-1_1&gene=genemark-NODE_10_length_282863_cov_12.4527_ID_7779-processed-gene-1.48&CDS=1-1554, genemark-NODE_13_length_255115_cov_12.4676_ID_6338-processed-gene-1.20-mRNA-1_1&gene=genemark-NODE_13_length_255115_cov_12.4676_ID_6338-processed-gene-1.20&CDS=1-1353, genemark-NODE_26_length_159190_cov_12.3925_ID_9832-processed-gene-0.200-mRNA-1_1&gene=genemark-NODE_26_length_159190_cov_12.3925_ID_9832-processed-gene-0.200&CDS=1-1128, genemark-NODE_38_length_84095_cov_12.2823_ID_6850-processed-gene-0.101-mRNA-1_1&gene=genemark-NODE_38_length_84095_cov_12.2823_ID_6850-processed-gene-0.101&CDS=1-1602
12	OG0000012	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W	maker-NODE_20_length_209557_cov_13.2788_ID_6668-snap-gene-1.120-mRNA-1_1&gene=maker-NODE_20_length_209557_cov_13.2788_ID_6668-snap-gene-1.120&CDS=1-2661
13	OG0000013	YBR025C, YGL257C, YNR059W	genemark-NODE_4_length_415900_cov_12.7607_ID_11117-processed-gene-1.145-mRNA-1_1&gene=genemark-NODE_4_length_415900_cov_12.7607_ID_11117-processed-gene-1.145&CDS=1-2328, maker-NODE_3_length_599222_cov_12.9438_ID_5790-augustus-gene-3.170-mRNA-1_1&gene=maker-NODE_3_length_599222_cov_12.9438_ID_5790-augustus-gene-3.170&CDS=1-3321, maker-NODE_43_length_70399_cov_12.9179_ID_10329-augustus-gene-0.105-mRNA-1_1&gene=maker-NODE_43_length_70399_cov_12.9179_ID_10329-augustus-gene-0.105&CDS=1-1893
14	OG0000014	YBR139W, YMR297W	genemark-NODE_21_length_185025_cov_12.6498_ID_12573-processed-gene-0.195-mRNA-1_1&gene=genemark-NODE_21_length_185025_cov_12.6498_ID_12573-processed-gene-0.195&CDS=1-1608, genemark-NODE_26_length_159190_cov_12.3925_ID_9832-processed-gene-0.204-mRNA-1_1&gene=genemark-NODE_26_length_159190_cov_12.3925_ID_9832-processed-gene-0.204&CDS=1-1638, genemark-NODE_8_length_314679_cov_12.7556_ID_10232-processed-gene-0.45-mRNA-1_1&gene=genemark-NODE_8_length_314679_cov_12.7556_ID_10232-processed-gene-0.45&CDS=1-1608, maker-NODE_13_length_255115_cov_12.4676_ID_6338-augustus-gene-1.88-mRNA-1_1&gene=maker-NODE_13_length_255115_cov_12.4676_ID_6338-augustus-gene-1.88&CDS=1-3150
15	OG0000015	YDL056W	augustus_masked-NODE_69_length_20222_cov_12.4036_ID_14554-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-NODE_69_length_20222_cov_12.4036_ID_14554-processed-gene-0.10&CDS=1-4305, genemark-NODE_17_length_225366_cov_13.4869_ID_18054-processed-gene-1.65-mRNA-1_1&gene=genemark-NODE_17_length_225366_cov_13.4869_ID_18054-processed-gene-1.65&CDS=1-1719, genemark-NODE_47_length_61680_cov_14.5472_ID_6778-processed-gene-0.64-mRNA-1_1&gene=genemark-NODE_47_length_61680_cov_14.5472_ID_6778-processed-gene-0.64&CDS=1-1872, genemark-NODE_6_length_334944_cov_12.2087_ID_4781-processed-gene-0.111-mRNA-1_1&gene=genemark-NODE_6_length_334944_cov_12.2087_ID_4781-processed-gene-0.111&CDS=1-2775, maker-NODE_1_length_754808_cov_12.3332_ID_9967-snap-gene-6.9-mRNA-1_1&gene=maker-NODE_1_length_754808_cov_12.3332_ID_9967-snap-gene-6.9&CDS=1-4743
16	OG0000016	YDR144C, YLR120C, YLR121C	genemark-NODE_10_length_282863_cov_12.4527_ID_7779-processed-gene-1.35-mRNA-1_1&gene=genemark-NODE_10_length_282863_cov_12.4527_ID_7779-processed-gene-1.35&CDS=1-1731, genemark-NODE_5_length_413661_cov_12.9644_ID_12948-processed-gene-0.42-mRNA-1_1&gene=genemark-NODE_5_length_413661_cov_12.9644_ID_12948-processed-gene-0.42&CDS=1-1731, maker-NODE_36_length_90081_cov_12.4905_ID_12360-snap-gene-0.3-mRNA-1_1&gene=maker-NODE_36_length_90081_cov_12.4905_ID_12360-snap-gene-0.3&CDS=1-1800
17	OG0000017	YDR368W, YMR220W, YOR120W	genemark-NODE_17_length_225366_cov_13.4869_ID_18054-processed-gene-1.61-mRNA-1_1&gene=genemark-NODE_17_length_225366_cov_13.4869_ID_18054-processed-gene-1.61&CDS=1-927, genemark-NODE_28_length_142737_cov_12.6932_ID_10016-processed-gene-0.178-mRNA-1_1&gene=genemark-NODE_28_length_142737_cov_12.6932_ID_10016-processed-gene-0.178&CDS=1-927, maker-NODE_1_length_754808_cov_12.3332_ID_9967-augustus-gene-3.55-mRNA-1_1&gene=maker-NODE_1_length_754808_cov_12.3332_ID_9967-augustus-gene-3.55&CDS=1-2199
18	OG0000018	YDR380W, YLR044C, YLR134W	genemark-NODE_25_length_161012_cov_12.2977_ID_5900-processed-gene-0.27-mRNA-1_1&gene=genemark-NODE_25_length_161012_cov_12.2977_ID_5900-processed-gene-0.27&CDS=1-1770, genemark-NODE_5_length_413661_cov_12.9644_ID_12948-processed-gene-2.134-mRNA-1_1&gene=genemark-NODE_5_length_413661_cov_12.9644_ID_12948-processed-gene-2.134&CDS=1-1827, genemark-NODE_60_length_25990_cov_12.5682_ID_10083-processed-gene-0.22-mRNA-1_1&gene=genemark-NODE_60_length_25990_cov_12.5682_ID_10083-processed-gene-0.22&CDS=1-1749
19	OG0000019	YDR541C, YGL039W, YGL157W, YOL151W	genemark-NODE_47_length_61680_cov_14.5472_ID_6778-processed-gene-0.65-mRNA-1_1&gene=genemark-NODE_47_length_61680_cov_14.5472_ID_6778-processed-gene-0.65&CDS=1-1002, genemark-NODE_5_length_413661_cov_12.9644_ID_12948-processed-gene-3.15-mRNA-1_1&gene=genemark-NODE_5_length_413661_cov_12.9644_ID_12948-processed-gene-3.15&CDS=1-990
20	OG0000020	YER054C, YIL045W, YLR273C, YOR178C	genemark-NODE_22_length_173645_cov_13.0178_ID_11547-processed-gene-0.115-mRNA-1_1&gene=genemark-NODE_22_length_173645_cov_13.0178_ID_11547-processed-gene-0.115&CDS=1-1869, genemark-NODE_31_length_134740_cov_13.8432_ID_7969-processed-gene-0.172-mRNA-1_1&gene=genemark-NODE_31_length_134740_cov_13.8432_ID_7969-processed-gene-0.172&CDS=1-852
21	OG0000021	YER056C, YER060W, YER060W-A, YMR152W	augustus_masked-NODE_8_length_314679_cov_12.7556_ID_10232-processed-gene-2.88-mRNA-1_1&gene=augustus_masked-NODE_8_length_314679_cov_12.7556_ID_10232-processed-gene-2.88&CDS=1-2658, genemark-NODE_2_length_730450_cov_12.7368_ID_12397-processed-gene-6.131-mRNA-1_1&gene=genemark-NODE_2_length_730450_cov_12.7368_ID_12397-processed-gene-6.131&CDS=1-1104
22	OG0000022	YER073W, YMR169C, YMR170C	genemark-NODE_43_length_70399_cov_12.9179_ID_10329-processed-gene-0.12-mRNA-1_1&gene=genemark-NODE_43_length_70399_cov_12.9179_ID_10329-processed-gene-0.12&CDS=1-1536, maker-NODE_2_length_730450_cov_12.7368_ID_12397-snap-gene-3.122-mRNA-1_1&gene=maker-NODE_2_length_730450_cov_12.7368_ID_12397-snap-gene-3.122&CDS=1-1935, maker-NODE_8_length_314679_cov_12.7556_ID_10232-augustus-gene-2.127-mRNA-1_1&gene=maker-NODE_8_length_314679_cov_12.7556_ID_10232-augustus-gene-2.127&CDS=1-2247
23	OG0000023	YER175C, YJL089W, YMR280C	augustus_masked-NODE_2_length_730450_cov_12.7368_ID_12397-processed-gene-6.182-mRNA-1_1&gene=augustus_masked-NODE_2_length_730450_cov_12.7368_ID_12397-processed-gene-6.182&CDS=1-4491, genemark-NODE_61_length_25407_cov_11.4995_ID_11005-processed-gene-0.35-mRNA-1_1&gene=genemark-NODE_61_length_25407_cov_11.4995_ID_11005-processed-gene-0.35&CDS=1-1863, genemark-NODE_7_length_317128_cov_12.3964_ID_6211-processed-gene-2.82-mRNA-1_1&gene=genemark-NODE_7_length_317128_cov_12.3964_ID_6211-processed-gene-2.82&CDS=1-831
24	OG0000024	YGR249W, YHR206W, YOR140W	genemark-NODE_14_length_236535_cov_13.2068_ID_11582-processed-gene-1.183-mRNA-1_1&gene=genemark-NODE_14_length_236535_cov_13.2068_ID_11582-processed-gene-1.183&CDS=1-2037, genemark-NODE_37_length_84456_cov_13.2154_ID_22714-processed-gene-0.21-mRNA-1_1&gene=genemark-NODE_37_length_84456_cov_13.2154_ID_22714-processed-gene-0.21&CDS=1-1581, maker-NODE_25_length_161012_cov_12.2977_ID_5900-snap-gene-0.5-mRNA-1_1&gene=maker-NODE_25_length_161012_cov_12.2977_ID_5900-snap-gene-0.5&CDS=1-1827
25	OG0000025	YGR281W	augustus_masked-NODE_19_length_213459_cov_13.3265_ID_7339-processed-gene-1.87-mRNA-1_1&gene=augustus_masked-NODE_19_length_213459_cov_13.3265_ID_7339-processed-gene-1.87&CDS=1-4194, genemark-NODE_18_length_213741_cov_12.753_ID_10114-processed-gene-0.26-mRNA-1_1&gene=genemark-NODE_18_length_213741_cov_12.753_ID_10114-processed-gene-0.26&CDS=1-4044, genemark-NODE_19_length_213459_cov_13.3265_ID_7339-processed-gene-1.146-mRNA-1_1&gene=genemark-NODE_19_length_213459_cov_13.3265_ID_7339-processed-gene-1.146&CDS=1-4230, genemark-NODE_27_length_144887_cov_13.6552_ID_10293-processed-gene-0.196-mRNA-1_1&gene=genemark-NODE_27_length_144887_cov_13.6552_ID_10293-processed-gene-0.196&CDS=1-4122, genemark-NODE_8_length_314679_cov_12.7556_ID_10232-processed-gene-0.75-mRNA-1_1&gene=genemark-NODE_8_length_314679_cov_12.7556_ID_10232-processed-gene-0.75&CDS=1-4518
26	OG0000026	YHR047C, YIL137C, YKL157W	genemark-NODE_2_length_730450_cov_12.7368_ID_12397-processed-gene-0.102-mRNA-1_1&gene=genemark-NODE_2_length_730450_cov_12.7368_ID_12397-processed-gene-0.102&CDS=1-1683, maker-NODE_3_length_599222_cov_12.9438_ID_5790-augustus-gene-0.96-mRNA-1_1&gene=maker-NODE_3_length_599222_cov_12.9438_ID_5790-augustus-gene-0.96&CDS=1-3204, snap_masked-NODE_39_length_83989_cov_12.3709_ID_11766-processed-gene-0.55-mRNA-1_1&gene=snap_masked-NODE_39_length_83989_cov_12.3709_ID_11766-processed-gene-0.55&CDS=1-2514
27	OG0000027	YHR050W, YLR034C, YOL122C	genemark-NODE_27_length_144887_cov_13.6552_ID_10293-processed-gene-0.194-mRNA-1_1&gene=genemark-NODE_27_length_144887_cov_13.6552_ID_10293-processed-gene-0.194&CDS=1-1542, genemark-NODE_42_length_71676_cov_12.6699_ID_6741-processed-gene-0.74-mRNA-1_1&gene=genemark-NODE_42_length_71676_cov_12.6699_ID_6741-processed-gene-0.74&CDS=1-1728, maker-NODE_28_length_142737_cov_12.6932_ID_10016-augustus-gene-0.89-mRNA-1_1&gene=maker-NODE_28_length_142737_cov_12.6932_ID_10016-augustus-gene-0.89&CDS=1-2313
28	OG0000028	YIL126W, YKR008W, YOR290C	genemark-NODE_15_length_229255_cov_12.734_ID_17634-processed-gene-1.193-mRNA-1_1&gene=genemark-NODE_15_length_229255_cov_12.734_ID_17634-processed-gene-1.193&CDS=1-3741, genemark-NODE_62_length_24893_cov_12.8675_ID_11218-processed-gene-0.12-mRNA-1_1&gene=genemark-NODE_62_length_24893_cov_12.8675_ID_11218-processed-gene-0.12&CDS=1-4323, genemark-NODE_7_length_317128_cov_12.3964_ID_6211-processed-gene-0.53-mRNA-1_1&gene=genemark-NODE_7_length_317128_cov_12.3964_ID_6211-processed-gene-0.53&CDS=1-1749
29	OG0000029	YJL079C, YKR013W	augustus_masked-NODE_69_length_20222_cov_12.4036_ID_14554-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-NODE_69_length_20222_cov_12.4036_ID_14554-processed-gene-0.14&CDS=1-627, genemark-NODE_9_length_305470_cov_12.6467_ID_19013-processed-gene-2.51-mRNA-1_1&gene=genemark-NODE_9_length_305470_cov_12.6467_ID_19013-processed-gene-2.51&CDS=1-855, maker-NODE_17_length_225366_cov_13.4869_ID_18054-snap-gene-0.44-mRNA-1_1&gene=maker-NODE_17_length_225366_cov_13.4869_ID_18054-snap-gene-0.44&CDS=1-957, snap_masked-NODE_13_length_255115_cov_12.4676_ID_6338-processed-gene-0.15-mRNA-1_1&gene=snap_masked-NODE_13_length_255115_cov_12.4676_ID_6338-processed-gene-0.15&CDS=1-657
30	OG0000030	YMR008C, YOL011W	augustus_masked-NODE_2_length_730450_cov_12.7368_ID_12397-processed-gene-6.155-mRNA-1_1&gene=augustus_masked-NODE_2_length_730450_cov_12.7368_ID_12397-processed-gene-6.155&CDS=1-3054, snap_masked-NODE_24_length_164848_cov_13.2072_ID_10893-processed-gene-0.31-mRNA-1_1&gene=snap_masked-NODE_24_length_164848_cov_13.2072_ID_10893-processed-gene-0.31&CDS=1-1788, snap_masked-NODE_25_length_161012_cov_12.2977_ID_5900-processed-gene-0.193-mRNA-1_1&gene=snap_masked-NODE_25_length_161012_cov_12.2977_ID_5900-processed-gene-0.193&CDS=1-1941, snap_masked-NODE_27_length_144887_cov_13.6552_ID_10293-processed-gene-0.60-mRNA-1_1&gene=snap_masked-NODE_27_length_144887_cov_13.6552_ID_10293-processed-gene-0.60&CDS=1-1896
