	OrthologID	Saccharomyces_cerevisiae	yHMPu5000034667_Blastobotrys_serpentis
10	OG0000010		augustus_masked-flattened_line_443-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_443-processed-gene-0.1&CDS=1-351, augustus_masked-flattened_line_499-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-flattened_line_499-processed-gene-0.2&CDS=1-609, augustus_masked-flattened_line_919-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_919-processed-gene-0.0&CDS=1-300, snap_masked-flattened_line_469-processed-gene-0.2-mRNA-1_1&gene=snap_masked-flattened_line_469-processed-gene-0.2&CDS=1-657, snap_masked-flattened_line_531-processed-gene-0.1-mRNA-1_1&gene=snap_masked-flattened_line_531-processed-gene-0.1&CDS=1-477, snap_masked-flattened_line_555-processed-gene-0.0-mRNA-1_1&gene=snap_masked-flattened_line_555-processed-gene-0.0&CDS=1-477, snap_masked-flattened_line_569-processed-gene-0.0-mRNA-1_1&gene=snap_masked-flattened_line_569-processed-gene-0.0&CDS=1-477
11	OG0000011	YBR240C, YJL089W	genemark-flattened_line_116-processed-gene-0.4-mRNA-1_1&gene=genemark-flattened_line_116-processed-gene-0.4&CDS=1-498, maker-flattened_line_80-augustus-gene-0.78-mRNA-1_1&gene=maker-flattened_line_80-augustus-gene-0.78&CDS=1-1767, snap_masked-flattened_line_52-processed-gene-0.148-mRNA-1_1&gene=snap_masked-flattened_line_52-processed-gene-0.148&CDS=1-1911, snap_masked-flattened_line_68-processed-gene-0.175-mRNA-1_1&gene=snap_masked-flattened_line_68-processed-gene-0.175&CDS=1-2628
12	OG0000012	YCL074W	augustus_masked-flattened_line_395-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_395-processed-gene-0.0&CDS=1-228, snap_masked-flattened_line_1283-processed-gene-0.0-mRNA-1_1&gene=snap_masked-flattened_line_1283-processed-gene-0.0&CDS=1-186, snap_masked-flattened_line_343-processed-gene-0.0-mRNA-1_1&gene=snap_masked-flattened_line_343-processed-gene-0.0&CDS=1-177, snap_masked-flattened_line_705-processed-gene-0.2-mRNA-1_1&gene=snap_masked-flattened_line_705-processed-gene-0.2&CDS=1-375, snap_masked-flattened_line_863-processed-gene-0.2-mRNA-1_1&gene=snap_masked-flattened_line_863-processed-gene-0.2&CDS=1-318
13	OG0000013	YCR102C, YLR460C, YNL134C	maker-flattened_line_42-snap-gene-0.5-mRNA-1_1&gene=maker-flattened_line_42-snap-gene-0.5&CDS=1-4200, snap_masked-flattened_line_78-processed-gene-0.120-mRNA-1_1&gene=snap_masked-flattened_line_78-processed-gene-0.120&CDS=1-1089, snap_masked-flattened_line_78-processed-gene-0.121-mRNA-1_1&gene=snap_masked-flattened_line_78-processed-gene-0.121&CDS=1-1089
14	OG0000014	YCR107W, YDL243C, YJR155W, YNL331C	snap_masked-flattened_line_2-processed-gene-2.107-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-2.107&CDS=1-1152, snap_masked-flattened_line_46-processed-gene-1.137-mRNA-1_1&gene=snap_masked-flattened_line_46-processed-gene-1.137&CDS=1-1146
15	OG0000015	YKL222C, YLR266C, YOR162C, YOR172W	snap_masked-flattened_line_28-processed-gene-0.125-mRNA-1_1&gene=snap_masked-flattened_line_28-processed-gene-0.125&CDS=1-2526, snap_masked-flattened_line_46-processed-gene-0.59-mRNA-1_1&gene=snap_masked-flattened_line_46-processed-gene-0.59&CDS=1-2181
16	OG0000016		augustus_masked-flattened_line_124-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_124-processed-gene-0.1&CDS=1-1296, augustus_masked-flattened_line_46-processed-gene-1.9-mRNA-1_1&gene=augustus_masked-flattened_line_46-processed-gene-1.9&CDS=1-1308, snap_masked-flattened_line_14-processed-gene-1.88-mRNA-1_1&gene=snap_masked-flattened_line_14-processed-gene-1.88&CDS=1-1317, snap_masked-flattened_line_24-processed-gene-0.73-mRNA-1_1&gene=snap_masked-flattened_line_24-processed-gene-0.73&CDS=1-1311, snap_masked-flattened_line_36-processed-gene-0.18-mRNA-1_1&gene=snap_masked-flattened_line_36-processed-gene-0.18&CDS=1-1314, snap_masked-flattened_line_86-processed-gene-0.22-mRNA-1_1&gene=snap_masked-flattened_line_86-processed-gene-0.22&CDS=1-1308
17	OG0000017	YAL053W, YGL139W, YPL221W	snap_masked-flattened_line_116-processed-gene-0.62-mRNA-1_1&gene=snap_masked-flattened_line_116-processed-gene-0.62&CDS=1-2205, snap_masked-flattened_line_24-processed-gene-0.64-mRNA-1_1&gene=snap_masked-flattened_line_24-processed-gene-0.64&CDS=1-2301
18	OG0000018	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W	
19	OG0000019	YBL017C, YIL173W, YJL222W, YNR065C	maker-flattened_line_0-snap-gene-5.277-mRNA-1_1&gene=maker-flattened_line_0-snap-gene-5.277&CDS=1-4503
20	OG0000020	YBL068W-A, YBL069W, YER101C	augustus_masked-flattened_line_98-processed-gene-0.25-mRNA-1_1&gene=augustus_masked-flattened_line_98-processed-gene-0.25&CDS=1-1083, augustus_masked-flattened_line_98-processed-gene-0.26-mRNA-1_1&gene=augustus_masked-flattened_line_98-processed-gene-0.26&CDS=1-1086
21	OG0000021	YCL069W, YGR224W, YKR105C, YPR198W	maker-flattened_line_146-snap-gene-0.47-mRNA-1_1&gene=maker-flattened_line_146-snap-gene-0.47&CDS=1-1764
22	OG0000022	YDR523C, YHR102W	snap_masked-flattened_line_34-processed-gene-1.75-mRNA-1_1&gene=snap_masked-flattened_line_34-processed-gene-1.75&CDS=1-1227, snap_masked-flattened_line_56-processed-gene-0.112-mRNA-1_1&gene=snap_masked-flattened_line_56-processed-gene-0.112&CDS=1-2394, snap_masked-flattened_line_56-processed-gene-0.137-mRNA-1_1&gene=snap_masked-flattened_line_56-processed-gene-0.137&CDS=1-1491
23	OG0000023	YDR533C, YMR322C, YOR391C, YPL280W	snap_masked-flattened_line_14-processed-gene-0.57-mRNA-1_1&gene=snap_masked-flattened_line_14-processed-gene-0.57&CDS=1-723
24	OG0000024	YDR541C, YGL039W, YGL157W, YOL151W	snap_masked-flattened_line_4-processed-gene-3.199-mRNA-1_1&gene=snap_masked-flattened_line_4-processed-gene-3.199&CDS=1-1047
25	OG0000025	YGR109W-A, YGR109W-B, YIL082W, YIL082W-A	augustus_masked-flattened_line_220-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-flattened_line_220-processed-gene-0.3&CDS=1-1101
26	OG0000026	YJL073W, YMR214W	snap_masked-flattened_line_104-processed-gene-0.101-mRNA-1_1&gene=snap_masked-flattened_line_104-processed-gene-0.101&CDS=1-1479, snap_masked-flattened_line_8-processed-gene-0.92-mRNA-1_1&gene=snap_masked-flattened_line_8-processed-gene-0.92&CDS=1-1512, snap_masked-flattened_line_8-processed-gene-2.167-mRNA-1_1&gene=snap_masked-flattened_line_8-processed-gene-2.167&CDS=1-1113
27	OG0000027	YJR152W	maker-flattened_line_32-snap-gene-0.39-mRNA-1_1&gene=maker-flattened_line_32-snap-gene-0.39&CDS=1-3006, snap_masked-flattened_line_165-processed-gene-0.37-mRNA-1_1&gene=snap_masked-flattened_line_165-processed-gene-0.37&CDS=1-1506, snap_masked-flattened_line_4-processed-gene-3.214-mRNA-1_1&gene=snap_masked-flattened_line_4-processed-gene-3.214&CDS=1-1506, snap_masked-flattened_line_86-processed-gene-0.17-mRNA-1_1&gene=snap_masked-flattened_line_86-processed-gene-0.17&CDS=1-1491
28	OG0000028	YKL220C, YLL051C, YNR060W, YOR381W, YOR384W	
29	OG0000029	YMR020W, YNL172W	maker-flattened_line_10-augustus-gene-1.151-mRNA-1_1&gene=maker-flattened_line_10-augustus-gene-1.151&CDS=1-6006, snap_masked-flattened_line_283-processed-gene-0.3-mRNA-1_1&gene=snap_masked-flattened_line_283-processed-gene-0.3&CDS=1-1332, snap_masked-flattened_line_52-processed-gene-0.127-mRNA-1_1&gene=snap_masked-flattened_line_52-processed-gene-0.127&CDS=1-1341
30	OG0000030	YBL063W, YEL061C	snap_masked-flattened_line_18-processed-gene-0.106-mRNA-1_1&gene=snap_masked-flattened_line_18-processed-gene-0.106&CDS=1-3228, snap_masked-flattened_line_4-processed-gene-3.146-mRNA-1_1&gene=snap_masked-flattened_line_4-processed-gene-3.146&CDS=1-3102
31	OG0000031	YBR009C, YNL030W	snap_masked-flattened_line_185-processed-gene-0.10-mRNA-1_1&gene=snap_masked-flattened_line_185-processed-gene-0.10&CDS=1-309, snap_masked-flattened_line_6-processed-gene-2.91-mRNA-1_1&gene=snap_masked-flattened_line_6-processed-gene-2.91&CDS=1-309
32	OG0000032	YBR010W, YNL031C	genemark-flattened_line_42-processed-gene-1.11-mRNA-1_1&gene=genemark-flattened_line_42-processed-gene-1.11&CDS=1-420, snap_masked-flattened_line_6-processed-gene-2.64-mRNA-1_1&gene=snap_masked-flattened_line_6-processed-gene-2.64&CDS=1-420
33	OG0000033	YBR038W, YNL192W	maker-flattened_line_44-snap-gene-0.3-mRNA-1_1&gene=maker-flattened_line_44-snap-gene-0.3&CDS=1-3132, snap_masked-flattened_line_28-processed-gene-1.199-mRNA-1_1&gene=snap_masked-flattened_line_28-processed-gene-1.199&CDS=1-2844
34	OG0000034	YBR150C, YOL089C	snap_masked-flattened_line_10-processed-gene-0.27-mRNA-1_1&gene=snap_masked-flattened_line_10-processed-gene-0.27&CDS=1-852, snap_masked-flattened_line_20-processed-gene-1.76-mRNA-1_1&gene=snap_masked-flattened_line_20-processed-gene-1.76&CDS=1-1668
35	OG0000035	YBR207W, YER145C	snap_masked-flattened_line_16-processed-gene-0.25-mRNA-1_1&gene=snap_masked-flattened_line_16-processed-gene-0.25&CDS=1-1206, snap_masked-flattened_line_40-processed-gene-1.106-mRNA-1_1&gene=snap_masked-flattened_line_40-processed-gene-1.106&CDS=1-1131
36	OG0000036	YCL064C, YIL167W	snap_masked-flattened_line_0-processed-gene-4.10-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-4.10&CDS=1-981, snap_masked-flattened_line_8-processed-gene-2.202-mRNA-1_1&gene=snap_masked-flattened_line_8-processed-gene-2.202&CDS=1-1014
37	OG0000037	YCR010C, YNR002C	snap_masked-flattened_line_42-processed-gene-1.169-mRNA-1_1&gene=snap_masked-flattened_line_42-processed-gene-1.169&CDS=1-780, snap_masked-flattened_line_90-processed-gene-0.29-mRNA-1_1&gene=snap_masked-flattened_line_90-processed-gene-0.29&CDS=1-840
38	OG0000038	YCR095C, YNL099C	snap_masked-flattened_line_146-processed-gene-0.65-mRNA-1_1&gene=snap_masked-flattened_line_146-processed-gene-0.65&CDS=1-582, snap_masked-flattened_line_70-processed-gene-0.62-mRNA-1_1&gene=snap_masked-flattened_line_70-processed-gene-0.62&CDS=1-609
39	OG0000039	YDL025C, YNL183C	snap_masked-flattened_line_18-processed-gene-1.156-mRNA-1_1&gene=snap_masked-flattened_line_18-processed-gene-1.156&CDS=1-1725, snap_masked-flattened_line_18-processed-gene-1.78-mRNA-1_1&gene=snap_masked-flattened_line_18-processed-gene-1.78&CDS=1-1491
40	OG0000040	YDL049C, YJL174W	snap_masked-flattened_line_10-processed-gene-2.122-mRNA-1_1&gene=snap_masked-flattened_line_10-processed-gene-2.122&CDS=1-774, snap_masked-flattened_line_24-processed-gene-1.231-mRNA-1_1&gene=snap_masked-flattened_line_24-processed-gene-1.231&CDS=1-804
41	OG0000041	YDL056W, YLR182W	maker-flattened_line_88-snap-gene-0.2-mRNA-1_1&gene=maker-flattened_line_88-snap-gene-0.2&CDS=1-2262, snap_masked-flattened_line_8-processed-gene-1.27-mRNA-1_1&gene=snap_masked-flattened_line_8-processed-gene-1.27&CDS=1-2169
42	OG0000042	YDL132W, YGR003W	snap_masked-flattened_line_4-processed-gene-3.155-mRNA-1_1&gene=snap_masked-flattened_line_4-processed-gene-3.155&CDS=1-2325, snap_masked-flattened_line_72-processed-gene-0.137-mRNA-1_1&gene=snap_masked-flattened_line_72-processed-gene-0.137&CDS=1-2322
43	OG0000043	YDL161W, YLR206W	genemark-flattened_line_120-processed-gene-0.75-mRNA-1_1&gene=genemark-flattened_line_120-processed-gene-0.75&CDS=1-1584, snap_masked-flattened_line_30-processed-gene-1.106-mRNA-1_1&gene=snap_masked-flattened_line_30-processed-gene-1.106&CDS=1-720
44	OG0000044	YDL185W, YDL227C	augustus_masked-flattened_line_6-processed-gene-1.72-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-1.72&CDS=1-1179, genemark-flattened_line_36-processed-gene-1.192-mRNA-1_1&gene=genemark-flattened_line_36-processed-gene-1.192&CDS=1-3027
45	OG0000045	YDL230W, YER075C	snap_masked-flattened_line_22-processed-gene-1.192-mRNA-1_1&gene=snap_masked-flattened_line_22-processed-gene-1.192&CDS=1-891, snap_masked-flattened_line_66-processed-gene-0.24-mRNA-1_1&gene=snap_masked-flattened_line_66-processed-gene-0.24&CDS=1-1767
46	OG0000046	YDR038C, YDR039C, YDR040C	genemark-flattened_line_10-processed-gene-2.290-mRNA-1_1&gene=genemark-flattened_line_10-processed-gene-2.290&CDS=1-3198
47	OG0000047	YDR171W	snap_masked-flattened_line_10-processed-gene-2.110-mRNA-1_1&gene=snap_masked-flattened_line_10-processed-gene-2.110&CDS=1-468, snap_masked-flattened_line_128-processed-gene-0.20-mRNA-1_1&gene=snap_masked-flattened_line_128-processed-gene-0.20&CDS=1-537, snap_masked-flattened_line_76-processed-gene-0.168-mRNA-1_1&gene=snap_masked-flattened_line_76-processed-gene-0.168&CDS=1-624
48	OG0000048	YDR256C	augustus_masked-flattened_line_187-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-flattened_line_187-processed-gene-0.10&CDS=1-1407, augustus_masked-flattened_line_187-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-flattened_line_187-processed-gene-0.9&CDS=1-1410, maker-flattened_line_24-snap-gene-0.128-mRNA-1_1&gene=maker-flattened_line_24-snap-gene-0.128&CDS=1-2022
49	OG0000049	YDR273W, YOR042W	augustus_masked-flattened_line_140-processed-gene-0.61-mRNA-1_1&gene=augustus_masked-flattened_line_140-processed-gene-0.61&CDS=1-963, snap_masked-flattened_line_14-processed-gene-1.83-mRNA-1_1&gene=snap_masked-flattened_line_14-processed-gene-1.83&CDS=1-1092
50	OG0000050	YDR402C	maker-flattened_line_4-snap-gene-3.6-mRNA-1_1&gene=maker-flattened_line_4-snap-gene-3.6&CDS=1-4608, snap_masked-flattened_line_152-processed-gene-0.41-mRNA-1_1&gene=snap_masked-flattened_line_152-processed-gene-0.41&CDS=1-1371, snap_masked-flattened_line_4-processed-gene-1.48-mRNA-1_1&gene=snap_masked-flattened_line_4-processed-gene-1.48&CDS=1-1596
51	OG0000051	YDR479C, YHR150W	snap_masked-flattened_line_112-processed-gene-0.109-mRNA-1_1&gene=snap_masked-flattened_line_112-processed-gene-0.109&CDS=1-1356, snap_masked-flattened_line_28-processed-gene-1.190-mRNA-1_1&gene=snap_masked-flattened_line_28-processed-gene-1.190&CDS=1-1194
52	OG0000052	YDR497C, YOL103W	snap_masked-flattened_line_70-processed-gene-0.40-mRNA-1_1&gene=snap_masked-flattened_line_70-processed-gene-0.40&CDS=1-1560, snap_masked-flattened_line_96-processed-gene-0.17-mRNA-1_1&gene=snap_masked-flattened_line_96-processed-gene-0.17&CDS=1-1575
53	OG0000053	YEL043W, YLR330W	augustus_masked-flattened_line_134-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-flattened_line_134-processed-gene-0.6&CDS=1-1587, augustus_masked-flattened_line_30-processed-gene-1.63-mRNA-1_1&gene=augustus_masked-flattened_line_30-processed-gene-1.63&CDS=1-3000
54	OG0000054	YER017C, YMR089C	snap_masked-flattened_line_14-processed-gene-2.59-mRNA-1_1&gene=snap_masked-flattened_line_14-processed-gene-2.59&CDS=1-2151, snap_masked-flattened_line_68-processed-gene-0.176-mRNA-1_1&gene=snap_masked-flattened_line_68-processed-gene-0.176&CDS=1-2217
55	OG0000055	YER056C, YER060W, YER060W-A	snap_masked-flattened_line_52-processed-gene-0.173-mRNA-1_1&gene=snap_masked-flattened_line_52-processed-gene-0.173&CDS=1-1539
56	OG0000056	YER133W, YML016C	maker-flattened_line_118-snap-gene-0.28-mRNA-1_1&gene=maker-flattened_line_118-snap-gene-0.28&CDS=1-1017, snap_masked-flattened_line_92-processed-gene-0.47-mRNA-1_1&gene=snap_masked-flattened_line_92-processed-gene-0.47&CDS=1-1548
57	OG0000057	YER175C, YHR209W	snap_masked-flattened_line_124-processed-gene-0.70-mRNA-1_1&gene=snap_masked-flattened_line_124-processed-gene-0.70&CDS=1-822, snap_masked-flattened_line_78-processed-gene-0.137-mRNA-1_1&gene=snap_masked-flattened_line_78-processed-gene-0.137&CDS=1-843
58	OG0000058	YER185W, YGR213C	snap_masked-flattened_line_46-processed-gene-1.147-mRNA-1_1&gene=snap_masked-flattened_line_46-processed-gene-1.147&CDS=1-828, snap_masked-flattened_line_8-processed-gene-2.187-mRNA-1_1&gene=snap_masked-flattened_line_8-processed-gene-2.187&CDS=1-831
59	OG0000059	YFL060C, YMR095C, YNL334C	snap_masked-flattened_line_0-processed-gene-3.24-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-3.24&CDS=1-720
60	OG0000060	YFR002W	augustus_masked-flattened_line_34-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-flattened_line_34-processed-gene-0.10&CDS=1-4284, snap_masked-flattened_line_32-processed-gene-1.50-mRNA-1_1&gene=snap_masked-flattened_line_32-processed-gene-1.50&CDS=1-1863, snap_masked-flattened_line_56-processed-gene-0.128-mRNA-1_1&gene=snap_masked-flattened_line_56-processed-gene-0.128&CDS=1-1860
61	OG0000061	YFR037C, YJL176C	snap_masked-flattened_line_10-processed-gene-2.127-mRNA-1_1&gene=snap_masked-flattened_line_10-processed-gene-2.127&CDS=1-2244, snap_masked-flattened_line_36-processed-gene-0.14-mRNA-1_1&gene=snap_masked-flattened_line_36-processed-gene-0.14&CDS=1-1677
62	OG0000062	YGL120C, YNR011C	snap_masked-flattened_line_40-processed-gene-0.21-mRNA-1_1&gene=snap_masked-flattened_line_40-processed-gene-0.21&CDS=1-2268, snap_masked-flattened_line_8-processed-gene-0.126-mRNA-1_1&gene=snap_masked-flattened_line_8-processed-gene-0.126&CDS=1-3018
63	OG0000063	YGL160W, YLR047C	snap_masked-flattened_line_12-processed-gene-2.64-mRNA-1_1&gene=snap_masked-flattened_line_12-processed-gene-2.64&CDS=1-1683, snap_masked-flattened_line_96-processed-gene-0.6-mRNA-1_1&gene=snap_masked-flattened_line_96-processed-gene-0.6&CDS=1-1419
64	OG0000064	YGR087C, YLR044C, YLR134W	snap_masked-flattened_line_183-processed-gene-0.17-mRNA-1_1&gene=snap_masked-flattened_line_183-processed-gene-0.17&CDS=1-1719
65	OG0000065	YGR192C, YJL052W, YJR009C	snap_masked-flattened_line_20-processed-gene-0.117-mRNA-1_1&gene=snap_masked-flattened_line_20-processed-gene-0.117&CDS=1-1008
66	OG0000066	YGR197C, YJR015W	snap_masked-flattened_line_46-processed-gene-1.119-mRNA-1_1&gene=snap_masked-flattened_line_46-processed-gene-1.119&CDS=1-1314, snap_masked-flattened_line_70-processed-gene-0.45-mRNA-1_1&gene=snap_masked-flattened_line_70-processed-gene-0.45&CDS=1-1272
67	OG0000067	YHR179W, YPL171C	snap_masked-flattened_line_10-processed-gene-1.16-mRNA-1_1&gene=snap_masked-flattened_line_10-processed-gene-1.16&CDS=1-1110, snap_masked-flattened_line_38-processed-gene-0.98-mRNA-1_1&gene=snap_masked-flattened_line_38-processed-gene-0.98&CDS=1-1089
68	OG0000068	YIL035C, YOR061W	maker-flattened_line_100-snap-gene-0.120-mRNA-1_1&gene=maker-flattened_line_100-snap-gene-0.120&CDS=1-996, snap_masked-flattened_line_167-processed-gene-0.37-mRNA-1_1&gene=snap_masked-flattened_line_167-processed-gene-0.37&CDS=1-981
69	OG0000069	YIL120W, YIL121W	snap_masked-flattened_line_0-processed-gene-5.146-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-5.146&CDS=1-1530, snap_masked-flattened_line_319-processed-gene-0.0-mRNA-1_1&gene=snap_masked-flattened_line_319-processed-gene-0.0&CDS=1-1398
