	OrthologID	Saccharomyces_cerevisiae	yHMPu5000034665_Kodamaea_laetipori
548	OG0000548	YBL071W-A	augustus_masked-NODE_10_length_745790_cov_19.0446_ID_19-processed-gene-1.15-mRNA-1_1&gene=augustus_masked-NODE_10_length_745790_cov_19.0446_ID_19-processed-gene-1.15&CDS=1-2295
549	OG0000549	YBL076C	snap_masked-NODE_2_length_1366927_cov_17.7151_ID_3-processed-gene-4.124-mRNA-1_1&gene=snap_masked-NODE_2_length_1366927_cov_17.7151_ID_3-processed-gene-4.124&CDS=1-3234
550	OG0000550	YBL078C	snap_masked-NODE_3_length_1024479_cov_18.5586_ID_5-processed-gene-5.72-mRNA-1_1&gene=snap_masked-NODE_3_length_1024479_cov_18.5586_ID_5-processed-gene-5.72&CDS=1-402
551	OG0000551	YBL079W	snap_masked-NODE_3_length_1024479_cov_18.5586_ID_5-processed-gene-5.52-mRNA-1_1&gene=snap_masked-NODE_3_length_1024479_cov_18.5586_ID_5-processed-gene-5.52&CDS=1-4245
552	OG0000552	YBL080C	snap_masked-NODE_3_length_1024479_cov_18.5586_ID_5-processed-gene-5.74-mRNA-1_1&gene=snap_masked-NODE_3_length_1024479_cov_18.5586_ID_5-processed-gene-5.74&CDS=1-1521
553	OG0000553	YBL082C	snap_masked-NODE_2_length_1366927_cov_17.7151_ID_3-processed-gene-10.92-mRNA-1_1&gene=snap_masked-NODE_2_length_1366927_cov_17.7151_ID_3-processed-gene-10.92&CDS=1-1431
554	OG0000554	YBL084C	snap_masked-NODE_12_length_529116_cov_17.7853_ID_23-processed-gene-1.38-mRNA-1_1&gene=snap_masked-NODE_12_length_529116_cov_17.7853_ID_23-processed-gene-1.38&CDS=1-2130
555	OG0000555	YBL086C	snap_masked-NODE_25_length_107399_cov_18.061_ID_49-processed-gene-0.117-mRNA-1_1&gene=snap_masked-NODE_25_length_107399_cov_18.061_ID_49-processed-gene-0.117&CDS=1-1269
556	OG0000556	YBL088C	genemark-NODE_8_length_789900_cov_17.6408_ID_15-processed-gene-6.210-mRNA-1_1&gene=genemark-NODE_8_length_789900_cov_17.6408_ID_15-processed-gene-6.210&CDS=1-8613
557	OG0000557	YBL090W	snap_masked-NODE_15_length_337427_cov_17.7101_ID_29-processed-gene-2.36-mRNA-1_1&gene=snap_masked-NODE_15_length_337427_cov_17.7101_ID_29-processed-gene-2.36&CDS=1-495
558	OG0000558	YBL091C	snap_masked-NODE_8_length_789900_cov_17.6408_ID_15-processed-gene-6.29-mRNA-1_1&gene=snap_masked-NODE_8_length_789900_cov_17.6408_ID_15-processed-gene-6.29&CDS=1-1221
559	OG0000559	YBL092W	snap_masked-NODE_1_length_1927655_cov_18.0257_ID_1-processed-gene-16.102-mRNA-1_1&gene=snap_masked-NODE_1_length_1927655_cov_18.0257_ID_1-processed-gene-16.102&CDS=1-408
560	OG0000560	YBL093C	augustus_masked-NODE_1_length_1927655_cov_18.0257_ID_1-processed-gene-16.8-mRNA-1_1&gene=augustus_masked-NODE_1_length_1927655_cov_18.0257_ID_1-processed-gene-16.8&CDS=1-498
561	OG0000561	YBL095W	snap_masked-NODE_2_length_1366927_cov_17.7151_ID_3-processed-gene-6.69-mRNA-1_1&gene=snap_masked-NODE_2_length_1366927_cov_17.7151_ID_3-processed-gene-6.69&CDS=1-648
562	OG0000562	YBL098W	snap_masked-NODE_10_length_745790_cov_19.0446_ID_19-processed-gene-2.78-mRNA-1_1&gene=snap_masked-NODE_10_length_745790_cov_19.0446_ID_19-processed-gene-2.78&CDS=1-1416
563	OG0000563	YBL099W	maker-NODE_25_length_107399_cov_18.061_ID_49-snap-gene-0.0-mRNA-1_1&gene=maker-NODE_25_length_107399_cov_18.061_ID_49-snap-gene-0.0&CDS=1-1635
564	OG0000564	YBL102W	snap_masked-NODE_21_length_147534_cov_18.2628_ID_41-processed-gene-0.26-mRNA-1_1&gene=snap_masked-NODE_21_length_147534_cov_18.2628_ID_41-processed-gene-0.26&CDS=1-636
565	OG0000565	YBL103C	snap_masked-NODE_21_length_147534_cov_18.2628_ID_41-processed-gene-0.56-mRNA-1_1&gene=snap_masked-NODE_21_length_147534_cov_18.2628_ID_41-processed-gene-0.56&CDS=1-1593
566	OG0000566	YBL104C	augustus_masked-NODE_5_length_958524_cov_18.379_ID_9-processed-gene-1.90-mRNA-1_1&gene=augustus_masked-NODE_5_length_958524_cov_18.379_ID_9-processed-gene-1.90&CDS=1-3108
567	OG0000567	YBL107C	snap_masked-NODE_3_length_1024479_cov_18.5586_ID_5-processed-gene-9.103-mRNA-1_1&gene=snap_masked-NODE_3_length_1024479_cov_18.5586_ID_5-processed-gene-9.103&CDS=1-468
568	OG0000568	YBR002C	snap_masked-NODE_3_length_1024479_cov_18.5586_ID_5-processed-gene-1.15-mRNA-1_1&gene=snap_masked-NODE_3_length_1024479_cov_18.5586_ID_5-processed-gene-1.15&CDS=1-963
569	OG0000569	YBR003W	snap_masked-NODE_17_length_236945_cov_17.6332_ID_33-processed-gene-1.59-mRNA-1_1&gene=snap_masked-NODE_17_length_236945_cov_17.6332_ID_33-processed-gene-1.59&CDS=1-1497
570	OG0000570	YBR004C	genemark-NODE_10_length_745790_cov_19.0446_ID_19-processed-gene-6.177-mRNA-1_1&gene=genemark-NODE_10_length_745790_cov_19.0446_ID_19-processed-gene-6.177&CDS=1-1251
571	OG0000571	YBR006W	snap_masked-NODE_1_length_1927655_cov_18.0257_ID_1-processed-gene-8.28-mRNA-1_1&gene=snap_masked-NODE_1_length_1927655_cov_18.0257_ID_1-processed-gene-8.28&CDS=1-1527
572	OG0000572	YBR007C	snap_masked-NODE_5_length_958524_cov_18.379_ID_9-processed-gene-6.99-mRNA-1_1&gene=snap_masked-NODE_5_length_958524_cov_18.379_ID_9-processed-gene-6.99&CDS=1-2946
573	OG0000573	YBR011C	snap_masked-NODE_5_length_958524_cov_18.379_ID_9-processed-gene-8.84-mRNA-1_1&gene=snap_masked-NODE_5_length_958524_cov_18.379_ID_9-processed-gene-8.84&CDS=1-861
574	OG0000574	YBR017C	snap_masked-NODE_2_length_1366927_cov_17.7151_ID_3-processed-gene-6.60-mRNA-1_1&gene=snap_masked-NODE_2_length_1366927_cov_17.7151_ID_3-processed-gene-6.60&CDS=1-2739
575	OG0000575	YBR018C	snap_masked-NODE_28_length_73821_cov_17.8765_ID_55-processed-gene-0.8-mRNA-1_1&gene=snap_masked-NODE_28_length_73821_cov_17.8765_ID_55-processed-gene-0.8&CDS=1-1152
576	OG0000576	YBR023C	snap_masked-NODE_1_length_1927655_cov_18.0257_ID_1-processed-gene-12.27-mRNA-1_1&gene=snap_masked-NODE_1_length_1927655_cov_18.0257_ID_1-processed-gene-12.27&CDS=1-3594
577	OG0000577	YBR025C	snap_masked-NODE_8_length_789900_cov_17.6408_ID_15-processed-gene-6.82-mRNA-1_1&gene=snap_masked-NODE_8_length_789900_cov_17.6408_ID_15-processed-gene-6.82&CDS=1-1188
578	OG0000578	YBR026C	augustus_masked-NODE_10_length_745790_cov_19.0446_ID_19-processed-gene-2.51-mRNA-1_1&gene=augustus_masked-NODE_10_length_745790_cov_19.0446_ID_19-processed-gene-2.51&CDS=1-1134
579	OG0000579	YBR028C	snap_masked-NODE_5_length_958524_cov_18.379_ID_9-processed-gene-6.77-mRNA-1_1&gene=snap_masked-NODE_5_length_958524_cov_18.379_ID_9-processed-gene-6.77&CDS=1-1302
580	OG0000580	YBR029C	snap_masked-NODE_10_length_745790_cov_19.0446_ID_19-processed-gene-2.100-mRNA-1_1&gene=snap_masked-NODE_10_length_745790_cov_19.0446_ID_19-processed-gene-2.100&CDS=1-1278
581	OG0000581	YBR030W	snap_masked-NODE_19_length_182818_cov_20.1861_ID_37-processed-gene-0.153-mRNA-1_1&gene=snap_masked-NODE_19_length_182818_cov_20.1861_ID_37-processed-gene-0.153&CDS=1-1764
582	OG0000582	YBR034C	snap_masked-NODE_19_length_182818_cov_20.1861_ID_37-processed-gene-0.188-mRNA-1_1&gene=snap_masked-NODE_19_length_182818_cov_20.1861_ID_37-processed-gene-0.188&CDS=1-1023
583	OG0000583	YBR035C	snap_masked-NODE_12_length_529116_cov_17.7853_ID_23-processed-gene-3.101-mRNA-1_1&gene=snap_masked-NODE_12_length_529116_cov_17.7853_ID_23-processed-gene-3.101&CDS=1-681
584	OG0000584	YBR037C	snap_masked-NODE_2_length_1366927_cov_17.7151_ID_3-processed-gene-1.27-mRNA-1_1&gene=snap_masked-NODE_2_length_1366927_cov_17.7151_ID_3-processed-gene-1.27&CDS=1-924
585	OG0000585	YBR038W	snap_masked-NODE_11_length_735830_cov_18.6001_ID_21-processed-gene-3.65-mRNA-1_1&gene=snap_masked-NODE_11_length_735830_cov_18.6001_ID_21-processed-gene-3.65&CDS=1-3075
586	OG0000586	YBR039W	maker-NODE_12_length_529116_cov_17.7853_ID_23-snap-gene-1.129-mRNA-1_1&gene=maker-NODE_12_length_529116_cov_17.7853_ID_23-snap-gene-1.129&CDS=1-1122
587	OG0000587	YBR041W	augustus_masked-NODE_1_length_1927655_cov_18.0257_ID_1-processed-gene-15.50-mRNA-1_1&gene=augustus_masked-NODE_1_length_1927655_cov_18.0257_ID_1-processed-gene-15.50&CDS=1-3669
588	OG0000588	YBR043C	snap_masked-NODE_1_length_1927655_cov_18.0257_ID_1-processed-gene-15.34-mRNA-1_1&gene=snap_masked-NODE_1_length_1927655_cov_18.0257_ID_1-processed-gene-15.34&CDS=1-2274
589	OG0000589	YBR045C	augustus_masked-NODE_26_length_97107_cov_21.5839_ID_51-processed-gene-0.30-mRNA-1_1&gene=augustus_masked-NODE_26_length_97107_cov_21.5839_ID_51-processed-gene-0.30&CDS=1-1056
590	OG0000590	YBR046C	snap_masked-NODE_2_length_1366927_cov_17.7151_ID_3-processed-gene-3.17-mRNA-1_1&gene=snap_masked-NODE_2_length_1366927_cov_17.7151_ID_3-processed-gene-3.17&CDS=1-1008
591	OG0000591	YBR053C	snap_masked-NODE_2_length_1366927_cov_17.7151_ID_3-processed-gene-11.85-mRNA-1_1&gene=snap_masked-NODE_2_length_1366927_cov_17.7151_ID_3-processed-gene-11.85&CDS=1-960
592	OG0000592	YBR055C	snap_masked-NODE_2_length_1366927_cov_17.7151_ID_3-processed-gene-3.33-mRNA-1_1&gene=snap_masked-NODE_2_length_1366927_cov_17.7151_ID_3-processed-gene-3.33&CDS=1-2538
593	OG0000593	YBR056W	snap_masked-NODE_7_length_873225_cov_18.4267_ID_13-processed-gene-4.107-mRNA-1_1&gene=snap_masked-NODE_7_length_873225_cov_18.4267_ID_13-processed-gene-4.107&CDS=1-1500
594	OG0000594	YBR057C	augustus_masked-NODE_5_length_958524_cov_18.379_ID_9-processed-gene-0.66-mRNA-1_1&gene=augustus_masked-NODE_5_length_958524_cov_18.379_ID_9-processed-gene-0.66&CDS=1-1821
595	OG0000595	YBR058C	snap_masked-NODE_2_length_1366927_cov_17.7151_ID_3-processed-gene-9.76-mRNA-1_1&gene=snap_masked-NODE_2_length_1366927_cov_17.7151_ID_3-processed-gene-9.76&CDS=1-2274
596	OG0000596	YBR060C	snap_masked-NODE_16_length_274307_cov_20.0991_ID_31-processed-gene-1.29-mRNA-1_1&gene=snap_masked-NODE_16_length_274307_cov_20.0991_ID_31-processed-gene-1.29&CDS=1-2283
597	OG0000597	YBR061C	augustus_masked-NODE_1_length_1927655_cov_18.0257_ID_1-processed-gene-3.122-mRNA-1_1&gene=augustus_masked-NODE_1_length_1927655_cov_18.0257_ID_1-processed-gene-3.122&CDS=1-894
598	OG0000598	YBR062C	augustus_masked-NODE_1_length_1927655_cov_18.0257_ID_1-processed-gene-3.121-mRNA-1_1&gene=augustus_masked-NODE_1_length_1927655_cov_18.0257_ID_1-processed-gene-3.121&CDS=1-612
599	OG0000599	YBR065C	snap_masked-NODE_16_length_274307_cov_20.0991_ID_31-processed-gene-1.26-mRNA-1_1&gene=snap_masked-NODE_16_length_274307_cov_20.0991_ID_31-processed-gene-1.26&CDS=1-1005
600	OG0000600	YBR070C	snap_masked-NODE_16_length_274307_cov_20.0991_ID_31-processed-gene-1.27-mRNA-1_1&gene=snap_masked-NODE_16_length_274307_cov_20.0991_ID_31-processed-gene-1.27&CDS=1-693
601	OG0000601	YBR073W	augustus_masked-NODE_5_length_958524_cov_18.379_ID_9-processed-gene-4.39-mRNA-1_1&gene=augustus_masked-NODE_5_length_958524_cov_18.379_ID_9-processed-gene-4.39&CDS=1-2640
602	OG0000602	YBR074W	snap_masked-NODE_5_length_958524_cov_18.379_ID_9-processed-gene-4.5-mRNA-1_1&gene=snap_masked-NODE_5_length_958524_cov_18.379_ID_9-processed-gene-4.5&CDS=1-2859
603	OG0000603	YBR079C	maker-NODE_4_length_967879_cov_18.588_ID_7-augustus-gene-1.1-mRNA-1_1&gene=maker-NODE_4_length_967879_cov_18.588_ID_7-augustus-gene-1.1&CDS=1-2778
604	OG0000604	YBR080C	snap_masked-NODE_4_length_967879_cov_18.588_ID_7-processed-gene-1.61-mRNA-1_1&gene=snap_masked-NODE_4_length_967879_cov_18.588_ID_7-processed-gene-1.61&CDS=1-2370
605	OG0000605	YBR081C	maker-NODE_9_length_763489_cov_17.7826_ID_17-augustus-gene-4.142-mRNA-1_1&gene=maker-NODE_9_length_763489_cov_17.7826_ID_17-augustus-gene-4.142&CDS=1-8238
606	OG0000606	YBR082C	snap_masked-NODE_9_length_763489_cov_17.7826_ID_17-processed-gene-4.39-mRNA-1_1&gene=snap_masked-NODE_9_length_763489_cov_17.7826_ID_17-processed-gene-4.39&CDS=1-441
607	OG0000607	YBR083W	snap_masked-NODE_3_length_1024479_cov_18.5586_ID_5-processed-gene-3.95-mRNA-1_1&gene=snap_masked-NODE_3_length_1024479_cov_18.5586_ID_5-processed-gene-3.95&CDS=1-2055
608	OG0000608	YBR086C	snap_masked-NODE_7_length_873225_cov_18.4267_ID_13-processed-gene-4.114-mRNA-1_1&gene=snap_masked-NODE_7_length_873225_cov_18.4267_ID_13-processed-gene-4.114&CDS=1-2580
609	OG0000609	YBR087W	snap_masked-NODE_4_length_967879_cov_18.588_ID_7-processed-gene-8.132-mRNA-1_1&gene=snap_masked-NODE_4_length_967879_cov_18.588_ID_7-processed-gene-8.132&CDS=1-1098
610	OG0000610	YBR088C	snap_masked-NODE_10_length_745790_cov_19.0446_ID_19-processed-gene-4.63-mRNA-1_1&gene=snap_masked-NODE_10_length_745790_cov_19.0446_ID_19-processed-gene-4.63&CDS=1-777
611	OG0000611	YBR091C	snap_masked-NODE_10_length_745790_cov_19.0446_ID_19-processed-gene-4.60-mRNA-1_1&gene=snap_masked-NODE_10_length_745790_cov_19.0446_ID_19-processed-gene-4.60&CDS=1-321
612	OG0000612	YBR094W	snap_masked-NODE_10_length_745790_cov_19.0446_ID_19-processed-gene-4.82-mRNA-1_1&gene=snap_masked-NODE_10_length_745790_cov_19.0446_ID_19-processed-gene-4.82&CDS=1-2073
613	OG0000613	YBR096W	snap_masked-NODE_4_length_967879_cov_18.588_ID_7-processed-gene-5.72-mRNA-1_1&gene=snap_masked-NODE_4_length_967879_cov_18.588_ID_7-processed-gene-5.72&CDS=1-711
614	OG0000614	YBR097W	snap_masked-NODE_1_length_1927655_cov_18.0257_ID_1-processed-gene-15.32-mRNA-1_1&gene=snap_masked-NODE_1_length_1927655_cov_18.0257_ID_1-processed-gene-15.32&CDS=1-4341
615	OG0000615	YBR101C	snap_masked-NODE_1_length_1927655_cov_18.0257_ID_1-processed-gene-14.17-mRNA-1_1&gene=snap_masked-NODE_1_length_1927655_cov_18.0257_ID_1-processed-gene-14.17&CDS=1-852
616	OG0000616	YBR102C	snap_masked-NODE_1_length_1927655_cov_18.0257_ID_1-processed-gene-15.15-mRNA-1_1&gene=snap_masked-NODE_1_length_1927655_cov_18.0257_ID_1-processed-gene-15.15&CDS=1-2277
617	OG0000617	YBR103W	augustus_masked-NODE_1_length_1927655_cov_18.0257_ID_1-processed-gene-15.74-mRNA-1_1&gene=augustus_masked-NODE_1_length_1927655_cov_18.0257_ID_1-processed-gene-15.74&CDS=1-1629
618	OG0000618	YBR106W	snap_masked-NODE_2_length_1366927_cov_17.7151_ID_3-processed-gene-1.28-mRNA-1_1&gene=snap_masked-NODE_2_length_1366927_cov_17.7151_ID_3-processed-gene-1.28&CDS=1-576
619	OG0000619	YBR109C	snap_masked-NODE_2_length_1366927_cov_17.7151_ID_3-processed-gene-2.54-mRNA-1_1&gene=snap_masked-NODE_2_length_1366927_cov_17.7151_ID_3-processed-gene-2.54&CDS=1-450
620	OG0000620	YBR110W	snap_masked-NODE_2_length_1366927_cov_17.7151_ID_3-processed-gene-2.55-mRNA-1_1&gene=snap_masked-NODE_2_length_1366927_cov_17.7151_ID_3-processed-gene-2.55&CDS=1-1386
621	OG0000621	YBR111C	genemark-NODE_1_length_1927655_cov_18.0257_ID_1-processed-gene-4.45-mRNA-1_1&gene=genemark-NODE_1_length_1927655_cov_18.0257_ID_1-processed-gene-4.45&CDS=1-633
622	OG0000622	YBR111W-A	snap_masked-NODE_1_length_1927655_cov_18.0257_ID_1-processed-gene-4.97-mRNA-1_1&gene=snap_masked-NODE_1_length_1927655_cov_18.0257_ID_1-processed-gene-4.97&CDS=1-285
623	OG0000623	YBR112C	snap_masked-NODE_1_length_1927655_cov_18.0257_ID_1-processed-gene-4.98-mRNA-1_1&gene=snap_masked-NODE_1_length_1927655_cov_18.0257_ID_1-processed-gene-4.98&CDS=1-2421
624	OG0000624	YBR114W	snap_masked-NODE_10_length_745790_cov_19.0446_ID_19-processed-gene-6.76-mRNA-1_1&gene=snap_masked-NODE_10_length_745790_cov_19.0446_ID_19-processed-gene-6.76&CDS=1-2472
625	OG0000625	YBR115C	snap_masked-NODE_10_length_745790_cov_19.0446_ID_19-processed-gene-5.42-mRNA-1_1&gene=snap_masked-NODE_10_length_745790_cov_19.0446_ID_19-processed-gene-5.42&CDS=1-4137
626	OG0000626	YBR120C	augustus_masked-NODE_21_length_147534_cov_18.2628_ID_41-processed-gene-0.112-mRNA-1_1&gene=augustus_masked-NODE_21_length_147534_cov_18.2628_ID_41-processed-gene-0.112&CDS=1-333
627	OG0000627	YBR121C	snap_masked-NODE_6_length_943101_cov_18.0616_ID_11-processed-gene-6.76-mRNA-1_1&gene=snap_masked-NODE_6_length_943101_cov_18.0616_ID_11-processed-gene-6.76&CDS=1-1968
628	OG0000628	YBR122C	snap_masked-NODE_8_length_789900_cov_17.6408_ID_15-processed-gene-3.95-mRNA-1_1&gene=snap_masked-NODE_8_length_789900_cov_17.6408_ID_15-processed-gene-3.95&CDS=1-486
629	OG0000629	YBR123C	snap_masked-NODE_10_length_745790_cov_19.0446_ID_19-processed-gene-3.93-mRNA-1_1&gene=snap_masked-NODE_10_length_745790_cov_19.0446_ID_19-processed-gene-3.93&CDS=1-1701
630	OG0000630	YBR125C	snap_masked-NODE_13_length_478275_cov_17.4341_ID_25-processed-gene-3.54-mRNA-1_1&gene=snap_masked-NODE_13_length_478275_cov_17.4341_ID_25-processed-gene-3.54&CDS=1-1101
631	OG0000631	YBR126C	augustus_masked-NODE_13_length_478275_cov_17.4341_ID_25-processed-gene-3.98-mRNA-1_1&gene=augustus_masked-NODE_13_length_478275_cov_17.4341_ID_25-processed-gene-3.98&CDS=1-1443
632	OG0000632	YBR127C	snap_masked-NODE_13_length_478275_cov_17.4341_ID_25-processed-gene-3.18-mRNA-1_1&gene=snap_masked-NODE_13_length_478275_cov_17.4341_ID_25-processed-gene-3.18&CDS=1-1527
633	OG0000633	YBR132C	snap_masked-NODE_10_length_745790_cov_19.0446_ID_19-processed-gene-5.7-mRNA-1_1&gene=snap_masked-NODE_10_length_745790_cov_19.0446_ID_19-processed-gene-5.7&CDS=1-1740
634	OG0000634	YBR135W	snap_masked-NODE_10_length_745790_cov_19.0446_ID_19-processed-gene-2.87-mRNA-1_1&gene=snap_masked-NODE_10_length_745790_cov_19.0446_ID_19-processed-gene-2.87&CDS=1-324
635	OG0000635	YBR136W	augustus_masked-NODE_10_length_745790_cov_19.0446_ID_19-processed-gene-2.57-mRNA-1_1&gene=augustus_masked-NODE_10_length_745790_cov_19.0446_ID_19-processed-gene-2.57&CDS=1-7044
636	OG0000636	YBR137W	snap_masked-NODE_6_length_943101_cov_18.0616_ID_11-processed-gene-1.76-mRNA-1_1&gene=snap_masked-NODE_6_length_943101_cov_18.0616_ID_11-processed-gene-1.76&CDS=1-486
637	OG0000637	YBR141C	snap_masked-NODE_2_length_1366927_cov_17.7151_ID_3-processed-gene-7.92-mRNA-1_1&gene=snap_masked-NODE_2_length_1366927_cov_17.7151_ID_3-processed-gene-7.92&CDS=1-942
638	OG0000638	YBR142W	snap_masked-NODE_2_length_1366927_cov_17.7151_ID_3-processed-gene-6.78-mRNA-1_1&gene=snap_masked-NODE_2_length_1366927_cov_17.7151_ID_3-processed-gene-6.78&CDS=1-2388
639	OG0000639	YBR143C	snap_masked-NODE_2_length_1366927_cov_17.7151_ID_3-processed-gene-6.58-mRNA-1_1&gene=snap_masked-NODE_2_length_1366927_cov_17.7151_ID_3-processed-gene-6.58&CDS=1-1305
640	OG0000640	YBR146W	snap_masked-NODE_4_length_967879_cov_18.588_ID_7-processed-gene-0.55-mRNA-1_1&gene=snap_masked-NODE_4_length_967879_cov_18.588_ID_7-processed-gene-0.55&CDS=1-918
641	OG0000641	YBR149W	snap_masked-NODE_5_length_958524_cov_18.379_ID_9-processed-gene-8.87-mRNA-1_1&gene=snap_masked-NODE_5_length_958524_cov_18.379_ID_9-processed-gene-8.87&CDS=1-948
642	OG0000642	YBR151W	snap_masked-NODE_2_length_1366927_cov_17.7151_ID_3-processed-gene-4.90-mRNA-1_1&gene=snap_masked-NODE_2_length_1366927_cov_17.7151_ID_3-processed-gene-4.90&CDS=1-906
643	OG0000643	YBR153W	snap_masked-NODE_4_length_967879_cov_18.588_ID_7-processed-gene-0.61-mRNA-1_1&gene=snap_masked-NODE_4_length_967879_cov_18.588_ID_7-processed-gene-0.61&CDS=1-702
644	OG0000644	YBR154C	snap_masked-NODE_4_length_967879_cov_18.588_ID_7-processed-gene-0.47-mRNA-1_1&gene=snap_masked-NODE_4_length_967879_cov_18.588_ID_7-processed-gene-0.47&CDS=1-642
645	OG0000645	YBR155W	snap_masked-NODE_7_length_873225_cov_18.4267_ID_13-processed-gene-7.73-mRNA-1_1&gene=snap_masked-NODE_7_length_873225_cov_18.4267_ID_13-processed-gene-7.73&CDS=1-1176
646	OG0000646	YBR156C	augustus_masked-NODE_7_length_873225_cov_18.4267_ID_13-processed-gene-7.131-mRNA-1_1&gene=augustus_masked-NODE_7_length_873225_cov_18.4267_ID_13-processed-gene-7.131&CDS=1-2604
647	OG0000647	YBR158W	augustus_masked-NODE_2_length_1366927_cov_17.7151_ID_3-processed-gene-9.101-mRNA-1_1&gene=augustus_masked-NODE_2_length_1366927_cov_17.7151_ID_3-processed-gene-9.101&CDS=1-1533
648	OG0000648	YBR159W	snap_masked-NODE_13_length_478275_cov_17.4341_ID_25-processed-gene-3.31-mRNA-1_1&gene=snap_masked-NODE_13_length_478275_cov_17.4341_ID_25-processed-gene-3.31&CDS=1-1032
649	OG0000649	YBR160W	maker-NODE_13_length_478275_cov_17.4341_ID_25-snap-gene-3.163-mRNA-1_1&gene=maker-NODE_13_length_478275_cov_17.4341_ID_25-snap-gene-3.163&CDS=1-1071
650	OG0000650	YBR162C	snap_masked-NODE_3_length_1024479_cov_18.5586_ID_5-processed-gene-7.69-mRNA-1_1&gene=snap_masked-NODE_3_length_1024479_cov_18.5586_ID_5-processed-gene-7.69&CDS=1-1347
651	OG0000651	YBR162W-A	genemark-NODE_5_length_958524_cov_18.379_ID_9-processed-gene-8.163-mRNA-1_1&gene=genemark-NODE_5_length_958524_cov_18.379_ID_9-processed-gene-8.163&CDS=1-186
652	OG0000652	YBR163W	augustus_masked-NODE_12_length_529116_cov_17.7853_ID_23-processed-gene-2.106-mRNA-1_1&gene=augustus_masked-NODE_12_length_529116_cov_17.7853_ID_23-processed-gene-2.106&CDS=1-1698
653	OG0000653	YBR164C	snap_masked-NODE_2_length_1366927_cov_17.7151_ID_3-processed-gene-12.185-mRNA-1_1&gene=snap_masked-NODE_2_length_1366927_cov_17.7151_ID_3-processed-gene-12.185&CDS=1-555
654	OG0000654	YBR166C	augustus_masked-NODE_2_length_1366927_cov_17.7151_ID_3-processed-gene-12.143-mRNA-1_1&gene=augustus_masked-NODE_2_length_1366927_cov_17.7151_ID_3-processed-gene-12.143&CDS=1-1308
655	OG0000655	YBR167C	snap_masked-NODE_6_length_943101_cov_18.0616_ID_11-processed-gene-8.7-mRNA-1_1&gene=snap_masked-NODE_6_length_943101_cov_18.0616_ID_11-processed-gene-8.7&CDS=1-429
656	OG0000656	YBR170C	augustus_masked-NODE_3_length_1024479_cov_18.5586_ID_5-processed-gene-5.78-mRNA-1_1&gene=augustus_masked-NODE_3_length_1024479_cov_18.5586_ID_5-processed-gene-5.78&CDS=1-1689
657	OG0000657	YBR171W	snap_masked-NODE_14_length_432038_cov_17.0463_ID_27-processed-gene-1.33-mRNA-1_1&gene=snap_masked-NODE_14_length_432038_cov_17.0463_ID_27-processed-gene-1.33&CDS=1-750
658	OG0000658	YBR173C	augustus_masked-NODE_1_length_1927655_cov_18.0257_ID_1-processed-gene-11.90-mRNA-1_1&gene=augustus_masked-NODE_1_length_1927655_cov_18.0257_ID_1-processed-gene-11.90&CDS=1-444
659	OG0000659	YBR176W	augustus_masked-NODE_18_length_186838_cov_20.1711_ID_35-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-NODE_18_length_186838_cov_20.1711_ID_35-processed-gene-0.24&CDS=1-2346
660	OG0000660	YBR179C	augustus_masked-NODE_17_length_236945_cov_17.6332_ID_33-processed-gene-0.35-mRNA-1_1&gene=augustus_masked-NODE_17_length_236945_cov_17.6332_ID_33-processed-gene-0.35&CDS=1-2670
661	OG0000661	YBR182C	snap_masked-NODE_10_length_745790_cov_19.0446_ID_19-processed-gene-3.115-mRNA-1_1&gene=snap_masked-NODE_10_length_745790_cov_19.0446_ID_19-processed-gene-3.115&CDS=1-1593
662	OG0000662	YBR185C	augustus_masked-NODE_14_length_432038_cov_17.0463_ID_27-processed-gene-2.76-mRNA-1_1&gene=augustus_masked-NODE_14_length_432038_cov_17.0463_ID_27-processed-gene-2.76&CDS=1-834
663	OG0000663	YBR187W	snap_masked-NODE_12_length_529116_cov_17.7853_ID_23-processed-gene-0.64-mRNA-1_1&gene=snap_masked-NODE_12_length_529116_cov_17.7853_ID_23-processed-gene-0.64&CDS=1-1017
664	OG0000664	YBR192W	snap_masked-NODE_12_length_529116_cov_17.7853_ID_23-processed-gene-0.52-mRNA-1_1&gene=snap_masked-NODE_12_length_529116_cov_17.7853_ID_23-processed-gene-0.52&CDS=1-1119
665	OG0000665	YBR193C	augustus_masked-NODE_12_length_529116_cov_17.7853_ID_23-processed-gene-0.93-mRNA-1_1&gene=augustus_masked-NODE_12_length_529116_cov_17.7853_ID_23-processed-gene-0.93&CDS=1-672
666	OG0000666	YBR195C	snap_masked-NODE_12_length_529116_cov_17.7853_ID_23-processed-gene-0.59-mRNA-1_1&gene=snap_masked-NODE_12_length_529116_cov_17.7853_ID_23-processed-gene-0.59&CDS=1-1302
667	OG0000667	YBR196C	snap_masked-NODE_1_length_1927655_cov_18.0257_ID_1-processed-gene-1.96-mRNA-1_1&gene=snap_masked-NODE_1_length_1927655_cov_18.0257_ID_1-processed-gene-1.96&CDS=1-1647
668	OG0000668	YBR198C	snap_masked-NODE_9_length_763489_cov_17.7826_ID_17-processed-gene-1.15-mRNA-1_1&gene=snap_masked-NODE_9_length_763489_cov_17.7826_ID_17-processed-gene-1.15&CDS=1-2346
