	OrthologID	Kazachstania_naganishii	Saccharomyces_cerevisiae
10	OG0000010	augustus_masked-HE978326-processed-gene-2.41-mRNA-1_1&gene=augustus_masked-HE978326-processed-gene-2.41&CDS=1-873, genemark-HE978326-processed-gene-2.59-mRNA-1_1&gene=genemark-HE978326-processed-gene-2.59&CDS=1-786, snap_masked-HE978318-processed-gene-4.41-mRNA-1_1&gene=snap_masked-HE978318-processed-gene-4.41&CDS=1-1041, snap_masked-HE978319-processed-gene-6.29-mRNA-1_1&gene=snap_masked-HE978319-processed-gene-6.29&CDS=1-759	YIR013C, YLR013W, YMR136W
11	OG0000011	genemark-HE978314-processed-gene-2.26-mRNA-1_1&gene=genemark-HE978314-processed-gene-2.26&CDS=1-1830, genemark-HE978314-processed-gene-6.86-mRNA-1_1&gene=genemark-HE978314-processed-gene-6.86&CDS=1-1806, genemark-HE978321-processed-gene-0.89-mRNA-1_1&gene=genemark-HE978321-processed-gene-0.89&CDS=1-1656	YLR237W, YOR071C, YOR192C
12	OG0000012	genemark-HE978314-processed-gene-8.101-mRNA-1_1&gene=genemark-HE978314-processed-gene-8.101&CDS=1-1857, genemark-HE978326-processed-gene-2.91-mRNA-1_1&gene=genemark-HE978326-processed-gene-2.91&CDS=1-1689	YDL080C, YGR087C, YLR044C, YLR134W
13	OG0000013	genemark-HE978314-processed-gene-9.103-mRNA-1_1&gene=genemark-HE978314-processed-gene-9.103&CDS=1-1020, genemark-HE978326-processed-gene-4.159-mRNA-1_1&gene=genemark-HE978326-processed-gene-4.159&CDS=1-1020	YDL244W, YFL058W, YJR156C, YNL332W
14	OG0000014	genemark-HE978315-processed-gene-3.33-mRNA-1_1&gene=genemark-HE978315-processed-gene-3.33&CDS=1-1065, genemark-HE978316-processed-gene-2.41-mRNA-1_1&gene=genemark-HE978316-processed-gene-2.41&CDS=1-1140, genemark-HE978318-processed-gene-3.64-mRNA-1_1&gene=genemark-HE978318-processed-gene-3.64&CDS=1-1293	YJL116C, YKR042W, YNL066W
15	OG0000015	maker-HE978317-augustus-gene-2.3-mRNA-1_1&gene=maker-HE978317-augustus-gene-2.3&CDS=1-2886, maker-HE978325-snap-gene-2.2-mRNA-1_1&gene=maker-HE978325-snap-gene-2.2&CDS=1-3231, maker-HE978325-snap-gene-2.5-mRNA-1_1&gene=maker-HE978325-snap-gene-2.5&CDS=1-3270	YER056C, YER060W, YER060W-A
16	OG0000016	augustus_masked-HE978322-processed-gene-4.54-mRNA-1_1&gene=augustus_masked-HE978322-processed-gene-4.54&CDS=1-5094, maker-HE978321-augustus-gene-6.69-mRNA-1_1&gene=maker-HE978321-augustus-gene-6.69&CDS=1-5265	YNL104C, YNL106C, YOR108W, YOR109W
17	OG0000017	maker-HE978314-snap-gene-3.89-mRNA-1_1&gene=maker-HE978314-snap-gene-3.89&CDS=1-2616, snap_masked-HE978323-processed-gene-3.3-mRNA-1_1&gene=snap_masked-HE978323-processed-gene-3.3&CDS=1-1404	YOR229W, YOR230W, YPL139C
18	OG0000018	genemark-HE978314-processed-gene-8.52-mRNA-1_1&gene=genemark-HE978314-processed-gene-8.52&CDS=1-408, genemark-HE978321-processed-gene-3.84-mRNA-1_1&gene=genemark-HE978321-processed-gene-3.84&CDS=1-408, genemark-HE978323-processed-gene-1.51-mRNA-1_1&gene=genemark-HE978323-processed-gene-1.51&CDS=1-408	YBR010W, YNL031C
19	OG0000019	maker-HE978318-snap-gene-4.152-mRNA-1_1&gene=maker-HE978318-snap-gene-4.152&CDS=1-3810, snap_masked-HE978314-processed-gene-9.24-mRNA-1_1&gene=snap_masked-HE978314-processed-gene-9.24&CDS=1-2952	YKL121W, YMR101C, YMR102C
20	OG0000020	genemark-HE978314-processed-gene-11.140-mRNA-1_1&gene=genemark-HE978314-processed-gene-11.140&CDS=1-8076, genemark-HE978315-processed-gene-1.72-mRNA-1_1&gene=genemark-HE978315-processed-gene-1.72&CDS=1-2229	YGR143W, YJL207C, YPR159W
21	OG0000021	snap_masked-HE978315-processed-gene-9.108-mRNA-1_1&gene=snap_masked-HE978315-processed-gene-9.108&CDS=1-255	YGR109W-A, YGR109W-B, YIL082W, YIL082W-A
22	OG0000022	genemark-HE978315-processed-gene-11.48-mRNA-1_1&gene=genemark-HE978315-processed-gene-11.48&CDS=1-5703, genemark-HE978317-processed-gene-7.110-mRNA-1_1&gene=genemark-HE978317-processed-gene-7.110&CDS=1-5637, genemark-HE978318-processed-gene-2.74-mRNA-1_1&gene=genemark-HE978318-processed-gene-2.74&CDS=1-5424	YLR342W, YMR306W
23	OG0000023	genemark-HE978316-processed-gene-1.15-mRNA-1_1&gene=genemark-HE978316-processed-gene-1.15&CDS=1-1737, genemark-HE978316-processed-gene-11.68-mRNA-1_1&gene=genemark-HE978316-processed-gene-11.68&CDS=1-1797, genemark-HE978319-processed-gene-0.60-mRNA-1_1&gene=genemark-HE978319-processed-gene-0.60&CDS=1-1791	YEL063C, YNL268W
24	OG0000024	augustus_masked-HE978317-processed-gene-5.102-mRNA-1_1&gene=augustus_masked-HE978317-processed-gene-5.102&CDS=1-4200, genemark-HE978323-processed-gene-4.120-mRNA-1_1&gene=genemark-HE978323-processed-gene-4.120&CDS=1-2634	YGL048C, YGL049C, YGR162W
25	OG0000025	genemark-HE978317-processed-gene-8.13-mRNA-1_1&gene=genemark-HE978317-processed-gene-8.13&CDS=1-1284, genemark-HE978321-processed-gene-3.52-mRNA-1_1&gene=genemark-HE978321-processed-gene-3.52&CDS=1-1272, genemark-HE978322-processed-gene-2.118-mRNA-1_1&gene=genemark-HE978322-processed-gene-2.118&CDS=1-1236	YDL066W, YLR174W
26	OG0000026	genemark-HE978320-processed-gene-1.52-mRNA-1_1&gene=genemark-HE978320-processed-gene-1.52&CDS=1-1503, genemark-HE978320-processed-gene-4.37-mRNA-1_1&gene=genemark-HE978320-processed-gene-4.37&CDS=1-1626, genemark-HE978326-processed-gene-2.69-mRNA-1_1&gene=genemark-HE978326-processed-gene-2.69&CDS=1-1836	YGR197C, YJR015W
27	OG0000027	snap_masked-HE978320-processed-gene-3.91-mRNA-1_1&gene=snap_masked-HE978320-processed-gene-3.91&CDS=1-4833	YBL017C, YIL173W, YJL222W, YNR065C
28	OG0000028	genemark-HE978314-processed-gene-0.113-mRNA-1_1&gene=genemark-HE978314-processed-gene-0.113&CDS=1-1833, snap_masked-HE978324-processed-gene-4.58-mRNA-1_1&gene=snap_masked-HE978324-processed-gene-4.58&CDS=1-3357	YNL292W, YNL293W
29	OG0000029	augustus_masked-HE978314-processed-gene-1.4-mRNA-1_1&gene=augustus_masked-HE978314-processed-gene-1.4&CDS=1-1161, snap_masked-HE978318-processed-gene-1.97-mRNA-1_1&gene=snap_masked-HE978318-processed-gene-1.97&CDS=1-1824	YGR221C, YHR149C
30	OG0000030	genemark-HE978314-processed-gene-1.85-mRNA-1_1&gene=genemark-HE978314-processed-gene-1.85&CDS=1-711, genemark-HE978314-processed-gene-4.89-mRNA-1_1&gene=genemark-HE978314-processed-gene-4.89&CDS=1-708	YBR181C, YPL090C
31	OG0000031	maker-HE978314-snap-gene-1.51-mRNA-1_1&gene=maker-HE978314-snap-gene-1.51&CDS=1-921, maker-HE978314-snap-gene-4.47-mRNA-1_1&gene=maker-HE978314-snap-gene-4.47&CDS=1-1035	YBR189W, YPL081W
32	OG0000032	augustus_masked-HE978314-processed-gene-1.40-mRNA-1_1&gene=augustus_masked-HE978314-processed-gene-1.40&CDS=1-1206, snap_masked-HE978314-processed-gene-4.147-mRNA-1_1&gene=snap_masked-HE978314-processed-gene-4.147&CDS=1-816	YBR197C, YPL077C
33	OG0000033	genemark-HE978325-processed-gene-2.43-mRNA-1_1&gene=genemark-HE978325-processed-gene-2.43&CDS=1-2748, snap_masked-HE978314-processed-gene-1.120-mRNA-1_1&gene=snap_masked-HE978314-processed-gene-1.120&CDS=1-2262	YER047C, YPL074W
34	OG0000034	genemark-HE978314-processed-gene-1.96-mRNA-1_1&gene=genemark-HE978314-processed-gene-1.96&CDS=1-1149, genemark-HE978314-processed-gene-5.124-mRNA-1_1&gene=genemark-HE978314-processed-gene-5.124&CDS=1-1134	YBR161W, YPL057C
35	OG0000035	snap_masked-HE978314-processed-gene-2.112-mRNA-1_1&gene=snap_masked-HE978314-processed-gene-2.112&CDS=1-2400, snap_masked-HE978314-processed-gene-2.113-mRNA-1_1&gene=snap_masked-HE978314-processed-gene-2.113&CDS=1-2316	YOR162C, YOR172W
36	OG0000036	augustus_masked-HE978314-processed-gene-2.99-mRNA-1_1&gene=augustus_masked-HE978314-processed-gene-2.99&CDS=1-1641, snap_masked-HE978314-processed-gene-6.31-mRNA-1_1&gene=snap_masked-HE978314-processed-gene-6.31&CDS=1-2532	YDR206W, YLR233C
37	OG0000037	genemark-HE978314-processed-gene-3.109-mRNA-1_1&gene=genemark-HE978314-processed-gene-3.109&CDS=1-321, snap_masked-HE978323-processed-gene-3.8-mRNA-1_1&gene=snap_masked-HE978323-processed-gene-3.8&CDS=1-321	YOR234C, YPL143W
38	OG0000038	genemark-HE978314-processed-gene-3.135-mRNA-1_1&gene=genemark-HE978314-processed-gene-3.135&CDS=1-3453, genemark-HE978323-processed-gene-3.100-mRNA-1_1&gene=genemark-HE978323-processed-gene-3.100&CDS=1-3348	YOR227W, YPL137C
39	OG0000039	genemark-HE978314-processed-gene-6.80-mRNA-1_1&gene=genemark-HE978314-processed-gene-6.80&CDS=1-390, genemark-HE978324-processed-gene-3.4-mRNA-1_1&gene=genemark-HE978324-processed-gene-3.4&CDS=1-381	YBL002W, YDR224C
40	OG0000040	genemark-HE978318-processed-gene-4.106-mRNA-1_1&gene=genemark-HE978318-processed-gene-4.106&CDS=1-1695, snap_masked-HE978314-processed-gene-8.131-mRNA-1_1&gene=snap_masked-HE978314-processed-gene-8.131&CDS=1-2412	YDL086W, YMR145C
41	OG0000041	genemark-HE978314-processed-gene-8.80-mRNA-1_1&gene=genemark-HE978314-processed-gene-8.80&CDS=1-594, snap_masked-HE978318-processed-gene-4.11-mRNA-1_1&gene=snap_masked-HE978318-processed-gene-4.11&CDS=1-594	YDL082W, YMR142C
42	OG0000042	genemark-HE978314-processed-gene-10.55-mRNA-1_1&gene=genemark-HE978314-processed-gene-10.55&CDS=1-1302, genemark-HE978315-processed-gene-10.120-mRNA-1_1&gene=genemark-HE978315-processed-gene-10.120&CDS=1-1110	YHL003C, YKL008C
43	OG0000043	genemark-HE978314-processed-gene-11.109-mRNA-1_1&gene=genemark-HE978314-processed-gene-11.109&CDS=1-1371, genemark-HE978315-processed-gene-2.142-mRNA-1_1&gene=genemark-HE978315-processed-gene-2.142&CDS=1-1371	YBR118W, YPR080W
44	OG0000044	genemark-HE978314-processed-gene-11.183-mRNA-1_1&gene=genemark-HE978314-processed-gene-11.183&CDS=1-435, genemark-HE978315-processed-gene-1.86-mRNA-1_1&gene=genemark-HE978315-processed-gene-1.86&CDS=1-435	YGR118W, YPR132W
45	OG0000045	genemark-HE978320-processed-gene-0.58-mRNA-1_1&gene=genemark-HE978320-processed-gene-0.58&CDS=1-8343, snap_masked-HE978315-processed-gene-0.112-mRNA-1_1&gene=snap_masked-HE978315-processed-gene-0.112&CDS=1-7383	YJR066W, YKL203C
46	OG0000046	genemark-HE978315-processed-gene-0.74-mRNA-1_1&gene=genemark-HE978315-processed-gene-0.74&CDS=1-1518, genemark-HE978320-processed-gene-0.65-mRNA-1_1&gene=genemark-HE978320-processed-gene-0.65&CDS=1-1407	YEL047C, YJR051W
47	OG0000047	genemark-HE978315-processed-gene-0.79-mRNA-1_1&gene=genemark-HE978315-processed-gene-0.79&CDS=1-861, genemark-HE978317-processed-gene-5.115-mRNA-1_1&gene=genemark-HE978317-processed-gene-5.115&CDS=1-813	YER037W, YGL224C
48	OG0000048	genemark-HE978316-processed-gene-3.45-mRNA-1_1&gene=genemark-HE978316-processed-gene-3.45&CDS=1-2310, snap_masked-HE978315-processed-gene-3.77-mRNA-1_1&gene=snap_masked-HE978315-processed-gene-3.77&CDS=1-1548	YJL105W, YKR029C
49	OG0000049	genemark-HE978315-processed-gene-4.36-mRNA-1_1&gene=genemark-HE978315-processed-gene-4.36&CDS=1-597, genemark-HE978316-processed-gene-7.57-mRNA-1_1&gene=genemark-HE978316-processed-gene-7.57&CDS=1-597	YBL072C, YER102W
50	OG0000050	genemark-HE978315-processed-gene-4.20-mRNA-1_1&gene=genemark-HE978315-processed-gene-4.20&CDS=1-1299, genemark-HE978316-processed-gene-7.51-mRNA-1_1&gene=genemark-HE978316-processed-gene-7.51&CDS=1-1284	YBL069W, YER101C
51	OG0000051	genemark-HE978315-processed-gene-4.38-mRNA-1_1&gene=genemark-HE978315-processed-gene-4.38&CDS=1-2259, maker-HE978316-snap-gene-7.50-mRNA-1_1&gene=maker-HE978316-snap-gene-7.50&CDS=1-1977	YBL067C, YER098W
52	OG0000052	genemark-HE978315-processed-gene-4.44-mRNA-1_1&gene=genemark-HE978315-processed-gene-4.44&CDS=1-2199, genemark-HE978320-processed-gene-5.19-mRNA-1_1&gene=genemark-HE978320-processed-gene-5.19&CDS=1-1380	YBL052C, YOR244W
53	OG0000053	genemark-HE978315-processed-gene-5.69-mRNA-1_1&gene=genemark-HE978315-processed-gene-5.69&CDS=1-2553, genemark-HE978316-processed-gene-7.81-mRNA-1_1&gene=genemark-HE978316-processed-gene-7.81&CDS=1-2367	YDL138W, YDL194W
54	OG0000054	augustus_masked-HE978315-processed-gene-6.82-mRNA-1_1&gene=augustus_masked-HE978315-processed-gene-6.82&CDS=1-2958, genemark-HE978316-processed-gene-11.72-mRNA-1_1&gene=genemark-HE978316-processed-gene-11.72&CDS=1-942	YDR463W, YML038C
55	OG0000055	genemark-HE978315-processed-gene-7.87-mRNA-1_1&gene=genemark-HE978315-processed-gene-7.87&CDS=1-495, genemark-HE978316-processed-gene-8.117-mRNA-1_1&gene=genemark-HE978316-processed-gene-8.117&CDS=1-495	YDR418W, YEL054C
56	OG0000056	augustus_masked-HE978315-processed-gene-7.137-mRNA-1_1&gene=augustus_masked-HE978315-processed-gene-7.137&CDS=1-1977, snap_masked-HE978316-processed-gene-8.38-mRNA-1_1&gene=snap_masked-HE978316-processed-gene-8.38&CDS=1-2352	YDR409W, YOR156C
57	OG0000057	genemark-HE978315-processed-gene-7.95-mRNA-1_1&gene=genemark-HE978315-processed-gene-7.95&CDS=1-4539, genemark-HE978316-processed-gene-8.121-mRNA-1_1&gene=genemark-HE978316-processed-gene-8.121&CDS=1-4665	YDR406W, YOR153W
58	OG0000058	augustus_masked-HE978315-processed-gene-11.14-mRNA-1_1&gene=augustus_masked-HE978315-processed-gene-11.14&CDS=1-576, augustus_masked-HE978317-processed-gene-7.63-mRNA-1_1&gene=augustus_masked-HE978317-processed-gene-7.63&CDS=1-588	YGR049W, YLR356W
59	OG0000059	augustus_masked-HE978315-processed-gene-13.130-mRNA-1_1&gene=augustus_masked-HE978315-processed-gene-13.130&CDS=1-3240, genemark-HE978318-processed-gene-7.220-mRNA-1_1&gene=genemark-HE978318-processed-gene-7.220&CDS=1-2616	YLR442C, YML065W
60	OG0000060	genemark-HE978315-processed-gene-13.66-mRNA-1_1&gene=genemark-HE978315-processed-gene-13.66&CDS=1-3114, genemark-HE978318-processed-gene-7.190-mRNA-1_1&gene=genemark-HE978318-processed-gene-7.190&CDS=1-3261	YLR450W, YML075C
61	OG0000061	genemark-HE978315-processed-gene-13.81-mRNA-1_1&gene=genemark-HE978315-processed-gene-13.81&CDS=1-1074, genemark-HE978317-processed-gene-0.101-mRNA-1_1&gene=genemark-HE978317-processed-gene-0.101&CDS=1-1086, maker-HE978324-augustus-gene-4.226-mRNA-1_1&gene=maker-HE978324-augustus-gene-4.226&CDS=1-1671	YMR318C
62	OG0000062	snap_masked-HE978316-processed-gene-0.67-mRNA-1_1&gene=snap_masked-HE978316-processed-gene-0.67&CDS=1-609	YCL067C, YCR039C, YCR096C
63	OG0000063	genemark-HE978316-processed-gene-0.24-mRNA-1_1&gene=genemark-HE978316-processed-gene-0.24&CDS=1-1635, genemark-HE978319-processed-gene-0.69-mRNA-1_1&gene=genemark-HE978319-processed-gene-0.69&CDS=1-1629	YCL043C, YDR518W
64	OG0000064	genemark-HE978316-processed-gene-1.6-mRNA-1_1&gene=genemark-HE978316-processed-gene-1.6&CDS=1-2025, maker-HE978319-augustus-gene-0.0-mRNA-1_1&gene=maker-HE978319-augustus-gene-0.0&CDS=1-3894	YDR506C, YLR177W
65	OG0000065	genemark-HE978316-processed-gene-1.10-mRNA-1_1&gene=genemark-HE978316-processed-gene-1.10&CDS=1-2937, genemark-HE978319-processed-gene-0.56-mRNA-1_1&gene=genemark-HE978319-processed-gene-0.56&CDS=1-3051	YLR187W, YNL278W
66	OG0000066	genemark-HE978316-processed-gene-2.12-mRNA-1_1&gene=genemark-HE978316-processed-gene-2.12&CDS=1-1197, genemark-HE978316-processed-gene-5.12-mRNA-1_1&gene=genemark-HE978316-processed-gene-5.12&CDS=1-1281	YJL134W, YKR053C
67	OG0000067	genemark-HE978316-processed-gene-2.39-mRNA-1_1&gene=genemark-HE978316-processed-gene-2.39&CDS=1-2730, genemark-HE978316-processed-gene-5.30-mRNA-1_1&gene=genemark-HE978316-processed-gene-5.30&CDS=1-3771	YJL129C, YKR050W
68	OG0000068	genemark-HE978316-processed-gene-4.109-mRNA-1_1&gene=genemark-HE978316-processed-gene-4.109&CDS=1-2124, genemark-HE978322-processed-gene-2.106-mRNA-1_1&gene=genemark-HE978322-processed-gene-2.106&CDS=1-2106	YFR015C, YLR258W
69	OG0000069	genemark-HE978316-processed-gene-4.115-mRNA-1_1&gene=genemark-HE978316-processed-gene-4.115&CDS=1-390, genemark-HE978317-processed-gene-7.122-mRNA-1_1&gene=genemark-HE978317-processed-gene-7.122&CDS=1-390	YJL190C, YLR367W
70	OG0000070	genemark-HE978316-processed-gene-7.55-mRNA-1_1&gene=genemark-HE978316-processed-gene-7.55&CDS=1-1950, genemark-HE978323-processed-gene-4.123-mRNA-1_1&gene=genemark-HE978323-processed-gene-4.123&CDS=1-1914	YBL075C, YLL024C
71	OG0000071	genemark-HE978316-processed-gene-11.69-mRNA-1_1&gene=genemark-HE978316-processed-gene-11.69&CDS=1-1422, snap_masked-HE978317-processed-gene-6.23-mRNA-1_1&gene=snap_masked-HE978317-processed-gene-6.23&CDS=1-1416	YGR004W, YLR324W
72	OG0000072	genemark-HE978316-processed-gene-12.49-mRNA-1_1&gene=genemark-HE978316-processed-gene-12.49&CDS=1-2682, genemark-HE978325-processed-gene-3.132-mRNA-1_1&gene=genemark-HE978325-processed-gene-3.132&CDS=1-2391	YKR089C, YOR081C
73	OG0000073	snap_masked-HE978316-processed-gene-12.135-mRNA-1_1&gene=snap_masked-HE978316-processed-gene-12.135&CDS=1-4953, snap_masked-HE978325-processed-gene-3.26-mRNA-1_1&gene=snap_masked-HE978325-processed-gene-3.26&CDS=1-4824	YIL149C, YKR095W
74	OG0000074	genemark-HE978317-processed-gene-0.126-mRNA-1_1&gene=genemark-HE978317-processed-gene-0.126&CDS=1-3672, snap_masked-HE978322-processed-gene-5.132-mRNA-1_1&gene=snap_masked-HE978322-processed-gene-5.132&CDS=1-2658	YCR091W, YNR047W
75	OG0000075	maker-HE978317-augustus-gene-2.1-mRNA-1_1&gene=maker-HE978317-augustus-gene-2.1&CDS=1-2478	YJL164C, YKL166C, YPL203W
