	OrthologID	Saccharomyces_cerevisiae	yHMPu5000034881_Torulaspora_pretoriensis
10	OG0000010	YBL017C, YIL173W, YJL222W, YNR065C	genemark-flattened_line_6-processed-gene-2.93-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-2.93&CDS=1-4515
11	OG0000011	YDR155C, YDR304C, YHR057C	augustus_masked-flattened_line_0-processed-gene-2.117-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-2.117&CDS=1-1416, maker-flattened_line_0-augustus-gene-6.207-mRNA-1_1&gene=maker-flattened_line_0-augustus-gene-6.207&CDS=1-1416
12	OG0000012	YEL001C, YIR001C	genemark-flattened_line_3-processed-gene-7.245-mRNA-1_1&gene=genemark-flattened_line_3-processed-gene-7.245&CDS=1-708, genemark-flattened_line_3-processed-gene-7.246-mRNA-1_1&gene=genemark-flattened_line_3-processed-gene-7.246&CDS=1-825, snap_masked-flattened_line_3-processed-gene-0.59-mRNA-1_1&gene=snap_masked-flattened_line_3-processed-gene-0.59&CDS=1-1494
13	OG0000013	YER056C, YER060W, YER060W-A	genemark-flattened_line_3-processed-gene-1.179-mRNA-1_1&gene=genemark-flattened_line_3-processed-gene-1.179&CDS=1-1620, maker-flattened_line_3-snap-gene-6.61-mRNA-1_1&gene=maker-flattened_line_3-snap-gene-6.61&CDS=1-1521
14	OG0000014	YER175C	genemark-flattened_line_13-processed-gene-0.69-mRNA-1_1&gene=genemark-flattened_line_13-processed-gene-0.69&CDS=1-885, genemark-flattened_line_13-processed-gene-0.70-mRNA-1_1&gene=genemark-flattened_line_13-processed-gene-0.70&CDS=1-885, genemark-flattened_line_13-processed-gene-4.38-mRNA-1_1&gene=genemark-flattened_line_13-processed-gene-4.38&CDS=1-885, genemark-flattened_line_13-processed-gene-4.39-mRNA-1_1&gene=genemark-flattened_line_13-processed-gene-4.39&CDS=1-885
15	OG0000015	YGR287C, YIL172C, YJL221C, YOL157C	genemark-flattened_line_4-processed-gene-6.114-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-6.114&CDS=1-1812
16	OG0000016	YHR216W, YLR432W, YML056C	augustus_masked-flattened_line_3-processed-gene-3.14-mRNA-1_1&gene=augustus_masked-flattened_line_3-processed-gene-3.14&CDS=1-1563, augustus_masked-flattened_line_3-processed-gene-5.31-mRNA-1_1&gene=augustus_masked-flattened_line_3-processed-gene-5.31&CDS=1-1563
17	OG0000017	YLR445W, YML067C	augustus_masked-flattened_line_3-processed-gene-4.49-mRNA-1_1&gene=augustus_masked-flattened_line_3-processed-gene-4.49&CDS=1-2424, snap_masked-flattened_line_3-processed-gene-3.121-mRNA-1_1&gene=snap_masked-flattened_line_3-processed-gene-3.121&CDS=1-1797, snap_masked-flattened_line_3-processed-gene-3.123-mRNA-1_1&gene=snap_masked-flattened_line_3-processed-gene-3.123&CDS=1-186
18	OG0000018	YMR303C, YOL086C	genemark-flattened_line_4-processed-gene-4.21-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-4.21&CDS=1-1053, genemark-flattened_line_9-processed-gene-2.78-mRNA-1_1&gene=genemark-flattened_line_9-processed-gene-2.78&CDS=1-1053, genemark-flattened_line_9-processed-gene-4.84-mRNA-1_1&gene=genemark-flattened_line_9-processed-gene-4.84&CDS=1-1053
19	OG0000019	YBL003C, YDR225W	genemark-flattened_line_10-processed-gene-1.54-mRNA-1_1&gene=genemark-flattened_line_10-processed-gene-1.54&CDS=1-396, genemark-flattened_line_16-processed-gene-4.161-mRNA-1_1&gene=genemark-flattened_line_16-processed-gene-4.161&CDS=1-396
20	OG0000020	YBR009C, YNL030W	genemark-flattened_line_1-processed-gene-1.7-mRNA-1_1&gene=genemark-flattened_line_1-processed-gene-1.7&CDS=1-309, genemark-flattened_line_16-processed-gene-4.154-mRNA-1_1&gene=genemark-flattened_line_16-processed-gene-4.154&CDS=1-309
21	OG0000021	YBR010W, YNL031C	genemark-flattened_line_1-processed-gene-1.34-mRNA-1_1&gene=genemark-flattened_line_1-processed-gene-1.34&CDS=1-408, genemark-flattened_line_16-processed-gene-4.181-mRNA-1_1&gene=genemark-flattened_line_16-processed-gene-4.181&CDS=1-408
22	OG0000022	YBR118W, YPR080W	maker-flattened_line_12-snap-gene-1.178-mRNA-1_1&gene=maker-flattened_line_12-snap-gene-1.178&CDS=1-2322, maker-flattened_line_12-snap-gene-5.0-mRNA-1_1&gene=maker-flattened_line_12-snap-gene-5.0&CDS=1-2322
23	OG0000023	YCL068C, YCR038C	genemark-flattened_line_12-processed-gene-0.48-mRNA-1_1&gene=genemark-flattened_line_12-processed-gene-0.48&CDS=1-4089, genemark-flattened_line_12-processed-gene-5.125-mRNA-1_1&gene=genemark-flattened_line_12-processed-gene-5.125&CDS=1-4089
24	OG0000024	YCR010C, YNR002C	maker-flattened_line_9-snap-gene-1.116-mRNA-1_1&gene=maker-flattened_line_9-snap-gene-1.116&CDS=1-1593, maker-flattened_line_9-snap-gene-5.168-mRNA-1_1&gene=maker-flattened_line_9-snap-gene-5.168&CDS=1-1593
25	OG0000025	YCR031C, YJL191W	augustus_masked-flattened_line_9-processed-gene-2.43-mRNA-1_1&gene=augustus_masked-flattened_line_9-processed-gene-2.43&CDS=1-471, augustus_masked-flattened_line_9-processed-gene-5.115-mRNA-1_1&gene=augustus_masked-flattened_line_9-processed-gene-5.115&CDS=1-471
26	OG0000026	YCR102C, YLR460C, YNL134C	maker-flattened_line_22-snap-gene-2.1-mRNA-1_1&gene=maker-flattened_line_22-snap-gene-2.1&CDS=1-1161
27	OG0000027	YCR105W, YMR318C	genemark-flattened_line_8-processed-gene-0.28-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-0.28&CDS=1-1101, genemark-flattened_line_8-processed-gene-6.183-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-6.183&CDS=1-1101
28	OG0000028	YDL222C, YNL194C	snap_masked-flattened_line_8-processed-gene-1.47-mRNA-1_1&gene=snap_masked-flattened_line_8-processed-gene-1.47&CDS=1-3147, snap_masked-flattened_line_8-processed-gene-5.117-mRNA-1_1&gene=snap_masked-flattened_line_8-processed-gene-5.117&CDS=1-3147
29	OG0000029	YDL229W, YNL209W	genemark-flattened_line_8-processed-gene-1.76-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-1.76&CDS=1-1839, genemark-flattened_line_8-processed-gene-6.132-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-6.132&CDS=1-1839
30	OG0000030	YDL243C, YJR155W, YNL331C	genemark-flattened_line_44-processed-gene-0.48-mRNA-1_1&gene=genemark-flattened_line_44-processed-gene-0.48&CDS=1-1146
31	OG0000031	YDR038C, YDR039C, YDR040C	genemark-flattened_line_1-processed-gene-7.93-mRNA-1_1&gene=genemark-flattened_line_1-processed-gene-7.93&CDS=1-3225
32	OG0000032	YDR144C, YLR120C, YLR121C	genemark-flattened_line_20-processed-gene-1.33-mRNA-1_1&gene=genemark-flattened_line_20-processed-gene-1.33&CDS=1-1584
33	OG0000033	YDR312W, YHR066W	genemark-flattened_line_0-processed-gene-1.101-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-1.101&CDS=1-1335, genemark-flattened_line_0-processed-gene-6.11-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-6.11&CDS=1-1335
34	OG0000034	YEL070W, YNR073C	genemark-flattened_line_26-processed-gene-1.117-mRNA-1_1&gene=genemark-flattened_line_26-processed-gene-1.117&CDS=1-1512, genemark-flattened_line_69-processed-gene-0.1-mRNA-1_1&gene=genemark-flattened_line_69-processed-gene-0.1&CDS=1-1512
35	OG0000035	YER056C-A, YIL052C	genemark-flattened_line_3-processed-gene-1.180-mRNA-1_1&gene=genemark-flattened_line_3-processed-gene-1.180&CDS=1-378, genemark-flattened_line_3-processed-gene-6.148-mRNA-1_1&gene=genemark-flattened_line_3-processed-gene-6.148&CDS=1-378
36	OG0000036	YER059W, YIL050W	genemark-flattened_line_3-processed-gene-1.154-mRNA-1_1&gene=genemark-flattened_line_3-processed-gene-1.154&CDS=1-1062, genemark-flattened_line_3-processed-gene-6.178-mRNA-1_1&gene=genemark-flattened_line_3-processed-gene-6.178&CDS=1-1062
37	OG0000037	YER070W, YIL066C	genemark-flattened_line_3-processed-gene-2.66-mRNA-1_1&gene=genemark-flattened_line_3-processed-gene-2.66&CDS=1-2658, genemark-flattened_line_3-processed-gene-6.169-mRNA-1_1&gene=genemark-flattened_line_3-processed-gene-6.169&CDS=1-2658
38	OG0000038	YER081W, YIL074C	genemark-flattened_line_3-processed-gene-2.78-mRNA-1_1&gene=genemark-flattened_line_3-processed-gene-2.78&CDS=1-1407, genemark-flattened_line_3-processed-gene-6.134-mRNA-1_1&gene=genemark-flattened_line_3-processed-gene-6.134&CDS=1-1407
39	OG0000039	YFL060C, YMR095C, YNL334C	genemark-flattened_line_1-processed-gene-4.4-mRNA-1_1&gene=genemark-flattened_line_1-processed-gene-4.4&CDS=1-627
40	OG0000040	YFR031C-A, YIL018W	maker-flattened_line_3-snap-gene-1.59-mRNA-1_1&gene=maker-flattened_line_3-snap-gene-1.59&CDS=1-762, maker-flattened_line_3-snap-gene-7.1-mRNA-1_1&gene=maker-flattened_line_3-snap-gene-7.1&CDS=1-762
41	OG0000041	YGL089C, YPL187W	genemark-flattened_line_13-processed-gene-2.26-mRNA-1_1&gene=genemark-flattened_line_13-processed-gene-2.26&CDS=1-381, genemark-flattened_line_13-processed-gene-3.93-mRNA-1_1&gene=genemark-flattened_line_13-processed-gene-3.93&CDS=1-381
42	OG0000042	YGR010W, YLR328W	genemark-flattened_line_9-processed-gene-0.83-mRNA-1_1&gene=genemark-flattened_line_9-processed-gene-0.83&CDS=1-1305, genemark-flattened_line_9-processed-gene-6.196-mRNA-1_1&gene=genemark-flattened_line_9-processed-gene-6.196&CDS=1-1305
43	OG0000043	YGR027C, YLR333C	genemark-flattened_line_9-processed-gene-0.51-mRNA-1_1&gene=genemark-flattened_line_9-processed-gene-0.51&CDS=1-324, genemark-flattened_line_9-processed-gene-6.238-mRNA-1_1&gene=genemark-flattened_line_9-processed-gene-6.238&CDS=1-324
44	OG0000044	YGR085C, YPR102C	genemark-flattened_line_12-processed-gene-0.56-mRNA-1_1&gene=genemark-flattened_line_12-processed-gene-0.56&CDS=1-522, genemark-flattened_line_12-processed-gene-5.117-mRNA-1_1&gene=genemark-flattened_line_12-processed-gene-5.117&CDS=1-522
45	OG0000045	YGR092W, YPR111W	augustus_masked-flattened_line_9-processed-gene-2.24-mRNA-1_1&gene=augustus_masked-flattened_line_9-processed-gene-2.24&CDS=1-4479, augustus_masked-flattened_line_9-processed-gene-4.41-mRNA-1_1&gene=augustus_masked-flattened_line_9-processed-gene-4.41&CDS=1-4479
46	OG0000046	YGR118W, YPR132W	genemark-flattened_line_9-processed-gene-3.135-mRNA-1_1&gene=genemark-flattened_line_9-processed-gene-3.135&CDS=1-435, genemark-flattened_line_9-processed-gene-4.52-mRNA-1_1&gene=genemark-flattened_line_9-processed-gene-4.52&CDS=1-435
47	OG0000047	YGR254W, YHR174W	genemark-flattened_line_13-processed-gene-1.127-mRNA-1_1&gene=genemark-flattened_line_13-processed-gene-1.127&CDS=1-1311, genemark-flattened_line_13-processed-gene-4.21-mRNA-1_1&gene=genemark-flattened_line_13-processed-gene-4.21&CDS=1-1311
48	OG0000048	YGR256W, YHR183W	snap_masked-flattened_line_13-processed-gene-1.73-mRNA-1_1&gene=snap_masked-flattened_line_13-processed-gene-1.73&CDS=1-1473, snap_masked-flattened_line_13-processed-gene-4.125-mRNA-1_1&gene=snap_masked-flattened_line_13-processed-gene-4.125&CDS=1-1473
49	OG0000049	YHR021C, YKL156W	snap_masked-flattened_line_0-processed-gene-3.5-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-3.5&CDS=1-1047, snap_masked-flattened_line_0-processed-gene-4.103-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-4.103&CDS=1-1047
50	OG0000050	YHR179W, YPL171C	genemark-flattened_line_13-processed-gene-1.123-mRNA-1_1&gene=genemark-flattened_line_13-processed-gene-1.123&CDS=1-1194, genemark-flattened_line_13-processed-gene-4.25-mRNA-1_1&gene=genemark-flattened_line_13-processed-gene-4.25&CDS=1-1194
51	OG0000051	YIR013C, YLR013W, YPL021W	genemark-flattened_line_10-processed-gene-4.37-mRNA-1_1&gene=genemark-flattened_line_10-processed-gene-4.37&CDS=1-1305
52	OG0000052	YJL043W, YKR015C	augustus_masked-flattened_line_9-processed-gene-1.130-mRNA-1_1&gene=augustus_masked-flattened_line_9-processed-gene-1.130&CDS=1-1548, augustus_masked-flattened_line_9-processed-gene-6.56-mRNA-1_1&gene=augustus_masked-flattened_line_9-processed-gene-6.56&CDS=1-1548
53	OG0000053	YJL190C, YLR367W	genemark-flattened_line_9-processed-gene-2.67-mRNA-1_1&gene=genemark-flattened_line_9-processed-gene-2.67&CDS=1-390, genemark-flattened_line_9-processed-gene-5.3-mRNA-1_1&gene=genemark-flattened_line_9-processed-gene-5.3&CDS=1-390
54	OG0000054	YJR094W-A, YPR043W	snap_masked-flattened_line_12-processed-gene-2.93-mRNA-1_1&gene=snap_masked-flattened_line_12-processed-gene-2.93&CDS=1-282, snap_masked-flattened_line_12-processed-gene-3.25-mRNA-1_1&gene=snap_masked-flattened_line_12-processed-gene-3.25&CDS=1-282
55	OG0000055	YKL034W, YKL035W	augustus_masked-flattened_line_9-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-flattened_line_9-processed-gene-0.20&CDS=1-3744, augustus_masked-flattened_line_9-processed-gene-6.60-mRNA-1_1&gene=augustus_masked-flattened_line_9-processed-gene-6.60&CDS=1-3744
56	OG0000056	YLR237W, YOR071C, YOR192C	genemark-flattened_line_20-processed-gene-3.161-mRNA-1_1&gene=genemark-flattened_line_20-processed-gene-3.161&CDS=1-1800
57	OG0000057	YLR249W, YNL014W	augustus_masked-flattened_line_9-processed-gene-1.134-mRNA-1_1&gene=augustus_masked-flattened_line_9-processed-gene-1.134&CDS=1-5616, augustus_masked-flattened_line_9-processed-gene-6.52-mRNA-1_1&gene=augustus_masked-flattened_line_9-processed-gene-6.52&CDS=1-5616
58	OG0000058	YMR006C, YMR008C, YOL011W	maker-flattened_line_10-snap-gene-5.75-mRNA-1_1&gene=maker-flattened_line_10-snap-gene-5.75&CDS=1-3858
59	OG0000059	YNL222W, YNL223W	augustus_masked-flattened_line_8-processed-gene-1.118-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-1.118&CDS=1-1899, snap_masked-flattened_line_8-processed-gene-6.107-mRNA-1_1&gene=snap_masked-flattened_line_8-processed-gene-6.107&CDS=1-1887
60	OG0000060	YOL055C, YPL258C, YPR121W	snap_masked-flattened_line_16-processed-gene-3.48-mRNA-1_1&gene=snap_masked-flattened_line_16-processed-gene-3.48&CDS=1-1656
61	OG0000061	YOR385W	snap_masked-flattened_line_10-processed-gene-5.115-mRNA-1_1&gene=snap_masked-flattened_line_10-processed-gene-5.115&CDS=1-921, snap_masked-flattened_line_4-processed-gene-5.127-mRNA-1_1&gene=snap_masked-flattened_line_4-processed-gene-5.127&CDS=1-945, snap_masked-flattened_line_4-processed-gene-5.128-mRNA-1_1&gene=snap_masked-flattened_line_4-processed-gene-5.128&CDS=1-945
62	OG0000062	YOR386W	genemark-flattened_line_12-processed-gene-1.10-mRNA-1_1&gene=genemark-flattened_line_12-processed-gene-1.10&CDS=1-1692, genemark-flattened_line_12-processed-gene-5.103-mRNA-1_1&gene=genemark-flattened_line_12-processed-gene-5.103&CDS=1-1692, genemark-flattened_line_22-processed-gene-2.256-mRNA-1_1&gene=genemark-flattened_line_22-processed-gene-2.256&CDS=1-1683
63	OG0000063	Q0045, Q0065, Q0070	maker-flattened_line_46-snap-gene-0.32-mRNA-1_1&gene=maker-flattened_line_46-snap-gene-0.32&CDS=1-306
64	OG0000064	YAL058W	snap_masked-flattened_line_3-processed-gene-1.124-mRNA-1_1&gene=snap_masked-flattened_line_3-processed-gene-1.124&CDS=1-1593, snap_masked-flattened_line_3-processed-gene-6.83-mRNA-1_1&gene=snap_masked-flattened_line_3-processed-gene-6.83&CDS=1-1593
65	OG0000065	YAL059W	genemark-flattened_line_3-processed-gene-1.183-mRNA-1_1&gene=genemark-flattened_line_3-processed-gene-1.183&CDS=1-522, genemark-flattened_line_3-processed-gene-6.145-mRNA-1_1&gene=genemark-flattened_line_3-processed-gene-6.145&CDS=1-522
66	OG0000066	YAL062W, YOR375C	genemark-flattened_line_28-processed-gene-1.69-mRNA-1_1&gene=genemark-flattened_line_28-processed-gene-1.69&CDS=1-1377
67	OG0000067	YBL002W, YDR224C	genemark-flattened_line_16-processed-gene-4.187-mRNA-1_1&gene=genemark-flattened_line_16-processed-gene-4.187&CDS=1-396
68	OG0000068	YBL027W, YBR084C-A	snap_masked-flattened_line_34-processed-gene-0.157-mRNA-1_1&gene=snap_masked-flattened_line_34-processed-gene-0.157&CDS=1-597
69	OG0000069	YBL069W, YER101C	genemark-flattened_line_18-processed-gene-2.131-mRNA-1_1&gene=genemark-flattened_line_18-processed-gene-2.131&CDS=1-1533
70	OG0000070	YBL072C, YER102W	genemark-flattened_line_18-processed-gene-2.154-mRNA-1_1&gene=genemark-flattened_line_18-processed-gene-2.154&CDS=1-603
71	OG0000071	YBL087C, YER117W	maker-flattened_line_38-snap-gene-0.0-mRNA-1_1&gene=maker-flattened_line_38-snap-gene-0.0&CDS=1-405
72	OG0000072	YBL101C	genemark-flattened_line_12-processed-gene-3.112-mRNA-1_1&gene=genemark-flattened_line_12-processed-gene-3.112&CDS=1-3186, genemark-flattened_line_12-processed-gene-3.135-mRNA-1_1&gene=genemark-flattened_line_12-processed-gene-3.135&CDS=1-3186
73	OG0000073	YBL102W	genemark-flattened_line_12-processed-gene-3.109-mRNA-1_1&gene=genemark-flattened_line_12-processed-gene-3.109&CDS=1-642, genemark-flattened_line_12-processed-gene-3.138-mRNA-1_1&gene=genemark-flattened_line_12-processed-gene-3.138&CDS=1-642
74	OG0000074	YBL103C	genemark-flattened_line_12-processed-gene-3.113-mRNA-1_1&gene=genemark-flattened_line_12-processed-gene-3.113&CDS=1-1452, genemark-flattened_line_12-processed-gene-3.134-mRNA-1_1&gene=genemark-flattened_line_12-processed-gene-3.134&CDS=1-1452
75	OG0000075	YBL104C	genemark-flattened_line_12-processed-gene-3.107-mRNA-1_1&gene=genemark-flattened_line_12-processed-gene-3.107&CDS=1-3012, genemark-flattened_line_12-processed-gene-3.115-mRNA-1_1&gene=genemark-flattened_line_12-processed-gene-3.115&CDS=1-3012
76	OG0000076	YBL105C	snap_masked-flattened_line_12-processed-gene-3.13-mRNA-1_1&gene=snap_masked-flattened_line_12-processed-gene-3.13&CDS=1-2277, snap_masked-flattened_line_12-processed-gene-3.3-mRNA-1_1&gene=snap_masked-flattened_line_12-processed-gene-3.3&CDS=1-2277
77	OG0000077	YBL106C	genemark-flattened_line_12-processed-gene-3.105-mRNA-1_1&gene=genemark-flattened_line_12-processed-gene-3.105&CDS=1-3081, genemark-flattened_line_12-processed-gene-3.117-mRNA-1_1&gene=genemark-flattened_line_12-processed-gene-3.117&CDS=1-3081
78	OG0000078	YBL107C	genemark-flattened_line_12-processed-gene-3.104-mRNA-1_1&gene=genemark-flattened_line_12-processed-gene-3.104&CDS=1-603, genemark-flattened_line_12-processed-gene-3.118-mRNA-1_1&gene=genemark-flattened_line_12-processed-gene-3.118&CDS=1-603
79	OG0000079	YBR005W, YDR003W	genemark-flattened_line_16-processed-gene-4.184-mRNA-1_1&gene=genemark-flattened_line_16-processed-gene-4.184&CDS=1-615
80	OG0000080	YBR020W, YDR009W	augustus_masked-flattened_line_20-processed-gene-3.54-mRNA-1_1&gene=augustus_masked-flattened_line_20-processed-gene-3.54&CDS=1-1575
81	OG0000081	YBR031W, YDR012W	maker-flattened_line_16-augustus-gene-4.64-mRNA-1_1&gene=maker-flattened_line_16-augustus-gene-4.64&CDS=1-2547
82	OG0000082	YBR048W, YDR025W	snap_masked-flattened_line_26-processed-gene-0.2-mRNA-1_1&gene=snap_masked-flattened_line_26-processed-gene-0.2&CDS=1-465
83	OG0000083	YBR054W, YDR033W	genemark-flattened_line_26-processed-gene-0.46-mRNA-1_1&gene=genemark-flattened_line_26-processed-gene-0.46&CDS=1-945
84	OG0000084	YBR082C, YDR059C	snap_masked-flattened_line_34-processed-gene-0.158-mRNA-1_1&gene=snap_masked-flattened_line_34-processed-gene-0.158&CDS=1-459
85	OG0000085	YBR088C	genemark-flattened_line_12-processed-gene-2.103-mRNA-1_1&gene=genemark-flattened_line_12-processed-gene-2.103&CDS=1-1053, genemark-flattened_line_12-processed-gene-4.153-mRNA-1_1&gene=genemark-flattened_line_12-processed-gene-4.153&CDS=1-1053
86	OG0000086	YBR091C	genemark-flattened_line_12-processed-gene-1.29-mRNA-1_1&gene=genemark-flattened_line_12-processed-gene-1.29&CDS=1-315, genemark-flattened_line_12-processed-gene-4.154-mRNA-1_1&gene=genemark-flattened_line_12-processed-gene-4.154&CDS=1-315
87	OG0000087	YBR094W	genemark-flattened_line_12-processed-gene-1.56-mRNA-1_1&gene=genemark-flattened_line_12-processed-gene-1.56&CDS=1-2181, genemark-flattened_line_12-processed-gene-4.128-mRNA-1_1&gene=genemark-flattened_line_12-processed-gene-4.128&CDS=1-2181
88	OG0000088	YBR095C	genemark-flattened_line_12-processed-gene-1.28-mRNA-1_1&gene=genemark-flattened_line_12-processed-gene-1.28&CDS=1-1086, genemark-flattened_line_12-processed-gene-4.155-mRNA-1_1&gene=genemark-flattened_line_12-processed-gene-4.155&CDS=1-1086
89	OG0000089	YBR096W	genemark-flattened_line_12-processed-gene-1.55-mRNA-1_1&gene=genemark-flattened_line_12-processed-gene-1.55&CDS=1-687, genemark-flattened_line_12-processed-gene-4.129-mRNA-1_1&gene=genemark-flattened_line_12-processed-gene-4.129&CDS=1-687
90	OG0000090	YBR097W	augustus_masked-flattened_line_12-processed-gene-1.171-mRNA-1_1&gene=augustus_masked-flattened_line_12-processed-gene-1.171&CDS=1-8013, augustus_masked-flattened_line_12-processed-gene-4.18-mRNA-1_1&gene=augustus_masked-flattened_line_12-processed-gene-4.18&CDS=1-8013
91	OG0000091	YBR098W	genemark-flattened_line_12-processed-gene-1.52-mRNA-1_1&gene=genemark-flattened_line_12-processed-gene-1.52&CDS=1-2079, genemark-flattened_line_12-processed-gene-4.132-mRNA-1_1&gene=genemark-flattened_line_12-processed-gene-4.132&CDS=1-2079
92	OG0000092	YBR101C	genemark-flattened_line_12-processed-gene-1.27-mRNA-1_1&gene=genemark-flattened_line_12-processed-gene-1.27&CDS=1-867, genemark-flattened_line_12-processed-gene-4.156-mRNA-1_1&gene=genemark-flattened_line_12-processed-gene-4.156&CDS=1-867
