	OrthologID	Saccharomyces_cerevisiae	yHMPu5000035645_Yarrowia_divulgata
10	OG0000010	YDL210W	augustus_masked-flattened_line_39-processed-gene-0.59-mRNA-1_1&gene=augustus_masked-flattened_line_39-processed-gene-0.59&CDS=1-1485, snap_masked-flattened_line_151-processed-gene-0.77-mRNA-1_1&gene=snap_masked-flattened_line_151-processed-gene-0.77&CDS=1-1581, snap_masked-flattened_line_2-processed-gene-1.30-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-1.30&CDS=1-1602, snap_masked-flattened_line_2-processed-gene-3.156-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-3.156&CDS=1-1647, snap_masked-flattened_line_286-processed-gene-0.34-mRNA-1_1&gene=snap_masked-flattened_line_286-processed-gene-0.34&CDS=1-1632, snap_masked-flattened_line_55-processed-gene-1.13-mRNA-1_1&gene=snap_masked-flattened_line_55-processed-gene-1.13&CDS=1-1590, snap_masked-flattened_line_59-processed-gene-0.175-mRNA-1_1&gene=snap_masked-flattened_line_59-processed-gene-0.175&CDS=1-1629, snap_masked-flattened_line_9-processed-gene-2.28-mRNA-1_1&gene=snap_masked-flattened_line_9-processed-gene-2.28&CDS=1-1527
11	OG0000011	YDR242W	snap_masked-flattened_line_107-processed-gene-0.49-mRNA-1_1&gene=snap_masked-flattened_line_107-processed-gene-0.49&CDS=1-1617, snap_masked-flattened_line_153-processed-gene-0.6-mRNA-1_1&gene=snap_masked-flattened_line_153-processed-gene-0.6&CDS=1-1608, snap_masked-flattened_line_23-processed-gene-1.58-mRNA-1_1&gene=snap_masked-flattened_line_23-processed-gene-1.58&CDS=1-1620, snap_masked-flattened_line_382-processed-gene-0.7-mRNA-1_1&gene=snap_masked-flattened_line_382-processed-gene-0.7&CDS=1-1632, snap_masked-flattened_line_43-processed-gene-0.11-mRNA-1_1&gene=snap_masked-flattened_line_43-processed-gene-0.11&CDS=1-1656, snap_masked-flattened_line_53-processed-gene-1.92-mRNA-1_1&gene=snap_masked-flattened_line_53-processed-gene-1.92&CDS=1-1665, snap_masked-flattened_line_59-processed-gene-0.184-mRNA-1_1&gene=snap_masked-flattened_line_59-processed-gene-0.184&CDS=1-1632
12	OG0000012	YDR406W, YOR153W, YOR328W	maker-flattened_line_238-snap-gene-0.0-mRNA-1_1&gene=maker-flattened_line_238-snap-gene-0.0&CDS=1-4452, maker-flattened_line_284-snap-gene-0.11-mRNA-1_1&gene=maker-flattened_line_284-snap-gene-0.11&CDS=1-4416, maker-flattened_line_69-snap-gene-0.172-mRNA-1_1&gene=maker-flattened_line_69-snap-gene-0.172&CDS=1-4629, maker-flattened_line_7-snap-gene-2.139-mRNA-1_1&gene=maker-flattened_line_7-snap-gene-2.139&CDS=1-4401, snap_masked-flattened_line_7-processed-gene-0.11-mRNA-1_1&gene=snap_masked-flattened_line_7-processed-gene-0.11&CDS=1-4416
13	OG0000013	YHR179W, YPL171C	snap_masked-flattened_line_15-processed-gene-0.5-mRNA-1_1&gene=snap_masked-flattened_line_15-processed-gene-0.5&CDS=1-1119, snap_masked-flattened_line_254-processed-gene-0.52-mRNA-1_1&gene=snap_masked-flattened_line_254-processed-gene-0.52&CDS=1-1131, snap_masked-flattened_line_4-processed-gene-1.26-mRNA-1_1&gene=snap_masked-flattened_line_4-processed-gene-1.26&CDS=1-1122, snap_masked-flattened_line_4-processed-gene-3.7-mRNA-1_1&gene=snap_masked-flattened_line_4-processed-gene-3.7&CDS=1-1122, snap_masked-flattened_line_41-processed-gene-1.15-mRNA-1_1&gene=snap_masked-flattened_line_41-processed-gene-1.15&CDS=1-1107, snap_masked-flattened_line_440-processed-gene-0.4-mRNA-1_1&gene=snap_masked-flattened_line_440-processed-gene-0.4&CDS=1-1110
14	OG0000014	YKL217W	snap_masked-flattened_line_0-processed-gene-0.12-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-0.12&CDS=1-1587, snap_masked-flattened_line_175-processed-gene-0.30-mRNA-1_1&gene=snap_masked-flattened_line_175-processed-gene-0.30&CDS=1-1497, snap_masked-flattened_line_183-processed-gene-0.37-mRNA-1_1&gene=snap_masked-flattened_line_183-processed-gene-0.37&CDS=1-1572, snap_masked-flattened_line_344-processed-gene-0.22-mRNA-1_1&gene=snap_masked-flattened_line_344-processed-gene-0.22&CDS=1-1554, snap_masked-flattened_line_47-processed-gene-1.58-mRNA-1_1&gene=snap_masked-flattened_line_47-processed-gene-1.58&CDS=1-1482, snap_masked-flattened_line_51-processed-gene-1.37-mRNA-1_1&gene=snap_masked-flattened_line_51-processed-gene-1.37&CDS=1-1575, snap_masked-flattened_line_67-processed-gene-0.123-mRNA-1_1&gene=snap_masked-flattened_line_67-processed-gene-0.123&CDS=1-1494
15	OG0000015	YKR039W	snap_masked-flattened_line_0-processed-gene-0.13-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-0.13&CDS=1-1758, snap_masked-flattened_line_0-processed-gene-1.15-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-1.15&CDS=1-1806, snap_masked-flattened_line_199-processed-gene-0.53-mRNA-1_1&gene=snap_masked-flattened_line_199-processed-gene-0.53&CDS=1-1731, snap_masked-flattened_line_334-processed-gene-0.1-mRNA-1_1&gene=snap_masked-flattened_line_334-processed-gene-0.1&CDS=1-1758, snap_masked-flattened_line_5-processed-gene-0.61-mRNA-1_1&gene=snap_masked-flattened_line_5-processed-gene-0.61&CDS=1-1776, snap_masked-flattened_line_71-processed-gene-0.30-mRNA-1_1&gene=snap_masked-flattened_line_71-processed-gene-0.30&CDS=1-1755, snap_masked-flattened_line_87-processed-gene-0.112-mRNA-1_1&gene=snap_masked-flattened_line_87-processed-gene-0.112&CDS=1-1737
16	OG0000016	YOR349W	augustus_masked-flattened_line_117-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-flattened_line_117-processed-gene-0.20&CDS=1-2265, augustus_masked-flattened_line_121-processed-gene-0.58-mRNA-1_1&gene=augustus_masked-flattened_line_121-processed-gene-0.58&CDS=1-5238, augustus_masked-flattened_line_19-processed-gene-2.7-mRNA-1_1&gene=augustus_masked-flattened_line_19-processed-gene-2.7&CDS=1-2286, augustus_masked-flattened_line_65-processed-gene-0.165-mRNA-1_1&gene=augustus_masked-flattened_line_65-processed-gene-0.165&CDS=1-2238, augustus_masked-flattened_line_97-processed-gene-0.59-mRNA-1_1&gene=augustus_masked-flattened_line_97-processed-gene-0.59&CDS=1-2022, snap_masked-flattened_line_504-processed-gene-0.1-mRNA-1_1&gene=snap_masked-flattened_line_504-processed-gene-0.1&CDS=1-780, snap_masked-flattened_line_65-processed-gene-0.50-mRNA-1_1&gene=snap_masked-flattened_line_65-processed-gene-0.50&CDS=1-1113
17	OG0000017	YOR388C	snap_masked-flattened_line_0-processed-gene-1.17-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-1.17&CDS=1-1104, snap_masked-flattened_line_0-processed-gene-4.41-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-4.41&CDS=1-1098, snap_masked-flattened_line_17-processed-gene-0.83-mRNA-1_1&gene=snap_masked-flattened_line_17-processed-gene-0.83&CDS=1-1095, snap_masked-flattened_line_31-processed-gene-0.98-mRNA-1_1&gene=snap_masked-flattened_line_31-processed-gene-0.98&CDS=1-1104, snap_masked-flattened_line_33-processed-gene-1.31-mRNA-1_1&gene=snap_masked-flattened_line_33-processed-gene-1.31&CDS=1-1095, snap_masked-flattened_line_35-processed-gene-0.19-mRNA-1_1&gene=snap_masked-flattened_line_35-processed-gene-0.19&CDS=1-1104, snap_masked-flattened_line_73-processed-gene-0.170-mRNA-1_1&gene=snap_masked-flattened_line_73-processed-gene-0.170&CDS=1-1104
18	OG0000018	YBL005W, YER184C, YGL013C, YLR256W	augustus_masked-flattened_line_13-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-flattened_line_13-processed-gene-0.19&CDS=1-1443, snap_masked-flattened_line_43-processed-gene-1.132-mRNA-1_1&gene=snap_masked-flattened_line_43-processed-gene-1.132&CDS=1-3432, snap_masked-flattened_line_43-processed-gene-1.156-mRNA-1_1&gene=snap_masked-flattened_line_43-processed-gene-1.156&CDS=1-2514
19	OG0000019	YDR536W	maker-flattened_line_189-snap-gene-0.25-mRNA-1_1&gene=maker-flattened_line_189-snap-gene-0.25&CDS=1-3423, snap_masked-flattened_line_109-processed-gene-0.96-mRNA-1_1&gene=snap_masked-flattened_line_109-processed-gene-0.96&CDS=1-1734, snap_masked-flattened_line_129-processed-gene-0.27-mRNA-1_1&gene=snap_masked-flattened_line_129-processed-gene-0.27&CDS=1-1692, snap_masked-flattened_line_244-processed-gene-0.15-mRNA-1_1&gene=snap_masked-flattened_line_244-processed-gene-0.15&CDS=1-1746, snap_masked-flattened_line_330-processed-gene-0.34-mRNA-1_1&gene=snap_masked-flattened_line_330-processed-gene-0.34&CDS=1-1743, snap_masked-flattened_line_59-processed-gene-0.188-mRNA-1_1&gene=snap_masked-flattened_line_59-processed-gene-0.188&CDS=1-1776
20	OG0000020	YGL205W	snap_masked-flattened_line_115-processed-gene-0.34-mRNA-1_1&gene=snap_masked-flattened_line_115-processed-gene-0.34&CDS=1-2097, snap_masked-flattened_line_15-processed-gene-0.23-mRNA-1_1&gene=snap_masked-flattened_line_15-processed-gene-0.23&CDS=1-2103, snap_masked-flattened_line_197-processed-gene-0.3-mRNA-1_1&gene=snap_masked-flattened_line_197-processed-gene-0.3&CDS=1-2100, snap_masked-flattened_line_47-processed-gene-1.56-mRNA-1_1&gene=snap_masked-flattened_line_47-processed-gene-1.56&CDS=1-2100, snap_masked-flattened_line_5-processed-gene-3.11-mRNA-1_1&gene=snap_masked-flattened_line_5-processed-gene-3.11&CDS=1-2067, snap_masked-flattened_line_51-processed-gene-1.39-mRNA-1_1&gene=snap_masked-flattened_line_51-processed-gene-1.39&CDS=1-2067
21	OG0000021	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W	snap_masked-flattened_line_137-processed-gene-0.26-mRNA-1_1&gene=snap_masked-flattened_line_137-processed-gene-0.26&CDS=1-1761
22	OG0000022	YCL069W, YGR224W, YKR105C, YPR198W	snap_masked-flattened_line_33-processed-gene-1.13-mRNA-1_1&gene=snap_masked-flattened_line_33-processed-gene-1.13&CDS=1-1824, snap_masked-flattened_line_41-processed-gene-1.42-mRNA-1_1&gene=snap_masked-flattened_line_41-processed-gene-1.42&CDS=1-1797
23	OG0000023	YCR102C, YLR460C, YNL134C	augustus_masked-flattened_line_17-processed-gene-0.33-mRNA-1_1&gene=augustus_masked-flattened_line_17-processed-gene-0.33&CDS=1-999, snap_masked-flattened_line_125-processed-gene-0.90-mRNA-1_1&gene=snap_masked-flattened_line_125-processed-gene-0.90&CDS=1-1152, snap_masked-flattened_line_29-processed-gene-1.116-mRNA-1_1&gene=snap_masked-flattened_line_29-processed-gene-1.116&CDS=1-1101
24	OG0000024	YDR368W, YOR120W	snap_masked-flattened_line_0-processed-gene-3.105-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-3.105&CDS=1-927, snap_masked-flattened_line_153-processed-gene-0.9-mRNA-1_1&gene=snap_masked-flattened_line_153-processed-gene-0.9&CDS=1-927, snap_masked-flattened_line_376-processed-gene-0.22-mRNA-1_1&gene=snap_masked-flattened_line_376-processed-gene-0.22&CDS=1-927, snap_masked-flattened_line_85-processed-gene-0.138-mRNA-1_1&gene=snap_masked-flattened_line_85-processed-gene-0.138&CDS=1-927
25	OG0000025	YER056C, YER060W, YER060W-A	snap_masked-flattened_line_17-processed-gene-1.70-mRNA-1_1&gene=snap_masked-flattened_line_17-processed-gene-1.70&CDS=1-1539, snap_masked-flattened_line_266-processed-gene-0.8-mRNA-1_1&gene=snap_masked-flattened_line_266-processed-gene-0.8&CDS=1-1521, snap_masked-flattened_line_33-processed-gene-1.2-mRNA-1_1&gene=snap_masked-flattened_line_33-processed-gene-1.2&CDS=1-1548
26	OG0000026	YGR044C	genemark-flattened_line_21-processed-gene-1.100-mRNA-1_1&gene=genemark-flattened_line_21-processed-gene-1.100&CDS=1-588, snap_masked-flattened_line_173-processed-gene-0.86-mRNA-1_1&gene=snap_masked-flattened_line_173-processed-gene-0.86&CDS=1-1158, snap_masked-flattened_line_197-processed-gene-0.17-mRNA-1_1&gene=snap_masked-flattened_line_197-processed-gene-0.17&CDS=1-1350, snap_masked-flattened_line_268-processed-gene-0.45-mRNA-1_1&gene=snap_masked-flattened_line_268-processed-gene-0.45&CDS=1-453, snap_masked-flattened_line_356-processed-gene-0.1-mRNA-1_1&gene=snap_masked-flattened_line_356-processed-gene-0.1&CDS=1-1212
