	OrthologID	Saccharomyces_cerevisiae	yHMPu5000034866_Zygosaccharomyces_bisporus
10	OG0000010	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W	augustus_masked-flattened_line_132-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_132-processed-gene-0.1&CDS=1-1404, augustus_masked-flattened_line_170-processed-gene-0.27-mRNA-1_1&gene=augustus_masked-flattened_line_170-processed-gene-0.27&CDS=1-1395
11	OG0000011	YDR541C, YOL151W	augustus_masked-flattened_line_110-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-flattened_line_110-processed-gene-0.14&CDS=1-1029, augustus_masked-flattened_line_142-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-flattened_line_142-processed-gene-0.16&CDS=1-1026, augustus_masked-flattened_line_18-processed-gene-0.79-mRNA-1_1&gene=augustus_masked-flattened_line_18-processed-gene-0.79&CDS=1-1029, augustus_masked-flattened_line_226-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-flattened_line_226-processed-gene-0.3&CDS=1-1029, augustus_masked-flattened_line_92-processed-gene-0.22-mRNA-1_1&gene=augustus_masked-flattened_line_92-processed-gene-0.22&CDS=1-1023
12	OG0000012	YJL158C, YJL159W, YJL160C, YKL163W, YKL164C	augustus_masked-flattened_line_12-processed-gene-1.134-mRNA-1_1&gene=augustus_masked-flattened_line_12-processed-gene-1.134&CDS=1-1569, maker-flattened_line_12-snap-gene-1.147-mRNA-1_1&gene=maker-flattened_line_12-snap-gene-1.147&CDS=1-2430
13	OG0000013	YAL063C, YAL064C-A, YHR211W, YHR213W	genemark-flattened_line_232-processed-gene-0.1-mRNA-1_1&gene=genemark-flattened_line_232-processed-gene-0.1&CDS=1-1146, maker-flattened_line_230-snap-gene-0.3-mRNA-1_1&gene=maker-flattened_line_230-snap-gene-0.3&CDS=1-1959
14	OG0000014	YDR242W	augustus_masked-flattened_line_142-processed-gene-0.22-mRNA-1_1&gene=augustus_masked-flattened_line_142-processed-gene-0.22&CDS=1-1659, augustus_masked-flattened_line_160-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-flattened_line_160-processed-gene-0.13&CDS=1-1662, augustus_masked-flattened_line_184-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-flattened_line_184-processed-gene-0.3&CDS=1-1662, augustus_masked-flattened_line_190-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-flattened_line_190-processed-gene-0.7&CDS=1-1653, augustus_masked-flattened_line_34-processed-gene-0.57-mRNA-1_1&gene=augustus_masked-flattened_line_34-processed-gene-0.57&CDS=1-1761
15	OG0000015	YEL063C, YFL055W, YNL268W	augustus_masked-flattened_line_80-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-flattened_line_80-processed-gene-0.3&CDS=1-1785, augustus_masked-flattened_line_88-processed-gene-0.85-mRNA-1_1&gene=augustus_masked-flattened_line_88-processed-gene-0.85&CDS=1-1665, snap_masked-flattened_line_80-processed-gene-0.93-mRNA-1_1&gene=snap_masked-flattened_line_80-processed-gene-0.93&CDS=1-1719
16	OG0000016	YER133W, YML016C, YPL179W	augustus_masked-flattened_line_2-processed-gene-2.40-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-2.40&CDS=1-1371, augustus_masked-flattened_line_38-processed-gene-0.211-mRNA-1_1&gene=augustus_masked-flattened_line_38-processed-gene-0.211&CDS=1-936, augustus_masked-flattened_line_42-processed-gene-0.151-mRNA-1_1&gene=augustus_masked-flattened_line_42-processed-gene-0.151&CDS=1-2154
17	OG0000017	YIL123W, YJL116C, YKR042W, YNL066W	augustus_masked-flattened_line_90-processed-gene-0.82-mRNA-1_1&gene=augustus_masked-flattened_line_90-processed-gene-0.82&CDS=1-1113, maker-flattened_line_100-snap-gene-0.32-mRNA-1_1&gene=maker-flattened_line_100-snap-gene-0.32&CDS=1-1599
18	OG0000018	YNL104C, YNL106C, YOR108W, YOR109W	augustus_masked-flattened_line_14-processed-gene-0.74-mRNA-1_1&gene=augustus_masked-flattened_line_14-processed-gene-0.74&CDS=1-1731, maker-flattened_line_18-snap-gene-1.5-mRNA-1_1&gene=maker-flattened_line_18-snap-gene-1.5&CDS=1-5739
19	OG0000019	Q0045, Q0060, Q0065, Q0070	maker-flattened_line_156-snap-gene-0.3-mRNA-1_1&gene=maker-flattened_line_156-snap-gene-0.3&CDS=1-525, maker-flattened_line_156-snap-gene-0.5-mRNA-1_1&gene=maker-flattened_line_156-snap-gene-0.5&CDS=1-288
20	OG0000020	Q0105, Q0110, Q0115, Q0120	maker-flattened_line_156-snap-gene-0.0-mRNA-1_1&gene=maker-flattened_line_156-snap-gene-0.0&CDS=1-324, maker-flattened_line_156-snap-gene-0.4-mRNA-1_1&gene=maker-flattened_line_156-snap-gene-0.4&CDS=1-486
21	OG0000021	YBL042C, YBR021W, YIR028W	augustus_masked-flattened_line_12-processed-gene-1.95-mRNA-1_1&gene=augustus_masked-flattened_line_12-processed-gene-1.95&CDS=1-1830, augustus_masked-flattened_line_2-processed-gene-2.27-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-2.27&CDS=1-1944
22	OG0000022	YBR008C	augustus_masked-flattened_line_28-processed-gene-1.152-mRNA-1_1&gene=augustus_masked-flattened_line_28-processed-gene-1.152&CDS=1-1713, maker-flattened_line_46-augustus-gene-0.148-mRNA-1_1&gene=maker-flattened_line_46-augustus-gene-0.148&CDS=1-3255, maker-flattened_line_46-snap-gene-0.2-mRNA-1_1&gene=maker-flattened_line_46-snap-gene-0.2&CDS=1-3240, snap_masked-flattened_line_176-processed-gene-0.15-mRNA-1_1&gene=snap_masked-flattened_line_176-processed-gene-0.15&CDS=1-1632
23	OG0000023	YBR059C, YIL095W, YNL020C	augustus_masked-flattened_line_20-processed-gene-1.80-mRNA-1_1&gene=augustus_masked-flattened_line_20-processed-gene-1.80&CDS=1-2988, augustus_masked-flattened_line_76-processed-gene-0.98-mRNA-1_1&gene=augustus_masked-flattened_line_76-processed-gene-0.98&CDS=1-2109
24	OG0000024	YCR037C, YJL198W, YNR013C	augustus_masked-flattened_line_88-processed-gene-0.63-mRNA-1_1&gene=augustus_masked-flattened_line_88-processed-gene-0.63&CDS=1-2547, genemark-flattened_line_124-processed-gene-0.13-mRNA-1_1&gene=genemark-flattened_line_124-processed-gene-0.13&CDS=1-6348
25	OG0000025	YDL244W, YFL058W, YJR156C, YNL332W	augustus_masked-flattened_line_24-processed-gene-1.127-mRNA-1_1&gene=augustus_masked-flattened_line_24-processed-gene-1.127&CDS=1-1020
26	OG0000026	YDR144C, YLR120C, YLR121C	augustus_masked-flattened_line_0-processed-gene-3.27-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-3.27&CDS=1-1584, maker-flattened_line_2-augustus-gene-0.43-mRNA-1_1&gene=maker-flattened_line_2-augustus-gene-0.43&CDS=1-4953
27	OG0000027	YDR483W, YOR099W	augustus_masked-flattened_line_2-processed-gene-1.40-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-1.40&CDS=1-1425, augustus_masked-flattened_line_34-processed-gene-0.42-mRNA-1_1&gene=augustus_masked-flattened_line_34-processed-gene-0.42&CDS=1-1149, snap_masked-flattened_line_4-processed-gene-1.101-mRNA-1_1&gene=snap_masked-flattened_line_4-processed-gene-1.101&CDS=1-1035
28	OG0000028	YDR533C, YMR322C, YOR391C, YPL280W	augustus_masked-flattened_line_186-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-flattened_line_186-processed-gene-0.9&CDS=1-702
29	OG0000029	YER056C, YER060W, YER060W-A	augustus_masked-flattened_line_14-processed-gene-1.231-mRNA-1_1&gene=augustus_masked-flattened_line_14-processed-gene-1.231&CDS=1-1533, augustus_masked-flattened_line_22-processed-gene-0.79-mRNA-1_1&gene=augustus_masked-flattened_line_22-processed-gene-0.79&CDS=1-1695
30	OG0000030	YHR179W, YPL171C	augustus_masked-flattened_line_118-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-flattened_line_118-processed-gene-0.19&CDS=1-1200, augustus_masked-flattened_line_30-processed-gene-0.147-mRNA-1_1&gene=augustus_masked-flattened_line_30-processed-gene-0.147&CDS=1-1191, maker-flattened_line_0-snap-gene-0.103-mRNA-1_1&gene=maker-flattened_line_0-snap-gene-0.103&CDS=1-2334
31	OG0000031	YIR013C, YLR013W, YMR136W	augustus_masked-flattened_line_62-processed-gene-0.32-mRNA-1_1&gene=augustus_masked-flattened_line_62-processed-gene-0.32&CDS=1-1467, augustus_masked-flattened_line_8-processed-gene-1.73-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-1.73&CDS=1-1272
32	OG0000032	YLR098C, YOR337W	augustus_masked-flattened_line_28-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-flattened_line_28-processed-gene-0.13&CDS=1-2214, maker-flattened_line_10-snap-gene-1.208-mRNA-1_1&gene=maker-flattened_line_10-snap-gene-1.208&CDS=1-1791, snap_masked-flattened_line_12-processed-gene-1.53-mRNA-1_1&gene=snap_masked-flattened_line_12-processed-gene-1.53&CDS=1-1560
33	OG0000033	YLR266C, YOR162C, YOR172W	augustus_masked-flattened_line_42-processed-gene-0.171-mRNA-1_1&gene=augustus_masked-flattened_line_42-processed-gene-0.171&CDS=1-2658, snap_masked-flattened_line_42-processed-gene-0.106-mRNA-1_1&gene=snap_masked-flattened_line_42-processed-gene-0.106&CDS=1-2274
34	OG0000034	YMR140W	augustus_masked-flattened_line_170-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-flattened_line_170-processed-gene-0.21&CDS=1-1413, augustus_masked-flattened_line_94-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-flattened_line_94-processed-gene-0.21&CDS=1-1428, maker-flattened_line_62-augustus-gene-0.45-mRNA-1_1&gene=maker-flattened_line_62-augustus-gene-0.45&CDS=1-2805, snap_masked-flattened_line_132-processed-gene-0.10-mRNA-1_1&gene=snap_masked-flattened_line_132-processed-gene-0.10&CDS=1-1428
35	OG0000035	YMR275C, YNR069C	snap_masked-flattened_line_26-processed-gene-1.78-mRNA-1_1&gene=snap_masked-flattened_line_26-processed-gene-1.78&CDS=1-1956, snap_masked-flattened_line_68-processed-gene-0.72-mRNA-1_1&gene=snap_masked-flattened_line_68-processed-gene-0.72&CDS=1-2712, snap_masked-flattened_line_92-processed-gene-0.37-mRNA-1_1&gene=snap_masked-flattened_line_92-processed-gene-0.37&CDS=1-2184
36	OG0000036		augustus_masked-flattened_line_186-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-flattened_line_186-processed-gene-0.6&CDS=1-1023, snap_masked-flattened_line_0-processed-gene-3.97-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-3.97&CDS=1-1080, snap_masked-flattened_line_116-processed-gene-0.63-mRNA-1_1&gene=snap_masked-flattened_line_116-processed-gene-0.63&CDS=1-366, snap_masked-flattened_line_116-processed-gene-0.64-mRNA-1_1&gene=snap_masked-flattened_line_116-processed-gene-0.64&CDS=1-552, snap_masked-flattened_line_116-processed-gene-0.68-mRNA-1_1&gene=snap_masked-flattened_line_116-processed-gene-0.68&CDS=1-918
37	OG0000037	YAL023C, YGR199W	augustus_masked-flattened_line_10-processed-gene-1.28-mRNA-1_1&gene=augustus_masked-flattened_line_10-processed-gene-1.28&CDS=1-2253, augustus_masked-flattened_line_98-processed-gene-0.95-mRNA-1_1&gene=augustus_masked-flattened_line_98-processed-gene-0.95&CDS=1-2178
38	OG0000038	YAL054C, YLR153C	augustus_masked-flattened_line_202-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-flattened_line_202-processed-gene-0.11&CDS=1-2025, augustus_masked-flattened_line_28-processed-gene-1.126-mRNA-1_1&gene=augustus_masked-flattened_line_28-processed-gene-1.126&CDS=1-2865
39	OG0000039	YBL002W, YDR224C	augustus_masked-flattened_line_2-processed-gene-3.95-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-3.95&CDS=1-396, augustus_masked-flattened_line_44-processed-gene-0.215-mRNA-1_1&gene=augustus_masked-flattened_line_44-processed-gene-0.215&CDS=1-396
40	OG0000040	YBL011W, YKR067W	augustus_masked-flattened_line_32-processed-gene-0.108-mRNA-1_1&gene=augustus_masked-flattened_line_32-processed-gene-0.108&CDS=1-3306, augustus_masked-flattened_line_36-processed-gene-0.188-mRNA-1_1&gene=augustus_masked-flattened_line_36-processed-gene-0.188&CDS=1-2136
41	OG0000041	YBL016W, YLR352W	augustus_masked-flattened_line_38-processed-gene-0.178-mRNA-1_1&gene=augustus_masked-flattened_line_38-processed-gene-0.178&CDS=1-1044, augustus_masked-flattened_line_94-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-flattened_line_94-processed-gene-0.17&CDS=1-3444
42	OG0000042	YBL052C, YOR244W	augustus_masked-flattened_line_0-processed-gene-3.83-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-3.83&CDS=1-1308, snap_masked-flattened_line_104-processed-gene-0.31-mRNA-1_1&gene=snap_masked-flattened_line_104-processed-gene-0.31&CDS=1-2367
43	OG0000043	YBL063W, YEL061C	augustus_masked-flattened_line_22-processed-gene-0.65-mRNA-1_1&gene=augustus_masked-flattened_line_22-processed-gene-0.65&CDS=1-2865, augustus_masked-flattened_line_40-processed-gene-0.129-mRNA-1_1&gene=augustus_masked-flattened_line_40-processed-gene-0.129&CDS=1-3390
44	OG0000044	YBR015C, YJL186W	augustus_masked-flattened_line_14-processed-gene-1.239-mRNA-1_1&gene=augustus_masked-flattened_line_14-processed-gene-1.239&CDS=1-1665, augustus_masked-flattened_line_214-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_214-processed-gene-0.0&CDS=1-2949
45	OG0000045	YBR025C, YHL014C	augustus_masked-flattened_line_2-processed-gene-2.44-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-2.44&CDS=1-1179, maker-flattened_line_84-augustus-gene-0.91-mRNA-1_1&gene=maker-flattened_line_84-augustus-gene-0.91&CDS=1-2085
46	OG0000046	YBR038W, YNL192W	augustus_masked-flattened_line_2-processed-gene-2.43-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-2.43&CDS=1-2853, maker-flattened_line_48-augustus-gene-0.143-mRNA-1_1&gene=maker-flattened_line_48-augustus-gene-0.143&CDS=1-3567
47	OG0000047	YBR084W, YGR204W	augustus_masked-flattened_line_34-processed-gene-0.52-mRNA-1_1&gene=augustus_masked-flattened_line_34-processed-gene-0.52&CDS=1-2862, augustus_masked-flattened_line_98-processed-gene-0.97-mRNA-1_1&gene=augustus_masked-flattened_line_98-processed-gene-0.97&CDS=1-2844
48	OG0000048	YBR139W, YMR297W	augustus_masked-flattened_line_10-processed-gene-0.50-mRNA-1_1&gene=augustus_masked-flattened_line_10-processed-gene-0.50&CDS=1-1593, augustus_masked-flattened_line_26-processed-gene-0.65-mRNA-1_1&gene=augustus_masked-flattened_line_26-processed-gene-0.65&CDS=1-1464
49	OG0000049	YBR245C, YOR304W	augustus_masked-flattened_line_0-processed-gene-2.60-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-2.60&CDS=1-3246, augustus_masked-flattened_line_8-processed-gene-0.106-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-0.106&CDS=1-3153
50	OG0000050	YBR263W, YLR058C	augustus_masked-flattened_line_146-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-flattened_line_146-processed-gene-0.23&CDS=1-1479, augustus_masked-flattened_line_50-processed-gene-0.157-mRNA-1_1&gene=augustus_masked-flattened_line_50-processed-gene-0.157&CDS=1-1407
51	OG0000051	YCL067C, YCR039C, YCR096C	snap_masked-flattened_line_180-processed-gene-0.2-mRNA-1_1&gene=snap_masked-flattened_line_180-processed-gene-0.2&CDS=1-507
52	OG0000052	YCR028C	augustus_masked-flattened_line_14-processed-gene-1.235-mRNA-1_1&gene=augustus_masked-flattened_line_14-processed-gene-1.235&CDS=1-1530, augustus_masked-flattened_line_160-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-flattened_line_160-processed-gene-0.11&CDS=1-1530, snap_masked-flattened_line_184-processed-gene-0.12-mRNA-1_1&gene=snap_masked-flattened_line_184-processed-gene-0.12&CDS=1-1530
53	OG0000053	YCR102C, YLR460C, YNL134C	augustus_masked-flattened_line_18-processed-gene-1.163-mRNA-1_1&gene=augustus_masked-flattened_line_18-processed-gene-1.163&CDS=1-1110
54	OG0000054	YDL049C, YJL174W	augustus_masked-flattened_line_140-processed-gene-0.45-mRNA-1_1&gene=augustus_masked-flattened_line_140-processed-gene-0.45&CDS=1-813, augustus_masked-flattened_line_148-processed-gene-0.54-mRNA-1_1&gene=augustus_masked-flattened_line_148-processed-gene-0.54&CDS=1-819
55	OG0000055	YDL131W, YDL182W	maker-flattened_line_48-augustus-gene-0.142-mRNA-1_1&gene=maker-flattened_line_48-augustus-gene-0.142&CDS=1-1575, snap_masked-flattened_line_20-processed-gene-1.33-mRNA-1_1&gene=snap_masked-flattened_line_20-processed-gene-1.33&CDS=1-1179
56	OG0000056	YDL178W, YEL071W	augustus_masked-flattened_line_142-processed-gene-0.25-mRNA-1_1&gene=augustus_masked-flattened_line_142-processed-gene-0.25&CDS=1-1596, augustus_masked-flattened_line_48-processed-gene-0.180-mRNA-1_1&gene=augustus_masked-flattened_line_48-processed-gene-0.180&CDS=1-1605
57	OG0000057	YDL210W	augustus_masked-flattened_line_58-processed-gene-0.73-mRNA-1_1&gene=augustus_masked-flattened_line_58-processed-gene-0.73&CDS=1-1719, augustus_masked-flattened_line_6-processed-gene-0.65-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-0.65&CDS=1-1734, augustus_masked-flattened_line_6-processed-gene-0.74-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-0.74&CDS=1-1734
58	OG0000058	YDR038C, YDR039C, YDR040C	maker-flattened_line_20-augustus-gene-1.116-mRNA-1_1&gene=maker-flattened_line_20-augustus-gene-1.116&CDS=1-4101
59	OG0000059	YDR135C, YLL015W	augustus_masked-flattened_line_10-processed-gene-1.38-mRNA-1_1&gene=augustus_masked-flattened_line_10-processed-gene-1.38&CDS=1-4569, augustus_masked-flattened_line_4-processed-gene-0.45-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-0.45&CDS=1-4650
60	OG0000060	YDR256C, YKL080W	maker-flattened_line_2-snap-gene-2.145-mRNA-1_1&gene=maker-flattened_line_2-snap-gene-2.145&CDS=1-4638, maker-flattened_line_6-augustus-gene-2.107-mRNA-1_1&gene=maker-flattened_line_6-augustus-gene-2.107&CDS=1-2391
61	OG0000061	YDR270W, YLR314C	augustus_masked-flattened_line_108-processed-gene-0.37-mRNA-1_1&gene=augustus_masked-flattened_line_108-processed-gene-0.37&CDS=1-4500, augustus_masked-flattened_line_4-processed-gene-1.45-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-1.45&CDS=1-10017
62	OG0000062	YDR420W, YGR014W	snap_masked-flattened_line_42-processed-gene-0.70-mRNA-1_1&gene=snap_masked-flattened_line_42-processed-gene-0.70&CDS=1-5478, snap_masked-flattened_line_98-processed-gene-0.81-mRNA-1_1&gene=snap_masked-flattened_line_98-processed-gene-0.81&CDS=1-3342
63	OG0000063	YDR507C, YKL101W	augustus_masked-flattened_line_2-processed-gene-2.22-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-2.22&CDS=1-4674, augustus_masked-flattened_line_238-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-flattened_line_238-processed-gene-0.2&CDS=1-3723
64	OG0000064	YER017C, YMR089C	augustus_masked-flattened_line_14-processed-gene-1.182-mRNA-1_1&gene=augustus_masked-flattened_line_14-processed-gene-1.182&CDS=1-2232, augustus_masked-flattened_line_2-processed-gene-2.20-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-2.20&CDS=1-2493
65	OG0000065	YER070W, YIL066C	maker-flattened_line_22-augustus-gene-0.94-mRNA-1_1&gene=maker-flattened_line_22-augustus-gene-0.94&CDS=1-4662, maker-flattened_line_24-augustus-gene-0.78-mRNA-1_1&gene=maker-flattened_line_24-augustus-gene-0.78&CDS=1-4095
66	OG0000066	YER123W, YHR135C	augustus_masked-flattened_line_102-processed-gene-0.105-mRNA-1_1&gene=augustus_masked-flattened_line_102-processed-gene-0.105&CDS=1-1542, augustus_masked-flattened_line_52-processed-gene-0.88-mRNA-1_1&gene=augustus_masked-flattened_line_52-processed-gene-0.88&CDS=1-1740
67	OG0000067	YER172C, YGR271W	augustus_masked-flattened_line_10-processed-gene-0.49-mRNA-1_1&gene=augustus_masked-flattened_line_10-processed-gene-0.49&CDS=1-5874, augustus_masked-flattened_line_8-processed-gene-2.122-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-2.122&CDS=1-6447
