	OrthologID	Saccharomyces_cerevisiae	yHMPu5000034891_Ogataea_pini
10	OG0000010	YCL024W, YDR477W, YDR507C, YKL101W	augustus_masked-NODE_14_length_290969_cov_36.4051_ID_27-processed-gene-1.222-mRNA-1_1&gene=augustus_masked-NODE_14_length_290969_cov_36.4051_ID_27-processed-gene-1.222&CDS=1-1791, augustus_masked-NODE_27_length_131471_cov_55.5085_ID_53-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-NODE_27_length_131471_cov_55.5085_ID_53-processed-gene-0.3&CDS=1-3846, snap_masked-NODE_10_length_485264_cov_41.3579_ID_19-processed-gene-3.35-mRNA-1_1&gene=snap_masked-NODE_10_length_485264_cov_41.3579_ID_19-processed-gene-3.35&CDS=1-3549
11	OG0000011	YDR011W, YOR153W, YPL058C	augustus_masked-NODE_1_length_1522243_cov_38.1329_ID_1-processed-gene-6.98-mRNA-1_1&gene=augustus_masked-NODE_1_length_1522243_cov_38.1329_ID_1-processed-gene-6.98&CDS=1-4479, augustus_masked-NODE_22_length_157628_cov_36.7011_ID_43-processed-gene-0.42-mRNA-1_1&gene=augustus_masked-NODE_22_length_157628_cov_36.7011_ID_43-processed-gene-0.42&CDS=1-4485, augustus_masked-NODE_3_length_762589_cov_41.1718_ID_5-processed-gene-0.105-mRNA-1_1&gene=augustus_masked-NODE_3_length_762589_cov_41.1718_ID_5-processed-gene-0.105&CDS=1-4428, augustus_masked-NODE_8_length_558977_cov_41.7585_ID_15-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-NODE_8_length_558977_cov_41.7585_ID_15-processed-gene-0.11&CDS=1-4482
12	OG0000012	YDR380W, YGR087C, YLR044C, YLR134W	augustus_masked-NODE_10_length_485264_cov_41.3579_ID_19-processed-gene-3.261-mRNA-1_1&gene=augustus_masked-NODE_10_length_485264_cov_41.3579_ID_19-processed-gene-3.261&CDS=1-1719, augustus_masked-NODE_18_length_230278_cov_46.9649_ID_35-processed-gene-1.29-mRNA-1_1&gene=augustus_masked-NODE_18_length_230278_cov_46.9649_ID_35-processed-gene-1.29&CDS=1-1725, augustus_masked-NODE_3_length_762589_cov_41.1718_ID_5-processed-gene-5.111-mRNA-1_1&gene=augustus_masked-NODE_3_length_762589_cov_41.1718_ID_5-processed-gene-5.111&CDS=1-1755
13	OG0000013	YDR541C, YGL039W, YGL157W, YOL151W	augustus_masked-NODE_10_length_485264_cov_41.3579_ID_19-processed-gene-3.311-mRNA-1_1&gene=augustus_masked-NODE_10_length_485264_cov_41.3579_ID_19-processed-gene-3.311&CDS=1-1020, augustus_masked-NODE_12_length_427407_cov_43.2622_ID_23-processed-gene-3.57-mRNA-1_1&gene=augustus_masked-NODE_12_length_427407_cov_43.2622_ID_23-processed-gene-3.57&CDS=1-1008, augustus_masked-NODE_12_length_427407_cov_43.2622_ID_23-processed-gene-3.88-mRNA-1_1&gene=augustus_masked-NODE_12_length_427407_cov_43.2622_ID_23-processed-gene-3.88&CDS=1-1014
14	OG0000014	YFL021W, YKR034W	augustus_masked-NODE_13_length_372024_cov_42.924_ID_25-processed-gene-0.141-mRNA-1_1&gene=augustus_masked-NODE_13_length_372024_cov_42.924_ID_25-processed-gene-0.141&CDS=1-1635, augustus_masked-NODE_13_length_372024_cov_42.924_ID_25-processed-gene-2.75-mRNA-1_1&gene=augustus_masked-NODE_13_length_372024_cov_42.924_ID_25-processed-gene-2.75&CDS=1-1152, augustus_masked-NODE_7_length_586904_cov_40.108_ID_13-processed-gene-1.54-mRNA-1_1&gene=augustus_masked-NODE_7_length_586904_cov_40.108_ID_13-processed-gene-1.54&CDS=1-1518, maker-NODE_8_length_558977_cov_41.7585_ID_15-snap-gene-3.5-mRNA-1_1&gene=maker-NODE_8_length_558977_cov_41.7585_ID_15-snap-gene-3.5&CDS=1-1965, snap_masked-NODE_1_length_1522243_cov_38.1329_ID_1-processed-gene-1.75-mRNA-1_1&gene=snap_masked-NODE_1_length_1522243_cov_38.1329_ID_1-processed-gene-1.75&CDS=1-1977
15	OG0000015	YHR114W, YJR061W, YKL201C	augustus_masked-NODE_13_length_372024_cov_42.924_ID_25-processed-gene-1.29-mRNA-1_1&gene=augustus_masked-NODE_13_length_372024_cov_42.924_ID_25-processed-gene-1.29&CDS=1-2223, augustus_masked-NODE_22_length_157628_cov_36.7011_ID_43-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-NODE_22_length_157628_cov_36.7011_ID_43-processed-gene-0.9&CDS=1-4302, augustus_masked-NODE_3_length_762589_cov_41.1718_ID_5-processed-gene-2.120-mRNA-1_1&gene=augustus_masked-NODE_3_length_762589_cov_41.1718_ID_5-processed-gene-2.120&CDS=1-2433, augustus_masked-NODE_4_length_727522_cov_37.8473_ID_7-processed-gene-1.181-mRNA-1_1&gene=augustus_masked-NODE_4_length_727522_cov_37.8473_ID_7-processed-gene-1.181&CDS=1-2691
16	OG0000016	YJR154W	augustus_masked-NODE_24_length_146870_cov_58.9014_ID_47-processed-gene-0.168-mRNA-1_1&gene=augustus_masked-NODE_24_length_146870_cov_58.9014_ID_47-processed-gene-0.168&CDS=1-957, augustus_masked-NODE_27_length_131471_cov_55.5085_ID_53-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-NODE_27_length_131471_cov_55.5085_ID_53-processed-gene-0.21&CDS=1-978, augustus_masked-NODE_2_length_776607_cov_38.3854_ID_3-processed-gene-2.23-mRNA-1_1&gene=augustus_masked-NODE_2_length_776607_cov_38.3854_ID_3-processed-gene-2.23&CDS=1-390, augustus_masked-NODE_2_length_776607_cov_38.3854_ID_3-processed-gene-3.13-mRNA-1_1&gene=augustus_masked-NODE_2_length_776607_cov_38.3854_ID_3-processed-gene-3.13&CDS=1-1053, augustus_masked-NODE_9_length_506043_cov_41.1641_ID_17-processed-gene-0.122-mRNA-1_1&gene=augustus_masked-NODE_9_length_506043_cov_41.1641_ID_17-processed-gene-0.122&CDS=1-1029, maker-NODE_23_length_148972_cov_48.77_ID_45-augustus-gene-0.239-mRNA-1_1&gene=maker-NODE_23_length_148972_cov_48.77_ID_45-augustus-gene-0.239&CDS=1-1827
17	OG0000017	YKL220C, YNR060W, YOR381W, YOR384W	augustus_masked-NODE_3_length_762589_cov_41.1718_ID_5-processed-gene-5.97-mRNA-1_1&gene=augustus_masked-NODE_3_length_762589_cov_41.1718_ID_5-processed-gene-5.97&CDS=1-2076, augustus_masked-NODE_4_length_727522_cov_37.8473_ID_7-processed-gene-5.138-mRNA-1_1&gene=augustus_masked-NODE_4_length_727522_cov_37.8473_ID_7-processed-gene-5.138&CDS=1-2124, genemark-NODE_24_length_146870_cov_58.9014_ID_47-processed-gene-0.71-mRNA-1_1&gene=genemark-NODE_24_length_146870_cov_58.9014_ID_47-processed-gene-0.71&CDS=1-1992
18	OG0000018	YLR237W, YOR071C, YOR192C	augustus_masked-NODE_20_length_166030_cov_51.0574_ID_39-processed-gene-0.205-mRNA-1_1&gene=augustus_masked-NODE_20_length_166030_cov_51.0574_ID_39-processed-gene-0.205&CDS=1-1671, augustus_masked-NODE_7_length_586904_cov_40.108_ID_13-processed-gene-0.109-mRNA-1_1&gene=augustus_masked-NODE_7_length_586904_cov_40.108_ID_13-processed-gene-0.109&CDS=1-1683, augustus_masked-NODE_9_length_506043_cov_41.1641_ID_17-processed-gene-0.116-mRNA-1_1&gene=augustus_masked-NODE_9_length_506043_cov_41.1641_ID_17-processed-gene-0.116&CDS=1-1635, snap_masked-NODE_13_length_372024_cov_42.924_ID_25-processed-gene-2.144-mRNA-1_1&gene=snap_masked-NODE_13_length_372024_cov_42.924_ID_25-processed-gene-2.144&CDS=1-1647
19	OG0000019	YMR169C, YMR170C, YOR374W	augustus_masked-NODE_11_length_471272_cov_37.9144_ID_21-processed-gene-2.109-mRNA-1_1&gene=augustus_masked-NODE_11_length_471272_cov_37.9144_ID_21-processed-gene-2.109&CDS=1-1485, augustus_masked-NODE_1_length_1522243_cov_38.1329_ID_1-processed-gene-3.134-mRNA-1_1&gene=augustus_masked-NODE_1_length_1522243_cov_38.1329_ID_1-processed-gene-3.134&CDS=1-1563, augustus_masked-NODE_7_length_586904_cov_40.108_ID_13-processed-gene-3.147-mRNA-1_1&gene=augustus_masked-NODE_7_length_586904_cov_40.108_ID_13-processed-gene-3.147&CDS=1-1500, augustus_masked-NODE_8_length_558977_cov_41.7585_ID_15-processed-gene-4.167-mRNA-1_1&gene=augustus_masked-NODE_8_length_558977_cov_41.7585_ID_15-processed-gene-4.167&CDS=1-1506
20	OG0000020	YBL097W, YGR281W	augustus_masked-NODE_11_length_471272_cov_37.9144_ID_21-processed-gene-3.223-mRNA-1_1&gene=augustus_masked-NODE_11_length_471272_cov_37.9144_ID_21-processed-gene-3.223&CDS=1-4200, augustus_masked-NODE_5_length_676677_cov_38.3359_ID_9-processed-gene-1.52-mRNA-1_1&gene=augustus_masked-NODE_5_length_676677_cov_38.3359_ID_9-processed-gene-1.52&CDS=1-4146, maker-NODE_6_length_595187_cov_40.7488_ID_11-augustus-gene-2.132-mRNA-1_1&gene=maker-NODE_6_length_595187_cov_40.7488_ID_11-augustus-gene-2.132&CDS=1-7458, maker-NODE_6_length_595187_cov_40.7488_ID_11-augustus-gene-2.133-mRNA-1_1&gene=maker-NODE_6_length_595187_cov_40.7488_ID_11-augustus-gene-2.133&CDS=1-2103
21	OG0000021	YBR118W, YKR084C, YPR080W	augustus_masked-NODE_18_length_230278_cov_46.9649_ID_35-processed-gene-1.45-mRNA-1_1&gene=augustus_masked-NODE_18_length_230278_cov_46.9649_ID_35-processed-gene-1.45&CDS=1-678, augustus_masked-NODE_2_length_776607_cov_38.3854_ID_3-processed-gene-6.242-mRNA-1_1&gene=augustus_masked-NODE_2_length_776607_cov_38.3854_ID_3-processed-gene-6.242&CDS=1-678, snap_masked-NODE_2_length_776607_cov_38.3854_ID_3-processed-gene-4.124-mRNA-1_1&gene=snap_masked-NODE_2_length_776607_cov_38.3854_ID_3-processed-gene-4.124&CDS=1-2256
22	OG0000022	YDL216C, YFR004W, YLR073C	augustus_masked-NODE_1_length_1522243_cov_38.1329_ID_1-processed-gene-4.27-mRNA-1_1&gene=augustus_masked-NODE_1_length_1522243_cov_38.1329_ID_1-processed-gene-4.27&CDS=1-1422, augustus_masked-NODE_20_length_166030_cov_51.0574_ID_39-processed-gene-0.240-mRNA-1_1&gene=augustus_masked-NODE_20_length_166030_cov_51.0574_ID_39-processed-gene-0.240&CDS=1-933, augustus_masked-NODE_26_length_139161_cov_66.47_ID_51-processed-gene-0.146-mRNA-1_1&gene=augustus_masked-NODE_26_length_139161_cov_66.47_ID_51-processed-gene-0.146&CDS=1-1206
23	OG0000023	YDR139C, YIL148W, YKR094C, YLL039C, YLR167W	maker-NODE_1_length_1522243_cov_38.1329_ID_1-augustus-gene-0.90-mRNA-1_1&gene=maker-NODE_1_length_1522243_cov_38.1329_ID_1-augustus-gene-0.90&CDS=1-1815
24	OG0000024	YDR338C, YHR032W	augustus_masked-NODE_18_length_230278_cov_46.9649_ID_35-processed-gene-1.75-mRNA-1_1&gene=augustus_masked-NODE_18_length_230278_cov_46.9649_ID_35-processed-gene-1.75&CDS=1-1785, augustus_masked-NODE_19_length_179620_cov_37.1937_ID_37-processed-gene-0.228-mRNA-1_1&gene=augustus_masked-NODE_19_length_179620_cov_37.1937_ID_37-processed-gene-0.228&CDS=1-1911, augustus_masked-NODE_1_length_1522243_cov_38.1329_ID_1-processed-gene-8.18-mRNA-1_1&gene=augustus_masked-NODE_1_length_1522243_cov_38.1329_ID_1-processed-gene-8.18&CDS=1-1815, augustus_masked-NODE_6_length_595187_cov_40.7488_ID_11-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_6_length_595187_cov_40.7488_ID_11-processed-gene-0.1&CDS=1-1494
25	OG0000025	YDR342C, YDR343C, YDR345C, YHR092C, YHR094C	augustus_masked-NODE_1_length_1522243_cov_38.1329_ID_1-processed-gene-13.47-mRNA-1_1&gene=augustus_masked-NODE_1_length_1522243_cov_38.1329_ID_1-processed-gene-13.47&CDS=1-1626
26	OG0000026	YER059W, YGL134W, YIL050W, YPL219W	augustus_masked-NODE_10_length_485264_cov_41.3579_ID_19-processed-gene-0.44-mRNA-1_1&gene=augustus_masked-NODE_10_length_485264_cov_41.3579_ID_19-processed-gene-0.44&CDS=1-1884, augustus_masked-NODE_2_length_776607_cov_38.3854_ID_3-processed-gene-6.276-mRNA-1_1&gene=augustus_masked-NODE_2_length_776607_cov_38.3854_ID_3-processed-gene-6.276&CDS=1-1128
27	OG0000027	YFL029C, YIL035C, YOR061W	augustus_masked-NODE_25_length_143326_cov_38.834_ID_49-processed-gene-0.196-mRNA-1_1&gene=augustus_masked-NODE_25_length_143326_cov_38.834_ID_49-processed-gene-0.196&CDS=1-996, augustus_masked-NODE_3_length_762589_cov_41.1718_ID_5-processed-gene-1.49-mRNA-1_1&gene=augustus_masked-NODE_3_length_762589_cov_41.1718_ID_5-processed-gene-1.49&CDS=1-1011, augustus_masked-NODE_4_length_727522_cov_37.8473_ID_7-processed-gene-1.149-mRNA-1_1&gene=augustus_masked-NODE_4_length_727522_cov_37.8473_ID_7-processed-gene-1.149&CDS=1-987
28	OG0000028	YGR263C	augustus_masked-NODE_23_length_148972_cov_48.77_ID_45-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_23_length_148972_cov_48.77_ID_45-processed-gene-0.0&CDS=1-1008, augustus_masked-NODE_23_length_148972_cov_48.77_ID_45-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_23_length_148972_cov_48.77_ID_45-processed-gene-0.1&CDS=1-966, snap_masked-NODE_24_length_146870_cov_58.9014_ID_47-processed-gene-0.132-mRNA-1_1&gene=snap_masked-NODE_24_length_146870_cov_58.9014_ID_47-processed-gene-0.132&CDS=1-1068, snap_masked-NODE_35_length_5584_cov_136.271_ID_69-processed-gene-0.12-mRNA-1_1&gene=snap_masked-NODE_35_length_5584_cov_136.271_ID_69-processed-gene-0.12&CDS=1-960, snap_masked-NODE_8_length_558977_cov_41.7585_ID_15-processed-gene-4.79-mRNA-1_1&gene=snap_masked-NODE_8_length_558977_cov_41.7585_ID_15-processed-gene-4.79&CDS=1-1077
