	OrthologID	Coccidioides_immitis	Saccharomyces_cerevisiae
75	OG0000075	XP_001242721.2, XP_001243760.2	YKL141W, YMR118C
76	OG0000076	XP_001242723.2, XP_012214070.1	YOL062C, YPL259C
77	OG0000077	XP_001242735.1	YCR102C, YLR460C, YNL134C
78	OG0000078	XP_001242810.2, XP_001248018.1	YHL028W, YOR008C
79	OG0000079	XP_001242962.2, XP_001245170.1	YJR061W, YKL201C
80	OG0000080	XP_001242964.1, XP_001244950.1, XP_001247762.2	YIL160C
81	OG0000081	XP_001243201.1, XP_001248106.2, XP_012214337.1	YGL205W
82	OG0000082	XP_001243667.2	YDR038C, YDR039C, YDR040C
83	OG0000083	XP_001243783.1, XP_001247953.2	YBR073W, YGL163C
84	OG0000084	XP_001243942.1, XP_004444971.1, XP_012213930.1	YDL020C
85	OG0000085	XP_001243946.1, XP_001245938.1	YBR009C, YNL030W
86	OG0000086	XP_001244348.1	YGR087C, YLR044C, YLR134W
87	OG0000087	XP_001244383.1, XP_001247106.2, XP_001247673.1	YKR093W
88	OG0000088	XP_001245450.1, XP_001247502.2	YBR294W, YLR092W
89	OG0000089	XP_001245589.1, XP_001248762.1	YNL148C, YPL174C
90	OG0000090	XP_001245813.1	YJL116C, YKR042W, YNL066W
91	OG0000091	XP_001246174.1	YML116W, YMR279C, YOR378W
92	OG0000092	XP_001246438.1, XP_001246730.1	YBR082C, YGR133W
93	OG0000093	XP_001246522.2, XP_001247162.1	YKR076W, YMR251W
94	OG0000094	XP_001246598.2, XP_001247205.2	YGR141W, YPR157W
95	OG0000095	XP_001247065.1	YFL060C, YMR095C, YNL334C
96	OG0000096	XP_001247434.2	YDR261C, YLR300W, YOR190W
97	OG0000097	XP_001247799.1, XP_012213926.1, XP_012214402.1	YBR151W
98	OG0000098	XP_001248862.1	YDR144C, YLR120C, YLR121C
99	OG0000099	XP_004444874.1, XP_004444875.1, XP_004444876.1	YBL105C
100	OG0000100	XP_004444922.1, XP_004444923.1, XP_004444924.1	YMR217W
101	OG0000101	XP_004444982.1, XP_004444983.1, XP_004444984.1	YGR205W
102	OG0000102	XP_004445805.1, XP_004445806.1, XP_004445807.1	YDR284C
103	OG0000103	XP_004445813.1, XP_004445814.1, XP_004445815.1	YER068W
104	OG0000104	XP_004445854.1, XP_004445855.1, XP_004445856.1	YDR129C
105	OG0000105	XP_004446218.1, XP_004446219.1, XP_004446220.1	YOR283W
106	OG0000106	XP_004446234.1, XP_004446235.1, XP_004446236.1	YNL014W
107	OG0000107	XP_004446363.1, XP_004446364.1, XP_004446365.1	YHR205W
108	OG0000108	XP_004446467.1, XP_004446468.1	YNL301C, YOL120C
109	OG0000109	XP_012214118.1	YLL062C, YMR321C, YPL273W
110	OG0000110		YCL069W, YGR224W, YKR105C, YPR198W
111	OG0000111	XP_001238943.1	YMR233W, YOR295W
112	OG0000112	XP_001238948.2, XP_001246918.1	YMR266W
113	OG0000113	XP_001238962.1	YDL022W, YOL059W
114	OG0000114	XP_001239003.2	YGR092W, YPR111W
115	OG0000115	XP_001239018.1	YDR252W, YPL037C
116	OG0000116	XP_001239042.1, XP_001248985.2	YPR106W
117	OG0000117	XP_001239045.1	YDR251W, YPL032C
118	OG0000118	XP_001239061.1, XP_001241715.1	YKL046C
119	OG0000119	XP_001239083.2, XP_001247811.2	YHL032C
120	OG0000120	XP_001239088.1	YGR243W, YHR162W
121	OG0000121	XP_001239111.1, XP_001242602.1	YIL067C
122	OG0000122	XP_001239112.1, XP_012213975.1	YBR041W
123	OG0000123	XP_001239129.1	YHL001W, YKL006W
124	OG0000124	XP_001239186.1	YLR284C, YOR180C
125	OG0000125	XP_001239290.1, XP_001246467.1	YGR067C
126	OG0000126	XP_001239342.1	YDL136W, YDL191W
127	OG0000127	XP_001239343.1	YER062C, YIL053W
128	OG0000128	XP_001239405.2	YJL084C, YKR021W
129	OG0000129	XP_001239423.1, XP_001244105.2	YGL215W
130	OG0000130	XP_001239430.1	YDL085W, YMR145C
131	OG0000131	XP_001239472.1, XP_001247647.1	YOR153W
132	OG0000132	XP_001239480.2	YGR038W, YLR350W
133	OG0000133	XP_001239505.2	YGR209C, YLR043C
134	OG0000134	XP_001239509.2	YEL063C, YNL270C
135	OG0000135	XP_001239548.2, XP_001239586.2	YOL137W
136	OG0000136	XP_001239578.2	YEL022W, YJR031C
137	OG0000137	XP_001239607.1	YIL085C, YNL029C
138	OG0000138	XP_001239636.2	YHR115C, YNL116W
139	OG0000139	XP_001239644.2, XP_001245277.1	YPL031C
140	OG0000140	XP_001239660.2	YDR272W, YOR040W
141	OG0000141	XP_001239670.1, XP_001247331.1	YGR189C
142	OG0000142	XP_001239712.1	YHL017W, YKL039W
143	OG0000143	XP_001239764.1	YHL003C, YKL008C
144	OG0000144	XP_001239814.1	YJR094W-A, YPR043W
145	OG0000145	XP_001239825.2	YGL133W, YPL216W
146	OG0000146	XP_001239864.1	YBR216C, YGL060W
147	OG0000147	XP_001239884.1	YDL036C, YOL066C
148	OG0000148	XP_001239890.2	YOR390W, YPL279C
149	OG0000149	XP_001239897.2	YLL016W, YLR310C
150	OG0000150	XP_001239913.1	YMR194W, YPL249C-A
151	OG0000151	XP_001239949.1	YHR133C, YNL156C
152	OG0000152	XP_001239964.2	YGR085C, YPR102C
153	OG0000153	XP_001239991.1, XP_001248039.1	YKR070W
154	OG0000154	XP_001239997.1	YFL034C-A, YLR061W
155	OG0000155	XP_001239998.1	YBR244W, YIR037W
156	OG0000156	XP_001240013.1	YDR451C, YML027W
157	OG0000157	XP_001240054.2	YMR119W, YNL008C
158	OG0000158	XP_001240097.1	YLR307W, YLR308W
159	OG0000159	XP_001240171.1	YGR034W, YLR344W
160	OG0000160	XP_001240192.1, XP_001245117.2	YLR142W
161	OG0000161	XP_001240306.1, XP_001246802.1	YHR007C
162	OG0000162	XP_001240307.1, XP_001240357.1	YDL101C
163	OG0000163	XP_001240337.2	YDL061C, YLR388W
164	OG0000164	XP_001240344.2	YML100W, YMR261C
165	OG0000165	XP_001240358.1, XP_012214097.1	YDR523C
166	OG0000166	XP_001240362.1, XP_001243610.1	YKR039W
167	OG0000167	XP_001240368.1	YER059W, YIL050W
168	OG0000168	XP_001240376.1	YLR264W, YOR167C
169	OG0000169	XP_001240406.1, XP_001247092.1	YJR152W
170	OG0000170	XP_001240418.1	YMR243C, YOR316C
171	OG0000171	XP_001240472.1	YGR273C, YMR295C
172	OG0000172	XP_001240474.2	YOR234C, YPL143W
173	OG0000173	XP_001240512.1	YGR136W, YPR154W
174	OG0000174	XP_001240550.2, XP_001246622.1	YDL174C
175	OG0000175	XP_001240552.2	YDL246C, YJR159W
176	OG0000176	XP_001240563.1	YAR042W, YDL019C
177	OG0000177	XP_001240587.2, XP_001242486.1	YMR029C
178	OG0000178	XP_001240602.1	YER074W, YIL069C
179	OG0000179	XP_001240647.1	YCR105W, YMR318C
180	OG0000180	XP_001240658.2, XP_001244962.2	YHR124W
181	OG0000181	XP_001240689.1	YGL049C, YGR162W
182	OG0000182	XP_001240725.1	YGL076C, YPL198W
183	OG0000183	XP_001240754.1	YKL126W, YMR104C
184	OG0000184	XP_001240807.1	YJL105W, YKR029C
185	OG0000185	XP_001240836.1, XP_001242478.2	YHR067W
186	OG0000186	XP_001240883.1	YBR048W, YDR025W
187	OG0000187	XP_001240894.1	YCR010C, YNR002C
188	OG0000188	XP_001240895.1	YGR241C, YHR161C
189	OG0000189	XP_001240912.1, XP_001247435.1	YDR519W
190	OG0000190	XP_001240927.1	YMR183C, YPL232W
191	OG0000191	XP_001240976.1	YBR242W, YGL101W
192	OG0000192	XP_001241007.2	YBL079W, YER105C
193	OG0000193	XP_001241040.1	YML106W, YMR271C
194	OG0000194	XP_001241046.1, XP_001249052.1	YKR066C
195	OG0000195	XP_001241137.2	YMR008C, YOL011W
196	OG0000196	XP_001241304.2, XP_001243863.2	YHR202W
197	OG0000197	XP_001241325.2	YDL109C, YGL144C
198	OG0000198	XP_001241456.1	YDL082W, YMR142C
199	OG0000199	XP_001241466.1, XP_001248081.1	YHR029C
200	OG0000200	XP_001241557.1	YEL047C, YJR051W
201	OG0000201	XP_001241584.2, XP_001242066.1, XP_012213942.1	
202	OG0000202	XP_001241678.2	YKR089C, YOR081C
203	OG0000203	XP_001241685.1, XP_001242971.2	YNR055C
204	OG0000204	XP_001241708.1	YMR169C, YMR170C
205	OG0000205	XP_001241729.2	YDR259C, YOR028C
206	OG0000206	XP_001241808.2, XP_001244938.2	YJR154W
207	OG0000207	XP_001241832.1	YCL064C, YIL167W
208	OG0000208	XP_001241897.1	YOR334W, YPL060W
209	OG0000209	XP_001241933.1	YCL040W, YDR516C
210	OG0000210	XP_001241957.2	YCL024W, YDR507C
211	OG0000211	XP_001241967.2, XP_001243024.2	YBL095W
212	OG0000212	XP_001241973.1	YGL031C, YGR148C
213	OG0000213	XP_001241974.1	YLR287C-A, YOR182C
214	OG0000214	XP_001242012.2	YJL042W, YOR227W
215	OG0000215	XP_001242057.1, XP_001245147.1	YJR096W
216	OG0000216	XP_001242138.1	YFR031C-A, YIL018W
217	OG0000217	XP_001242150.1	YPR169W-A, YPR170W-B
218	OG0000218	XP_001242208.1, XP_001248057.1	YOL048C
219	OG0000219	XP_001242209.1	YFL042C, YLR072W
220	OG0000220	XP_001242285.1	YFL059W, YNL333W
221	OG0000221	XP_001242320.2	YER129W, YGL179C
222	OG0000222	XP_001242345.1	YFL050C, YOL130W
223	OG0000223	XP_001242374.2	YER031C, YGL210W
224	OG0000224	XP_001242380.1	YIL111W, YNL052W
225	OG0000225	XP_001242491.1	YGL082W, YPL191C
226	OG0000226	XP_001242512.1	YDL138W, YDL194W
227	OG0000227	XP_001242549.1, XP_001247081.1	YKR050W
228	OG0000228	XP_001242607.1	YBR031W, YDR012W
229	OG0000229	XP_001242712.1, XP_001246556.2	YDL237W
230	OG0000230	XP_001242750.2, XP_001249021.1	YHR072W
231	OG0000231	XP_001242752.1	YBR147W, YOL092W
232	OG0000232	XP_001242789.1	YBL089W, YER119C
233	OG0000233	XP_001242879.2, XP_001244121.1	YBR028C
234	OG0000234	XP_001242881.1	YGR070W, YLR371W
235	OG0000235	XP_001242887.2, XP_001246991.1	YJR099W
236	OG0000236	XP_001242909.1	YDL224C, YNL197C
237	OG0000237	XP_001242958.1	YDR379W, YOR127W
238	OG0000238	XP_001242965.2	YBR169C, YPL106C
239	OG0000239	XP_001242977.1	YIR033W, YKL020C
240	OG0000240	XP_001242995.2, XP_001246581.1	YKL174C
241	OG0000241	XP_001243029.1, XP_001244309.2	YGL006W
242	OG0000242	XP_001243036.1	YCR073C, YNR031C
243	OG0000243	XP_001243040.2	YLR260W, YOR171C
244	OG0000244	XP_001243044.2	YDR122W, YLR096W
245	OG0000245	XP_001243067.1	YLR448W, YML073C
246	OG0000246	XP_001243105.1	YGL135W, YPL220W
247	OG0000247	XP_001243196.1, XP_001245507.2	YKL221W
248	OG0000248	XP_001243230.1	YGR118W, YPR132W
249	OG0000249	XP_001243240.1	YMR253C, YPL264C
250	OG0000250	XP_001243243.2	YBL056W, YER089C
251	OG0000251	XP_001243268.1	YBR014C, YDL010W
252	OG0000252	XP_001243269.1	YGL147C, YNL067W
253	OG0000253	XP_001243282.1	YHR132W-A, YNL157W
254	OG0000254	XP_001243341.1	YGR008C, YLR327C
255	OG0000255	XP_001243455.2, XP_001243598.1	YBR022W
256	OG0000256	XP_001243544.1, XP_001247438.2	YDR297W
257	OG0000257	XP_001243632.2	YDR147W, YLR133W
258	OG0000258	XP_001243655.2	YFL041W, YMR058W
259	OG0000259	XP_001243671.2	YNL108C, YOR110W
260	OG0000260	XP_001243693.1	YDR178W, YLR164W
261	OG0000261	XP_001243718.2, XP_001248046.2	YPL204W
262	OG0000262	XP_001243720.2, XP_001247668.1	YEL046C
263	OG0000263	XP_001243733.1, XP_001249031.1	YML099C
264	OG0000264	XP_001243752.2, XP_001247838.1	YNL274C
265	OG0000265	XP_001243753.1	YJL177W, YKL180W
266	OG0000266	XP_001243826.2	YOR233W, YPL141C
267	OG0000267	XP_001243861.1	YNL104C, YOR108W
268	OG0000268	XP_001243947.1	YBR010W, YNL031C
269	OG0000269	XP_001244012.1	YMR237W, YOR299W
270	OG0000270	XP_001244021.1	YNL293W, YOL112W
271	OG0000271	XP_001244060.1	YGR214W, YLR048W
272	OG0000272	XP_001244071.1, XP_001247130.2	YDL114W
273	OG0000273	XP_001244086.1	YDR312W, YHR066W
274	OG0000274	XP_001244095.1, XP_001247655.1	YHL021C
275	OG0000275	XP_001244102.2, XP_001247787.1	YBL011W
276	OG0000276	XP_001244142.1	YBR020W, YDR009W
277	OG0000277	XP_001244206.1	YOR237W, YPL145C
278	OG0000278	XP_001244208.1, XP_004445113.1	YKL054C
279	OG0000279	XP_001244226.1	YBR089C-A, YPR052C
280	OG0000280	XP_001244264.1	YCL035C, YDR513W
281	OG0000281	XP_001244265.1	YHR198C, YHR199C
282	OG0000282	XP_001244267.1	YBR118W, YPR080W
283	OG0000283	XP_001244272.2	YDR348C, YHR097C
284	OG0000284	XP_001244275.2, XP_001247978.1	YBR072W
285	OG0000285	XP_001244286.2	YIL131C, YNL068C
286	OG0000286	XP_001244287.2	YCL036W, YDR514C
287	OG0000287	XP_001244313.1	YNL096C, YOR096W
288	OG0000288	XP_001244328.2, XP_001249153.2	YNL275W
289	OG0000289	XP_001244352.2	YBL106C, YPR032W
290	OG0000290	XP_001244379.2	YDR146C, YLR131C
291	OG0000291	XP_001244398.2	YCR048W, YNR019W
292	OG0000292	XP_001244434.1	YOR231W, YPL140C
293	OG0000293	XP_001244453.2, XP_001248746.2	YNL280C
294	OG0000294	XP_001244466.1	YJL137C, YKR058W
295	OG0000295	XP_001244488.2	YHR155W, YNL257C
296	OG0000296	XP_001244506.1	YAL017W, YOL045W
297	OG0000297	XP_001244515.1, XP_012213935.1	YKL217W
298	OG0000298	XP_001244519.2	YHR146W, YNL173C
299	OG0000299	XP_001244544.1	YBR104W, YPR058W
300	OG0000300	XP_001244562.2	YBR214W, YGL056C
301	OG0000301	XP_001244571.1	YER131W, YGL189C
302	OG0000302	XP_001244618.1	YAR002C-A, YGL002W
303	OG0000303	XP_001244661.1	YKL132C, YMR113W
304	OG0000304	XP_001244664.1	YEL006W, YIL006W
305	OG0000305	XP_001244687.2	YBL091C-A, YER120W
306	OG0000306	XP_001244778.2	YDR497C, YOL103W
307	OG0000307	XP_001244794.1	YDR185C, YLR168C
308	OG0000308	XP_001244804.2	YOR226C, YPL135W
309	OG0000309	XP_001244880.1, XP_001245306.1	YBR007C
310	OG0000310	XP_001244905.1	YDL083C, YMR143W
311	OG0000311	XP_001244922.1	YDR447C, YML024W
312	OG0000312	XP_001244932.1	YDR368W, YOR120W
313	OG0000313	XP_001244936.1	YGR004W, YLR324W
314	OG0000314	XP_001244943.2	YNL299W, YOL115W
315	OG0000315	XP_001245029.2	YNL087W, YOR086C
316	OG0000316	XP_001245036.2	YHR001W, YKR003W
317	OG0000317	XP_001245037.1, XP_001245837.1	YPL067C
318	OG0000318	XP_001245047.1	YLR450W, YML075C
319	OG0000319	XP_001245054.1, XP_001248175.2	YPL242C
320	OG0000320	XP_001245058.1	YJL136C, YKR057W
321	OG0000321	XP_001245088.1	YBL087C, YER117W
322	OG0000322	XP_001245090.2	YBL085W, YER114C
323	OG0000323	XP_001245097.1	YDR099W, YER177W
324	OG0000324	XP_001245131.1	YER056C-A, YIL052C
325	OG0000325	XP_001245148.1	YNL302C, YOL121C
326	OG0000326	XP_001245149.1, XP_012214301.1	YBR204C
327	OG0000327	XP_001245246.2, XP_001245363.1	YKR099W
328	OG0000328	XP_001245275.2	YMR177W, YPL224C
329	OG0000329	XP_001245370.1	YDR418W, YEL054C
330	OG0000330	XP_001245411.1	YGR248W, YHR163W
331	OG0000331	XP_001245439.1	YLR187W, YNL278W
332	OG0000332	XP_001245486.2	YKL072W, YMR053C
333	OG0000333	XP_001245489.1, XP_001249113.1	YJR084W
334	OG0000334	XP_001245490.1	YMR242C, YOR312C
335	OG0000335	XP_001245519.1	YDR505C, YLR177W
336	OG0000336	XP_001245539.1	YBL072C, YER102W
337	OG0000337	XP_001245555.1	YEL034W, YJR047C
338	OG0000338	XP_001245562.1	YOR285W, YOR286W
339	OG0000339	XP_001245593.1	YDR385W, YOR133W
340	OG0000340	XP_001245626.2	YBR172C, YPL105C
341	OG0000341	XP_001245655.1	YEL039C, YJR048W
342	OG0000342	XP_001245810.1	YDR501W, YLR183C
343	OG0000343	XP_001245948.2, XP_001246930.2	YJR040W
344	OG0000344	XP_001245980.1	YGR143W, YPR159W
345	OG0000345	XP_001246084.2	YDR263C, YOR033C
346	OG0000346	XP_001246086.2, XP_001247657.2	YJL212C
347	OG0000347	XP_001246181.2	YGR131W, YPR149W
348	OG0000348	XP_001246185.1	YHR117W, YNL121C
349	OG0000349	XP_001246269.2, XP_001246584.1	YEL023C
350	OG0000350	XP_001246293.1	YBR241C, YGL104C
351	OG0000351	XP_001246316.1	YIR013C, YLR013W
352	OG0000352	XP_001246425.1	YDR389W, YOR134W
353	OG0000353	XP_001246439.1	YAL015C, YOL043C
354	OG0000354	XP_001246481.2	YJL134W, YKR053C
355	OG0000355	XP_001246536.2, XP_001246585.2	YGR111W
356	OG0000356	XP_001246607.1	YBR191W, YPL079W
357	OG0000357	XP_001246620.1	YHR203C, YJR145C
358	OG0000358	XP_001246626.1	YDR500C, YLR185W
359	OG0000359	XP_001246635.1, XP_001247713.2	YPR065W
360	OG0000360	XP_001246657.2	YBR273C, YJL048C
361	OG0000361	XP_001246689.2	YGR283C, YMR310C
362	OG0000362	XP_001246699.2	YMR222C, YOR280C
363	OG0000363	XP_001246701.1	YHR021C, YKL156W
364	OG0000364	XP_001246703.1	YHR123W, YNL130C
365	OG0000365	XP_001246705.2	YLR456W, YPR172W
366	OG0000366	XP_001246805.2	YDR253C, YPL038W
367	OG0000367	XP_001246847.1	YBL067C, YER098W
368	OG0000368	XP_001246990.1	YLR270W, YOR173W
369	OG0000369	XP_001246993.2	YJR091C, YPR042C
370	OG0000370	XP_001247117.1	YHR141C, YNL162W
371	OG0000371	XP_001247141.1	YBL027W, YBR084C-A
372	OG0000372	XP_001247173.2	YDR264C, YOR034C
373	OG0000373	XP_001247184.1	YDL049C, YJL174W
374	OG0000374	XP_001247193.2	YFL061W, YNL335W
375	OG0000375	XP_001247226.1	YFR053C, YGL253W
376	OG0000376	XP_001247231.2	YGR121C, YPR138C
377	OG0000377	XP_001247293.1, XP_001248184.1	YBR233W
378	OG0000378	XP_001247321.2	YLR449W, YML074C
379	OG0000379	XP_001247326.1	YDR458C, YML034W
380	OG0000380	XP_001247400.2	YJR054W, YML047C
381	OG0000381	XP_001247456.2	YDR069C, YER144C
382	OG0000382	XP_001247476.2	YFR022W, YOR018W
383	OG0000383	XP_001247481.2	YML109W, YMR273C
384	OG0000384	XP_001247495.1	YDR111C, YLR089C
385	OG0000385	XP_001247500.1	YBR033W, YKL038W
386	OG0000386	XP_001247575.1	YGR010W, YLR328W
387	OG0000387	XP_001247656.1	YDR098C, YER174C
388	OG0000388	XP_001247689.1	YDL070W, YLR399C
389	OG0000389	XP_001247711.1	YBR181C, YPL090C
390	OG0000390	XP_001247742.2	YHL039W, YPL208W
391	OG0000391	XP_001247870.1	YDL042C, YOL068C
392	OG0000392	XP_001247875.1	YGR108W, YPR119W
393	OG0000393	XP_001247911.2	YER066W, YFL009W
394	OG0000394	XP_001247914.1	YHL033C, YLL045C
395	OG0000395	XP_001247917.1	YDL161W, YLR206W
396	OG0000396	XP_001247928.1	YMR230W, YOR293W
397	OG0000397	XP_001247964.1	YJL133W, YKR052C
398	OG0000398	XP_001247985.1	YGR279C, YMR305C
399	OG0000399	XP_001247988.1	YHR179W, YPL171C
400	OG0000400	XP_001248009.2	YCL011C, YNL004W
401	OG0000401	XP_001248010.1	YIL105C, YNL047C
