	OrthologID	Geotrichum_candidum	Saccharomyces_cerevisiae
10	OG0000010	augustus_masked-CCBN010000013.1-processed-gene-3.41-mRNA-1_1&gene=augustus_masked-CCBN010000013.1-processed-gene-3.41&CDS=1-1212, augustus_masked-CCBN010000013.1-processed-gene-3.42-mRNA-1_1&gene=augustus_masked-CCBN010000013.1-processed-gene-3.42&CDS=1-1170, augustus_masked-CCBN010000013.1-processed-gene-3.43-mRNA-1_1&gene=augustus_masked-CCBN010000013.1-processed-gene-3.43&CDS=1-1194, genemark-CCBN010000002.1-processed-gene-7.58-mRNA-1_1&gene=genemark-CCBN010000002.1-processed-gene-7.58&CDS=1-1263, genemark-CCBN010000004.1-processed-gene-8.65-mRNA-1_1&gene=genemark-CCBN010000004.1-processed-gene-8.65&CDS=1-1200, genemark-CCBN010000004.1-processed-gene-8.73-mRNA-1_1&gene=genemark-CCBN010000004.1-processed-gene-8.73&CDS=1-1197	YLL057C
11	OG0000011	augustus_masked-CCBN010000013.1-processed-gene-5.40-mRNA-1_1&gene=augustus_masked-CCBN010000013.1-processed-gene-5.40&CDS=1-1107, genemark-CCBN010000001.1-processed-gene-4.79-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-4.79&CDS=1-1104, genemark-CCBN010000009.1-processed-gene-5.11-mRNA-1_1&gene=genemark-CCBN010000009.1-processed-gene-5.11&CDS=1-1101, genemark-CCBN010000013.1-processed-gene-5.24-mRNA-1_1&gene=genemark-CCBN010000013.1-processed-gene-5.24&CDS=1-1098, snap_masked-CCBN010000006.1-processed-gene-1.72-mRNA-1_1&gene=snap_masked-CCBN010000006.1-processed-gene-1.72&CDS=1-1098	YJR153W
12	OG0000012	augustus_masked-CCBN010000017.1-processed-gene-2.59-mRNA-1_1&gene=augustus_masked-CCBN010000017.1-processed-gene-2.59&CDS=1-2949, maker-CCBN010000001.1-augustus-gene-8.64-mRNA-1_1&gene=maker-CCBN010000001.1-augustus-gene-8.64&CDS=1-3729	YEL029C, YIR033W, YKL020C, YNR027W
13	OG0000013	augustus_masked-CCBN010000001.1-processed-gene-12.71-mRNA-1_1&gene=augustus_masked-CCBN010000001.1-processed-gene-12.71&CDS=1-1635, snap_masked-CCBN010000001.1-processed-gene-10.23-mRNA-1_1&gene=snap_masked-CCBN010000001.1-processed-gene-10.23&CDS=1-1677, snap_masked-CCBN010000001.1-processed-gene-10.24-mRNA-1_1&gene=snap_masked-CCBN010000001.1-processed-gene-10.24&CDS=1-1677, snap_masked-CCBN010000001.1-processed-gene-10.7-mRNA-1_1&gene=snap_masked-CCBN010000001.1-processed-gene-10.7&CDS=1-1650, snap_masked-CCBN010000018.1-processed-gene-4.123-mRNA-1_1&gene=snap_masked-CCBN010000018.1-processed-gene-4.123&CDS=1-1665	YDR242W
14	OG0000014	genemark-CCBN010000001.1-processed-gene-12.38-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-12.38&CDS=1-1347, genemark-CCBN010000002.1-processed-gene-7.60-mRNA-1_1&gene=genemark-CCBN010000002.1-processed-gene-7.60&CDS=1-1356, genemark-CCBN010000006.1-processed-gene-7.49-mRNA-1_1&gene=genemark-CCBN010000006.1-processed-gene-7.49&CDS=1-1338, genemark-CCBN010000023.1-processed-gene-1.50-mRNA-1_1&gene=genemark-CCBN010000023.1-processed-gene-1.50&CDS=1-1395, genemark-CCBN010000028.1-processed-gene-5.71-mRNA-1_1&gene=genemark-CCBN010000028.1-processed-gene-5.71&CDS=1-1353	YKL046C
15	OG0000015	genemark-CCBN010000002.1-processed-gene-5.86-mRNA-1_1&gene=genemark-CCBN010000002.1-processed-gene-5.86&CDS=1-1011, genemark-CCBN010000022.1-processed-gene-0.41-mRNA-1_1&gene=genemark-CCBN010000022.1-processed-gene-0.41&CDS=1-1008, genemark-CCBN010000028.1-processed-gene-4.53-mRNA-1_1&gene=genemark-CCBN010000028.1-processed-gene-4.53&CDS=1-1008	YGR192C, YJL052W, YJR009C
16	OG0000016	genemark-CCBN010000004.1-processed-gene-15.99-mRNA-1_1&gene=genemark-CCBN010000004.1-processed-gene-15.99&CDS=1-2811, maker-CCBN010000006.1-snap-gene-10.57-mRNA-1_1&gene=maker-CCBN010000006.1-snap-gene-10.57&CDS=1-2727	YDR326C, YFL042C, YHR080C, YLR072W
17	OG0000017	snap_masked-CCBN010000005.1-processed-gene-11.23-mRNA-1_1&gene=snap_masked-CCBN010000005.1-processed-gene-11.23&CDS=1-1404	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W
18	OG0000018	genemark-CCBN010000007.1-processed-gene-0.73-mRNA-1_1&gene=genemark-CCBN010000007.1-processed-gene-0.73&CDS=1-933, genemark-CCBN010000011.1-processed-gene-2.33-mRNA-1_1&gene=genemark-CCBN010000011.1-processed-gene-2.33&CDS=1-924, genemark-CCBN010000020.1-processed-gene-0.77-mRNA-1_1&gene=genemark-CCBN010000020.1-processed-gene-0.77&CDS=1-933, maker-CCBN010000012.1-snap-gene-7.14-mRNA-1_1&gene=maker-CCBN010000012.1-snap-gene-7.14&CDS=1-1584	YBR054W, YDR033W
19	OG0000019	genemark-CCBN010000010.1-processed-gene-0.51-mRNA-1_1&gene=genemark-CCBN010000010.1-processed-gene-0.51&CDS=1-1050, genemark-CCBN010000020.1-processed-gene-2.112-mRNA-1_1&gene=genemark-CCBN010000020.1-processed-gene-2.112&CDS=1-1050, genemark-CCBN010000028.1-processed-gene-5.91-mRNA-1_1&gene=genemark-CCBN010000028.1-processed-gene-5.91&CDS=1-1050	YMR083W, YMR303C, YOL086C
20	OG0000020	augustus_masked-CCBN010000015.1-processed-gene-5.55-mRNA-1_1&gene=augustus_masked-CCBN010000015.1-processed-gene-5.55&CDS=1-3036, snap_masked-CCBN010000015.1-processed-gene-4.27-mRNA-1_1&gene=snap_masked-CCBN010000015.1-processed-gene-4.27&CDS=1-711, snap_masked-CCBN010000015.1-processed-gene-4.28-mRNA-1_1&gene=snap_masked-CCBN010000015.1-processed-gene-4.28&CDS=1-2292, snap_masked-CCBN010000015.1-processed-gene-4.29-mRNA-1_1&gene=snap_masked-CCBN010000015.1-processed-gene-4.29&CDS=1-3039, snap_masked-CCBN010000015.1-processed-gene-4.30-mRNA-1_1&gene=snap_masked-CCBN010000015.1-processed-gene-4.30&CDS=1-3081	YPL125W
21	OG0000021	genemark-CCBN010000001.1-processed-gene-8.0-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-8.0&CDS=1-1596, genemark-CCBN010000002.1-processed-gene-9.75-mRNA-1_1&gene=genemark-CCBN010000002.1-processed-gene-9.75&CDS=1-1596	YIL120W, YIL121W, YNL065W
22	OG0000022	genemark-CCBN010000001.1-processed-gene-10.86-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-10.86&CDS=1-1650, genemark-CCBN010000008.1-processed-gene-1.63-mRNA-1_1&gene=genemark-CCBN010000008.1-processed-gene-1.63&CDS=1-1662, snap_masked-CCBN010000020.1-processed-gene-1.133-mRNA-1_1&gene=snap_masked-CCBN010000020.1-processed-gene-1.133&CDS=1-1608	YGL160W, YLR047C
23	OG0000023	genemark-CCBN010000004.1-processed-gene-3.118-mRNA-1_1&gene=genemark-CCBN010000004.1-processed-gene-3.118&CDS=1-1770, maker-CCBN010000001.1-snap-gene-14.66-mRNA-1_1&gene=maker-CCBN010000001.1-snap-gene-14.66&CDS=1-5109, snap_masked-CCBN010000004.1-processed-gene-3.18-mRNA-1_1&gene=snap_masked-CCBN010000004.1-processed-gene-3.18&CDS=1-1797, snap_masked-CCBN010000004.1-processed-gene-3.19-mRNA-1_1&gene=snap_masked-CCBN010000004.1-processed-gene-3.19&CDS=1-1755	YIL166C
24	OG0000024	genemark-CCBN010000002.1-processed-gene-13.30-mRNA-1_1&gene=genemark-CCBN010000002.1-processed-gene-13.30&CDS=1-927, maker-CCBN010000014.1-snap-gene-5.41-mRNA-1_1&gene=maker-CCBN010000014.1-snap-gene-5.41&CDS=1-1782	YBR149W, YDR368W, YOR120W
25	OG0000025	augustus_masked-CCBN010000012.1-processed-gene-3.78-mRNA-1_1&gene=augustus_masked-CCBN010000012.1-processed-gene-3.78&CDS=1-3126, genemark-CCBN010000002.1-processed-gene-15.78-mRNA-1_1&gene=genemark-CCBN010000002.1-processed-gene-15.78&CDS=1-1194	YBL068W-A, YBL069W, YER101C
26	OG0000026	genemark-CCBN010000002.1-processed-gene-15.105-mRNA-1_1&gene=genemark-CCBN010000002.1-processed-gene-15.105&CDS=1-1746, genemark-CCBN010000002.1-processed-gene-15.88-mRNA-1_1&gene=genemark-CCBN010000002.1-processed-gene-15.88&CDS=1-1743, genemark-CCBN010000011.1-processed-gene-8.130-mRNA-1_1&gene=genemark-CCBN010000011.1-processed-gene-8.130&CDS=1-1839, genemark-CCBN010000025.1-processed-gene-1.14-mRNA-1_1&gene=genemark-CCBN010000025.1-processed-gene-1.14&CDS=1-1626	YHR032W
27	OG0000027	augustus_masked-CCBN010000003.1-processed-gene-5.18-mRNA-1_1&gene=augustus_masked-CCBN010000003.1-processed-gene-5.18&CDS=1-5250, augustus_masked-CCBN010000014.1-processed-gene-3.47-mRNA-1_1&gene=augustus_masked-CCBN010000014.1-processed-gene-3.47&CDS=1-2199, snap_masked-CCBN010000013.1-processed-gene-5.72-mRNA-1_1&gene=snap_masked-CCBN010000013.1-processed-gene-5.72&CDS=1-3417, snap_masked-CCBN010000013.1-processed-gene-6.19-mRNA-1_1&gene=snap_masked-CCBN010000013.1-processed-gene-6.19&CDS=1-3507	YJR092W
28	OG0000028	genemark-CCBN010000003.1-processed-gene-15.15-mRNA-1_1&gene=genemark-CCBN010000003.1-processed-gene-15.15&CDS=1-1677, snap_masked-CCBN010000014.1-processed-gene-5.16-mRNA-1_1&gene=snap_masked-CCBN010000014.1-processed-gene-5.16&CDS=1-1650	YBL042C, YBR021W, YIR028W
29	OG0000029	genemark-CCBN010000004.1-processed-gene-2.45-mRNA-1_1&gene=genemark-CCBN010000004.1-processed-gene-2.45&CDS=1-2961, genemark-CCBN010000008.1-processed-gene-4.25-mRNA-1_1&gene=genemark-CCBN010000008.1-processed-gene-4.25&CDS=1-3288	YDL106C, YDR451C, YML027W
30	OG0000030	genemark-CCBN010000004.1-processed-gene-6.44-mRNA-1_1&gene=genemark-CCBN010000004.1-processed-gene-6.44&CDS=1-1614, genemark-CCBN010000007.1-processed-gene-6.39-mRNA-1_1&gene=genemark-CCBN010000007.1-processed-gene-6.39&CDS=1-1716, snap_masked-CCBN010000004.1-processed-gene-11.1-mRNA-1_1&gene=snap_masked-CCBN010000004.1-processed-gene-11.1&CDS=1-1899, snap_masked-CCBN010000009.1-processed-gene-8.19-mRNA-1_1&gene=snap_masked-CCBN010000009.1-processed-gene-8.19&CDS=1-2043	YDL035C
31	OG0000031	genemark-CCBN010000004.1-processed-gene-10.44-mRNA-1_1&gene=genemark-CCBN010000004.1-processed-gene-10.44&CDS=1-1698, genemark-CCBN010000009.1-processed-gene-8.51-mRNA-1_1&gene=genemark-CCBN010000009.1-processed-gene-8.51&CDS=1-1335, genemark-CCBN010000011.1-processed-gene-2.35-mRNA-1_1&gene=genemark-CCBN010000011.1-processed-gene-2.35&CDS=1-1380, genemark-CCBN010000012.1-processed-gene-6.25-mRNA-1_1&gene=genemark-CCBN010000012.1-processed-gene-6.25&CDS=1-1734	YKL043W
32	OG0000032	genemark-CCBN010000004.1-processed-gene-15.156-mRNA-1_1&gene=genemark-CCBN010000004.1-processed-gene-15.156&CDS=1-1077	YDL244W, YFL058W, YJR156C, YNL332W
33	OG0000033	augustus_masked-CCBN010000005.1-processed-gene-4.60-mRNA-1_1&gene=augustus_masked-CCBN010000005.1-processed-gene-4.60&CDS=1-1755, genemark-CCBN010000005.1-processed-gene-0.68-mRNA-1_1&gene=genemark-CCBN010000005.1-processed-gene-0.68&CDS=1-3489, genemark-CCBN010000009.1-processed-gene-3.87-mRNA-1_1&gene=genemark-CCBN010000009.1-processed-gene-3.87&CDS=1-2007, genemark-CCBN010000011.1-processed-gene-5.26-mRNA-1_1&gene=genemark-CCBN010000011.1-processed-gene-5.26&CDS=1-2379	YBR112C
34	OG0000034	genemark-CCBN010000005.1-processed-gene-6.41-mRNA-1_1&gene=genemark-CCBN010000005.1-processed-gene-6.41&CDS=1-4569	YBL017C, YIL173W, YJL222W, YNR065C
35	OG0000035	augustus_masked-CCBN010000005.1-processed-gene-9.43-mRNA-1_1&gene=augustus_masked-CCBN010000005.1-processed-gene-9.43&CDS=1-7938, snap_masked-CCBN010000008.1-processed-gene-2.65-mRNA-1_1&gene=snap_masked-CCBN010000008.1-processed-gene-2.65&CDS=1-6957, snap_masked-CCBN010000028.1-processed-gene-4.3-mRNA-1_1&gene=snap_masked-CCBN010000028.1-processed-gene-4.3&CDS=1-984	YBR140C, YOL081W
36	OG0000036	genemark-CCBN010000006.1-processed-gene-0.35-mRNA-1_1&gene=genemark-CCBN010000006.1-processed-gene-0.35&CDS=1-1731	YCL069W, YGR224W, YKR105C, YPR198W
37	OG0000037	maker-CCBN010000014.1-snap-gene-6.107-mRNA-1_1&gene=maker-CCBN010000014.1-snap-gene-6.107&CDS=1-1053, snap_masked-CCBN010000007.1-processed-gene-4.14-mRNA-1_1&gene=snap_masked-CCBN010000007.1-processed-gene-4.14&CDS=1-312	YMR193W, YMR194W, YPL249C-A
38	OG0000038	genemark-CCBN010000010.1-processed-gene-3.87-mRNA-1_1&gene=genemark-CCBN010000010.1-processed-gene-3.87&CDS=1-1509, genemark-CCBN010000010.1-processed-gene-7.84-mRNA-1_1&gene=genemark-CCBN010000010.1-processed-gene-7.84&CDS=1-1479, genemark-CCBN010000021.1-processed-gene-1.98-mRNA-1_1&gene=genemark-CCBN010000021.1-processed-gene-1.98&CDS=1-1683, maker-CCBN010000013.1-snap-gene-6.114-mRNA-1_1&gene=maker-CCBN010000013.1-snap-gene-6.114&CDS=1-1638	YMR155W
39	OG0000039	genemark-CCBN010000010.1-processed-gene-3.92-mRNA-1_1&gene=genemark-CCBN010000010.1-processed-gene-3.92&CDS=1-747	YDR533C, YMR322C, YOR391C, YPL280W
40	OG0000040	genemark-CCBN010000011.1-processed-gene-3.8-mRNA-1_1&gene=genemark-CCBN010000011.1-processed-gene-3.8&CDS=1-1080, genemark-CCBN010000020.1-processed-gene-1.80-mRNA-1_1&gene=genemark-CCBN010000020.1-processed-gene-1.80&CDS=1-1197, maker-CCBN010000016.1-snap-gene-2.5-mRNA-1_1&gene=maker-CCBN010000016.1-snap-gene-2.5&CDS=1-4395	YHR179W, YPL171C
41	OG0000041	genemark-CCBN010000013.1-processed-gene-4.37-mRNA-1_1&gene=genemark-CCBN010000013.1-processed-gene-4.37&CDS=1-1521, genemark-CCBN010000024.1-processed-gene-1.187-mRNA-1_1&gene=genemark-CCBN010000024.1-processed-gene-1.187&CDS=1-1527	YER056C, YER060W, YER060W-A
42	OG0000042	genemark-CCBN010000023.1-processed-gene-0.39-mRNA-1_1&gene=genemark-CCBN010000023.1-processed-gene-0.39&CDS=1-4359, genemark-CCBN010000024.1-processed-gene-1.174-mRNA-1_1&gene=genemark-CCBN010000024.1-processed-gene-1.174&CDS=1-4587, genemark-CCBN010000028.1-processed-gene-1.4-mRNA-1_1&gene=genemark-CCBN010000028.1-processed-gene-1.4&CDS=1-4422	YDR406W, YOR153W
43	OG0000043		YKL220C, YLL051C, YNR060W, YOR381W, YOR384W
44	OG0000044	genemark-CCBN010000001.1-processed-gene-0.19-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-0.19&CDS=1-2337, genemark-CCBN010000008.1-processed-gene-10.131-mRNA-1_1&gene=genemark-CCBN010000008.1-processed-gene-10.131&CDS=1-2379	YBR294W, YLR092W
45	OG0000045	genemark-CCBN010000001.1-processed-gene-1.80-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-1.80&CDS=1-3390, genemark-CCBN010000013.1-processed-gene-0.29-mRNA-1_1&gene=genemark-CCBN010000013.1-processed-gene-0.29&CDS=1-3594	YOR227W, YPL137C
46	OG0000046	augustus_masked-CCBN010000018.1-processed-gene-3.41-mRNA-1_1&gene=augustus_masked-CCBN010000018.1-processed-gene-3.41&CDS=1-3093, genemark-CCBN010000001.1-processed-gene-1.89-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-1.89&CDS=1-1725	YDR409W, YOR156C
47	OG0000047	genemark-CCBN010000001.1-processed-gene-2.24-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-2.24&CDS=1-567, genemark-CCBN010000004.1-processed-gene-3.95-mRNA-1_1&gene=genemark-CCBN010000004.1-processed-gene-3.95&CDS=1-567	YGL147C, YNL067W
48	OG0000048	genemark-CCBN010000001.1-processed-gene-2.29-mRNA-1_1&gene=genemark-CCBN010000001.1-processed-gene-2.29&CDS=1-2079, genemark-CCBN010000004.1-processed-gene-2.44-mRNA-1_1&gene=genemark-CCBN010000004.1-processed-gene-2.44&CDS=1-2124	YDR505C, YLR177W
49	OG0000049	augustus_masked-CCBN010000001.1-processed-gene-2.61-mRNA-1_1&gene=augustus_masked-CCBN010000001.1-processed-gene-2.61&CDS=1-1809, genemark-CCBN010000015.1-processed-gene-4.48-mRNA-1_1&gene=genemark-CCBN010000015.1-processed-gene-4.48&CDS=1-591	YIR005W, YKL074C
