	OrthologID	Saccharomyces_cerevisiae	yHMPu5000034902_Ogataea_minuta
10	OG0000010	YIL002C, YNL106C, YNL272C, YOR109W	augustus_masked-NODE_3_length_1291677_cov_39.2896_ID_5-processed-gene-6.135-mRNA-1_1&gene=augustus_masked-NODE_3_length_1291677_cov_39.2896_ID_5-processed-gene-6.135&CDS=1-4149, maker-NODE_2_length_1316370_cov_40.1168_ID_3-augustus-gene-5.60-mRNA-1_1&gene=maker-NODE_2_length_1316370_cov_40.1168_ID_3-augustus-gene-5.60&CDS=1-3414, snap_masked-NODE_2_length_1316370_cov_40.1168_ID_3-processed-gene-11.119-mRNA-1_1&gene=snap_masked-NODE_2_length_1316370_cov_40.1168_ID_3-processed-gene-11.119&CDS=1-2877
11	OG0000011	YLR004C	augustus_masked-NODE_3_length_1291677_cov_39.2896_ID_5-processed-gene-11.176-mRNA-1_1&gene=augustus_masked-NODE_3_length_1291677_cov_39.2896_ID_5-processed-gene-11.176&CDS=1-1515, maker-NODE_2_length_1316370_cov_40.1168_ID_3-snap-gene-0.122-mRNA-1_1&gene=maker-NODE_2_length_1316370_cov_40.1168_ID_3-snap-gene-0.122&CDS=1-2523, maker-NODE_8_length_429335_cov_42.3132_ID_15-snap-gene-3.211-mRNA-1_1&gene=maker-NODE_8_length_429335_cov_42.3132_ID_15-snap-gene-3.211&CDS=1-3231, snap_masked-NODE_2_length_1316370_cov_40.1168_ID_3-processed-gene-0.27-mRNA-1_1&gene=snap_masked-NODE_2_length_1316370_cov_40.1168_ID_3-processed-gene-0.27&CDS=1-1515, snap_masked-NODE_4_length_1228431_cov_41.8692_ID_7-processed-gene-0.96-mRNA-1_1&gene=snap_masked-NODE_4_length_1228431_cov_41.8692_ID_7-processed-gene-0.96&CDS=1-1386, snap_masked-NODE_6_length_997536_cov_39.9545_ID_11-processed-gene-0.31-mRNA-1_1&gene=snap_masked-NODE_6_length_997536_cov_39.9545_ID_11-processed-gene-0.31&CDS=1-1575
12	OG0000012	YPL088W	augustus_masked-NODE_5_length_1023165_cov_41.5042_ID_9-processed-gene-9.64-mRNA-1_1&gene=augustus_masked-NODE_5_length_1023165_cov_41.5042_ID_9-processed-gene-9.64&CDS=1-2142, maker-NODE_1_length_1541352_cov_40.0978_ID_1-snap-gene-0.1-mRNA-1_1&gene=maker-NODE_1_length_1541352_cov_40.0978_ID_1-snap-gene-0.1&CDS=1-4635, snap_masked-NODE_1_length_1541352_cov_40.0978_ID_1-processed-gene-14.201-mRNA-1_1&gene=snap_masked-NODE_1_length_1541352_cov_40.0978_ID_1-processed-gene-14.201&CDS=1-1074, snap_masked-NODE_2_length_1316370_cov_40.1168_ID_3-processed-gene-0.3-mRNA-1_1&gene=snap_masked-NODE_2_length_1316370_cov_40.1168_ID_3-processed-gene-0.3&CDS=1-1074, snap_masked-NODE_5_length_1023165_cov_41.5042_ID_9-processed-gene-0.61-mRNA-1_1&gene=snap_masked-NODE_5_length_1023165_cov_41.5042_ID_9-processed-gene-0.61&CDS=1-1077, snap_masked-NODE_8_length_429335_cov_42.3132_ID_15-processed-gene-3.137-mRNA-1_1&gene=snap_masked-NODE_8_length_429335_cov_42.3132_ID_15-processed-gene-3.137&CDS=1-1074
13	OG0000013	YDR342C, YDR343C, YDR345C, YHR092C, YHR094C	snap_masked-NODE_4_length_1228431_cov_41.8692_ID_7-processed-gene-8.129-mRNA-1_1&gene=snap_masked-NODE_4_length_1228431_cov_41.8692_ID_7-processed-gene-8.129&CDS=1-1626
14	OG0000014	YJL218W, YLR050C	augustus_masked-NODE_8_length_429335_cov_42.3132_ID_15-processed-gene-0.87-mRNA-1_1&gene=augustus_masked-NODE_8_length_429335_cov_42.3132_ID_15-processed-gene-0.87&CDS=1-807, genemark-NODE_3_length_1291677_cov_39.2896_ID_5-processed-gene-0.38-mRNA-1_1&gene=genemark-NODE_3_length_1291677_cov_39.2896_ID_5-processed-gene-0.38&CDS=1-1407, maker-NODE_1_length_1541352_cov_40.0978_ID_1-augustus-gene-1.114-mRNA-1_1&gene=maker-NODE_1_length_1541352_cov_40.0978_ID_1-augustus-gene-1.114&CDS=1-1911, snap_masked-NODE_3_length_1291677_cov_39.2896_ID_5-processed-gene-11.115-mRNA-1_1&gene=snap_masked-NODE_3_length_1291677_cov_39.2896_ID_5-processed-gene-11.115&CDS=1-660
15	OG0000015	YKL080W, YLR361C	augustus_masked-NODE_4_length_1228431_cov_41.8692_ID_7-processed-gene-5.148-mRNA-1_1&gene=augustus_masked-NODE_4_length_1228431_cov_41.8692_ID_7-processed-gene-5.148&CDS=1-3708, augustus_masked-NODE_6_length_997536_cov_39.9545_ID_11-processed-gene-6.92-mRNA-1_1&gene=augustus_masked-NODE_6_length_997536_cov_39.9545_ID_11-processed-gene-6.92&CDS=1-3717, maker-NODE_5_length_1023165_cov_41.5042_ID_9-snap-gene-9.167-mRNA-1_1&gene=maker-NODE_5_length_1023165_cov_41.5042_ID_9-snap-gene-9.167&CDS=1-3645, snap_masked-NODE_4_length_1228431_cov_41.8692_ID_7-processed-gene-11.56-mRNA-1_1&gene=snap_masked-NODE_4_length_1228431_cov_41.8692_ID_7-processed-gene-11.56&CDS=1-1527
16	OG0000016	YKL215C	augustus_masked-NODE_8_length_429335_cov_42.3132_ID_15-processed-gene-3.56-mRNA-1_1&gene=augustus_masked-NODE_8_length_429335_cov_42.3132_ID_15-processed-gene-3.56&CDS=1-3912, genemark-NODE_3_length_1291677_cov_39.2896_ID_5-processed-gene-0.33-mRNA-1_1&gene=genemark-NODE_3_length_1291677_cov_39.2896_ID_5-processed-gene-0.33&CDS=1-5304, maker-NODE_4_length_1228431_cov_41.8692_ID_7-augustus-gene-11.224-mRNA-1_1&gene=maker-NODE_4_length_1228431_cov_41.8692_ID_7-augustus-gene-11.224&CDS=1-5457, maker-NODE_4_length_1228431_cov_41.8692_ID_7-augustus-gene-3.7-mRNA-1_1&gene=maker-NODE_4_length_1228431_cov_41.8692_ID_7-augustus-gene-3.7&CDS=1-5949, snap_masked-NODE_8_length_429335_cov_42.3132_ID_15-processed-gene-3.88-mRNA-1_1&gene=snap_masked-NODE_8_length_429335_cov_42.3132_ID_15-processed-gene-3.88&CDS=1-3936
17	OG0000017	YAL018C, YNL141W, YOL048C	augustus_masked-NODE_2_length_1316370_cov_40.1168_ID_3-processed-gene-1.76-mRNA-1_1&gene=augustus_masked-NODE_2_length_1316370_cov_40.1168_ID_3-processed-gene-1.76&CDS=1-3153, augustus_masked-NODE_6_length_997536_cov_39.9545_ID_11-processed-gene-8.126-mRNA-1_1&gene=augustus_masked-NODE_6_length_997536_cov_39.9545_ID_11-processed-gene-8.126&CDS=1-762
18	OG0000018	YAL023C, YGR199W, YOR321W	augustus_masked-NODE_2_length_1316370_cov_40.1168_ID_3-processed-gene-12.9-mRNA-1_1&gene=augustus_masked-NODE_2_length_1316370_cov_40.1168_ID_3-processed-gene-12.9&CDS=1-5643, augustus_masked-NODE_2_length_1316370_cov_40.1168_ID_3-processed-gene-9.141-mRNA-1_1&gene=augustus_masked-NODE_2_length_1316370_cov_40.1168_ID_3-processed-gene-9.141&CDS=1-3549
19	OG0000019	YBL089W, YER119C, YIL088C	augustus_masked-NODE_6_length_997536_cov_39.9545_ID_11-processed-gene-1.22-mRNA-1_1&gene=augustus_masked-NODE_6_length_997536_cov_39.9545_ID_11-processed-gene-1.22&CDS=1-1302, snap_masked-NODE_1_length_1541352_cov_40.0978_ID_1-processed-gene-3.52-mRNA-1_1&gene=snap_masked-NODE_1_length_1541352_cov_40.0978_ID_1-processed-gene-3.52&CDS=1-1422
20	OG0000020	YBR038W, YNL192W	snap_masked-NODE_1_length_1541352_cov_40.0978_ID_1-processed-gene-12.53-mRNA-1_1&gene=snap_masked-NODE_1_length_1541352_cov_40.0978_ID_1-processed-gene-12.53&CDS=1-2877, snap_masked-NODE_2_length_1316370_cov_40.1168_ID_3-processed-gene-12.74-mRNA-1_1&gene=snap_masked-NODE_2_length_1316370_cov_40.1168_ID_3-processed-gene-12.74&CDS=1-2901, snap_masked-NODE_8_length_429335_cov_42.3132_ID_15-processed-gene-3.82-mRNA-1_1&gene=snap_masked-NODE_8_length_429335_cov_42.3132_ID_15-processed-gene-3.82&CDS=1-2859
21	OG0000021	YBR082C, YDR059C, YDR092W	maker-NODE_2_length_1316370_cov_40.1168_ID_3-augustus-gene-6.7-mRNA-1_1&gene=maker-NODE_2_length_1316370_cov_40.1168_ID_3-augustus-gene-6.7&CDS=1-2739, maker-NODE_2_length_1316370_cov_40.1168_ID_3-augustus-gene-6.9-mRNA-1_1&gene=maker-NODE_2_length_1316370_cov_40.1168_ID_3-augustus-gene-6.9&CDS=1-4443
22	OG0000022	YCL024W, YDR507C, YKL101W	maker-NODE_3_length_1291677_cov_39.2896_ID_5-augustus-gene-7.9-mRNA-1_1&gene=maker-NODE_3_length_1291677_cov_39.2896_ID_5-augustus-gene-7.9&CDS=1-4365, maker-NODE_4_length_1228431_cov_41.8692_ID_7-augustus-gene-4.4-mRNA-1_1&gene=maker-NODE_4_length_1228431_cov_41.8692_ID_7-augustus-gene-4.4&CDS=1-4029
23	OG0000023	YCL069W, YGR224W, YKR105C, YPR198W	snap_masked-NODE_5_length_1023165_cov_41.5042_ID_9-processed-gene-8.147-mRNA-1_1&gene=snap_masked-NODE_5_length_1023165_cov_41.5042_ID_9-processed-gene-8.147&CDS=1-1452
24	OG0000024	YCR037C, YJL198W, YNR013C	snap_masked-NODE_3_length_1291677_cov_39.2896_ID_5-processed-gene-4.150-mRNA-1_1&gene=snap_masked-NODE_3_length_1291677_cov_39.2896_ID_5-processed-gene-4.150&CDS=1-2523, snap_masked-NODE_6_length_997536_cov_39.9545_ID_11-processed-gene-4.107-mRNA-1_1&gene=snap_masked-NODE_6_length_997536_cov_39.9545_ID_11-processed-gene-4.107&CDS=1-2463
25	OG0000025	YDL029W, YGR117C	augustus_masked-NODE_1_length_1541352_cov_40.0978_ID_1-processed-gene-3.30-mRNA-1_1&gene=augustus_masked-NODE_1_length_1541352_cov_40.0978_ID_1-processed-gene-3.30&CDS=1-3081, augustus_masked-NODE_3_length_1291677_cov_39.2896_ID_5-processed-gene-1.107-mRNA-1_1&gene=augustus_masked-NODE_3_length_1291677_cov_39.2896_ID_5-processed-gene-1.107&CDS=1-2544, snap_masked-NODE_2_length_1316370_cov_40.1168_ID_3-processed-gene-9.117-mRNA-1_1&gene=snap_masked-NODE_2_length_1316370_cov_40.1168_ID_3-processed-gene-9.117&CDS=1-1062
26	OG0000026	YDL174C, YMR027W	augustus_masked-NODE_1_length_1541352_cov_40.0978_ID_1-processed-gene-10.15-mRNA-1_1&gene=augustus_masked-NODE_1_length_1541352_cov_40.0978_ID_1-processed-gene-10.15&CDS=1-5052, maker-NODE_2_length_1316370_cov_40.1168_ID_3-augustus-gene-10.187-mRNA-1_1&gene=maker-NODE_2_length_1316370_cov_40.1168_ID_3-augustus-gene-10.187&CDS=1-2475, snap_masked-NODE_2_length_1316370_cov_40.1168_ID_3-processed-gene-5.77-mRNA-1_1&gene=snap_masked-NODE_2_length_1316370_cov_40.1168_ID_3-processed-gene-5.77&CDS=1-1668
27	OG0000027	YDR226W, YER170W	augustus_masked-NODE_6_length_997536_cov_39.9545_ID_11-processed-gene-1.33-mRNA-1_1&gene=augustus_masked-NODE_6_length_997536_cov_39.9545_ID_11-processed-gene-1.33&CDS=1-2586, maker-NODE_1_length_1541352_cov_40.0978_ID_1-snap-gene-7.169-mRNA-1_1&gene=maker-NODE_1_length_1541352_cov_40.0978_ID_1-snap-gene-7.169&CDS=1-2718, snap_masked-NODE_1_length_1541352_cov_40.0978_ID_1-processed-gene-12.33-mRNA-1_1&gene=snap_masked-NODE_1_length_1541352_cov_40.0978_ID_1-processed-gene-12.33&CDS=1-2004
28	OG0000028	YDR385W, YKL173W, YOR133W	augustus_masked-NODE_3_length_1291677_cov_39.2896_ID_5-processed-gene-3.83-mRNA-1_1&gene=augustus_masked-NODE_3_length_1291677_cov_39.2896_ID_5-processed-gene-3.83&CDS=1-3333, snap_masked-NODE_2_length_1316370_cov_40.1168_ID_3-processed-gene-3.80-mRNA-1_1&gene=snap_masked-NODE_2_length_1316370_cov_40.1168_ID_3-processed-gene-3.80&CDS=1-2853
29	OG0000029	YFL021W, YKR034W	snap_masked-NODE_6_length_997536_cov_39.9545_ID_11-processed-gene-7.146-mRNA-1_1&gene=snap_masked-NODE_6_length_997536_cov_39.9545_ID_11-processed-gene-7.146&CDS=1-1701, snap_masked-NODE_7_length_744497_cov_40.979_ID_13-processed-gene-4.113-mRNA-1_1&gene=snap_masked-NODE_7_length_744497_cov_40.979_ID_13-processed-gene-4.113&CDS=1-1635, snap_masked-NODE_9_length_414456_cov_41.5545_ID_17-processed-gene-3.49-mRNA-1_1&gene=snap_masked-NODE_9_length_414456_cov_41.5545_ID_17-processed-gene-3.49&CDS=1-1932
