	OrthologID	Saccharomyces_cerevisiae	yHMPu5000034884_Peterozyma_toletana
10	OG0000010	YCR102C, YLR460C, YNL134C	augustus_masked-flattened_line_176-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-flattened_line_176-processed-gene-0.2&CDS=1-648, augustus_masked-flattened_line_47-processed-gene-0.141-mRNA-1_1&gene=augustus_masked-flattened_line_47-processed-gene-0.141&CDS=1-648, genemark-flattened_line_24-processed-gene-2.27-mRNA-1_1&gene=genemark-flattened_line_24-processed-gene-2.27&CDS=1-1104, genemark-flattened_line_8-processed-gene-5.148-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-5.148&CDS=1-1092
11	OG0000011	YDR011W, YNR070W, YPL058C	genemark-flattened_line_18-processed-gene-0.28-mRNA-1_1&gene=genemark-flattened_line_18-processed-gene-0.28&CDS=1-4530, genemark-flattened_line_2-processed-gene-3.35-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-3.35&CDS=1-4407, genemark-flattened_line_65-processed-gene-0.113-mRNA-1_1&gene=genemark-flattened_line_65-processed-gene-0.113&CDS=1-4494, snap_masked-flattened_line_6-processed-gene-7.52-mRNA-1_1&gene=snap_masked-flattened_line_6-processed-gene-7.52&CDS=1-4539
12	OG0000012	YHR137W	genemark-flattened_line_10-processed-gene-2.116-mRNA-1_1&gene=genemark-flattened_line_10-processed-gene-2.116&CDS=1-1440, genemark-flattened_line_6-processed-gene-6.20-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-6.20&CDS=1-1434, genemark-flattened_line_61-processed-gene-0.26-mRNA-1_1&gene=genemark-flattened_line_61-processed-gene-0.26&CDS=1-1434, genemark-flattened_line_8-processed-gene-4.70-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-4.70&CDS=1-1428, snap_masked-flattened_line_166-processed-gene-0.1-mRNA-1_1&gene=snap_masked-flattened_line_166-processed-gene-0.1&CDS=1-1065, snap_masked-flattened_line_36-processed-gene-1.73-mRNA-1_1&gene=snap_masked-flattened_line_36-processed-gene-1.73&CDS=1-1065
13	OG0000013	YKL222C, YLR266C, YOR162C, YOR172W	augustus_masked-flattened_line_49-processed-gene-0.135-mRNA-1_1&gene=augustus_masked-flattened_line_49-processed-gene-0.135&CDS=1-5313, genemark-flattened_line_104-processed-gene-0.2-mRNA-1_1&gene=genemark-flattened_line_104-processed-gene-0.2&CDS=1-2595, genemark-flattened_line_40-processed-gene-0.101-mRNA-1_1&gene=genemark-flattened_line_40-processed-gene-0.101&CDS=1-2490
14	OG0000014	YBR132C, YNR063W	augustus_masked-flattened_line_12-processed-gene-4.222-mRNA-1_1&gene=augustus_masked-flattened_line_12-processed-gene-4.222&CDS=1-1758, genemark-flattened_line_6-processed-gene-1.70-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-1.70&CDS=1-1869, genemark-flattened_line_6-processed-gene-1.71-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-1.71&CDS=1-2814, snap_masked-flattened_line_12-processed-gene-4.23-mRNA-1_1&gene=snap_masked-flattened_line_12-processed-gene-4.23&CDS=1-3444
15	OG0000015	YDR242W	genemark-flattened_line_10-processed-gene-2.130-mRNA-1_1&gene=genemark-flattened_line_10-processed-gene-2.130&CDS=1-1674, genemark-flattened_line_10-processed-gene-3.49-mRNA-1_1&gene=genemark-flattened_line_10-processed-gene-3.49&CDS=1-1686, genemark-flattened_line_22-processed-gene-1.61-mRNA-1_1&gene=genemark-flattened_line_22-processed-gene-1.61&CDS=1-1632, genemark-flattened_line_32-processed-gene-1.159-mRNA-1_1&gene=genemark-flattened_line_32-processed-gene-1.159&CDS=1-1698, genemark-flattened_line_82-processed-gene-0.57-mRNA-1_1&gene=genemark-flattened_line_82-processed-gene-0.57&CDS=1-1671
16	OG0000016	YER054C, YIL045W, YLR273C, YOR178C	genemark-flattened_line_47-processed-gene-0.58-mRNA-1_1&gene=genemark-flattened_line_47-processed-gene-0.58&CDS=1-1629, snap_masked-flattened_line_30-processed-gene-1.72-mRNA-1_1&gene=snap_masked-flattened_line_30-processed-gene-1.72&CDS=1-2121
17	OG0000017	YGR197C, YJR015W	genemark-flattened_line_12-processed-gene-3.7-mRNA-1_1&gene=genemark-flattened_line_12-processed-gene-3.7&CDS=1-1623, genemark-flattened_line_14-processed-gene-2.90-mRNA-1_1&gene=genemark-flattened_line_14-processed-gene-2.90&CDS=1-1629, genemark-flattened_line_2-processed-gene-5.72-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-5.72&CDS=1-1542, genemark-flattened_line_71-processed-gene-0.18-mRNA-1_1&gene=genemark-flattened_line_71-processed-gene-0.18&CDS=1-1794
18	OG0000018	YJR154W	genemark-flattened_line_114-processed-gene-0.4-mRNA-1_1&gene=genemark-flattened_line_114-processed-gene-0.4&CDS=1-1038, genemark-flattened_line_81-processed-gene-0.105-mRNA-1_1&gene=genemark-flattened_line_81-processed-gene-0.105&CDS=1-1035, genemark-flattened_line_81-processed-gene-0.88-mRNA-1_1&gene=genemark-flattened_line_81-processed-gene-0.88&CDS=1-1035, maker-flattened_line_81-snap-gene-0.119-mRNA-1_1&gene=maker-flattened_line_81-snap-gene-0.119&CDS=1-2982, maker-flattened_line_81-snap-gene-0.123-mRNA-1_1&gene=maker-flattened_line_81-snap-gene-0.123&CDS=1-2982
19	OG0000019	YLR237W, YOR071C, YOR192C	genemark-flattened_line_12-processed-gene-3.21-mRNA-1_1&gene=genemark-flattened_line_12-processed-gene-3.21&CDS=1-1686, genemark-flattened_line_24-processed-gene-2.36-mRNA-1_1&gene=genemark-flattened_line_24-processed-gene-2.36&CDS=1-1725, maker-flattened_line_10-snap-gene-1.0-mRNA-1_1&gene=maker-flattened_line_10-snap-gene-1.0&CDS=1-3363
20	OG0000020	YAR035W, YER024W	genemark-flattened_line_65-processed-gene-0.128-mRNA-1_1&gene=genemark-flattened_line_65-processed-gene-0.128&CDS=1-2349, genemark-flattened_line_81-processed-gene-0.107-mRNA-1_1&gene=genemark-flattened_line_81-processed-gene-0.107&CDS=1-2187, genemark-flattened_line_81-processed-gene-0.86-mRNA-1_1&gene=genemark-flattened_line_81-processed-gene-0.86&CDS=1-2187
21	OG0000021	YBL017C, YIL173W, YJL222W, YNR065C	genemark-flattened_line_49-processed-gene-0.194-mRNA-1_1&gene=genemark-flattened_line_49-processed-gene-0.194&CDS=1-4716
22	OG0000022	YBR297W, YFL052W, YGR288W, YPR196W	genemark-flattened_line_2-processed-gene-4.38-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-4.38&CDS=1-1755
23	OG0000023	YCL024W, YDR507C, YKL101W	genemark-flattened_line_0-processed-gene-2.26-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-2.26&CDS=1-3654, genemark-flattened_line_24-processed-gene-0.84-mRNA-1_1&gene=genemark-flattened_line_24-processed-gene-0.84&CDS=1-3324
24	OG0000024	YCL069W, YGR224W, YKR105C, YPR198W	genemark-flattened_line_14-processed-gene-3.60-mRNA-1_1&gene=genemark-flattened_line_14-processed-gene-3.60&CDS=1-1773
25	OG0000025	YCR053W, YNL125C	genemark-flattened_line_26-processed-gene-2.170-mRNA-1_1&gene=genemark-flattened_line_26-processed-gene-2.170&CDS=1-1914, genemark-flattened_line_47-processed-gene-0.10-mRNA-1_1&gene=genemark-flattened_line_47-processed-gene-0.10&CDS=1-1845, maker-flattened_line_28-snap-gene-1.209-mRNA-1_1&gene=maker-flattened_line_28-snap-gene-1.209&CDS=1-4338
26	OG0000026	YDR402C	genemark-flattened_line_12-processed-gene-0.39-mRNA-1_1&gene=genemark-flattened_line_12-processed-gene-0.39&CDS=1-1578, genemark-flattened_line_16-processed-gene-1.76-mRNA-1_1&gene=genemark-flattened_line_16-processed-gene-1.76&CDS=1-1482, genemark-flattened_line_4-processed-gene-2.28-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-2.28&CDS=1-1476, genemark-flattened_line_8-processed-gene-4.52-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-4.52&CDS=1-1434
27	OG0000027	YDR533C, YMR322C, YOR391C, YPL280W	genemark-flattened_line_65-processed-gene-0.126-mRNA-1_1&gene=genemark-flattened_line_65-processed-gene-0.126&CDS=1-726
28	OG0000028	YDR536W, YFL040W	genemark-flattened_line_2-processed-gene-1.82-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-1.82&CDS=1-1788, genemark-flattened_line_38-processed-gene-1.74-mRNA-1_1&gene=genemark-flattened_line_38-processed-gene-1.74&CDS=1-1773, genemark-flattened_line_8-processed-gene-5.134-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-5.134&CDS=1-1614
29	OG0000029	YER056C, YER060W, YER060W-A	genemark-flattened_line_26-processed-gene-0.86-mRNA-1_1&gene=genemark-flattened_line_26-processed-gene-0.86&CDS=1-1536, genemark-flattened_line_8-processed-gene-2.128-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-2.128&CDS=1-1515
30	OG0000030	YHR138C, YNL015W	genemark-flattened_line_44-processed-gene-0.100-mRNA-1_1&gene=genemark-flattened_line_44-processed-gene-0.100&CDS=1-228, genemark-flattened_line_44-processed-gene-1.128-mRNA-1_1&gene=genemark-flattened_line_44-processed-gene-1.128&CDS=1-228, genemark-flattened_line_53-processed-gene-0.293-mRNA-1_1&gene=genemark-flattened_line_53-processed-gene-0.293&CDS=1-234
31	OG0000031	YKL220C, YNR060W, YOR381W	augustus_masked-flattened_line_57-processed-gene-0.93-mRNA-1_1&gene=augustus_masked-flattened_line_57-processed-gene-0.93&CDS=1-2163, maker-flattened_line_16-snap-gene-3.80-mRNA-1_1&gene=maker-flattened_line_16-snap-gene-3.80&CDS=1-4653
32	OG0000032	YKR093W	augustus_masked-flattened_line_112-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-flattened_line_112-processed-gene-0.8&CDS=1-606, augustus_masked-flattened_line_114-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-flattened_line_114-processed-gene-0.12&CDS=1-1491, genemark-flattened_line_12-processed-gene-2.102-mRNA-1_1&gene=genemark-flattened_line_12-processed-gene-2.102&CDS=1-1902, genemark-flattened_line_8-processed-gene-1.94-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-1.94&CDS=1-1884
33	OG0000033	YLR098C, YOR337W	augustus_masked-flattened_line_61-processed-gene-0.104-mRNA-1_1&gene=augustus_masked-flattened_line_61-processed-gene-0.104&CDS=1-1686, genemark-flattened_line_4-processed-gene-1.64-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-1.64&CDS=1-2121, snap_masked-flattened_line_102-processed-gene-0.4-mRNA-1_1&gene=snap_masked-flattened_line_102-processed-gene-0.4&CDS=1-2262
34	OG0000034	YML111W, YMR275C, YNR069C	genemark-flattened_line_18-processed-gene-0.35-mRNA-1_1&gene=genemark-flattened_line_18-processed-gene-0.35&CDS=1-2178, snap_masked-flattened_line_40-processed-gene-1.48-mRNA-1_1&gene=snap_masked-flattened_line_40-processed-gene-1.48&CDS=1-297
35	OG0000035	Q0045, Q0065, Q0070	genemark-flattened_line_94-processed-gene-0.28-mRNA-1_1&gene=genemark-flattened_line_94-processed-gene-0.28&CDS=1-300, maker-flattened_line_94-snap-gene-0.35-mRNA-1_1&gene=maker-flattened_line_94-snap-gene-0.35&CDS=1-891
36	OG0000036	YAL021C, YOL042W	augustus_masked-flattened_line_22-processed-gene-0.80-mRNA-1_1&gene=augustus_masked-flattened_line_22-processed-gene-0.80&CDS=1-1143, genemark-flattened_line_8-processed-gene-6.102-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-6.102&CDS=1-2304
37	OG0000037	YBL002W, YDR224C	genemark-flattened_line_30-processed-gene-1.297-mRNA-1_1&gene=genemark-flattened_line_30-processed-gene-1.297&CDS=1-393, genemark-flattened_line_8-processed-gene-1.108-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-1.108&CDS=1-393
38	OG0000038	YBR009C, YNL030W	genemark-flattened_line_2-processed-gene-8.45-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-8.45&CDS=1-309, genemark-flattened_line_51-processed-gene-0.76-mRNA-1_1&gene=genemark-flattened_line_51-processed-gene-0.76&CDS=1-309
39	OG0000039	YBR010W, YNL031C	genemark-flattened_line_2-processed-gene-8.14-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-8.14&CDS=1-408, genemark-flattened_line_51-processed-gene-0.47-mRNA-1_1&gene=genemark-flattened_line_51-processed-gene-0.47&CDS=1-408
40	OG0000040	YBR015C	genemark-flattened_line_34-processed-gene-1.30-mRNA-1_1&gene=genemark-flattened_line_34-processed-gene-1.30&CDS=1-1893, genemark-flattened_line_34-processed-gene-1.39-mRNA-1_1&gene=genemark-flattened_line_34-processed-gene-1.39&CDS=1-1779, genemark-flattened_line_55-processed-gene-0.28-mRNA-1_1&gene=genemark-flattened_line_55-processed-gene-0.28&CDS=1-1575
41	OG0000041	YBR245C, YOR304W	genemark-flattened_line_18-processed-gene-2.214-mRNA-1_1&gene=genemark-flattened_line_18-processed-gene-2.214&CDS=1-3117, genemark-flattened_line_61-processed-gene-0.22-mRNA-1_1&gene=genemark-flattened_line_61-processed-gene-0.22&CDS=1-3108
42	OG0000042	YCL037C, YDR515W	genemark-flattened_line_75-processed-gene-0.74-mRNA-1_1&gene=genemark-flattened_line_75-processed-gene-0.74&CDS=1-1347, genemark-flattened_line_90-processed-gene-0.25-mRNA-1_1&gene=genemark-flattened_line_90-processed-gene-0.25&CDS=1-1623
43	OG0000043	YCL064C, YIL167W	genemark-flattened_line_30-processed-gene-1.235-mRNA-1_1&gene=genemark-flattened_line_30-processed-gene-1.235&CDS=1-996, genemark-flattened_line_32-processed-gene-1.97-mRNA-1_1&gene=genemark-flattened_line_32-processed-gene-1.97&CDS=1-1020
44	OG0000044	YCR010C, YNR002C	genemark-flattened_line_0-processed-gene-3.120-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-3.120&CDS=1-822, genemark-flattened_line_26-processed-gene-2.158-mRNA-1_1&gene=genemark-flattened_line_26-processed-gene-2.158&CDS=1-813
45	OG0000045	YCR023C	genemark-flattened_line_4-processed-gene-3.74-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-3.74&CDS=1-1791, genemark-flattened_line_4-processed-gene-6.59-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-6.59&CDS=1-1902, genemark-flattened_line_77-processed-gene-0.76-mRNA-1_1&gene=genemark-flattened_line_77-processed-gene-0.76&CDS=1-1725
46	OG0000046	YCR105W, YMR318C	genemark-flattened_line_24-processed-gene-2.44-mRNA-1_1&gene=genemark-flattened_line_24-processed-gene-2.44&CDS=1-1140, genemark-flattened_line_6-processed-gene-3.26-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-3.26&CDS=1-1089
47	OG0000047	YDL037C, YIR019C	maker-flattened_line_82-snap-gene-0.77-mRNA-1_1&gene=maker-flattened_line_82-snap-gene-0.77&CDS=1-2946, snap_masked-flattened_line_160-processed-gene-0.2-mRNA-1_1&gene=snap_masked-flattened_line_160-processed-gene-0.2&CDS=1-2556
48	OG0000048	YDL091C, YML013W	augustus_masked-flattened_line_61-processed-gene-0.96-mRNA-1_1&gene=augustus_masked-flattened_line_61-processed-gene-0.96&CDS=1-1719, genemark-flattened_line_77-processed-gene-0.52-mRNA-1_1&gene=genemark-flattened_line_77-processed-gene-0.52&CDS=1-1797
49	OG0000049	YDL144C	genemark-flattened_line_44-processed-gene-0.97-mRNA-1_1&gene=genemark-flattened_line_44-processed-gene-0.97&CDS=1-1044, genemark-flattened_line_44-processed-gene-1.131-mRNA-1_1&gene=genemark-flattened_line_44-processed-gene-1.131&CDS=1-1044, genemark-flattened_line_8-processed-gene-1.122-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-1.122&CDS=1-1014
50	OG0000050	YDR034C, YJL039C	maker-flattened_line_24-augustus-gene-2.5-mRNA-1_1&gene=maker-flattened_line_24-augustus-gene-2.5&CDS=1-7407, maker-flattened_line_28-snap-gene-0.45-mRNA-1_1&gene=maker-flattened_line_28-snap-gene-0.45&CDS=1-2130
51	OG0000051	YDR038C, YDR039C, YDR040C	genemark-flattened_line_32-processed-gene-0.43-mRNA-1_1&gene=genemark-flattened_line_32-processed-gene-0.43&CDS=1-3273
52	OG0000052	YDR125C, YLR099C	genemark-flattened_line_38-processed-gene-0.93-mRNA-1_1&gene=genemark-flattened_line_38-processed-gene-0.93&CDS=1-1284, genemark-flattened_line_6-processed-gene-4.35-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-4.35&CDS=1-1533
53	OG0000053	YDR144C, YLR120C, YLR121C	genemark-flattened_line_96-processed-gene-0.3-mRNA-1_1&gene=genemark-flattened_line_96-processed-gene-0.3&CDS=1-1839
54	OG0000054	YDR178W, YLR164W	genemark-flattened_line_14-processed-gene-2.69-mRNA-1_1&gene=genemark-flattened_line_14-processed-gene-2.69&CDS=1-513, genemark-flattened_line_16-processed-gene-3.18-mRNA-1_1&gene=genemark-flattened_line_16-processed-gene-3.18&CDS=1-510
55	OG0000055	YDR342C, YDR343C, YHR092C	genemark-flattened_line_36-processed-gene-1.163-mRNA-1_1&gene=genemark-flattened_line_36-processed-gene-1.163&CDS=1-1668
56	OG0000056	YDR538W	genemark-flattened_line_45-processed-gene-1.84-mRNA-1_1&gene=genemark-flattened_line_45-processed-gene-1.84&CDS=1-645, genemark-flattened_line_81-processed-gene-0.100-mRNA-1_1&gene=genemark-flattened_line_81-processed-gene-0.100&CDS=1-669, genemark-flattened_line_81-processed-gene-0.93-mRNA-1_1&gene=genemark-flattened_line_81-processed-gene-0.93&CDS=1-669
57	OG0000057	YDR539W	genemark-flattened_line_45-processed-gene-1.106-mRNA-1_1&gene=genemark-flattened_line_45-processed-gene-1.106&CDS=1-1503, snap_masked-flattened_line_81-processed-gene-0.0-mRNA-1_1&gene=snap_masked-flattened_line_81-processed-gene-0.0&CDS=1-1155, snap_masked-flattened_line_81-processed-gene-0.39-mRNA-1_1&gene=snap_masked-flattened_line_81-processed-gene-0.39&CDS=1-1155
58	OG0000058	YEL047C, YJR051W	maker-flattened_line_36-augustus-gene-0.80-mRNA-1_1&gene=maker-flattened_line_36-augustus-gene-0.80&CDS=1-2427, maker-flattened_line_8-snap-gene-6.152-mRNA-1_1&gene=maker-flattened_line_8-snap-gene-6.152&CDS=1-1047
