	OrthologID	Saccharomyces_cerevisiae	yHMPu5000035282_Trigonopsis_vinaria
10	OG0000010	YJL212C	augustus_masked-NODE_32_length_86570_cov_22.2133_ID_4131-processed-gene-0.82-mRNA-1_1&gene=augustus_masked-NODE_32_length_86570_cov_22.2133_ID_4131-processed-gene-0.82&CDS=1-2418, maker-NODE_5_length_608631_cov_29.0002_ID_3793-snap-gene-1.64-mRNA-1_1&gene=maker-NODE_5_length_608631_cov_29.0002_ID_3793-snap-gene-1.64&CDS=1-4458, snap_masked-NODE_17_length_250191_cov_28.841_ID_2582-processed-gene-1.284-mRNA-1_1&gene=snap_masked-NODE_17_length_250191_cov_28.841_ID_2582-processed-gene-1.284&CDS=1-2385, snap_masked-NODE_4_length_684481_cov_27.1247_ID_2120-processed-gene-5.232-mRNA-1_1&gene=snap_masked-NODE_4_length_684481_cov_27.1247_ID_2120-processed-gene-5.232&CDS=1-2604, snap_masked-NODE_8_length_412411_cov_29.2091_ID_5354-processed-gene-1.128-mRNA-1_1&gene=snap_masked-NODE_8_length_412411_cov_29.2091_ID_5354-processed-gene-1.128&CDS=1-2514, snap_masked-NODE_8_length_412411_cov_29.2091_ID_5354-processed-gene-2.153-mRNA-1_1&gene=snap_masked-NODE_8_length_412411_cov_29.2091_ID_5354-processed-gene-2.153&CDS=1-2370
11	OG0000011	YAL063C, YAL064C-A, YAR050W, YHR211W, YHR213W, YKR102W	
12	OG0000012	YAR003W, YCL039W	maker-NODE_12_length_323142_cov_42.5011_ID_4325-snap-gene-1.103-mRNA-1_1&gene=maker-NODE_12_length_323142_cov_42.5011_ID_4325-snap-gene-1.103&CDS=1-1266, maker-NODE_1_length_1437104_cov_31.7127_ID_3030-snap-gene-13.42-mRNA-1_1&gene=maker-NODE_1_length_1437104_cov_31.7127_ID_3030-snap-gene-13.42&CDS=1-1563, snap_masked-NODE_11_length_343405_cov_38.0855_ID_2620-processed-gene-2.89-mRNA-1_1&gene=snap_masked-NODE_11_length_343405_cov_38.0855_ID_2620-processed-gene-2.89&CDS=1-1056, snap_masked-NODE_1_length_1437104_cov_31.7127_ID_3030-processed-gene-6.114-mRNA-1_1&gene=snap_masked-NODE_1_length_1437104_cov_31.7127_ID_3030-processed-gene-6.114&CDS=1-1713
13	OG0000013	YBL060W, YDR170C, YPR095C	augustus_masked-NODE_13_length_312200_cov_40.1463_ID_9646-processed-gene-2.169-mRNA-1_1&gene=augustus_masked-NODE_13_length_312200_cov_40.1463_ID_9646-processed-gene-2.169&CDS=1-1635, augustus_masked-NODE_4_length_684481_cov_27.1247_ID_2120-processed-gene-5.344-mRNA-1_1&gene=augustus_masked-NODE_4_length_684481_cov_27.1247_ID_2120-processed-gene-5.344&CDS=1-5316, snap_masked-NODE_7_length_436440_cov_31.2914_ID_5749-processed-gene-3.199-mRNA-1_1&gene=snap_masked-NODE_7_length_436440_cov_31.2914_ID_5749-processed-gene-3.199&CDS=1-3633
14	OG0000014	YBR038W, YNL192W	augustus_masked-NODE_10_length_377915_cov_28.3732_ID_8830-processed-gene-2.172-mRNA-1_1&gene=augustus_masked-NODE_10_length_377915_cov_28.3732_ID_8830-processed-gene-2.172&CDS=1-3204, maker-NODE_1_length_1437104_cov_31.7127_ID_3030-augustus-gene-9.52-mRNA-1_1&gene=maker-NODE_1_length_1437104_cov_31.7127_ID_3030-augustus-gene-9.52&CDS=1-3408, maker-NODE_1_length_1437104_cov_31.7127_ID_3030-snap-gene-10.64-mRNA-1_1&gene=maker-NODE_1_length_1437104_cov_31.7127_ID_3030-snap-gene-10.64&CDS=1-2331, snap_masked-NODE_1_length_1437104_cov_31.7127_ID_3030-processed-gene-8.99-mRNA-1_1&gene=snap_masked-NODE_1_length_1437104_cov_31.7127_ID_3030-processed-gene-8.99&CDS=1-3036
15	OG0000015	YBR288C, YOL062C, YPL259C	genemark-NODE_2_length_864050_cov_27.7683_ID_3241-processed-gene-1.13-mRNA-1_1&gene=genemark-NODE_2_length_864050_cov_27.7683_ID_3241-processed-gene-1.13&CDS=1-1311, maker-NODE_1_length_1437104_cov_31.7127_ID_3030-snap-gene-8.105-mRNA-1_1&gene=maker-NODE_1_length_1437104_cov_31.7127_ID_3030-snap-gene-8.105&CDS=1-1284, snap_masked-NODE_1_length_1437104_cov_31.7127_ID_3030-processed-gene-9.95-mRNA-1_1&gene=snap_masked-NODE_1_length_1437104_cov_31.7127_ID_3030-processed-gene-9.95&CDS=1-1350
16	OG0000016	YDL144C	augustus_masked-NODE_133_length_443_cov_30.8729_ID_11448-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_133_length_443_cov_30.8729_ID_11448-processed-gene-0.0&CDS=1-396, augustus_masked-NODE_55_length_2195_cov_32.1954_ID_6113-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_55_length_2195_cov_32.1954_ID_6113-processed-gene-0.2&CDS=1-432, augustus_masked-NODE_57_length_1721_cov_39.1311_ID_6352-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-NODE_57_length_1721_cov_39.1311_ID_6352-processed-gene-0.3&CDS=1-432, augustus_masked-NODE_6_length_498455_cov_30.6401_ID_2085-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_6_length_498455_cov_30.6401_ID_2085-processed-gene-0.0&CDS=1-648, maker-NODE_19_length_214413_cov_45.2145_ID_5203-augustus-gene-1.11-mRNA-1_1&gene=maker-NODE_19_length_214413_cov_45.2145_ID_5203-augustus-gene-1.11&CDS=1-981
17	OG0000017	YDR541C, YGL039W, YGL157W, YOL151W	maker-NODE_3_length_727445_cov_28.2507_ID_3172-snap-gene-4.156-mRNA-1_1&gene=maker-NODE_3_length_727445_cov_28.2507_ID_3172-snap-gene-4.156&CDS=1-4608, snap_masked-NODE_3_length_727445_cov_28.2507_ID_3172-processed-gene-4.123-mRNA-1_1&gene=snap_masked-NODE_3_length_727445_cov_28.2507_ID_3172-processed-gene-4.123&CDS=1-993
18	OG0000018	YIL130W, YMR280C	maker-NODE_1_length_1437104_cov_31.7127_ID_3030-snap-gene-10.56-mRNA-1_1&gene=maker-NODE_1_length_1437104_cov_31.7127_ID_3030-snap-gene-10.56&CDS=1-2682, maker-NODE_4_length_684481_cov_27.1247_ID_2120-snap-gene-3.29-mRNA-1_1&gene=maker-NODE_4_length_684481_cov_27.1247_ID_2120-snap-gene-3.29&CDS=1-2568, maker-NODE_4_length_684481_cov_27.1247_ID_2120-snap-gene-4.68-mRNA-1_1&gene=maker-NODE_4_length_684481_cov_27.1247_ID_2120-snap-gene-4.68&CDS=1-3087, snap_masked-NODE_6_length_498455_cov_30.6401_ID_2085-processed-gene-3.342-mRNA-1_1&gene=snap_masked-NODE_6_length_498455_cov_30.6401_ID_2085-processed-gene-3.342&CDS=1-2997
19	OG0000019	YJR126C, YOR256C, YPL176C	augustus_masked-NODE_16_length_260129_cov_29.5363_ID_3859-processed-gene-1.143-mRNA-1_1&gene=augustus_masked-NODE_16_length_260129_cov_29.5363_ID_3859-processed-gene-1.143&CDS=1-2553, genemark-NODE_3_length_727445_cov_28.2507_ID_3172-processed-gene-5.154-mRNA-1_1&gene=genemark-NODE_3_length_727445_cov_28.2507_ID_3172-processed-gene-5.154&CDS=1-2268, snap_masked-NODE_2_length_864050_cov_27.7683_ID_3241-processed-gene-4.40-mRNA-1_1&gene=snap_masked-NODE_2_length_864050_cov_27.7683_ID_3241-processed-gene-4.40&CDS=1-2364
20	OG0000020	Q0105, Q0110, Q0115, Q0120	maker-NODE_37_length_43865_cov_678.383_ID_4868-snap-gene-0.27-mRNA-1_1&gene=maker-NODE_37_length_43865_cov_678.383_ID_4868-snap-gene-0.27&CDS=1-177, maker-NODE_37_length_43865_cov_678.383_ID_4868-snap-gene-0.35-mRNA-1_1&gene=maker-NODE_37_length_43865_cov_678.383_ID_4868-snap-gene-0.35&CDS=1-405
21	OG0000021	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W	
22	OG0000022	YBL017C, YIL173W, YJL222W, YNR065C	snap_masked-NODE_7_length_436440_cov_31.2914_ID_5749-processed-gene-0.146-mRNA-1_1&gene=snap_masked-NODE_7_length_436440_cov_31.2914_ID_5749-processed-gene-0.146&CDS=1-4614
23	OG0000023	YBR089C-A, YDL002C, YPR052C	maker-NODE_15_length_262765_cov_28.0125_ID_2801-snap-gene-0.18-mRNA-1_1&gene=maker-NODE_15_length_262765_cov_28.0125_ID_2801-snap-gene-0.18&CDS=1-309, maker-NODE_1_length_1437104_cov_31.7127_ID_3030-snap-gene-0.108-mRNA-1_1&gene=maker-NODE_1_length_1437104_cov_31.7127_ID_3030-snap-gene-0.108&CDS=1-855
24	OG0000024	YBR118W, YKR084C, YPR080W	genemark-NODE_4_length_684481_cov_27.1247_ID_2120-processed-gene-4.118-mRNA-1_1&gene=genemark-NODE_4_length_684481_cov_27.1247_ID_2120-processed-gene-4.118&CDS=1-1377, maker-NODE_26_length_118631_cov_26.6702_ID_3538-snap-gene-0.106-mRNA-1_1&gene=maker-NODE_26_length_118631_cov_26.6702_ID_3538-snap-gene-0.106&CDS=1-2211
25	OG0000025	YBR126C, YML100W, YMR261C	genemark-NODE_32_length_86570_cov_22.2133_ID_4131-processed-gene-0.117-mRNA-1_1&gene=genemark-NODE_32_length_86570_cov_22.2133_ID_4131-processed-gene-0.117&CDS=1-3207, maker-NODE_18_length_247454_cov_44.7282_ID_3590-snap-gene-0.97-mRNA-1_1&gene=maker-NODE_18_length_247454_cov_44.7282_ID_3590-snap-gene-0.97&CDS=1-1434
26	OG0000026	YBR160W, YKL139W	maker-NODE_26_length_118631_cov_26.6702_ID_3538-snap-gene-0.91-mRNA-1_1&gene=maker-NODE_26_length_118631_cov_26.6702_ID_3538-snap-gene-0.91&CDS=1-1245, maker-NODE_7_length_436440_cov_31.2914_ID_5749-snap-gene-3.258-mRNA-1_1&gene=maker-NODE_7_length_436440_cov_31.2914_ID_5749-snap-gene-3.258&CDS=1-960, snap_masked-NODE_6_length_498455_cov_30.6401_ID_2085-processed-gene-3.296-mRNA-1_1&gene=snap_masked-NODE_6_length_498455_cov_30.6401_ID_2085-processed-gene-3.296&CDS=1-2058
27	OG0000027	YBR182C, YMR043W, YPL089C	augustus_masked-NODE_20_length_193603_cov_27.0983_ID_9010-processed-gene-0.146-mRNA-1_1&gene=augustus_masked-NODE_20_length_193603_cov_27.0983_ID_9010-processed-gene-0.146&CDS=1-672, snap_masked-NODE_5_length_608631_cov_29.0002_ID_3793-processed-gene-1.13-mRNA-1_1&gene=snap_masked-NODE_5_length_608631_cov_29.0002_ID_3793-processed-gene-1.13&CDS=1-1923
28	OG0000028	YBR240C, YML099C	genemark-NODE_2_length_864050_cov_27.7683_ID_3241-processed-gene-7.213-mRNA-1_1&gene=genemark-NODE_2_length_864050_cov_27.7683_ID_3241-processed-gene-7.213&CDS=1-2148, maker-NODE_22_length_192448_cov_30.6168_ID_2871-snap-gene-0.133-mRNA-1_1&gene=maker-NODE_22_length_192448_cov_30.6168_ID_2871-snap-gene-0.133&CDS=1-813, maker-NODE_22_length_192448_cov_30.6168_ID_2871-snap-gene-0.134-mRNA-1_1&gene=maker-NODE_22_length_192448_cov_30.6168_ID_2871-snap-gene-0.134&CDS=1-2412
29	OG0000029	YBR297W, YFL052W, YGR288W, YPR196W	augustus_masked-NODE_13_length_312200_cov_40.1463_ID_9646-processed-gene-1.70-mRNA-1_1&gene=augustus_masked-NODE_13_length_312200_cov_40.1463_ID_9646-processed-gene-1.70&CDS=1-861
30	OG0000030	YCR065W, YIL131C, YNL068C	maker-NODE_4_length_684481_cov_27.1247_ID_2120-snap-gene-4.57-mRNA-1_1&gene=maker-NODE_4_length_684481_cov_27.1247_ID_2120-snap-gene-4.57&CDS=1-2307, snap_masked-NODE_6_length_498455_cov_30.6401_ID_2085-processed-gene-3.326-mRNA-1_1&gene=snap_masked-NODE_6_length_498455_cov_30.6401_ID_2085-processed-gene-3.326&CDS=1-1926
31	OG0000031	YDL170W	augustus_masked-NODE_11_length_343405_cov_38.0855_ID_2620-processed-gene-0.31-mRNA-1_1&gene=augustus_masked-NODE_11_length_343405_cov_38.0855_ID_2620-processed-gene-0.31&CDS=1-1107, maker-NODE_18_length_247454_cov_44.7282_ID_3590-augustus-gene-0.7-mRNA-1_1&gene=maker-NODE_18_length_247454_cov_44.7282_ID_3590-augustus-gene-0.7&CDS=1-1683, snap_masked-NODE_1_length_1437104_cov_31.7127_ID_3030-processed-gene-6.128-mRNA-1_1&gene=snap_masked-NODE_1_length_1437104_cov_31.7127_ID_3030-processed-gene-6.128&CDS=1-2418, snap_masked-NODE_36_length_43906_cov_32.2194_ID_4799-processed-gene-0.44-mRNA-1_1&gene=snap_masked-NODE_36_length_43906_cov_32.2194_ID_4799-processed-gene-0.44&CDS=1-2898
32	OG0000032	YDR021W, YJL138C, YKR059W	maker-NODE_6_length_498455_cov_30.6401_ID_2085-snap-gene-0.112-mRNA-1_1&gene=maker-NODE_6_length_498455_cov_30.6401_ID_2085-snap-gene-0.112&CDS=1-1182, snap_masked-NODE_2_length_864050_cov_27.7683_ID_3241-processed-gene-5.137-mRNA-1_1&gene=snap_masked-NODE_2_length_864050_cov_27.7683_ID_3241-processed-gene-5.137&CDS=1-1188
33	OG0000033	YDR242W	maker-NODE_6_length_498455_cov_30.6401_ID_2085-snap-gene-2.74-mRNA-1_1&gene=maker-NODE_6_length_498455_cov_30.6401_ID_2085-snap-gene-2.74&CDS=1-1605, snap_masked-NODE_17_length_250191_cov_28.841_ID_2582-processed-gene-1.256-mRNA-1_1&gene=snap_masked-NODE_17_length_250191_cov_28.841_ID_2582-processed-gene-1.256&CDS=1-1605, snap_masked-NODE_24_length_163241_cov_27.3507_ID_3210-processed-gene-0.161-mRNA-1_1&gene=snap_masked-NODE_24_length_163241_cov_27.3507_ID_3210-processed-gene-0.161&CDS=1-1635, snap_masked-NODE_4_length_684481_cov_27.1247_ID_2120-processed-gene-5.234-mRNA-1_1&gene=snap_masked-NODE_4_length_684481_cov_27.1247_ID_2120-processed-gene-5.234&CDS=1-1677
34	OG0000034	YDR247W, YHR082C, YPL026C	snap_masked-NODE_2_length_864050_cov_27.7683_ID_3241-processed-gene-0.55-mRNA-1_1&gene=snap_masked-NODE_2_length_864050_cov_27.7683_ID_3241-processed-gene-0.55&CDS=1-1857, snap_masked-NODE_2_length_864050_cov_27.7683_ID_3241-processed-gene-6.19-mRNA-1_1&gene=snap_masked-NODE_2_length_864050_cov_27.7683_ID_3241-processed-gene-6.19&CDS=1-1467
35	OG0000035	YDR533C, YMR322C, YOR391C, YPL280W	snap_masked-NODE_5_length_608631_cov_29.0002_ID_3793-processed-gene-1.21-mRNA-1_1&gene=snap_masked-NODE_5_length_608631_cov_29.0002_ID_3793-processed-gene-1.21&CDS=1-681
36	OG0000036	YEL007W, YHR177W	snap_masked-NODE_1_length_1437104_cov_31.7127_ID_3030-processed-gene-0.79-mRNA-1_1&gene=snap_masked-NODE_1_length_1437104_cov_31.7127_ID_3030-processed-gene-0.79&CDS=1-2184, snap_masked-NODE_1_length_1437104_cov_31.7127_ID_3030-processed-gene-0.85-mRNA-1_1&gene=snap_masked-NODE_1_length_1437104_cov_31.7127_ID_3030-processed-gene-0.85&CDS=1-2184, snap_masked-NODE_1_length_1437104_cov_31.7127_ID_3030-processed-gene-1.83-mRNA-1_1&gene=snap_masked-NODE_1_length_1437104_cov_31.7127_ID_3030-processed-gene-1.83&CDS=1-1503
37	OG0000037	YER056C, YER060W, YER060W-A	genemark-NODE_28_length_100973_cov_49.3373_ID_4614-processed-gene-0.112-mRNA-1_1&gene=genemark-NODE_28_length_100973_cov_49.3373_ID_4614-processed-gene-0.112&CDS=1-1518, snap_masked-NODE_2_length_864050_cov_27.7683_ID_3241-processed-gene-0.93-mRNA-1_1&gene=snap_masked-NODE_2_length_864050_cov_27.7683_ID_3241-processed-gene-0.93&CDS=1-1554
38	OG0000038	YFR014C, YJL095W, YOL016C	maker-NODE_2_length_864050_cov_27.7683_ID_3241-snap-gene-2.143-mRNA-1_1&gene=maker-NODE_2_length_864050_cov_27.7683_ID_3241-snap-gene-2.143&CDS=1-6213, snap_masked-NODE_10_length_377915_cov_28.3732_ID_8830-processed-gene-2.284-mRNA-1_1&gene=snap_masked-NODE_10_length_377915_cov_28.3732_ID_8830-processed-gene-2.284&CDS=1-1371
