	OrthologID	Saccharomyces_cerevisiae	yHMPu5000034597_Candida_stellimalicola
11	OG0000011	YAR019C, YDR523C, YHR102W	augustus_masked-flattened_line_4-processed-gene-3.248-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-3.248&CDS=1-3186, augustus_masked-flattened_line_6-processed-gene-2.228-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-2.228&CDS=1-1425, augustus_masked-flattened_line_66-processed-gene-0.142-mRNA-1_1&gene=augustus_masked-flattened_line_66-processed-gene-0.142&CDS=1-1533, augustus_masked-flattened_line_82-processed-gene-0.34-mRNA-1_1&gene=augustus_masked-flattened_line_82-processed-gene-0.34&CDS=1-2760
12	OG0000012	YBL030C, YBR085W, YBR150C, YMR056C, YOL089C	maker-flattened_line_18-augustus-gene-1.170-mRNA-1_1&gene=maker-flattened_line_18-augustus-gene-1.170&CDS=1-3894, snap_masked-flattened_line_34-processed-gene-1.113-mRNA-1_1&gene=snap_masked-flattened_line_34-processed-gene-1.113&CDS=1-2649
13	OG0000013	YBR297W, YFL052W, YGR288W, YPR196W	augustus_masked-flattened_line_12-processed-gene-2.117-mRNA-1_1&gene=augustus_masked-flattened_line_12-processed-gene-2.117&CDS=1-1086, augustus_masked-flattened_line_40-processed-gene-0.218-mRNA-1_1&gene=augustus_masked-flattened_line_40-processed-gene-0.218&CDS=1-579, maker-flattened_line_18-augustus-gene-1.171-mRNA-1_1&gene=maker-flattened_line_18-augustus-gene-1.171&CDS=1-510
14	OG0000014	YCL024W, YDR477W, YDR507C, YKL101W	augustus_masked-flattened_line_20-processed-gene-1.195-mRNA-1_1&gene=augustus_masked-flattened_line_20-processed-gene-1.195&CDS=1-1800, augustus_masked-flattened_line_70-processed-gene-0.66-mRNA-1_1&gene=augustus_masked-flattened_line_70-processed-gene-0.66&CDS=1-3249, augustus_masked-flattened_line_98-processed-gene-0.68-mRNA-1_1&gene=augustus_masked-flattened_line_98-processed-gene-0.68&CDS=1-3198
15	OG0000015	YCL073C, YEL065W, YHL040C, YHL047C, YKR106W, YOL158C	augustus_masked-flattened_line_74-processed-gene-0.44-mRNA-1_1&gene=augustus_masked-flattened_line_74-processed-gene-0.44&CDS=1-1926
16	OG0000016	YDL037C, YIR019C	augustus_masked-flattened_line_96-processed-gene-0.53-mRNA-1_1&gene=augustus_masked-flattened_line_96-processed-gene-0.53&CDS=1-516, genemark-flattened_line_225-processed-gene-0.1-mRNA-1_1&gene=genemark-flattened_line_225-processed-gene-0.1&CDS=1-627, maker-flattened_line_177-augustus-gene-0.4-mRNA-1_1&gene=maker-flattened_line_177-augustus-gene-0.4&CDS=1-1773, snap_masked-flattened_line_199-processed-gene-0.2-mRNA-1_1&gene=snap_masked-flattened_line_199-processed-gene-0.2&CDS=1-738, snap_masked-flattened_line_245-processed-gene-0.0-mRNA-1_1&gene=snap_masked-flattened_line_245-processed-gene-0.0&CDS=1-375
17	OG0000017	YDR342C, YDR343C, YHR092C, YNL318C	augustus_masked-flattened_line_44-processed-gene-0.229-mRNA-1_1&gene=augustus_masked-flattened_line_44-processed-gene-0.229&CDS=1-1527, augustus_masked-flattened_line_46-processed-gene-0.261-mRNA-1_1&gene=augustus_masked-flattened_line_46-processed-gene-0.261&CDS=1-1659, augustus_masked-flattened_line_50-processed-gene-0.111-mRNA-1_1&gene=augustus_masked-flattened_line_50-processed-gene-0.111&CDS=1-1554
18	OG0000018	YEL063C, YNL268W, YPL265W	augustus_masked-flattened_line_16-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-0.0&CDS=1-1680, augustus_masked-flattened_line_82-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-flattened_line_82-processed-gene-0.10&CDS=1-1707, augustus_masked-flattened_line_82-processed-gene-0.30-mRNA-1_1&gene=augustus_masked-flattened_line_82-processed-gene-0.30&CDS=1-1698, augustus_masked-flattened_line_86-processed-gene-0.39-mRNA-1_1&gene=augustus_masked-flattened_line_86-processed-gene-0.39&CDS=1-1563
19	OG0000019	YKL071W	augustus_masked-flattened_line_28-processed-gene-0.112-mRNA-1_1&gene=augustus_masked-flattened_line_28-processed-gene-0.112&CDS=1-762, augustus_masked-flattened_line_42-processed-gene-0.137-mRNA-1_1&gene=augustus_masked-flattened_line_42-processed-gene-0.137&CDS=1-378, genemark-flattened_line_42-processed-gene-0.39-mRNA-1_1&gene=genemark-flattened_line_42-processed-gene-0.39&CDS=1-762, genemark-flattened_line_42-processed-gene-0.85-mRNA-1_1&gene=genemark-flattened_line_42-processed-gene-0.85&CDS=1-756, maker-flattened_line_28-snap-gene-0.133-mRNA-1_1&gene=maker-flattened_line_28-snap-gene-0.133&CDS=1-1488, maker-flattened_line_42-snap-gene-0.9-mRNA-1_1&gene=maker-flattened_line_42-snap-gene-0.9&CDS=1-1764
20	OG0000020	YAL005C, YDL229W, YLL024C, YNL209W	augustus_masked-flattened_line_58-processed-gene-0.129-mRNA-1_1&gene=augustus_masked-flattened_line_58-processed-gene-0.129&CDS=1-1839, maker-flattened_line_48-snap-gene-0.274-mRNA-1_1&gene=maker-flattened_line_48-snap-gene-0.274&CDS=1-2700
21	OG0000021	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W	augustus_masked-flattened_line_20-processed-gene-1.161-mRNA-1_1&gene=augustus_masked-flattened_line_20-processed-gene-1.161&CDS=1-1344
22	OG0000022	YBL017C, YIL173W, YJL222W, YNR065C	augustus_masked-flattened_line_28-processed-gene-0.98-mRNA-1_1&gene=augustus_masked-flattened_line_28-processed-gene-0.98&CDS=1-4533, augustus_masked-flattened_line_40-processed-gene-0.204-mRNA-1_1&gene=augustus_masked-flattened_line_40-processed-gene-0.204&CDS=1-4569
23	OG0000023	YBR021W, YIR028W	augustus_masked-flattened_line_12-processed-gene-2.126-mRNA-1_1&gene=augustus_masked-flattened_line_12-processed-gene-2.126&CDS=1-789, augustus_masked-flattened_line_16-processed-gene-1.165-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-1.165&CDS=1-1779, augustus_masked-flattened_line_205-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_205-processed-gene-0.0&CDS=1-867, augustus_masked-flattened_line_92-processed-gene-0.97-mRNA-1_1&gene=augustus_masked-flattened_line_92-processed-gene-0.97&CDS=1-783
24	OG0000024	YBR067C, YER011W, YIL011W, YOR010C	augustus_masked-flattened_line_10-processed-gene-0.48-mRNA-1_1&gene=augustus_masked-flattened_line_10-processed-gene-0.48&CDS=1-633, genemark-flattened_line_58-processed-gene-0.219-mRNA-1_1&gene=genemark-flattened_line_58-processed-gene-0.219&CDS=1-687
25	OG0000025	YCL069W, YGR224W, YKR105C, YPR198W	augustus_masked-flattened_line_106-processed-gene-0.27-mRNA-1_1&gene=augustus_masked-flattened_line_106-processed-gene-0.27&CDS=1-1740, augustus_masked-flattened_line_94-processed-gene-0.58-mRNA-1_1&gene=augustus_masked-flattened_line_94-processed-gene-0.58&CDS=1-1791
26	OG0000026	YDL025C, YNL183C, YOR267C	augustus_masked-flattened_line_10-processed-gene-1.140-mRNA-1_1&gene=augustus_masked-flattened_line_10-processed-gene-1.140&CDS=1-1767, augustus_masked-flattened_line_44-processed-gene-0.239-mRNA-1_1&gene=augustus_masked-flattened_line_44-processed-gene-0.239&CDS=1-1656, augustus_masked-flattened_line_68-processed-gene-0.109-mRNA-1_1&gene=augustus_masked-flattened_line_68-processed-gene-0.109&CDS=1-2124
27	OG0000027	YDL084W, YER056C, YER060W, YER060W-A	augustus_masked-flattened_line_6-processed-gene-2.219-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-2.219&CDS=1-1560, maker-flattened_line_22-augustus-gene-1.182-mRNA-1_1&gene=maker-flattened_line_22-augustus-gene-1.182&CDS=1-2787
28	OG0000028	YDL225W, YDR218C, YJR076C	augustus_masked-flattened_line_108-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-flattened_line_108-processed-gene-0.2&CDS=1-1167, augustus_masked-flattened_line_4-processed-gene-0.119-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-0.119&CDS=1-966, augustus_masked-flattened_line_8-processed-gene-2.138-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-2.138&CDS=1-1488
29	OG0000029	YDR463W, YHR006W, YLR375W	augustus_masked-flattened_line_56-processed-gene-0.64-mRNA-1_1&gene=augustus_masked-flattened_line_56-processed-gene-0.64&CDS=1-642, augustus_masked-flattened_line_6-processed-gene-0.113-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-0.113&CDS=1-1398, genemark-flattened_line_18-processed-gene-0.49-mRNA-1_1&gene=genemark-flattened_line_18-processed-gene-0.49&CDS=1-564
30	OG0000030	YGL257C, YNR059W	augustus_masked-flattened_line_16-processed-gene-1.211-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-1.211&CDS=1-2226, augustus_masked-flattened_line_50-processed-gene-0.90-mRNA-1_1&gene=augustus_masked-flattened_line_50-processed-gene-0.90&CDS=1-2013, augustus_masked-flattened_line_66-processed-gene-0.92-mRNA-1_1&gene=augustus_masked-flattened_line_66-processed-gene-0.92&CDS=1-2328, snap_masked-flattened_line_6-processed-gene-2.270-mRNA-1_1&gene=snap_masked-flattened_line_6-processed-gene-2.270&CDS=1-1935
31	OG0000031	YGR249W, YHR206W, YOR140W	augustus_masked-flattened_line_106-processed-gene-0.42-mRNA-1_1&gene=augustus_masked-flattened_line_106-processed-gene-0.42&CDS=1-1866, augustus_masked-flattened_line_14-processed-gene-2.28-mRNA-1_1&gene=augustus_masked-flattened_line_14-processed-gene-2.28&CDS=1-1395, augustus_masked-flattened_line_8-processed-gene-1.17-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-1.17&CDS=1-1446
32	OG0000032	YHR050W, YLR034C, YOL122C	augustus_masked-flattened_line_12-processed-gene-2.100-mRNA-1_1&gene=augustus_masked-flattened_line_12-processed-gene-2.100&CDS=1-1581, augustus_masked-flattened_line_20-processed-gene-1.206-mRNA-1_1&gene=augustus_masked-flattened_line_20-processed-gene-1.206&CDS=1-1644, augustus_masked-flattened_line_70-processed-gene-0.74-mRNA-1_1&gene=augustus_masked-flattened_line_70-processed-gene-0.74&CDS=1-1512
33	OG0000033	YJL172W, YOL153C	augustus_masked-flattened_line_14-processed-gene-2.33-mRNA-1_1&gene=augustus_masked-flattened_line_14-processed-gene-2.33&CDS=1-1614, augustus_masked-flattened_line_44-processed-gene-0.201-mRNA-1_1&gene=augustus_masked-flattened_line_44-processed-gene-0.201&CDS=1-1704, augustus_masked-flattened_line_52-processed-gene-0.146-mRNA-1_1&gene=augustus_masked-flattened_line_52-processed-gene-0.146&CDS=1-1731, augustus_masked-flattened_line_6-processed-gene-2.159-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-2.159&CDS=1-1740
34	OG0000034	YLR237W, YOR071C, YOR192C	augustus_masked-flattened_line_16-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-0.23&CDS=1-1629, augustus_masked-flattened_line_24-processed-gene-0.74-mRNA-1_1&gene=augustus_masked-flattened_line_24-processed-gene-0.74&CDS=1-1755, augustus_masked-flattened_line_8-processed-gene-1.26-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-1.26&CDS=1-1641
35	OG0000035	YOL119C, YOR306C	augustus_masked-flattened_line_26-processed-gene-0.78-mRNA-1_1&gene=augustus_masked-flattened_line_26-processed-gene-0.78&CDS=1-1443, augustus_masked-flattened_line_52-processed-gene-0.110-mRNA-1_1&gene=augustus_masked-flattened_line_52-processed-gene-0.110&CDS=1-1452, augustus_masked-flattened_line_6-processed-gene-2.141-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-2.141&CDS=1-1461, augustus_masked-flattened_line_6-processed-gene-2.142-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-2.142&CDS=1-1509
36	OG0000036	YBL063W, YEL061C, YEL062W	augustus_masked-flattened_line_14-processed-gene-2.7-mRNA-1_1&gene=augustus_masked-flattened_line_14-processed-gene-2.7&CDS=1-3177, maker-flattened_line_8-augustus-gene-0.152-mRNA-1_1&gene=maker-flattened_line_8-augustus-gene-0.152&CDS=1-4281
37	OG0000037	YBR015C	augustus_masked-flattened_line_24-processed-gene-1.125-mRNA-1_1&gene=augustus_masked-flattened_line_24-processed-gene-1.125&CDS=1-1863, augustus_masked-flattened_line_32-processed-gene-1.128-mRNA-1_1&gene=augustus_masked-flattened_line_32-processed-gene-1.128&CDS=1-1614, augustus_masked-flattened_line_4-processed-gene-2.97-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-2.97&CDS=1-1707, augustus_masked-flattened_line_40-processed-gene-0.196-mRNA-1_1&gene=augustus_masked-flattened_line_40-processed-gene-0.196&CDS=1-1545
38	OG0000038	YBR248C, YBR249C, YDR035W	maker-flattened_line_30-augustus-gene-1.157-mRNA-1_1&gene=maker-flattened_line_30-augustus-gene-1.157&CDS=1-3378, maker-flattened_line_52-snap-gene-0.245-mRNA-1_1&gene=maker-flattened_line_52-snap-gene-0.245&CDS=1-2703
39	OG0000039	YCR037C, YJL198W, YNR013C	augustus_masked-flattened_line_0-processed-gene-1.121-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-1.121&CDS=1-2763, augustus_masked-flattened_line_4-processed-gene-2.102-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-2.102&CDS=1-2496
40	OG0000040	YCR102C, YLR460C, YNL134C	augustus_masked-flattened_line_18-processed-gene-1.26-mRNA-1_1&gene=augustus_masked-flattened_line_18-processed-gene-1.26&CDS=1-1113, augustus_masked-flattened_line_66-processed-gene-0.78-mRNA-1_1&gene=augustus_masked-flattened_line_66-processed-gene-0.78&CDS=1-1095
41	OG0000041	YDL174C	augustus_masked-flattened_line_30-processed-gene-0.75-mRNA-1_1&gene=augustus_masked-flattened_line_30-processed-gene-0.75&CDS=1-1668, augustus_masked-flattened_line_52-processed-gene-0.137-mRNA-1_1&gene=augustus_masked-flattened_line_52-processed-gene-0.137&CDS=1-1683, augustus_masked-flattened_line_62-processed-gene-0.197-mRNA-1_1&gene=augustus_masked-flattened_line_62-processed-gene-0.197&CDS=1-1665, augustus_masked-flattened_line_82-processed-gene-0.48-mRNA-1_1&gene=augustus_masked-flattened_line_82-processed-gene-0.48&CDS=1-1650
42	OG0000042	YDR216W, YJR127C, YML081W	augustus_masked-flattened_line_42-processed-gene-0.131-mRNA-1_1&gene=augustus_masked-flattened_line_42-processed-gene-0.131&CDS=1-3480, genemark-flattened_line_4-processed-gene-0.95-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-0.95&CDS=1-2748
43	OG0000043	YDR338C	augustus_masked-flattened_line_16-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-0.4&CDS=1-1452, augustus_masked-flattened_line_18-processed-gene-0.39-mRNA-1_1&gene=augustus_masked-flattened_line_18-processed-gene-0.39&CDS=1-1602, augustus_masked-flattened_line_36-processed-gene-0.107-mRNA-1_1&gene=augustus_masked-flattened_line_36-processed-gene-0.107&CDS=1-1494, augustus_masked-flattened_line_44-processed-gene-0.264-mRNA-1_1&gene=augustus_masked-flattened_line_44-processed-gene-0.264&CDS=1-1338
44	OG0000044	YDR380W, YLR044C	augustus_masked-flattened_line_0-processed-gene-4.40-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-4.40&CDS=1-1779, augustus_masked-flattened_line_16-processed-gene-1.212-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-1.212&CDS=1-1692, augustus_masked-flattened_line_56-processed-gene-0.45-mRNA-1_1&gene=augustus_masked-flattened_line_56-processed-gene-0.45&CDS=1-1722
45	OG0000045	YDR385W, YKL173W, YOR133W	augustus_masked-flattened_line_22-processed-gene-1.143-mRNA-1_1&gene=augustus_masked-flattened_line_22-processed-gene-1.143&CDS=1-2910, augustus_masked-flattened_line_58-processed-gene-0.113-mRNA-1_1&gene=augustus_masked-flattened_line_58-processed-gene-0.113&CDS=1-2526
46	OG0000046	YDR475C, YGR237C, YOR019W	augustus_masked-flattened_line_20-processed-gene-1.176-mRNA-1_1&gene=augustus_masked-flattened_line_20-processed-gene-1.176&CDS=1-1989, augustus_masked-flattened_line_48-processed-gene-0.160-mRNA-1_1&gene=augustus_masked-flattened_line_48-processed-gene-0.160&CDS=1-2073
47	OG0000047	YER133W, YML016C	augustus_masked-flattened_line_12-processed-gene-2.109-mRNA-1_1&gene=augustus_masked-flattened_line_12-processed-gene-2.109&CDS=1-1560, augustus_masked-flattened_line_36-processed-gene-0.110-mRNA-1_1&gene=augustus_masked-flattened_line_36-processed-gene-0.110&CDS=1-1656, maker-flattened_line_30-snap-gene-1.243-mRNA-1_1&gene=maker-flattened_line_30-snap-gene-1.243&CDS=1-1221
