	OrthologID	Saccharomyces_cerevisiae	yHMPu5000034631_Martiniozyma_abiesophila
10	OG0000010	YDR342C, YDR343C, YDR345C, YHR092C, YHR094C, YHR096C	snap_masked-NODE_368_length_6675_cov_11.2241_ID_357653-processed-gene-0.5-mRNA-1_1&gene=snap_masked-NODE_368_length_6675_cov_11.2241_ID_357653-processed-gene-0.5&CDS=1-1596
11	OG0000011	YOR049C	augustus_masked-NODE_2298_length_1386_cov_12.3094_ID_360911-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_2298_length_1386_cov_12.3094_ID_360911-processed-gene-0.1&CDS=1-1209, augustus_masked-NODE_3864_length_895_cov_6.4697_ID_304486-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_3864_length_895_cov_6.4697_ID_304486-processed-gene-0.1&CDS=1-285, augustus_masked-NODE_648_length_4895_cov_6.58681_ID_40294-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-NODE_648_length_4895_cov_6.58681_ID_40294-processed-gene-0.12&CDS=1-1842, maker-NODE_670_length_4741_cov_6.5373_ID_340845-augustus-gene-0.9-mRNA-1_1&gene=maker-NODE_670_length_4741_cov_6.5373_ID_340845-augustus-gene-0.9&CDS=1-2007, maker-NODE_99_length_12096_cov_7.20679_ID_37511-augustus-gene-0.15-mRNA-1_1&gene=maker-NODE_99_length_12096_cov_7.20679_ID_37511-augustus-gene-0.15&CDS=1-1389, snap_masked-NODE_343_length_6969_cov_10.2199_ID_130594-processed-gene-0.1-mRNA-1_1&gene=snap_masked-NODE_343_length_6969_cov_10.2199_ID_130594-processed-gene-0.1&CDS=1-2496
12	OG0000012	Q0105, Q0110, Q0115, Q0120	genemark-NODE_9_length_33689_cov_329.472_ID_367333-processed-gene-0.64-mRNA-1_1&gene=genemark-NODE_9_length_33689_cov_329.472_ID_367333-processed-gene-0.64&CDS=1-738, maker-NODE_9_length_33689_cov_329.472_ID_367333-snap-gene-0.80-mRNA-1_1&gene=maker-NODE_9_length_33689_cov_329.472_ID_367333-snap-gene-0.80&CDS=1-231, maker-NODE_9_length_33689_cov_329.472_ID_367333-snap-gene-0.87-mRNA-1_1&gene=maker-NODE_9_length_33689_cov_329.472_ID_367333-snap-gene-0.87&CDS=1-369
13	OG0000013		augustus_masked-NODE_10487_length_424_cov_8.08411_ID_365373-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_10487_length_424_cov_8.08411_ID_365373-processed-gene-0.1&CDS=1-363, augustus_masked-NODE_10914_length_363_cov_4.4_ID_364349-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_10914_length_363_cov_4.4_ID_364349-processed-gene-0.0&CDS=1-312, augustus_masked-NODE_11103_length_277_cov_4.68391_ID_364351-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_11103_length_277_cov_4.68391_ID_364351-processed-gene-0.2&CDS=1-225, augustus_masked-NODE_11136_length_266_cov_8.2454_ID_364353-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_11136_length_266_cov_8.2454_ID_364353-processed-gene-0.0&CDS=1-237, augustus_masked-NODE_1700_length_1817_cov_6.07468_ID_69295-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_1700_length_1817_cov_6.07468_ID_69295-processed-gene-0.2&CDS=1-249, snap_masked-NODE_1058_length_3028_cov_9.13744_ID_343287-processed-gene-0.1-mRNA-1_1&gene=snap_masked-NODE_1058_length_3028_cov_9.13744_ID_343287-processed-gene-0.1&CDS=1-1374, snap_masked-NODE_5549_length_676_cov_10.9232_ID_356239-processed-gene-0.2-mRNA-1_1&gene=snap_masked-NODE_5549_length_676_cov_10.9232_ID_356239-processed-gene-0.2&CDS=1-615
14	OG0000014		augustus_masked-NODE_11498_length_171_cov_3.01471_ID_364081-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_11498_length_171_cov_3.01471_ID_364081-processed-gene-0.0&CDS=1-138, augustus_masked-NODE_2088_length_1507_cov_8.57479_ID_127680-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_2088_length_1507_cov_8.57479_ID_127680-processed-gene-0.1&CDS=1-780, augustus_masked-NODE_562_length_5398_cov_9.98093_ID_101943-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-NODE_562_length_5398_cov_9.98093_ID_101943-processed-gene-0.4&CDS=1-2814, augustus_masked-NODE_6579_length_599_cov_12.5867_ID_360537-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_6579_length_599_cov_12.5867_ID_360537-processed-gene-0.2&CDS=1-597, augustus_masked-NODE_701_length_4579_cov_10.1937_ID_225412-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-NODE_701_length_4579_cov_10.1937_ID_225412-processed-gene-0.11&CDS=1-2157, genemark-NODE_373_length_6633_cov_11.2712_ID_354733-processed-gene-0.11-mRNA-1_1&gene=genemark-NODE_373_length_6633_cov_11.2712_ID_354733-processed-gene-0.11&CDS=1-2838, snap_masked-NODE_601_length_5155_cov_8.75891_ID_113179-processed-gene-0.3-mRNA-1_1&gene=snap_masked-NODE_601_length_5155_cov_8.75891_ID_113179-processed-gene-0.3&CDS=1-2355
15	OG0000015	YAL018C, YOL048C	augustus_masked-NODE_2268_length_1401_cov_6.84669_ID_84214-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_2268_length_1401_cov_6.84669_ID_84214-processed-gene-0.0&CDS=1-438, augustus_masked-NODE_2279_length_1394_cov_8.20991_ID_84466-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_2279_length_1394_cov_8.20991_ID_84466-processed-gene-0.2&CDS=1-438, genemark-NODE_655_length_4874_cov_8.05261_ID_57399-processed-gene-0.1-mRNA-1_1&gene=genemark-NODE_655_length_4874_cov_8.05261_ID_57399-processed-gene-0.1&CDS=1-888, snap_masked-NODE_296_length_7545_cov_7.27855_ID_67453-processed-gene-0.7-mRNA-1_1&gene=snap_masked-NODE_296_length_7545_cov_7.27855_ID_67453-processed-gene-0.7&CDS=1-246
16	OG0000016	YAL063C, YAL064C-A, YAR050W, YHR211W, YHR213W, YKR102W	
17	OG0000017	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W	genemark-NODE_2_length_224106_cov_13.115_ID_338572-processed-gene-0.31-mRNA-1_1&gene=genemark-NODE_2_length_224106_cov_13.115_ID_338572-processed-gene-0.31&CDS=1-1548
18	OG0000018	YBR067C, YER011W, YIL011W, YOR009W, YOR010C	genemark-NODE_222_length_8687_cov_11.7521_ID_247647-processed-gene-0.1-mRNA-1_1&gene=genemark-NODE_222_length_8687_cov_11.7521_ID_247647-processed-gene-0.1&CDS=1-552
19	OG0000019	YBR150C, YOL089C	augustus_masked-NODE_482_length_5925_cov_11.5074_ID_120351-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-NODE_482_length_5925_cov_11.5074_ID_120351-processed-gene-0.6&CDS=1-480, augustus_masked-NODE_7845_length_528_cov_4.36706_ID_367357-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_7845_length_528_cov_4.36706_ID_367357-processed-gene-0.0&CDS=1-525, augustus_masked-NODE_7854_length_528_cov_6.72706_ID_367359-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_7854_length_528_cov_6.72706_ID_367359-processed-gene-0.0&CDS=1-525, snap_masked-NODE_3007_length_1085_cov_15.4206_ID_354773-processed-gene-0.1-mRNA-1_1&gene=snap_masked-NODE_3007_length_1085_cov_15.4206_ID_354773-processed-gene-0.1&CDS=1-1038
20	OG0000020	YBR215W	augustus_masked-NODE_2432_length_1317_cov_8.77018_ID_89489-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_2432_length_1317_cov_8.77018_ID_89489-processed-gene-0.1&CDS=1-1065, augustus_masked-NODE_2455_length_1304_cov_7.77852_ID_90285-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-NODE_2455_length_1304_cov_7.77852_ID_90285-processed-gene-0.3&CDS=1-501, augustus_masked-NODE_3619_length_943_cov_6.90833_ID_124664-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_3619_length_943_cov_6.90833_ID_124664-processed-gene-0.1&CDS=1-348, augustus_masked-NODE_3621_length_943_cov_6.74405_ID_124724-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_3621_length_943_cov_6.74405_ID_124724-processed-gene-0.1&CDS=1-348, augustus_masked-NODE_4280_length_826_cov_12.9737_ID_358571-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_4280_length_826_cov_12.9737_ID_358571-processed-gene-0.0&CDS=1-825
