	OrthologID	Saccharomyces_cerevisiae	Spathaspora_passalidarum
10	OG0000010	YDR207C	augustus_masked-scaffold_1-processed-gene-11.80-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-11.80&CDS=1-567, augustus_masked-scaffold_4-processed-gene-11.68-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-11.68&CDS=1-723, augustus_masked-scaffold_5-processed-gene-5.5-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-5.5&CDS=1-1335, maker-scaffold_4-augustus-gene-7.0-mRNA-1_1&gene=maker-scaffold_4-augustus-gene-7.0&CDS=1-309, maker-scaffold_6-augustus-gene-4.45-mRNA-1_1&gene=maker-scaffold_6-augustus-gene-4.45&CDS=1-1305, snap_masked-scaffold_6-processed-gene-5.52-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-5.52&CDS=1-1545
11	OG0000011	YGL257C, YNR059W	augustus_masked-scaffold_1-processed-gene-25.55-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-25.55&CDS=1-1923, augustus_masked-scaffold_1-processed-gene-9.12-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-9.12&CDS=1-2160, augustus_masked-scaffold_4-processed-gene-11.56-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-11.56&CDS=1-2343, augustus_masked-scaffold_4-processed-gene-7.85-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-7.85&CDS=1-3975, augustus_masked-scaffold_5-processed-gene-1.23-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-1.23&CDS=1-2100
12	OG0000012	YLR256W	augustus_masked-scaffold_4-processed-gene-4.83-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-4.83&CDS=1-3303, augustus_masked-scaffold_5-processed-gene-11.72-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-11.72&CDS=1-6606, augustus_masked-scaffold_5-processed-gene-15.219-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-15.219&CDS=1-2385, augustus_masked-scaffold_8-processed-gene-0.102-mRNA-1_1&gene=augustus_masked-scaffold_8-processed-gene-0.102&CDS=1-5760, maker-scaffold_2-snap-gene-11.2-mRNA-1_1&gene=maker-scaffold_2-snap-gene-11.2&CDS=1-2805, maker-scaffold_4-snap-gene-4.102-mRNA-1_1&gene=maker-scaffold_4-snap-gene-4.102&CDS=1-3081
13	OG0000013	YOR153W	augustus_masked-scaffold_1-processed-gene-18.140-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-18.140&CDS=1-4398, augustus_masked-scaffold_1-processed-gene-6.11-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-6.11&CDS=1-4500, augustus_masked-scaffold_3-processed-gene-18.64-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-18.64&CDS=1-4488, augustus_masked-scaffold_4-processed-gene-4.55-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-4.55&CDS=1-4470, augustus_masked-scaffold_5-processed-gene-5.0-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-5.0&CDS=1-4455, maker-scaffold_5-snap-gene-3.118-mRNA-1_1&gene=maker-scaffold_5-snap-gene-3.118&CDS=1-4617
14	OG0000014		augustus_masked-scaffold_1-processed-gene-12.2-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-12.2&CDS=1-2091, augustus_masked-scaffold_1-processed-gene-19.30-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-19.30&CDS=1-8256, augustus_masked-scaffold_1-processed-gene-22.112-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-22.112&CDS=1-2139, augustus_masked-scaffold_1-processed-gene-24.106-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-24.106&CDS=1-2199, maker-scaffold_1-snap-gene-18.103-mRNA-1_1&gene=maker-scaffold_1-snap-gene-18.103&CDS=1-11097, snap_masked-scaffold_1-processed-gene-19.81-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-19.81&CDS=1-2010, snap_masked-scaffold_3-processed-gene-14.60-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-14.60&CDS=1-1902
15	OG0000015	YBR067C, YDR542W, YER011W, YIL011W, YOR010C	augustus_masked-scaffold_2-processed-gene-12.63-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-12.63&CDS=1-615
16	OG0000016	YBR297W, YFL052W, YGR288W, YPR196W	maker-scaffold_2-augustus-gene-8.90-mRNA-1_1&gene=maker-scaffold_2-augustus-gene-8.90&CDS=1-4266, snap_masked-scaffold_1-processed-gene-25.87-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-25.87&CDS=1-2247
17	OG0000017	YCL069W, YGR224W, YKR105C, YPR198W	augustus_masked-scaffold_4-processed-gene-3.71-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-3.71&CDS=1-1749, maker-scaffold_1-snap-gene-11.134-mRNA-1_1&gene=maker-scaffold_1-snap-gene-11.134&CDS=1-3690
18	OG0000018	YCR051W, YGR232W, YNL050C	augustus_masked-scaffold_3-processed-gene-6.55-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-6.55&CDS=1-648, augustus_masked-scaffold_4-processed-gene-10.54-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-10.54&CDS=1-4842, augustus_masked-scaffold_5-processed-gene-5.32-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-5.32&CDS=1-696
19	OG0000019	YDR253C, YGR067C, YMR182C, YPL038W	augustus_masked-scaffold_3-processed-gene-1.25-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-1.25&CDS=1-1305, augustus_masked-scaffold_7-processed-gene-2.89-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-2.89&CDS=1-2523
20	OG0000020	YHR179W, YPL171C	augustus_masked-scaffold_2-processed-gene-19.61-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-19.61&CDS=1-1380, augustus_masked-scaffold_3-processed-gene-15.35-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-15.35&CDS=1-1182, augustus_masked-scaffold_6-processed-gene-10.44-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-10.44&CDS=1-1191, maker-scaffold_7-snap-gene-2.136-mRNA-1_1&gene=maker-scaffold_7-snap-gene-2.136&CDS=1-2433
21	OG0000021	YIL166C	augustus_masked-scaffold_5-processed-gene-0.86-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-0.86&CDS=1-1671, augustus_masked-scaffold_5-processed-gene-2.72-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-2.72&CDS=1-1674, augustus_masked-scaffold_6-processed-gene-4.80-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-4.80&CDS=1-1650, augustus_masked-scaffold_6-processed-gene-7.93-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-7.93&CDS=1-1653, augustus_masked-scaffold_8-processed-gene-4.72-mRNA-1_1&gene=augustus_masked-scaffold_8-processed-gene-4.72&CDS=1-1650
22	OG0000022	YJL158C, YJL159W, YJL160C, YKL163W, YKL164C	augustus_masked-scaffold_1-processed-gene-12.32-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-12.32&CDS=1-1320
23	OG0000023	YBL017C, YIL173W, YJL222W, YNR065C	augustus_masked-scaffold_4-processed-gene-13.43-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-13.43&CDS=1-4653
24	OG0000024	YBR010W, YNL031C	augustus_masked-scaffold_1-processed-gene-8.35-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-8.35&CDS=1-408, augustus_masked-scaffold_2-processed-gene-7.26-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-7.26&CDS=1-408, augustus_masked-scaffold_5-processed-gene-14.124-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-14.124&CDS=1-408
25	OG0000025	YBR150C, YOL089C	augustus_masked-scaffold_4-processed-gene-2.13-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-2.13&CDS=1-2538, augustus_masked-scaffold_4-processed-gene-2.14-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-2.14&CDS=1-2826, augustus_masked-scaffold_5-processed-gene-14.112-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-14.112&CDS=1-1323
26	OG0000026	YBR298C, YDL247W, YGR289C, YJR160C	augustus_masked-scaffold_1-processed-gene-2.152-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-2.152&CDS=1-1737
27	OG0000027	YCL024W, YDR507C, YKL101W	augustus_masked-scaffold_1-processed-gene-10.86-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-10.86&CDS=1-3783, augustus_masked-scaffold_4-processed-gene-7.105-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-7.105&CDS=1-4353
28	OG0000028	YCR010C, YNR002C	augustus_masked-scaffold_3-processed-gene-13.18-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-13.18&CDS=1-768, augustus_masked-scaffold_3-processed-gene-9.49-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-9.49&CDS=1-792, augustus_masked-scaffold_5-processed-gene-5.2-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-5.2&CDS=1-780
29	OG0000029	YCR037C, YJL198W, YNR013C	augustus_masked-scaffold_1-processed-gene-14.119-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-14.119&CDS=1-2886, augustus_masked-scaffold_1-processed-gene-4.36-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-4.36&CDS=1-2562
30	OG0000030	YCR045C	augustus_masked-scaffold_2-processed-gene-19.52-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-19.52&CDS=1-1203, augustus_masked-scaffold_5-processed-gene-13.21-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-13.21&CDS=1-4404, augustus_masked-scaffold_6-processed-gene-10.64-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-10.64&CDS=1-1209, maker-scaffold_5-augustus-gene-15.76-mRNA-1_1&gene=maker-scaffold_5-augustus-gene-15.76&CDS=1-1785
31	OG0000031	YCR102C, YLR460C, YNL134C	augustus_masked-scaffold_2-processed-gene-14.26-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-14.26&CDS=1-1098, augustus_masked-scaffold_7-processed-gene-5.73-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-5.73&CDS=1-1083
32	OG0000032	YDL138W	augustus_masked-scaffold_2-processed-gene-20.6-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-20.6&CDS=1-1569, augustus_masked-scaffold_5-processed-gene-11.77-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-11.77&CDS=1-1563, augustus_masked-scaffold_5-processed-gene-5.33-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-5.33&CDS=1-2100, augustus_masked-scaffold_8-processed-gene-7.32-mRNA-1_1&gene=augustus_masked-scaffold_8-processed-gene-7.32&CDS=1-1581
33	OG0000033	YDR038C, YDR039C, YDR040C	augustus_masked-scaffold_5-processed-gene-5.30-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-5.30&CDS=1-3168, augustus_masked-scaffold_8-processed-gene-1.22-mRNA-1_1&gene=augustus_masked-scaffold_8-processed-gene-1.22&CDS=1-3264
34	OG0000034	YDR144C, YLR120C, YLR121C	augustus_masked-scaffold_5-processed-gene-4.7-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-4.7&CDS=1-1677, snap_masked-scaffold_2-processed-gene-13.16-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-13.16&CDS=1-1377
35	OG0000035	YDR259C, YHL009C, YOR028C	augustus_masked-scaffold_3-processed-gene-17.63-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-17.63&CDS=1-588, snap_masked-scaffold_4-processed-gene-2.73-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-2.73&CDS=1-1065
36	OG0000036	YDR326C, YFL042C, YHR080C	augustus_masked-scaffold_1-processed-gene-12.23-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-12.23&CDS=1-2655, augustus_masked-scaffold_7-processed-gene-1.71-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-1.71&CDS=1-2457
37	OG0000037	YDR533C, YMR322C, YOR391C, YPL280W	augustus_masked-scaffold_5-processed-gene-0.87-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-0.87&CDS=1-708
38	OG0000038	YER015W	augustus_masked-scaffold_4-processed-gene-6.19-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-6.19&CDS=1-2262, augustus_masked-scaffold_5-processed-gene-11.74-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-11.74&CDS=1-2229, augustus_masked-scaffold_5-processed-gene-8.119-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-8.119&CDS=1-2154, augustus_masked-scaffold_8-processed-gene-2.101-mRNA-1_1&gene=augustus_masked-scaffold_8-processed-gene-2.101&CDS=1-2244
39	OG0000039	YER146W, YLR275W, YLR438C-A	augustus_masked-scaffold_3-processed-gene-8.23-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-8.23&CDS=1-336, snap_masked-scaffold_2-processed-gene-6.14-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-6.14&CDS=1-2283
40	OG0000040	YFR032C, YHL034C, YLL046C	maker-scaffold_1-augustus-gene-13.101-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-13.101&CDS=1-906, maker-scaffold_5-augustus-gene-9.40-mRNA-1_1&gene=maker-scaffold_5-augustus-gene-9.40&CDS=1-831
41	OG0000041	YGL003C, YOL087C	augustus_masked-scaffold_3-processed-gene-19.109-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-19.109&CDS=1-1626, augustus_masked-scaffold_4-processed-gene-14.21-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-14.21&CDS=1-3555, augustus_masked-scaffold_8-processed-gene-3.20-mRNA-1_1&gene=augustus_masked-scaffold_8-processed-gene-3.20&CDS=1-1416
42	OG0000042	YGL077C	augustus_masked-scaffold_2-processed-gene-8.32-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-8.32&CDS=1-1710, augustus_masked-scaffold_3-processed-gene-18.68-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-18.68&CDS=1-1602, augustus_masked-scaffold_3-processed-gene-19.118-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-19.118&CDS=1-1653, augustus_masked-scaffold_7-processed-gene-4.53-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-4.53&CDS=1-1719
