	OrthologID	Saccharomyces_cerevisiae	yHMPu5000035297_Priceomyces_castillae
10	OG0000010	YDR326C, YFL042C, YHR080C, YLR072W	genemark-NODE_24_length_143231_cov_11.6215_ID_5295-processed-gene-0.89-mRNA-1_1&gene=genemark-NODE_24_length_143231_cov_11.6215_ID_5295-processed-gene-0.89&CDS=1-2802, genemark-NODE_43_length_47879_cov_11.916_ID_5267-processed-gene-0.22-mRNA-1_1&gene=genemark-NODE_43_length_47879_cov_11.916_ID_5267-processed-gene-0.22&CDS=1-2496
11	OG0000011	YDR338C, YHR032W	augustus_masked-NODE_13_length_330562_cov_9.24065_ID_5779-processed-gene-2.98-mRNA-1_1&gene=augustus_masked-NODE_13_length_330562_cov_9.24065_ID_5779-processed-gene-2.98&CDS=1-2358, genemark-NODE_19_length_201965_cov_9.04237_ID_4400-processed-gene-1.70-mRNA-1_1&gene=genemark-NODE_19_length_201965_cov_9.04237_ID_4400-processed-gene-1.70&CDS=1-1812, genemark-NODE_31_length_104974_cov_9.44122_ID_4509-processed-gene-0.84-mRNA-1_1&gene=genemark-NODE_31_length_104974_cov_9.44122_ID_4509-processed-gene-0.84&CDS=1-1728, genemark-NODE_44_length_45677_cov_9.73802_ID_5421-processed-gene-0.8-mRNA-1_1&gene=genemark-NODE_44_length_45677_cov_9.73802_ID_5421-processed-gene-0.8&CDS=1-1662
12	OG0000012	YJL212C, YPR194C	genemark-NODE_20_length_193470_cov_12.0149_ID_10779-processed-gene-0.133-mRNA-1_1&gene=genemark-NODE_20_length_193470_cov_12.0149_ID_10779-processed-gene-0.133&CDS=1-2721, genemark-NODE_4_length_509622_cov_11.013_ID_3510-processed-gene-2.76-mRNA-1_1&gene=genemark-NODE_4_length_509622_cov_11.013_ID_3510-processed-gene-2.76&CDS=1-2709, genemark-NODE_6_length_471149_cov_11.2545_ID_7078-processed-gene-3.239-mRNA-1_1&gene=genemark-NODE_6_length_471149_cov_11.2545_ID_7078-processed-gene-3.239&CDS=1-2754, genemark-NODE_6_length_471149_cov_11.2545_ID_7078-processed-gene-3.242-mRNA-1_1&gene=genemark-NODE_6_length_471149_cov_11.2545_ID_7078-processed-gene-3.242&CDS=1-2274
13	OG0000013	YKL222C, YLR266C, YOR162C, YOR172W	augustus_masked-NODE_17_length_274412_cov_11.5268_ID_7642-processed-gene-1.199-mRNA-1_1&gene=augustus_masked-NODE_17_length_274412_cov_11.5268_ID_7642-processed-gene-1.199&CDS=1-1992, genemark-NODE_45_length_41376_cov_13.4364_ID_5671-processed-gene-0.21-mRNA-1_1&gene=genemark-NODE_45_length_41376_cov_13.4364_ID_5671-processed-gene-0.21&CDS=1-2115
14	OG0000014	YKR051W, YNL183C, YOR267C	augustus_masked-NODE_5_length_475292_cov_10.0999_ID_4004-processed-gene-3.10-mRNA-1_1&gene=augustus_masked-NODE_5_length_475292_cov_10.0999_ID_4004-processed-gene-3.10&CDS=1-3357, genemark-NODE_10_length_362407_cov_10.6213_ID_7761-processed-gene-0.65-mRNA-1_1&gene=genemark-NODE_10_length_362407_cov_10.6213_ID_7761-processed-gene-0.65&CDS=1-2379, genemark-NODE_58_length_10029_cov_10.8694_ID_11447-processed-gene-0.10-mRNA-1_1&gene=genemark-NODE_58_length_10029_cov_10.8694_ID_11447-processed-gene-0.10&CDS=1-2022
15	OG0000015	YLL005C, YMR266W, YOL084W	genemark-NODE_15_length_323123_cov_9.75563_ID_7113-processed-gene-1.41-mRNA-1_1&gene=genemark-NODE_15_length_323123_cov_9.75563_ID_7113-processed-gene-1.41&CDS=1-2589, genemark-NODE_1_length_841916_cov_10.51_ID_9517-processed-gene-5.70-mRNA-1_1&gene=genemark-NODE_1_length_841916_cov_10.51_ID_9517-processed-gene-5.70&CDS=1-2658, maker-NODE_7_length_448406_cov_9.47533_ID_6842-augustus-gene-0.139-mRNA-1_1&gene=maker-NODE_7_length_448406_cov_9.47533_ID_6842-augustus-gene-0.139&CDS=1-2322
16	OG0000016	YLL028W	genemark-NODE_23_length_148614_cov_12.63_ID_5823-processed-gene-0.171-mRNA-1_1&gene=genemark-NODE_23_length_148614_cov_12.63_ID_5823-processed-gene-0.171&CDS=1-1707, genemark-NODE_26_length_135252_cov_12.1826_ID_9264-processed-gene-0.148-mRNA-1_1&gene=genemark-NODE_26_length_135252_cov_12.1826_ID_9264-processed-gene-0.148&CDS=1-1707, genemark-NODE_41_length_60762_cov_17.7391_ID_4983-processed-gene-0.54-mRNA-1_1&gene=genemark-NODE_41_length_60762_cov_17.7391_ID_4983-processed-gene-0.54&CDS=1-1701, genemark-NODE_45_length_41376_cov_13.4364_ID_5671-processed-gene-0.18-mRNA-1_1&gene=genemark-NODE_45_length_41376_cov_13.4364_ID_5671-processed-gene-0.18&CDS=1-1557, maker-NODE_30_length_107649_cov_9.53259_ID_3703-snap-gene-0.6-mRNA-1_1&gene=maker-NODE_30_length_107649_cov_9.53259_ID_3703-snap-gene-0.6&CDS=1-1755
17	OG0000017	YMR169C, YMR170C, YOR374W	genemark-NODE_43_length_47879_cov_11.916_ID_5267-processed-gene-0.31-mRNA-1_1&gene=genemark-NODE_43_length_47879_cov_11.916_ID_5267-processed-gene-0.31&CDS=1-1518, genemark-NODE_7_length_448406_cov_9.47533_ID_6842-processed-gene-2.99-mRNA-1_1&gene=genemark-NODE_7_length_448406_cov_9.47533_ID_6842-processed-gene-2.99&CDS=1-1503, maker-NODE_6_length_471149_cov_11.2545_ID_7078-augustus-gene-1.11-mRNA-1_1&gene=maker-NODE_6_length_471149_cov_11.2545_ID_7078-augustus-gene-1.11&CDS=1-1962
18	OG0000018	YAL053W, YGL139W, YPL221W	genemark-NODE_22_length_151621_cov_9.48086_ID_10966-processed-gene-0.93-mRNA-1_1&gene=genemark-NODE_22_length_151621_cov_9.48086_ID_10966-processed-gene-0.93&CDS=1-2322, genemark-NODE_7_length_448406_cov_9.47533_ID_6842-processed-gene-3.171-mRNA-1_1&gene=genemark-NODE_7_length_448406_cov_9.47533_ID_6842-processed-gene-3.171&CDS=1-2343
19	OG0000019	YAR019C, YHR102W	genemark-NODE_28_length_126297_cov_10.052_ID_6990-processed-gene-0.53-mRNA-1_1&gene=genemark-NODE_28_length_126297_cov_10.052_ID_6990-processed-gene-0.53&CDS=1-2349, genemark-NODE_3_length_584268_cov_10.4991_ID_7482-processed-gene-2.140-mRNA-1_1&gene=genemark-NODE_3_length_584268_cov_10.4991_ID_7482-processed-gene-2.140&CDS=1-1587, genemark-NODE_50_length_28705_cov_9.29264_ID_6137-processed-gene-0.12-mRNA-1_1&gene=genemark-NODE_50_length_28705_cov_9.29264_ID_6137-processed-gene-0.12&CDS=1-4812
20	OG0000020	YBL017C, YIL173W, YJL222W, YNR065C	genemark-NODE_6_length_471149_cov_11.2545_ID_7078-processed-gene-0.86-mRNA-1_1&gene=genemark-NODE_6_length_471149_cov_11.2545_ID_7078-processed-gene-0.86&CDS=1-4635
21	OG0000021	YBL068W, YER099C, YHL011C	augustus_masked-NODE_6_length_471149_cov_11.2545_ID_7078-processed-gene-2.81-mRNA-1_1&gene=augustus_masked-NODE_6_length_471149_cov_11.2545_ID_7078-processed-gene-2.81&CDS=1-969, genemark-NODE_6_length_471149_cov_11.2545_ID_7078-processed-gene-1.137-mRNA-1_1&gene=genemark-NODE_6_length_471149_cov_11.2545_ID_7078-processed-gene-1.137&CDS=1-960
22	OG0000022	YBL068W-A, YBL069W, YER101C, YMR152W	maker-NODE_5_length_475292_cov_10.0999_ID_4004-augustus-gene-3.262-mRNA-1_1&gene=maker-NODE_5_length_475292_cov_10.0999_ID_4004-augustus-gene-3.262&CDS=1-3261
23	OG0000023	YBL089W, YER119C, YIL088C	genemark-NODE_16_length_303169_cov_10.538_ID_8213-processed-gene-1.94-mRNA-1_1&gene=genemark-NODE_16_length_303169_cov_10.538_ID_8213-processed-gene-1.94&CDS=1-1395, genemark-NODE_1_length_841916_cov_10.51_ID_9517-processed-gene-6.120-mRNA-1_1&gene=genemark-NODE_1_length_841916_cov_10.51_ID_9517-processed-gene-6.120&CDS=1-1311
24	OG0000024	YBL104C, YCL024W, YDR507C	genemark-NODE_12_length_340584_cov_9.50193_ID_2591-processed-gene-1.37-mRNA-1_1&gene=genemark-NODE_12_length_340584_cov_9.50193_ID_2591-processed-gene-1.37&CDS=1-7275, genemark-NODE_27_length_129608_cov_9.34581_ID_6926-processed-gene-0.107-mRNA-1_1&gene=genemark-NODE_27_length_129608_cov_9.34581_ID_6926-processed-gene-0.107&CDS=1-3969
25	OG0000025	YBR015C	genemark-NODE_11_length_341274_cov_9.29218_ID_2505-processed-gene-1.116-mRNA-1_1&gene=genemark-NODE_11_length_341274_cov_9.29218_ID_2505-processed-gene-1.116&CDS=1-1875, genemark-NODE_16_length_303169_cov_10.538_ID_8213-processed-gene-1.72-mRNA-1_1&gene=genemark-NODE_16_length_303169_cov_10.538_ID_8213-processed-gene-1.72&CDS=1-1767, genemark-NODE_1_length_841916_cov_10.51_ID_9517-processed-gene-5.68-mRNA-1_1&gene=genemark-NODE_1_length_841916_cov_10.51_ID_9517-processed-gene-5.68&CDS=1-1686, genemark-NODE_28_length_126297_cov_10.052_ID_6990-processed-gene-0.28-mRNA-1_1&gene=genemark-NODE_28_length_126297_cov_10.052_ID_6990-processed-gene-0.28&CDS=1-2031
26	OG0000026	YBR038W, YNL192W	genemark-NODE_31_length_104974_cov_9.44122_ID_4509-processed-gene-0.72-mRNA-1_1&gene=genemark-NODE_31_length_104974_cov_9.44122_ID_4509-processed-gene-0.72&CDS=1-2970, genemark-NODE_31_length_104974_cov_9.44122_ID_4509-processed-gene-0.87-mRNA-1_1&gene=genemark-NODE_31_length_104974_cov_9.44122_ID_4509-processed-gene-0.87&CDS=1-3024, genemark-NODE_37_length_82542_cov_9.14391_ID_4479-processed-gene-0.6-mRNA-1_1&gene=genemark-NODE_37_length_82542_cov_9.14391_ID_4479-processed-gene-0.6&CDS=1-3105
27	OG0000027	YBR067C, YER011W, YIL011W, YOR010C	genemark-NODE_18_length_211815_cov_9.6603_ID_3611-processed-gene-1.65-mRNA-1_1&gene=genemark-NODE_18_length_211815_cov_9.6603_ID_3611-processed-gene-1.65&CDS=1-564
28	OG0000028	YBR150C, YOL089C	augustus_masked-NODE_14_length_325865_cov_11.9042_ID_3204-processed-gene-0.52-mRNA-1_1&gene=augustus_masked-NODE_14_length_325865_cov_11.9042_ID_3204-processed-gene-0.52&CDS=1-2346, genemark-NODE_4_length_509622_cov_11.013_ID_3510-processed-gene-4.76-mRNA-1_1&gene=genemark-NODE_4_length_509622_cov_11.013_ID_3510-processed-gene-4.76&CDS=1-2502, snap_masked-NODE_14_length_325865_cov_11.9042_ID_3204-processed-gene-0.12-mRNA-1_1&gene=snap_masked-NODE_14_length_325865_cov_11.9042_ID_3204-processed-gene-0.12&CDS=1-2580
29	OG0000029	YBR207W, YER145C	genemark-NODE_16_length_303169_cov_10.538_ID_8213-processed-gene-2.89-mRNA-1_1&gene=genemark-NODE_16_length_303169_cov_10.538_ID_8213-processed-gene-2.89&CDS=1-1245, genemark-NODE_4_length_509622_cov_11.013_ID_3510-processed-gene-1.56-mRNA-1_1&gene=genemark-NODE_4_length_509622_cov_11.013_ID_3510-processed-gene-1.56&CDS=1-1185, maker-NODE_56_length_12118_cov_9.42319_ID_11467-augustus-gene-0.17-mRNA-1_1&gene=maker-NODE_56_length_12118_cov_9.42319_ID_11467-augustus-gene-0.17&CDS=1-2880
30	OG0000030	YCR065W, YIL131C, YNL068C	genemark-NODE_15_length_323123_cov_9.75563_ID_7113-processed-gene-1.42-mRNA-1_1&gene=genemark-NODE_15_length_323123_cov_9.75563_ID_7113-processed-gene-1.42&CDS=1-1722, genemark-NODE_37_length_82542_cov_9.14391_ID_4479-processed-gene-0.21-mRNA-1_1&gene=genemark-NODE_37_length_82542_cov_9.14391_ID_4479-processed-gene-0.21&CDS=1-2025
31	OG0000031	YDR385W, YKL173W, YOR133W	genemark-NODE_10_length_362407_cov_10.6213_ID_7761-processed-gene-2.122-mRNA-1_1&gene=genemark-NODE_10_length_362407_cov_10.6213_ID_7761-processed-gene-2.122&CDS=1-3612, genemark-NODE_25_length_138199_cov_9.15744_ID_2639-processed-gene-0.189-mRNA-1_1&gene=genemark-NODE_25_length_138199_cov_9.15744_ID_2639-processed-gene-0.189&CDS=1-2526
32	OG0000032	YDR466W, YDR471W, YHR010W	genemark-NODE_19_length_201965_cov_9.04237_ID_4400-processed-gene-0.47-mRNA-1_1&gene=genemark-NODE_19_length_201965_cov_9.04237_ID_4400-processed-gene-0.47&CDS=1-2535, genemark-NODE_32_length_96676_cov_9.40922_ID_3887-processed-gene-0.41-mRNA-1_1&gene=genemark-NODE_32_length_96676_cov_9.40922_ID_3887-processed-gene-0.41&CDS=1-3840
33	OG0000033	YDR533C, YMR322C, YOR391C, YPL280W	augustus_masked-NODE_17_length_274412_cov_11.5268_ID_7642-processed-gene-0.37-mRNA-1_1&gene=augustus_masked-NODE_17_length_274412_cov_11.5268_ID_7642-processed-gene-0.37&CDS=1-1689
34	OG0000034	YER056C, YER060W, YER060W-A	genemark-NODE_3_length_584268_cov_10.4991_ID_7482-processed-gene-4.182-mRNA-1_1&gene=genemark-NODE_3_length_584268_cov_10.4991_ID_7482-processed-gene-4.182&CDS=1-1515, maker-NODE_1_length_841916_cov_10.51_ID_9517-augustus-gene-4.155-mRNA-1_1&gene=maker-NODE_1_length_841916_cov_10.51_ID_9517-augustus-gene-4.155&CDS=1-3744
35	OG0000035	YER103W, YJL034W	genemark-NODE_5_length_475292_cov_10.0999_ID_4004-processed-gene-0.100-mRNA-1_1&gene=genemark-NODE_5_length_475292_cov_10.0999_ID_4004-processed-gene-0.100&CDS=1-1992, genemark-NODE_8_length_376714_cov_9.89329_ID_6769-processed-gene-2.217-mRNA-1_1&gene=genemark-NODE_8_length_376714_cov_9.89329_ID_6769-processed-gene-2.217&CDS=1-1944, maker-NODE_1_length_841916_cov_10.51_ID_9517-snap-gene-1.57-mRNA-1_1&gene=maker-NODE_1_length_841916_cov_10.51_ID_9517-snap-gene-1.57&CDS=1-2703
36	OG0000036	YFR007W, YPL248C	genemark-NODE_11_length_341274_cov_9.29218_ID_2505-processed-gene-2.156-mRNA-1_1&gene=genemark-NODE_11_length_341274_cov_9.29218_ID_2505-processed-gene-2.156&CDS=1-699, genemark-NODE_23_length_148614_cov_12.63_ID_5823-processed-gene-0.133-mRNA-1_1&gene=genemark-NODE_23_length_148614_cov_12.63_ID_5823-processed-gene-0.133&CDS=1-2295, maker-NODE_2_length_634916_cov_10.4811_ID_7341-augustus-gene-5.217-mRNA-1_1&gene=maker-NODE_2_length_634916_cov_10.4811_ID_7341-augustus-gene-5.217&CDS=1-2952
37	OG0000037	YFR038W, YOR304W	augustus_masked-NODE_23_length_148614_cov_12.63_ID_5823-processed-gene-0.95-mRNA-1_1&gene=augustus_masked-NODE_23_length_148614_cov_12.63_ID_5823-processed-gene-0.95&CDS=1-3192, augustus_masked-NODE_26_length_135252_cov_12.1826_ID_9264-processed-gene-0.158-mRNA-1_1&gene=augustus_masked-NODE_26_length_135252_cov_12.1826_ID_9264-processed-gene-0.158&CDS=1-4524, genemark-NODE_13_length_330562_cov_9.24065_ID_5779-processed-gene-2.232-mRNA-1_1&gene=genemark-NODE_13_length_330562_cov_9.24065_ID_5779-processed-gene-2.232&CDS=1-2406
38	OG0000038	YGR032W, YMR306W	augustus_masked-NODE_13_length_330562_cov_9.24065_ID_5779-processed-gene-0.66-mRNA-1_1&gene=augustus_masked-NODE_13_length_330562_cov_9.24065_ID_5779-processed-gene-0.66&CDS=1-5304, augustus_masked-NODE_16_length_303169_cov_10.538_ID_8213-processed-gene-0.59-mRNA-1_1&gene=augustus_masked-NODE_16_length_303169_cov_10.538_ID_8213-processed-gene-0.59&CDS=1-5652, genemark-NODE_2_length_634916_cov_10.4811_ID_7341-processed-gene-3.71-mRNA-1_1&gene=genemark-NODE_2_length_634916_cov_10.4811_ID_7341-processed-gene-3.71&CDS=1-5325
39	OG0000039	YGR187C, YJL172W, YOL153C	augustus_masked-NODE_33_length_96187_cov_9.23238_ID_5633-processed-gene-0.31-mRNA-1_1&gene=augustus_masked-NODE_33_length_96187_cov_9.23238_ID_5633-processed-gene-0.31&CDS=1-2790, genemark-NODE_33_length_96187_cov_9.23238_ID_5633-processed-gene-0.67-mRNA-1_1&gene=genemark-NODE_33_length_96187_cov_9.23238_ID_5633-processed-gene-0.67&CDS=1-1755
40	OG0000040	YIL002C, YNL106C, YOR109W	genemark-NODE_1_length_841916_cov_10.51_ID_9517-processed-gene-2.48-mRNA-1_1&gene=genemark-NODE_1_length_841916_cov_10.51_ID_9517-processed-gene-2.48&CDS=1-3096, maker-NODE_31_length_104974_cov_9.44122_ID_4509-augustus-gene-0.0-mRNA-1_1&gene=maker-NODE_31_length_104974_cov_9.44122_ID_4509-augustus-gene-0.0&CDS=1-4041
