	OrthologID	Saccharomyces_cerevisiae	yHMPu5000034875_Tetrapisispora_fleetii
10	OG0000010	YDR541C, YOL151W	augustus_masked-NODE_13_length_383961_cov_46.4506_ID_25-processed-gene-1.60-mRNA-1_1&gene=augustus_masked-NODE_13_length_383961_cov_46.4506_ID_25-processed-gene-1.60&CDS=1-1011, augustus_masked-NODE_19_length_238931_cov_46.6238_ID_37-processed-gene-1.157-mRNA-1_1&gene=augustus_masked-NODE_19_length_238931_cov_46.6238_ID_37-processed-gene-1.157&CDS=1-1029, augustus_masked-NODE_34_length_36345_cov_49.5743_ID_67-processed-gene-0.35-mRNA-1_1&gene=augustus_masked-NODE_34_length_36345_cov_49.5743_ID_67-processed-gene-0.35&CDS=1-1020, augustus_masked-NODE_9_length_482824_cov_45.7872_ID_17-processed-gene-1.6-mRNA-1_1&gene=augustus_masked-NODE_9_length_482824_cov_45.7872_ID_17-processed-gene-1.6&CDS=1-1011
11	OG0000011	YER056C, YER060W, YER060W-A	augustus_masked-NODE_2_length_1086519_cov_45.247_ID_3-processed-gene-2.48-mRNA-1_1&gene=augustus_masked-NODE_2_length_1086519_cov_45.247_ID_3-processed-gene-2.48&CDS=1-1650, augustus_masked-NODE_6_length_561264_cov_45.5856_ID_11-processed-gene-1.95-mRNA-1_1&gene=augustus_masked-NODE_6_length_561264_cov_45.5856_ID_11-processed-gene-1.95&CDS=1-1617, augustus_masked-NODE_8_length_485001_cov_46.7777_ID_15-processed-gene-1.73-mRNA-1_1&gene=augustus_masked-NODE_8_length_485001_cov_46.7777_ID_15-processed-gene-1.73&CDS=1-1587
12	OG0000012	YIL123W, YJL116C, YKR042W, YNL066W	augustus_masked-NODE_1_length_1092456_cov_45.7163_ID_1-processed-gene-6.38-mRNA-1_1&gene=augustus_masked-NODE_1_length_1092456_cov_45.7163_ID_1-processed-gene-6.38&CDS=1-1167, augustus_masked-NODE_2_length_1086519_cov_45.247_ID_3-processed-gene-6.87-mRNA-1_1&gene=augustus_masked-NODE_2_length_1086519_cov_45.247_ID_3-processed-gene-6.87&CDS=1-1254
13	OG0000013	YAL023C, YGR199W	augustus_masked-NODE_20_length_184410_cov_49.037_ID_39-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-NODE_20_length_184410_cov_49.037_ID_39-processed-gene-0.14&CDS=1-2298, augustus_masked-NODE_7_length_513372_cov_44.9289_ID_13-processed-gene-2.114-mRNA-1_1&gene=augustus_masked-NODE_7_length_513372_cov_44.9289_ID_13-processed-gene-2.114&CDS=1-2268, genemark-NODE_4_length_728742_cov_46.7462_ID_7-processed-gene-6.7-mRNA-1_1&gene=genemark-NODE_4_length_728742_cov_46.7462_ID_7-processed-gene-6.7&CDS=1-2280
14	OG0000014	YBL017C, YIL173W, YJL222W, YNR065C	augustus_masked-NODE_4_length_728742_cov_46.7462_ID_7-processed-gene-0.61-mRNA-1_1&gene=augustus_masked-NODE_4_length_728742_cov_46.7462_ID_7-processed-gene-0.61&CDS=1-4884
15	OG0000015	YBR009C, YNL030W	augustus_masked-NODE_16_length_355820_cov_45.0507_ID_31-processed-gene-2.51-mRNA-1_1&gene=augustus_masked-NODE_16_length_355820_cov_45.0507_ID_31-processed-gene-2.51&CDS=1-309, augustus_masked-NODE_2_length_1086519_cov_45.247_ID_3-processed-gene-7.108-mRNA-1_1&gene=augustus_masked-NODE_2_length_1086519_cov_45.247_ID_3-processed-gene-7.108&CDS=1-309, augustus_masked-NODE_7_length_513372_cov_44.9289_ID_13-processed-gene-1.53-mRNA-1_1&gene=augustus_masked-NODE_7_length_513372_cov_44.9289_ID_13-processed-gene-1.53&CDS=1-309
16	OG0000016	YBR010W, YNL031C	augustus_masked-NODE_16_length_355820_cov_45.0507_ID_31-processed-gene-2.16-mRNA-1_1&gene=augustus_masked-NODE_16_length_355820_cov_45.0507_ID_31-processed-gene-2.16&CDS=1-408, augustus_masked-NODE_2_length_1086519_cov_45.247_ID_3-processed-gene-7.129-mRNA-1_1&gene=augustus_masked-NODE_2_length_1086519_cov_45.247_ID_3-processed-gene-7.129&CDS=1-408, augustus_masked-NODE_7_length_513372_cov_44.9289_ID_13-processed-gene-1.65-mRNA-1_1&gene=augustus_masked-NODE_7_length_513372_cov_44.9289_ID_13-processed-gene-1.65&CDS=1-408
17	OG0000017	YBR014C, YDL010W, YPL156C	augustus_masked-NODE_16_length_355820_cov_45.0507_ID_31-processed-gene-1.92-mRNA-1_1&gene=augustus_masked-NODE_16_length_355820_cov_45.0507_ID_31-processed-gene-1.92&CDS=1-861, genemark-NODE_4_length_728742_cov_46.7462_ID_7-processed-gene-1.95-mRNA-1_1&gene=genemark-NODE_4_length_728742_cov_46.7462_ID_7-processed-gene-1.95&CDS=1-567
18	OG0000018	YBR263W, YLR058C	augustus_masked-NODE_11_length_391636_cov_48.2545_ID_21-processed-gene-1.84-mRNA-1_1&gene=augustus_masked-NODE_11_length_391636_cov_48.2545_ID_21-processed-gene-1.84&CDS=1-1458, augustus_masked-NODE_12_length_391236_cov_46.4623_ID_23-processed-gene-0.89-mRNA-1_1&gene=augustus_masked-NODE_12_length_391236_cov_46.4623_ID_23-processed-gene-0.89&CDS=1-1407, augustus_masked-NODE_15_length_366249_cov_47.0443_ID_29-processed-gene-0.71-mRNA-1_1&gene=augustus_masked-NODE_15_length_366249_cov_47.0443_ID_29-processed-gene-0.71&CDS=1-1407
19	OG0000019	YCR102C, YLR460C, YNL134C	augustus_masked-NODE_1_length_1092456_cov_45.7163_ID_1-processed-gene-9.40-mRNA-1_1&gene=augustus_masked-NODE_1_length_1092456_cov_45.7163_ID_1-processed-gene-9.40&CDS=1-1125, augustus_masked-NODE_38_length_17094_cov_104.39_ID_75-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-NODE_38_length_17094_cov_104.39_ID_75-processed-gene-0.13&CDS=1-1224
20	OG0000020	YDL025C, YOR267C	augustus_masked-NODE_15_length_366249_cov_47.0443_ID_29-processed-gene-1.64-mRNA-1_1&gene=augustus_masked-NODE_15_length_366249_cov_47.0443_ID_29-processed-gene-1.64&CDS=1-1761, augustus_masked-NODE_16_length_355820_cov_45.0507_ID_31-processed-gene-1.118-mRNA-1_1&gene=augustus_masked-NODE_16_length_355820_cov_45.0507_ID_31-processed-gene-1.118&CDS=1-1995, augustus_masked-NODE_16_length_355820_cov_45.0507_ID_31-processed-gene-2.52-mRNA-1_1&gene=augustus_masked-NODE_16_length_355820_cov_45.0507_ID_31-processed-gene-2.52&CDS=1-1779
21	OG0000021	YDL066W, YLR174W, YNL009W	augustus_masked-NODE_1_length_1092456_cov_45.7163_ID_1-processed-gene-4.53-mRNA-1_1&gene=augustus_masked-NODE_1_length_1092456_cov_45.7163_ID_1-processed-gene-4.53&CDS=1-1299, augustus_masked-NODE_1_length_1092456_cov_45.7163_ID_1-processed-gene-8.39-mRNA-1_1&gene=augustus_masked-NODE_1_length_1092456_cov_45.7163_ID_1-processed-gene-8.39&CDS=1-1269
22	OG0000022	YER130C, YKL062W	augustus_masked-NODE_12_length_391236_cov_46.4623_ID_23-processed-gene-2.226-mRNA-1_1&gene=augustus_masked-NODE_12_length_391236_cov_46.4623_ID_23-processed-gene-2.226&CDS=1-1314, augustus_masked-NODE_19_length_238931_cov_46.6238_ID_37-processed-gene-1.166-mRNA-1_1&gene=augustus_masked-NODE_19_length_238931_cov_46.6238_ID_37-processed-gene-1.166&CDS=1-1404, augustus_masked-NODE_2_length_1086519_cov_45.247_ID_3-processed-gene-5.65-mRNA-1_1&gene=augustus_masked-NODE_2_length_1086519_cov_45.247_ID_3-processed-gene-5.65&CDS=1-1152
23	OG0000023	YIL009W, YMR246W, YOR317W	augustus_masked-NODE_10_length_456294_cov_44.2026_ID_19-processed-gene-3.82-mRNA-1_1&gene=augustus_masked-NODE_10_length_456294_cov_44.2026_ID_19-processed-gene-3.82&CDS=1-2286, augustus_masked-NODE_16_length_355820_cov_45.0507_ID_31-processed-gene-2.2-mRNA-1_1&gene=augustus_masked-NODE_16_length_355820_cov_45.0507_ID_31-processed-gene-2.2&CDS=1-2082
24	OG0000024	YLR342W, YMR306W	augustus_masked-NODE_3_length_802396_cov_46.7242_ID_5-processed-gene-5.103-mRNA-1_1&gene=augustus_masked-NODE_3_length_802396_cov_46.7242_ID_5-processed-gene-5.103&CDS=1-5655, augustus_masked-NODE_7_length_513372_cov_44.9289_ID_13-processed-gene-4.110-mRNA-1_1&gene=augustus_masked-NODE_7_length_513372_cov_44.9289_ID_13-processed-gene-4.110&CDS=1-5328, augustus_masked-NODE_8_length_485001_cov_46.7777_ID_15-processed-gene-2.80-mRNA-1_1&gene=augustus_masked-NODE_8_length_485001_cov_46.7777_ID_15-processed-gene-2.80&CDS=1-5631
25	OG0000025	YMR083W, YMR303C, YOL086C	augustus_masked-NODE_13_length_383961_cov_46.4506_ID_25-processed-gene-2.20-mRNA-1_1&gene=augustus_masked-NODE_13_length_383961_cov_46.4506_ID_25-processed-gene-2.20&CDS=1-1050, augustus_masked-NODE_23_length_172564_cov_49.4108_ID_45-processed-gene-0.34-mRNA-1_1&gene=augustus_masked-NODE_23_length_172564_cov_49.4108_ID_45-processed-gene-0.34&CDS=1-1131
26	OG0000026	YOR231W, YPL140C, YPL141C	maker-NODE_16_length_355820_cov_45.0507_ID_31-snap-gene-0.84-mRNA-1_1&gene=maker-NODE_16_length_355820_cov_45.0507_ID_31-snap-gene-0.84&CDS=1-4053, snap_masked-NODE_12_length_391236_cov_46.4623_ID_23-processed-gene-2.98-mRNA-1_1&gene=snap_masked-NODE_12_length_391236_cov_46.4623_ID_23-processed-gene-2.98&CDS=1-1092
27	OG0000027	Q0105, Q0110, Q0115, Q0120	maker-NODE_35_length_32859_cov_740.023_ID_69-snap-gene-0.2-mRNA-1_1&gene=maker-NODE_35_length_32859_cov_740.023_ID_69-snap-gene-0.2&CDS=1-264
28	OG0000028	YAL034C, YOR338W	augustus_masked-NODE_20_length_184410_cov_49.037_ID_39-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-NODE_20_length_184410_cov_49.037_ID_39-processed-gene-0.24&CDS=1-1083, augustus_masked-NODE_4_length_728742_cov_46.7462_ID_7-processed-gene-6.54-mRNA-1_1&gene=augustus_masked-NODE_4_length_728742_cov_46.7462_ID_7-processed-gene-6.54&CDS=1-1227
29	OG0000029	YAL054C, YLR153C	augustus_masked-NODE_20_length_184410_cov_49.037_ID_39-processed-gene-0.31-mRNA-1_1&gene=augustus_masked-NODE_20_length_184410_cov_49.037_ID_39-processed-gene-0.31&CDS=1-2154, augustus_masked-NODE_9_length_482824_cov_45.7872_ID_17-processed-gene-2.18-mRNA-1_1&gene=augustus_masked-NODE_9_length_482824_cov_45.7872_ID_17-processed-gene-2.18&CDS=1-2016
30	OG0000030	YAL056W, YOR371C	augustus_masked-NODE_20_length_184410_cov_49.037_ID_39-processed-gene-0.68-mRNA-1_1&gene=augustus_masked-NODE_20_length_184410_cov_49.037_ID_39-processed-gene-0.68&CDS=1-2562, augustus_masked-NODE_4_length_728742_cov_46.7462_ID_7-processed-gene-6.86-mRNA-1_1&gene=augustus_masked-NODE_4_length_728742_cov_46.7462_ID_7-processed-gene-6.86&CDS=1-2466
31	OG0000031	YAR042W, YDL019C	augustus_masked-NODE_4_length_728742_cov_46.7462_ID_7-processed-gene-1.61-mRNA-1_1&gene=augustus_masked-NODE_4_length_728742_cov_46.7462_ID_7-processed-gene-1.61&CDS=1-3738, maker-NODE_15_length_366249_cov_47.0443_ID_29-snap-gene-1.102-mRNA-1_1&gene=maker-NODE_15_length_366249_cov_47.0443_ID_29-snap-gene-1.102&CDS=1-3729
32	OG0000032	YBL002W, YDR224C	augustus_masked-NODE_17_length_344593_cov_46.8687_ID_33-processed-gene-0.73-mRNA-1_1&gene=augustus_masked-NODE_17_length_344593_cov_46.8687_ID_33-processed-gene-0.73&CDS=1-390, augustus_masked-NODE_2_length_1086519_cov_45.247_ID_3-processed-gene-4.58-mRNA-1_1&gene=augustus_masked-NODE_2_length_1086519_cov_45.247_ID_3-processed-gene-4.58&CDS=1-384
33	OG0000033	YBL003C, YDR225W	augustus_masked-NODE_17_length_344593_cov_46.8687_ID_33-processed-gene-0.58-mRNA-1_1&gene=augustus_masked-NODE_17_length_344593_cov_46.8687_ID_33-processed-gene-0.58&CDS=1-396, augustus_masked-NODE_2_length_1086519_cov_45.247_ID_3-processed-gene-4.76-mRNA-1_1&gene=augustus_masked-NODE_2_length_1086519_cov_45.247_ID_3-processed-gene-4.76&CDS=1-396
34	OG0000034	YBL027W, YBR084C-A	augustus_masked-NODE_13_length_383961_cov_46.4506_ID_25-processed-gene-1.50-mRNA-1_1&gene=augustus_masked-NODE_13_length_383961_cov_46.4506_ID_25-processed-gene-1.50&CDS=1-627, snap_masked-NODE_26_length_83426_cov_44.2687_ID_51-processed-gene-0.54-mRNA-1_1&gene=snap_masked-NODE_26_length_83426_cov_44.2687_ID_51-processed-gene-0.54&CDS=1-570
35	OG0000035	YBL042C, YBR021W	augustus_masked-NODE_13_length_383961_cov_46.4506_ID_25-processed-gene-2.26-mRNA-1_1&gene=augustus_masked-NODE_13_length_383961_cov_46.4506_ID_25-processed-gene-2.26&CDS=1-1914, augustus_masked-NODE_2_length_1086519_cov_45.247_ID_3-processed-gene-9.98-mRNA-1_1&gene=augustus_masked-NODE_2_length_1086519_cov_45.247_ID_3-processed-gene-9.98&CDS=1-1836
36	OG0000036	YBL056W, YER089C	augustus_masked-NODE_21_length_182794_cov_46.0854_ID_41-processed-gene-0.185-mRNA-1_1&gene=augustus_masked-NODE_21_length_182794_cov_46.0854_ID_41-processed-gene-0.185&CDS=1-1515, augustus_masked-NODE_9_length_482824_cov_45.7872_ID_17-processed-gene-1.20-mRNA-1_1&gene=augustus_masked-NODE_9_length_482824_cov_45.7872_ID_17-processed-gene-1.20&CDS=1-1416
37	OG0000037	YBL067C, YER098W	augustus_masked-NODE_21_length_182794_cov_46.0854_ID_41-processed-gene-0.221-mRNA-1_1&gene=augustus_masked-NODE_21_length_182794_cov_46.0854_ID_41-processed-gene-0.221&CDS=1-2136, maker-NODE_15_length_366249_cov_47.0443_ID_29-snap-gene-1.103-mRNA-1_1&gene=maker-NODE_15_length_366249_cov_47.0443_ID_29-snap-gene-1.103&CDS=1-1584
38	OG0000038	YBR001C, YDR001C	augustus_masked-NODE_4_length_728742_cov_46.7462_ID_7-processed-gene-1.58-mRNA-1_1&gene=augustus_masked-NODE_4_length_728742_cov_46.7462_ID_7-processed-gene-1.58&CDS=1-2583, augustus_masked-NODE_7_length_513372_cov_44.9289_ID_13-processed-gene-1.57-mRNA-1_1&gene=augustus_masked-NODE_7_length_513372_cov_44.9289_ID_13-processed-gene-1.57&CDS=1-2406
39	OG0000039	YBR015C, YJL186W	augustus_masked-NODE_31_length_60482_cov_46.4698_ID_61-processed-gene-0.81-mRNA-1_1&gene=augustus_masked-NODE_31_length_60482_cov_46.4698_ID_61-processed-gene-0.81&CDS=1-2319, augustus_masked-NODE_7_length_513372_cov_44.9289_ID_13-processed-gene-1.51-mRNA-1_1&gene=augustus_masked-NODE_7_length_513372_cov_44.9289_ID_13-processed-gene-1.51&CDS=1-1923
40	OG0000040	YBR023C, YBR038W	augustus_masked-NODE_7_length_513372_cov_44.9289_ID_13-processed-gene-1.39-mRNA-1_1&gene=augustus_masked-NODE_7_length_513372_cov_44.9289_ID_13-processed-gene-1.39&CDS=1-3660, maker-NODE_13_length_383961_cov_46.4506_ID_25-snap-gene-2.252-mRNA-1_1&gene=maker-NODE_13_length_383961_cov_46.4506_ID_25-snap-gene-2.252&CDS=1-5925
41	OG0000041	YBR025C, YHL014C	augustus_masked-NODE_13_length_383961_cov_46.4506_ID_25-processed-gene-2.61-mRNA-1_1&gene=augustus_masked-NODE_13_length_383961_cov_46.4506_ID_25-processed-gene-2.61&CDS=1-1179, augustus_masked-NODE_2_length_1086519_cov_45.247_ID_3-processed-gene-8.60-mRNA-1_1&gene=augustus_masked-NODE_2_length_1086519_cov_45.247_ID_3-processed-gene-8.60&CDS=1-1260
42	OG0000042	YBR054W, YDR033W	augustus_masked-NODE_13_length_383961_cov_46.4506_ID_25-processed-gene-2.44-mRNA-1_1&gene=augustus_masked-NODE_13_length_383961_cov_46.4506_ID_25-processed-gene-2.44&CDS=1-951, augustus_masked-NODE_7_length_513372_cov_44.9289_ID_13-processed-gene-0.26-mRNA-1_1&gene=augustus_masked-NODE_7_length_513372_cov_44.9289_ID_13-processed-gene-0.26&CDS=1-996
43	OG0000043	YBR089C-A, YPR052C	augustus_masked-NODE_13_length_383961_cov_46.4506_ID_25-processed-gene-1.41-mRNA-1_1&gene=augustus_masked-NODE_13_length_383961_cov_46.4506_ID_25-processed-gene-1.41&CDS=1-279, augustus_masked-NODE_26_length_83426_cov_44.2687_ID_51-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-NODE_26_length_83426_cov_44.2687_ID_51-processed-gene-0.10&CDS=1-279
44	OG0000044	YBR140C, YOL081W	snap_masked-NODE_13_length_383961_cov_46.4506_ID_25-processed-gene-2.146-mRNA-1_1&gene=snap_masked-NODE_13_length_383961_cov_46.4506_ID_25-processed-gene-2.146&CDS=1-8811, snap_masked-NODE_9_length_482824_cov_45.7872_ID_17-processed-gene-1.60-mRNA-1_1&gene=snap_masked-NODE_9_length_482824_cov_45.7872_ID_17-processed-gene-1.60&CDS=1-9606
45	OG0000045	YBR161W, YPL057C	augustus_masked-NODE_10_length_456294_cov_44.2026_ID_19-processed-gene-0.90-mRNA-1_1&gene=augustus_masked-NODE_10_length_456294_cov_44.2026_ID_19-processed-gene-0.90&CDS=1-1149, augustus_masked-NODE_17_length_344593_cov_46.8687_ID_33-processed-gene-1.101-mRNA-1_1&gene=augustus_masked-NODE_17_length_344593_cov_46.8687_ID_33-processed-gene-1.101&CDS=1-1065
