	OrthologID	Millerozyma_acaciae	Saccharomyces_cerevisiae
10	OG0000010	-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-0.1&CDS=1-1167, -processed-gene-0.61-mRNA-1_1&gene=augustus_masked-gi|1002316181|dbj|BCKO01000008.1|-processed-gene-0.61&CDS=1-1209, -processed-gene-0.93-mRNA-1_1&gene=genemark-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-0.93&CDS=1-1206, -processed-gene-1.111-mRNA-1_1&gene=genemark-gi|1002316183|dbj|BCKO01000006.1|-processed-gene-1.111&CDS=1-1179, -processed-gene-1.125-mRNA-1_1&gene=genemark-gi|1002316183|dbj|BCKO01000006.1|-processed-gene-1.125&CDS=1-1209, -processed-gene-13.153-mRNA-1_1&gene=snap_masked-gi|1002316186|dbj|BCKO01000003.1|-processed-gene-13.153&CDS=1-1182, -processed-gene-13.217-mRNA-1_1&gene=genemark-gi|1002316186|dbj|BCKO01000003.1|-processed-gene-13.217&CDS=1-1224	
11	OG0000011	-processed-gene-1.17-mRNA-1_1&gene=genemark-gi|1002316181|dbj|BCKO01000008.1|-processed-gene-1.17&CDS=1-969, -processed-gene-15.12-mRNA-1_1&gene=genemark-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-15.12&CDS=1-960, -processed-gene-3.49-mRNA-1_1&gene=augustus_masked-gi|1002316181|dbj|BCKO01000008.1|-processed-gene-3.49&CDS=1-4698	YBL068W, YER099C, YHL011C, YOL061W
12	OG0000012	-augustus-gene-0.35-mRNA-1_1&gene=maker-gi|1002316188|dbj|BCKO01000001.1|-augustus-gene-0.35&CDS=1-5283, -processed-gene-0.30-mRNA-1_1&gene=genemark-gi|1002316184|dbj|BCKO01000005.1|-processed-gene-0.30&CDS=1-1803, -processed-gene-3.82-mRNA-1_1&gene=genemark-gi|1002316182|dbj|BCKO01000007.1|-processed-gene-3.82&CDS=1-2310, -processed-gene-3.84-mRNA-1_1&gene=genemark-gi|1002316182|dbj|BCKO01000007.1|-processed-gene-3.84&CDS=1-2385	YJR061W, YKL201C, YPR097W
13	OG0000013	-processed-gene-11.86-mRNA-1_1&gene=augustus_masked-gi|1002316185|dbj|BCKO01000004.1|-processed-gene-11.86&CDS=1-4425, -processed-gene-3.83-mRNA-1_1&gene=augustus_masked-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-3.83&CDS=1-4701, -processed-gene-6.96-mRNA-1_1&gene=genemark-gi|1002316182|dbj|BCKO01000007.1|-processed-gene-6.96&CDS=1-1647, -processed-gene-8.116-mRNA-1_1&gene=snap_masked-gi|1002316183|dbj|BCKO01000006.1|-processed-gene-8.116&CDS=1-4890	YAR019C, YDR523C, YHR102W
14	OG0000014	-processed-gene-0.20-mRNA-1_1&gene=genemark-gi|1002316188|dbj|BCKO01000001.1|-processed-gene-0.20&CDS=1-2493, -processed-gene-18.52-mRNA-1_1&gene=genemark-gi|1002316188|dbj|BCKO01000001.1|-processed-gene-18.52&CDS=1-1329, -processed-gene-8.225-mRNA-1_1&gene=snap_masked-gi|1002316182|dbj|BCKO01000007.1|-processed-gene-8.225&CDS=1-3435	YBR297W, YFL052W, YGR288W, YPR196W
15	OG0000015	-processed-gene-0.38-mRNA-1_1&gene=augustus_masked-gi|1002316188|dbj|BCKO01000001.1|-processed-gene-0.38&CDS=1-933	YAL063C, YAL064C-A, YAR050W, YHR211W, YHR213W, YKR102W
16	OG0000016	-augustus-gene-5.59-mRNA-1_1&gene=maker-gi|1002316184|dbj|BCKO01000005.1|-augustus-gene-5.59&CDS=1-2025, -processed-gene-0.1-mRNA-1_1&gene=genemark-gi|1002316180|dbj|BCKO01000009.1|-processed-gene-0.1&CDS=1-1659, -processed-gene-12.104-mRNA-1_1&gene=genemark-gi|1002316186|dbj|BCKO01000003.1|-processed-gene-12.104&CDS=1-1728, -processed-gene-16.13-mRNA-1_1&gene=genemark-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-16.13&CDS=1-1926, -processed-gene-2.61-mRNA-1_1&gene=augustus_masked-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-2.61&CDS=1-3234	YBR015C
17	OG0000017	-processed-gene-19.4-mRNA-1_1&gene=genemark-gi|1002316188|dbj|BCKO01000001.1|-processed-gene-19.4&CDS=1-2463, -processed-gene-2.75-mRNA-1_1&gene=genemark-gi|1002316181|dbj|BCKO01000008.1|-processed-gene-2.75&CDS=1-1734, -processed-gene-6.35-mRNA-1_1&gene=genemark-gi|1002316183|dbj|BCKO01000006.1|-processed-gene-6.35&CDS=1-2010	YDL025C, YNL183C, YOR267C
18	OG0000018	-processed-gene-4.73-mRNA-1_1&gene=augustus_masked-gi|1002316181|dbj|BCKO01000008.1|-processed-gene-4.73&CDS=1-3210, -processed-gene-8.105-mRNA-1_1&gene=genemark-gi|1002316182|dbj|BCKO01000007.1|-processed-gene-8.105&CDS=1-1758, -processed-gene-8.117-mRNA-1_1&gene=genemark-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-8.117&CDS=1-1752, -processed-gene-8.157-mRNA-1_1&gene=genemark-gi|1002316182|dbj|BCKO01000007.1|-processed-gene-8.157&CDS=1-1743	YBR293W, YMR088C
19	OG0000019	-processed-gene-8.128-mRNA-1_1&gene=augustus_masked-gi|1002316186|dbj|BCKO01000003.1|-processed-gene-8.128&CDS=1-5598, -processed-gene-8.151-mRNA-1_1&gene=genemark-gi|1002316182|dbj|BCKO01000007.1|-processed-gene-8.151&CDS=1-933, -processed-gene-8.79-mRNA-1_1&gene=genemark-gi|1002316186|dbj|BCKO01000003.1|-processed-gene-8.79&CDS=1-882, -processed-gene-9.39-mRNA-1_1&gene=genemark-gi|1002316183|dbj|BCKO01000006.1|-processed-gene-9.39&CDS=1-927	YDR368W, YOR120W
20	OG0000020	-processed-gene-1.114-mRNA-1_1&gene=genemark-gi|1002316184|dbj|BCKO01000005.1|-processed-gene-1.114&CDS=1-2886, -processed-gene-14.114-mRNA-1_1&gene=augustus_masked-gi|1002316188|dbj|BCKO01000001.1|-processed-gene-14.114&CDS=1-3399, -processed-gene-7.33-mRNA-1_1&gene=genemark-gi|1002316188|dbj|BCKO01000001.1|-processed-gene-7.33&CDS=1-768	YDR326C, YHR080C, YLR441C
21	OG0000021	-processed-gene-1.70-mRNA-1_1&gene=snap_masked-gi|1002316184|dbj|BCKO01000005.1|-processed-gene-1.70&CDS=1-1086, -processed-gene-15.103-mRNA-1_1&gene=snap_masked-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-15.103&CDS=1-1242, -processed-gene-8.76-mRNA-1_1&gene=genemark-gi|1002316186|dbj|BCKO01000003.1|-processed-gene-8.76&CDS=1-696	YIR013C, YLR013W, YMR136W
22	OG0000022	-processed-gene-13.29-mRNA-1_1&gene=genemark-gi|1002316185|dbj|BCKO01000004.1|-processed-gene-13.29&CDS=1-1395, -processed-gene-16.6-mRNA-1_1&gene=genemark-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-16.6&CDS=1-1158, -processed-gene-4.9-mRNA-1_1&gene=genemark-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-4.9&CDS=1-1266, -processed-gene-8.10-mRNA-1_1&gene=genemark-gi|1002316184|dbj|BCKO01000005.1|-processed-gene-8.10&CDS=1-1194	YBR207W, YER145C
23	OG0000023	-processed-gene-0.83-mRNA-1_1&gene=genemark-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-0.83&CDS=1-2124, -processed-gene-13.136-mRNA-1_1&gene=genemark-gi|1002316184|dbj|BCKO01000005.1|-processed-gene-13.136&CDS=1-2127	YKL222C, YLR266C, YOR162C, YOR172W
24	OG0000024	-processed-gene-10.16-mRNA-1_1&gene=genemark-gi|1002316188|dbj|BCKO01000001.1|-processed-gene-10.16&CDS=1-1812, -processed-gene-3.130-mRNA-1_1&gene=genemark-gi|1002316185|dbj|BCKO01000004.1|-processed-gene-3.130&CDS=1-1668, -processed-gene-4.44-mRNA-1_1&gene=genemark-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-4.44&CDS=1-2781	YGR249W, YHR206W, YOR140W
25	OG0000025	-processed-gene-11.27-mRNA-1_1&gene=genemark-gi|1002316185|dbj|BCKO01000004.1|-processed-gene-11.27&CDS=1-1770, -processed-gene-12.117-mRNA-1_1&gene=genemark-gi|1002316188|dbj|BCKO01000001.1|-processed-gene-12.117&CDS=1-1848, -processed-gene-19.143-mRNA-1_1&gene=snap_masked-gi|1002316188|dbj|BCKO01000001.1|-processed-gene-19.143&CDS=1-2505, -processed-gene-7.25-mRNA-1_1&gene=genemark-gi|1002316188|dbj|BCKO01000001.1|-processed-gene-7.25&CDS=1-1746	YDR338C, YHR032W
26	OG0000026	-processed-gene-12.106-mRNA-1_1&gene=genemark-gi|1002316186|dbj|BCKO01000003.1|-processed-gene-12.106&CDS=1-2703, -processed-gene-3.112-mRNA-1_1&gene=genemark-gi|1002316186|dbj|BCKO01000003.1|-processed-gene-3.112&CDS=1-2583, -processed-gene-8.141-mRNA-1_1&gene=genemark-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-8.141&CDS=1-2661	YLL005C, YMR266W, YOL084W
27	OG0000027	-processed-gene-16.9-mRNA-1_1&gene=genemark-gi|1002316188|dbj|BCKO01000001.1|-processed-gene-16.9&CDS=1-1383	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W
28	OG0000028	-processed-gene-1.187-mRNA-1_1&gene=genemark-gi|1002316180|dbj|BCKO01000009.1|-processed-gene-1.187&CDS=1-1566, -processed-gene-5.112-mRNA-1_1&gene=genemark-gi|1002316188|dbj|BCKO01000001.1|-processed-gene-5.112&CDS=1-1524	YER056C, YER060W, YER060W-A
29	OG0000029	-processed-gene-1.225-mRNA-1_1&gene=genemark-gi|1002316180|dbj|BCKO01000009.1|-processed-gene-1.225&CDS=1-2670, -processed-gene-2.40-mRNA-1_1&gene=genemark-gi|1002316182|dbj|BCKO01000007.1|-processed-gene-2.40&CDS=1-2856, -processed-gene-4.40-mRNA-1_1&gene=genemark-gi|1002316188|dbj|BCKO01000001.1|-processed-gene-4.40&CDS=1-2613	YHR047C, YIL137C
30	OG0000030	-processed-gene-0.6-mRNA-1_1&gene=genemark-gi|1002316188|dbj|BCKO01000001.1|-processed-gene-0.6&CDS=1-1212, -processed-gene-0.83-mRNA-1_1&gene=genemark-gi|1002316181|dbj|BCKO01000008.1|-processed-gene-0.83&CDS=1-1221, -snap-gene-0.2-mRNA-1_1&gene=maker-gi|1002316184|dbj|BCKO01000005.1|-snap-gene-0.2&CDS=1-1080	YHR179W, YPL171C
31	OG0000031	-augustus-gene-0.122-mRNA-1_1&gene=maker-gi|1002316181|dbj|BCKO01000008.1|-augustus-gene-0.122&CDS=1-3042, -processed-gene-0.92-mRNA-1_1&gene=genemark-gi|1002316181|dbj|BCKO01000008.1|-processed-gene-0.92&CDS=1-654, -processed-gene-0.93-mRNA-1_1&gene=genemark-gi|1002316181|dbj|BCKO01000008.1|-processed-gene-0.93&CDS=1-663	YBL067C, YER098W
32	OG0000032	-processed-gene-1.12-mRNA-1_1&gene=genemark-gi|1002316181|dbj|BCKO01000008.1|-processed-gene-1.12&CDS=1-3717, -processed-gene-4.224-mRNA-1_1&gene=genemark-gi|1002316181|dbj|BCKO01000008.1|-processed-gene-4.224&CDS=1-1863	YBR260C, YDR379W, YOR127W
33	OG0000033	-processed-gene-1.27-mRNA-1_1&gene=genemark-gi|1002316181|dbj|BCKO01000008.1|-processed-gene-1.27&CDS=1-2778, -processed-gene-2.102-mRNA-1_1&gene=snap_masked-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-2.102&CDS=1-2562	YML111W, YMR275C, YNR069C
34	OG0000034	-processed-gene-2.48-mRNA-1_1&gene=augustus_masked-gi|1002316183|dbj|BCKO01000006.1|-processed-gene-2.48&CDS=1-6402, -processed-gene-4.227-mRNA-1_1&gene=genemark-gi|1002316181|dbj|BCKO01000008.1|-processed-gene-4.227&CDS=1-3084, -processed-gene-9.60-mRNA-1_1&gene=genemark-gi|1002316186|dbj|BCKO01000003.1|-processed-gene-9.60&CDS=1-2277	YBR245C, YFR038W
35	OG0000035	-processed-gene-4.202-mRNA-1_1&gene=genemark-gi|1002316181|dbj|BCKO01000008.1|-processed-gene-4.202&CDS=1-1014, -processed-gene-4.203-mRNA-1_1&gene=genemark-gi|1002316181|dbj|BCKO01000008.1|-processed-gene-4.203&CDS=1-987, -processed-gene-4.204-mRNA-1_1&gene=genemark-gi|1002316181|dbj|BCKO01000008.1|-processed-gene-4.204&CDS=1-984, -processed-gene-4.205-mRNA-1_1&gene=genemark-gi|1002316181|dbj|BCKO01000008.1|-processed-gene-4.205&CDS=1-1002	YJR019C
36	OG0000036	-processed-gene-4.120-mRNA-1_1&gene=genemark-gi|1002316184|dbj|BCKO01000005.1|-processed-gene-4.120&CDS=1-2778, -snap-gene-4.172-mRNA-1_1&gene=maker-gi|1002316181|dbj|BCKO01000008.1|-snap-gene-4.172&CDS=1-3558	YFL050C, YKL064W, YOL130W
37	OG0000037	-processed-gene-0.18-mRNA-1_1&gene=genemark-gi|1002316188|dbj|BCKO01000001.1|-processed-gene-0.18&CDS=1-1632, -processed-gene-13.140-mRNA-1_1&gene=genemark-gi|1002316184|dbj|BCKO01000005.1|-processed-gene-13.140&CDS=1-1632, -processed-gene-4.248-mRNA-1_1&gene=genemark-gi|1002316181|dbj|BCKO01000008.1|-processed-gene-4.248&CDS=1-1734, -processed-gene-7.11-mRNA-1_1&gene=genemark-gi|1002316188|dbj|BCKO01000001.1|-processed-gene-7.11&CDS=1-1629	YIL166C
38	OG0000038	-processed-gene-0.118-mRNA-1_1&gene=genemark-gi|1002316185|dbj|BCKO01000004.1|-processed-gene-0.118&CDS=1-1200, -processed-gene-0.26-mRNA-1_1&gene=augustus_masked-gi|1002316182|dbj|BCKO01000007.1|-processed-gene-0.26&CDS=1-3081, -processed-gene-4.15-mRNA-1_1&gene=genemark-gi|1002316186|dbj|BCKO01000003.1|-processed-gene-4.15&CDS=1-1227	YGR263C, YJR002W
39	OG0000039	-processed-gene-1.76-mRNA-1_1&gene=genemark-gi|1002316182|dbj|BCKO01000007.1|-processed-gene-1.76&CDS=1-1014, -processed-gene-1.85-mRNA-1_1&gene=genemark-gi|1002316182|dbj|BCKO01000007.1|-processed-gene-1.85&CDS=1-996, -processed-gene-15.135-mRNA-1_1&gene=genemark-gi|1002316188|dbj|BCKO01000001.1|-processed-gene-15.135&CDS=1-1035	YDL078C, YKL085W
40	OG0000040	-processed-gene-2.122-mRNA-1_1&gene=augustus_masked-gi|1002316182|dbj|BCKO01000007.1|-processed-gene-2.122&CDS=1-3498, -processed-gene-7.94-mRNA-1_1&gene=genemark-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-7.94&CDS=1-1773	YLR044C, YLR134W, YMR301C
41	OG0000041	-processed-gene-7.122-mRNA-1_1&gene=augustus_masked-gi|1002316182|dbj|BCKO01000007.1|-processed-gene-7.122&CDS=1-2307, -processed-gene-8.136-mRNA-1_1&gene=genemark-gi|1002316182|dbj|BCKO01000007.1|-processed-gene-8.136&CDS=1-2388	YAL053W, YGL139W, YPL221W
42	OG0000042	-snap-gene-1.89-mRNA-1_1&gene=maker-gi|1002316183|dbj|BCKO01000006.1|-snap-gene-1.89&CDS=1-3648	YCL069W, YGR224W, YKR105C, YPR198W
43	OG0000043	-augustus-gene-11.92-mRNA-1_1&gene=maker-gi|1002316185|dbj|BCKO01000004.1|-augustus-gene-11.92&CDS=1-4665, -processed-gene-4.4-mRNA-1_1&gene=genemark-gi|1002316183|dbj|BCKO01000006.1|-processed-gene-4.4&CDS=1-2958, -processed-gene-6.54-mRNA-1_1&gene=genemark-gi|1002316185|dbj|BCKO01000004.1|-processed-gene-6.54&CDS=1-3075	YBR038W, YNL192W
44	OG0000044	-processed-gene-4.33-mRNA-1_1&gene=genemark-gi|1002316183|dbj|BCKO01000006.1|-processed-gene-4.33&CDS=1-1197, -snap-gene-3.129-mRNA-1_1&gene=maker-gi|1002316188|dbj|BCKO01000001.1|-snap-gene-3.129&CDS=1-2568	YDR021W, YJL138C, YKR059W
45	OG0000045	-processed-gene-4.16-mRNA-1_1&gene=genemark-gi|1002316183|dbj|BCKO01000006.1|-processed-gene-4.16&CDS=1-1017	YDL244W, YFL058W, YJR156C, YNL332W
46	OG0000046	-processed-gene-5.64-mRNA-1_1&gene=genemark-gi|1002316183|dbj|BCKO01000006.1|-processed-gene-5.64&CDS=1-2502, -processed-gene-9.30-mRNA-1_1&gene=genemark-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-9.30&CDS=1-2796	YCR037C, YJL198W, YNR013C
47	OG0000047	-augustus-gene-8.99-mRNA-1_1&gene=maker-gi|1002316183|dbj|BCKO01000006.1|-augustus-gene-8.99&CDS=1-3333, -processed-gene-4.92-mRNA-1_1&gene=augustus_masked-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-4.92&CDS=1-2013, -processed-gene-6.31-mRNA-1_1&gene=genemark-gi|1002316183|dbj|BCKO01000006.1|-processed-gene-6.31&CDS=1-1962	YEL015W, YPL155C
48	OG0000048	-processed-gene-11.71-mRNA-1_1&gene=genemark-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-11.71&CDS=1-1278, -processed-gene-7.145-mRNA-1_1&gene=genemark-gi|1002316183|dbj|BCKO01000006.1|-processed-gene-7.145&CDS=1-1191	YJL116C, YKR042W, YNL066W
49	OG0000049	-processed-gene-0.117-mRNA-1_1&gene=genemark-gi|1002316186|dbj|BCKO01000003.1|-processed-gene-0.117&CDS=1-981, -processed-gene-17.77-mRNA-1_1&gene=genemark-gi|1002316188|dbj|BCKO01000001.1|-processed-gene-17.77&CDS=1-927, -processed-gene-18.63-mRNA-1_1&gene=genemark-gi|1002316188|dbj|BCKO01000001.1|-processed-gene-18.63&CDS=1-993, -processed-gene-9.25-mRNA-1_1&gene=genemark-gi|1002316183|dbj|BCKO01000006.1|-processed-gene-9.25&CDS=1-987	YKL128C
50	OG0000050	-augustus-gene-13.58-mRNA-1_1&gene=maker-gi|1002316184|dbj|BCKO01000005.1|-augustus-gene-13.58&CDS=1-7251, -processed-gene-0.8-mRNA-1_1&gene=genemark-gi|1002316184|dbj|BCKO01000005.1|-processed-gene-0.8&CDS=1-1560, -processed-gene-0.9-mRNA-1_1&gene=genemark-gi|1002316188|dbj|BCKO01000001.1|-processed-gene-0.9&CDS=1-1557, -processed-gene-1.92-mRNA-1_1&gene=genemark-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-1.92&CDS=1-1569	YJL039C
51	OG0000051	-processed-gene-0.87-mRNA-1_1&gene=augustus_masked-gi|1002316184|dbj|BCKO01000005.1|-processed-gene-0.87&CDS=1-1875, -processed-gene-8.106-mRNA-1_1&gene=genemark-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-8.106&CDS=1-1269, -processed-gene-8.132-mRNA-1_1&gene=genemark-gi|1002316187|dbj|BCKO01000002.1|-processed-gene-8.132&CDS=1-786	YDR134C, YLR110C
52	OG0000052	-processed-gene-0.119-mRNA-1_1&gene=genemark-gi|1002316185|dbj|BCKO01000004.1|-processed-gene-0.119&CDS=1-2358, -processed-gene-2.115-mRNA-1_1&gene=genemark-gi|1002316185|dbj|BCKO01000004.1|-processed-gene-2.115&CDS=1-3390, -processed-gene-3.89-mRNA-1_1&gene=genemark-gi|1002316184|dbj|BCKO01000005.1|-processed-gene-3.89&CDS=1-2142	YLR144C, YNR067C
