	OrthologID	Ambrosiozyma_kashinagacola	Saccharomyces_cerevisiae
10	OG0000010	-processed-gene-1.128-mRNA-1_1&gene=augustus_masked-gi|1002316254|dbj|BCGA01000003.1|-processed-gene-1.128&CDS=1-1680, -processed-gene-2.5-mRNA-1_1&gene=augustus_masked-gi|1002316250|dbj|BCGA01000007.1|-processed-gene-2.5&CDS=1-3432, -processed-gene-6.26-mRNA-1_1&gene=augustus_masked-gi|1002316251|dbj|BCGA01000006.1|-processed-gene-6.26&CDS=1-1710, -processed-gene-9.22-mRNA-1_1&gene=augustus_masked-gi|1002316256|dbj|BCGA01000001.1|-processed-gene-9.22&CDS=1-1641	YCL069W, YGR224W, YKR105C, YPR198W
11	OG0000011	-processed-gene-0.109-mRNA-1_1&gene=augustus_masked-gi|1002316256|dbj|BCGA01000001.1|-processed-gene-0.109&CDS=1-3801, -processed-gene-7.197-mRNA-1_1&gene=augustus_masked-gi|1002316250|dbj|BCGA01000007.1|-processed-gene-7.197&CDS=1-975	YAL063C, YAL064C-A, YAR050W, YHR211W, YHR213W, YKR102W
12	OG0000012	-processed-gene-0.41-mRNA-1_1&gene=augustus_masked-gi|1002316245|dbj|BCGA01000012.1|-processed-gene-0.41&CDS=1-2178, -processed-gene-5.36-mRNA-1_1&gene=augustus_masked-gi|1002316248|dbj|BCGA01000009.1|-processed-gene-5.36&CDS=1-2112	YKL220C, YLL051C, YNR060W, YOR381W, YOR384W
13	OG0000013	-processed-gene-1.133-mRNA-1_1&gene=augustus_masked-gi|1002316245|dbj|BCGA01000012.1|-processed-gene-1.133&CDS=1-1872	YCL073C, YEL065W, YHL040C, YHL047C, YKR106W, YOL158C
14	OG0000014	-processed-gene-0.102-mRNA-1_1&gene=augustus_masked-gi|1002316254|dbj|BCGA01000003.1|-processed-gene-0.102&CDS=1-1896, -processed-gene-0.61-mRNA-1_1&gene=augustus_masked-gi|1002316247|dbj|BCGA01000010.1|-processed-gene-0.61&CDS=1-1944, -processed-gene-5.25-mRNA-1_1&gene=augustus_masked-gi|1002316253|dbj|BCGA01000004.1|-processed-gene-5.25&CDS=1-2175, -processed-gene-5.98-mRNA-1_1&gene=genemark-gi|1002316254|dbj|BCGA01000003.1|-processed-gene-5.98&CDS=1-1359	YFL021W, YJL110C, YKR034W
15	OG0000015	-processed-gene-0.116-mRNA-1_1&gene=augustus_masked-gi|1002316252|dbj|BCGA01000005.1|-processed-gene-0.116&CDS=1-4173, -processed-gene-1.90-mRNA-1_1&gene=augustus_masked-gi|1002316248|dbj|BCGA01000009.1|-processed-gene-1.90&CDS=1-4116, -processed-gene-11.28-mRNA-1_1&gene=augustus_masked-gi|1002316253|dbj|BCGA01000004.1|-processed-gene-11.28&CDS=1-4143, -processed-gene-12.135-mRNA-1_1&gene=genemark-gi|1002316256|dbj|BCGA01000001.1|-processed-gene-12.135&CDS=1-4146, -processed-gene-4.6-mRNA-1_1&gene=augustus_masked-gi|1002316253|dbj|BCGA01000004.1|-processed-gene-4.6&CDS=1-4128, -snap-gene-8.105-mRNA-1_1&gene=maker-gi|1002316252|dbj|BCGA01000005.1|-snap-gene-8.105&CDS=1-8238	YGR281W
16	OG0000016	-processed-gene-1.112-mRNA-1_1&gene=augustus_masked-gi|1002316252|dbj|BCGA01000005.1|-processed-gene-1.112&CDS=1-1200, -processed-gene-1.90-mRNA-1_1&gene=genemark-gi|1002316255|dbj|BCGA01000002.1|-processed-gene-1.90&CDS=1-1209, -processed-gene-11.133-mRNA-1_1&gene=genemark-gi|1002316254|dbj|BCGA01000003.1|-processed-gene-11.133&CDS=1-1212, -processed-gene-2.101-mRNA-1_1&gene=augustus_masked-gi|1002316256|dbj|BCGA01000001.1|-processed-gene-2.101&CDS=1-1191, -snap-gene-5.123-mRNA-1_1&gene=maker-gi|1002316255|dbj|BCGA01000002.1|-snap-gene-5.123&CDS=1-2382	YHR179W, YPL171C
17	OG0000017	-augustus-gene-0.0-mRNA-1_1&gene=maker-gi|1002316256|dbj|BCGA01000001.1|-augustus-gene-0.0&CDS=1-1764, -processed-gene-0.35-mRNA-1_1&gene=augustus_masked-gi|1002316242|dbj|BCGA01000015.1|-processed-gene-0.35&CDS=1-1761, -processed-gene-0.48-mRNA-1_1&gene=augustus_masked-gi|1002316247|dbj|BCGA01000010.1|-processed-gene-0.48&CDS=1-1746, -processed-gene-3.200-mRNA-1_1&gene=augustus_masked-gi|1002316247|dbj|BCGA01000010.1|-processed-gene-3.200&CDS=1-1890, -processed-gene-5.124-mRNA-1_1&gene=augustus_masked-gi|1002316256|dbj|BCGA01000001.1|-processed-gene-5.124&CDS=1-1770	YKR039W
18	OG0000018	-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-gi|1002316246|dbj|BCGA01000011.1|-processed-gene-0.14&CDS=1-1224, -processed-gene-0.45-mRNA-1_1&gene=augustus_masked-gi|1002316247|dbj|BCGA01000010.1|-processed-gene-0.45&CDS=1-1185, -processed-gene-0.95-mRNA-1_1&gene=genemark-gi|1002316253|dbj|BCGA01000004.1|-processed-gene-0.95&CDS=1-1194, -processed-gene-3.123-mRNA-1_1&gene=augustus_masked-gi|1002316255|dbj|BCGA01000002.1|-processed-gene-3.123&CDS=1-1272, -processed-gene-3.124-mRNA-1_1&gene=augustus_masked-gi|1002316255|dbj|BCGA01000002.1|-processed-gene-3.124&CDS=1-1146	YOR049C
19	OG0000019	-processed-gene-3.133-mRNA-1_1&gene=augustus_masked-gi|1002316246|dbj|BCGA01000011.1|-processed-gene-3.133&CDS=1-1431	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W
20	OG0000020	-processed-gene-0.133-mRNA-1_1&gene=snap_masked-gi|1002316255|dbj|BCGA01000002.1|-processed-gene-0.133&CDS=1-1416, -processed-gene-0.69-mRNA-1_1&gene=augustus_masked-gi|1002316255|dbj|BCGA01000002.1|-processed-gene-0.69&CDS=1-1470, -processed-gene-0.70-mRNA-1_1&gene=augustus_masked-gi|1002316255|dbj|BCGA01000002.1|-processed-gene-0.70&CDS=1-1458, -processed-gene-6.194-mRNA-1_1&gene=augustus_masked-gi|1002316249|dbj|BCGA01000008.1|-processed-gene-6.194&CDS=1-1449	YOL119C, YOR306C
21	OG0000021	-processed-gene-12.231-mRNA-1_1&gene=augustus_masked-gi|1002316253|dbj|BCGA01000004.1|-processed-gene-12.231&CDS=1-4623, -processed-gene-6.37-mRNA-1_1&gene=augustus_masked-gi|1002316250|dbj|BCGA01000007.1|-processed-gene-6.37&CDS=1-4566	YBL017C, YIL173W, YJL222W, YNR065C
22	OG0000022	-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-gi|1002316253|dbj|BCGA01000004.1|-processed-gene-0.23&CDS=1-1551, -processed-gene-0.8-mRNA-1_1&gene=augustus_masked-gi|1002316253|dbj|BCGA01000004.1|-processed-gene-0.8&CDS=1-1593, -processed-gene-1.43-mRNA-1_1&gene=augustus_masked-gi|1002316253|dbj|BCGA01000004.1|-processed-gene-1.43&CDS=1-1578, -processed-gene-12.94-mRNA-1_1&gene=augustus_masked-gi|1002316254|dbj|BCGA01000003.1|-processed-gene-12.94&CDS=1-1596	YJR152W, YLR004C
23	OG0000023	-processed-gene-13.168-mRNA-1_1&gene=genemark-gi|1002316255|dbj|BCGA01000002.1|-processed-gene-13.168&CDS=1-1116, -processed-gene-5.140-mRNA-1_1&gene=augustus_masked-gi|1002316254|dbj|BCGA01000003.1|-processed-gene-5.140&CDS=1-1044, -processed-gene-8.92-mRNA-1_1&gene=augustus_masked-gi|1002316256|dbj|BCGA01000001.1|-processed-gene-8.92&CDS=1-1044	YMR083W, YMR303C, YOL086C
24	OG0000024	-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-gi|1002316240|dbj|BCGA01000017.1|-processed-gene-0.1&CDS=1-1647, -processed-gene-0.6-mRNA-1_1&gene=augustus_masked-gi|1002316239|dbj|BCGA01000018.1|-processed-gene-0.6&CDS=1-1647, -processed-gene-5.16-mRNA-1_1&gene=augustus_masked-gi|1002316248|dbj|BCGA01000009.1|-processed-gene-5.16&CDS=1-1629	YBR139W, YMR297W
25	OG0000025	-augustus-gene-7.1-mRNA-1_1&gene=maker-gi|1002316254|dbj|BCGA01000003.1|-augustus-gene-7.1&CDS=1-2019, -processed-gene-0.129-mRNA-1_1&gene=augustus_masked-gi|1002316250|dbj|BCGA01000007.1|-processed-gene-0.129&CDS=1-1032, -processed-gene-0.80-mRNA-1_1&gene=augustus_masked-gi|1002316243|dbj|BCGA01000014.1|-processed-gene-0.80&CDS=1-1047, -processed-gene-3.127-mRNA-1_1&gene=augustus_masked-gi|1002316246|dbj|BCGA01000011.1|-processed-gene-3.127&CDS=1-1023	YDL144C
26	OG0000026	-processed-gene-0.129-mRNA-1_1&gene=augustus_masked-gi|1002316243|dbj|BCGA01000014.1|-processed-gene-0.129&CDS=1-2526, -processed-gene-1.127-mRNA-1_1&gene=augustus_masked-gi|1002316254|dbj|BCGA01000003.1|-processed-gene-1.127&CDS=1-2967	YDR385W, YKL173W, YOR133W
27	OG0000027	-processed-gene-0.201-mRNA-1_1&gene=genemark-gi|1002316243|dbj|BCGA01000014.1|-processed-gene-0.201&CDS=1-2241, -processed-gene-0.29-mRNA-1_1&gene=augustus_masked-gi|1002316246|dbj|BCGA01000011.1|-processed-gene-0.29&CDS=1-1359, -processed-gene-3.111-mRNA-1_1&gene=genemark-gi|1002316247|dbj|BCGA01000010.1|-processed-gene-3.111&CDS=1-1602	YDL037C, YIR019C
28	OG0000028	-processed-gene-0.47-mRNA-1_1&gene=augustus_masked-gi|1002316244|dbj|BCGA01000013.1|-processed-gene-0.47&CDS=1-1092, -processed-gene-1.102-mRNA-1_1&gene=augustus_masked-gi|1002316248|dbj|BCGA01000009.1|-processed-gene-1.102&CDS=1-1092, -processed-gene-2.12-mRNA-1_1&gene=augustus_masked-gi|1002316248|dbj|BCGA01000009.1|-processed-gene-2.12&CDS=1-1014, -snap-gene-0.2-mRNA-1_1&gene=maker-gi|1002316244|dbj|BCGA01000013.1|-snap-gene-0.2&CDS=1-1998	YKL128C
29	OG0000029	-processed-gene-1.18-mRNA-1_1&gene=augustus_masked-gi|1002316244|dbj|BCGA01000013.1|-processed-gene-1.18&CDS=1-2568, -processed-gene-8.107-mRNA-1_1&gene=augustus_masked-gi|1002316256|dbj|BCGA01000001.1|-processed-gene-8.107&CDS=1-2622	YCR037C, YJL198W, YNR013C
30	OG0000030	-processed-gene-2.54-mRNA-1_1&gene=snap_masked-gi|1002316244|dbj|BCGA01000013.1|-processed-gene-2.54&CDS=1-1077, -processed-gene-6.121-mRNA-1_1&gene=augustus_masked-gi|1002316255|dbj|BCGA01000002.1|-processed-gene-6.121&CDS=1-933	YOL055C, YPL258C, YPR121W
31	OG0000031	-processed-gene-10.22-mRNA-1_1&gene=augustus_masked-gi|1002316253|dbj|BCGA01000004.1|-processed-gene-10.22&CDS=1-1815, -processed-gene-2.10-mRNA-1_1&gene=augustus_masked-gi|1002316244|dbj|BCGA01000013.1|-processed-gene-2.10&CDS=1-2262	YCR065W, YIL131C, YNL068C
32	OG0000032	-augustus-gene-2.47-mRNA-1_1&gene=maker-gi|1002316246|dbj|BCGA01000011.1|-augustus-gene-2.47&CDS=1-4161, -processed-gene-6.97-mRNA-1_1&gene=augustus_masked-gi|1002316256|dbj|BCGA01000001.1|-processed-gene-6.97&CDS=1-3717	YML072C, YNL087W, YOR086C
33	OG0000033	-processed-gene-4.19-mRNA-1_1&gene=augustus_masked-gi|1002316251|dbj|BCGA01000006.1|-processed-gene-4.19&CDS=1-1821, -processed-gene-5.82-mRNA-1_1&gene=augustus_masked-gi|1002316248|dbj|BCGA01000009.1|-processed-gene-5.82&CDS=1-1650, -snap-gene-3.153-mRNA-1_1&gene=maker-gi|1002316247|dbj|BCGA01000010.1|-snap-gene-3.153&CDS=1-1215	YER133W, YML016C
34	OG0000034	-processed-gene-0.22-mRNA-1_1&gene=augustus_masked-gi|1002316248|dbj|BCGA01000009.1|-processed-gene-0.22&CDS=1-1338	YBR297W, YFL052W, YGR288W, YPR196W
35	OG0000035	-processed-gene-1.128-mRNA-1_1&gene=augustus_masked-gi|1002316248|dbj|BCGA01000009.1|-processed-gene-1.128&CDS=1-2121, -processed-gene-12.190-mRNA-1_1&gene=augustus_masked-gi|1002316253|dbj|BCGA01000004.1|-processed-gene-12.190&CDS=1-1920	YOR389W, YPL277C, YPL278C
36	OG0000036	-augustus-gene-13.45-mRNA-1_1&gene=maker-gi|1002316254|dbj|BCGA01000003.1|-augustus-gene-13.45&CDS=1-1704, -augustus-gene-7.68-mRNA-1_1&gene=maker-gi|1002316250|dbj|BCGA01000007.1|-augustus-gene-7.68&CDS=1-1707, -processed-gene-7.108-mRNA-1_1&gene=augustus_masked-gi|1002316251|dbj|BCGA01000006.1|-processed-gene-7.108&CDS=1-1785, -snap-gene-2.49-mRNA-1_1&gene=maker-gi|1002316248|dbj|BCGA01000009.1|-snap-gene-2.49&CDS=1-3324	YBR132C
37	OG0000037	-processed-gene-3.105-mRNA-1_1&gene=augustus_masked-gi|1002316248|dbj|BCGA01000009.1|-processed-gene-3.105&CDS=1-1869, -processed-gene-3.31-mRNA-1_1&gene=augustus_masked-gi|1002316249|dbj|BCGA01000008.1|-processed-gene-3.31&CDS=1-1497	YER028C, YGL035C, YGL209W
38	OG0000038	-processed-gene-1.21-mRNA-1_1&gene=augustus_masked-gi|1002316249|dbj|BCGA01000008.1|-processed-gene-1.21&CDS=1-1608, -processed-gene-5.135-mRNA-1_1&gene=augustus_masked-gi|1002316254|dbj|BCGA01000003.1|-processed-gene-5.135&CDS=1-264	YBR089C-A, YDL002C, YPR052C
39	OG0000039	-processed-gene-2.43-mRNA-1_1&gene=augustus_masked-gi|1002316250|dbj|BCGA01000007.1|-processed-gene-2.43&CDS=1-1947, -processed-gene-3.28-mRNA-1_1&gene=augustus_masked-gi|1002316249|dbj|BCGA01000008.1|-processed-gene-3.28&CDS=1-1938, -processed-gene-8.148-mRNA-1_1&gene=augustus_masked-gi|1002316252|dbj|BCGA01000005.1|-processed-gene-8.148&CDS=1-2007	YJL034W, YLL024C
40	OG0000040	-processed-gene-14.69-mRNA-1_1&gene=augustus_masked-gi|1002316254|dbj|BCGA01000003.1|-processed-gene-14.69&CDS=1-1320, -processed-gene-5.9-mRNA-1_1&gene=augustus_masked-gi|1002316249|dbj|BCGA01000008.1|-processed-gene-5.9&CDS=1-1161, -processed-gene-9.40-mRNA-1_1&gene=augustus_masked-gi|1002316256|dbj|BCGA01000001.1|-processed-gene-9.40&CDS=1-1206	YBR207W, YER145C
41	OG0000041	-processed-gene-4.119-mRNA-1_1&gene=augustus_masked-gi|1002316252|dbj|BCGA01000005.1|-processed-gene-4.119&CDS=1-1575, -snap-gene-4.170-mRNA-1_1&gene=maker-gi|1002316252|dbj|BCGA01000005.1|-snap-gene-4.170&CDS=1-3111	YER056C, YER060W, YER060W-A
42	OG0000042	-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-gi|1002316253|dbj|BCGA01000004.1|-processed-gene-0.24&CDS=1-1050	YDR541C, YGL039W, YGL157W, YOL151W
43	OG0000043	-processed-gene-14.65-mRNA-1_1&gene=augustus_masked-gi|1002316254|dbj|BCGA01000003.1|-processed-gene-14.65&CDS=1-1695, -processed-gene-2.104-mRNA-1_1&gene=augustus_masked-gi|1002316253|dbj|BCGA01000004.1|-processed-gene-2.104&CDS=1-1725	YGR087C, YLR044C, YLR134W
44	OG0000044	-processed-gene-4.40-mRNA-1_1&gene=augustus_masked-gi|1002316253|dbj|BCGA01000004.1|-processed-gene-4.40&CDS=1-1446	YGR109W-A, YGR109W-B, YIL082W, YIL082W-A
45	OG0000045	-processed-gene-14.124-mRNA-1_1&gene=augustus_masked-gi|1002316256|dbj|BCGA01000001.1|-processed-gene-14.124&CDS=1-1596, -processed-gene-6.3-mRNA-1_1&gene=augustus_masked-gi|1002316253|dbj|BCGA01000004.1|-processed-gene-6.3&CDS=1-1872, -processed-gene-6.4-mRNA-1_1&gene=augustus_masked-gi|1002316253|dbj|BCGA01000004.1|-processed-gene-6.4&CDS=1-2397	YGR197C, YJR015W
