	OrthologID	Saccharomyces_cerevisiae	yHMPu5000035659_Saturnispora_dispora
10	OG0000010	YDR385W, YKL173W, YNL163C, YOR133W	augustus_masked-NODE_10_length_245165_cov_16.6148_ID_19-processed-gene-0.58-mRNA-1_1&gene=augustus_masked-NODE_10_length_245165_cov_16.6148_ID_19-processed-gene-0.58&CDS=1-3399, augustus_masked-NODE_1_length_433307_cov_13.4139_ID_1-processed-gene-1.16-mRNA-1_1&gene=augustus_masked-NODE_1_length_433307_cov_13.4139_ID_1-processed-gene-1.16&CDS=1-2988, augustus_masked-NODE_3_length_385180_cov_19.4344_ID_5-processed-gene-1.56-mRNA-1_1&gene=augustus_masked-NODE_3_length_385180_cov_19.4344_ID_5-processed-gene-1.56&CDS=1-2883
11	OG0000011	YGR169C, YLR287C, YOL066C	augustus_masked-NODE_17_length_217078_cov_19.5731_ID_33-processed-gene-1.125-mRNA-1_1&gene=augustus_masked-NODE_17_length_217078_cov_19.5731_ID_33-processed-gene-1.125&CDS=1-1215, maker-NODE_3_length_385180_cov_19.4344_ID_5-augustus-gene-2.189-mRNA-1_1&gene=maker-NODE_3_length_385180_cov_19.4344_ID_5-augustus-gene-2.189&CDS=1-1905, snap_masked-NODE_21_length_192997_cov_18.7535_ID_41-processed-gene-0.193-mRNA-1_1&gene=snap_masked-NODE_21_length_192997_cov_18.7535_ID_41-processed-gene-0.193&CDS=1-1728, snap_masked-NODE_22_length_184859_cov_14.5666_ID_43-processed-gene-0.224-mRNA-1_1&gene=snap_masked-NODE_22_length_184859_cov_14.5666_ID_43-processed-gene-0.224&CDS=1-1260
12	OG0000012	YIL038C, YJL172W, YOL153C	augustus_masked-NODE_14_length_239203_cov_13.5586_ID_27-processed-gene-0.46-mRNA-1_1&gene=augustus_masked-NODE_14_length_239203_cov_13.5586_ID_27-processed-gene-0.46&CDS=1-3045, augustus_masked-NODE_28_length_155222_cov_15.9409_ID_55-processed-gene-0.110-mRNA-1_1&gene=augustus_masked-NODE_28_length_155222_cov_15.9409_ID_55-processed-gene-0.110&CDS=1-1896, augustus_masked-NODE_5_length_372571_cov_13.8421_ID_9-processed-gene-2.19-mRNA-1_1&gene=augustus_masked-NODE_5_length_372571_cov_13.8421_ID_9-processed-gene-2.19&CDS=1-4242, snap_masked-NODE_51_length_55298_cov_15.9336_ID_101-processed-gene-0.24-mRNA-1_1&gene=snap_masked-NODE_51_length_55298_cov_15.9336_ID_101-processed-gene-0.24&CDS=1-1731
13	OG0000013	YLR212C, YOL119C, YOR306C	augustus_masked-NODE_11_length_244494_cov_14.5393_ID_21-processed-gene-1.130-mRNA-1_1&gene=augustus_masked-NODE_11_length_244494_cov_14.5393_ID_21-processed-gene-1.130&CDS=1-2634, augustus_masked-NODE_12_length_241223_cov_13.3852_ID_23-processed-gene-1.52-mRNA-1_1&gene=augustus_masked-NODE_12_length_241223_cov_13.3852_ID_23-processed-gene-1.52&CDS=1-4773, augustus_masked-NODE_3_length_385180_cov_19.4344_ID_5-processed-gene-2.20-mRNA-1_1&gene=augustus_masked-NODE_3_length_385180_cov_19.4344_ID_5-processed-gene-2.20&CDS=1-1593, augustus_masked-NODE_68_length_20500_cov_28.1319_ID_135-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_68_length_20500_cov_28.1319_ID_135-processed-gene-0.0&CDS=1-1581
14	OG0000014	YMR169C, YMR170C, YOR374W	augustus_masked-NODE_19_length_205091_cov_16.4028_ID_37-processed-gene-0.112-mRNA-1_1&gene=augustus_masked-NODE_19_length_205091_cov_16.4028_ID_37-processed-gene-0.112&CDS=1-1491, augustus_masked-NODE_2_length_413142_cov_13.6053_ID_3-processed-gene-3.170-mRNA-1_1&gene=augustus_masked-NODE_2_length_413142_cov_13.6053_ID_3-processed-gene-3.170&CDS=1-1557, augustus_masked-NODE_3_length_385180_cov_19.4344_ID_5-processed-gene-1.60-mRNA-1_1&gene=augustus_masked-NODE_3_length_385180_cov_19.4344_ID_5-processed-gene-1.60&CDS=1-1482, augustus_masked-NODE_3_length_385180_cov_19.4344_ID_5-processed-gene-2.36-mRNA-1_1&gene=augustus_masked-NODE_3_length_385180_cov_19.4344_ID_5-processed-gene-2.36&CDS=1-1551
15	OG0000015	YAL026C, YGL257C, YNR059W	augustus_masked-NODE_1_length_433307_cov_13.4139_ID_1-processed-gene-2.106-mRNA-1_1&gene=augustus_masked-NODE_1_length_433307_cov_13.4139_ID_1-processed-gene-2.106&CDS=1-1857, augustus_masked-NODE_34_length_105913_cov_14.4426_ID_67-processed-gene-0.86-mRNA-1_1&gene=augustus_masked-NODE_34_length_105913_cov_14.4426_ID_67-processed-gene-0.86&CDS=1-2703, genemark-NODE_5_length_372571_cov_13.8421_ID_9-processed-gene-2.205-mRNA-1_1&gene=genemark-NODE_5_length_372571_cov_13.8421_ID_9-processed-gene-2.205&CDS=1-5814
16	OG0000016	YAL063C, YAL064C-A, YAR050W, YHR211W, YHR213W, YKR102W	
17	OG0000017	YBR015C, YJL186W	augustus_masked-NODE_13_length_240495_cov_14.5375_ID_25-processed-gene-0.51-mRNA-1_1&gene=augustus_masked-NODE_13_length_240495_cov_14.5375_ID_25-processed-gene-0.51&CDS=1-1953, augustus_masked-NODE_29_length_133825_cov_22.1428_ID_57-processed-gene-0.186-mRNA-1_1&gene=augustus_masked-NODE_29_length_133825_cov_22.1428_ID_57-processed-gene-0.186&CDS=1-2007, maker-NODE_27_length_155524_cov_13.7962_ID_53-augustus-gene-0.225-mRNA-1_1&gene=maker-NODE_27_length_155524_cov_13.7962_ID_53-augustus-gene-0.225&CDS=1-2607, snap_masked-NODE_8_length_274536_cov_13.0098_ID_15-processed-gene-1.69-mRNA-1_1&gene=snap_masked-NODE_8_length_274536_cov_13.0098_ID_15-processed-gene-1.69&CDS=1-2361
18	OG0000018	YBR028C, YPL203W	augustus_masked-NODE_11_length_244494_cov_14.5393_ID_21-processed-gene-1.119-mRNA-1_1&gene=augustus_masked-NODE_11_length_244494_cov_14.5393_ID_21-processed-gene-1.119&CDS=1-2259, augustus_masked-NODE_30_length_126679_cov_13.5585_ID_59-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-NODE_30_length_126679_cov_13.5585_ID_59-processed-gene-0.8&CDS=1-1341, augustus_masked-NODE_46_length_61074_cov_15.2414_ID_91-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-NODE_46_length_61074_cov_15.2414_ID_91-processed-gene-0.10&CDS=1-1236, augustus_masked-NODE_5_length_372571_cov_13.8421_ID_9-processed-gene-2.4-mRNA-1_1&gene=augustus_masked-NODE_5_length_372571_cov_13.8421_ID_9-processed-gene-2.4&CDS=1-1266
19	OG0000019	YBR073W, YDL206W, YGL163C	augustus_masked-NODE_40_length_77596_cov_13.3017_ID_79-processed-gene-0.78-mRNA-1_1&gene=augustus_masked-NODE_40_length_77596_cov_13.3017_ID_79-processed-gene-0.78&CDS=1-2514, augustus_masked-NODE_9_length_256851_cov_14.1922_ID_17-processed-gene-1.136-mRNA-1_1&gene=augustus_masked-NODE_9_length_256851_cov_14.1922_ID_17-processed-gene-1.136&CDS=1-4284, snap_masked-NODE_26_length_159260_cov_14.2774_ID_51-processed-gene-0.213-mRNA-1_1&gene=snap_masked-NODE_26_length_159260_cov_14.2774_ID_51-processed-gene-0.213&CDS=1-2328
20	OG0000020	YBR237W, YDR243C, YNL112W	augustus_masked-NODE_7_length_339440_cov_13.1671_ID_13-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-NODE_7_length_339440_cov_13.1671_ID_13-processed-gene-0.10&CDS=1-2316, augustus_masked-NODE_9_length_256851_cov_14.1922_ID_17-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_9_length_256851_cov_14.1922_ID_17-processed-gene-0.2&CDS=1-1581, snap_masked-NODE_19_length_205091_cov_16.4028_ID_37-processed-gene-0.23-mRNA-1_1&gene=snap_masked-NODE_19_length_205091_cov_16.4028_ID_37-processed-gene-0.23&CDS=1-1521
21	OG0000021	YCL037C, YDL051W, YDR515W	augustus_masked-NODE_14_length_239203_cov_13.5586_ID_27-processed-gene-0.75-mRNA-1_1&gene=augustus_masked-NODE_14_length_239203_cov_13.5586_ID_27-processed-gene-0.75&CDS=1-1344, augustus_masked-NODE_21_length_192997_cov_18.7535_ID_41-processed-gene-0.245-mRNA-1_1&gene=augustus_masked-NODE_21_length_192997_cov_18.7535_ID_41-processed-gene-0.245&CDS=1-771, snap_masked-NODE_28_length_155222_cov_15.9409_ID_55-processed-gene-0.81-mRNA-1_1&gene=snap_masked-NODE_28_length_155222_cov_15.9409_ID_55-processed-gene-0.81&CDS=1-696
22	OG0000022	YDL025C, YNL183C, YOR267C	augustus_masked-NODE_24_length_170623_cov_13.7203_ID_47-processed-gene-0.261-mRNA-1_1&gene=augustus_masked-NODE_24_length_170623_cov_13.7203_ID_47-processed-gene-0.261&CDS=1-1764, augustus_masked-NODE_3_length_385180_cov_19.4344_ID_5-processed-gene-0.52-mRNA-1_1&gene=augustus_masked-NODE_3_length_385180_cov_19.4344_ID_5-processed-gene-0.52&CDS=1-6756, maker-NODE_3_length_385180_cov_19.4344_ID_5-snap-gene-1.0-mRNA-1_1&gene=maker-NODE_3_length_385180_cov_19.4344_ID_5-snap-gene-1.0&CDS=1-2787
23	OG0000023	YDL138W, YDL194W	augustus_masked-NODE_14_length_239203_cov_13.5586_ID_27-processed-gene-1.18-mRNA-1_1&gene=augustus_masked-NODE_14_length_239203_cov_13.5586_ID_27-processed-gene-1.18&CDS=1-1647, augustus_masked-NODE_22_length_184859_cov_14.5666_ID_43-processed-gene-0.177-mRNA-1_1&gene=augustus_masked-NODE_22_length_184859_cov_14.5666_ID_43-processed-gene-0.177&CDS=1-3420, augustus_masked-NODE_67_length_21197_cov_27.612_ID_133-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-NODE_67_length_21197_cov_27.612_ID_133-processed-gene-0.7&CDS=1-1647, genemark-NODE_41_length_76539_cov_14.5249_ID_81-processed-gene-0.23-mRNA-1_1&gene=genemark-NODE_41_length_76539_cov_14.5249_ID_81-processed-gene-0.23&CDS=1-2886
24	OG0000024	YDR342C, YDR343C, YDR345C, YHR092C, YLR081W	augustus_masked-NODE_2_length_413142_cov_13.6053_ID_3-processed-gene-1.22-mRNA-1_1&gene=augustus_masked-NODE_2_length_413142_cov_13.6053_ID_3-processed-gene-1.22&CDS=1-1587
25	OG0000025	YFL010C	augustus_masked-NODE_11_length_244494_cov_14.5393_ID_21-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_11_length_244494_cov_14.5393_ID_21-processed-gene-0.1&CDS=1-492, augustus_masked-NODE_29_length_133825_cov_22.1428_ID_57-processed-gene-0.161-mRNA-1_1&gene=augustus_masked-NODE_29_length_133825_cov_22.1428_ID_57-processed-gene-0.161&CDS=1-867, augustus_masked-NODE_34_length_105913_cov_14.4426_ID_67-processed-gene-0.107-mRNA-1_1&gene=augustus_masked-NODE_34_length_105913_cov_14.4426_ID_67-processed-gene-0.107&CDS=1-531, augustus_masked-NODE_4_length_384069_cov_13.5194_ID_7-processed-gene-0.112-mRNA-1_1&gene=augustus_masked-NODE_4_length_384069_cov_13.5194_ID_7-processed-gene-0.112&CDS=1-435, snap_masked-NODE_68_length_20500_cov_28.1319_ID_135-processed-gene-0.9-mRNA-1_1&gene=snap_masked-NODE_68_length_20500_cov_28.1319_ID_135-processed-gene-0.9&CDS=1-501
26	OG0000026	YFL029C, YKL139W, YPL031C	augustus_masked-NODE_31_length_120811_cov_13.3693_ID_61-processed-gene-0.107-mRNA-1_1&gene=augustus_masked-NODE_31_length_120811_cov_13.3693_ID_61-processed-gene-0.107&CDS=1-975, augustus_masked-NODE_6_length_370912_cov_13.7352_ID_11-processed-gene-1.82-mRNA-1_1&gene=augustus_masked-NODE_6_length_370912_cov_13.7352_ID_11-processed-gene-1.82&CDS=1-1530, augustus_masked-NODE_7_length_339440_cov_13.1671_ID_13-processed-gene-0.30-mRNA-1_1&gene=augustus_masked-NODE_7_length_339440_cov_13.1671_ID_13-processed-gene-0.30&CDS=1-960
27	OG0000027	YGR212W, YPL272C	augustus_masked-NODE_33_length_109861_cov_14.7525_ID_65-processed-gene-0.32-mRNA-1_1&gene=augustus_masked-NODE_33_length_109861_cov_14.7525_ID_65-processed-gene-0.32&CDS=1-1269, augustus_masked-NODE_33_length_109861_cov_14.7525_ID_65-processed-gene-0.33-mRNA-1_1&gene=augustus_masked-NODE_33_length_109861_cov_14.7525_ID_65-processed-gene-0.33&CDS=1-1413, augustus_masked-NODE_41_length_76539_cov_14.5249_ID_81-processed-gene-0.50-mRNA-1_1&gene=augustus_masked-NODE_41_length_76539_cov_14.5249_ID_81-processed-gene-0.50&CDS=1-1386, snap_masked-NODE_40_length_77596_cov_13.3017_ID_79-processed-gene-0.100-mRNA-1_1&gene=snap_masked-NODE_40_length_77596_cov_13.3017_ID_79-processed-gene-0.100&CDS=1-1338
28	OG0000028		augustus_masked-NODE_35_length_97715_cov_13.3424_ID_69-processed-gene-0.144-mRNA-1_1&gene=augustus_masked-NODE_35_length_97715_cov_13.3424_ID_69-processed-gene-0.144&CDS=1-2304, augustus_masked-NODE_51_length_55298_cov_15.9336_ID_101-processed-gene-0.37-mRNA-1_1&gene=augustus_masked-NODE_51_length_55298_cov_15.9336_ID_101-processed-gene-0.37&CDS=1-2661, augustus_masked-NODE_7_length_339440_cov_13.1671_ID_13-processed-gene-2.14-mRNA-1_1&gene=augustus_masked-NODE_7_length_339440_cov_13.1671_ID_13-processed-gene-2.14&CDS=1-1698, genemark-NODE_21_length_192997_cov_18.7535_ID_41-processed-gene-0.16-mRNA-1_1&gene=genemark-NODE_21_length_192997_cov_18.7535_ID_41-processed-gene-0.16&CDS=1-972, snap_masked-NODE_33_length_109861_cov_14.7525_ID_65-processed-gene-0.41-mRNA-1_1&gene=snap_masked-NODE_33_length_109861_cov_14.7525_ID_65-processed-gene-0.41&CDS=1-540, snap_masked-NODE_6_length_370912_cov_13.7352_ID_11-processed-gene-2.202-mRNA-1_1&gene=snap_masked-NODE_6_length_370912_cov_13.7352_ID_11-processed-gene-2.202&CDS=1-3177
29	OG0000029	YAL053W, YGL139W, YPL221W	augustus_masked-NODE_20_length_198251_cov_12.8437_ID_39-processed-gene-0.74-mRNA-1_1&gene=augustus_masked-NODE_20_length_198251_cov_12.8437_ID_39-processed-gene-0.74&CDS=1-2115, snap_masked-NODE_20_length_198251_cov_12.8437_ID_39-processed-gene-0.125-mRNA-1_1&gene=snap_masked-NODE_20_length_198251_cov_12.8437_ID_39-processed-gene-0.125&CDS=1-2394
