	OrthologID	Saccharomyces_cerevisiae	yHMPu5000034660_Diddensiella_caesifluorescens
10	OG0000010	YCL069W, YGR224W, YKR105C, YPR198W	snap_masked-NODE_19_length_153970_cov_37.8582_ID_37-processed-gene-0.129-mRNA-1_1&gene=snap_masked-NODE_19_length_153970_cov_37.8582_ID_37-processed-gene-0.129&CDS=1-1827, snap_masked-NODE_4_length_800366_cov_39.2428_ID_7-processed-gene-1.100-mRNA-1_1&gene=snap_masked-NODE_4_length_800366_cov_39.2428_ID_7-processed-gene-1.100&CDS=1-1695
11	OG0000011	YDL138W, YDL194W	snap_masked-NODE_1_length_2279773_cov_38.2437_ID_1-processed-gene-20.142-mRNA-1_1&gene=snap_masked-NODE_1_length_2279773_cov_38.2437_ID_1-processed-gene-20.142&CDS=1-1539, snap_masked-NODE_2_length_1415131_cov_38.5823_ID_3-processed-gene-0.64-mRNA-1_1&gene=snap_masked-NODE_2_length_1415131_cov_38.5823_ID_3-processed-gene-0.64&CDS=1-1551, snap_masked-NODE_2_length_1415131_cov_38.5823_ID_3-processed-gene-0.65-mRNA-1_1&gene=snap_masked-NODE_2_length_1415131_cov_38.5823_ID_3-processed-gene-0.65&CDS=1-1551, snap_masked-NODE_2_length_1415131_cov_38.5823_ID_3-processed-gene-0.66-mRNA-1_1&gene=snap_masked-NODE_2_length_1415131_cov_38.5823_ID_3-processed-gene-0.66&CDS=1-1557
12	OG0000012	YDR242W	augustus_masked-NODE_2_length_1415131_cov_38.5823_ID_3-processed-gene-9.43-mRNA-1_1&gene=augustus_masked-NODE_2_length_1415131_cov_38.5823_ID_3-processed-gene-9.43&CDS=1-1635, snap_masked-NODE_13_length_269693_cov_38.1254_ID_25-processed-gene-1.256-mRNA-1_1&gene=snap_masked-NODE_13_length_269693_cov_38.1254_ID_25-processed-gene-1.256&CDS=1-1611, snap_masked-NODE_20_length_152828_cov_41.9428_ID_39-processed-gene-0.114-mRNA-1_1&gene=snap_masked-NODE_20_length_152828_cov_41.9428_ID_39-processed-gene-0.114&CDS=1-1641, snap_masked-NODE_2_length_1415131_cov_38.5823_ID_3-processed-gene-1.35-mRNA-1_1&gene=snap_masked-NODE_2_length_1415131_cov_38.5823_ID_3-processed-gene-1.35&CDS=1-1674, snap_masked-NODE_2_length_1415131_cov_38.5823_ID_3-processed-gene-6.66-mRNA-1_1&gene=snap_masked-NODE_2_length_1415131_cov_38.5823_ID_3-processed-gene-6.66&CDS=1-1632
13	OG0000013	YDR541C, YGL039W, YGL157W, YOL151W	snap_masked-NODE_2_length_1415131_cov_38.5823_ID_3-processed-gene-11.119-mRNA-1_1&gene=snap_masked-NODE_2_length_1415131_cov_38.5823_ID_3-processed-gene-11.119&CDS=1-1038, snap_masked-NODE_9_length_477053_cov_38.1667_ID_17-processed-gene-3.311-mRNA-1_1&gene=snap_masked-NODE_9_length_477053_cov_38.1667_ID_17-processed-gene-3.311&CDS=1-1062
14	OG0000014	YHR179W, YPL171C	augustus_masked-NODE_102_length_1230_cov_65.7274_ID_203-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_102_length_1230_cov_65.7274_ID_203-processed-gene-0.1&CDS=1-792, augustus_masked-NODE_111_length_1074_cov_70.4881_ID_221-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_111_length_1074_cov_70.4881_ID_221-processed-gene-0.2&CDS=1-1035, augustus_masked-NODE_156_length_701_cov_88.2017_ID_311-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_156_length_701_cov_88.2017_ID_311-processed-gene-0.1&CDS=1-699, genemark-NODE_195_length_484_cov_44.4397_ID_389-processed-gene-0.0-mRNA-1_1&gene=genemark-NODE_195_length_484_cov_44.4397_ID_389-processed-gene-0.0&CDS=1-420
15	OG0000015	YJL163C	augustus_masked-NODE_6_length_641012_cov_38.5042_ID_11-processed-gene-2.58-mRNA-1_1&gene=augustus_masked-NODE_6_length_641012_cov_38.5042_ID_11-processed-gene-2.58&CDS=1-1632, snap_masked-NODE_10_length_307200_cov_39.2786_ID_19-processed-gene-0.80-mRNA-1_1&gene=snap_masked-NODE_10_length_307200_cov_39.2786_ID_19-processed-gene-0.80&CDS=1-1635, snap_masked-NODE_10_length_307200_cov_39.2786_ID_19-processed-gene-0.81-mRNA-1_1&gene=snap_masked-NODE_10_length_307200_cov_39.2786_ID_19-processed-gene-0.81&CDS=1-1551, snap_masked-NODE_10_length_307200_cov_39.2786_ID_19-processed-gene-0.82-mRNA-1_1&gene=snap_masked-NODE_10_length_307200_cov_39.2786_ID_19-processed-gene-0.82&CDS=1-1650, snap_masked-NODE_2_length_1415131_cov_38.5823_ID_3-processed-gene-11.87-mRNA-1_1&gene=snap_masked-NODE_2_length_1415131_cov_38.5823_ID_3-processed-gene-11.87&CDS=1-1608
16	OG0000016	YKL055C	maker-NODE_8_length_576032_cov_38.907_ID_15-snap-gene-4.116-mRNA-1_1&gene=maker-NODE_8_length_576032_cov_38.907_ID_15-snap-gene-4.116&CDS=1-780, snap_masked-NODE_11_length_301523_cov_39.0428_ID_21-processed-gene-0.113-mRNA-1_1&gene=snap_masked-NODE_11_length_301523_cov_39.0428_ID_21-processed-gene-0.113&CDS=1-789, snap_masked-NODE_29_length_15126_cov_85.2779_ID_57-processed-gene-0.16-mRNA-1_1&gene=snap_masked-NODE_29_length_15126_cov_85.2779_ID_57-processed-gene-0.16&CDS=1-783, snap_masked-NODE_2_length_1415131_cov_38.5823_ID_3-processed-gene-1.20-mRNA-1_1&gene=snap_masked-NODE_2_length_1415131_cov_38.5823_ID_3-processed-gene-1.20&CDS=1-702, snap_masked-NODE_4_length_800366_cov_39.2428_ID_7-processed-gene-0.114-mRNA-1_1&gene=snap_masked-NODE_4_length_800366_cov_39.2428_ID_7-processed-gene-0.114&CDS=1-783
17	OG0000017	YKL220C, YLL051C, YNR060W, YOR381W, YOR384W	snap_masked-NODE_10_length_307200_cov_39.2786_ID_19-processed-gene-1.144-mRNA-1_1&gene=snap_masked-NODE_10_length_307200_cov_39.2786_ID_19-processed-gene-1.144&CDS=1-2253
18	OG0000018	YOR380W	genemark-NODE_2_length_1415131_cov_38.5823_ID_3-processed-gene-10.16-mRNA-1_1&gene=genemark-NODE_2_length_1415131_cov_38.5823_ID_3-processed-gene-10.16&CDS=1-1878, maker-NODE_29_length_15126_cov_85.2779_ID_57-augustus-gene-0.26-mRNA-1_1&gene=maker-NODE_29_length_15126_cov_85.2779_ID_57-augustus-gene-0.26&CDS=1-2127, maker-NODE_4_length_800366_cov_39.2428_ID_7-snap-gene-0.46-mRNA-1_1&gene=maker-NODE_4_length_800366_cov_39.2428_ID_7-snap-gene-0.46&CDS=1-2166, snap_masked-NODE_1_length_2279773_cov_38.2437_ID_1-processed-gene-15.139-mRNA-1_1&gene=snap_masked-NODE_1_length_2279773_cov_38.2437_ID_1-processed-gene-15.139&CDS=1-2103, snap_masked-NODE_20_length_152828_cov_41.9428_ID_39-processed-gene-0.127-mRNA-1_1&gene=snap_masked-NODE_20_length_152828_cov_41.9428_ID_39-processed-gene-0.127&CDS=1-1869
19	OG0000019	YBL017C, YIL173W, YJL222W, YNR065C	snap_masked-NODE_5_length_663820_cov_38.3927_ID_9-processed-gene-5.135-mRNA-1_1&gene=snap_masked-NODE_5_length_663820_cov_38.3927_ID_9-processed-gene-5.135&CDS=1-4500
20	OG0000020	YBR207W, YER145C	snap_masked-NODE_1_length_2279773_cov_38.2437_ID_1-processed-gene-9.59-mRNA-1_1&gene=snap_masked-NODE_1_length_2279773_cov_38.2437_ID_1-processed-gene-9.59&CDS=1-1215, snap_masked-NODE_4_length_800366_cov_39.2428_ID_7-processed-gene-0.121-mRNA-1_1&gene=snap_masked-NODE_4_length_800366_cov_39.2428_ID_7-processed-gene-0.121&CDS=1-1188, snap_masked-NODE_6_length_641012_cov_38.5042_ID_11-processed-gene-2.16-mRNA-1_1&gene=snap_masked-NODE_6_length_641012_cov_38.5042_ID_11-processed-gene-2.16&CDS=1-1164
21	OG0000021	YCR102C, YLR460C, YNL134C	snap_masked-NODE_5_length_663820_cov_38.3927_ID_9-processed-gene-0.55-mRNA-1_1&gene=snap_masked-NODE_5_length_663820_cov_38.3927_ID_9-processed-gene-0.55&CDS=1-1092, snap_masked-NODE_5_length_663820_cov_38.3927_ID_9-processed-gene-0.56-mRNA-1_1&gene=snap_masked-NODE_5_length_663820_cov_38.3927_ID_9-processed-gene-0.56&CDS=1-1092
22	OG0000022	YDL170W, YDR207C	maker-NODE_3_length_1094262_cov_38.3339_ID_5-snap-gene-9.398-mRNA-1_1&gene=maker-NODE_3_length_1094262_cov_38.3339_ID_5-snap-gene-9.398&CDS=1-1521, snap_masked-NODE_3_length_1094262_cov_38.3339_ID_5-processed-gene-1.76-mRNA-1_1&gene=snap_masked-NODE_3_length_1094262_cov_38.3339_ID_5-processed-gene-1.76&CDS=1-1347, snap_masked-NODE_6_length_641012_cov_38.5042_ID_11-processed-gene-5.166-mRNA-1_1&gene=snap_masked-NODE_6_length_641012_cov_38.5042_ID_11-processed-gene-5.166&CDS=1-1677
23	OG0000023	YDR034C	augustus_masked-NODE_1_length_2279773_cov_38.2437_ID_1-processed-gene-20.77-mRNA-1_1&gene=augustus_masked-NODE_1_length_2279773_cov_38.2437_ID_1-processed-gene-20.77&CDS=1-1212, augustus_masked-NODE_21_length_140861_cov_39.8063_ID_41-processed-gene-0.215-mRNA-1_1&gene=augustus_masked-NODE_21_length_140861_cov_39.8063_ID_41-processed-gene-0.215&CDS=1-1317, augustus_masked-NODE_2_length_1415131_cov_38.5823_ID_3-processed-gene-1.145-mRNA-1_1&gene=augustus_masked-NODE_2_length_1415131_cov_38.5823_ID_3-processed-gene-1.145&CDS=1-2739, snap_masked-NODE_21_length_140861_cov_39.8063_ID_41-processed-gene-0.141-mRNA-1_1&gene=snap_masked-NODE_21_length_140861_cov_39.8063_ID_41-processed-gene-0.141&CDS=1-1614
24	OG0000024	YDR107C, YER113C, YLR083C	augustus_masked-NODE_24_length_58360_cov_37.5362_ID_47-processed-gene-0.72-mRNA-1_1&gene=augustus_masked-NODE_24_length_58360_cov_37.5362_ID_47-processed-gene-0.72&CDS=1-1890, snap_masked-NODE_16_length_236730_cov_37.7939_ID_31-processed-gene-1.162-mRNA-1_1&gene=snap_masked-NODE_16_length_236730_cov_37.7939_ID_31-processed-gene-1.162&CDS=1-1896
25	OG0000025	YDR256C	augustus_masked-NODE_151_length_722_cov_68.9427_ID_301-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_151_length_722_cov_68.9427_ID_301-processed-gene-0.2&CDS=1-720, augustus_masked-NODE_20_length_152828_cov_41.9428_ID_39-processed-gene-0.41-mRNA-1_1&gene=augustus_masked-NODE_20_length_152828_cov_41.9428_ID_39-processed-gene-0.41&CDS=1-837, maker-NODE_2_length_1415131_cov_38.5823_ID_3-snap-gene-12.128-mRNA-1_1&gene=maker-NODE_2_length_1415131_cov_38.5823_ID_3-snap-gene-12.128&CDS=1-2049, snap_masked-NODE_63_length_2420_cov_60.4417_ID_125-processed-gene-0.1-mRNA-1_1&gene=snap_masked-NODE_63_length_2420_cov_60.4417_ID_125-processed-gene-0.1&CDS=1-1455
26	OG0000026	YDR385W, YKL173W, YOR133W	maker-NODE_1_length_2279773_cov_38.2437_ID_1-snap-gene-15.166-mRNA-1_1&gene=maker-NODE_1_length_2279773_cov_38.2437_ID_1-snap-gene-15.166&CDS=1-2526, maker-NODE_2_length_1415131_cov_38.5823_ID_3-snap-gene-8.109-mRNA-1_1&gene=maker-NODE_2_length_1415131_cov_38.5823_ID_3-snap-gene-8.109&CDS=1-2925
27	OG0000027	YDR533C, YMR322C, YOR391C, YPL280W	snap_masked-NODE_3_length_1094262_cov_38.3339_ID_5-processed-gene-1.53-mRNA-1_1&gene=snap_masked-NODE_3_length_1094262_cov_38.3339_ID_5-processed-gene-1.53&CDS=1-720
28	OG0000028	YEL007W, YHR177W	snap_masked-NODE_1_length_2279773_cov_38.2437_ID_1-processed-gene-2.103-mRNA-1_1&gene=snap_masked-NODE_1_length_2279773_cov_38.2437_ID_1-processed-gene-2.103&CDS=1-1320, snap_masked-NODE_2_length_1415131_cov_38.5823_ID_3-processed-gene-4.89-mRNA-1_1&gene=snap_masked-NODE_2_length_1415131_cov_38.5823_ID_3-processed-gene-4.89&CDS=1-1629, snap_masked-NODE_6_length_641012_cov_38.5042_ID_11-processed-gene-4.34-mRNA-1_1&gene=snap_masked-NODE_6_length_641012_cov_38.5042_ID_11-processed-gene-4.34&CDS=1-948
29	OG0000029	YGR070W, YLR371W, YLR425W	snap_masked-NODE_1_length_2279773_cov_38.2437_ID_1-processed-gene-0.113-mRNA-1_1&gene=snap_masked-NODE_1_length_2279773_cov_38.2437_ID_1-processed-gene-0.113&CDS=1-3858, snap_masked-NODE_2_length_1415131_cov_38.5823_ID_3-processed-gene-7.7-mRNA-1_1&gene=snap_masked-NODE_2_length_1415131_cov_38.5823_ID_3-processed-gene-7.7&CDS=1-4431
30	OG0000030	YGR248W, YHR163W, YNR034W	maker-NODE_4_length_800366_cov_39.2428_ID_7-snap-gene-2.170-mRNA-1_1&gene=maker-NODE_4_length_800366_cov_39.2428_ID_7-snap-gene-2.170&CDS=1-753, snap_masked-NODE_1_length_2279773_cov_38.2437_ID_1-processed-gene-6.167-mRNA-1_1&gene=snap_masked-NODE_1_length_2279773_cov_38.2437_ID_1-processed-gene-6.167&CDS=1-813
31	OG0000031	YHL039W, YHR109W, YPL208W	augustus_masked-NODE_12_length_299431_cov_39.0444_ID_23-processed-gene-1.238-mRNA-1_1&gene=augustus_masked-NODE_12_length_299431_cov_39.0444_ID_23-processed-gene-1.238&CDS=1-1500, snap_masked-NODE_3_length_1094262_cov_38.3339_ID_5-processed-gene-9.173-mRNA-1_1&gene=snap_masked-NODE_3_length_1094262_cov_38.3339_ID_5-processed-gene-9.173&CDS=1-1323
32	OG0000032	YJR126C, YOR256C, YPL176C	snap_masked-NODE_10_length_307200_cov_39.2786_ID_19-processed-gene-2.40-mRNA-1_1&gene=snap_masked-NODE_10_length_307200_cov_39.2786_ID_19-processed-gene-2.40&CDS=1-2214, snap_masked-NODE_1_length_2279773_cov_38.2437_ID_1-processed-gene-18.154-mRNA-1_1&gene=snap_masked-NODE_1_length_2279773_cov_38.2437_ID_1-processed-gene-18.154&CDS=1-2592
33	OG0000033	YLR004C	maker-NODE_14_length_259907_cov_40.013_ID_27-snap-gene-0.54-mRNA-1_1&gene=maker-NODE_14_length_259907_cov_40.013_ID_27-snap-gene-0.54&CDS=1-1488, snap_masked-NODE_11_length_301523_cov_39.0428_ID_21-processed-gene-2.156-mRNA-1_1&gene=snap_masked-NODE_11_length_301523_cov_39.0428_ID_21-processed-gene-2.156&CDS=1-1515, snap_masked-NODE_1_length_2279773_cov_38.2437_ID_1-processed-gene-15.156-mRNA-1_1&gene=snap_masked-NODE_1_length_2279773_cov_38.2437_ID_1-processed-gene-15.156&CDS=1-1542, snap_masked-NODE_5_length_663820_cov_38.3927_ID_9-processed-gene-1.69-mRNA-1_1&gene=snap_masked-NODE_5_length_663820_cov_38.3927_ID_9-processed-gene-1.69&CDS=1-1500
34	OG0000034	YLR098C, YOR337W	snap_masked-NODE_14_length_259907_cov_40.013_ID_27-processed-gene-1.239-mRNA-1_1&gene=snap_masked-NODE_14_length_259907_cov_40.013_ID_27-processed-gene-1.239&CDS=1-1683, snap_masked-NODE_4_length_800366_cov_39.2428_ID_7-processed-gene-4.61-mRNA-1_1&gene=snap_masked-NODE_4_length_800366_cov_39.2428_ID_7-processed-gene-4.61&CDS=1-1875, snap_masked-NODE_8_length_576032_cov_38.907_ID_15-processed-gene-4.187-mRNA-1_1&gene=snap_masked-NODE_8_length_576032_cov_38.907_ID_15-processed-gene-4.187&CDS=1-1752
35	OG0000035	YLR144C, YNR067C	maker-NODE_11_length_301523_cov_39.0428_ID_21-snap-gene-2.185-mRNA-1_1&gene=maker-NODE_11_length_301523_cov_39.0428_ID_21-snap-gene-2.185&CDS=1-2727, snap_masked-NODE_1_length_2279773_cov_38.2437_ID_1-processed-gene-15.162-mRNA-1_1&gene=snap_masked-NODE_1_length_2279773_cov_38.2437_ID_1-processed-gene-15.162&CDS=1-2127, snap_masked-NODE_2_length_1415131_cov_38.5823_ID_3-processed-gene-12.19-mRNA-1_1&gene=snap_masked-NODE_2_length_1415131_cov_38.5823_ID_3-processed-gene-12.19&CDS=1-2346
36	OG0000036	YAR019C, YDR523C	maker-NODE_4_length_800366_cov_39.2428_ID_7-snap-gene-6.75-mRNA-1_1&gene=maker-NODE_4_length_800366_cov_39.2428_ID_7-snap-gene-6.75&CDS=1-3285, snap_masked-NODE_16_length_236730_cov_37.7939_ID_31-processed-gene-1.115-mRNA-1_1&gene=snap_masked-NODE_16_length_236730_cov_37.7939_ID_31-processed-gene-1.115&CDS=1-1500
37	OG0000037	YBL068W-A, YBL069W, YER101C	snap_masked-NODE_14_length_259907_cov_40.013_ID_27-processed-gene-1.206-mRNA-1_1&gene=snap_masked-NODE_14_length_259907_cov_40.013_ID_27-processed-gene-1.206&CDS=1-1092
