	OrthologID	Clavispora_lusitaniae	Saccharomyces_cerevisiae
10	OG0000010	genemark-NW_003101576.1-processed-gene-17.86-mRNA-1_1&gene=genemark-NW_003101576.1-processed-gene-17.86&CDS=1-324, maker-NW_003101576.1-snap-gene-0.50-mRNA-1_1&gene=maker-NW_003101576.1-snap-gene-0.50&CDS=1-450, maker-NW_003101576.1-snap-gene-17.9-mRNA-1_1&gene=maker-NW_003101576.1-snap-gene-17.9&CDS=1-306	YLR154C-H, YLR156C-A, YLR157C-C, YLR159C-A
11	OG0000011	genemark-NW_003101578.1-processed-gene-8.49-mRNA-1_1&gene=genemark-NW_003101578.1-processed-gene-8.49&CDS=1-1641, genemark-NW_003101578.1-processed-gene-8.50-mRNA-1_1&gene=genemark-NW_003101578.1-processed-gene-8.50&CDS=1-1008, maker-NW_003101578.1-augustus-gene-8.119-mRNA-1_1&gene=maker-NW_003101578.1-augustus-gene-8.119&CDS=1-1878	YDR342C, YDR343C, YDR345C, YHR092C
12	OG0000012	genemark-NW_003101571.1-processed-gene-2.21-mRNA-1_1&gene=genemark-NW_003101571.1-processed-gene-2.21&CDS=1-660, genemark-NW_003101578.1-processed-gene-3.93-mRNA-1_1&gene=genemark-NW_003101578.1-processed-gene-3.93&CDS=1-1275, maker-NW_003101578.1-augustus-gene-7.50-mRNA-1_1&gene=maker-NW_003101578.1-augustus-gene-7.50&CDS=1-1326	YDR043C, YER028C, YGL209W
13	OG0000013	genemark-NW_003101571.1-processed-gene-4.84-mRNA-1_1&gene=genemark-NW_003101571.1-processed-gene-4.84&CDS=1-1650, genemark-NW_003101576.1-processed-gene-11.77-mRNA-1_1&gene=genemark-NW_003101576.1-processed-gene-11.77&CDS=1-1926, genemark-NW_003101578.1-processed-gene-6.75-mRNA-1_1&gene=genemark-NW_003101578.1-processed-gene-6.75&CDS=1-1578	YHR050W, YLR034C, YOL122C
14	OG0000014	genemark-NW_003101576.1-processed-gene-7.99-mRNA-1_1&gene=genemark-NW_003101576.1-processed-gene-7.99&CDS=1-2217, genemark-NW_003101576.1-processed-gene-9.110-mRNA-1_1&gene=genemark-NW_003101576.1-processed-gene-9.110&CDS=1-1311, maker-NW_003101572.1-snap-gene-2.0-mRNA-1_1&gene=maker-NW_003101572.1-snap-gene-2.0&CDS=1-930	YBR160W, YKL139W, YPR161C
15	OG0000015	maker-NW_003101572.1-snap-gene-2.2-mRNA-1_1&gene=maker-NW_003101572.1-snap-gene-2.2&CDS=1-1035, snap_masked-NW_003101574.1-processed-gene-0.111-mRNA-1_1&gene=snap_masked-NW_003101574.1-processed-gene-0.111&CDS=1-480	YBR189W, YBR191W, YPL079W, YPL081W
16	OG0000016	genemark-NW_003101575.1-processed-gene-14.107-mRNA-1_1&gene=genemark-NW_003101575.1-processed-gene-14.107&CDS=1-1575, genemark-NW_003101577.1-processed-gene-21.76-mRNA-1_1&gene=genemark-NW_003101577.1-processed-gene-21.76&CDS=1-1449, maker-NW_003101578.1-augustus-gene-0.128-mRNA-1_1&gene=maker-NW_003101578.1-augustus-gene-0.128&CDS=1-2961, snap_masked-NW_003101572.1-processed-gene-3.38-mRNA-1_1&gene=snap_masked-NW_003101572.1-processed-gene-3.38&CDS=1-1482	YGR127W, YGR260W
17	OG0000017	genemark-NW_003101572.1-processed-gene-4.38-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-4.38&CDS=1-1176, genemark-NW_003101578.1-processed-gene-13.42-mRNA-1_1&gene=genemark-NW_003101578.1-processed-gene-13.42&CDS=1-963, maker-NW_003101577.1-augustus-gene-0.48-mRNA-1_1&gene=maker-NW_003101577.1-augustus-gene-0.48&CDS=1-2532	YHL011C, YJR016C, YOL061W
18	OG0000018	augustus_masked-NW_003101573.1-processed-gene-3.11-mRNA-1_1&gene=augustus_masked-NW_003101573.1-processed-gene-3.11&CDS=1-1017, genemark-NW_003101573.1-processed-gene-0.23-mRNA-1_1&gene=genemark-NW_003101573.1-processed-gene-0.23&CDS=1-1038, genemark-NW_003101574.1-processed-gene-12.79-mRNA-1_1&gene=genemark-NW_003101574.1-processed-gene-12.79&CDS=1-1020, genemark-NW_003101577.1-processed-gene-1.77-mRNA-1_1&gene=genemark-NW_003101577.1-processed-gene-1.77&CDS=1-1020	YDR541C, YOL151W
19	OG0000019	genemark-NW_003101573.1-processed-gene-7.148-mRNA-1_1&gene=genemark-NW_003101573.1-processed-gene-7.148&CDS=1-1182, genemark-NW_003101574.1-processed-gene-12.80-mRNA-1_1&gene=genemark-NW_003101574.1-processed-gene-12.80&CDS=1-1146, genemark-NW_003101576.1-processed-gene-9.109-mRNA-1_1&gene=genemark-NW_003101576.1-processed-gene-9.109&CDS=1-1146, genemark-NW_003101578.1-processed-gene-8.72-mRNA-1_1&gene=genemark-NW_003101578.1-processed-gene-8.72&CDS=1-1152	YBR207W, YER145C
20	OG0000020	genemark-NW_003101574.1-processed-gene-2.37-mRNA-1_1&gene=genemark-NW_003101574.1-processed-gene-2.37&CDS=1-3807, genemark-NW_003101574.1-processed-gene-9.74-mRNA-1_1&gene=genemark-NW_003101574.1-processed-gene-9.74&CDS=1-4689, maker-NW_003101578.1-snap-gene-7.46-mRNA-1_1&gene=maker-NW_003101578.1-snap-gene-7.46&CDS=1-2538	YFR038W, YIL126W, YOR290C
21	OG0000021	genemark-NW_003101574.1-processed-gene-6.28-mRNA-1_1&gene=genemark-NW_003101574.1-processed-gene-6.28&CDS=1-918, genemark-NW_003101575.1-processed-gene-6.53-mRNA-1_1&gene=genemark-NW_003101575.1-processed-gene-6.53&CDS=1-996, maker-NW_003101575.1-snap-gene-4.2-mRNA-1_1&gene=maker-NW_003101575.1-snap-gene-4.2&CDS=1-960	YGR192C, YJL052W, YJR009C
22	OG0000022	genemark-NW_003101574.1-processed-gene-9.84-mRNA-1_1&gene=genemark-NW_003101574.1-processed-gene-9.84&CDS=1-1386	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W
23	OG0000023	augustus_masked-NW_003101577.1-processed-gene-11.105-mRNA-1_1&gene=augustus_masked-NW_003101577.1-processed-gene-11.105&CDS=1-978, genemark-NW_003101575.1-processed-gene-4.19-mRNA-1_1&gene=genemark-NW_003101575.1-processed-gene-4.19&CDS=1-1434, genemark-NW_003101575.1-processed-gene-8.36-mRNA-1_1&gene=genemark-NW_003101575.1-processed-gene-8.36&CDS=1-2208	YGR249W, YHR206W, YOR140W
24	OG0000024	augustus_masked-NW_003101577.1-processed-gene-0.85-mRNA-1_1&gene=augustus_masked-NW_003101577.1-processed-gene-0.85&CDS=1-6210, genemark-NW_003101575.1-processed-gene-12.63-mRNA-1_1&gene=genemark-NW_003101575.1-processed-gene-12.63&CDS=1-1389, maker-NW_003101575.1-augustus-gene-10.8-mRNA-1_1&gene=maker-NW_003101575.1-augustus-gene-10.8&CDS=1-2169	YBR036C, YBR245C, YOR304W
25	OG0000025	genemark-NW_003101576.1-processed-gene-17.33-mRNA-1_1&gene=genemark-NW_003101576.1-processed-gene-17.33&CDS=1-1920, genemark-NW_003101577.1-processed-gene-21.75-mRNA-1_1&gene=genemark-NW_003101577.1-processed-gene-21.75&CDS=1-1965, snap_masked-NW_003101575.1-processed-gene-15.87-mRNA-1_1&gene=snap_masked-NW_003101575.1-processed-gene-15.87&CDS=1-3609	YHR031C, YLR098C, YOR337W
26	OG0000026	augustus_masked-NW_003101575.1-processed-gene-16.44-mRNA-1_1&gene=augustus_masked-NW_003101575.1-processed-gene-16.44&CDS=1-2439, augustus_masked-NW_003101576.1-processed-gene-3.49-mRNA-1_1&gene=augustus_masked-NW_003101576.1-processed-gene-3.49&CDS=1-2736, augustus_masked-NW_003101578.1-processed-gene-11.45-mRNA-1_1&gene=augustus_masked-NW_003101578.1-processed-gene-11.45&CDS=1-3795, genemark-NW_003101575.1-processed-gene-15.15-mRNA-1_1&gene=genemark-NW_003101575.1-processed-gene-15.15&CDS=1-2157, genemark-NW_003101577.1-processed-gene-13.49-mRNA-1_1&gene=genemark-NW_003101577.1-processed-gene-13.49&CDS=1-2508	YLR256W
27	OG0000027	genemark-NW_003101578.1-processed-gene-3.81-mRNA-1_1&gene=genemark-NW_003101578.1-processed-gene-3.81&CDS=1-1374, genemark-NW_003101578.1-processed-gene-9.53-mRNA-1_1&gene=genemark-NW_003101578.1-processed-gene-9.53&CDS=1-1374, maker-NW_003101575.1-snap-gene-16.164-mRNA-1_1&gene=maker-NW_003101575.1-snap-gene-16.164&CDS=1-2250	YBR118W, YKR084C, YPR080W
28	OG0000028	genemark-NW_003101577.1-processed-gene-20.72-mRNA-1_1&gene=genemark-NW_003101577.1-processed-gene-20.72&CDS=1-1920, genemark-NW_003101577.1-processed-gene-6.85-mRNA-1_1&gene=genemark-NW_003101577.1-processed-gene-6.85&CDS=1-1905, snap_masked-NW_003101578.1-processed-gene-3.25-mRNA-1_1&gene=snap_masked-NW_003101578.1-processed-gene-3.25&CDS=1-2103	YMR006C, YMR008C, YOL011W
29	OG0000029	genemark-NW_003101577.1-processed-gene-13.79-mRNA-1_1&gene=genemark-NW_003101577.1-processed-gene-13.79&CDS=1-1635, genemark-NW_003101578.1-processed-gene-16.65-mRNA-1_1&gene=genemark-NW_003101578.1-processed-gene-16.65&CDS=1-1692, maker-NW_003101578.1-augustus-gene-7.51-mRNA-1_1&gene=maker-NW_003101578.1-augustus-gene-7.51&CDS=1-1317	YGL003C, YGL116W, YGR225W
30	OG0000030	genemark-NW_003101571.1-processed-gene-0.41-mRNA-1_1&gene=genemark-NW_003101571.1-processed-gene-0.41&CDS=1-1509, genemark-NW_003101575.1-processed-gene-15.14-mRNA-1_1&gene=genemark-NW_003101575.1-processed-gene-15.14&CDS=1-1521, genemark-NW_003101578.1-processed-gene-8.47-mRNA-1_1&gene=genemark-NW_003101578.1-processed-gene-8.47&CDS=1-1563	YJR152W, YLR004C
31	OG0000031	snap_masked-NW_003101571.1-processed-gene-4.102-mRNA-1_1&gene=snap_masked-NW_003101571.1-processed-gene-4.102&CDS=1-2547, snap_masked-NW_003101576.1-processed-gene-5.26-mRNA-1_1&gene=snap_masked-NW_003101576.1-processed-gene-5.26&CDS=1-2928	YDR385W, YKL173W, YOR133W
32	OG0000032	genemark-NW_003101571.1-processed-gene-5.112-mRNA-1_1&gene=genemark-NW_003101571.1-processed-gene-5.112&CDS=1-2478, genemark-NW_003101577.1-processed-gene-5.92-mRNA-1_1&gene=genemark-NW_003101577.1-processed-gene-5.92&CDS=1-2445	YDR326C, YFL042C, YHR080C
33	OG0000033	augustus_masked-NW_003101572.1-processed-gene-5.40-mRNA-1_1&gene=augustus_masked-NW_003101572.1-processed-gene-5.40&CDS=1-1506, genemark-NW_003101575.1-processed-gene-15.16-mRNA-1_1&gene=genemark-NW_003101575.1-processed-gene-15.16&CDS=1-1524	YIL120W, YIL121W, YNL065W
34	OG0000034	genemark-NW_003101572.1-processed-gene-6.218-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-6.218&CDS=1-1452, genemark-NW_003101578.1-processed-gene-21.139-mRNA-1_1&gene=genemark-NW_003101578.1-processed-gene-21.139&CDS=1-1299	YDL159W, YOR231W, YPL140C
35	OG0000035	genemark-NW_003101572.1-processed-gene-6.205-mRNA-1_1&gene=genemark-NW_003101572.1-processed-gene-6.205&CDS=1-1587, genemark-NW_003101574.1-processed-gene-1.122-mRNA-1_1&gene=genemark-NW_003101574.1-processed-gene-1.122&CDS=1-1539	YER056C, YER060W, YER060W-A
36	OG0000036	augustus_masked-NW_003101573.1-processed-gene-7.99-mRNA-1_1&gene=augustus_masked-NW_003101573.1-processed-gene-7.99&CDS=1-2931, augustus_masked-NW_003101576.1-processed-gene-12.7-mRNA-1_1&gene=augustus_masked-NW_003101576.1-processed-gene-12.7&CDS=1-3246, genemark-NW_003101573.1-processed-gene-0.5-mRNA-1_1&gene=genemark-NW_003101573.1-processed-gene-0.5&CDS=1-3024, snap_masked-NW_003101576.1-processed-gene-12.74-mRNA-1_1&gene=snap_masked-NW_003101576.1-processed-gene-12.74&CDS=1-2436, snap_masked-NW_003101577.1-processed-gene-21.53-mRNA-1_1&gene=snap_masked-NW_003101577.1-processed-gene-21.53&CDS=1-4515	
37	OG0000037	augustus_masked-NW_003101576.1-processed-gene-9.48-mRNA-1_1&gene=augustus_masked-NW_003101576.1-processed-gene-9.48&CDS=1-1221, genemark-NW_003101573.1-processed-gene-0.7-mRNA-1_1&gene=genemark-NW_003101573.1-processed-gene-0.7&CDS=1-1368, snap_masked-NW_003101576.1-processed-gene-12.96-mRNA-1_1&gene=snap_masked-NW_003101576.1-processed-gene-12.96&CDS=1-1260, snap_masked-NW_003101576.1-processed-gene-8.94-mRNA-1_1&gene=snap_masked-NW_003101576.1-processed-gene-8.94&CDS=1-1371	YJR117W
38	OG0000038	genemark-NW_003101573.1-processed-gene-1.100-mRNA-1_1&gene=genemark-NW_003101573.1-processed-gene-1.100&CDS=1-1221, genemark-NW_003101574.1-processed-gene-0.56-mRNA-1_1&gene=genemark-NW_003101574.1-processed-gene-0.56&CDS=1-1161, genemark-NW_003101574.1-processed-gene-5.128-mRNA-1_1&gene=genemark-NW_003101574.1-processed-gene-5.128&CDS=1-1218	YHR179W, YPL171C
39	OG0000039	genemark-NW_003101573.1-processed-gene-2.28-mRNA-1_1&gene=genemark-NW_003101573.1-processed-gene-2.28&CDS=1-3642, genemark-NW_003101576.1-processed-gene-3.50-mRNA-1_1&gene=genemark-NW_003101576.1-processed-gene-3.50&CDS=1-3654	YJL042W, YOR227W, YPL137C
40	OG0000040	genemark-NW_003101573.1-processed-gene-6.107-mRNA-1_1&gene=genemark-NW_003101573.1-processed-gene-6.107&CDS=1-819, genemark-NW_003101578.1-processed-gene-22.53-mRNA-1_1&gene=genemark-NW_003101578.1-processed-gene-22.53&CDS=1-2427	YDR253C, YGR067C, YPL038W
41	OG0000041	genemark-NW_003101573.1-processed-gene-7.125-mRNA-1_1&gene=genemark-NW_003101573.1-processed-gene-7.125&CDS=1-1245, genemark-NW_003101575.1-processed-gene-16.89-mRNA-1_1&gene=genemark-NW_003101575.1-processed-gene-16.89&CDS=1-1386, genemark-NW_003101578.1-processed-gene-0.35-mRNA-1_1&gene=genemark-NW_003101578.1-processed-gene-0.35&CDS=1-1422	YJL081C, YPR034W
42	OG0000042	genemark-NW_003101574.1-processed-gene-4.34-mRNA-1_1&gene=genemark-NW_003101574.1-processed-gene-4.34&CDS=1-1206, genemark-NW_003101577.1-processed-gene-5.73-mRNA-1_1&gene=genemark-NW_003101577.1-processed-gene-5.73&CDS=1-1254, genemark-NW_003101578.1-processed-gene-8.53-mRNA-1_1&gene=genemark-NW_003101578.1-processed-gene-8.53&CDS=1-1272	YKL106W, YLR027C
43	OG0000043	genemark-NW_003101576.1-processed-gene-17.36-mRNA-1_1&gene=genemark-NW_003101576.1-processed-gene-17.36&CDS=1-1509, maker-NW_003101574.1-snap-gene-9.144-mRNA-1_1&gene=maker-NW_003101574.1-snap-gene-9.144&CDS=1-1953	YMR169C, YMR170C, YOR374W
44	OG0000044	genemark-NW_003101574.1-processed-gene-10.108-mRNA-1_1&gene=genemark-NW_003101574.1-processed-gene-10.108&CDS=1-1698, genemark-NW_003101577.1-processed-gene-5.96-mRNA-1_1&gene=genemark-NW_003101577.1-processed-gene-5.96&CDS=1-1212, genemark-NW_003101578.1-processed-gene-12.87-mRNA-1_1&gene=genemark-NW_003101578.1-processed-gene-12.87&CDS=1-1509	YER133W, YML016C
45	OG0000045	augustus_masked-NW_003101577.1-processed-gene-6.37-mRNA-1_1&gene=augustus_masked-NW_003101577.1-processed-gene-6.37&CDS=1-1557, genemark-NW_003101574.1-processed-gene-13.118-mRNA-1_1&gene=genemark-NW_003101574.1-processed-gene-13.118&CDS=1-1140, genemark-NW_003101578.1-processed-gene-0.75-mRNA-1_1&gene=genemark-NW_003101578.1-processed-gene-0.75&CDS=1-4947	YDR523C, YHR102W
46	OG0000046	genemark-NW_003101575.1-processed-gene-1.58-mRNA-1_1&gene=genemark-NW_003101575.1-processed-gene-1.58&CDS=1-2481, genemark-NW_003101575.1-processed-gene-10.76-mRNA-1_1&gene=genemark-NW_003101575.1-processed-gene-10.76&CDS=1-2709	YCR037C, YJL198W, YNR013C
47	OG0000047	genemark-NW_003101575.1-processed-gene-6.51-mRNA-1_1&gene=genemark-NW_003101575.1-processed-gene-6.51&CDS=1-1236, genemark-NW_003101576.1-processed-gene-7.94-mRNA-1_1&gene=genemark-NW_003101576.1-processed-gene-7.94&CDS=1-975, snap_masked-NW_003101577.1-processed-gene-1.153-mRNA-1_1&gene=snap_masked-NW_003101577.1-processed-gene-1.153&CDS=1-3105	YJL089W, YMR280C
48	OG0000048	augustus_masked-NW_003101575.1-processed-gene-12.15-mRNA-1_1&gene=augustus_masked-NW_003101575.1-processed-gene-12.15&CDS=1-3918, augustus_masked-NW_003101575.1-processed-gene-16.73-mRNA-1_1&gene=augustus_masked-NW_003101575.1-processed-gene-16.73&CDS=1-1458, genemark-NW_003101576.1-processed-gene-3.81-mRNA-1_1&gene=genemark-NW_003101576.1-processed-gene-3.81&CDS=1-1500	YJL103C, YPL133C
49	OG0000049	genemark-NW_003101575.1-processed-gene-12.89-mRNA-1_1&gene=genemark-NW_003101575.1-processed-gene-12.89&CDS=1-3078, genemark-NW_003101577.1-processed-gene-8.95-mRNA-1_1&gene=genemark-NW_003101577.1-processed-gene-8.95&CDS=1-2055, maker-NW_003101578.1-augustus-gene-1.4-mRNA-1_1&gene=maker-NW_003101578.1-augustus-gene-1.4&CDS=1-2817	YEL015W, YPR141C
50	OG0000050	genemark-NW_003101575.1-processed-gene-14.100-mRNA-1_1&gene=genemark-NW_003101575.1-processed-gene-14.100&CDS=1-1329, genemark-NW_003101578.1-processed-gene-1.68-mRNA-1_1&gene=genemark-NW_003101578.1-processed-gene-1.68&CDS=1-1083	YJL116C, YKR042W, YNL066W
51	OG0000051	genemark-NW_003101576.1-processed-gene-2.105-mRNA-1_1&gene=genemark-NW_003101576.1-processed-gene-2.105&CDS=1-699	YDR533C, YMR322C, YOR391C, YPL280W
52	OG0000052	genemark-NW_003101576.1-processed-gene-2.136-mRNA-1_1&gene=genemark-NW_003101576.1-processed-gene-2.136&CDS=1-1719, genemark-NW_003101577.1-processed-gene-14.83-mRNA-1_1&gene=genemark-NW_003101577.1-processed-gene-14.83&CDS=1-1635, genemark-NW_003101578.1-processed-gene-23.106-mRNA-1_1&gene=genemark-NW_003101578.1-processed-gene-23.106&CDS=1-1629, maker-NW_003101576.1-augustus-gene-17.157-mRNA-1_1&gene=maker-NW_003101576.1-augustus-gene-17.157&CDS=1-2403	YDR242W
53	OG0000053	maker-NW_003101576.1-augustus-gene-2.55-mRNA-1_1&gene=maker-NW_003101576.1-augustus-gene-2.55&CDS=1-3270, snap_masked-NW_003101577.1-processed-gene-2.21-mRNA-1_1&gene=snap_masked-NW_003101577.1-processed-gene-2.21&CDS=1-2865, snap_masked-NW_003101578.1-processed-gene-10.127-mRNA-1_1&gene=snap_masked-NW_003101578.1-processed-gene-10.127&CDS=1-2865	YBR038W, YNL192W
54	OG0000054	genemark-NW_003101576.1-processed-gene-3.59-mRNA-1_1&gene=genemark-NW_003101576.1-processed-gene-3.59&CDS=1-3579, genemark-NW_003101578.1-processed-gene-19.73-mRNA-1_1&gene=genemark-NW_003101578.1-processed-gene-19.73&CDS=1-4638	YML072C, YNL087W, YOR086C
55	OG0000055	genemark-NW_003101576.1-processed-gene-6.91-mRNA-1_1&gene=genemark-NW_003101576.1-processed-gene-6.91&CDS=1-2301, genemark-NW_003101577.1-processed-gene-6.48-mRNA-1_1&gene=genemark-NW_003101577.1-processed-gene-6.48&CDS=1-2229	YAL053W, YGL139W, YPL221W
56	OG0000056	genemark-NW_003101576.1-processed-gene-11.62-mRNA-1_1&gene=genemark-NW_003101576.1-processed-gene-11.62&CDS=1-3405, genemark-NW_003101578.1-processed-gene-10.8-mRNA-1_1&gene=genemark-NW_003101578.1-processed-gene-10.8&CDS=1-3120	YIL002C, YNL106C, YOR109W
