	OrthologID	Arthrobotrys_oligospora	Saccharomyces_cerevisiae
72	OG0000072	XP_011119853.1, XP_011126474.1, XP_011128140.1	YDR054C, YMR022W
73	OG0000073	XP_011119898.1, XP_011121334.1, XP_011126496.1	YDR213W, YLR228C
74	OG0000074	XP_011120205.1, XP_011124091.1, XP_011125557.1, XP_011128305.1	YDR371W
75	OG0000075	XP_011120627.1, XP_011120794.1, XP_011124802.1	YER020W, YHR005C
76	OG0000076	XP_011120719.1, XP_011121553.1	YDL159W, YOR231W, YPL140C
77	OG0000077	XP_011120732.1, XP_011120766.1, XP_011122208.1	YBR038W, YNL192W
78	OG0000078	XP_011120833.1, XP_011123030.1, XP_011123943.1	YDR139C, YLR167W
79	OG0000079	XP_011120841.1, XP_011124776.1, XP_011126154.1	YBR164C, YDL137W
80	OG0000080	XP_011120988.1, XP_011124384.1	YBR126C, YML100W, YMR261C
81	OG0000081	XP_011120996.1, XP_011126983.1, XP_011127553.1	YBR114W, YOR191W
82	OG0000082	XP_011121685.1, XP_011126560.1, XP_011127969.1	YAR019C, YDR523C
83	OG0000083	XP_011121837.1, XP_011124190.1, XP_011127629.1	YHR207C, YPL165C
84	OG0000084	XP_011121848.1	YBL017C, YIL173W, YJL222W, YNR065C
85	OG0000085	XP_011122346.1, XP_011124799.1	YBR260C, YDR379W, YOR127W
86	OG0000086	XP_011123960.1	YER001W, YGL257C, YIL014W, YNR059W
87	OG0000087	XP_011125888.1	YCR107W, YDL243C, YJR155W, YNL331C
88	OG0000088	XP_011127440.1, XP_011127759.1	YAL005C, YJL034W, YLL024C
89	OG0000089		YKL220C, YLL051C, YNR060W, YOR381W, YOR384W
90	OG0000090	XP_011117018.1, XP_011124414.1	YMR008C, YOL011W
91	OG0000091	XP_011117103.1, XP_011118925.1	YDR287W, YHR046C
92	OG0000092	XP_011117181.1, XP_011122042.1	YJL102W, YLR069C
93	OG0000093	XP_011117219.1, XP_011127840.1	YCR011C, YOL075C
94	OG0000094	XP_011117255.1, XP_011121587.1	YOR237W, YPL145C
95	OG0000095	XP_011117292.1, XP_011122529.1	YHL007C, YNL298W
96	OG0000096	XP_011117328.1, XP_011122945.1, XP_011124418.1	YGR189C
97	OG0000097	XP_011117331.1, XP_011120803.1, XP_011122236.1	YLR286C
98	OG0000098	XP_011117377.1, XP_011126406.1	YFL053W, YML070W
99	OG0000099	XP_011117404.1, XP_011117828.1	YHR154W, YJL090C
100	OG0000100	XP_011117407.1, XP_011126121.1	YEL041W, YJR049C
101	OG0000101	XP_011117459.1, XP_011124647.1	YCR079W, YDL006W
102	OG0000102	XP_011117478.1, XP_011118922.1	YDL126C, YLR397C
103	OG0000103	XP_011117493.1, XP_011121766.1	YDR020C, YNR012W
104	OG0000104	XP_011117557.1, XP_011123251.1	YKL188C, YPL147W
105	OG0000105	XP_011117592.1, XP_011121574.1	YHR071W, YNL289W
106	OG0000106	XP_011117599.1, XP_011125462.1	YBR150C, YOL089C
107	OG0000107	XP_011117603.1, XP_011119248.1	YCR035C, YDR280W
108	OG0000108	XP_011117610.1, XP_011118360.1	YPR013C, YPR015C
109	OG0000109	XP_011117635.1, XP_011120135.1	YDR435C, YOL141W
110	OG0000110	XP_011117647.1, XP_011118705.1, XP_011126137.1	YDR276C
111	OG0000111	XP_011117664.1, XP_011126400.1	YGL019W, YOR039W
112	OG0000112	XP_011117701.1, XP_011121110.1, XP_011126693.1	YPR127W
113	OG0000113	XP_011117793.1, XP_011127820.1	YLR251W, YOR292C
114	OG0000114	XP_011117812.1, XP_011121957.1, XP_011125068.1	YOR084W
115	OG0000115	XP_011117819.1, XP_011118829.1	YDR121W, YDR397C
116	OG0000116	XP_011117882.1, XP_011123854.1	YCR105W, YMR318C
117	OG0000117	XP_011118028.1, XP_011121974.1	YCL014W, YLR371W
118	OG0000118	XP_011118072.1, XP_011128173.1	YPL003W, YPR180W
119	OG0000119	XP_011118119.1, XP_011119369.1	YER054C, YIL045W
120	OG0000120	XP_011118223.1, XP_011123591.1, XP_011128291.1	YEL023C
121	OG0000121	XP_011118301.1, XP_011120597.1, XP_011127856.1	YGR055W
122	OG0000122	XP_011118376.1, XP_011122420.1, XP_011125376.1	YJR075W
123	OG0000123	XP_011118396.1, XP_011120163.1	YEL047C, YJR051W
124	OG0000124	XP_011118403.1, XP_011118428.1, XP_011119104.1	YLL057C
125	OG0000125	XP_011118427.1, XP_011123177.1, XP_011124560.1	YIL166C
126	OG0000126	XP_011118465.1, XP_011119660.1	YBR242W, YGL101W
127	OG0000127	XP_011118495.1, XP_011120305.1, XP_011126024.1	YHR008C
128	OG0000128	XP_011118624.1, XP_011119398.1	YBL084C, YHR166C
129	OG0000129	XP_011118676.1, XP_011121124.1	YGL125W, YPL023C
130	OG0000130	XP_011118688.1, XP_011128317.1	YGL059W, YIL042C
131	OG0000131	XP_011118690.1, XP_011126196.1	YDL018C, YGL200C
132	OG0000132	XP_011118691.1, XP_011124301.1	YIL031W, YPL020C
133	OG0000133	XP_011118800.1, XP_011121540.1	YBR237W, YNL112W
134	OG0000134	XP_011118865.1, XP_011119957.1	YBL037W, YPR029C
135	OG0000135	XP_011119120.1, XP_011121989.1, XP_011125841.1	YIL099W
136	OG0000136	XP_011119127.1, XP_011126127.1	YOL030W, YOL132W
137	OG0000137	XP_011119286.1, XP_011119334.1, XP_011124318.1	YJR040W
138	OG0000138	XP_011119385.1, XP_011123723.1	YBR109C, YPR188C
139	OG0000139	XP_011119403.1, XP_011125466.1	YBR009C, YNL030W
140	OG0000140	XP_011119444.1	YFL060C, YMR095C, YNL334C
141	OG0000141	XP_011119468.1, XP_011120466.1, XP_011125406.1	YGL044C
142	OG0000142	XP_011119576.1, XP_011128185.1	YAL036C, YGR173W
143	OG0000143	XP_011119662.1, XP_011123369.1	YIL120W, YIL121W
144	OG0000144	XP_011119767.1, XP_011121603.1, XP_011127226.1	YIL160C
145	OG0000145	XP_011119774.1, XP_011128168.1	YOL062C, YPL259C
146	OG0000146	XP_011119856.1, XP_011123681.1	YHR113W, YKL103C
147	OG0000147	XP_011119908.1, XP_011121024.1, XP_011128224.1	YLR004C
148	OG0000148	XP_011119994.1, XP_011121157.1	YGL014W, YLL013C
149	OG0000149	XP_011120008.1	YLL052C, YLL053C, YPR192W
150	OG0000150	XP_011120093.1, XP_011128191.1	YJL095W, YLR362W
151	OG0000151	XP_011120114.1, XP_011125016.1	YJL200C, YLR304C
152	OG0000152	XP_011120244.1	YBR054W, YCR021C, YDR033W
153	OG0000153	XP_011120290.1, XP_011122764.1, XP_011127944.1	YML131W
154	OG0000154	XP_011120378.1, XP_011124697.1	YBR249C, YDR035W
155	OG0000155	XP_011120600.1, XP_011124445.1, XP_011128406.1	YKR093W
156	OG0000156	XP_011120628.1, XP_011127587.1	YGR132C, YGR231C
157	OG0000157	XP_011120701.1, XP_011121085.1	YDL101C, YPR106W
158	OG0000158	XP_011120713.1, XP_011122187.1	YHR172W, YNL126W
159	OG0000159	XP_011120743.1, XP_011123769.1	YER065C, YPR006C
160	OG0000160	XP_011120786.1, XP_011121494.1	YFL037W, YLR212C
161	OG0000161	XP_011120820.1, XP_011122798.1, XP_011123122.1	YPL069C
162	OG0000162	XP_011120846.1, XP_011125481.1	YJR058C, YLR170C
163	OG0000163	XP_011120871.1, XP_011122482.1	YDR135C, YGR281W
164	OG0000164	XP_011120903.1, XP_011124296.1	YDR378C, YPR182W
165	OG0000165	XP_011121009.1, XP_011121507.1	YJL194W, YML065W
166	OG0000166	XP_011121161.1, XP_011122944.1	YFL050C, YOL130W
167	OG0000167	XP_011121232.1, XP_011121621.1	YBR151W, YML050W
168	OG0000168	XP_011121420.1, XP_011125949.1, XP_011126898.1	YGR282C
169	OG0000169	XP_011121690.1, XP_011125460.1	YBR182C, YMR043W
170	OG0000170	XP_011121702.1, XP_011122393.1	YHR123W, YNL130C
171	OG0000171	XP_011121979.1, XP_011123878.1	YDR459C, YNL326C
172	OG0000172	XP_011122102.1, XP_011123137.1, XP_011126934.1	YIL147C
173	OG0000173	XP_011122160.1, XP_011122860.1, XP_011125720.1	YNL229C
174	OG0000174	XP_011122194.1, XP_011124053.1, XP_011124128.1	YGL055W
175	OG0000175	XP_011122244.1, XP_011127056.1, XP_011128225.1	YDL174C
176	OG0000176	XP_011122431.1, XP_011126625.1	YNL154C, YPL204W
177	OG0000177	XP_011122670.1, XP_011123838.1	YGR141W, YPR157W
178	OG0000178	XP_011122720.1, XP_011126444.1	YGL058W, YOR339C
179	OG0000179	XP_011122730.1, XP_011123950.1	YIL078W, YKL194C
180	OG0000180	XP_011122739.1	YLR152C, YNL095C, YOR092W
181	OG0000181	XP_011122774.1	YER056C, YER060W, YER060W-A
182	OG0000182	XP_011122914.1, XP_011126995.1	YGL194C, YNL330C
183	OG0000183	XP_011122953.1, XP_011124960.1, XP_011125093.1	YDL114W
184	OG0000184	XP_011123047.1, XP_011125436.1	YDL003W, YPR007C
185	OG0000185	XP_011123131.1	YBR145W, YMR303C, YOL086C
186	OG0000186	XP_011123219.1, XP_011124970.1	YER099C, YOL061W
187	OG0000187	XP_011123247.1, XP_011126609.1	YDR457W, YER125W
188	OG0000188	XP_011123255.1, XP_011124549.1	YDL077C, YDR495C
189	OG0000189	XP_011123434.1, XP_011124810.1	YGR143W, YPR159W
190	OG0000190	XP_011123645.1, XP_011128141.1	YER133W, YGR123C
191	OG0000191	XP_011123741.1, XP_011123993.1, XP_011125500.1	YOR153W
192	OG0000192	XP_011123835.1, XP_011126756.1	YMR214W, YNL064C
193	OG0000193	XP_011123904.1, XP_011124483.1	YHR169W, YNR038W
194	OG0000194	XP_011124127.1, XP_011124173.1, XP_011125655.1	YOL013C
195	OG0000195	XP_011124245.1, XP_011126008.1	YGR209C, YLR043C
196	OG0000196	XP_011124269.1, XP_011124277.1	YDL134C, YNR032W
197	OG0000197	XP_011124357.1, XP_011124587.1	YBR073W, YGL163C
198	OG0000198	XP_011124399.1, XP_011124657.1	YDR211W, YOR260W
199	OG0000199	XP_011124464.1	YOL055C, YPL258C, YPR121W
200	OG0000200	XP_011124489.1, XP_011125552.1	YNL104C, YOR108W
201	OG0000201	XP_011124583.1, XP_011126160.1	YDR258C, YLL026W
202	OG0000202	XP_011124806.1, XP_011126690.1	YJL106W, YLR113W
203	OG0000203	XP_011124922.1	YML116W, YMR279C, YOR378W
204	OG0000204	XP_011125012.1, XP_011126108.1	YBR078W, YDR055W
205	OG0000205	XP_011125087.1, XP_011127915.1	YOR275C, YPL084W
206	OG0000206	XP_011125146.1, XP_011126279.1	YBL016W, YHR030C
207	OG0000207	XP_011125149.1, XP_011125179.1	YHR098C, YIL109C
208	OG0000208	XP_011125608.1	YLL062C, YMR321C, YPL273W
209	OG0000209	XP_011125663.1, XP_011127791.1	YDR225W, YOL012C
210	OG0000210	XP_011125669.1	YGR192C, YJL052W, YJR009C
211	OG0000211	XP_011126116.1, XP_011127571.1	YIL153W, YPL152W
212	OG0000212	XP_011126416.1, XP_011127265.1	YBR132C, YPL265W
213	OG0000213	XP_011127080.1, XP_011128199.1	YDR255C, YIL097W
214	OG0000214	XP_011127382.1	YLR237W, YOR071C, YOR192C
215	OG0000215	XP_011127815.1, XP_011128382.1	YMR183C, YPL232W
216	OG0000216		YCL069W, YGR224W, YKR105C, YPR198W
217	OG0000217	XP_011116954.1, XP_011124956.1	YPR089W
218	OG0000218	XP_011116956.1, XP_011125418.1	YGL252C
219	OG0000219	XP_011116979.1	YMR180C, YPL228W
220	OG0000220	XP_011117121.1	YGR241C, YHR161C
221	OG0000221	XP_011117184.1	YBR048W, YDR025W
222	OG0000222	XP_011117192.1	YCR010C, YNR002C
223	OG0000223	XP_011117206.1, XP_011128322.1	YOR374W
224	OG0000224	XP_011117235.1, XP_011120620.1	YMR108W
225	OG0000225	XP_011117236.1	YBR020W, YDR009W
226	OG0000226	XP_011117248.1, XP_011126173.1	YPL170W
227	OG0000227	XP_011117278.1, XP_011120870.1	YAL018C
228	OG0000228	XP_011117279.1, XP_011121384.1	YJL093C
229	OG0000229	XP_011117297.1	YFR022W, YOR018W
230	OG0000230	XP_011117329.1	YOR390W, YPL279C
231	OG0000231	XP_011117366.1	YFR024C-A, YHR016C
232	OG0000232	XP_011117397.1	YHR115C, YNL116W
233	OG0000233	XP_011117403.1	YJL084C, YKR021W
234	OG0000234	XP_011117406.1	YDR272W, YOR040W
235	OG0000235	XP_011117416.1, XP_011127953.1	YPL155C
236	OG0000236	XP_011117419.1	YLL016W, YLR310C
237	OG0000237	XP_011117428.1, XP_011119472.1	YOR288C
238	OG0000238	XP_011117464.1, XP_011119713.1	YGL215W
239	OG0000239	XP_011117467.1	YDL085W, YMR145C
240	OG0000240	XP_011117491.1, XP_011127157.1	YCR019W
241	OG0000241	XP_011117519.1	YOR233W, YPL141C
242	OG0000242	XP_011117542.1, XP_011121529.1	YDR248C
243	OG0000243	XP_011117570.1	YKR076W, YMR251W
244	OG0000244	XP_011117583.1	YCL040W, YDR516C
245	OG0000245	XP_011117588.1	YGL031C, YGR148C
246	OG0000246	XP_011117653.1, XP_011119553.1	YBR019C
247	OG0000247	XP_011117663.1, XP_011125755.1	YBL008W
248	OG0000248	XP_011117719.1, XP_011120469.1	YLR126C
249	OG0000249	XP_011117720.1, XP_011121555.1	YHL027W
250	OG0000250	XP_011117766.1	YDL042C, YOL068C
251	OG0000251	XP_011117770.1	YCL037C, YDR515W
252	OG0000252	XP_011117774.1	YGR108W, YPR119W
253	OG0000253	XP_011117782.1, XP_011121828.1	YCR051W
254	OG0000254	XP_011117811.1	YJL082W, YKR018C
255	OG0000255	XP_011117818.1	YDL136W, YDL191W
256	OG0000256	XP_011117820.1	YCR073C, YNR031C
257	OG0000257	XP_011117842.1, XP_011122041.1	YLR411W
258	OG0000258	XP_011117848.1	YHR198C, YHR199C
259	OG0000259	XP_011117858.1, XP_011127862.1	YOR089C
260	OG0000260	XP_011117867.1	YNL096C, YOR096W
261	OG0000261	XP_011117873.1, XP_011123813.1	YBL049W
262	OG0000262	XP_011117881.1, XP_011121510.1	YGL006W
263	OG0000263	XP_011117892.1	YDR497C, YOL103W
264	OG0000264	XP_011117909.1	YHL003C, YKL008C
265	OG0000265	XP_011117952.1, XP_011120998.1	YIR009W
266	OG0000266	XP_011117970.1	YER057C, YIL051C
267	OG0000267	XP_011117980.1	YEL022W, YJR031C
268	OG0000268	XP_011117990.1, XP_011124877.1	YOL122C
269	OG0000269	XP_011118015.1	YLR270W, YOR173W
270	OG0000270	XP_011118022.1, XP_011126418.1	YDR256C
271	OG0000271	XP_011118077.1, XP_011121245.1	YOR095C
272	OG0000272	XP_011118170.1, XP_011125675.1	YGL012W
273	OG0000273	XP_011118217.1, XP_011120755.1	YKL128C
274	OG0000274	XP_011118236.1, XP_011121922.1	YBR111C
275	OG0000275	XP_011118286.1, XP_011118749.1	YPL268W
276	OG0000276	XP_011118368.1, XP_011119833.1	YGR009C
277	OG0000277	XP_011118404.1, XP_011119579.1	YLL017W
278	OG0000278	XP_011118525.1, XP_011125822.1	YJR153W
279	OG0000279	XP_011118545.1	YNL293W, YOL112W
280	OG0000280	XP_011118573.1	YBR031W, YDR012W
281	OG0000281	XP_011118607.1, XP_011125654.1	YDL185W
282	OG0000282	XP_011118636.1	YGR010W, YLR328W
283	OG0000283	XP_011118680.1, XP_011125362.1	YOL065C
284	OG0000284	XP_011118731.1	YJL193W, YOR307C
285	OG0000285	XP_011118770.1, XP_011122257.1	YBR291C
286	OG0000286	XP_011118771.1	YDR263C, YOR033C
287	OG0000287	XP_011118776.1	YJR130C, YML082W
288	OG0000288	XP_011118806.1, XP_011120044.1	YDL106C
289	OG0000289	XP_011118823.1, XP_011125686.1	YML054C
290	OG0000290	XP_011118852.1, XP_011122527.1	YFL031W
291	OG0000291	XP_011118879.1, XP_011121259.1	YIR042C
292	OG0000292	XP_011118964.1	YDL109C, YGL144C
293	OG0000293	XP_011118966.1, XP_011126901.1	YJL212C
294	OG0000294	XP_011119068.1, XP_011119731.1	YKL107W
295	OG0000295	XP_011119080.1, XP_011122107.1	YPL123C
296	OG0000296	XP_011119098.1, XP_011127752.1	YFL010C
297	OG0000297	XP_011119121.1, XP_011119411.1	YLR299W
298	OG0000298	XP_011119227.1, XP_011122348.1	YLR229C
299	OG0000299	XP_011119231.1	YDL049C, YJL174W
300	OG0000300	XP_011119233.1, XP_011124600.1	YFR006W
301	OG0000301	XP_011119274.1	YJR091C, YPR042C
302	OG0000302	XP_011119285.1, XP_011124569.1	YOR126C
303	OG0000303	XP_011119288.1	YDR264C, YOR034C
304	OG0000304	XP_011119290.1, XP_011124199.1	YGR155W
305	OG0000305	XP_011119294.1	YDR300C, YHR033W
306	OG0000306	XP_011119326.1	YJR094W-A, YPR043W
307	OG0000307	XP_011119327.1, XP_011124900.1	YPR093C
308	OG0000308	XP_011119341.1	YBL091C-A, YER120W
309	OG0000309	XP_011119350.1	YGL133W, YPL216W
310	OG0000310	XP_011119376.1, XP_011122842.1	YJR016C
311	OG0000311	XP_011119412.1	YGL096W, YPL177C
312	OG0000312	XP_011119438.1	YBR089C-A, YPR052C
313	OG0000313	XP_011119442.1, XP_011121796.1	YHR028C
314	OG0000314	XP_011119476.1	YLL012W, YLR020C
315	OG0000315	XP_011119518.1	YLR284C, YOR180C
316	OG0000316	XP_011119585.1, XP_011124452.1	YJR019C
317	OG0000317	XP_011119592.1, XP_011125124.1	YLR109W
318	OG0000318	XP_011119618.1	Q0050, Q0055
319	OG0000319	XP_011119624.1, XP_011126847.1	YBL091C
320	OG0000320	XP_011119633.1, XP_011125703.1	YDR352W
321	OG0000321	XP_011119643.1	YKL126W, YMR104C
322	OG0000322	XP_011119665.1	YJL105W, YKR029C
323	OG0000323	XP_011119679.1, XP_011127928.1	YHR124W
324	OG0000324	XP_011119694.1	YMR237W, YOR299W
325	OG0000325	XP_011119696.1, XP_011121624.1	YLR149C
326	OG0000326	XP_011119719.1, XP_011121480.1	YMR091C
327	OG0000327	XP_011119728.1	YDR312W, YHR066W
