	OrthologID	Nadsonia_fulvescens_var_elongata	Saccharomyces_cerevisiae
10	OG0000010	snap_masked-scaffold_1-processed-gene-13.110-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-13.110&CDS=1-1668	YDR342C, YDR343C, YFL011W, YHR092C, YMR011W
11	OG0000011	augustus_masked-scaffold_1-processed-gene-18.59-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-18.59&CDS=1-2502, augustus_masked-scaffold_4-processed-gene-0.55-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-0.55&CDS=1-2526, snap_masked-scaffold_7-processed-gene-5.90-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-5.90&CDS=1-3033	YDR385W, YKL173W, YOR133W
12	OG0000012	maker-scaffold_1-snap-gene-22.91-mRNA-1_1&gene=maker-scaffold_1-snap-gene-22.91&CDS=1-1767, maker-scaffold_5-snap-gene-14.13-mRNA-1_1&gene=maker-scaffold_5-snap-gene-14.13&CDS=1-3909, snap_masked-scaffold_8-processed-gene-7.152-mRNA-1_1&gene=snap_masked-scaffold_8-processed-gene-7.152&CDS=1-5319	YGR070W, YLR371W, YLR425W
13	OG0000013	snap_masked-scaffold_1-processed-gene-23.205-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-23.205&CDS=1-1911, snap_masked-scaffold_10-processed-gene-2.124-mRNA-1_1&gene=snap_masked-scaffold_10-processed-gene-2.124&CDS=1-1929, snap_masked-scaffold_4-processed-gene-10.29-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-10.29&CDS=1-1995, snap_masked-scaffold_6-processed-gene-2.89-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-2.89&CDS=1-1929	YJL034W, YLL024C
14	OG0000014	maker-scaffold_3-snap-gene-8.58-mRNA-1_1&gene=maker-scaffold_3-snap-gene-8.58&CDS=1-2622, snap_masked-scaffold_10-processed-gene-2.106-mRNA-1_1&gene=snap_masked-scaffold_10-processed-gene-2.106&CDS=1-3339, snap_masked-scaffold_6-processed-gene-2.91-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-2.91&CDS=1-3078	YHL007C, YNL298W, YOL113W
15	OG0000015	augustus_masked-scaffold_10-processed-gene-3.26-mRNA-1_1&gene=augustus_masked-scaffold_10-processed-gene-3.26&CDS=1-1899, augustus_masked-scaffold_10-processed-gene-3.28-mRNA-1_1&gene=augustus_masked-scaffold_10-processed-gene-3.28&CDS=1-5238	YBL017C, YIL173W, YJL222W, YNR065C
16	OG0000016	snap_masked-scaffold_10-processed-gene-4.153-mRNA-1_1&gene=snap_masked-scaffold_10-processed-gene-4.153&CDS=1-438	YDR139C, YIL148W, YKR094C, YLL039C, YLR167W
17	OG0000017	augustus_masked-scaffold_11-processed-gene-2.123-mRNA-1_1&gene=augustus_masked-scaffold_11-processed-gene-2.123&CDS=1-1326, snap_masked-scaffold_11-processed-gene-0.95-mRNA-1_1&gene=snap_masked-scaffold_11-processed-gene-0.95&CDS=1-2163	YER054C, YIL045W, YLR273C, YOR178C
18	OG0000018	maker-scaffold_2-snap-gene-17.37-mRNA-1_1&gene=maker-scaffold_2-snap-gene-17.37&CDS=1-1953, snap_masked-scaffold_11-processed-gene-1.97-mRNA-1_1&gene=snap_masked-scaffold_11-processed-gene-1.97&CDS=1-1740, snap_masked-scaffold_4-processed-gene-2.135-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-2.135&CDS=1-972, snap_masked-scaffold_5-processed-gene-2.4-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-2.4&CDS=1-954	YER133W, YML016C
19	OG0000019	snap_masked-scaffold_11-processed-gene-2.31-mRNA-1_1&gene=snap_masked-scaffold_11-processed-gene-2.31&CDS=1-1887, snap_masked-scaffold_4-processed-gene-9.114-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-9.114&CDS=1-1752	YCL069W, YGR224W, YKR105C, YPR198W
20	OG0000020	snap_masked-scaffold_2-processed-gene-14.121-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-14.121&CDS=1-3390, snap_masked-scaffold_2-processed-gene-4.32-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-4.32&CDS=1-2739, snap_masked-scaffold_4-processed-gene-1.102-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-1.102&CDS=1-2931	YCR065W, YIL131C, YNL068C
21	OG0000021	snap_masked-scaffold_2-processed-gene-12.38-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-12.38&CDS=1-1491, snap_masked-scaffold_2-processed-gene-9.27-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-9.27&CDS=1-1500, snap_masked-scaffold_5-processed-gene-3.42-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-3.42&CDS=1-1509	YMR169C, YMR170C, YOR374W
22	OG0000022	augustus_masked-scaffold_3-processed-gene-15.37-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-15.37&CDS=1-1413, maker-scaffold_2-augustus-gene-14.50-mRNA-1_1&gene=maker-scaffold_2-augustus-gene-14.50&CDS=1-543, snap_masked-scaffold_2-processed-gene-15.32-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-15.32&CDS=1-2214, snap_masked-scaffold_6-processed-gene-1.126-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-1.126&CDS=1-1473, snap_masked-scaffold_7-processed-gene-7.191-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-7.191&CDS=1-534	YPL064C
23	OG0000023	genemark-scaffold_6-processed-gene-4.85-mRNA-1_1&gene=genemark-scaffold_6-processed-gene-4.85&CDS=1-1137, snap_masked-scaffold_2-processed-gene-18.43-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-18.43&CDS=1-1503, snap_masked-scaffold_4-processed-gene-12.8-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-12.8&CDS=1-3294, snap_masked-scaffold_6-processed-gene-8.29-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-8.29&CDS=1-2076	YGL227W, YMR171C
24	OG0000024	augustus_masked-scaffold_5-processed-gene-4.129-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-4.129&CDS=1-774, maker-scaffold_1-snap-gene-0.43-mRNA-1_1&gene=maker-scaffold_1-snap-gene-0.43&CDS=1-2538, snap_masked-scaffold_2-processed-gene-3.123-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-3.123&CDS=1-774	YLR441C, YML063W
25	OG0000025	snap_masked-scaffold_1-processed-gene-1.36-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-1.36&CDS=1-1410, snap_masked-scaffold_7-processed-gene-7.218-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-7.218&CDS=1-1791, snap_masked-scaffold_8-processed-gene-1.12-mRNA-1_1&gene=snap_masked-scaffold_8-processed-gene-1.12&CDS=1-1740	YDL159W, YJL128C
26	OG0000026	genemark-scaffold_1-processed-gene-1.125-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-1.125&CDS=1-1734, snap_masked-scaffold_10-processed-gene-5.32-mRNA-1_1&gene=snap_masked-scaffold_10-processed-gene-5.32&CDS=1-2379	YIR013C, YLR013W, YPL021W
27	OG0000027	augustus_masked-scaffold_1-processed-gene-2.58-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-2.58&CDS=1-1401, augustus_masked-scaffold_3-processed-gene-6.54-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-6.54&CDS=1-1404, snap_masked-scaffold_7-processed-gene-2.81-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-2.81&CDS=1-1401	YFL037W, YLR212C
28	OG0000028	snap_masked-scaffold_1-processed-gene-7.100-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-7.100&CDS=1-2961, snap_masked-scaffold_5-processed-gene-14.236-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-14.236&CDS=1-510, snap_masked-scaffold_6-processed-gene-8.45-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-8.45&CDS=1-255	YBR240C, YDR034C
29	OG0000029	maker-scaffold_1-snap-gene-8.85-mRNA-1_1&gene=maker-scaffold_1-snap-gene-8.85&CDS=1-1395, snap_masked-scaffold_11-processed-gene-0.131-mRNA-1_1&gene=snap_masked-scaffold_11-processed-gene-0.131&CDS=1-1404, snap_masked-scaffold_7-processed-gene-1.79-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-1.79&CDS=1-1503	YNR001C, YPR001W
30	OG0000030	snap_masked-scaffold_1-processed-gene-9.36-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-9.36&CDS=1-3429, snap_masked-scaffold_2-processed-gene-16.5-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-16.5&CDS=1-2907, snap_masked-scaffold_4-processed-gene-6.39-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-6.39&CDS=1-3180	YFR038W, YOR304W
31	OG0000031	maker-scaffold_9-augustus-gene-1.143-mRNA-1_1&gene=maker-scaffold_9-augustus-gene-1.143&CDS=1-3765, snap_masked-scaffold_1-processed-gene-10.25-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-10.25&CDS=1-2178, snap_masked-scaffold_3-processed-gene-8.132-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-8.132&CDS=1-3864	YBR260C, YPL115C
32	OG0000032	snap_masked-scaffold_1-processed-gene-10.30-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-10.30&CDS=1-1458, snap_masked-scaffold_1-processed-gene-18.26-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-18.26&CDS=1-1860, snap_masked-scaffold_7-processed-gene-0.25-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-0.25&CDS=1-1977	YKL221W, YNL125C
33	OG0000033	snap_masked-scaffold_1-processed-gene-11.28-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-11.28&CDS=1-3003, snap_masked-scaffold_3-processed-gene-12.111-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-12.111&CDS=1-2910, snap_masked-scaffold_3-processed-gene-14.107-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-14.107&CDS=1-2937	YGR240C, YMR205C
34	OG0000034	augustus_masked-scaffold_5-processed-gene-8.65-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-8.65&CDS=1-3066, maker-scaffold_1-snap-gene-14.24-mRNA-1_1&gene=maker-scaffold_1-snap-gene-14.24&CDS=1-6057, snap_masked-scaffold_10-processed-gene-3.84-mRNA-1_1&gene=snap_masked-scaffold_10-processed-gene-3.84&CDS=1-2928	YBR038W, YNL192W
35	OG0000035	augustus_masked-scaffold_1-processed-gene-17.59-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-17.59&CDS=1-861, snap_masked-scaffold_2-processed-gene-15.24-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-15.24&CDS=1-777, snap_masked-scaffold_8-processed-gene-5.104-mRNA-1_1&gene=snap_masked-scaffold_8-processed-gene-5.104&CDS=1-672	YCL002C, YCR075C
36	OG0000036	snap_masked-scaffold_1-processed-gene-19.34-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-19.34&CDS=1-1905, snap_masked-scaffold_10-processed-gene-5.22-mRNA-1_1&gene=snap_masked-scaffold_10-processed-gene-5.22&CDS=1-2793, snap_masked-scaffold_9-processed-gene-6.27-mRNA-1_1&gene=snap_masked-scaffold_9-processed-gene-6.27&CDS=1-2694, snap_masked-scaffold_9-processed-gene-6.28-mRNA-1_1&gene=snap_masked-scaffold_9-processed-gene-6.28&CDS=1-3360	YML061C
37	OG0000037	maker-scaffold_6-snap-gene-5.44-mRNA-1_1&gene=maker-scaffold_6-snap-gene-5.44&CDS=1-4437, snap_masked-scaffold_1-processed-gene-19.38-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-19.38&CDS=1-4932	YJL042W, YOR227W, YPL137C
38	OG0000038	maker-scaffold_1-snap-gene-20.59-mRNA-1_1&gene=maker-scaffold_1-snap-gene-20.59&CDS=1-177	YLR154C-H, YLR156C-A, YLR157C-C, YLR159C-A
39	OG0000039	snap_masked-scaffold_1-processed-gene-22.142-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-22.142&CDS=1-1836, snap_masked-scaffold_8-processed-gene-3.5-mRNA-1_1&gene=snap_masked-scaffold_8-processed-gene-3.5&CDS=1-3513	YKR089C, YMR313C, YOR081C
40	OG0000040	augustus_masked-scaffold_6-processed-gene-1.9-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-1.9&CDS=1-4860, maker-scaffold_10-snap-gene-0.70-mRNA-1_1&gene=maker-scaffold_10-snap-gene-0.70&CDS=1-6696, snap_masked-scaffold_7-processed-gene-1.81-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-1.81&CDS=1-4899	YHR023W, YOR326W
41	OG0000041	maker-scaffold_2-snap-gene-6.46-mRNA-1_1&gene=maker-scaffold_2-snap-gene-6.46&CDS=1-1518, snap_masked-scaffold_10-processed-gene-2.111-mRNA-1_1&gene=snap_masked-scaffold_10-processed-gene-2.111&CDS=1-1695, snap_masked-scaffold_2-processed-gene-12.4-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-12.4&CDS=1-1743	YER027C, YGL208W
42	OG0000042	maker-scaffold_10-snap-gene-3.0-mRNA-1_1&gene=maker-scaffold_10-snap-gene-3.0&CDS=1-450, snap_masked-scaffold_4-processed-gene-10.30-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-10.30&CDS=1-543, snap_masked-scaffold_4-processed-gene-9.140-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-9.140&CDS=1-561, snap_masked-scaffold_9-processed-gene-6.44-mRNA-1_1&gene=snap_masked-scaffold_9-processed-gene-6.44&CDS=1-567	YBR072W
43	OG0000043	genemark-scaffold_11-processed-gene-1.70-mRNA-1_1&gene=genemark-scaffold_11-processed-gene-1.70&CDS=1-906, maker-scaffold_4-augustus-gene-6.50-mRNA-1_1&gene=maker-scaffold_4-augustus-gene-6.50&CDS=1-1671, snap_masked-scaffold_4-processed-gene-7.11-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-7.11&CDS=1-1365	YDL161W, YLR206W
44	OG0000044	augustus_masked-scaffold_2-processed-gene-2.70-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-2.70&CDS=1-1749, snap_masked-scaffold_2-processed-gene-0.98-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-0.98&CDS=1-1725, snap_masked-scaffold_6-processed-gene-8.31-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-8.31&CDS=1-1725, snap_masked-scaffold_7-processed-gene-0.23-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-0.23&CDS=1-1725	YKR039W
45	OG0000045	augustus_masked-scaffold_5-processed-gene-11.91-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-11.91&CDS=1-1131, augustus_masked-scaffold_6-processed-gene-5.68-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-5.68&CDS=1-2265, maker-scaffold_2-snap-gene-4.55-mRNA-1_1&gene=maker-scaffold_2-snap-gene-4.55&CDS=1-1197	YFR004W, YLR073C
46	OG0000046	snap_masked-scaffold_2-processed-gene-5.131-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-5.131&CDS=1-2415, snap_masked-scaffold_4-processed-gene-3.37-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-3.37&CDS=1-2067	YKL088W, YKR072C, YOR054C
47	OG0000047	snap_masked-scaffold_2-processed-gene-7.117-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-7.117&CDS=1-309, snap_masked-scaffold_3-processed-gene-0.5-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-0.5&CDS=1-309, snap_masked-scaffold_4-processed-gene-15.65-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-15.65&CDS=1-309	YBR009C, YNL030W
48	OG0000048	snap_masked-scaffold_2-processed-gene-8.28-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-8.28&CDS=1-2322, snap_masked-scaffold_4-processed-gene-11.160-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-11.160&CDS=1-2331	YAL053W, YGL139W, YPL221W
49	OG0000049	snap_masked-scaffold_2-processed-gene-18.42-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-18.42&CDS=1-2547, snap_masked-scaffold_4-processed-gene-10.1-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-10.1&CDS=1-4098, snap_masked-scaffold_6-processed-gene-0.14-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-0.14&CDS=1-2580	YBR114W, YOR191W
50	OG0000050	snap_masked-scaffold_2-processed-gene-18.36-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-18.36&CDS=1-693	YDR533C, YMR322C, YOR391C, YPL280W
51	OG0000051	maker-scaffold_3-snap-gene-7.127-mRNA-1_1&gene=maker-scaffold_3-snap-gene-7.127&CDS=1-1143, snap_masked-scaffold_3-processed-gene-12.110-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-12.110&CDS=1-2607, snap_masked-scaffold_3-processed-gene-9.40-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-9.40&CDS=1-2301	YHR206W, YOR140W
52	OG0000052	snap_masked-scaffold_3-processed-gene-8.117-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-8.117&CDS=1-1011, snap_masked-scaffold_3-processed-gene-8.139-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-8.139&CDS=1-1011	YGR192C, YJL052W, YJR009C
53	OG0000053	snap_masked-scaffold_3-processed-gene-12.116-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-12.116&CDS=1-2004, snap_masked-scaffold_9-processed-gene-4.22-mRNA-1_1&gene=snap_masked-scaffold_9-processed-gene-4.22&CDS=1-3582	YFL050C, YKL064W, YOL130W
54	OG0000054	snap_masked-scaffold_4-processed-gene-1.139-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-1.139&CDS=1-1782, snap_masked-scaffold_4-processed-gene-6.36-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-6.36&CDS=1-1626, snap_masked-scaffold_4-processed-gene-7.28-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-7.28&CDS=1-2013	YLR034C, YOL122C
55	OG0000055	snap_masked-scaffold_4-processed-gene-4.54-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-4.54&CDS=1-1182, snap_masked-scaffold_5-processed-gene-3.23-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-3.23&CDS=1-855	YDL222C, YML052W, YNL194C
56	OG0000056	augustus_masked-scaffold_4-processed-gene-13.113-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-13.113&CDS=1-2349, snap_masked-scaffold_5-processed-gene-7.44-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-7.44&CDS=1-2664	YJR126C, YOR256C, YPL176C
57	OG0000057	maker-scaffold_5-snap-gene-8.55-mRNA-1_1&gene=maker-scaffold_5-snap-gene-8.55&CDS=1-1182, snap_masked-scaffold_4-processed-gene-15.23-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-15.23&CDS=1-1194	YDR021W, YJL138C, YKR059W
58	OG0000058	augustus_masked-scaffold_4-processed-gene-15.97-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-15.97&CDS=1-2631, snap_masked-scaffold_5-processed-gene-8.33-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-8.33&CDS=1-1323, snap_masked-scaffold_7-processed-gene-7.239-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-7.239&CDS=1-1449	YOL062C, YPL259C
59	OG0000059	genemark-scaffold_5-processed-gene-12.85-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-12.85&CDS=1-462, maker-scaffold_5-snap-gene-12.10-mRNA-1_1&gene=maker-scaffold_5-snap-gene-12.10&CDS=1-462, snap_masked-scaffold_8-processed-gene-2.14-mRNA-1_1&gene=snap_masked-scaffold_8-processed-gene-2.14&CDS=1-462	YDR450W, YML026C
60	OG0000060	snap_masked-scaffold_6-processed-gene-7.22-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-7.22&CDS=1-1359, snap_masked-scaffold_7-processed-gene-4.12-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-4.12&CDS=1-1377, snap_masked-scaffold_9-processed-gene-2.24-mRNA-1_1&gene=snap_masked-scaffold_9-processed-gene-2.24&CDS=1-1323	YNL330C, YPR068C
61	OG0000061	snap_masked-scaffold_6-processed-gene-8.23-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-8.23&CDS=1-618	YBR297W, YFL052W, YGR288W, YPR196W
62	OG0000062	maker-scaffold_8-snap-gene-6.41-mRNA-1_1&gene=maker-scaffold_8-snap-gene-6.41&CDS=1-1155	YDL244W, YFL058W, YJR156C, YNL332W
63	OG0000063	maker-scaffold_1-snap-gene-1.88-mRNA-1_1&gene=maker-scaffold_1-snap-gene-1.88&CDS=1-1788, snap_masked-scaffold_6-processed-gene-2.123-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-2.123&CDS=1-1875	YDR213W, YLR228C
64	OG0000064	augustus_masked-scaffold_1-processed-gene-1.70-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-1.70&CDS=1-2970, maker-scaffold_7-snap-gene-7.70-mRNA-1_1&gene=maker-scaffold_7-snap-gene-7.70&CDS=1-2604	YER041W, YGR258C
65	OG0000065	snap_masked-scaffold_1-processed-gene-1.10-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-1.10&CDS=1-2196, snap_masked-scaffold_9-processed-gene-5.111-mRNA-1_1&gene=snap_masked-scaffold_9-processed-gene-5.111&CDS=1-2220	YJR005W, YKL135C
66	OG0000066	augustus_masked-scaffold_1-processed-gene-2.41-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-2.41&CDS=1-1920	YMR006C, YMR008C, YOL011W
