	OrthologID	Saccharomyces_cerevisiae	yHMPu5000035707_Candida_heveicola
10	OG0000010	YCL069W, YGR224W, YKR105C, YPR198W	augustus_masked-flattened_line_10-processed-gene-7.60-mRNA-1_1&gene=augustus_masked-flattened_line_10-processed-gene-7.60&CDS=1-1773, augustus_masked-flattened_line_24-processed-gene-1.18-mRNA-1_1&gene=augustus_masked-flattened_line_24-processed-gene-1.18&CDS=1-1755
11	OG0000011	YDR043C, YER028C, YGL209W	augustus_masked-flattened_line_2-processed-gene-11.89-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-11.89&CDS=1-1443, maker-flattened_line_46-snap-gene-0.130-mRNA-1_1&gene=maker-flattened_line_46-snap-gene-0.130&CDS=1-1371, snap_masked-flattened_line_8-processed-gene-2.49-mRNA-1_1&gene=snap_masked-flattened_line_8-processed-gene-2.49&CDS=1-405
12	OG0000012	YDR155C, YDR304C, YML078W	augustus_masked-flattened_line_14-processed-gene-2.91-mRNA-1_1&gene=augustus_masked-flattened_line_14-processed-gene-2.91&CDS=1-648, augustus_masked-flattened_line_2-processed-gene-11.160-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-11.160&CDS=1-486, augustus_masked-flattened_line_32-processed-gene-1.52-mRNA-1_1&gene=augustus_masked-flattened_line_32-processed-gene-1.52&CDS=1-537
13	OG0000013	YER054C, YIL045W, YLR273C, YOR178C	augustus_masked-flattened_line_0-processed-gene-3.60-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-3.60&CDS=1-1875, snap_masked-flattened_line_0-processed-gene-6.77-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-6.77&CDS=1-1803
14	OG0000014	YGR287C, YIL172C, YJL216C, YJL221C, YOL157C	augustus_masked-flattened_line_2-processed-gene-6.113-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-6.113&CDS=1-1710
15	OG0000015	YHR179W, YPL171C	augustus_masked-flattened_line_10-processed-gene-3.17-mRNA-1_1&gene=augustus_masked-flattened_line_10-processed-gene-3.17&CDS=1-1224, augustus_masked-flattened_line_10-processed-gene-4.41-mRNA-1_1&gene=augustus_masked-flattened_line_10-processed-gene-4.41&CDS=1-1224, augustus_masked-flattened_line_30-processed-gene-1.82-mRNA-1_1&gene=augustus_masked-flattened_line_30-processed-gene-1.82&CDS=1-1224, augustus_masked-flattened_line_8-processed-gene-4.61-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-4.61&CDS=1-1233
16	OG0000016	YIL166C	augustus_masked-flattened_line_38-processed-gene-1.59-mRNA-1_1&gene=augustus_masked-flattened_line_38-processed-gene-1.59&CDS=1-1662, augustus_masked-flattened_line_40-processed-gene-0.32-mRNA-1_1&gene=augustus_masked-flattened_line_40-processed-gene-0.32&CDS=1-1719, augustus_masked-flattened_line_56-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-flattened_line_56-processed-gene-0.9&CDS=1-1659, genemark-flattened_line_2-processed-gene-0.52-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-0.52&CDS=1-1716, snap_masked-flattened_line_4-processed-gene-6.105-mRNA-1_1&gene=snap_masked-flattened_line_4-processed-gene-6.105&CDS=1-1734
17	OG0000017	YKR093W	augustus_masked-flattened_line_12-processed-gene-3.35-mRNA-1_1&gene=augustus_masked-flattened_line_12-processed-gene-3.35&CDS=1-1698, augustus_masked-flattened_line_16-processed-gene-4.17-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-4.17&CDS=1-1737, augustus_masked-flattened_line_18-processed-gene-0.85-mRNA-1_1&gene=augustus_masked-flattened_line_18-processed-gene-0.85&CDS=1-1671, augustus_masked-flattened_line_6-processed-gene-2.24-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-2.24&CDS=1-1758, snap_masked-flattened_line_36-processed-gene-1.17-mRNA-1_1&gene=snap_masked-flattened_line_36-processed-gene-1.17&CDS=1-1728
18	OG0000018	YML111W, YMR275C, YNR069C	augustus_masked-flattened_line_0-processed-gene-7.113-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-7.113&CDS=1-2229, augustus_masked-flattened_line_0-processed-gene-7.115-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-7.115&CDS=1-2262, augustus_masked-flattened_line_4-processed-gene-1.21-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-1.21&CDS=1-2133
19	OG0000019		augustus_masked-flattened_line_12-processed-gene-0.112-mRNA-1_1&gene=augustus_masked-flattened_line_12-processed-gene-0.112&CDS=1-2088, augustus_masked-flattened_line_2-processed-gene-1.93-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-1.93&CDS=1-2172, augustus_masked-flattened_line_22-processed-gene-3.76-mRNA-1_1&gene=augustus_masked-flattened_line_22-processed-gene-3.76&CDS=1-2064, augustus_masked-flattened_line_44-processed-gene-0.48-mRNA-1_1&gene=augustus_masked-flattened_line_44-processed-gene-0.48&CDS=1-2157, snap_masked-flattened_line_14-processed-gene-3.96-mRNA-1_1&gene=snap_masked-flattened_line_14-processed-gene-3.96&CDS=1-2079, snap_masked-flattened_line_20-processed-gene-3.188-mRNA-1_1&gene=snap_masked-flattened_line_20-processed-gene-3.188&CDS=1-2199
20	OG0000020	YBL017C, YIL173W, YJL222W, YNR065C	augustus_masked-flattened_line_0-processed-gene-2.37-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-2.37&CDS=1-4590
21	OG0000021	YBL089W, YER119C, YIL088C	augustus_masked-flattened_line_24-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-flattened_line_24-processed-gene-0.18&CDS=1-1320, augustus_masked-flattened_line_4-processed-gene-5.100-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-5.100&CDS=1-1389
22	OG0000022	YBR010W, YNL031C	augustus_masked-flattened_line_0-processed-gene-4.17-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-4.17&CDS=1-408, augustus_masked-flattened_line_24-processed-gene-1.14-mRNA-1_1&gene=augustus_masked-flattened_line_24-processed-gene-1.14&CDS=1-408, augustus_masked-flattened_line_26-processed-gene-2.20-mRNA-1_1&gene=augustus_masked-flattened_line_26-processed-gene-2.20&CDS=1-408
23	OG0000023	YBR207W, YER145C	augustus_masked-flattened_line_0-processed-gene-11.78-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-11.78&CDS=1-1197, augustus_masked-flattened_line_14-processed-gene-3.55-mRNA-1_1&gene=augustus_masked-flattened_line_14-processed-gene-3.55&CDS=1-1182, augustus_masked-flattened_line_24-processed-gene-0.32-mRNA-1_1&gene=augustus_masked-flattened_line_24-processed-gene-0.32&CDS=1-1167
24	OG0000024	YBR297W, YFL052W, YGR288W, YPR196W	augustus_masked-flattened_line_2-processed-gene-11.111-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-11.111&CDS=1-1812
25	OG0000025	YCR037C, YJL198W, YNR013C	augustus_masked-flattened_line_14-processed-gene-0.31-mRNA-1_1&gene=augustus_masked-flattened_line_14-processed-gene-0.31&CDS=1-2355, augustus_masked-flattened_line_4-processed-gene-3.84-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-3.84&CDS=1-2823
26	OG0000026	YCR094W, YNL323W, YNR048W	augustus_masked-flattened_line_10-processed-gene-2.27-mRNA-1_1&gene=augustus_masked-flattened_line_10-processed-gene-2.27&CDS=1-1377, augustus_masked-flattened_line_12-processed-gene-6.8-mRNA-1_1&gene=augustus_masked-flattened_line_12-processed-gene-6.8&CDS=1-1215
27	OG0000027	YDL049C, YJL174W, YML018C	augustus_masked-flattened_line_14-processed-gene-5.208-mRNA-1_1&gene=augustus_masked-flattened_line_14-processed-gene-5.208&CDS=1-807, maker-flattened_line_14-augustus-gene-5.0-mRNA-1_1&gene=maker-flattened_line_14-augustus-gene-5.0&CDS=1-2079
28	OG0000028	YDL244W, YFL058W, YJR156C, YNL332W	augustus_masked-flattened_line_6-processed-gene-8.56-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-8.56&CDS=1-1029
29	OG0000029	YDR038C, YDR039C, YDR040C	augustus_masked-flattened_line_12-processed-gene-6.26-mRNA-1_1&gene=augustus_masked-flattened_line_12-processed-gene-6.26&CDS=1-3201, augustus_masked-flattened_line_2-processed-gene-11.110-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-11.110&CDS=1-3249
30	OG0000030	YDR242W	augustus_masked-flattened_line_2-processed-gene-5.54-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-5.54&CDS=1-1632, augustus_masked-flattened_line_20-processed-gene-3.57-mRNA-1_1&gene=augustus_masked-flattened_line_20-processed-gene-3.57&CDS=1-1710, augustus_masked-flattened_line_44-processed-gene-0.49-mRNA-1_1&gene=augustus_masked-flattened_line_44-processed-gene-0.49&CDS=1-1698, augustus_masked-flattened_line_44-processed-gene-0.69-mRNA-1_1&gene=augustus_masked-flattened_line_44-processed-gene-0.69&CDS=1-1620
31	OG0000031	YDR276C, YDR525W-A, YJL151C	augustus_masked-flattened_line_26-processed-gene-1.42-mRNA-1_1&gene=augustus_masked-flattened_line_26-processed-gene-1.42&CDS=1-396, genemark-flattened_line_4-processed-gene-1.102-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-1.102&CDS=1-165
32	OG0000032	YDR326C, YFL042C, YHR080C	augustus_masked-flattened_line_0-processed-gene-2.54-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-2.54&CDS=1-2346, snap_masked-flattened_line_8-processed-gene-6.45-mRNA-1_1&gene=snap_masked-flattened_line_8-processed-gene-6.45&CDS=1-2415
33	OG0000033	YDR342C, YDR343C, YHR092C	augustus_masked-flattened_line_26-processed-gene-1.40-mRNA-1_1&gene=augustus_masked-flattened_line_26-processed-gene-1.40&CDS=1-1632, maker-flattened_line_10-snap-gene-2.0-mRNA-1_1&gene=maker-flattened_line_10-snap-gene-2.0&CDS=1-3252
34	OG0000034	YDR368W, YOR120W	augustus_masked-flattened_line_38-processed-gene-1.64-mRNA-1_1&gene=augustus_masked-flattened_line_38-processed-gene-1.64&CDS=1-900, augustus_masked-flattened_line_46-processed-gene-0.90-mRNA-1_1&gene=augustus_masked-flattened_line_46-processed-gene-0.90&CDS=1-1503, snap_masked-flattened_line_6-processed-gene-7.111-mRNA-1_1&gene=snap_masked-flattened_line_6-processed-gene-7.111&CDS=1-867
35	OG0000035	YDR533C, YMR322C, YOR391C, YPL280W	augustus_masked-flattened_line_20-processed-gene-3.12-mRNA-1_1&gene=augustus_masked-flattened_line_20-processed-gene-3.12&CDS=1-699
36	OG0000036	YGL185C, YNL274C, YPL113C	augustus_masked-flattened_line_14-processed-gene-3.80-mRNA-1_1&gene=augustus_masked-flattened_line_14-processed-gene-3.80&CDS=1-1095, augustus_masked-flattened_line_18-processed-gene-1.75-mRNA-1_1&gene=augustus_masked-flattened_line_18-processed-gene-1.75&CDS=1-1020
37	OG0000037	YGL257C, YNR059W	augustus_masked-flattened_line_8-processed-gene-5.13-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-5.13&CDS=1-2148, snap_masked-flattened_line_44-processed-gene-0.24-mRNA-1_1&gene=snap_masked-flattened_line_44-processed-gene-0.24&CDS=1-1683, snap_masked-flattened_line_6-processed-gene-8.97-mRNA-1_1&gene=snap_masked-flattened_line_6-processed-gene-8.97&CDS=1-1548
38	OG0000038	YGR192C, YJL052W, YJR009C	augustus_masked-flattened_line_0-processed-gene-5.92-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-5.92&CDS=1-993, augustus_masked-flattened_line_2-processed-gene-7.51-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-7.51&CDS=1-996
39	OG0000039	YGR260W	augustus_masked-flattened_line_10-processed-gene-4.61-mRNA-1_1&gene=augustus_masked-flattened_line_10-processed-gene-4.61&CDS=1-1560, maker-flattened_line_4-snap-gene-0.51-mRNA-1_1&gene=maker-flattened_line_4-snap-gene-0.51&CDS=1-3015, snap_masked-flattened_line_20-processed-gene-1.114-mRNA-1_1&gene=snap_masked-flattened_line_20-processed-gene-1.114&CDS=1-1545, snap_masked-flattened_line_8-processed-gene-0.8-mRNA-1_1&gene=snap_masked-flattened_line_8-processed-gene-0.8&CDS=1-1557
40	OG0000040	YGR263C	augustus_masked-flattened_line_0-processed-gene-4.25-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-4.25&CDS=1-1155, augustus_masked-flattened_line_20-processed-gene-0.53-mRNA-1_1&gene=augustus_masked-flattened_line_20-processed-gene-0.53&CDS=1-1182, augustus_masked-flattened_line_36-processed-gene-1.121-mRNA-1_1&gene=augustus_masked-flattened_line_36-processed-gene-1.121&CDS=1-1113, augustus_masked-flattened_line_8-processed-gene-3.45-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-3.45&CDS=1-1236
41	OG0000041	YGR281W	augustus_masked-flattened_line_0-processed-gene-5.66-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-5.66&CDS=1-4290, augustus_masked-flattened_line_16-processed-gene-4.27-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-4.27&CDS=1-4587, augustus_masked-flattened_line_16-processed-gene-4.40-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-4.40&CDS=1-7398, snap_masked-flattened_line_6-processed-gene-3.3-mRNA-1_1&gene=snap_masked-flattened_line_6-processed-gene-3.3&CDS=1-4179
42	OG0000042	YKL220C, YLL051C, YNR060W, YOR381W, YOR384W	
43	OG0000043	YLR144C, YNR067C	augustus_masked-flattened_line_0-processed-gene-1.84-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-1.84&CDS=1-2106, augustus_masked-flattened_line_24-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-flattened_line_24-processed-gene-0.13&CDS=1-3420, augustus_masked-flattened_line_38-processed-gene-1.83-mRNA-1_1&gene=augustus_masked-flattened_line_38-processed-gene-1.83&CDS=1-2124
44	OG0000044	YLR380W	augustus_masked-flattened_line_48-processed-gene-0.25-mRNA-1_1&gene=augustus_masked-flattened_line_48-processed-gene-0.25&CDS=1-1311, augustus_masked-flattened_line_6-processed-gene-8.28-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-8.28&CDS=1-1314, snap_masked-flattened_line_14-processed-gene-5.143-mRNA-1_1&gene=snap_masked-flattened_line_14-processed-gene-5.143&CDS=1-1341, snap_masked-flattened_line_18-processed-gene-4.6-mRNA-1_1&gene=snap_masked-flattened_line_18-processed-gene-4.6&CDS=1-1659
45	OG0000045	YMR006C, YMR008C, YOL011W	augustus_masked-flattened_line_0-processed-gene-1.80-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-1.80&CDS=1-1905, augustus_masked-flattened_line_32-processed-gene-1.33-mRNA-1_1&gene=augustus_masked-flattened_line_32-processed-gene-1.33&CDS=1-2208
46	OG0000046	YPL265W	augustus_masked-flattened_line_4-processed-gene-6.59-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-6.59&CDS=1-1725, augustus_masked-flattened_line_56-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-flattened_line_56-processed-gene-0.8&CDS=1-1719, genemark-flattened_line_52-processed-gene-0.2-mRNA-1_1&gene=genemark-flattened_line_52-processed-gene-0.2&CDS=1-1728, maker-flattened_line_6-snap-gene-8.76-mRNA-1_1&gene=maker-flattened_line_6-snap-gene-8.76&CDS=1-3396
47	OG0000047	YAL023C, YGR199W	augustus_masked-flattened_line_16-processed-gene-1.11-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-1.11&CDS=1-2352, augustus_masked-flattened_line_2-processed-gene-7.69-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-7.69&CDS=1-2265
48	OG0000048	YAR035W, YER024W	augustus_masked-flattened_line_0-processed-gene-7.98-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-7.98&CDS=1-2250, maker-flattened_line_22-augustus-gene-1.3-mRNA-1_1&gene=maker-flattened_line_22-augustus-gene-1.3&CDS=1-3933
49	OG0000049	YAR066W, YHR214W, YIL169C, YOL155C	
50	OG0000050	YBL097W, YMR152W	augustus_masked-flattened_line_18-processed-gene-4.171-mRNA-1_1&gene=augustus_masked-flattened_line_18-processed-gene-4.171&CDS=1-1098, snap_masked-flattened_line_40-processed-gene-1.20-mRNA-1_1&gene=snap_masked-flattened_line_40-processed-gene-1.20&CDS=1-3144
51	OG0000051	YBR009C, YNL030W	augustus_masked-flattened_line_0-processed-gene-4.34-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-4.34&CDS=1-309, augustus_masked-flattened_line_24-processed-gene-1.36-mRNA-1_1&gene=augustus_masked-flattened_line_24-processed-gene-1.36&CDS=1-309
52	OG0000052	YBR015C, YJL186W	augustus_masked-flattened_line_16-processed-gene-4.13-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-4.13&CDS=1-2100, augustus_masked-flattened_line_4-processed-gene-5.103-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-5.103&CDS=1-1665
53	OG0000053	YBR025C, YHL014C	augustus_masked-flattened_line_38-processed-gene-1.72-mRNA-1_1&gene=augustus_masked-flattened_line_38-processed-gene-1.72&CDS=1-1188, genemark-flattened_line_36-processed-gene-0.112-mRNA-1_1&gene=genemark-flattened_line_36-processed-gene-0.112&CDS=1-1233
54	OG0000054	YBR118W, YPR080W	augustus_masked-flattened_line_32-processed-gene-1.41-mRNA-1_1&gene=augustus_masked-flattened_line_32-processed-gene-1.41&CDS=1-747, augustus_masked-flattened_line_50-processed-gene-0.42-mRNA-1_1&gene=augustus_masked-flattened_line_50-processed-gene-0.42&CDS=1-747
55	OG0000055	YBR237W, YNL112W	augustus_masked-flattened_line_16-processed-gene-1.23-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-1.23&CDS=1-2613, maker-flattened_line_6-augustus-gene-2.96-mRNA-1_1&gene=maker-flattened_line_6-augustus-gene-2.96&CDS=1-1605
56	OG0000056	YBR239C, YJL103C	augustus_masked-flattened_line_20-processed-gene-1.36-mRNA-1_1&gene=augustus_masked-flattened_line_20-processed-gene-1.36&CDS=1-1512, snap_masked-flattened_line_10-processed-gene-7.107-mRNA-1_1&gene=snap_masked-flattened_line_10-processed-gene-7.107&CDS=1-1299
57	OG0000057	YBR245C, YOR304W	augustus_masked-flattened_line_14-processed-gene-5.213-mRNA-1_1&gene=augustus_masked-flattened_line_14-processed-gene-5.213&CDS=1-3207, snap_masked-flattened_line_4-processed-gene-3.7-mRNA-1_1&gene=snap_masked-flattened_line_4-processed-gene-3.7&CDS=1-3024
58	OG0000058	YBR298C, YDL247W, YJR160C	augustus_masked-flattened_line_2-processed-gene-11.112-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-11.112&CDS=1-1734
59	OG0000059	YCL064C, YIL167W	augustus_masked-flattened_line_0-processed-gene-11.79-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-11.79&CDS=1-1053, augustus_masked-flattened_line_14-processed-gene-5.258-mRNA-1_1&gene=augustus_masked-flattened_line_14-processed-gene-5.258&CDS=1-1005
60	OG0000060	YCR004C, YDR032C	augustus_masked-flattened_line_26-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-flattened_line_26-processed-gene-0.19&CDS=1-840, maker-flattened_line_26-snap-gene-0.38-mRNA-1_1&gene=maker-flattened_line_26-snap-gene-0.38&CDS=1-1158
61	OG0000061	YDL066W, YLR174W	augustus_masked-flattened_line_0-processed-gene-10.23-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-10.23&CDS=1-1254, snap_masked-flattened_line_22-processed-gene-0.74-mRNA-1_1&gene=snap_masked-flattened_line_22-processed-gene-0.74&CDS=1-1224
