	OrthologID	Candida_boidinii_JCM9604	Saccharomyces_cerevisiae
10	OG0000010	-processed-gene-0.24-mRNA-1_1&gene=genemark-gi|1002316608|dbj|BCGP01000012.1|-processed-gene-0.24&CDS=1-1680, -processed-gene-5.58-mRNA-1_1&gene=augustus_masked-gi|1002316617|dbj|BCGP01000003.1|-processed-gene-5.58&CDS=1-1857, -processed-gene-6.34-mRNA-1_1&gene=augustus_masked-gi|1002316615|dbj|BCGP01000005.1|-processed-gene-6.34&CDS=1-1716, -snap-gene-1.1-mRNA-1_1&gene=maker-gi|1002316615|dbj|BCGP01000005.1|-snap-gene-1.1&CDS=1-3615, -snap-gene-1.34-mRNA-1_1&gene=maker-gi|1002316612|dbj|BCGP01000008.1|-snap-gene-1.34&CDS=1-2898, -snap-gene-13.84-mRNA-1_1&gene=maker-gi|1002316616|dbj|BCGP01000004.1|-snap-gene-13.84&CDS=1-3564	YBR132C
11	OG0000011	-augustus-gene-1.98-mRNA-1_1&gene=maker-gi|1002316608|dbj|BCGP01000012.1|-augustus-gene-1.98&CDS=1-4884, -processed-gene-0.12-mRNA-1_1&gene=snap_masked-gi|1002316615|dbj|BCGP01000005.1|-processed-gene-0.12&CDS=1-2790, -processed-gene-1.10-mRNA-1_1&gene=genemark-gi|1002316608|dbj|BCGP01000012.1|-processed-gene-1.10&CDS=1-4890	YBL017C, YIL173W, YJL222W, YNR065C
12	OG0000012	-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-gi|1002316612|dbj|BCGP01000008.1|-processed-gene-0.24&CDS=1-1056, -processed-gene-20.60-mRNA-1_1&gene=augustus_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-20.60&CDS=1-1113, -processed-gene-6.19-mRNA-1_1&gene=augustus_masked-gi|1002316614|dbj|BCGP01000006.1|-processed-gene-6.19&CDS=1-1044, -processed-gene-9.87-mRNA-1_1&gene=augustus_masked-gi|1002316618|dbj|BCGP01000002.1|-processed-gene-9.87&CDS=1-1125	YMR083W, YMR303C, YOL086C
13	OG0000013	-processed-gene-1.45-mRNA-1_1&gene=snap_masked-gi|1002316618|dbj|BCGP01000002.1|-processed-gene-1.45&CDS=1-2127, -processed-gene-10.34-mRNA-1_1&gene=augustus_masked-gi|1002316618|dbj|BCGP01000002.1|-processed-gene-10.34&CDS=1-1809, -processed-gene-18.62-mRNA-1_1&gene=augustus_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-18.62&CDS=1-2565, -processed-gene-5.27-mRNA-1_1&gene=augustus_masked-gi|1002316615|dbj|BCGP01000005.1|-processed-gene-5.27&CDS=1-1884, -snap-gene-16.52-mRNA-1_1&gene=maker-gi|1002316617|dbj|BCGP01000003.1|-snap-gene-16.52&CDS=1-3984	YBR015C, YJL186W
14	OG0000014	-augustus-gene-0.0-mRNA-1_1&gene=maker-gi|1002316610|dbj|BCGP01000010.1|-augustus-gene-0.0&CDS=1-3318, -processed-gene-0.54-mRNA-1_1&gene=augustus_masked-gi|1002316613|dbj|BCGP01000007.1|-processed-gene-0.54&CDS=1-1116, -processed-gene-1.44-mRNA-1_1&gene=snap_masked-gi|1002316617|dbj|BCGP01000003.1|-processed-gene-1.44&CDS=1-2025, -processed-gene-22.47-mRNA-1_1&gene=augustus_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-22.47&CDS=1-1875, -snap-gene-0.68-mRNA-1_1&gene=maker-gi|1002316603|dbj|BCGP01000017.1|-snap-gene-0.68&CDS=1-1881	YDR207C
15	OG0000015	-processed-gene-1.26-mRNA-1_1&gene=augustus_masked-gi|1002316606|dbj|BCGP01000014.1|-processed-gene-1.26&CDS=1-1836, -processed-gene-28.23-mRNA-1_1&gene=augustus_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-28.23&CDS=1-3099, -processed-gene-4.84-mRNA-1_1&gene=augustus_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-4.84&CDS=1-2400	YDL025C, YNL183C, YOR267C
16	OG0000016	-processed-gene-0.48-mRNA-1_1&gene=augustus_masked-gi|1002316607|dbj|BCGP01000013.1|-processed-gene-0.48&CDS=1-2019, -processed-gene-32.74-mRNA-1_1&gene=augustus_masked-gi|1002316618|dbj|BCGP01000002.1|-processed-gene-32.74&CDS=1-1662, -processed-gene-33.16-mRNA-1_1&gene=augustus_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-33.16&CDS=1-1653	YHR050W, YLR034C, YOL122C
17	OG0000017	-processed-gene-0.30-mRNA-1_1&gene=augustus_masked-gi|1002316609|dbj|BCGP01000011.1|-processed-gene-0.30&CDS=1-3942, -processed-gene-2.18-mRNA-1_1&gene=augustus_masked-gi|1002316614|dbj|BCGP01000006.1|-processed-gene-2.18&CDS=1-2352, -processed-gene-2.59-mRNA-1_1&gene=augustus_masked-gi|1002316615|dbj|BCGP01000005.1|-processed-gene-2.59&CDS=1-4728	YGR067C, YMR182C, YPL230W
18	OG0000018	-processed-gene-1.16-mRNA-1_1&gene=augustus_masked-gi|1002316609|dbj|BCGP01000011.1|-processed-gene-1.16&CDS=1-1740, -processed-gene-1.3-mRNA-1_1&gene=augustus_masked-gi|1002316617|dbj|BCGP01000003.1|-processed-gene-1.3&CDS=1-1569, -processed-gene-21.67-mRNA-1_1&gene=augustus_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-21.67&CDS=1-1680, -processed-gene-24.21-mRNA-1_1&gene=augustus_masked-gi|1002316617|dbj|BCGP01000003.1|-processed-gene-24.21&CDS=1-1512, -processed-gene-4.173-mRNA-1_1&gene=augustus_masked-gi|1002316612|dbj|BCGP01000008.1|-processed-gene-4.173&CDS=1-1602	YOL119C
19	OG0000019	-processed-gene-2.46-mRNA-1_1&gene=augustus_masked-gi|1002316609|dbj|BCGP01000011.1|-processed-gene-2.46&CDS=1-1488	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W
20	OG0000020	-processed-gene-2.25-mRNA-1_1&gene=augustus_masked-gi|1002316611|dbj|BCGP01000009.1|-processed-gene-2.25&CDS=1-687, -snap-gene-2.74-mRNA-1_1&gene=maker-gi|1002316611|dbj|BCGP01000009.1|-snap-gene-2.74&CDS=1-1032	YBR067C, YER011W, YIL011W, YOR010C
21	OG0000021	-processed-gene-2.67-mRNA-1_1&gene=snap_masked-gi|1002316611|dbj|BCGP01000009.1|-processed-gene-2.67&CDS=1-3231, -processed-gene-7.85-mRNA-1_1&gene=snap_masked-gi|1002316616|dbj|BCGP01000004.1|-processed-gene-7.85&CDS=1-4686	YDR326C, YFL042C, YHR080C, YLR072W
22	OG0000022	-augustus-gene-34.51-mRNA-1_1&gene=maker-gi|1002316618|dbj|BCGP01000002.1|-augustus-gene-34.51&CDS=1-2559, -processed-gene-1.38-mRNA-1_1&gene=augustus_masked-gi|1002316613|dbj|BCGP01000007.1|-processed-gene-1.38&CDS=1-2418, -processed-gene-3.38-mRNA-1_1&gene=augustus_masked-gi|1002316617|dbj|BCGP01000003.1|-processed-gene-3.38&CDS=1-2175, -processed-gene-3.59-mRNA-1_1&gene=snap_masked-gi|1002316617|dbj|BCGP01000003.1|-processed-gene-3.59&CDS=1-2103	YJR061W, YKL201C
23	OG0000023	-processed-gene-37.79-mRNA-1_1&gene=augustus_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-37.79&CDS=1-4896, -snap-gene-2.111-mRNA-1_1&gene=maker-gi|1002316615|dbj|BCGP01000005.1|-snap-gene-2.111&CDS=1-2160	YDR541C, YGL039W, YGL157W, YOL151W
24	OG0000024	-processed-gene-7.28-mRNA-1_1&gene=augustus_masked-gi|1002316618|dbj|BCGP01000002.1|-processed-gene-7.28&CDS=1-2583, -processed-gene-8.33-mRNA-1_1&gene=snap_masked-gi|1002316618|dbj|BCGP01000002.1|-processed-gene-8.33&CDS=1-2967, -processed-gene-8.34-mRNA-1_1&gene=snap_masked-gi|1002316618|dbj|BCGP01000002.1|-processed-gene-8.34&CDS=1-3189	YML111W, YMR275C, YNR069C
25	OG0000025	-processed-gene-19.70-mRNA-1_1&gene=augustus_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-19.70&CDS=1-3423, -processed-gene-5.111-mRNA-1_1&gene=augustus_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-5.111&CDS=1-3357, -snap-gene-11.115-mRNA-1_1&gene=maker-gi|1002316619|dbj|BCGP01000001.1|-snap-gene-11.115&CDS=1-2532	YBR245C, YFR038W, YOR304W
26	OG0000026		YAL063C, YAL064C-A, YAR050W, YHR211W, YHR213W, YKR102W
27	OG0000027	-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-gi|1002316594|dbj|BCGP01000026.1|-processed-gene-0.2&CDS=1-2280, -processed-gene-11.60-mRNA-1_1&gene=augustus_masked-gi|1002316616|dbj|BCGP01000004.1|-processed-gene-11.60&CDS=1-3237	YDR038C, YDR039C, YDR040C
28	OG0000028	-processed-gene-0.110-mRNA-1_1&gene=augustus_masked-gi|1002316601|dbj|BCGP01000019.1|-processed-gene-0.110&CDS=1-3408, -snap-gene-18.73-mRNA-1_1&gene=maker-gi|1002316618|dbj|BCGP01000002.1|-snap-gene-18.73&CDS=1-3087	YIL002C, YNL106C, YOR109W
29	OG0000029	-processed-gene-0.34-mRNA-1_1&gene=augustus_masked-gi|1002316602|dbj|BCGP01000018.1|-processed-gene-0.34&CDS=1-732, -processed-gene-26.102-mRNA-1_1&gene=augustus_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-26.102&CDS=1-1224	YBR042C, YDR018C, YOR298W
30	OG0000030	-processed-gene-0.150-mRNA-1_1&gene=augustus_masked-gi|1002316603|dbj|BCGP01000017.1|-processed-gene-0.150&CDS=1-3012, -processed-gene-35.3-mRNA-1_1&gene=augustus_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-35.3&CDS=1-2526	YDR385W, YKL173W, YOR133W
31	OG0000031	-processed-gene-0.155-mRNA-1_1&gene=augustus_masked-gi|1002316603|dbj|BCGP01000017.1|-processed-gene-0.155&CDS=1-1188, -processed-gene-6.0-mRNA-1_1&gene=augustus_masked-gi|1002316614|dbj|BCGP01000006.1|-processed-gene-6.0&CDS=1-1437	YDR021W, YJL138C, YKR059W
32	OG0000032	-processed-gene-0.192-mRNA-1_1&gene=augustus_masked-gi|1002316604|dbj|BCGP01000016.1|-processed-gene-0.192&CDS=1-1755, -processed-gene-26.17-mRNA-1_1&gene=snap_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-26.17&CDS=1-1761, -processed-gene-3.27-mRNA-1_1&gene=augustus_masked-gi|1002316617|dbj|BCGP01000003.1|-processed-gene-3.27&CDS=1-1785, -snap-gene-0.7-mRNA-1_1&gene=maker-gi|1002316604|dbj|BCGP01000016.1|-snap-gene-0.7&CDS=1-4959	YKR039W
33	OG0000033	-processed-gene-0.195-mRNA-1_1&gene=augustus_masked-gi|1002316604|dbj|BCGP01000016.1|-processed-gene-0.195&CDS=1-2091, -processed-gene-6.11-mRNA-1_1&gene=augustus_masked-gi|1002316614|dbj|BCGP01000006.1|-processed-gene-6.11&CDS=1-1968	YER045C, YIL036W, YNL167C
34	OG0000034	-processed-gene-21.69-mRNA-1_1&gene=augustus_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-21.69&CDS=1-1230, -snap-gene-1.1-mRNA-1_1&gene=maker-gi|1002316605|dbj|BCGP01000015.1|-snap-gene-1.1&CDS=1-3084, -snap-gene-1.2-mRNA-1_1&gene=maker-gi|1002316605|dbj|BCGP01000015.1|-snap-gene-1.2&CDS=1-3924	YHR179W, YPL171C
35	OG0000035	-processed-gene-1.29-mRNA-1_1&gene=augustus_masked-gi|1002316606|dbj|BCGP01000014.1|-processed-gene-1.29&CDS=1-2058, -processed-gene-23.35-mRNA-1_1&gene=augustus_masked-gi|1002316617|dbj|BCGP01000003.1|-processed-gene-23.35&CDS=1-2208, -snap-gene-3.105-mRNA-1_1&gene=maker-gi|1002316613|dbj|BCGP01000007.1|-snap-gene-3.105&CDS=1-1182	YER133W, YML016C
36	OG0000036	-processed-gene-11.55-mRNA-1_1&gene=augustus_masked-gi|1002316617|dbj|BCGP01000003.1|-processed-gene-11.55&CDS=1-3720, -processed-gene-2.57-mRNA-1_1&gene=augustus_masked-gi|1002316607|dbj|BCGP01000013.1|-processed-gene-2.57&CDS=1-3360	YFR022W, YGR068C, YOR018W
37	OG0000037	-processed-gene-0.37-mRNA-1_1&gene=augustus_masked-gi|1002316609|dbj|BCGP01000011.1|-processed-gene-0.37&CDS=1-1335, -processed-gene-0.53-mRNA-1_1&gene=augustus_masked-gi|1002316618|dbj|BCGP01000002.1|-processed-gene-0.53&CDS=1-2157, -processed-gene-1.56-mRNA-1_1&gene=augustus_masked-gi|1002316608|dbj|BCGP01000012.1|-processed-gene-1.56&CDS=1-2814, -processed-gene-12.17-mRNA-1_1&gene=augustus_masked-gi|1002316617|dbj|BCGP01000003.1|-processed-gene-12.17&CDS=1-1278	YNL027W
38	OG0000038	-processed-gene-1.60-mRNA-1_1&gene=augustus_masked-gi|1002316608|dbj|BCGP01000012.1|-processed-gene-1.60&CDS=1-3072, -processed-gene-30.84-mRNA-1_1&gene=augustus_masked-gi|1002316617|dbj|BCGP01000003.1|-processed-gene-30.84&CDS=1-2937	YKL088W, YKR072C, YOR054C
39	OG0000039	-augustus-gene-20.31-mRNA-1_1&gene=maker-gi|1002316618|dbj|BCGP01000002.1|-augustus-gene-20.31&CDS=1-4161, -processed-gene-1.29-mRNA-1_1&gene=augustus_masked-gi|1002316609|dbj|BCGP01000011.1|-processed-gene-1.29&CDS=1-1653, -processed-gene-3.122-mRNA-1_1&gene=augustus_masked-gi|1002316611|dbj|BCGP01000009.1|-processed-gene-3.122&CDS=1-3903	YDR523C, YHR102W
40	OG0000040	-processed-gene-1.4-mRNA-1_1&gene=augustus_masked-gi|1002316618|dbj|BCGP01000002.1|-processed-gene-1.4&CDS=1-3960, -processed-gene-2.16-mRNA-1_1&gene=augustus_masked-gi|1002316609|dbj|BCGP01000011.1|-processed-gene-2.16&CDS=1-2883	YCR037C, YJL198W, YNR013C
41	OG0000041	-processed-gene-28.22-mRNA-1_1&gene=augustus_masked-gi|1002316617|dbj|BCGP01000003.1|-processed-gene-28.22&CDS=1-5229, -snap-gene-0.63-mRNA-1_1&gene=maker-gi|1002316611|dbj|BCGP01000009.1|-snap-gene-0.63&CDS=1-3780	YJL042W, YOR227W, YPL137C
42	OG0000042	-augustus-gene-20.63-mRNA-1_1&gene=maker-gi|1002316617|dbj|BCGP01000003.1|-augustus-gene-20.63&CDS=1-960, -processed-gene-2.21-mRNA-1_1&gene=augustus_masked-gi|1002316611|dbj|BCGP01000009.1|-processed-gene-2.21&CDS=1-978	YBL068W, YER099C, YHL011C
43	OG0000043	-processed-gene-1.4-mRNA-1_1&gene=augustus_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-1.4&CDS=1-2013, -processed-gene-29.79-mRNA-1_1&gene=augustus_masked-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-29.79&CDS=1-1944, -processed-gene-3.149-mRNA-1_1&gene=augustus_masked-gi|1002316611|dbj|BCGP01000009.1|-processed-gene-3.149&CDS=1-1941	YJL034W, YLL024C
44	OG0000044	-processed-gene-11.57-mRNA-1_1&gene=augustus_masked-gi|1002316616|dbj|BCGP01000004.1|-processed-gene-11.57&CDS=1-1530, -processed-gene-27.49-mRNA-1_1&gene=genemark-gi|1002316619|dbj|BCGP01000001.1|-processed-gene-27.49&CDS=1-1587, -processed-gene-5.2-mRNA-1_1&gene=augustus_masked-gi|1002316613|dbj|BCGP01000007.1|-processed-gene-5.2&CDS=1-1434, -processed-gene-7.35-mRNA-1_1&gene=augustus_masked-gi|1002316614|dbj|BCGP01000006.1|-processed-gene-7.35&CDS=1-1527	YMR020W
45	OG0000045	-processed-gene-4.38-mRNA-1_1&gene=augustus_masked-gi|1002316614|dbj|BCGP01000006.1|-processed-gene-4.38&CDS=1-1506, -processed-gene-6.111-mRNA-1_1&gene=augustus_masked-gi|1002316613|dbj|BCGP01000007.1|-processed-gene-6.111&CDS=1-1710	YBL089W, YER119C, YIL088C
46	OG0000046	-processed-gene-7.127-mRNA-1_1&gene=augustus_masked-gi|1002316613|dbj|BCGP01000007.1|-processed-gene-7.127&CDS=1-1944	YCL069W, YGR224W, YKR105C, YPR198W
