	OrthologID	Saccharomyces_cerevisiae	Sclerotinia_sclerotiorum
125	OG0000125	YCR010C, YNR002C	XP_001594537.1
126	OG0000126	YCR026C, YEL016C	XP_001587414.1
127	OG0000127	YCR031C, YJL191W	XP_001598004.1
128	OG0000128	YCR048W, YNR019W	XP_001591925.1
129	OG0000129	YCR052W, YNR023W	XP_001585637.1
130	OG0000130	YCR067C, YNR026C	XP_001598547.1
131	OG0000131	YCR073C, YNR031C	XP_001592357.1
132	OG0000132	YCR073W-A, YNR034W	XP_001591742.1
133	OG0000133	YCR094W, YNR048W	XP_001593442.1
134	OG0000134	YDL022W, YOL059W	XP_001586217.1
135	OG0000135	YDL036C, YOL066C	XP_001593660.1
136	OG0000136	YDL042C, YOL068C	XP_001592426.1
137	OG0000137	YDL049C, YJL174W	XP_001590153.1
138	OG0000138	YDL061C, YLR388W	XP_001595493.1
139	OG0000139	YDL070W, YLR399C	XP_001584715.1
140	OG0000140	YDL075W, YLR406C	XP_001587147.1
141	OG0000141	YDL082W, YMR142C	XP_001596672.1
142	OG0000142	YDL083C, YMR143W	XP_001598002.1
143	OG0000143	YDL109C, YGL144C	XP_001585866.1
144	OG0000144	YDL114W	XP_001589250.1, XP_001592623.1
145	OG0000145	YDL134C, YDL188C	XP_001590749.1
146	OG0000146	YDL136W, YDL191W	XP_001592594.1
147	OG0000147	YDL138W	XP_001593101.1, XP_001594028.1
148	OG0000148	YDL161W, YLR206W	XP_001598257.1
149	OG0000149	YDL204W, YDR233C	XP_001597771.1
150	OG0000150	YDL210W	XP_001586145.1, XP_001593450.1
151	OG0000151	YDL246C, YJR159W	XP_001593056.1
152	OG0000152	YDR006C	XP_001588313.1, XP_001591422.1
153	OG0000153	YDR028C	XP_001589247.1, XP_001597517.1
154	OG0000154	YDR066C, YER139C	XP_001590534.1
155	OG0000155	YDR098C, YER174C	XP_001591016.1
156	OG0000156	YDR107C, YLR083C	XP_001584761.1
157	OG0000157	YDR122W, YLR096W	XP_001596720.1
158	OG0000158	YDR132C, YLR108C	XP_001598288.1
159	OG0000159	YDR146C, YLR131C	XP_001586913.1
160	OG0000160	YDR147W, YLR133W	XP_001584866.1
161	OG0000161	YDR178W, YLR164W	XP_001593251.1
162	OG0000162	YDR185C, YLR168C	XP_001595629.1
163	OG0000163	YDR200C, YLR238W	XP_001588339.1
164	OG0000164	YDR242W	XP_001584936.1, XP_001596417.1
165	OG0000165	YDR247W, YPL026C	XP_001592302.1
166	OG0000166	YDR252W, YPL037C	XP_001584916.1
167	OG0000167	YDR253C, YPL038W	XP_001587381.1
168	OG0000168	YDR263C, YOR033C	XP_001586808.1
169	OG0000169	YDR264C, YOR034C	XP_001590170.1
170	OG0000170	YDR272W, YOR040W	XP_001598204.1
171	OG0000171	YDR300C, YHR033W	XP_001589888.1
172	OG0000172	YDR312W, YHR066W	XP_001592325.1
173	OG0000173	YDR326C, YHR080C	XP_001596356.1
174	OG0000174	YDR346C	XP_001590756.1, XP_001597723.1
175	OG0000175	YDR348C, YHR097C	XP_001593967.1
176	OG0000176	YDR358W, YHR108W	XP_001586710.1
177	OG0000177	YDR368W, YOR120W	XP_001592499.1
178	OG0000178	YDR379W, YOR127W	XP_001597129.1
179	OG0000179	YDR385W, YOR133W	XP_001597147.1
180	OG0000180	YDR409W, YOR156C	XP_001590260.1
181	OG0000181	YDR418W, YEL054C	XP_001586492.1
182	OG0000182	YDR419W	XP_001587550.1, XP_001595076.1
183	OG0000183	YDR447C, YML024W	XP_001590535.1
184	OG0000184	YDR450W, YML026C	XP_001586515.1
185	OG0000185	YDR451C, YML027W	XP_001594714.1
186	OG0000186	YDR458C, YML034W	XP_001591093.1
187	OG0000187	YDR471W, YHR010W	XP_001588009.1
188	OG0000188	YDR497C, YOL103W	XP_001588855.1
189	OG0000189	YDR500C, YLR185W	XP_001585941.1
190	OG0000190	YDR501W, YLR183C	XP_001590932.1
191	OG0000191	YDR502C, YLR180W	XP_001592354.1
192	OG0000192	YDR505C, YLR177W	XP_001588962.1
193	OG0000193	YEL006W, YIL006W	XP_001588131.1
194	OG0000194	YEL022W, YJR031C	XP_001590741.1
195	OG0000195	YEL023C	XP_001586549.1, XP_001589755.1
196	OG0000196	YEL034W, YJR047C	XP_001597678.1
197	OG0000197	YEL039C, YJR048W	XP_001598900.1
198	OG0000198	YEL041W, YJR049C	XP_001596616.1
199	OG0000199	YEL047C, YJR051W	XP_001591476.1
200	OG0000200	YER023W	XP_001588417.1, XP_001595592.1
201	OG0000201	YER027C, YGL208W	XP_001598124.1
202	OG0000202	YER054C, YIL045W	XP_001592143.1
203	OG0000203	YER056C-A, YIL052C	XP_001595121.1
204	OG0000204	YER057C, YIL051C	XP_001593280.1
205	OG0000205	YER059W, YIL050W	XP_001586242.1
206	OG0000206	YER062C, YIL053W	XP_001597369.1
207	OG0000207	YER066W, YFL009W	XP_001587651.1
208	OG0000208	YER074W, YIL069C	XP_001598862.1
209	OG0000209	YER131W, YGL189C	XP_001587796.1
210	OG0000210	YER185W, YGR213C	XP_001592895.1
211	OG0000211	YFL004W, YPL019C	XP_001591222.1
212	OG0000212	YFL017C	XP_001584839.1, XP_001597604.1
213	OG0000213	YFL034C-A, YLR061W	XP_001588789.1
214	OG0000214	YFL048C, YLR080W	XP_001585421.1
215	OG0000215	YFL050C, YOL130W	XP_001597939.1
216	OG0000216	YFL061W, YNL335W	XP_001592420.1
217	OG0000217	YFR020W	XP_001588904.1, XP_001588906.1
218	OG0000218	YFR022W, YOR018W	XP_001596179.1
219	OG0000219	YFR031C-A, YIL018W	XP_001598509.1
220	OG0000220	YGL031C, YGR148C	XP_001584911.1
221	OG0000221	YGL049C, YGR162W	XP_001598022.1
222	OG0000222	YGL076C, YPL198W	XP_001597919.1
223	OG0000223	YGL082W, YPL191C	XP_001597638.1
224	OG0000224	YGL084C, YPL189W	XP_001592850.1
225	OG0000225	YGL096W, YPL177C	XP_001589917.1
226	OG0000226	YGL133W, YPL216W	XP_001585423.1
227	OG0000227	YGL135W, YPL220W	XP_001598446.1
228	OG0000228	YGL139W, YPL221W	XP_001588604.1
229	OG0000229	YGL147C, YNL067W	XP_001596964.1
230	OG0000230	YGL160W, YLR047C	XP_001586852.1
231	OG0000231	YGR004W, YLR324W	XP_001594812.1
232	OG0000232	YGR008C, YLR327C	XP_001588115.1
233	OG0000233	YGR009C, YMR017W	XP_001590915.1
234	OG0000234	YGR010W, YLR328W	XP_001596007.1
235	OG0000235	YGR027C, YLR333C	XP_001598738.1
236	OG0000236	YGR034W, YLR344W	XP_001596288.1
237	OG0000237	YGR038W, YLR350W	XP_001588721.1
238	OG0000238	YGR056W, YLR357W	XP_001586985.1
239	OG0000239	YGR085C, YPR102C	XP_001586298.1
240	OG0000240	YGR092W, YPR111W	XP_001593686.1
241	OG0000241	YGR108W, YPR119W	XP_001592511.1
242	OG0000242	YGR118W, YPR132W	XP_001588322.1
243	OG0000243	YGR121C, YPR138C	XP_001594694.1
244	OG0000244	YGR131W, YPR149W	XP_001588858.1
245	OG0000245	YGR138C, YPR156C	XP_001586919.1
246	OG0000246	YGR141W, YPR157W	XP_001593887.1
247	OG0000247	YGR143W, YPR159W	XP_001589156.1
248	OG0000248	YGR197C, YJR015W	XP_001595563.1
249	OG0000249	YGR209C, YLR043C	XP_001590794.1
250	OG0000250	YGR214W, YLR048W	XP_001587181.1
251	OG0000251	YGR238C, YHR158C	XP_001589710.1
252	OG0000252	YGR241C, YHR161C	XP_001594908.1
253	OG0000253	YGR243W, YHR162W	XP_001593989.1
254	OG0000254	YGR273C, YMR295C	XP_001586305.1
255	OG0000255	YGR279C, YMR305C	XP_001586995.1
256	OG0000256	YHL001W, YKL006W	XP_001593855.1
257	OG0000257	YHL003C, YKL008C	XP_001595110.1
258	OG0000258	YHL009W-B, YJL113W, YPL060C-A	
259	OG0000259	YHL017W, YKL039W	XP_001587367.1
260	OG0000260	YHL032C	XP_001593890.1, XP_001598363.1
261	OG0000261	YHL033C, YLL045C	XP_001598059.1
262	OG0000262	YHL039W, YPL208W	XP_001593069.1
263	OG0000263	YHR001W, YKR003W	XP_001594423.1
264	OG0000264	YHR021C, YKL156W	XP_001589701.1
265	OG0000265	YHR063C	XP_001586073.1, XP_001592059.1
266	OG0000266	YHR115C, YNL116W	XP_001598432.1
267	OG0000267	YHR117W, YNL121C	XP_001594012.1
268	OG0000268	YHR123W, YNL130C	XP_001596334.1
269	OG0000269	YHR131C, YNL144C	XP_001591761.1
270	OG0000270	YHR132W-A, YNL157W	XP_001588109.1
271	OG0000271	YHR133C, YNL156C	XP_001593061.1
272	OG0000272	YHR141C, YNL162W	XP_001593955.1
273	OG0000273	YHR146W, YNL173C	XP_001588089.1
274	OG0000274	YHR155W, YNL257C	XP_001591960.1
275	OG0000275	YHR179W, YPL171C	XP_001597795.1
276	OG0000276	YHR198C, YHR199C	XP_001591796.1
277	OG0000277	YHR203C, YJR145C	XP_001586067.1
278	OG0000278	YHR208W, YJR148W	XP_001592644.1
279	OG0000279	YIL085C, YNL029C	XP_001587449.1
280	OG0000280	YIL095W, YNL020C	XP_001591757.1
281	OG0000281	YIL105C, YNL047C	XP_001587736.1
282	OG0000282	YIL111W, YNL052W	XP_001591171.1
283	OG0000283	YIL113W, YNL053W	XP_001591504.1
284	OG0000284	YIL114C, YNL055C	XP_001588204.1
285	OG0000285	YIL117C, YNL058C	XP_001596853.1
286	OG0000286	YIL148W, YKR094C	XP_001597677.1
287	OG0000287	YIL149C, YKR095W	XP_001587660.1
288	OG0000288	YIR033W, YKL020C	XP_001590999.1
289	OG0000289	YIR035C, YIR036C	XP_001595222.1
290	OG0000290	YJL042W, YOR227W	XP_001588767.1
291	OG0000291	YJL082W, YKR018C	XP_001596911.1
292	OG0000292	YJL083W, YKR019C	XP_001595254.1
293	OG0000293	YJL084C, YKR021W	XP_001587401.1
294	OG0000294	YJL098W, YKR028W	XP_001593227.1
295	OG0000295	YJL105W, YKR029C	XP_001591106.1
296	OG0000296	YJL133W, YKR052C	XP_001591328.1
297	OG0000297	YJL134W, YKR053C	XP_001595966.1
298	OG0000298	YJL136C, YKR057W	XP_001587048.1
299	OG0000299	YJL137C, YKR058W	XP_001591867.1
300	OG0000300	YJL138C, YKR059W	XP_001594651.1
301	OG0000301	YJL177W, YKL180W	XP_001586516.1
302	OG0000302	YJL190C, YLR367W	XP_001597981.1
303	OG0000303	YJR054W, YML047C	XP_001595931.1
304	OG0000304	YJR091C, YPR042C	XP_001585427.1
305	OG0000305	YJR094W-A, YPR043W	XP_001585408.1
306	OG0000306	YJR116W	XP_001597437.1, XP_001598721.1
307	OG0000307	YJR127C, YML081W	XP_001595027.1
308	OG0000308	YJR130C, YML082W	XP_001587760.1
309	OG0000309	YKL033W-A	XP_001584956.1, XP_001592797.1
310	OG0000310	YKL072W, YMR053C	XP_001593391.1
311	OG0000311	YKL081W, YPL048W	XP_001598134.1
312	OG0000312	YKL121W, YMR102C	XP_001587417.1
313	OG0000313	YKL126W, YMR104C	XP_001584558.1
314	OG0000314	YKL128C	XP_001585209.1, XP_001588154.1
315	OG0000315	YKL132C, YMR113W	XP_001595626.1
316	OG0000316	YKL141W, YMR118C	XP_001597467.1
317	OG0000317	YKL174C	XP_001591233.1, XP_001595695.1
318	OG0000318	YKR089C, YOR081C	XP_001594915.1
319	OG0000319	YKR091W, YOR083W	XP_001584946.1
320	OG0000320	YLL012W, YLR020C	XP_001597248.1
321	OG0000321	YLL016W, YLR310C	XP_001595025.1
322	OG0000322	YLR126C	XP_001590517.1, XP_001597808.1
323	OG0000323	YLR142W	XP_001587046.1, XP_001595593.1
324	OG0000324	YLR178C, YLR179C	XP_001598027.1
325	OG0000325	YLR187W, YNL278W	XP_001586279.1
326	OG0000326	YLR284C, YOR180C	XP_001590007.1
327	OG0000327	YLR287C-A, YOR182C	XP_001593611.1
328	OG0000328	YLR299W	XP_001584844.1, XP_001588493.1
329	OG0000329	YLR300W, YOR190W	XP_001592853.1
330	OG0000330	YLR448W, YML073C	XP_001596961.1
331	OG0000331	YLR449W, YML074C	XP_001589352.1
332	OG0000332	YLR450W, YML075C	XP_001593096.1
333	OG0000333	YLR451W	XP_001590351.1, XP_001592838.1
334	OG0000334	YLR456W, YPR172W	XP_001596541.1
335	OG0000335	YML100W, YMR261C	XP_001586238.1
336	OG0000336	YML106W, YMR271C	XP_001597154.1
337	OG0000337	YML109W, YMR273C	XP_001585618.1
338	OG0000338	YMR177W, YPL224C	XP_001591894.1
339	OG0000339	YMR182C, YPL230W	XP_001587957.1
340	OG0000340	YMR183C, YPL232W	XP_001585875.1
341	OG0000341	YMR194W, YPL249C-A	XP_001586348.1
342	OG0000342	YMR222C, YOR280C	XP_001589740.1
343	OG0000343	YMR230W, YOR293W	XP_001588945.1
344	OG0000344	YMR233W, YOR295W	XP_001595016.1
345	OG0000345	YMR237W, YOR299W	XP_001596923.1
346	OG0000346	YMR242C, YOR312C	XP_001592983.1
347	OG0000347	YMR243C, YOR316C	XP_001593376.1
348	OG0000348	YMR244C-A	XP_001591273.1, XP_001596409.1
349	OG0000349	YNL087W, YOR086C	XP_001594427.1
350	OG0000350	YNL096C, YOR096W	XP_001586490.1
351	OG0000351	YNL106C, YOR109W	XP_001594679.1
352	OG0000352	YNL108C, YOR110W	XP_001591522.1
353	OG0000353	YNL283C, YOL105C	XP_001591302.1
354	OG0000354	YNL299W, YOL115W	XP_001594811.1
355	OG0000355	YNL301C, YOL120C	XP_001588139.1
356	OG0000356	YNL302C, YOL121C	XP_001598413.1
357	OG0000357	YOL048C	XP_001591284.1, XP_001594504.1
358	OG0000358	YOR023C	XP_001585471.1, XP_001595608.1
359	OG0000359	YOR049C	XP_001584691.1, XP_001595320.1
360	OG0000360	YOR126C	XP_001585321.1, XP_001592150.1
361	OG0000361	YOR226C, YPL135W	XP_001588081.1
362	OG0000362	YOR231W, YPL140C	XP_001597973.1
363	OG0000363	YOR234C, YPL143W	XP_001586307.1
364	OG0000364	YOR237W, YPL145C	XP_001592321.1
365	OG0000365	YOR306C	XP_001590635.1, XP_001597462.1
366	OG0000366	YOR320C	XP_001591753.1, XP_001597311.1
367	OG0000367	YOR390W, YPL279C	XP_001595267.1
368	OG0000368	YPL085W	XP_001586417.1, XP_001590244.1
369	OG0000369	YPR013C, YPR015C	XP_001596751.1
370	OG0000370	YPR169W-A, YPR170W-B	XP_001596625.1
371	OG0000371	Q0060	YP_009389054.1, YP_009389069.1
372	OG0000372	YAL002W	XP_001593082.1
373	OG0000373	YAL003W	XP_001592470.1
374	OG0000374	YAL009W	XP_001589084.1
375	OG0000375	YAL010C	XP_001587445.1
376	OG0000376	YAL011W	XP_001594231.1
377	OG0000377	YAL012W	XP_001597508.1
378	OG0000378	YAL013W	XP_001597499.1
379	OG0000379	YAL016W	XP_001591673.1
380	OG0000380	YAL019W	XP_001586303.1
381	OG0000381	YAL020C	XP_001597920.1
382	OG0000382	YAL021C	XP_001586611.1
383	OG0000383	YAL022C	XP_001589034.1
384	OG0000384	YAL023C	XP_001590995.1
385	OG0000385	YAL024C	XP_001587198.1
386	OG0000386	YAL025C	XP_001590018.1
387	OG0000387	YAL026C	XP_001590049.1
388	OG0000388	YAL032C	XP_001589408.1
389	OG0000389	YAL034W-A	XP_001591535.1
390	OG0000390	YAL035W	XP_001597682.1
391	OG0000391	YAL036C	XP_001591529.1
392	OG0000392	YAL038W	XP_001594760.1
393	OG0000393	YAL039C	XP_001594966.1
394	OG0000394	YAL041W	XP_001592800.1
395	OG0000395	YAL042W	XP_001584773.1
396	OG0000396	YAL043C	XP_001597497.1
397	OG0000397	YAL044C	XP_001597962.1
398	OG0000398	YAL044W-A	XP_001594901.1
399	OG0000399	YAL046C	XP_001592149.1
400	OG0000400	YAL048C	XP_001595983.1
401	OG0000401	YAL049C	XP_001585308.1
402	OG0000402	YAL058W	XP_001594877.1
403	OG0000403	YAR003W	XP_001593004.1
404	OG0000404	YAR007C	XP_001590433.1
405	OG0000405	YAR008W	XP_001590739.1
406	OG0000406	YAR015W	XP_001594191.1
407	OG0000407	YAR018C	XP_001593731.1
408	OG0000408	YAR035W	XP_001597395.1
409	OG0000409	YBL001C	XP_001585347.1
410	OG0000410	YBL004W	XP_001585743.1
411	OG0000411	YBL007C	XP_001597350.1
412	OG0000412	YBL011W	XP_001598241.1
413	OG0000413	YBL013W	XP_001595712.1
414	OG0000414	YBL015W	XP_001595885.1
415	OG0000415	YBL016W	XP_001586837.1
416	OG0000416	YBL019W	XP_001594195.1
417	OG0000417	YBL020W	XP_001588079.1
418	OG0000418	YBL021C	XP_001594613.1
419	OG0000419	YBL022C	XP_001589102.1
420	OG0000420	YBL023C	XP_001598933.1
421	OG0000421	YBL024W	XP_001596785.1
422	OG0000422	YBL026W	XP_001597514.1
423	OG0000423	YBL029C-A	XP_001593293.1
424	OG0000424	YBL033C	XP_001598971.1
425	OG0000425	YBL034C	XP_001597132.1
426	OG0000426	YBL035C	XP_001595498.1
427	OG0000427	YBL036C	XP_001598286.1
428	OG0000428	YBL037W	XP_001593144.1
429	OG0000429	YBL038W	XP_001598823.1
430	OG0000430	YBL039C	XP_001589075.1
431	OG0000431	YBL040C	XP_001597574.1
432	OG0000432	YBL041W	XP_001586321.1
433	OG0000433	YBL047C	XP_001597355.1
434	OG0000434	YBL049W	XP_001591541.1
435	OG0000435	YBL050W	XP_001593893.1
