	OrthologID	Saccharomyces_cerevisiae	yHMPu5000035302_Candida_fragi
10	OG0000010	YJR061W, YKL201C	augustus_masked-flattened_line_36-processed-gene-1.77-mRNA-1_1&gene=augustus_masked-flattened_line_36-processed-gene-1.77&CDS=1-1788, snap_masked-flattened_line_14-processed-gene-1.58-mRNA-1_1&gene=snap_masked-flattened_line_14-processed-gene-1.58&CDS=1-2046, snap_masked-flattened_line_50-processed-gene-0.147-mRNA-1_1&gene=snap_masked-flattened_line_50-processed-gene-0.147&CDS=1-1443, snap_masked-flattened_line_6-processed-gene-3.76-mRNA-1_1&gene=snap_masked-flattened_line_6-processed-gene-3.76&CDS=1-2250, snap_masked-flattened_line_6-processed-gene-3.80-mRNA-1_1&gene=snap_masked-flattened_line_6-processed-gene-3.80&CDS=1-2256, snap_masked-flattened_line_64-processed-gene-0.199-mRNA-1_1&gene=snap_masked-flattened_line_64-processed-gene-0.199&CDS=1-2562
11	OG0000011		augustus_masked-flattened_line_112-processed-gene-0.63-mRNA-1_1&gene=augustus_masked-flattened_line_112-processed-gene-0.63&CDS=1-1887, augustus_masked-flattened_line_170-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-flattened_line_170-processed-gene-0.13&CDS=1-2013, augustus_masked-flattened_line_74-processed-gene-0.54-mRNA-1_1&gene=augustus_masked-flattened_line_74-processed-gene-0.54&CDS=1-1803, genemark-flattened_line_126-processed-gene-0.29-mRNA-1_1&gene=genemark-flattened_line_126-processed-gene-0.29&CDS=1-1221, maker-flattened_line_126-snap-gene-0.24-mRNA-1_1&gene=maker-flattened_line_126-snap-gene-0.24&CDS=1-1563, snap_masked-flattened_line_176-processed-gene-0.4-mRNA-1_1&gene=snap_masked-flattened_line_176-processed-gene-0.4&CDS=1-2139, snap_masked-flattened_line_176-processed-gene-0.5-mRNA-1_1&gene=snap_masked-flattened_line_176-processed-gene-0.5&CDS=1-1179, snap_masked-flattened_line_194-processed-gene-0.1-mRNA-1_1&gene=snap_masked-flattened_line_194-processed-gene-0.1&CDS=1-1842
12	OG0000012	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W	snap_masked-flattened_line_0-processed-gene-2.16-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-2.16&CDS=1-1386, snap_masked-flattened_line_42-processed-gene-0.112-mRNA-1_1&gene=snap_masked-flattened_line_42-processed-gene-0.112&CDS=1-1392
13	OG0000013	YBR015C	augustus_masked-flattened_line_22-processed-gene-1.79-mRNA-1_1&gene=augustus_masked-flattened_line_22-processed-gene-1.79&CDS=1-1644, augustus_masked-flattened_line_26-processed-gene-1.76-mRNA-1_1&gene=augustus_masked-flattened_line_26-processed-gene-1.76&CDS=1-1581, genemark-flattened_line_6-processed-gene-3.45-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-3.45&CDS=1-1902, snap_masked-flattened_line_0-processed-gene-5.130-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-5.130&CDS=1-1686, snap_masked-flattened_line_20-processed-gene-1.47-mRNA-1_1&gene=snap_masked-flattened_line_20-processed-gene-1.47&CDS=1-1932, snap_masked-flattened_line_24-processed-gene-1.178-mRNA-1_1&gene=snap_masked-flattened_line_24-processed-gene-1.178&CDS=1-2091
14	OG0000014	YDR207C	augustus_masked-flattened_line_58-processed-gene-0.221-mRNA-1_1&gene=augustus_masked-flattened_line_58-processed-gene-0.221&CDS=1-1431, maker-flattened_line_104-snap-gene-0.0-mRNA-1_1&gene=maker-flattened_line_104-snap-gene-0.0&CDS=1-1521, snap_masked-flattened_line_112-processed-gene-0.13-mRNA-1_1&gene=snap_masked-flattened_line_112-processed-gene-0.13&CDS=1-1740, snap_masked-flattened_line_34-processed-gene-1.11-mRNA-1_1&gene=snap_masked-flattened_line_34-processed-gene-1.11&CDS=1-963, snap_masked-flattened_line_4-processed-gene-2.86-mRNA-1_1&gene=snap_masked-flattened_line_4-processed-gene-2.86&CDS=1-2010, snap_masked-flattened_line_64-processed-gene-0.175-mRNA-1_1&gene=snap_masked-flattened_line_64-processed-gene-0.175&CDS=1-2223
15	OG0000015		augustus_masked-flattened_line_164-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-flattened_line_164-processed-gene-0.5&CDS=1-1656, augustus_masked-flattened_line_204-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_204-processed-gene-0.0&CDS=1-2301, augustus_masked-flattened_line_248-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_248-processed-gene-0.0&CDS=1-399, augustus_masked-flattened_line_274-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_274-processed-gene-0.1&CDS=1-396, augustus_masked-flattened_line_448-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_448-processed-gene-0.0&CDS=1-318, augustus_masked-flattened_line_456-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-flattened_line_456-processed-gene-0.2&CDS=1-312, augustus_masked-flattened_line_46-processed-gene-0.119-mRNA-1_1&gene=augustus_masked-flattened_line_46-processed-gene-0.119&CDS=1-2313
16	OG0000016	YAL063C, YAL064C-A, YAR050W, YHR211W, YHR213W, YKR102W	
17	OG0000017	YBR150C, YOL089C	augustus_masked-flattened_line_72-processed-gene-0.56-mRNA-1_1&gene=augustus_masked-flattened_line_72-processed-gene-0.56&CDS=1-2472, snap_masked-flattened_line_0-processed-gene-1.42-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-1.42&CDS=1-1434, snap_masked-flattened_line_72-processed-gene-0.13-mRNA-1_1&gene=snap_masked-flattened_line_72-processed-gene-0.13&CDS=1-2421, snap_masked-flattened_line_72-processed-gene-0.14-mRNA-1_1&gene=snap_masked-flattened_line_72-processed-gene-0.14&CDS=1-2205
18	OG0000018	YBR293W, YMR088C	augustus_masked-flattened_line_48-processed-gene-0.54-mRNA-1_1&gene=augustus_masked-flattened_line_48-processed-gene-0.54&CDS=1-1707, snap_masked-flattened_line_28-processed-gene-1.208-mRNA-1_1&gene=snap_masked-flattened_line_28-processed-gene-1.208&CDS=1-1737, snap_masked-flattened_line_36-processed-gene-1.22-mRNA-1_1&gene=snap_masked-flattened_line_36-processed-gene-1.22&CDS=1-1644, snap_masked-flattened_line_48-processed-gene-0.89-mRNA-1_1&gene=snap_masked-flattened_line_48-processed-gene-0.89&CDS=1-1698
19	OG0000019	YCL069W, YGR224W, YKR105C, YPR198W	snap_masked-flattened_line_10-processed-gene-0.89-mRNA-1_1&gene=snap_masked-flattened_line_10-processed-gene-0.89&CDS=1-1785, snap_masked-flattened_line_66-processed-gene-0.9-mRNA-1_1&gene=snap_masked-flattened_line_66-processed-gene-0.9&CDS=1-1785
20	OG0000020	YDL025C, YNL183C, YOR267C	augustus_masked-flattened_line_32-processed-gene-1.145-mRNA-1_1&gene=augustus_masked-flattened_line_32-processed-gene-1.145&CDS=1-1545, augustus_masked-flattened_line_48-processed-gene-0.35-mRNA-1_1&gene=augustus_masked-flattened_line_48-processed-gene-0.35&CDS=1-2277, snap_masked-flattened_line_16-processed-gene-0.96-mRNA-1_1&gene=snap_masked-flattened_line_16-processed-gene-0.96&CDS=1-2064
21	OG0000021	YDR541C, YOL151W	augustus_masked-flattened_line_20-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-flattened_line_20-processed-gene-0.6&CDS=1-1020, snap_masked-flattened_line_10-processed-gene-2.72-mRNA-1_1&gene=snap_masked-flattened_line_10-processed-gene-2.72&CDS=1-1014, snap_masked-flattened_line_152-processed-gene-0.17-mRNA-1_1&gene=snap_masked-flattened_line_152-processed-gene-0.17&CDS=1-1002, snap_masked-flattened_line_22-processed-gene-1.135-mRNA-1_1&gene=snap_masked-flattened_line_22-processed-gene-1.135&CDS=1-1008
22	OG0000022	YER054C, YIL045W, YLR273C, YOR178C	augustus_masked-flattened_line_26-processed-gene-1.121-mRNA-1_1&gene=augustus_masked-flattened_line_26-processed-gene-1.121&CDS=1-1551, genemark-flattened_line_30-processed-gene-1.48-mRNA-1_1&gene=genemark-flattened_line_30-processed-gene-1.48&CDS=1-1743
23	OG0000023	YGR205W, YGR263C	augustus_masked-flattened_line_58-processed-gene-0.165-mRNA-1_1&gene=augustus_masked-flattened_line_58-processed-gene-0.165&CDS=1-1914, augustus_masked-flattened_line_8-processed-gene-0.121-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-0.121&CDS=1-1248, maker-flattened_line_2-snap-gene-2.48-mRNA-1_1&gene=maker-flattened_line_2-snap-gene-2.48&CDS=1-2511, snap_masked-flattened_line_22-processed-gene-2.119-mRNA-1_1&gene=snap_masked-flattened_line_22-processed-gene-2.119&CDS=1-948
24	OG0000024	YHL019C, YOL062C, YPL259C	snap_masked-flattened_line_14-processed-gene-0.110-mRNA-1_1&gene=snap_masked-flattened_line_14-processed-gene-0.110&CDS=1-1326, snap_masked-flattened_line_156-processed-gene-0.20-mRNA-1_1&gene=snap_masked-flattened_line_156-processed-gene-0.20&CDS=1-1680, snap_masked-flattened_line_32-processed-gene-1.80-mRNA-1_1&gene=snap_masked-flattened_line_32-processed-gene-1.80&CDS=1-1299
25	OG0000025	YJL172W, YOL153C	augustus_masked-flattened_line_42-processed-gene-0.257-mRNA-1_1&gene=augustus_masked-flattened_line_42-processed-gene-0.257&CDS=1-1743, snap_masked-flattened_line_16-processed-gene-2.15-mRNA-1_1&gene=snap_masked-flattened_line_16-processed-gene-2.15&CDS=1-1743, snap_masked-flattened_line_22-processed-gene-0.10-mRNA-1_1&gene=snap_masked-flattened_line_22-processed-gene-0.10&CDS=1-1758, snap_masked-flattened_line_30-processed-gene-0.96-mRNA-1_1&gene=snap_masked-flattened_line_30-processed-gene-0.96&CDS=1-1758
26	OG0000026	YLL005C, YMR266W, YOL084W	maker-flattened_line_0-augustus-gene-4.43-mRNA-1_1&gene=maker-flattened_line_0-augustus-gene-4.43&CDS=1-3438, snap_masked-flattened_line_28-processed-gene-1.251-mRNA-1_1&gene=snap_masked-flattened_line_28-processed-gene-1.251&CDS=1-2127, snap_masked-flattened_line_90-processed-gene-0.2-mRNA-1_1&gene=snap_masked-flattened_line_90-processed-gene-0.2&CDS=1-2745
27	OG0000027	YLR090W, YLR386W, YNL064C	augustus_masked-flattened_line_12-processed-gene-0.40-mRNA-1_1&gene=augustus_masked-flattened_line_12-processed-gene-0.40&CDS=1-1224, maker-flattened_line_46-augustus-gene-0.267-mRNA-1_1&gene=maker-flattened_line_46-augustus-gene-0.267&CDS=1-4572, snap_masked-flattened_line_18-processed-gene-2.106-mRNA-1_1&gene=snap_masked-flattened_line_18-processed-gene-2.106&CDS=1-1362
28	OG0000028	YLR352W, YNR032C-A	augustus_masked-flattened_line_12-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-flattened_line_12-processed-gene-0.23&CDS=1-204, augustus_masked-flattened_line_132-processed-gene-0.25-mRNA-1_1&gene=augustus_masked-flattened_line_132-processed-gene-0.25&CDS=1-1500, augustus_masked-flattened_line_266-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-flattened_line_266-processed-gene-0.2&CDS=1-399, augustus_masked-flattened_line_86-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_86-processed-gene-0.1&CDS=1-210
29	OG0000029	YMR006C, YMR008C, YOL011W	snap_masked-flattened_line_0-processed-gene-0.51-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-0.51&CDS=1-2304, snap_masked-flattened_line_156-processed-gene-0.22-mRNA-1_1&gene=snap_masked-flattened_line_156-processed-gene-0.22&CDS=1-1863, snap_masked-flattened_line_32-processed-gene-1.121-mRNA-1_1&gene=snap_masked-flattened_line_32-processed-gene-1.121&CDS=1-1935
30	OG0000030	YBL017C, YIL173W, YJL222W, YNR065C	augustus_masked-flattened_line_8-processed-gene-0.120-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-0.120&CDS=1-4524
31	OG0000031	YBL056W, YBR125C, YER089C	snap_masked-flattened_line_4-processed-gene-0.7-mRNA-1_1&gene=snap_masked-flattened_line_4-processed-gene-0.7&CDS=1-1404, snap_masked-flattened_line_60-processed-gene-0.7-mRNA-1_1&gene=snap_masked-flattened_line_60-processed-gene-0.7&CDS=1-1023
32	OG0000032	YBR010W, YNL031C	snap_masked-flattened_line_158-processed-gene-0.17-mRNA-1_1&gene=snap_masked-flattened_line_158-processed-gene-0.17&CDS=1-408, snap_masked-flattened_line_22-processed-gene-0.6-mRNA-1_1&gene=snap_masked-flattened_line_22-processed-gene-0.6&CDS=1-408, snap_masked-flattened_line_6-processed-gene-3.129-mRNA-1_1&gene=snap_masked-flattened_line_6-processed-gene-3.129&CDS=1-408
33	OG0000033	YBR038W, YNL192W	snap_masked-flattened_line_2-processed-gene-4.62-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-4.62&CDS=1-2991, snap_masked-flattened_line_22-processed-gene-1.131-mRNA-1_1&gene=snap_masked-flattened_line_22-processed-gene-1.131&CDS=1-3078, snap_masked-flattened_line_62-processed-gene-0.193-mRNA-1_1&gene=snap_masked-flattened_line_62-processed-gene-0.193&CDS=1-2859
34	OG0000034	YBR062C, YDR143C	snap_masked-flattened_line_128-processed-gene-0.5-mRNA-1_1&gene=snap_masked-flattened_line_128-processed-gene-0.5&CDS=1-1035, snap_masked-flattened_line_184-processed-gene-0.2-mRNA-1_1&gene=snap_masked-flattened_line_184-processed-gene-0.2&CDS=1-1263, snap_masked-flattened_line_66-processed-gene-0.50-mRNA-1_1&gene=snap_masked-flattened_line_66-processed-gene-0.50&CDS=1-576
35	OG0000035	YBR207W, YER145C	snap_masked-flattened_line_0-processed-gene-5.123-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-5.123&CDS=1-1290, snap_masked-flattened_line_118-processed-gene-0.44-mRNA-1_1&gene=snap_masked-flattened_line_118-processed-gene-0.44&CDS=1-1158, snap_masked-flattened_line_120-processed-gene-0.19-mRNA-1_1&gene=snap_masked-flattened_line_120-processed-gene-0.19&CDS=1-1155
36	OG0000036	YBR297W, YFL052W, YGR288W, YPR196W	snap_masked-flattened_line_54-processed-gene-0.95-mRNA-1_1&gene=snap_masked-flattened_line_54-processed-gene-0.95&CDS=1-2103
37	OG0000037	YBR298C, YDL247W, YGR289C, YJR160C	snap_masked-flattened_line_54-processed-gene-0.126-mRNA-1_1&gene=snap_masked-flattened_line_54-processed-gene-0.126&CDS=1-1722
38	OG0000038	YCR037C, YJL198W, YNR013C	augustus_masked-flattened_line_14-processed-gene-2.200-mRNA-1_1&gene=augustus_masked-flattened_line_14-processed-gene-2.200&CDS=1-2862, snap_masked-flattened_line_44-processed-gene-0.245-mRNA-1_1&gene=snap_masked-flattened_line_44-processed-gene-0.245&CDS=1-2433
39	OG0000039	YCR065W, YIL131C, YNL068C	snap_masked-flattened_line_0-processed-gene-4.80-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-4.80&CDS=1-1887, snap_masked-flattened_line_2-processed-gene-4.69-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-4.69&CDS=1-2031
40	OG0000040	YCR094W, YNL323W, YNR048W	snap_masked-flattened_line_34-processed-gene-0.72-mRNA-1_1&gene=snap_masked-flattened_line_34-processed-gene-0.72&CDS=1-1164, snap_masked-flattened_line_50-processed-gene-0.136-mRNA-1_1&gene=snap_masked-flattened_line_50-processed-gene-0.136&CDS=1-1272
41	OG0000041	YDL078C, YKL085W	snap_masked-flattened_line_110-processed-gene-0.56-mRNA-1_1&gene=snap_masked-flattened_line_110-processed-gene-0.56&CDS=1-1011, snap_masked-flattened_line_20-processed-gene-1.57-mRNA-1_1&gene=snap_masked-flattened_line_20-processed-gene-1.57&CDS=1-1032, snap_masked-flattened_line_6-processed-gene-3.86-mRNA-1_1&gene=snap_masked-flattened_line_6-processed-gene-3.86&CDS=1-996
42	OG0000042	YDL109C, YDR444W, YGL144C	snap_masked-flattened_line_14-processed-gene-2.139-mRNA-1_1&gene=snap_masked-flattened_line_14-processed-gene-2.139&CDS=1-2322, snap_masked-flattened_line_28-processed-gene-0.85-mRNA-1_1&gene=snap_masked-flattened_line_28-processed-gene-0.85&CDS=1-2253
43	OG0000043	YDL137W, YDL192W, YOR094W	snap_masked-flattened_line_2-processed-gene-4.107-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-4.107&CDS=1-525, snap_masked-flattened_line_34-processed-gene-0.66-mRNA-1_1&gene=snap_masked-flattened_line_34-processed-gene-0.66&CDS=1-543
44	OG0000044	YDL244W, YFL058W, YJR156C, YNL332W	snap_masked-flattened_line_142-processed-gene-0.1-mRNA-1_1&gene=snap_masked-flattened_line_142-processed-gene-0.1&CDS=1-1017
45	OG0000045	YDR011W, YOR153W	snap_masked-flattened_line_12-processed-gene-1.24-mRNA-1_1&gene=snap_masked-flattened_line_12-processed-gene-1.24&CDS=1-4473, snap_masked-flattened_line_22-processed-gene-1.133-mRNA-1_1&gene=snap_masked-flattened_line_22-processed-gene-1.133&CDS=1-4485, snap_masked-flattened_line_38-processed-gene-1.54-mRNA-1_1&gene=snap_masked-flattened_line_38-processed-gene-1.54&CDS=1-4434
46	OG0000046	YDR038C, YDR039C, YDR040C	augustus_masked-flattened_line_78-processed-gene-0.136-mRNA-1_1&gene=augustus_masked-flattened_line_78-processed-gene-0.136&CDS=1-3231, genemark-flattened_line_122-processed-gene-0.34-mRNA-1_1&gene=genemark-flattened_line_122-processed-gene-0.34&CDS=1-4908
47	OG0000047	YDR216W, YJR127C, YML081W	augustus_masked-flattened_line_44-processed-gene-0.130-mRNA-1_1&gene=augustus_masked-flattened_line_44-processed-gene-0.130&CDS=1-3069, snap_masked-flattened_line_8-processed-gene-2.54-mRNA-1_1&gene=snap_masked-flattened_line_8-processed-gene-2.54&CDS=1-3540
48	OG0000048	YDR253C, YGR067C, YPL038W	augustus_masked-flattened_line_120-processed-gene-0.33-mRNA-1_1&gene=augustus_masked-flattened_line_120-processed-gene-0.33&CDS=1-1206, snap_masked-flattened_line_20-processed-gene-2.30-mRNA-1_1&gene=snap_masked-flattened_line_20-processed-gene-2.30&CDS=1-3057
49	OG0000049	YDR326C, YFL042C, YHR080C	augustus_masked-flattened_line_4-processed-gene-4.207-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-4.207&CDS=1-3132, snap_masked-flattened_line_0-processed-gene-3.52-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-3.52&CDS=1-2415
