	OrthologID	Saccharomyces_cerevisiae	Spathaspora_hagerdaliae
10	OG0000010	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W	genemark-LQHL01001836.1-processed-gene-0.53-mRNA-1_1&gene=genemark-LQHL01001836.1-processed-gene-0.53&CDS=1-1389, genemark-LQHL01001836.1-processed-gene-0.54-mRNA-1_1&gene=genemark-LQHL01001836.1-processed-gene-0.54&CDS=1-1341
11	OG0000011	YGR109W-A, YGR109W-B, YIL082W, YIL082W-A	augustus_masked-LQHL01001154.1-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-LQHL01001154.1-processed-gene-0.4&CDS=1-1044, genemark-LQHL01001652.1-processed-gene-0.16-mRNA-1_1&gene=genemark-LQHL01001652.1-processed-gene-0.16&CDS=1-5397, snap_masked-LQHL01000982.1-processed-gene-0.2-mRNA-1_1&gene=snap_masked-LQHL01000982.1-processed-gene-0.2&CDS=1-783
12	OG0000012	YHR179W, YPL171C	genemark-LQHL01000533.1-processed-gene-0.0-mRNA-1_1&gene=genemark-LQHL01000533.1-processed-gene-0.0&CDS=1-429, genemark-LQHL01001590.1-processed-gene-0.20-mRNA-1_1&gene=genemark-LQHL01001590.1-processed-gene-0.20&CDS=1-1212, genemark-LQHL01001698.1-processed-gene-0.17-mRNA-1_1&gene=genemark-LQHL01001698.1-processed-gene-0.17&CDS=1-1188, maker-LQHL01001764.1-snap-gene-0.15-mRNA-1_1&gene=maker-LQHL01001764.1-snap-gene-0.15&CDS=1-2376, snap_masked-LQHL01001833.1-processed-gene-0.43-mRNA-1_1&gene=snap_masked-LQHL01001833.1-processed-gene-0.43&CDS=1-1212
13	OG0000013	YKL217W	genemark-LQHL01001296.1-processed-gene-0.1-mRNA-1_1&gene=genemark-LQHL01001296.1-processed-gene-0.1&CDS=1-1563, genemark-LQHL01001361.1-processed-gene-0.2-mRNA-1_1&gene=genemark-LQHL01001361.1-processed-gene-0.2&CDS=1-1554, genemark-LQHL01001644.1-processed-gene-0.21-mRNA-1_1&gene=genemark-LQHL01001644.1-processed-gene-0.21&CDS=1-1569, genemark-LQHL01001714.1-processed-gene-0.6-mRNA-1_1&gene=genemark-LQHL01001714.1-processed-gene-0.6&CDS=1-1557, genemark-LQHL01001738.1-processed-gene-0.39-mRNA-1_1&gene=genemark-LQHL01001738.1-processed-gene-0.39&CDS=1-1599, genemark-LQHL01001809.1-processed-gene-0.32-mRNA-1_1&gene=genemark-LQHL01001809.1-processed-gene-0.32&CDS=1-1563
14	OG0000014	YOR021C	genemark-LQHL01001558.1-processed-gene-0.2-mRNA-1_1&gene=genemark-LQHL01001558.1-processed-gene-0.2&CDS=1-2691, snap_masked-LQHL01000603.1-processed-gene-0.0-mRNA-1_1&gene=snap_masked-LQHL01000603.1-processed-gene-0.0&CDS=1-813, snap_masked-LQHL01001513.1-processed-gene-0.4-mRNA-1_1&gene=snap_masked-LQHL01001513.1-processed-gene-0.4&CDS=1-1509, snap_masked-LQHL01001558.1-processed-gene-0.14-mRNA-1_1&gene=snap_masked-LQHL01001558.1-processed-gene-0.14&CDS=1-1932, snap_masked-LQHL01001558.1-processed-gene-0.15-mRNA-1_1&gene=snap_masked-LQHL01001558.1-processed-gene-0.15&CDS=1-1815, snap_masked-LQHL01001833.1-processed-gene-0.44-mRNA-1_1&gene=snap_masked-LQHL01001833.1-processed-gene-0.44&CDS=1-1512
15	OG0000015		genemark-LQHL01001730.1-processed-gene-0.0-mRNA-1_1&gene=genemark-LQHL01001730.1-processed-gene-0.0&CDS=1-2178, genemark-LQHL01001752.1-processed-gene-0.29-mRNA-1_1&gene=genemark-LQHL01001752.1-processed-gene-0.29&CDS=1-2142, genemark-LQHL01001821.1-processed-gene-0.9-mRNA-1_1&gene=genemark-LQHL01001821.1-processed-gene-0.9&CDS=1-2244, genemark-LQHL01001830.1-processed-gene-0.67-mRNA-1_1&gene=genemark-LQHL01001830.1-processed-gene-0.67&CDS=1-2166, genemark-LQHL01001835.1-processed-gene-0.61-mRNA-1_1&gene=genemark-LQHL01001835.1-processed-gene-0.61&CDS=1-2151, maker-LQHL01001772.1-snap-gene-0.21-mRNA-1_1&gene=maker-LQHL01001772.1-snap-gene-0.21&CDS=1-6651, snap_masked-LQHL01001706.1-processed-gene-0.26-mRNA-1_1&gene=snap_masked-LQHL01001706.1-processed-gene-0.26&CDS=1-2079
16	OG0000016	YBR067C, YDR542W, YER011W, YIL011W, YOR010C	genemark-LQHL01001866.1-processed-gene-0.143-mRNA-1_1&gene=genemark-LQHL01001866.1-processed-gene-0.143&CDS=1-600
17	OG0000017	YBR297W, YFL052W, YGR288W, YPR196W	genemark-LQHL01001674.1-processed-gene-0.0-mRNA-1_1&gene=genemark-LQHL01001674.1-processed-gene-0.0&CDS=1-1650, maker-LQHL01001655.1-snap-gene-0.1-mRNA-1_1&gene=maker-LQHL01001655.1-snap-gene-0.1&CDS=1-1875
18	OG0000018	YBR298C, YDL247W, YGR289C, YJR160C	genemark-LQHL01001323.1-processed-gene-0.1-mRNA-1_1&gene=genemark-LQHL01001323.1-processed-gene-0.1&CDS=1-1737, genemark-LQHL01001814.1-processed-gene-0.67-mRNA-1_1&gene=genemark-LQHL01001814.1-processed-gene-0.67&CDS=1-1740
19	OG0000019	YCL069W, YGR224W, YKR105C, YPR198W	genemark-LQHL01001826.1-processed-gene-0.51-mRNA-1_1&gene=genemark-LQHL01001826.1-processed-gene-0.51&CDS=1-1875, genemark-LQHL01001858.1-processed-gene-0.77-mRNA-1_1&gene=genemark-LQHL01001858.1-processed-gene-0.77&CDS=1-1929
20	OG0000020	YDL077C	augustus_masked-LQHL01001792.1-processed-gene-0.37-mRNA-1_1&gene=augustus_masked-LQHL01001792.1-processed-gene-0.37&CDS=1-4587, genemark-LQHL01001810.1-processed-gene-0.17-mRNA-1_1&gene=genemark-LQHL01001810.1-processed-gene-0.17&CDS=1-4137, maker-LQHL01001571.1-augustus-gene-0.16-mRNA-1_1&gene=maker-LQHL01001571.1-augustus-gene-0.16&CDS=1-534, snap_masked-LQHL01000403.1-processed-gene-0.2-mRNA-1_1&gene=snap_masked-LQHL01000403.1-processed-gene-0.2&CDS=1-393, snap_masked-LQHL01001085.1-processed-gene-0.0-mRNA-1_1&gene=snap_masked-LQHL01001085.1-processed-gene-0.0&CDS=1-357
21	OG0000021	YDR406W, YOR153W	augustus_masked-LQHL01001305.1-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-LQHL01001305.1-processed-gene-0.4&CDS=1-4467, augustus_masked-LQHL01001863.1-processed-gene-0.102-mRNA-1_1&gene=augustus_masked-LQHL01001863.1-processed-gene-0.102&CDS=1-3048, genemark-LQHL01001785.1-processed-gene-0.30-mRNA-1_1&gene=genemark-LQHL01001785.1-processed-gene-0.30&CDS=1-4176, maker-LQHL01001861.1-snap-gene-0.32-mRNA-1_1&gene=maker-LQHL01001861.1-snap-gene-0.32&CDS=1-7407
22	OG0000022	YGR281W, YKR104W	augustus_masked-LQHL01000543.1-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-LQHL01000543.1-processed-gene-0.2&CDS=1-612, augustus_masked-LQHL01001849.1-processed-gene-0.92-mRNA-1_1&gene=augustus_masked-LQHL01001849.1-processed-gene-0.92&CDS=1-4131, genemark-LQHL01001734.1-processed-gene-0.24-mRNA-1_1&gene=genemark-LQHL01001734.1-processed-gene-0.24&CDS=1-4290, maker-LQHL01001489.1-snap-gene-0.5-mRNA-1_1&gene=maker-LQHL01001489.1-snap-gene-0.5&CDS=1-8316
23	OG0000023	YLR026C	augustus_masked-LQHL01001831.1-processed-gene-0.57-mRNA-1_1&gene=augustus_masked-LQHL01001831.1-processed-gene-0.57&CDS=1-3384, augustus_masked-LQHL01001835.1-processed-gene-0.38-mRNA-1_1&gene=augustus_masked-LQHL01001835.1-processed-gene-0.38&CDS=1-294, genemark-LQHL01001540.1-processed-gene-0.3-mRNA-1_1&gene=genemark-LQHL01001540.1-processed-gene-0.3&CDS=1-1224, genemark-LQHL01001674.1-processed-gene-0.7-mRNA-1_1&gene=genemark-LQHL01001674.1-processed-gene-0.7&CDS=1-1476, snap_masked-LQHL01001835.1-processed-gene-0.10-mRNA-1_1&gene=snap_masked-LQHL01001835.1-processed-gene-0.10&CDS=1-282
24	OG0000024	YML050W	augustus_masked-LQHL01000792.1-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-LQHL01000792.1-processed-gene-0.1&CDS=1-834, augustus_masked-LQHL01001359.1-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-LQHL01001359.1-processed-gene-0.2&CDS=1-1770, maker-LQHL01001573.1-augustus-gene-0.7-mRNA-1_1&gene=maker-LQHL01001573.1-augustus-gene-0.7&CDS=1-594, maker-LQHL01001587.1-snap-gene-0.6-mRNA-1_1&gene=maker-LQHL01001587.1-snap-gene-0.6&CDS=1-1725, snap_masked-LQHL01001587.1-processed-gene-0.10-mRNA-1_1&gene=snap_masked-LQHL01001587.1-processed-gene-0.10&CDS=1-195
25	OG0000025	YML111W, YMR275C, YNR069C	augustus_masked-LQHL01001831.1-processed-gene-0.47-mRNA-1_1&gene=augustus_masked-LQHL01001831.1-processed-gene-0.47&CDS=1-4929, genemark-LQHL01001657.1-processed-gene-0.8-mRNA-1_1&gene=genemark-LQHL01001657.1-processed-gene-0.8&CDS=1-2697, genemark-LQHL01001686.1-processed-gene-0.2-mRNA-1_1&gene=genemark-LQHL01001686.1-processed-gene-0.2&CDS=1-2268
26	OG0000026	YNL216W	augustus_masked-LQHL01000245.1-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-LQHL01000245.1-processed-gene-0.0&CDS=1-402, augustus_masked-LQHL01000299.1-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-LQHL01000299.1-processed-gene-0.0&CDS=1-387, augustus_masked-LQHL01001557.1-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-LQHL01001557.1-processed-gene-0.8&CDS=1-1857, augustus_masked-LQHL01001790.1-processed-gene-0.52-mRNA-1_1&gene=augustus_masked-LQHL01001790.1-processed-gene-0.52&CDS=1-1857, snap_masked-LQHL01001697.1-processed-gene-0.14-mRNA-1_1&gene=snap_masked-LQHL01001697.1-processed-gene-0.14&CDS=1-2481
27	OG0000027	YBR118W, YPR080W	augustus_masked-LQHL01000957.1-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-LQHL01000957.1-processed-gene-0.2&CDS=1-1374, augustus_masked-LQHL01001666.1-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-LQHL01001666.1-processed-gene-0.23&CDS=1-1374, genemark-LQHL01001732.1-processed-gene-0.26-mRNA-1_1&gene=genemark-LQHL01001732.1-processed-gene-0.26&CDS=1-1320
28	OG0000028	YBR240C	genemark-LQHL01001174.1-processed-gene-0.1-mRNA-1_1&gene=genemark-LQHL01001174.1-processed-gene-0.1&CDS=1-711, genemark-LQHL01001678.1-processed-gene-0.32-mRNA-1_1&gene=genemark-LQHL01001678.1-processed-gene-0.32&CDS=1-840, genemark-LQHL01001747.1-processed-gene-0.10-mRNA-1_1&gene=genemark-LQHL01001747.1-processed-gene-0.10&CDS=1-921, genemark-LQHL01001863.1-processed-gene-0.50-mRNA-1_1&gene=genemark-LQHL01001863.1-processed-gene-0.50&CDS=1-1122
29	OG0000029	YBR286W, YNL274C	genemark-LQHL01001293.1-processed-gene-0.5-mRNA-1_1&gene=genemark-LQHL01001293.1-processed-gene-0.5&CDS=1-1017, genemark-LQHL01001559.1-processed-gene-0.13-mRNA-1_1&gene=genemark-LQHL01001559.1-processed-gene-0.13&CDS=1-1017, maker-LQHL01001647.1-augustus-gene-0.16-mRNA-1_1&gene=maker-LQHL01001647.1-augustus-gene-0.16&CDS=1-2658
30	OG0000030	YCL024W, YDR507C, YKL101W	genemark-LQHL01001816.1-processed-gene-0.3-mRNA-1_1&gene=genemark-LQHL01001816.1-processed-gene-0.3&CDS=1-4446, genemark-LQHL01001824.1-processed-gene-0.42-mRNA-1_1&gene=genemark-LQHL01001824.1-processed-gene-0.42&CDS=1-3885
31	OG0000031	YCR102C, YLR460C, YNL134C	genemark-LQHL01001817.1-processed-gene-0.82-mRNA-1_1&gene=genemark-LQHL01001817.1-processed-gene-0.82&CDS=1-1089, maker-LQHL01001849.1-augustus-gene-0.77-mRNA-1_1&gene=maker-LQHL01001849.1-augustus-gene-0.77&CDS=1-1923
32	OG0000032	YDR034C, YML099C	genemark-LQHL01001743.1-processed-gene-0.16-mRNA-1_1&gene=genemark-LQHL01001743.1-processed-gene-0.16&CDS=1-2160, genemark-LQHL01001832.1-processed-gene-0.50-mRNA-1_1&gene=genemark-LQHL01001832.1-processed-gene-0.50&CDS=1-2610, maker-LQHL01001832.1-augustus-gene-0.81-mRNA-1_1&gene=maker-LQHL01001832.1-augustus-gene-0.81&CDS=1-4668
33	OG0000033	YDR038C, YDR039C, YDR040C	genemark-LQHL01001813.1-processed-gene-0.41-mRNA-1_1&gene=genemark-LQHL01001813.1-processed-gene-0.41&CDS=1-3288, genemark-LQHL01001866.1-processed-gene-0.152-mRNA-1_1&gene=genemark-LQHL01001866.1-processed-gene-0.152&CDS=1-3213
34	OG0000034	YDR144C, YLR120C, YLR121C	augustus_masked-LQHL01001791.1-processed-gene-0.42-mRNA-1_1&gene=augustus_masked-LQHL01001791.1-processed-gene-0.42&CDS=1-4512, genemark-LQHL01001855.1-processed-gene-0.37-mRNA-1_1&gene=genemark-LQHL01001855.1-processed-gene-0.37&CDS=1-1746
35	OG0000035	YDR178W, YLR164W, YPR166C	augustus_masked-LQHL01001865.1-processed-gene-0.86-mRNA-1_1&gene=augustus_masked-LQHL01001865.1-processed-gene-0.86&CDS=1-759, genemark-LQHL01001796.1-processed-gene-0.40-mRNA-1_1&gene=genemark-LQHL01001796.1-processed-gene-0.40&CDS=1-462
