	OrthologID	Saccharomyces_cerevisiae	yHMPu5000034646_Wickerhamiella_cacticola
10	OG0000010		augustus_masked-flattened_line_10-processed-gene-2.30-mRNA-1_1&gene=augustus_masked-flattened_line_10-processed-gene-2.30&CDS=1-2076, augustus_masked-flattened_line_274-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-flattened_line_274-processed-gene-0.3&CDS=1-4470, augustus_masked-flattened_line_28-processed-gene-0.78-mRNA-1_1&gene=augustus_masked-flattened_line_28-processed-gene-0.78&CDS=1-651, augustus_masked-flattened_line_56-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-flattened_line_56-processed-gene-0.4&CDS=1-2280, snap_masked-flattened_line_102-processed-gene-0.35-mRNA-1_1&gene=snap_masked-flattened_line_102-processed-gene-0.35&CDS=1-213, snap_masked-flattened_line_32-processed-gene-1.114-mRNA-1_1&gene=snap_masked-flattened_line_32-processed-gene-1.114&CDS=1-753, snap_masked-flattened_line_388-processed-gene-0.0-mRNA-1_1&gene=snap_masked-flattened_line_388-processed-gene-0.0&CDS=1-1011, snap_masked-flattened_line_52-processed-gene-0.57-mRNA-1_1&gene=snap_masked-flattened_line_52-processed-gene-0.57&CDS=1-1191, snap_masked-flattened_line_56-processed-gene-0.94-mRNA-1_1&gene=snap_masked-flattened_line_56-processed-gene-0.94&CDS=1-1203, snap_masked-flattened_line_7-processed-gene-1.157-mRNA-1_1&gene=snap_masked-flattened_line_7-processed-gene-1.157&CDS=1-825
11	OG0000011	YDR402C, YKL018W	augustus_masked-flattened_line_44-processed-gene-0.206-mRNA-1_1&gene=augustus_masked-flattened_line_44-processed-gene-0.206&CDS=1-2376, genemark-flattened_line_20-processed-gene-1.42-mRNA-1_1&gene=genemark-flattened_line_20-processed-gene-1.42&CDS=1-1485, genemark-flattened_line_24-processed-gene-0.19-mRNA-1_1&gene=genemark-flattened_line_24-processed-gene-0.19&CDS=1-1599, genemark-flattened_line_86-processed-gene-0.127-mRNA-1_1&gene=genemark-flattened_line_86-processed-gene-0.127&CDS=1-1533, genemark-flattened_line_94-processed-gene-0.3-mRNA-1_1&gene=genemark-flattened_line_94-processed-gene-0.3&CDS=1-1632, maker-flattened_line_138-augustus-gene-0.48-mRNA-1_1&gene=maker-flattened_line_138-augustus-gene-0.48&CDS=1-2262, maker-flattened_line_18-augustus-gene-1.322-mRNA-1_1&gene=maker-flattened_line_18-augustus-gene-1.322&CDS=1-2532
12	OG0000012	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W	genemark-flattened_line_4-processed-gene-1.70-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-1.70&CDS=1-1572, genemark-flattened_line_42-processed-gene-0.18-mRNA-1_1&gene=genemark-flattened_line_42-processed-gene-0.18&CDS=1-1683, genemark-flattened_line_66-processed-gene-0.38-mRNA-1_1&gene=genemark-flattened_line_66-processed-gene-0.38&CDS=1-1758
13	OG0000013	YCL061C	augustus_masked-flattened_line_126-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-flattened_line_126-processed-gene-0.5&CDS=1-657, augustus_masked-flattened_line_290-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_290-processed-gene-0.0&CDS=1-438, snap_masked-flattened_line_160-processed-gene-0.8-mRNA-1_1&gene=snap_masked-flattened_line_160-processed-gene-0.8&CDS=1-360, snap_masked-flattened_line_246-processed-gene-0.6-mRNA-1_1&gene=snap_masked-flattened_line_246-processed-gene-0.6&CDS=1-1413, snap_masked-flattened_line_248-processed-gene-0.1-mRNA-1_1&gene=snap_masked-flattened_line_248-processed-gene-0.1&CDS=1-1830, snap_masked-flattened_line_28-processed-gene-0.13-mRNA-1_1&gene=snap_masked-flattened_line_28-processed-gene-0.13&CDS=1-321, snap_masked-flattened_line_96-processed-gene-0.23-mRNA-1_1&gene=snap_masked-flattened_line_96-processed-gene-0.23&CDS=1-273
14	OG0000014	YDR253C, YGR067C, YPL038W	genemark-flattened_line_18-processed-gene-1.245-mRNA-1_1&gene=genemark-flattened_line_18-processed-gene-1.245&CDS=1-939, genemark-flattened_line_20-processed-gene-1.45-mRNA-1_1&gene=genemark-flattened_line_20-processed-gene-1.45&CDS=1-1098, genemark-flattened_line_58-processed-gene-0.70-mRNA-1_1&gene=genemark-flattened_line_58-processed-gene-0.70&CDS=1-939, snap_masked-flattened_line_10-processed-gene-2.106-mRNA-1_1&gene=snap_masked-flattened_line_10-processed-gene-2.106&CDS=1-1005, snap_masked-flattened_line_40-processed-gene-0.130-mRNA-1_1&gene=snap_masked-flattened_line_40-processed-gene-0.130&CDS=1-1407
15	OG0000015	YGR263C	augustus_masked-flattened_line_126-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-flattened_line_126-processed-gene-0.3&CDS=1-1014, augustus_masked-flattened_line_26-processed-gene-0.133-mRNA-1_1&gene=augustus_masked-flattened_line_26-processed-gene-0.133&CDS=1-1104, augustus_masked-flattened_line_28-processed-gene-0.91-mRNA-1_1&gene=augustus_masked-flattened_line_28-processed-gene-0.91&CDS=1-1062, snap_masked-flattened_line_120-processed-gene-0.43-mRNA-1_1&gene=snap_masked-flattened_line_120-processed-gene-0.43&CDS=1-1047, snap_masked-flattened_line_22-processed-gene-1.146-mRNA-1_1&gene=snap_masked-flattened_line_22-processed-gene-1.146&CDS=1-1077, snap_masked-flattened_line_50-processed-gene-0.8-mRNA-1_1&gene=snap_masked-flattened_line_50-processed-gene-0.8&CDS=1-1233
16	OG0000016	YMR239C	augustus_masked-flattened_line_42-processed-gene-0.180-mRNA-1_1&gene=augustus_masked-flattened_line_42-processed-gene-0.180&CDS=1-732, genemark-flattened_line_14-processed-gene-1.7-mRNA-1_1&gene=genemark-flattened_line_14-processed-gene-1.7&CDS=1-804, snap_masked-flattened_line_10-processed-gene-0.36-mRNA-1_1&gene=snap_masked-flattened_line_10-processed-gene-0.36&CDS=1-765, snap_masked-flattened_line_126-processed-gene-0.28-mRNA-1_1&gene=snap_masked-flattened_line_126-processed-gene-0.28&CDS=1-714, snap_masked-flattened_line_136-processed-gene-0.19-mRNA-1_1&gene=snap_masked-flattened_line_136-processed-gene-0.19&CDS=1-1392, snap_masked-flattened_line_7-processed-gene-0.74-mRNA-1_1&gene=snap_masked-flattened_line_7-processed-gene-0.74&CDS=1-1404
17	OG0000017	YAR003W	augustus_masked-flattened_line_136-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-flattened_line_136-processed-gene-0.6&CDS=1-924, augustus_masked-flattened_line_184-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_184-processed-gene-0.0&CDS=1-936, snap_masked-flattened_line_12-processed-gene-2.181-mRNA-1_1&gene=snap_masked-flattened_line_12-processed-gene-2.181&CDS=1-846, snap_masked-flattened_line_28-processed-gene-0.27-mRNA-1_1&gene=snap_masked-flattened_line_28-processed-gene-0.27&CDS=1-1050, snap_masked-flattened_line_94-processed-gene-0.64-mRNA-1_1&gene=snap_masked-flattened_line_94-processed-gene-0.64&CDS=1-936
18	OG0000018	YDR533C, YMR322C, YOR391C, YPL280W	genemark-flattened_line_150-processed-gene-0.11-mRNA-1_1&gene=genemark-flattened_line_150-processed-gene-0.11&CDS=1-717, genemark-flattened_line_4-processed-gene-4.35-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-4.35&CDS=1-708
19	OG0000019	YGR109W-A, YGR109W-B, YIL082W, YIL082W-A	augustus_masked-flattened_line_100-processed-gene-0.60-mRNA-1_1&gene=augustus_masked-flattened_line_100-processed-gene-0.60&CDS=1-279, augustus_masked-flattened_line_128-processed-gene-0.36-mRNA-1_1&gene=augustus_masked-flattened_line_128-processed-gene-0.36&CDS=1-1140
20	OG0000020	YHR179W, YPL171C	genemark-flattened_line_14-processed-gene-2.110-mRNA-1_1&gene=genemark-flattened_line_14-processed-gene-2.110&CDS=1-1104, genemark-flattened_line_196-processed-gene-0.4-mRNA-1_1&gene=genemark-flattened_line_196-processed-gene-0.4&CDS=1-1101, genemark-flattened_line_28-processed-gene-1.95-mRNA-1_1&gene=genemark-flattened_line_28-processed-gene-1.95&CDS=1-1101, genemark-flattened_line_4-processed-gene-4.48-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-4.48&CDS=1-1116
21	OG0000021	YJL172W, YOL153C	genemark-flattened_line_102-processed-gene-0.8-mRNA-1_1&gene=genemark-flattened_line_102-processed-gene-0.8&CDS=1-1701, genemark-flattened_line_18-processed-gene-1.213-mRNA-1_1&gene=genemark-flattened_line_18-processed-gene-1.213&CDS=1-1584, genemark-flattened_line_28-processed-gene-0.69-mRNA-1_1&gene=genemark-flattened_line_28-processed-gene-0.69&CDS=1-1617, genemark-flattened_line_74-processed-gene-0.104-mRNA-1_1&gene=genemark-flattened_line_74-processed-gene-0.104&CDS=1-1557
22	OG0000022	YAL005C, YLL024C	genemark-flattened_line_12-processed-gene-0.113-mRNA-1_1&gene=genemark-flattened_line_12-processed-gene-0.113&CDS=1-1935, genemark-flattened_line_122-processed-gene-0.0-mRNA-1_1&gene=genemark-flattened_line_122-processed-gene-0.0&CDS=1-1896, genemark-flattened_line_30-processed-gene-1.103-mRNA-1_1&gene=genemark-flattened_line_30-processed-gene-1.103&CDS=1-1896
23	OG0000023	YBL017C, YIL173W, YJL222W, YNR065C	augustus_masked-flattened_line_26-processed-gene-1.50-mRNA-1_1&gene=augustus_masked-flattened_line_26-processed-gene-1.50&CDS=1-2394
24	OG0000024	YBR145W, YMR083W, YMR303C, YOL086C	genemark-flattened_line_154-processed-gene-0.5-mRNA-1_1&gene=genemark-flattened_line_154-processed-gene-0.5&CDS=1-1029
25	OG0000025	YBR155W, YDL210W	augustus_masked-flattened_line_128-processed-gene-0.26-mRNA-1_1&gene=augustus_masked-flattened_line_128-processed-gene-0.26&CDS=1-2085, genemark-flattened_line_0-processed-gene-4.24-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-4.24&CDS=1-1662, genemark-flattened_line_68-processed-gene-0.76-mRNA-1_1&gene=genemark-flattened_line_68-processed-gene-0.76&CDS=1-1656
26	OG0000026	YBR175W	augustus_masked-flattened_line_28-processed-gene-1.26-mRNA-1_1&gene=augustus_masked-flattened_line_28-processed-gene-1.26&CDS=1-843, snap_masked-flattened_line_40-processed-gene-0.122-mRNA-1_1&gene=snap_masked-flattened_line_40-processed-gene-0.122&CDS=1-831, snap_masked-flattened_line_82-processed-gene-0.74-mRNA-1_1&gene=snap_masked-flattened_line_82-processed-gene-0.74&CDS=1-843, snap_masked-flattened_line_84-processed-gene-0.19-mRNA-1_1&gene=snap_masked-flattened_line_84-processed-gene-0.19&CDS=1-447
27	OG0000027	YBR241C, YGL104C	genemark-flattened_line_82-processed-gene-0.39-mRNA-1_1&gene=genemark-flattened_line_82-processed-gene-0.39&CDS=1-1263, snap_masked-flattened_line_16-processed-gene-2.62-mRNA-1_1&gene=snap_masked-flattened_line_16-processed-gene-2.62&CDS=1-522, snap_masked-flattened_line_94-processed-gene-0.59-mRNA-1_1&gene=snap_masked-flattened_line_94-processed-gene-0.59&CDS=1-333
28	OG0000028	YBR297W, YFL052W, YGR288W, YPR196W	genemark-flattened_line_2-processed-gene-4.234-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-4.234&CDS=1-822
29	OG0000029	YCR102C, YLR460C, YNL134C	snap_masked-flattened_line_2-processed-gene-3.52-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-3.52&CDS=1-1083, snap_masked-flattened_line_66-processed-gene-0.127-mRNA-1_1&gene=snap_masked-flattened_line_66-processed-gene-0.127&CDS=1-1062
30	OG0000030	YDL080C, YGR087C, YLR044C, YLR134W	genemark-flattened_line_106-processed-gene-0.38-mRNA-1_1&gene=genemark-flattened_line_106-processed-gene-0.38&CDS=1-1719
31	OG0000031	YHR131C, YNL144C	snap_masked-flattened_line_6-processed-gene-2.65-mRNA-1_1&gene=snap_masked-flattened_line_6-processed-gene-2.65&CDS=1-465, snap_masked-flattened_line_6-processed-gene-2.91-mRNA-1_1&gene=snap_masked-flattened_line_6-processed-gene-2.91&CDS=1-465, snap_masked-flattened_line_88-processed-gene-0.43-mRNA-1_1&gene=snap_masked-flattened_line_88-processed-gene-0.43&CDS=1-468
32	OG0000032	YIR038C	augustus_masked-flattened_line_9-processed-gene-0.57-mRNA-1_1&gene=augustus_masked-flattened_line_9-processed-gene-0.57&CDS=1-681, augustus_masked-flattened_line_9-processed-gene-3.156-mRNA-1_1&gene=augustus_masked-flattened_line_9-processed-gene-3.156&CDS=1-681, genemark-flattened_line_14-processed-gene-0.6-mRNA-1_1&gene=genemark-flattened_line_14-processed-gene-0.6&CDS=1-693, genemark-flattened_line_78-processed-gene-0.79-mRNA-1_1&gene=genemark-flattened_line_78-processed-gene-0.79&CDS=1-693
33	OG0000033	YJR152W	genemark-flattened_line_12-processed-gene-0.128-mRNA-1_1&gene=genemark-flattened_line_12-processed-gene-0.128&CDS=1-1530, genemark-flattened_line_48-processed-gene-0.120-mRNA-1_1&gene=genemark-flattened_line_48-processed-gene-0.120&CDS=1-1512, genemark-flattened_line_54-processed-gene-0.40-mRNA-1_1&gene=genemark-flattened_line_54-processed-gene-0.40&CDS=1-1497, genemark-flattened_line_7-processed-gene-1.87-mRNA-1_1&gene=genemark-flattened_line_7-processed-gene-1.87&CDS=1-1551
34	OG0000034	YKL005C	augustus_masked-flattened_line_370-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-flattened_line_370-processed-gene-0.3&CDS=1-1275, snap_masked-flattened_line_322-processed-gene-0.4-mRNA-1_1&gene=snap_masked-flattened_line_322-processed-gene-0.4&CDS=1-600, snap_masked-flattened_line_370-processed-gene-0.2-mRNA-1_1&gene=snap_masked-flattened_line_370-processed-gene-0.2&CDS=1-282, snap_masked-flattened_line_4-processed-gene-1.150-mRNA-1_1&gene=snap_masked-flattened_line_4-processed-gene-1.150&CDS=1-1515
35	OG0000035	YKL220C, YLL051C, YNR060W, YOR381W, YOR384W	
