	OrthologID	Saccharomyces_cerevisiae	yHMPu5000041855_Candida_ascalaphidarum
10	OG0000010	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W	snap_masked-NODE_12_length_437675_cov_47.0709_ID_5986-processed-gene-0.36-mRNA-1_1&gene=snap_masked-NODE_12_length_437675_cov_47.0709_ID_5986-processed-gene-0.36&CDS=1-1392, snap_masked-NODE_15_length_257095_cov_44.3098_ID_3969-processed-gene-0.38-mRNA-1_1&gene=snap_masked-NODE_15_length_257095_cov_44.3098_ID_3969-processed-gene-0.38&CDS=1-1398
11	OG0000011	YBR150C, YOL089C, YOR380W	augustus_masked-NODE_1_length_1005075_cov_44.4753_ID_3314-processed-gene-0.88-mRNA-1_1&gene=augustus_masked-NODE_1_length_1005075_cov_44.4753_ID_3314-processed-gene-0.88&CDS=1-294, snap_masked-NODE_3_length_696070_cov_41.4075_ID_3205-processed-gene-0.76-mRNA-1_1&gene=snap_masked-NODE_3_length_696070_cov_41.4075_ID_3205-processed-gene-0.76&CDS=1-1269, snap_masked-NODE_7_length_480310_cov_44.8896_ID_3472-processed-gene-3.206-mRNA-1_1&gene=snap_masked-NODE_7_length_480310_cov_44.8896_ID_3472-processed-gene-3.206&CDS=1-2364, snap_masked-NODE_7_length_480310_cov_44.8896_ID_3472-processed-gene-3.207-mRNA-1_1&gene=snap_masked-NODE_7_length_480310_cov_44.8896_ID_3472-processed-gene-3.207&CDS=1-2244
12	OG0000012	YDR342C, YDR343C, YHR092C, YIL170W, YJL219W, YOL156W	snap_masked-NODE_15_length_257095_cov_44.3098_ID_3969-processed-gene-1.189-mRNA-1_1&gene=snap_masked-NODE_15_length_257095_cov_44.3098_ID_3969-processed-gene-1.189&CDS=1-1659
13	OG0000013	YDR523C, YHR102W, YML131W	augustus_masked-NODE_3_length_696070_cov_41.4075_ID_3205-processed-gene-4.88-mRNA-1_1&gene=augustus_masked-NODE_3_length_696070_cov_41.4075_ID_3205-processed-gene-4.88&CDS=1-1539, maker-NODE_13_length_368441_cov_46.401_ID_4565-snap-gene-0.67-mRNA-1_1&gene=maker-NODE_13_length_368441_cov_46.401_ID_4565-snap-gene-0.67&CDS=1-3963, maker-NODE_15_length_257095_cov_44.3098_ID_3969-snap-gene-1.95-mRNA-1_1&gene=maker-NODE_15_length_257095_cov_44.3098_ID_3969-snap-gene-1.95&CDS=1-4269, snap_masked-NODE_14_length_348416_cov_44.5817_ID_5116-processed-gene-0.45-mRNA-1_1&gene=snap_masked-NODE_14_length_348416_cov_44.5817_ID_5116-processed-gene-0.45&CDS=1-2538
14	OG0000014	YGR281W, YNL259C	augustus_masked-NODE_1_length_1005075_cov_44.4753_ID_3314-processed-gene-5.72-mRNA-1_1&gene=augustus_masked-NODE_1_length_1005075_cov_44.4753_ID_3314-processed-gene-5.72&CDS=1-4287, augustus_masked-NODE_21_length_203277_cov_48.2929_ID_3858-processed-gene-1.126-mRNA-1_1&gene=augustus_masked-NODE_21_length_203277_cov_48.2929_ID_3858-processed-gene-1.126&CDS=1-4743, augustus_masked-NODE_23_length_183325_cov_47.6541_ID_4205-processed-gene-0.106-mRNA-1_1&gene=augustus_masked-NODE_23_length_183325_cov_47.6541_ID_4205-processed-gene-0.106&CDS=1-4266, augustus_masked-NODE_44_length_4695_cov_48.5367_ID_6288-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_44_length_4695_cov_48.5367_ID_6288-processed-gene-0.0&CDS=1-570, augustus_masked-NODE_44_length_4695_cov_48.5367_ID_6288-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_44_length_4695_cov_48.5367_ID_6288-processed-gene-0.1&CDS=1-2793
15	OG0000015	YKL220C, YLL051C, YNR060W, YOR381W, YOR384W	augustus_masked-NODE_3_length_696070_cov_41.4075_ID_3205-processed-gene-3.34-mRNA-1_1&gene=augustus_masked-NODE_3_length_696070_cov_41.4075_ID_3205-processed-gene-3.34&CDS=1-1842, maker-NODE_1_length_1005075_cov_44.4753_ID_3314-snap-gene-4.53-mRNA-1_1&gene=maker-NODE_1_length_1005075_cov_44.4753_ID_3314-snap-gene-4.53&CDS=1-5031
16	OG0000016	YBR008C, YOR204W, YPL119C	augustus_masked-NODE_15_length_257095_cov_44.3098_ID_3969-processed-gene-1.130-mRNA-1_1&gene=augustus_masked-NODE_15_length_257095_cov_44.3098_ID_3969-processed-gene-1.130&CDS=1-1656, augustus_masked-NODE_36_length_11718_cov_74.9408_ID_6021-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_36_length_11718_cov_74.9408_ID_6021-processed-gene-0.2&CDS=1-1659, maker-NODE_5_length_535006_cov_46.4439_ID_3900-snap-gene-4.84-mRNA-1_1&gene=maker-NODE_5_length_535006_cov_46.4439_ID_3900-snap-gene-4.84&CDS=1-4995
17	OG0000017	YBR015C	augustus_masked-NODE_11_length_451756_cov_44.098_ID_3270-processed-gene-3.125-mRNA-1_1&gene=augustus_masked-NODE_11_length_451756_cov_44.098_ID_3270-processed-gene-3.125&CDS=1-3600, augustus_masked-NODE_6_length_512164_cov_45.7198_ID_4775-processed-gene-3.43-mRNA-1_1&gene=augustus_masked-NODE_6_length_512164_cov_45.7198_ID_4775-processed-gene-3.43&CDS=1-1920, snap_masked-NODE_10_length_456859_cov_49.344_ID_5607-processed-gene-3.72-mRNA-1_1&gene=snap_masked-NODE_10_length_456859_cov_49.344_ID_5607-processed-gene-3.72&CDS=1-1890, snap_masked-NODE_1_length_1005075_cov_44.4753_ID_3314-processed-gene-1.114-mRNA-1_1&gene=snap_masked-NODE_1_length_1005075_cov_44.4753_ID_3314-processed-gene-1.114&CDS=1-1824, snap_masked-NODE_5_length_535006_cov_46.4439_ID_3900-processed-gene-0.84-mRNA-1_1&gene=snap_masked-NODE_5_length_535006_cov_46.4439_ID_3900-processed-gene-0.84&CDS=1-1602
18	OG0000018	YBR189W, YBR191W, YPL079W, YPL081W	genemark-NODE_2_length_744676_cov_45.4856_ID_3712-processed-gene-2.63-mRNA-1_1&gene=genemark-NODE_2_length_744676_cov_45.4856_ID_3712-processed-gene-2.63&CDS=1-480, maker-NODE_7_length_480310_cov_44.8896_ID_3472-augustus-gene-3.209-mRNA-1_1&gene=maker-NODE_7_length_480310_cov_44.8896_ID_3472-augustus-gene-3.209&CDS=1-1035
19	OG0000019	YBR245C, YFR038W, YOR304W	augustus_masked-NODE_29_length_67685_cov_48.7666_ID_8749-processed-gene-0.62-mRNA-1_1&gene=augustus_masked-NODE_29_length_67685_cov_48.7666_ID_8749-processed-gene-0.62&CDS=1-3153, snap_masked-NODE_12_length_437675_cov_47.0709_ID_5986-processed-gene-0.28-mRNA-1_1&gene=snap_masked-NODE_12_length_437675_cov_47.0709_ID_5986-processed-gene-0.28&CDS=1-2205, snap_masked-NODE_2_length_744676_cov_45.4856_ID_3712-processed-gene-4.31-mRNA-1_1&gene=snap_masked-NODE_2_length_744676_cov_45.4856_ID_3712-processed-gene-4.31&CDS=1-2970
20	OG0000020	YDL025C, YNL183C, YOR267C	augustus_masked-NODE_8_length_467519_cov_45.6115_ID_5299-processed-gene-1.78-mRNA-1_1&gene=augustus_masked-NODE_8_length_467519_cov_45.6115_ID_5299-processed-gene-1.78&CDS=1-2697, snap_masked-NODE_18_length_241785_cov_49.2315_ID_5503-processed-gene-0.112-mRNA-1_1&gene=snap_masked-NODE_18_length_241785_cov_49.2315_ID_5503-processed-gene-0.112&CDS=1-2346, snap_masked-NODE_6_length_512164_cov_45.7198_ID_4775-processed-gene-2.108-mRNA-1_1&gene=snap_masked-NODE_6_length_512164_cov_45.7198_ID_4775-processed-gene-2.108&CDS=1-1794
21	OG0000021	YDR338C, YHR032W	snap_masked-NODE_10_length_456859_cov_49.344_ID_5607-processed-gene-1.63-mRNA-1_1&gene=snap_masked-NODE_10_length_456859_cov_49.344_ID_5607-processed-gene-1.63&CDS=1-1644, snap_masked-NODE_17_length_248381_cov_48.134_ID_3588-processed-gene-0.67-mRNA-1_1&gene=snap_masked-NODE_17_length_248381_cov_48.134_ID_3588-processed-gene-0.67&CDS=1-1443, snap_masked-NODE_19_length_233523_cov_44.9681_ID_4879-processed-gene-0.104-mRNA-1_1&gene=snap_masked-NODE_19_length_233523_cov_44.9681_ID_4879-processed-gene-0.104&CDS=1-1668, snap_masked-NODE_21_length_203277_cov_48.2929_ID_3858-processed-gene-1.75-mRNA-1_1&gene=snap_masked-NODE_21_length_203277_cov_48.2929_ID_3858-processed-gene-1.75&CDS=1-1857
22	OG0000022	YER054C, YIL045W, YLR273C, YOR178C	snap_masked-NODE_11_length_451756_cov_44.098_ID_3270-processed-gene-2.38-mRNA-1_1&gene=snap_masked-NODE_11_length_451756_cov_44.098_ID_3270-processed-gene-2.38&CDS=1-1512, snap_masked-NODE_1_length_1005075_cov_44.4753_ID_3314-processed-gene-7.118-mRNA-1_1&gene=snap_masked-NODE_1_length_1005075_cov_44.4753_ID_3314-processed-gene-7.118&CDS=1-1761
23	OG0000023	YGR249W, YHR206W, YOR140W	augustus_masked-NODE_15_length_257095_cov_44.3098_ID_3969-processed-gene-1.117-mRNA-1_1&gene=augustus_masked-NODE_15_length_257095_cov_44.3098_ID_3969-processed-gene-1.117&CDS=1-1704, augustus_masked-NODE_6_length_512164_cov_45.7198_ID_4775-processed-gene-1.106-mRNA-1_1&gene=augustus_masked-NODE_6_length_512164_cov_45.7198_ID_4775-processed-gene-1.106&CDS=1-1500, snap_masked-NODE_20_length_207076_cov_46.0262_ID_5043-processed-gene-0.106-mRNA-1_1&gene=snap_masked-NODE_20_length_207076_cov_46.0262_ID_5043-processed-gene-0.106&CDS=1-1176
24	OG0000024	YHL019C, YOL062C, YPL259C	snap_masked-NODE_1_length_1005075_cov_44.4753_ID_3314-processed-gene-8.30-mRNA-1_1&gene=snap_masked-NODE_1_length_1005075_cov_44.4753_ID_3314-processed-gene-8.30&CDS=1-1311, snap_masked-NODE_21_length_203277_cov_48.2929_ID_3858-processed-gene-1.71-mRNA-1_1&gene=snap_masked-NODE_21_length_203277_cov_48.2929_ID_3858-processed-gene-1.71&CDS=1-1854, snap_masked-NODE_2_length_744676_cov_45.4856_ID_3712-processed-gene-1.111-mRNA-1_1&gene=snap_masked-NODE_2_length_744676_cov_45.4856_ID_3712-processed-gene-1.111&CDS=1-3105
25	OG0000025	YIL002C, YNL106C, YOR109W	maker-NODE_20_length_207076_cov_46.0262_ID_5043-augustus-gene-1.107-mRNA-1_1&gene=maker-NODE_20_length_207076_cov_46.0262_ID_5043-augustus-gene-1.107&CDS=1-5346, snap_masked-NODE_28_length_68937_cov_48.1374_ID_5330-processed-gene-0.69-mRNA-1_1&gene=snap_masked-NODE_28_length_68937_cov_48.1374_ID_5330-processed-gene-0.69&CDS=1-3108, snap_masked-NODE_8_length_467519_cov_45.6115_ID_5299-processed-gene-1.120-mRNA-1_1&gene=snap_masked-NODE_8_length_467519_cov_45.6115_ID_5299-processed-gene-1.120&CDS=1-1830
26	OG0000026	YIL014W, YLL002W	augustus_masked-NODE_10_length_456859_cov_49.344_ID_5607-processed-gene-1.90-mRNA-1_1&gene=augustus_masked-NODE_10_length_456859_cov_49.344_ID_5607-processed-gene-1.90&CDS=1-3144, augustus_masked-NODE_8_length_467519_cov_45.6115_ID_5299-processed-gene-1.47-mRNA-1_1&gene=augustus_masked-NODE_8_length_467519_cov_45.6115_ID_5299-processed-gene-1.47&CDS=1-2037, snap_masked-NODE_10_length_456859_cov_49.344_ID_5607-processed-gene-2.11-mRNA-1_1&gene=snap_masked-NODE_10_length_456859_cov_49.344_ID_5607-processed-gene-2.11&CDS=1-2127, snap_masked-NODE_24_length_151756_cov_42.0566_ID_4017-processed-gene-0.123-mRNA-1_1&gene=snap_masked-NODE_24_length_151756_cov_42.0566_ID_4017-processed-gene-0.123&CDS=1-2310
27	OG0000027	YJL212C, YPR194C	augustus_masked-NODE_1_length_1005075_cov_44.4753_ID_3314-processed-gene-6.49-mRNA-1_1&gene=augustus_masked-NODE_1_length_1005075_cov_44.4753_ID_3314-processed-gene-6.49&CDS=1-2649, augustus_masked-NODE_4_length_548371_cov_43.2516_ID_3109-processed-gene-3.123-mRNA-1_1&gene=augustus_masked-NODE_4_length_548371_cov_43.2516_ID_3109-processed-gene-3.123&CDS=1-5466, genemark-NODE_22_length_183416_cov_90.9836_ID_8445-processed-gene-0.44-mRNA-1_1&gene=genemark-NODE_22_length_183416_cov_90.9836_ID_8445-processed-gene-0.44&CDS=1-2157, snap_masked-NODE_4_length_548371_cov_43.2516_ID_3109-processed-gene-4.101-mRNA-1_1&gene=snap_masked-NODE_4_length_548371_cov_43.2516_ID_3109-processed-gene-4.101&CDS=1-2355
28	OG0000028	YLR129W, YMR006C, YMR008C, YOL011W	genemark-NODE_3_length_696070_cov_41.4075_ID_3205-processed-gene-0.105-mRNA-1_1&gene=genemark-NODE_3_length_696070_cov_41.4075_ID_3205-processed-gene-0.105&CDS=1-4980, snap_masked-NODE_21_length_203277_cov_48.2929_ID_3858-processed-gene-1.103-mRNA-1_1&gene=snap_masked-NODE_21_length_203277_cov_48.2929_ID_3858-processed-gene-1.103&CDS=1-1863
29	OG0000029	YLR256W	augustus_masked-NODE_6_length_512164_cov_45.7198_ID_4775-processed-gene-3.44-mRNA-1_1&gene=augustus_masked-NODE_6_length_512164_cov_45.7198_ID_4775-processed-gene-3.44&CDS=1-2715, augustus_masked-NODE_7_length_480310_cov_44.8896_ID_3472-processed-gene-1.26-mRNA-1_1&gene=augustus_masked-NODE_7_length_480310_cov_44.8896_ID_3472-processed-gene-1.26&CDS=1-2772, genemark-NODE_5_length_535006_cov_46.4439_ID_3900-processed-gene-1.138-mRNA-1_1&gene=genemark-NODE_5_length_535006_cov_46.4439_ID_3900-processed-gene-1.138&CDS=1-6420, maker-NODE_11_length_451756_cov_44.098_ID_3270-snap-gene-3.161-mRNA-1_1&gene=maker-NODE_11_length_451756_cov_44.098_ID_3270-snap-gene-3.161&CDS=1-3195, snap_masked-NODE_18_length_241785_cov_49.2315_ID_5503-processed-gene-0.98-mRNA-1_1&gene=snap_masked-NODE_18_length_241785_cov_49.2315_ID_5503-processed-gene-0.98&CDS=1-864
30	OG0000030	YAL053W, YGL139W, YPL221W	augustus_masked-NODE_15_length_257095_cov_44.3098_ID_3969-processed-gene-1.179-mRNA-1_1&gene=augustus_masked-NODE_15_length_257095_cov_44.3098_ID_3969-processed-gene-1.179&CDS=1-2337, genemark-NODE_1_length_1005075_cov_44.4753_ID_3314-processed-gene-9.14-mRNA-1_1&gene=genemark-NODE_1_length_1005075_cov_44.4753_ID_3314-processed-gene-9.14&CDS=1-2271
31	OG0000031	YBL017C, YIL173W, YJL222W, YNR065C	snap_masked-NODE_13_length_368441_cov_46.401_ID_4565-processed-gene-1.46-mRNA-1_1&gene=snap_masked-NODE_13_length_368441_cov_46.401_ID_4565-processed-gene-1.46&CDS=1-4608
32	OG0000032	YBL056W, YBR125C, YER089C	snap_masked-NODE_28_length_68937_cov_48.1374_ID_5330-processed-gene-0.79-mRNA-1_1&gene=snap_masked-NODE_28_length_68937_cov_48.1374_ID_5330-processed-gene-0.79&CDS=1-1086, snap_masked-NODE_7_length_480310_cov_44.8896_ID_3472-processed-gene-2.57-mRNA-1_1&gene=snap_masked-NODE_7_length_480310_cov_44.8896_ID_3472-processed-gene-2.57&CDS=1-1503
33	OG0000033	YBL060W, YEL022W, YJR031C	snap_masked-NODE_12_length_437675_cov_47.0709_ID_5986-processed-gene-0.8-mRNA-1_1&gene=snap_masked-NODE_12_length_437675_cov_47.0709_ID_5986-processed-gene-0.8&CDS=1-4341, snap_masked-NODE_5_length_535006_cov_46.4439_ID_3900-processed-gene-4.200-mRNA-1_1&gene=snap_masked-NODE_5_length_535006_cov_46.4439_ID_3900-processed-gene-4.200&CDS=1-3003
