	OrthologID	Saccharomyces_cerevisiae	yHMPu5000035684_Kloeckera_hatyaiensis
10	OG0000010	YDR144C, YLR120C, YLR121C	augustus_masked-flattened_line_56-processed-gene-0.28-mRNA-1_1&gene=augustus_masked-flattened_line_56-processed-gene-0.28&CDS=1-2310, maker-flattened_line_24-snap-gene-0.158-mRNA-1_1&gene=maker-flattened_line_24-snap-gene-0.158&CDS=1-2922, maker-flattened_line_56-snap-gene-0.40-mRNA-1_1&gene=maker-flattened_line_56-snap-gene-0.40&CDS=1-1698
11	OG0000011	YGR067C, YMR182C, YPR013C, YPR015C	augustus_masked-flattened_line_0-processed-gene-1.69-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-1.69&CDS=1-1323, genemark-flattened_line_2-processed-gene-1.107-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-1.107&CDS=1-903
12	OG0000012	YGR281W	augustus_masked-flattened_line_10-processed-gene-0.49-mRNA-1_1&gene=augustus_masked-flattened_line_10-processed-gene-0.49&CDS=1-4218, augustus_masked-flattened_line_12-processed-gene-1.2-mRNA-1_1&gene=augustus_masked-flattened_line_12-processed-gene-1.2&CDS=1-4155, augustus_masked-flattened_line_148-processed-gene-0.35-mRNA-1_1&gene=augustus_masked-flattened_line_148-processed-gene-0.35&CDS=1-4122, augustus_masked-flattened_line_166-processed-gene-0.25-mRNA-1_1&gene=augustus_masked-flattened_line_166-processed-gene-0.25&CDS=1-4074, augustus_masked-flattened_line_70-processed-gene-0.72-mRNA-1_1&gene=augustus_masked-flattened_line_70-processed-gene-0.72&CDS=1-4425
13	OG0000013	YKL222C, YLR266C, YOR162C, YOR172W	augustus_masked-flattened_line_136-processed-gene-0.25-mRNA-1_1&gene=augustus_masked-flattened_line_136-processed-gene-0.25&CDS=1-2859, snap_masked-flattened_line_88-processed-gene-0.63-mRNA-1_1&gene=snap_masked-flattened_line_88-processed-gene-0.63&CDS=1-2997
14	OG0000014	YLL055W	augustus_masked-flattened_line_12-processed-gene-1.9-mRNA-1_1&gene=augustus_masked-flattened_line_12-processed-gene-1.9&CDS=1-1599, augustus_masked-flattened_line_44-processed-gene-0.100-mRNA-1_1&gene=augustus_masked-flattened_line_44-processed-gene-0.100&CDS=1-1644, augustus_masked-flattened_line_480-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_480-processed-gene-0.1&CDS=1-1041, augustus_masked-flattened_line_500-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_500-processed-gene-0.1&CDS=1-960, augustus_masked-flattened_line_508-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_508-processed-gene-0.1&CDS=1-933
15	OG0000015	YAL051W, YLL054C, YOR363C	augustus_masked-flattened_line_108-processed-gene-0.44-mRNA-1_1&gene=augustus_masked-flattened_line_108-processed-gene-0.44&CDS=1-7518, snap_masked-flattened_line_108-processed-gene-0.64-mRNA-1_1&gene=snap_masked-flattened_line_108-processed-gene-0.64&CDS=1-3006
16	OG0000016	YBL017C, YIL173W, YJL222W, YNR065C	snap_masked-flattened_line_168-processed-gene-0.21-mRNA-1_1&gene=snap_masked-flattened_line_168-processed-gene-0.21&CDS=1-4758
17	OG0000017	YBL068W, YER099C, YHL011C	augustus_masked-flattened_line_128-processed-gene-0.65-mRNA-1_1&gene=augustus_masked-flattened_line_128-processed-gene-0.65&CDS=1-981, augustus_masked-flattened_line_164-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-flattened_line_164-processed-gene-0.6&CDS=1-972
18	OG0000018	YBR059C, YIL095W, YNL020C	augustus_masked-flattened_line_44-processed-gene-0.88-mRNA-1_1&gene=augustus_masked-flattened_line_44-processed-gene-0.88&CDS=1-3006, augustus_masked-flattened_line_6-processed-gene-1.124-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-1.124&CDS=1-1773
19	OG0000019	YCL024W, YDR507C, YKL101W	augustus_masked-flattened_line_74-processed-gene-0.53-mRNA-1_1&gene=augustus_masked-flattened_line_74-processed-gene-0.53&CDS=1-4113, augustus_masked-flattened_line_80-processed-gene-0.55-mRNA-1_1&gene=augustus_masked-flattened_line_80-processed-gene-0.55&CDS=1-3603
20	OG0000020	YDL085W, YML120C, YMR145C	augustus_masked-flattened_line_2-processed-gene-0.76-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-0.76&CDS=1-1458, augustus_masked-flattened_line_6-processed-gene-1.146-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-1.146&CDS=1-1524
21	OG0000021	YDL175C, YIL079C	augustus_masked-flattened_line_524-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_524-processed-gene-0.1&CDS=1-543, augustus_masked-flattened_line_526-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-flattened_line_526-processed-gene-0.2&CDS=1-543, snap_masked-flattened_line_98-processed-gene-0.63-mRNA-1_1&gene=snap_masked-flattened_line_98-processed-gene-0.63&CDS=1-510
22	OG0000022	YDL207W, YHL016C	augustus_masked-flattened_line_114-processed-gene-0.76-mRNA-1_1&gene=augustus_masked-flattened_line_114-processed-gene-0.76&CDS=1-426, augustus_masked-flattened_line_430-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_430-processed-gene-0.0&CDS=1-1032, maker-flattened_line_144-snap-gene-0.23-mRNA-1_1&gene=maker-flattened_line_144-snap-gene-0.23&CDS=1-3138
23	OG0000023	YDR021W, YJL138C, YKR059W	augustus_masked-flattened_line_44-processed-gene-0.93-mRNA-1_1&gene=augustus_masked-flattened_line_44-processed-gene-0.93&CDS=1-1320, maker-flattened_line_26-snap-gene-0.156-mRNA-1_1&gene=maker-flattened_line_26-snap-gene-0.156&CDS=1-2334
24	OG0000024	YDR150W	augustus_masked-flattened_line_138-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_138-processed-gene-0.0&CDS=1-2775, augustus_masked-flattened_line_2132-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_2132-processed-gene-0.1&CDS=1-117, augustus_masked-flattened_line_56-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-flattened_line_56-processed-gene-0.14&CDS=1-2763, augustus_masked-flattened_line_796-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_796-processed-gene-0.1&CDS=1-372
25	OG0000025	YDR178W, YLR164W, YOR297C	augustus_masked-flattened_line_114-processed-gene-0.56-mRNA-1_1&gene=augustus_masked-flattened_line_114-processed-gene-0.56&CDS=1-522, augustus_masked-flattened_line_14-processed-gene-0.40-mRNA-1_1&gene=augustus_masked-flattened_line_14-processed-gene-0.40&CDS=1-567
26	OG0000026	YDR391C, YOR012W	augustus_masked-flattened_line_240-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_240-processed-gene-0.0&CDS=1-603, augustus_masked-flattened_line_616-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_616-processed-gene-0.1&CDS=1-246, augustus_masked-flattened_line_618-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-flattened_line_618-processed-gene-0.2&CDS=1-246
27	OG0000027	YDR463W, YHR006W	augustus_masked-flattened_line_12-processed-gene-1.32-mRNA-1_1&gene=augustus_masked-flattened_line_12-processed-gene-1.32&CDS=1-1173, augustus_masked-flattened_line_332-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-flattened_line_332-processed-gene-0.2&CDS=1-1704, genemark-flattened_line_160-processed-gene-0.12-mRNA-1_1&gene=genemark-flattened_line_160-processed-gene-0.12&CDS=1-1692
28	OG0000028	YDR541C, YGL039W, YGL157W, YOL151W	maker-flattened_line_38-snap-gene-0.184-mRNA-1_1&gene=maker-flattened_line_38-snap-gene-0.184&CDS=1-3735
29	OG0000029	YER001W, YGL257C, YIL014W, YNR059W	augustus_masked-flattened_line_130-processed-gene-0.61-mRNA-1_1&gene=augustus_masked-flattened_line_130-processed-gene-0.61&CDS=1-2370
30	OG0000030	YGR087C, YLR044C, YLR134W	augustus_masked-flattened_line_72-processed-gene-0.36-mRNA-1_1&gene=augustus_masked-flattened_line_72-processed-gene-0.36&CDS=1-888, snap_masked-flattened_line_10-processed-gene-0.77-mRNA-1_1&gene=snap_masked-flattened_line_10-processed-gene-0.77&CDS=1-747
31	OG0000031	YKR039W	augustus_masked-flattened_line_16-processed-gene-1.59-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-1.59&CDS=1-1800, augustus_masked-flattened_line_62-processed-gene-0.120-mRNA-1_1&gene=augustus_masked-flattened_line_62-processed-gene-0.120&CDS=1-1785, maker-flattened_line_16-snap-gene-1.0-mRNA-1_1&gene=maker-flattened_line_16-snap-gene-1.0&CDS=1-3531, maker-flattened_line_162-snap-gene-0.11-mRNA-1_1&gene=maker-flattened_line_162-snap-gene-0.11&CDS=1-3453
32	OG0000032	YML111W, YMR275C, YNR068C, YNR069C	augustus_masked-flattened_line_26-processed-gene-0.224-mRNA-1_1&gene=augustus_masked-flattened_line_26-processed-gene-0.224&CDS=1-5547
33	OG0000033	YMR169C, YMR170C	augustus_masked-flattened_line_6-processed-gene-1.107-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-1.107&CDS=1-1515, augustus_masked-flattened_line_6-processed-gene-1.144-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-1.144&CDS=1-1533, maker-flattened_line_40-snap-gene-0.101-mRNA-1_1&gene=maker-flattened_line_40-snap-gene-0.101&CDS=1-1977
34	OG0000034	YMR303C, YOL086C	augustus_masked-flattened_line_116-processed-gene-0.31-mRNA-1_1&gene=augustus_masked-flattened_line_116-processed-gene-0.31&CDS=1-1083, augustus_masked-flattened_line_116-processed-gene-0.41-mRNA-1_1&gene=augustus_masked-flattened_line_116-processed-gene-0.41&CDS=1-1089, augustus_masked-flattened_line_80-processed-gene-0.65-mRNA-1_1&gene=augustus_masked-flattened_line_80-processed-gene-0.65&CDS=1-1218
35	OG0000035	YAL040C	augustus_masked-flattened_line_266-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_266-processed-gene-0.1&CDS=1-1362, augustus_masked-flattened_line_596-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-flattened_line_596-processed-gene-0.2&CDS=1-255, augustus_masked-flattened_line_628-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_628-processed-gene-0.0&CDS=1-297
36	OG0000036	YAL067C	augustus_masked-flattened_line_218-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-flattened_line_218-processed-gene-0.7&CDS=1-981, augustus_masked-flattened_line_218-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-flattened_line_218-processed-gene-0.8&CDS=1-693, augustus_masked-flattened_line_4-processed-gene-1.92-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-1.92&CDS=1-1722
37	OG0000037	YAR002C-A, YGL002W	augustus_masked-flattened_line_494-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_494-processed-gene-0.1&CDS=1-546, augustus_masked-flattened_line_498-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_498-processed-gene-0.1&CDS=1-546
38	OG0000038	YAR019C, YLR362W	augustus_masked-flattened_line_2-processed-gene-2.88-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-2.88&CDS=1-2094, augustus_masked-flattened_line_48-processed-gene-0.84-mRNA-1_1&gene=augustus_masked-flattened_line_48-processed-gene-0.84&CDS=1-3309
39	OG0000039	YBL005W, YER184C, YGL013C	augustus_masked-flattened_line_76-processed-gene-0.88-mRNA-1_1&gene=augustus_masked-flattened_line_76-processed-gene-0.88&CDS=1-3636
40	OG0000040	YBL068W-A, YBL069W, YER101C	augustus_masked-flattened_line_128-processed-gene-0.53-mRNA-1_1&gene=augustus_masked-flattened_line_128-processed-gene-0.53&CDS=1-1236
41	OG0000041	YBL088C, YBR136W	augustus_masked-flattened_line_16-processed-gene-1.85-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-1.85&CDS=1-9390, augustus_masked-flattened_line_76-processed-gene-0.78-mRNA-1_1&gene=augustus_masked-flattened_line_76-processed-gene-0.78&CDS=1-7332
42	OG0000042	YBR015C	augustus_masked-flattened_line_166-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-flattened_line_166-processed-gene-0.24&CDS=1-1863, genemark-flattened_line_30-processed-gene-0.202-mRNA-1_1&gene=genemark-flattened_line_30-processed-gene-0.202&CDS=1-1737, maker-flattened_line_48-snap-gene-0.54-mRNA-1_1&gene=maker-flattened_line_48-snap-gene-0.54&CDS=1-5229
43	OG0000043	YBR139W, YMR297W	augustus_masked-flattened_line_0-processed-gene-0.63-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-0.63&CDS=1-1701, augustus_masked-flattened_line_34-processed-gene-0.63-mRNA-1_1&gene=augustus_masked-flattened_line_34-processed-gene-0.63&CDS=1-1218
44	OG0000044	YBR245C, YOR304W	augustus_masked-flattened_line_4-processed-gene-0.26-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-0.26&CDS=1-3228, augustus_masked-flattened_line_76-processed-gene-0.69-mRNA-1_1&gene=augustus_masked-flattened_line_76-processed-gene-0.69&CDS=1-3456
45	OG0000045	YBR263W, YLR058C	augustus_masked-flattened_line_16-processed-gene-0.32-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-0.32&CDS=1-1494, augustus_masked-flattened_line_2-processed-gene-2.105-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-2.105&CDS=1-1455
46	OG0000046	YCR102C, YLR460C, YNL134C	augustus_masked-flattened_line_8-processed-gene-1.70-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-1.70&CDS=1-1179
47	OG0000047	YDL095W, YDR307W	augustus_masked-flattened_line_26-processed-gene-0.194-mRNA-1_1&gene=augustus_masked-flattened_line_26-processed-gene-0.194&CDS=1-2712, augustus_masked-flattened_line_8-processed-gene-0.35-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-0.35&CDS=1-2067
48	OG0000048	YDL108W, YFL029C	augustus_masked-flattened_line_6-processed-gene-1.142-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-1.142&CDS=1-1008, maker-flattened_line_2-augustus-gene-2.1-mRNA-1_1&gene=maker-flattened_line_2-augustus-gene-2.1&CDS=1-1287
49	OG0000049	YDL174C	augustus_masked-flattened_line_12-processed-gene-1.18-mRNA-1_1&gene=augustus_masked-flattened_line_12-processed-gene-1.18&CDS=1-1731, augustus_masked-flattened_line_218-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-flattened_line_218-processed-gene-0.6&CDS=1-1452, augustus_masked-flattened_line_6-processed-gene-0.65-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-0.65&CDS=1-1728
50	OG0000050	YDL210W	augustus_masked-flattened_line_108-processed-gene-0.38-mRNA-1_1&gene=augustus_masked-flattened_line_108-processed-gene-0.38&CDS=1-1770, augustus_masked-flattened_line_16-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-0.19&CDS=1-1734, augustus_masked-flattened_line_20-processed-gene-1.145-mRNA-1_1&gene=augustus_masked-flattened_line_20-processed-gene-1.145&CDS=1-1737
51	OG0000051	YDR002W, YLR335W	augustus_masked-flattened_line_2-processed-gene-2.100-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-2.100&CDS=1-2031, augustus_masked-flattened_line_206-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-flattened_line_206-processed-gene-0.5&CDS=1-1578
52	OG0000052	YDR134C, YLR110C	augustus_masked-flattened_line_56-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-flattened_line_56-processed-gene-0.17&CDS=1-369, genemark-flattened_line_56-processed-gene-0.89-mRNA-1_1&gene=genemark-flattened_line_56-processed-gene-0.89&CDS=1-366
53	OG0000053	YDR334W, YGL150C	augustus_masked-flattened_line_12-processed-gene-0.100-mRNA-1_1&gene=augustus_masked-flattened_line_12-processed-gene-0.100&CDS=1-3813, augustus_masked-flattened_line_6-processed-gene-1.135-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-1.135&CDS=1-4497
54	OG0000054	YDR466W, YPL209C	augustus_masked-flattened_line_160-processed-gene-0.33-mRNA-1_1&gene=augustus_masked-flattened_line_160-processed-gene-0.33&CDS=1-2130, augustus_masked-flattened_line_4-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-flattened_line_4-processed-gene-0.4&CDS=1-840
55	OG0000055	YEL063C, YNL268W, YNL270C	augustus_masked-flattened_line_106-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-flattened_line_106-processed-gene-0.18&CDS=1-1800
56	OG0000056	YER017C, YMR089C	augustus_masked-flattened_line_10-processed-gene-0.43-mRNA-1_1&gene=augustus_masked-flattened_line_10-processed-gene-0.43&CDS=1-2901, augustus_masked-flattened_line_48-processed-gene-0.66-mRNA-1_1&gene=augustus_masked-flattened_line_48-processed-gene-0.66&CDS=1-2214
57	OG0000057	YER056C, YER060W, YER060W-A	augustus_masked-flattened_line_24-processed-gene-0.175-mRNA-1_1&gene=augustus_masked-flattened_line_24-processed-gene-0.175&CDS=1-1566
