	OrthologID	Saccharomyces_cerevisiae	yHMPu5000035286_Candida_azyma
10	OG0000010	YGL257C, YNR059W	genemark-NODE_3_length_818837_cov_14.4757_ID_1651-processed-gene-6.32-mRNA-1_1&gene=genemark-NODE_3_length_818837_cov_14.4757_ID_1651-processed-gene-6.32&CDS=1-2232, genemark-NODE_3_length_818837_cov_14.4757_ID_1651-processed-gene-7.25-mRNA-1_1&gene=genemark-NODE_3_length_818837_cov_14.4757_ID_1651-processed-gene-7.25&CDS=1-2541, maker-NODE_21_length_209321_cov_12.3293_ID_3016-snap-gene-0.87-mRNA-1_1&gene=maker-NODE_21_length_209321_cov_12.3293_ID_3016-snap-gene-0.87&CDS=1-3660, maker-NODE_5_length_680455_cov_12.9136_ID_4731-snap-gene-0.158-mRNA-1_1&gene=maker-NODE_5_length_680455_cov_12.9136_ID_4731-snap-gene-0.158&CDS=1-2289, maker-NODE_5_length_680455_cov_12.9136_ID_4731-snap-gene-0.159-mRNA-1_1&gene=maker-NODE_5_length_680455_cov_12.9136_ID_4731-snap-gene-0.159&CDS=1-2412, snap_masked-NODE_26_length_125553_cov_16.6396_ID_2725-processed-gene-0.182-mRNA-1_1&gene=snap_masked-NODE_26_length_125553_cov_16.6396_ID_2725-processed-gene-0.182&CDS=1-1425
11	OG0000011	YAR019C, YDR523C, YHR102W	genemark-NODE_12_length_325361_cov_17.2826_ID_2477-processed-gene-1.2-mRNA-1_1&gene=genemark-NODE_12_length_325361_cov_17.2826_ID_2477-processed-gene-1.2&CDS=1-1464, genemark-NODE_2_length_1179413_cov_13.4957_ID_2097-processed-gene-10.52-mRNA-1_1&gene=genemark-NODE_2_length_1179413_cov_13.4957_ID_2097-processed-gene-10.52&CDS=1-2637, genemark-NODE_3_length_818837_cov_14.4757_ID_1651-processed-gene-0.36-mRNA-1_1&gene=genemark-NODE_3_length_818837_cov_14.4757_ID_1651-processed-gene-0.36&CDS=1-3096, snap_masked-NODE_5_length_680455_cov_12.9136_ID_4731-processed-gene-0.153-mRNA-1_1&gene=snap_masked-NODE_5_length_680455_cov_12.9136_ID_4731-processed-gene-0.153&CDS=1-1437
12	OG0000012	YBR015C	genemark-NODE_16_length_250663_cov_14.7568_ID_3101-processed-gene-1.211-mRNA-1_1&gene=genemark-NODE_16_length_250663_cov_14.7568_ID_3101-processed-gene-1.211&CDS=1-1935, genemark-NODE_2_length_1179413_cov_13.4957_ID_2097-processed-gene-3.153-mRNA-1_1&gene=genemark-NODE_2_length_1179413_cov_13.4957_ID_2097-processed-gene-3.153&CDS=1-1647, genemark-NODE_33_length_49224_cov_13.1604_ID_3666-processed-gene-0.18-mRNA-1_1&gene=genemark-NODE_33_length_49224_cov_13.1604_ID_3666-processed-gene-0.18&CDS=1-1956, genemark-NODE_4_length_795099_cov_12.4169_ID_3890-processed-gene-2.40-mRNA-1_1&gene=genemark-NODE_4_length_795099_cov_12.4169_ID_3890-processed-gene-2.40&CDS=1-1932, genemark-NODE_4_length_795099_cov_12.4169_ID_3890-processed-gene-3.134-mRNA-1_1&gene=genemark-NODE_4_length_795099_cov_12.4169_ID_3890-processed-gene-3.134&CDS=1-1956, genemark-NODE_5_length_680455_cov_12.9136_ID_4731-processed-gene-2.121-mRNA-1_1&gene=genemark-NODE_5_length_680455_cov_12.9136_ID_4731-processed-gene-2.121&CDS=1-1653
13	OG0000013	YBR298C, YDL247W, YGR289C, YJR160C	genemark-NODE_1_length_1803884_cov_12.5183_ID_6464-processed-gene-14.32-mRNA-1_1&gene=genemark-NODE_1_length_1803884_cov_12.5183_ID_6464-processed-gene-14.32&CDS=1-1764, genemark-NODE_7_length_427571_cov_12.0098_ID_2786-processed-gene-3.188-mRNA-1_1&gene=genemark-NODE_7_length_427571_cov_12.0098_ID_2786-processed-gene-3.188&CDS=1-1734, genemark-NODE_8_length_392814_cov_12.8339_ID_2366-processed-gene-2.79-mRNA-1_1&gene=genemark-NODE_8_length_392814_cov_12.8339_ID_2366-processed-gene-2.79&CDS=1-1704
14	OG0000014	YCL024W, YDR477W, YDR507C, YKL101W	genemark-NODE_16_length_250663_cov_14.7568_ID_3101-processed-gene-1.202-mRNA-1_1&gene=genemark-NODE_16_length_250663_cov_14.7568_ID_3101-processed-gene-1.202&CDS=1-1722, genemark-NODE_1_length_1803884_cov_12.5183_ID_6464-processed-gene-0.46-mRNA-1_1&gene=genemark-NODE_1_length_1803884_cov_12.5183_ID_6464-processed-gene-0.46&CDS=1-3621, genemark-NODE_6_length_656377_cov_12.1792_ID_5378-processed-gene-0.21-mRNA-1_1&gene=genemark-NODE_6_length_656377_cov_12.1792_ID_5378-processed-gene-0.21&CDS=1-3504
15	OG0000015	YDR342C, YDR343C, YDR345C, YHR092C, YHR094C, YHR096C	genemark-NODE_15_length_255544_cov_16.8036_ID_3316-processed-gene-1.205-mRNA-1_1&gene=genemark-NODE_15_length_255544_cov_16.8036_ID_3316-processed-gene-1.205&CDS=1-1689
16	OG0000016	YDR541C, YGL039W, YGL157W, YOL151W	genemark-NODE_10_length_349858_cov_12.5761_ID_1911-processed-gene-1.160-mRNA-1_1&gene=genemark-NODE_10_length_349858_cov_12.5761_ID_1911-processed-gene-1.160&CDS=1-1050, genemark-NODE_15_length_255544_cov_16.8036_ID_3316-processed-gene-1.223-mRNA-1_1&gene=genemark-NODE_15_length_255544_cov_16.8036_ID_3316-processed-gene-1.223&CDS=1-1050, genemark-NODE_29_length_91673_cov_18.0449_ID_3278-processed-gene-0.125-mRNA-1_1&gene=genemark-NODE_29_length_91673_cov_18.0449_ID_3278-processed-gene-0.125&CDS=1-1002
17	OG0000017	YGL185C, YPL113C	augustus_masked-NODE_3_length_818837_cov_14.4757_ID_1651-processed-gene-4.87-mRNA-1_1&gene=augustus_masked-NODE_3_length_818837_cov_14.4757_ID_1651-processed-gene-4.87&CDS=1-1095, genemark-NODE_17_length_244919_cov_14.6234_ID_2205-processed-gene-0.5-mRNA-1_1&gene=genemark-NODE_17_length_244919_cov_14.6234_ID_2205-processed-gene-0.5&CDS=1-1104, genemark-NODE_22_length_204725_cov_13.0733_ID_3180-processed-gene-1.160-mRNA-1_1&gene=genemark-NODE_22_length_204725_cov_13.0733_ID_3180-processed-gene-1.160&CDS=1-1101, genemark-NODE_3_length_818837_cov_14.4757_ID_1651-processed-gene-3.33-mRNA-1_1&gene=genemark-NODE_3_length_818837_cov_14.4757_ID_1651-processed-gene-3.33&CDS=1-1101, genemark-NODE_3_length_818837_cov_14.4757_ID_1651-processed-gene-4.38-mRNA-1_1&gene=genemark-NODE_3_length_818837_cov_14.4757_ID_1651-processed-gene-4.38&CDS=1-1101
18	OG0000018	YJR152W	genemark-NODE_13_length_279868_cov_16.3718_ID_2267-processed-gene-0.0-mRNA-1_1&gene=genemark-NODE_13_length_279868_cov_16.3718_ID_2267-processed-gene-0.0&CDS=1-1587, genemark-NODE_13_length_279868_cov_16.3718_ID_2267-processed-gene-1.224-mRNA-1_1&gene=genemark-NODE_13_length_279868_cov_16.3718_ID_2267-processed-gene-1.224&CDS=1-1554, genemark-NODE_14_length_271931_cov_12.048_ID_1875-processed-gene-0.34-mRNA-1_1&gene=genemark-NODE_14_length_271931_cov_12.048_ID_1875-processed-gene-0.34&CDS=1-1563, genemark-NODE_16_length_250663_cov_14.7568_ID_3101-processed-gene-0.1-mRNA-1_1&gene=genemark-NODE_16_length_250663_cov_14.7568_ID_3101-processed-gene-0.1&CDS=1-1563, genemark-NODE_22_length_204725_cov_13.0733_ID_3180-processed-gene-1.171-mRNA-1_1&gene=genemark-NODE_22_length_204725_cov_13.0733_ID_3180-processed-gene-1.171&CDS=1-1614, genemark-NODE_48_length_5916_cov_18.4511_ID_4153-processed-gene-0.2-mRNA-1_1&gene=genemark-NODE_48_length_5916_cov_18.4511_ID_4153-processed-gene-0.2&CDS=1-1536
19	OG0000019	YKL220C, YNR060W, YOR381W	genemark-NODE_11_length_342259_cov_11.9269_ID_2313-processed-gene-2.27-mRNA-1_1&gene=genemark-NODE_11_length_342259_cov_11.9269_ID_2313-processed-gene-2.27&CDS=1-2211, genemark-NODE_2_length_1179413_cov_13.4957_ID_2097-processed-gene-1.23-mRNA-1_1&gene=genemark-NODE_2_length_1179413_cov_13.4957_ID_2097-processed-gene-1.23&CDS=1-2076, genemark-NODE_2_length_1179413_cov_13.4957_ID_2097-processed-gene-1.44-mRNA-1_1&gene=genemark-NODE_2_length_1179413_cov_13.4957_ID_2097-processed-gene-1.44&CDS=1-2142, snap_masked-NODE_18_length_229513_cov_16.7971_ID_2869-processed-gene-0.58-mRNA-1_1&gene=snap_masked-NODE_18_length_229513_cov_16.7971_ID_2869-processed-gene-0.58&CDS=1-1884
20	OG0000020	YLR152C, YNL095C, YOR092W	augustus_masked-NODE_6_length_656377_cov_12.1792_ID_5378-processed-gene-5.92-mRNA-1_1&gene=augustus_masked-NODE_6_length_656377_cov_12.1792_ID_5378-processed-gene-5.92&CDS=1-4686, genemark-NODE_15_length_255544_cov_16.8036_ID_3316-processed-gene-1.198-mRNA-1_1&gene=genemark-NODE_15_length_255544_cov_16.8036_ID_3316-processed-gene-1.198&CDS=1-1347, genemark-NODE_15_length_255544_cov_16.8036_ID_3316-processed-gene-1.236-mRNA-1_1&gene=genemark-NODE_15_length_255544_cov_16.8036_ID_3316-processed-gene-1.236&CDS=1-1521, genemark-NODE_9_length_366428_cov_12.2711_ID_1557-processed-gene-1.115-mRNA-1_1&gene=genemark-NODE_9_length_366428_cov_12.2711_ID_1557-processed-gene-1.115&CDS=1-1566
21	OG0000021	YAL067C, YGR065C	genemark-NODE_12_length_325361_cov_17.2826_ID_2477-processed-gene-2.40-mRNA-1_1&gene=genemark-NODE_12_length_325361_cov_17.2826_ID_2477-processed-gene-2.40&CDS=1-1677, genemark-NODE_12_length_325361_cov_17.2826_ID_2477-processed-gene-2.59-mRNA-1_1&gene=genemark-NODE_12_length_325361_cov_17.2826_ID_2477-processed-gene-2.59&CDS=1-1824, genemark-NODE_1_length_1803884_cov_12.5183_ID_6464-processed-gene-17.172-mRNA-1_1&gene=genemark-NODE_1_length_1803884_cov_12.5183_ID_6464-processed-gene-17.172&CDS=1-1695, genemark-NODE_2_length_1179413_cov_13.4957_ID_2097-processed-gene-7.19-mRNA-1_1&gene=genemark-NODE_2_length_1179413_cov_13.4957_ID_2097-processed-gene-7.19&CDS=1-1689
22	OG0000022	YBL017C, YIL173W, YJL222W, YNR065C	augustus_masked-NODE_6_length_656377_cov_12.1792_ID_5378-processed-gene-2.75-mRNA-1_1&gene=augustus_masked-NODE_6_length_656377_cov_12.1792_ID_5378-processed-gene-2.75&CDS=1-4830, genemark-NODE_5_length_680455_cov_12.9136_ID_4731-processed-gene-1.14-mRNA-1_1&gene=genemark-NODE_5_length_680455_cov_12.9136_ID_4731-processed-gene-1.14&CDS=1-4587
23	OG0000023	YBR150C, YOL089C	genemark-NODE_11_length_342259_cov_11.9269_ID_2313-processed-gene-2.23-mRNA-1_1&gene=genemark-NODE_11_length_342259_cov_11.9269_ID_2313-processed-gene-2.23&CDS=1-2670, genemark-NODE_4_length_795099_cov_12.4169_ID_3890-processed-gene-5.126-mRNA-1_1&gene=genemark-NODE_4_length_795099_cov_12.4169_ID_3890-processed-gene-5.126&CDS=1-1236, genemark-NODE_4_length_795099_cov_12.4169_ID_3890-processed-gene-6.63-mRNA-1_1&gene=genemark-NODE_4_length_795099_cov_12.4169_ID_3890-processed-gene-6.63&CDS=1-2616, maker-NODE_4_length_795099_cov_12.4169_ID_3890-snap-gene-6.304-mRNA-1_1&gene=maker-NODE_4_length_795099_cov_12.4169_ID_3890-snap-gene-6.304&CDS=1-861
24	OG0000024	YCL037C, YDL051W, YDR515W	genemark-NODE_1_length_1803884_cov_12.5183_ID_6464-processed-gene-1.125-mRNA-1_1&gene=genemark-NODE_1_length_1803884_cov_12.5183_ID_6464-processed-gene-1.125&CDS=1-1512, genemark-NODE_26_length_125553_cov_16.6396_ID_2725-processed-gene-0.9-mRNA-1_1&gene=genemark-NODE_26_length_125553_cov_16.6396_ID_2725-processed-gene-0.9&CDS=1-777, genemark-NODE_2_length_1179413_cov_13.4957_ID_2097-processed-gene-5.149-mRNA-1_1&gene=genemark-NODE_2_length_1179413_cov_13.4957_ID_2097-processed-gene-5.149&CDS=1-1680
25	OG0000025	YCL069W, YGR224W, YKR105C, YPR198W	genemark-NODE_3_length_818837_cov_14.4757_ID_1651-processed-gene-1.118-mRNA-1_1&gene=genemark-NODE_3_length_818837_cov_14.4757_ID_1651-processed-gene-1.118&CDS=1-1701, genemark-NODE_6_length_656377_cov_12.1792_ID_5378-processed-gene-5.77-mRNA-1_1&gene=genemark-NODE_6_length_656377_cov_12.1792_ID_5378-processed-gene-5.77&CDS=1-1830
26	OG0000026	YDL025C, YNL183C, YOR267C	genemark-NODE_17_length_244919_cov_14.6234_ID_2205-processed-gene-1.58-mRNA-1_1&gene=genemark-NODE_17_length_244919_cov_14.6234_ID_2205-processed-gene-1.58&CDS=1-1596, genemark-NODE_17_length_244919_cov_14.6234_ID_2205-processed-gene-1.65-mRNA-1_1&gene=genemark-NODE_17_length_244919_cov_14.6234_ID_2205-processed-gene-1.65&CDS=1-1626, genemark-NODE_1_length_1803884_cov_12.5183_ID_6464-processed-gene-9.93-mRNA-1_1&gene=genemark-NODE_1_length_1803884_cov_12.5183_ID_6464-processed-gene-9.93&CDS=1-2271
27	OG0000027	YDR242W	genemark-NODE_16_length_250663_cov_14.7568_ID_3101-processed-gene-0.39-mRNA-1_1&gene=genemark-NODE_16_length_250663_cov_14.7568_ID_3101-processed-gene-0.39&CDS=1-1722, genemark-NODE_2_length_1179413_cov_13.4957_ID_2097-processed-gene-7.29-mRNA-1_1&gene=genemark-NODE_2_length_1179413_cov_13.4957_ID_2097-processed-gene-7.29&CDS=1-1695, genemark-NODE_7_length_427571_cov_12.0098_ID_2786-processed-gene-3.194-mRNA-1_1&gene=genemark-NODE_7_length_427571_cov_12.0098_ID_2786-processed-gene-3.194&CDS=1-1620, maker-NODE_13_length_279868_cov_16.3718_ID_2267-augustus-gene-1.14-mRNA-1_1&gene=maker-NODE_13_length_279868_cov_16.3718_ID_2267-augustus-gene-1.14&CDS=1-3186, maker-NODE_4_length_795099_cov_12.4169_ID_3890-snap-gene-1.114-mRNA-1_1&gene=maker-NODE_4_length_795099_cov_12.4169_ID_3890-snap-gene-1.114&CDS=1-3369
28	OG0000028	YER047C, YPL074W, YPR173C	genemark-NODE_16_length_250663_cov_14.7568_ID_3101-processed-gene-0.28-mRNA-1_1&gene=genemark-NODE_16_length_250663_cov_14.7568_ID_3101-processed-gene-0.28&CDS=1-1278, genemark-NODE_19_length_228542_cov_17.4633_ID_2414-processed-gene-0.43-mRNA-1_1&gene=genemark-NODE_19_length_228542_cov_17.4633_ID_2414-processed-gene-0.43&CDS=1-1878, genemark-NODE_21_length_209321_cov_12.3293_ID_3016-processed-gene-1.157-mRNA-1_1&gene=genemark-NODE_21_length_209321_cov_12.3293_ID_3016-processed-gene-1.157&CDS=1-2352
