	OrthologID	Saccharomyces_cerevisiae	yHMPu5000035670_Phaffomyces_opuntiae
10	OG0000010	YBR297W, YFL052W, YGR288W, YPR196W	augustus_masked-NODE_52_length_85089_cov_71.98_ID_11545-processed-gene-0.56-mRNA-1_1&gene=augustus_masked-NODE_52_length_85089_cov_71.98_ID_11545-processed-gene-0.56&CDS=1-1098, augustus_masked-NODE_84_length_56906_cov_55.4173_ID_9915-processed-gene-0.43-mRNA-1_1&gene=augustus_masked-NODE_84_length_56906_cov_55.4173_ID_9915-processed-gene-0.43&CDS=1-804, genemark-NODE_65_length_76632_cov_56.2777_ID_8478-processed-gene-0.19-mRNA-1_1&gene=genemark-NODE_65_length_76632_cov_56.2777_ID_8478-processed-gene-0.19&CDS=1-2661
11	OG0000011	YDL138W, YDL194W, YDR536W	augustus_masked-NODE_73_length_67798_cov_55.763_ID_8961-processed-gene-0.43-mRNA-1_1&gene=augustus_masked-NODE_73_length_67798_cov_55.763_ID_8961-processed-gene-0.43&CDS=1-2676, genemark-NODE_107_length_35291_cov_54.1421_ID_11281-processed-gene-0.42-mRNA-1_1&gene=genemark-NODE_107_length_35291_cov_54.1421_ID_11281-processed-gene-0.42&CDS=1-1824, genemark-NODE_28_length_130849_cov_55.1415_ID_9649-processed-gene-0.80-mRNA-1_1&gene=genemark-NODE_28_length_130849_cov_55.1415_ID_9649-processed-gene-0.80&CDS=1-1629, genemark-NODE_54_length_82340_cov_55.5355_ID_8121-processed-gene-0.23-mRNA-1_1&gene=genemark-NODE_54_length_82340_cov_55.5355_ID_8121-processed-gene-0.23&CDS=1-1590
12	OG0000012	YDR338C, YHR032W	genemark-NODE_12_length_191144_cov_54.1603_ID_7329-processed-gene-0.124-mRNA-1_1&gene=genemark-NODE_12_length_191144_cov_54.1603_ID_7329-processed-gene-0.124&CDS=1-1803, genemark-NODE_56_length_80869_cov_55.0497_ID_7394-processed-gene-0.37-mRNA-1_1&gene=genemark-NODE_56_length_80869_cov_55.0497_ID_7394-processed-gene-0.37&CDS=1-1665, genemark-NODE_68_length_73590_cov_73.3368_ID_8712-processed-gene-0.12-mRNA-1_1&gene=genemark-NODE_68_length_73590_cov_73.3368_ID_8712-processed-gene-0.12&CDS=1-1707, genemark-NODE_88_length_52093_cov_56.6024_ID_13439-processed-gene-0.31-mRNA-1_1&gene=genemark-NODE_88_length_52093_cov_56.6024_ID_13439-processed-gene-0.31&CDS=1-1476, maker-NODE_18_length_155841_cov_56.6118_ID_5839-augustus-gene-0.65-mRNA-1_1&gene=maker-NODE_18_length_155841_cov_56.6118_ID_5839-augustus-gene-0.65&CDS=1-3000
13	OG0000013	YER103W, YJL034W, YLR369W	genemark-NODE_10_length_199636_cov_58.6805_ID_8612-processed-gene-0.218-mRNA-1_1&gene=genemark-NODE_10_length_199636_cov_58.6805_ID_8612-processed-gene-0.218&CDS=1-1926, genemark-NODE_1_length_473280_cov_55.4859_ID_5171-processed-gene-3.13-mRNA-1_1&gene=genemark-NODE_1_length_473280_cov_55.4859_ID_5171-processed-gene-3.13&CDS=1-1935, genemark-NODE_2_length_368873_cov_56.1611_ID_5273-processed-gene-2.171-mRNA-1_1&gene=genemark-NODE_2_length_368873_cov_56.1611_ID_5273-processed-gene-2.171&CDS=1-1899, genemark-NODE_38_length_111217_cov_55.057_ID_6468-processed-gene-0.53-mRNA-1_1&gene=genemark-NODE_38_length_111217_cov_55.057_ID_6468-processed-gene-0.53&CDS=1-2031
14	OG0000014	YGL257C, YNR059W	genemark-NODE_125_length_23242_cov_54.2605_ID_13351-processed-gene-0.14-mRNA-1_1&gene=genemark-NODE_125_length_23242_cov_54.2605_ID_13351-processed-gene-0.14&CDS=1-2214, genemark-NODE_25_length_136532_cov_55.6675_ID_12345-processed-gene-0.95-mRNA-1_1&gene=genemark-NODE_25_length_136532_cov_55.6675_ID_12345-processed-gene-0.95&CDS=1-1998, maker-NODE_37_length_111893_cov_55.4246_ID_6408-snap-gene-0.1-mRNA-1_1&gene=maker-NODE_37_length_111893_cov_55.4246_ID_6408-snap-gene-0.1&CDS=1-4554, snap_masked-NODE_29_length_130716_cov_55.523_ID_10725-processed-gene-0.146-mRNA-1_1&gene=snap_masked-NODE_29_length_130716_cov_55.523_ID_10725-processed-gene-0.146&CDS=1-2034, snap_masked-NODE_4_length_330874_cov_55.2971_ID_5053-processed-gene-2.92-mRNA-1_1&gene=snap_masked-NODE_4_length_330874_cov_55.2971_ID_5053-processed-gene-2.92&CDS=1-2148
15	OG0000015	YHR050W, YLR034C, YOL122C	augustus_masked-NODE_39_length_109361_cov_55.0506_ID_6540-processed-gene-0.89-mRNA-1_1&gene=augustus_masked-NODE_39_length_109361_cov_55.0506_ID_6540-processed-gene-0.89&CDS=1-1725, genemark-NODE_14_length_185717_cov_58.2368_ID_8258-processed-gene-0.238-mRNA-1_1&gene=genemark-NODE_14_length_185717_cov_58.2368_ID_8258-processed-gene-0.238&CDS=1-1518, genemark-NODE_22_length_142085_cov_53.8417_ID_5899-processed-gene-0.173-mRNA-1_1&gene=genemark-NODE_22_length_142085_cov_53.8417_ID_5899-processed-gene-0.173&CDS=1-1383, genemark-NODE_41_length_106288_cov_63.054_ID_7724-processed-gene-0.86-mRNA-1_1&gene=genemark-NODE_41_length_106288_cov_63.054_ID_7724-processed-gene-0.86&CDS=1-1500
16	OG0000016	YHR176W	genemark-NODE_33_length_117313_cov_58.5094_ID_6324-processed-gene-0.77-mRNA-1_1&gene=genemark-NODE_33_length_117313_cov_58.5094_ID_6324-processed-gene-0.77&CDS=1-1518, genemark-NODE_51_length_87692_cov_62.6115_ID_7213-processed-gene-0.115-mRNA-1_1&gene=genemark-NODE_51_length_87692_cov_62.6115_ID_7213-processed-gene-0.115&CDS=1-1422, genemark-NODE_61_length_78361_cov_56.3646_ID_7813-processed-gene-0.23-mRNA-1_1&gene=genemark-NODE_61_length_78361_cov_56.3646_ID_7813-processed-gene-0.23&CDS=1-1467, genemark-NODE_8_length_222665_cov_55.63_ID_6999-processed-gene-1.107-mRNA-1_1&gene=genemark-NODE_8_length_222665_cov_55.63_ID_6999-processed-gene-1.107&CDS=1-1518, genemark-NODE_91_length_48162_cov_56.5097_ID_12987-processed-gene-0.70-mRNA-1_1&gene=genemark-NODE_91_length_48162_cov_56.5097_ID_12987-processed-gene-0.70&CDS=1-1392, maker-NODE_8_length_222665_cov_55.63_ID_6999-snap-gene-1.3-mRNA-1_1&gene=maker-NODE_8_length_222665_cov_55.63_ID_6999-snap-gene-1.3&CDS=1-1509
17	OG0000017		augustus_masked-NODE_180_length_5780_cov_114.441_ID_30005-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_180_length_5780_cov_114.441_ID_30005-processed-gene-0.1&CDS=1-4731, augustus_masked-NODE_198_length_3562_cov_72.0892_ID_23232-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_198_length_3562_cov_72.0892_ID_23232-processed-gene-0.1&CDS=1-3561, augustus_masked-NODE_478_length_287_cov_60.253_ID_30791-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_478_length_287_cov_60.253_ID_30791-processed-gene-0.0&CDS=1-285, snap_masked-NODE_213_length_2072_cov_127.097_ID_29921-processed-gene-0.0-mRNA-1_1&gene=snap_masked-NODE_213_length_2072_cov_127.097_ID_29921-processed-gene-0.0&CDS=1-1743, snap_masked-NODE_262_length_930_cov_252.258_ID_29895-processed-gene-0.1-mRNA-1_1&gene=snap_masked-NODE_262_length_930_cov_252.258_ID_29895-processed-gene-0.1&CDS=1-156, snap_masked-NODE_85_length_55148_cov_62.222_ID_13254-processed-gene-0.8-mRNA-1_1&gene=snap_masked-NODE_85_length_55148_cov_62.222_ID_13254-processed-gene-0.8&CDS=1-396, snap_masked-NODE_8_length_222665_cov_55.63_ID_6999-processed-gene-0.27-mRNA-1_1&gene=snap_masked-NODE_8_length_222665_cov_55.63_ID_6999-processed-gene-0.27&CDS=1-5343
18	OG0000018	YAL063C, YAL064C-A, YAR050W, YHR211W, YHR213W, YKR102W	
19	OG0000019	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W	genemark-NODE_4_length_330874_cov_55.2971_ID_5053-processed-gene-2.20-mRNA-1_1&gene=genemark-NODE_4_length_330874_cov_55.2971_ID_5053-processed-gene-2.20&CDS=1-1356
20	OG0000020	YBL017C, YIL173W, YJL222W, YNR065C	augustus_masked-NODE_16_length_167872_cov_55.7905_ID_6804-processed-gene-0.82-mRNA-1_1&gene=augustus_masked-NODE_16_length_167872_cov_55.7905_ID_6804-processed-gene-0.82&CDS=1-4545, genemark-NODE_76_length_64711_cov_55.5515_ID_9141-processed-gene-0.43-mRNA-1_1&gene=genemark-NODE_76_length_64711_cov_55.5515_ID_9141-processed-gene-0.43&CDS=1-4572
21	OG0000021	YDL216C, YFR004W, YLR073C	genemark-NODE_4_length_330874_cov_55.2971_ID_5053-processed-gene-2.11-mRNA-1_1&gene=genemark-NODE_4_length_330874_cov_55.2971_ID_5053-processed-gene-2.11&CDS=1-1623, genemark-NODE_52_length_85089_cov_71.98_ID_11545-processed-gene-0.78-mRNA-1_1&gene=genemark-NODE_52_length_85089_cov_71.98_ID_11545-processed-gene-0.78&CDS=1-930, genemark-NODE_91_length_48162_cov_56.5097_ID_12987-processed-gene-0.65-mRNA-1_1&gene=genemark-NODE_91_length_48162_cov_56.5097_ID_12987-processed-gene-0.65&CDS=1-1329
22	OG0000022	YDR134C, YLR110C	genemark-NODE_11_length_197763_cov_54.7867_ID_23752-processed-gene-0.69-mRNA-1_1&gene=genemark-NODE_11_length_197763_cov_54.7867_ID_23752-processed-gene-0.69&CDS=1-1173, genemark-NODE_74_length_67296_cov_55.105_ID_10455-processed-gene-0.12-mRNA-1_1&gene=genemark-NODE_74_length_67296_cov_55.105_ID_10455-processed-gene-0.12&CDS=1-408, genemark-NODE_75_length_67277_cov_56.3914_ID_10809-processed-gene-0.29-mRNA-1_1&gene=genemark-NODE_75_length_67277_cov_56.3914_ID_10809-processed-gene-0.29&CDS=1-2835, genemark-NODE_81_length_58693_cov_55.9514_ID_11193-processed-gene-0.18-mRNA-1_1&gene=genemark-NODE_81_length_58693_cov_55.9514_ID_11193-processed-gene-0.18&CDS=1-2124
23	OG0000023	YDR380W, YLR044C, YLR134W	genemark-NODE_11_length_197763_cov_54.7867_ID_23752-processed-gene-0.88-mRNA-1_1&gene=genemark-NODE_11_length_197763_cov_54.7867_ID_23752-processed-gene-0.88&CDS=1-1794, genemark-NODE_19_length_152415_cov_54.5177_ID_5621-processed-gene-0.163-mRNA-1_1&gene=genemark-NODE_19_length_152415_cov_54.5177_ID_5621-processed-gene-0.163&CDS=1-1713, genemark-NODE_37_length_111893_cov_55.4246_ID_6408-processed-gene-0.54-mRNA-1_1&gene=genemark-NODE_37_length_111893_cov_55.4246_ID_6408-processed-gene-0.54&CDS=1-1698
24	OG0000024	YER054C, YIL045W, YLR273C, YOR178C	augustus_masked-NODE_2_length_368873_cov_56.1611_ID_5273-processed-gene-1.73-mRNA-1_1&gene=augustus_masked-NODE_2_length_368873_cov_56.1611_ID_5273-processed-gene-1.73&CDS=1-1677, genemark-NODE_66_length_73827_cov_54.8195_ID_9775-processed-gene-0.47-mRNA-1_1&gene=genemark-NODE_66_length_73827_cov_54.8195_ID_9775-processed-gene-0.47&CDS=1-1869
25	OG0000025	YFL021W, YKR034W	genemark-NODE_15_length_185597_cov_61.0653_ID_7061-processed-gene-0.159-mRNA-1_1&gene=genemark-NODE_15_length_185597_cov_61.0653_ID_7061-processed-gene-0.159&CDS=1-1464, genemark-NODE_64_length_77145_cov_66.0559_ID_9405-processed-gene-0.26-mRNA-1_1&gene=genemark-NODE_64_length_77145_cov_66.0559_ID_9405-processed-gene-0.26&CDS=1-1668, genemark-NODE_86_length_53711_cov_57.1633_ID_11623-processed-gene-0.11-mRNA-1_1&gene=genemark-NODE_86_length_53711_cov_57.1633_ID_11623-processed-gene-0.11&CDS=1-1803, snap_masked-NODE_179_length_6085_cov_52.5015_ID_16571-processed-gene-0.3-mRNA-1_1&gene=snap_masked-NODE_179_length_6085_cov_52.5015_ID_16571-processed-gene-0.3&CDS=1-1524
26	OG0000026	YGL233W, YKR093W	genemark-NODE_13_length_187264_cov_63.5239_ID_29069-processed-gene-0.207-mRNA-1_1&gene=genemark-NODE_13_length_187264_cov_63.5239_ID_29069-processed-gene-0.207&CDS=1-5214, genemark-NODE_1_length_473280_cov_55.4859_ID_5171-processed-gene-1.45-mRNA-1_1&gene=genemark-NODE_1_length_473280_cov_55.4859_ID_5171-processed-gene-1.45&CDS=1-1869, genemark-NODE_1_length_473280_cov_55.4859_ID_5171-processed-gene-1.75-mRNA-1_1&gene=genemark-NODE_1_length_473280_cov_55.4859_ID_5171-processed-gene-1.75&CDS=1-1860, genemark-NODE_70_length_69407_cov_59.1705_ID_10682-processed-gene-0.1-mRNA-1_1&gene=genemark-NODE_70_length_69407_cov_59.1705_ID_10682-processed-gene-0.1&CDS=1-1785
