	OrthologID	Saccharomyces_cerevisiae	yHMPu5000035687_Cyberlindnera_suaveolens
10	OG0000010	YDL048C, YDR463W, YHR006W, YLR375W	augustus_masked-NODE_81_length_44004_cov_15.8066_ID_28087-processed-gene-0.71-mRNA-1_1&gene=augustus_masked-NODE_81_length_44004_cov_15.8066_ID_28087-processed-gene-0.71&CDS=1-699, augustus_masked-NODE_85_length_34279_cov_16.4542_ID_10114-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-NODE_85_length_34279_cov_16.4542_ID_10114-processed-gene-0.7&CDS=1-813, genemark-NODE_8_length_281708_cov_15.4654_ID_4841-processed-gene-1.215-mRNA-1_1&gene=genemark-NODE_8_length_281708_cov_15.4654_ID_4841-processed-gene-1.215&CDS=1-1176
11	OG0000011	YDR321W, YLR155C, YLR157C, YLR158C, YLR160C	augustus_masked-NODE_31_length_115741_cov_15.751_ID_5875-processed-gene-0.26-mRNA-1_1&gene=augustus_masked-NODE_31_length_115741_cov_15.751_ID_5875-processed-gene-0.26&CDS=1-1215, augustus_masked-NODE_5_length_378657_cov_15.4887_ID_4719-processed-gene-2.106-mRNA-1_1&gene=augustus_masked-NODE_5_length_378657_cov_15.4887_ID_4719-processed-gene-2.106&CDS=1-1086
12	OG0000012	YER073W, YOR374W, YPL061W	augustus_masked-NODE_22_length_176656_cov_15.8943_ID_5903-processed-gene-0.155-mRNA-1_1&gene=augustus_masked-NODE_22_length_176656_cov_15.8943_ID_5903-processed-gene-0.155&CDS=1-1491, augustus_masked-NODE_72_length_53785_cov_18.9429_ID_9584-processed-gene-0.65-mRNA-1_1&gene=augustus_masked-NODE_72_length_53785_cov_18.9429_ID_9584-processed-gene-0.65&CDS=1-1545, genemark-NODE_59_length_70817_cov_15.3005_ID_7652-processed-gene-0.113-mRNA-1_1&gene=genemark-NODE_59_length_70817_cov_15.3005_ID_7652-processed-gene-0.113&CDS=1-1623, maker-NODE_6_length_345438_cov_15.5357_ID_5106-snap-gene-1.168-mRNA-1_1&gene=maker-NODE_6_length_345438_cov_15.5357_ID_5106-snap-gene-1.168&CDS=1-1935
13	OG0000013	YBL017C, YIL173W, YJL222W, YNR065C	maker-NODE_19_length_195766_cov_16.9769_ID_5328-augustus-gene-0.139-mRNA-1_1&gene=maker-NODE_19_length_195766_cov_16.9769_ID_5328-augustus-gene-0.139&CDS=1-4884, maker-NODE_93_length_23315_cov_21.0693_ID_10781-augustus-gene-0.0-mRNA-1_1&gene=maker-NODE_93_length_23315_cov_21.0693_ID_10781-augustus-gene-0.0&CDS=1-4575
14	OG0000014	YCL037C, YDL051W, YDR515W	augustus_masked-NODE_30_length_117543_cov_16.5253_ID_10017-processed-gene-0.83-mRNA-1_1&gene=augustus_masked-NODE_30_length_117543_cov_16.5253_ID_10017-processed-gene-0.83&CDS=1-1398, augustus_masked-NODE_59_length_70817_cov_15.3005_ID_7652-processed-gene-0.87-mRNA-1_1&gene=augustus_masked-NODE_59_length_70817_cov_15.3005_ID_7652-processed-gene-0.87&CDS=1-1566, genemark-NODE_40_length_95927_cov_15.5978_ID_5171-processed-gene-0.134-mRNA-1_1&gene=genemark-NODE_40_length_95927_cov_15.5978_ID_5171-processed-gene-0.134&CDS=1-834
15	OG0000015	YCR102C, YLR460C, YNL134C	augustus_masked-NODE_87_length_32042_cov_15.8691_ID_10148-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-NODE_87_length_32042_cov_15.8691_ID_10148-processed-gene-0.4&CDS=1-1101, snap_masked-NODE_62_length_62124_cov_18.0477_ID_8133-processed-gene-0.24-mRNA-1_1&gene=snap_masked-NODE_62_length_62124_cov_18.0477_ID_8133-processed-gene-0.24&CDS=1-255, snap_masked-NODE_62_length_62124_cov_18.0477_ID_8133-processed-gene-0.25-mRNA-1_1&gene=snap_masked-NODE_62_length_62124_cov_18.0477_ID_8133-processed-gene-0.25&CDS=1-537
16	OG0000016	YDL138W, YDR536W	augustus_masked-NODE_172_length_3005_cov_28.7767_ID_25040-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_172_length_3005_cov_28.7767_ID_25040-processed-gene-0.0&CDS=1-1614, augustus_masked-NODE_5_length_378657_cov_15.4887_ID_4719-processed-gene-2.98-mRNA-1_1&gene=augustus_masked-NODE_5_length_378657_cov_15.4887_ID_4719-processed-gene-2.98&CDS=1-2043, augustus_masked-NODE_72_length_53785_cov_18.9429_ID_9584-processed-gene-0.66-mRNA-1_1&gene=augustus_masked-NODE_72_length_53785_cov_18.9429_ID_9584-processed-gene-0.66&CDS=1-1854, augustus_masked-NODE_79_length_46606_cov_21.8001_ID_9628-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-NODE_79_length_46606_cov_21.8001_ID_9628-processed-gene-0.12&CDS=1-1575
17	OG0000017	YDL210W	augustus_masked-NODE_139_length_7388_cov_16.4291_ID_12760-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-NODE_139_length_7388_cov_16.4291_ID_12760-processed-gene-0.6&CDS=1-1665, augustus_masked-NODE_1_length_509996_cov_15.7131_ID_4924-processed-gene-0.96-mRNA-1_1&gene=augustus_masked-NODE_1_length_509996_cov_15.7131_ID_4924-processed-gene-0.96&CDS=1-1671, augustus_masked-NODE_3_length_405505_cov_16.6761_ID_5022-processed-gene-0.114-mRNA-1_1&gene=augustus_masked-NODE_3_length_405505_cov_16.6761_ID_5022-processed-gene-0.114&CDS=1-1677, augustus_masked-NODE_66_length_59368_cov_19.114_ID_8320-processed-gene-0.81-mRNA-1_1&gene=augustus_masked-NODE_66_length_59368_cov_19.114_ID_8320-processed-gene-0.81&CDS=1-1638, augustus_masked-NODE_9_length_273348_cov_15.8038_ID_12161-processed-gene-1.69-mRNA-1_1&gene=augustus_masked-NODE_9_length_273348_cov_15.8038_ID_12161-processed-gene-1.69&CDS=1-1725
18	OG0000018	YDR038C, YDR039C, YDR040C	augustus_masked-NODE_2_length_423965_cov_15.6981_ID_4771-processed-gene-3.98-mRNA-1_1&gene=augustus_masked-NODE_2_length_423965_cov_15.6981_ID_4771-processed-gene-3.98&CDS=1-3183, augustus_masked-NODE_6_length_345438_cov_15.5357_ID_5106-processed-gene-2.181-mRNA-1_1&gene=augustus_masked-NODE_6_length_345438_cov_15.5357_ID_5106-processed-gene-2.181&CDS=1-3180, augustus_masked-NODE_87_length_32042_cov_15.8691_ID_10148-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-NODE_87_length_32042_cov_15.8691_ID_10148-processed-gene-0.5&CDS=1-3162
19	OG0000019	YDR134C, YLR110C	augustus_masked-NODE_17_length_210586_cov_18.3491_ID_13553-processed-gene-0.81-mRNA-1_1&gene=augustus_masked-NODE_17_length_210586_cov_18.3491_ID_13553-processed-gene-0.81&CDS=1-453, genemark-NODE_31_length_115741_cov_15.751_ID_5875-processed-gene-0.67-mRNA-1_1&gene=genemark-NODE_31_length_115741_cov_15.751_ID_5875-processed-gene-0.67&CDS=1-636, maker-NODE_19_length_195766_cov_16.9769_ID_5328-snap-gene-0.6-mRNA-1_1&gene=maker-NODE_19_length_195766_cov_16.9769_ID_5328-snap-gene-0.6&CDS=1-936, snap_masked-NODE_8_length_281708_cov_15.4654_ID_4841-processed-gene-1.304-mRNA-1_1&gene=snap_masked-NODE_8_length_281708_cov_15.4654_ID_4841-processed-gene-1.304&CDS=1-360
20	OG0000020	YDR380W, YLR044C	augustus_masked-NODE_10_length_264305_cov_15.4558_ID_6033-processed-gene-1.136-mRNA-1_1&gene=augustus_masked-NODE_10_length_264305_cov_15.4558_ID_6033-processed-gene-1.136&CDS=1-1686, augustus_masked-NODE_1_length_509996_cov_15.7131_ID_4924-processed-gene-3.134-mRNA-1_1&gene=augustus_masked-NODE_1_length_509996_cov_15.7131_ID_4924-processed-gene-3.134&CDS=1-1707, augustus_masked-NODE_24_length_154308_cov_16.0416_ID_8370-processed-gene-0.178-mRNA-1_1&gene=augustus_masked-NODE_24_length_154308_cov_16.0416_ID_8370-processed-gene-0.178&CDS=1-1689, augustus_masked-NODE_34_length_110513_cov_16.7138_ID_15698-processed-gene-0.70-mRNA-1_1&gene=augustus_masked-NODE_34_length_110513_cov_16.7138_ID_15698-processed-gene-0.70&CDS=1-1800
21	OG0000021	YFR033C, YHL033C, YLL045C	augustus_masked-NODE_3_length_405505_cov_16.6761_ID_5022-processed-gene-3.12-mRNA-1_1&gene=augustus_masked-NODE_3_length_405505_cov_16.6761_ID_5022-processed-gene-3.12&CDS=1-786, augustus_masked-NODE_3_length_405505_cov_16.6761_ID_5022-processed-gene-3.33-mRNA-1_1&gene=augustus_masked-NODE_3_length_405505_cov_16.6761_ID_5022-processed-gene-3.33&CDS=1-585, maker-NODE_47_length_86062_cov_15.8563_ID_7278-augustus-gene-0.4-mRNA-1_1&gene=maker-NODE_47_length_86062_cov_15.8563_ID_7278-augustus-gene-0.4&CDS=1-1188
22	OG0000022	YGL185C, YPL113C	augustus_masked-NODE_12_length_229447_cov_15.6454_ID_14397-processed-gene-0.27-mRNA-1_1&gene=augustus_masked-NODE_12_length_229447_cov_15.6454_ID_14397-processed-gene-0.27&CDS=1-1098, augustus_masked-NODE_12_length_229447_cov_15.6454_ID_14397-processed-gene-1.1-mRNA-1_1&gene=augustus_masked-NODE_12_length_229447_cov_15.6454_ID_14397-processed-gene-1.1&CDS=1-1068, augustus_masked-NODE_20_length_190154_cov_15.6774_ID_5534-processed-gene-0.138-mRNA-1_1&gene=augustus_masked-NODE_20_length_190154_cov_15.6774_ID_5534-processed-gene-0.138&CDS=1-1101, genemark-NODE_1_length_509996_cov_15.7131_ID_4924-processed-gene-1.115-mRNA-1_1&gene=genemark-NODE_1_length_509996_cov_15.7131_ID_4924-processed-gene-1.115&CDS=1-1113
23	OG0000023	YJL099W, YKR027W, YMR237W, YOR299W	augustus_masked-NODE_52_length_76053_cov_16.2395_ID_9931-processed-gene-0.100-mRNA-1_1&gene=augustus_masked-NODE_52_length_76053_cov_16.2395_ID_9931-processed-gene-0.100&CDS=1-1971, maker-NODE_4_length_384378_cov_15.8714_ID_4871-snap-gene-2.5-mRNA-1_1&gene=maker-NODE_4_length_384378_cov_15.8714_ID_4871-snap-gene-2.5&CDS=1-2409
24	OG0000024	YJL172W, YOL153C	augustus_masked-NODE_1_length_509996_cov_15.7131_ID_4924-processed-gene-1.55-mRNA-1_1&gene=augustus_masked-NODE_1_length_509996_cov_15.7131_ID_4924-processed-gene-1.55&CDS=1-1722, augustus_masked-NODE_40_length_95927_cov_15.5978_ID_5171-processed-gene-0.91-mRNA-1_1&gene=augustus_masked-NODE_40_length_95927_cov_15.5978_ID_5171-processed-gene-0.91&CDS=1-1656, maker-NODE_1_length_509996_cov_15.7131_ID_4924-snap-gene-0.2-mRNA-1_1&gene=maker-NODE_1_length_509996_cov_15.7131_ID_4924-snap-gene-0.2&CDS=1-3330, maker-NODE_73_length_52820_cov_15.245_ID_8889-snap-gene-0.55-mRNA-1_1&gene=maker-NODE_73_length_52820_cov_15.245_ID_8889-snap-gene-0.55&CDS=1-3471
25	OG0000025	YJR061W, YKL201C	augustus_masked-NODE_11_length_255631_cov_16.2989_ID_11448-processed-gene-1.90-mRNA-1_1&gene=augustus_masked-NODE_11_length_255631_cov_16.2989_ID_11448-processed-gene-1.90&CDS=1-1977, augustus_masked-NODE_66_length_59368_cov_19.114_ID_8320-processed-gene-0.92-mRNA-1_1&gene=augustus_masked-NODE_66_length_59368_cov_19.114_ID_8320-processed-gene-0.92&CDS=1-1878, genemark-NODE_36_length_104753_cov_15.7737_ID_6090-processed-gene-0.22-mRNA-1_1&gene=genemark-NODE_36_length_104753_cov_15.7737_ID_6090-processed-gene-0.22&CDS=1-2205, maker-NODE_41_length_94782_cov_16.4488_ID_6813-augustus-gene-0.108-mRNA-1_1&gene=maker-NODE_41_length_94782_cov_16.4488_ID_6813-augustus-gene-0.108&CDS=1-1902
26	OG0000026	YKL046C, YMR238W	augustus_masked-NODE_13_length_224594_cov_15.961_ID_5467-processed-gene-0.114-mRNA-1_1&gene=augustus_masked-NODE_13_length_224594_cov_15.961_ID_5467-processed-gene-0.114&CDS=1-1329, augustus_masked-NODE_19_length_195766_cov_16.9769_ID_5328-processed-gene-0.157-mRNA-1_1&gene=augustus_masked-NODE_19_length_195766_cov_16.9769_ID_5328-processed-gene-0.157&CDS=1-1350, augustus_masked-NODE_4_length_384378_cov_15.8714_ID_4871-processed-gene-2.199-mRNA-1_1&gene=augustus_masked-NODE_4_length_384378_cov_15.8714_ID_4871-processed-gene-2.199&CDS=1-1335, augustus_masked-NODE_82_length_43526_cov_17.9569_ID_9550-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-NODE_82_length_43526_cov_17.9569_ID_9550-processed-gene-0.16&CDS=1-1353
