	OrthologID	Saccharomyces_cerevisiae	Saitoella_complicata
228	OG0000228	YBR249C	XP_019024816.1, XP_019026309.1
229	OG0000229	YBR254C	XP_019020791.1, XP_019021890.1
230	OG0000230	YBR282W	XP_019022102.1, XP_019025131.1
231	OG0000231	YBR294W, YLR092W	XP_019025646.1
232	OG0000232	YCL011C, YNL004W	XP_019022542.1
233	OG0000233	YCL026C-A, YCL026C-B	XP_019021258.1
234	OG0000234	YCL035C, YDR513W	XP_019027657.1
235	OG0000235	YCL036W, YDR514C	XP_019022008.1
236	OG0000236	YCL040W, YDR516C	XP_019027278.1
237	OG0000237	YCL050C, YDR530C	XP_019021653.1
238	OG0000238	YCL064C, YIL167W	XP_019022915.1
239	OG0000239	YCR010C, YNR002C	XP_019022260.1
240	OG0000240	YCR023C	XP_019025132.1, XP_019026946.1
241	OG0000241	YCR026C, YEL016C	XP_019022073.1
242	OG0000242	YCR052W, YNR023W	XP_019025934.1
243	OG0000243	YCR054C	XP_019021035.1, XP_019025013.1
244	OG0000244	YCR073C, YNR031C	XP_019027189.1
245	OG0000245	YCR094W, YNR048W	XP_019024292.1
246	OG0000246	YDL003W	XP_019021208.1, XP_019027336.1
247	OG0000247	YDL017W	XP_019020731.1, XP_019024518.1
248	OG0000248	YDL022W, YOL059W	XP_019026324.1
249	OG0000249	YDL042C, YOL068C	XP_019021467.1
250	OG0000250	YDL061C, YLR388W	XP_019026213.1
251	OG0000251	YDL075W, YLR406C	XP_019026984.1
252	OG0000252	YDL082W, YMR142C	XP_019025040.1
253	OG0000253	YDL083C, YMR143W	XP_019025039.1
254	OG0000254	YDL085W, YMR145C	XP_019026282.1
255	OG0000255	YDL088C, YMR153W	XP_019027298.1
256	OG0000256	YDL109C, YGL144C	XP_019027460.1
257	OG0000257	YDL128W	XP_019023391.1, XP_019024607.1
258	OG0000258	YDL136W, YDL191W	XP_019027096.1
259	OG0000259	YDL144C	XP_019024826.1, XP_019024991.1
260	OG0000260	YDL161W, YLR206W	XP_019024509.1
261	OG0000261	YDL166C	XP_019020816.1, XP_019026885.1
262	OG0000262	YDL175C, YIL079C	XP_019026027.1
263	OG0000263	YDL204W, YDR233C	XP_019025864.1
264	OG0000264	YDL224C, YNL197C	XP_019026095.1
265	OG0000265	YDL230W	XP_019026821.1, XP_019027059.1
266	OG0000266	YDL246C, YJR159W	XP_019026931.1
267	OG0000267	YDR047W	XP_019021218.1, XP_019027673.1
268	OG0000268	YDR069C, YER144C	XP_019024985.1
269	OG0000269	YDR098C, YER174C	XP_019023958.1
270	OG0000270	YDR101C	XP_019024561.1, XP_019024673.1
271	OG0000271	YDR107C, YLR083C	XP_019023119.1
272	OG0000272	YDR132C, YLR108C	XP_019025968.1
273	OG0000273	YDR151C, YLR136C	XP_019024375.1
274	OG0000274	YDR178W, YLR164W	XP_019026977.1
275	OG0000275	YDR200C, YLR238W	XP_019021607.1
276	OG0000276	YDR252W, YPL037C	XP_019027310.1
277	OG0000277	YDR253C, YPL038W	XP_019024466.1
278	OG0000278	YDR263C, YOR033C	XP_019022557.1
279	OG0000279	YDR264C, YOR034C	XP_019024653.1
280	OG0000280	YDR267C	XP_019021770.1, XP_019024162.1
281	OG0000281	YDR272W, YOR040W	XP_019025431.1
282	OG0000282	YDR312W, YHR066W	XP_019022684.1
283	OG0000283	YDR338C	XP_019020863.1, XP_019027251.1
284	OG0000284	YDR348C, YHR097C	XP_019021999.1
285	OG0000285	YDR358W, YHR108W	XP_019027638.1
286	OG0000286	YDR375C	XP_019021834.1, XP_019023166.1
287	OG0000287	YDR385W, YOR133W	XP_019024428.1
288	OG0000288	YDR408C	XP_019021469.1, XP_019022855.1
289	OG0000289	YDR409W, YOR156C	XP_019025564.1
290	OG0000290	YDR418W, YEL054C	XP_019022492.1
291	OG0000291	YDR438W, YML018C	XP_019025428.1
292	OG0000292	YDR441C, YML022W	XP_019025773.1
293	OG0000293	YDR447C, YML024W	XP_019022600.1
294	OG0000294	YDR450W, YML026C	XP_019026495.1
295	OG0000295	YDR451C, YML027W	XP_019027286.1
296	OG0000296	YDR453C, YML028W	XP_019021717.1
297	OG0000297	YDR471W, YHR010W	XP_019025849.1
298	OG0000298	YDR481C	XP_019021364.1, XP_019027539.1
299	OG0000299	YDR497C, YOL103W	XP_019022899.1
300	OG0000300	YDR500C, YLR185W	XP_019021645.1
301	OG0000301	YDR501W, YLR183C	XP_019026706.1
302	OG0000302	YDR505C, YLR177W	XP_019021774.1
303	OG0000303	YEL022W, YJR031C	XP_019025120.1
304	OG0000304	YEL047C, YJR051W	XP_019022136.1
305	OG0000305	YEL058W	XP_019022423.1, XP_019022698.1
306	OG0000306	YEL066W, YPR193C	XP_019024560.1
307	OG0000307	YEL070W, YNR073C	XP_019021868.1
308	OG0000308	YER019C-A, YER087C-B	XP_019026902.1
309	OG0000309	YER027C, YGL208W	XP_019026733.1
310	OG0000310	YER031C, YGL210W	XP_019024391.1
311	OG0000311	YER048W-A	XP_019021647.1, XP_019025288.1
312	OG0000312	YER054C, YIL045W	XP_019024868.1
313	OG0000313	YER056C-A, YIL052C	XP_019021363.1
314	OG0000314	YER057C, YIL051C	XP_019021358.1
315	OG0000315	YER062C, YIL053W	XP_019027117.1
316	OG0000316	YER066W, YFL009W	XP_019024780.1
317	OG0000317	YER074W, YIL069C	XP_019024432.1
318	OG0000318	YER081W, YIL074C	XP_019023550.1
319	OG0000319	YER095W, YER179W	XP_019021511.1
320	OG0000320	YER131W, YGL189C	XP_019027660.1
321	OG0000321	YER162C	XP_019022730.1, XP_019025088.1
322	OG0000322	YFL034C-A, YLR061W	XP_019023883.1
323	OG0000323	YFL042C, YLR072W	XP_019024415.1
324	OG0000324	YFL061W, YNL335W	XP_019021405.1
325	OG0000325	YFR031C-A, YIL018W	XP_019023606.1
326	OG0000326	YFR053C, YGL253W	XP_019021131.1
327	OG0000327	YGL031C, YGR148C	XP_019027393.1
328	OG0000328	YGL040C	XP_019025082.1, XP_019025329.1
329	OG0000329	YGL049C, YGR162W	XP_019024838.1
330	OG0000330	YGL076C, YPL198W	XP_019025043.1
331	OG0000331	YGL082W, YPL191C	XP_019027655.1
332	OG0000332	YGL133W, YPL216W	XP_019024706.1
333	OG0000333	YGL135W, YPL220W	XP_019020807.1
334	OG0000334	YGL147C, YNL067W	XP_019027144.1
335	OG0000335	YGL154C	XP_019020890.1, XP_019022982.1
336	OG0000336	YGL179C	XP_019024088.1, XP_019025258.1
337	OG0000337	YGL202W	XP_019026600.1, XP_019027592.1
338	OG0000338	YGL205W	XP_019022518.1, XP_019026450.1
339	OG0000339	YGL215W	XP_019022723.1, XP_019026252.1
340	OG0000340	YGL221C	XP_019022544.1, XP_019026682.1
341	OG0000341	YGR004W, YLR324W	XP_019024810.1
342	OG0000342	YGR027C, YLR333C	XP_019025974.1
343	OG0000343	YGR034W, YLR344W	XP_019023170.1
344	OG0000344	YGR038W, YLR350W	XP_019026024.1
345	OG0000345	YGR056W, YLR357W	XP_019027497.1
346	OG0000346	YGR092W, YPR111W	XP_019027335.1
347	OG0000347	YGR118W, YPR132W	XP_019024083.1
348	OG0000348	YGR131W, YPR149W	XP_019026048.1
349	OG0000349	YGR136W, YPR154W	XP_019025982.1
350	OG0000350	YGR138C, YPR156C	XP_019023538.1
351	OG0000351	YGR195W	XP_019021397.1, XP_019026423.1
352	OG0000352	YGR209C, YLR043C	XP_019023229.1
353	OG0000353	YGR214W, YLR048W	XP_019025943.1
354	OG0000354	YGR215W	XP_019024142.1, XP_019026901.1
355	OG0000355	YGR238C, YHR158C	XP_019021668.1
356	OG0000356	YGR241C, YHR161C	XP_019022373.1
357	OG0000357	YGR243W, YHR162W	XP_019027276.1
