	OrthologID	Saccharomyces_cerevisiae	yHAB153_Kazachstania_rosinii
20	OG0000020	YEL063C, YNL268W	snap_masked-scf7180000099616-processed-gene-1.129-mRNA-1_1&gene=snap_masked-scf7180000099616-processed-gene-1.129&CDS=1-1809, snap_masked-scf7180000099642-processed-gene-1.76-mRNA-1_1&gene=snap_masked-scf7180000099642-processed-gene-1.76&CDS=1-1833, snap_masked-scf7180000099670-processed-gene-0.14-mRNA-1_1&gene=snap_masked-scf7180000099670-processed-gene-0.14&CDS=1-1689
21	OG0000021	YER056C, YER060W, YER060W-A	genemark-scf7180000099633-processed-gene-0.109-mRNA-1_1&gene=genemark-scf7180000099633-processed-gene-0.109&CDS=1-1590, maker-scf7180000099642-snap-gene-3.204-mRNA-1_1&gene=maker-scf7180000099642-snap-gene-3.204&CDS=1-3210
22	OG0000022	YER062C, YIL053W	augustus_masked-scf7180000099625-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-scf7180000099625-processed-gene-0.8&CDS=1-654, genemark-scf7180000099649-processed-gene-0.5-mRNA-1_1&gene=genemark-scf7180000099649-processed-gene-0.5&CDS=1-750, snap_masked-scf7180000099633-processed-gene-0.1-mRNA-1_1&gene=snap_masked-scf7180000099633-processed-gene-0.1&CDS=1-750
23	OG0000023	YGR109W-A, YGR109W-B, YIL082W, YIL082W-A	snap_masked-scf7180000099584-processed-gene-0.3-mRNA-1_1&gene=snap_masked-scf7180000099584-processed-gene-0.3&CDS=1-960
24	OG0000024	YIL171W	augustus_masked-scf7180000099297-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scf7180000099297-processed-gene-0.1&CDS=1-438, augustus_masked-scf7180000099540-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-scf7180000099540-processed-gene-0.1&CDS=1-279, snap_masked-scf7180000099698-processed-gene-0.28-mRNA-1_1&gene=snap_masked-scf7180000099698-processed-gene-0.28&CDS=1-666, snap_masked-scf7180000099718-processed-gene-0.1-mRNA-1_1&gene=snap_masked-scf7180000099718-processed-gene-0.1&CDS=1-549
25	OG0000025	YJL164C, YKL166C, YPL203W	maker-scf7180000099616-augustus-gene-0.1-mRNA-1_1&gene=maker-scf7180000099616-augustus-gene-0.1&CDS=1-3726, snap_masked-scf7180000099683-processed-gene-0.88-mRNA-1_1&gene=snap_masked-scf7180000099683-processed-gene-0.88&CDS=1-3849
26	OG0000026	YKL107W	genemark-scf7180000099396-processed-gene-0.0-mRNA-1_1&gene=genemark-scf7180000099396-processed-gene-0.0&CDS=1-771, genemark-scf7180000099558-processed-gene-0.0-mRNA-1_1&gene=genemark-scf7180000099558-processed-gene-0.0&CDS=1-876, snap_masked-scf7180000099613-processed-gene-0.5-mRNA-1_1&gene=snap_masked-scf7180000099613-processed-gene-0.5&CDS=1-912, snap_masked-scf7180000099698-processed-gene-0.27-mRNA-1_1&gene=snap_masked-scf7180000099698-processed-gene-0.27&CDS=1-912
27	OG0000027	YKR042W, YNL066W	snap_masked-scf7180000099614-processed-gene-1.109-mRNA-1_1&gene=snap_masked-scf7180000099614-processed-gene-1.109&CDS=1-1212, snap_masked-scf7180000099637-processed-gene-0.9-mRNA-1_1&gene=snap_masked-scf7180000099637-processed-gene-0.9&CDS=1-1158, snap_masked-scf7180000099676-processed-gene-3.138-mRNA-1_1&gene=snap_masked-scf7180000099676-processed-gene-3.138&CDS=1-1341
28	OG0000028	YOR231W, YPL140C, YPL141C	genemark-scf7180000099643-processed-gene-1.128-mRNA-1_1&gene=genemark-scf7180000099643-processed-gene-1.128&CDS=1-2676, maker-scf7180000099622-snap-gene-1.9-mRNA-1_1&gene=maker-scf7180000099622-snap-gene-1.9&CDS=1-4479
29	OG0000029		augustus_masked-scf7180000099595-processed-gene-0.26-mRNA-1_1&gene=augustus_masked-scf7180000099595-processed-gene-0.26&CDS=1-786, augustus_masked-scf7180000099602-processed-gene-0.57-mRNA-1_1&gene=augustus_masked-scf7180000099602-processed-gene-0.57&CDS=1-786, augustus_masked-scf7180000099722-processed-gene-0.86-mRNA-1_1&gene=augustus_masked-scf7180000099722-processed-gene-0.86&CDS=1-2709, snap_masked-scf7180000099631-processed-gene-0.3-mRNA-1_1&gene=snap_masked-scf7180000099631-processed-gene-0.3&CDS=1-2331, snap_masked-scf7180000099697-processed-gene-0.231-mRNA-1_1&gene=snap_masked-scf7180000099697-processed-gene-0.231&CDS=1-183
30	OG0000030	YAR014C	snap_masked-scf7180000099364-processed-gene-0.1-mRNA-1_1&gene=snap_masked-scf7180000099364-processed-gene-0.1&CDS=1-186, snap_masked-scf7180000099615-processed-gene-2.24-mRNA-1_1&gene=snap_masked-scf7180000099615-processed-gene-2.24&CDS=1-411, snap_masked-scf7180000099615-processed-gene-2.25-mRNA-1_1&gene=snap_masked-scf7180000099615-processed-gene-2.25&CDS=1-2106
31	OG0000031	YAR042W, YDL019C	genemark-scf7180000099404-processed-gene-0.0-mRNA-1_1&gene=genemark-scf7180000099404-processed-gene-0.0&CDS=1-4023, maker-scf7180000099615-augustus-gene-2.97-mRNA-1_1&gene=maker-scf7180000099615-augustus-gene-2.97&CDS=1-3531
32	OG0000032	YBL003C, YDR225W	snap_masked-scf7180000099608-processed-gene-0.0-mRNA-1_1&gene=snap_masked-scf7180000099608-processed-gene-0.0&CDS=1-393, snap_masked-scf7180000099642-processed-gene-0.25-mRNA-1_1&gene=snap_masked-scf7180000099642-processed-gene-0.25&CDS=1-393
33	OG0000033	YBL005W-B, YER160C, YMR045C, YNL284C-B	
34	OG0000034	YBL052C, YOR244W	snap_masked-scf7180000099621-processed-gene-0.86-mRNA-1_1&gene=snap_masked-scf7180000099621-processed-gene-0.86&CDS=1-2217, snap_masked-scf7180000099622-processed-gene-1.91-mRNA-1_1&gene=snap_masked-scf7180000099622-processed-gene-1.91&CDS=1-1344
35	OG0000035	YBL054W, YER088C	augustus_masked-scf7180000099619-processed-gene-1.139-mRNA-1_1&gene=augustus_masked-scf7180000099619-processed-gene-1.139&CDS=1-1509, augustus_masked-scf7180000099621-processed-gene-0.197-mRNA-1_1&gene=augustus_masked-scf7180000099621-processed-gene-0.197&CDS=1-1965
36	OG0000036	YBL067C, YER098W	snap_masked-scf7180000099619-processed-gene-1.183-mRNA-1_1&gene=snap_masked-scf7180000099619-processed-gene-1.183&CDS=1-2475, snap_masked-scf7180000099621-processed-gene-0.92-mRNA-1_1&gene=snap_masked-scf7180000099621-processed-gene-0.92&CDS=1-2340
37	OG0000037	YBL072C, YER102W	genemark-scf7180000099619-processed-gene-1.20-mRNA-1_1&gene=genemark-scf7180000099619-processed-gene-1.20&CDS=1-600, genemark-scf7180000099621-processed-gene-0.14-mRNA-1_1&gene=genemark-scf7180000099621-processed-gene-0.14&CDS=1-600
38	OG0000038	YBL085W, YER114C	snap_masked-scf7180000099619-processed-gene-1.231-mRNA-1_1&gene=snap_masked-scf7180000099619-processed-gene-1.231&CDS=1-3075, snap_masked-scf7180000099621-processed-gene-0.141-mRNA-1_1&gene=snap_masked-scf7180000099621-processed-gene-0.141&CDS=1-2847
39	OG0000039	YBR068C, YDR046C	genemark-scf7180000099429-processed-gene-0.0-mRNA-1_1&gene=genemark-scf7180000099429-processed-gene-0.0&CDS=1-1860, snap_masked-scf7180000099682-processed-gene-0.113-mRNA-1_1&gene=snap_masked-scf7180000099682-processed-gene-0.113&CDS=1-1800
40	OG0000040	YBR084W, YGR204W	augustus_masked-scf7180000099671-processed-gene-1.103-mRNA-1_1&gene=augustus_masked-scf7180000099671-processed-gene-1.103&CDS=1-3330, genemark-scf7180000099649-processed-gene-2.143-mRNA-1_1&gene=genemark-scf7180000099649-processed-gene-2.143&CDS=1-2916
41	OG0000041	YBR181C, YPL090C	snap_masked-scf7180000099622-processed-gene-2.41-mRNA-1_1&gene=snap_masked-scf7180000099622-processed-gene-2.41&CDS=1-708, snap_masked-scf7180000099649-processed-gene-1.36-mRNA-1_1&gene=snap_masked-scf7180000099649-processed-gene-1.36&CDS=1-708
42	OG0000042	YBR189W, YPL081W	maker-scf7180000099622-augustus-gene-2.130-mRNA-1_1&gene=maker-scf7180000099622-augustus-gene-2.130&CDS=1-1068, maker-scf7180000099649-augustus-gene-1.87-mRNA-1_1&gene=maker-scf7180000099649-augustus-gene-1.87&CDS=1-1026
43	OG0000043	YBR197C, YPL077C	snap_masked-scf7180000099622-processed-gene-2.50-mRNA-1_1&gene=snap_masked-scf7180000099622-processed-gene-2.50&CDS=1-1116, snap_masked-scf7180000099649-processed-gene-1.41-mRNA-1_1&gene=snap_masked-scf7180000099649-processed-gene-1.41&CDS=1-1047
44	OG0000044	YBR244W, YIR037W	snap_masked-scf7180000099432-processed-gene-0.3-mRNA-1_1&gene=snap_masked-scf7180000099432-processed-gene-0.3&CDS=1-483, snap_masked-scf7180000099615-processed-gene-1.34-mRNA-1_1&gene=snap_masked-scf7180000099615-processed-gene-1.34&CDS=1-480
45	OG0000045	YCL043C, YDR518W	genemark-scf7180000099692-processed-gene-1.35-mRNA-1_1&gene=genemark-scf7180000099692-processed-gene-1.35&CDS=1-1896, snap_masked-scf7180000099701-processed-gene-0.40-mRNA-1_1&gene=snap_masked-scf7180000099701-processed-gene-0.40&CDS=1-1644
46	OG0000046	YCL050C, YDR530C	snap_masked-scf7180000099692-processed-gene-1.119-mRNA-1_1&gene=snap_masked-scf7180000099692-processed-gene-1.119&CDS=1-954, snap_masked-scf7180000099701-processed-gene-0.35-mRNA-1_1&gene=snap_masked-scf7180000099701-processed-gene-0.35&CDS=1-984
47	OG0000047	YCL067C, YCR039C, YCR096C	augustus_masked-scf7180000099432-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-scf7180000099432-processed-gene-0.4&CDS=1-630
48	OG0000048	YCL068C, YCR038C	augustus_masked-scf7180000099616-processed-gene-0.108-mRNA-1_1&gene=augustus_masked-scf7180000099616-processed-gene-0.108&CDS=1-4386, snap_masked-scf7180000099319-processed-gene-0.0-mRNA-1_1&gene=snap_masked-scf7180000099319-processed-gene-0.0&CDS=1-312
49	OG0000049	YCL076W	augustus_masked-scf7180000099405-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-scf7180000099405-processed-gene-0.5&CDS=1-414, augustus_masked-scf7180000099460-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-scf7180000099460-processed-gene-0.0&CDS=1-738, snap_masked-scf7180000099429-processed-gene-0.2-mRNA-1_1&gene=snap_masked-scf7180000099429-processed-gene-0.2&CDS=1-1023
50	OG0000050	YCR010C, YNR002C	snap_masked-scf7180000099641-processed-gene-1.78-mRNA-1_1&gene=snap_masked-scf7180000099641-processed-gene-1.78&CDS=1-804, snap_masked-scf7180000099643-processed-gene-2.138-mRNA-1_1&gene=snap_masked-scf7180000099643-processed-gene-2.138&CDS=1-855
51	OG0000051	YCR091W, YNR047W	augustus_masked-scf7180000099616-processed-gene-1.98-mRNA-1_1&gene=augustus_masked-scf7180000099616-processed-gene-1.98&CDS=1-3690, genemark-scf7180000099636-processed-gene-0.77-mRNA-1_1&gene=genemark-scf7180000099636-processed-gene-0.77&CDS=1-2616
52	OG0000052	YCR102C, YLR460C, YNL134C	snap_masked-scf7180000099640-processed-gene-0.75-mRNA-1_1&gene=snap_masked-scf7180000099640-processed-gene-0.75&CDS=1-1125
53	OG0000053	YDL003W	augustus_masked-scf7180000099555-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-scf7180000099555-processed-gene-0.11&CDS=1-1137, snap_masked-scf7180000099556-processed-gene-0.1-mRNA-1_1&gene=snap_masked-scf7180000099556-processed-gene-0.1&CDS=1-1659, snap_masked-scf7180000099673-processed-gene-0.52-mRNA-1_1&gene=snap_masked-scf7180000099673-processed-gene-0.52&CDS=1-561
54	OG0000054	YDL022W, YOL059W	genemark-scf7180000099564-processed-gene-0.1-mRNA-1_1&gene=genemark-scf7180000099564-processed-gene-0.1&CDS=1-1170, snap_masked-scf7180000099615-processed-gene-2.18-mRNA-1_1&gene=snap_masked-scf7180000099615-processed-gene-2.18&CDS=1-1140
55	OG0000055	YDL049C, YJL174W	augustus_masked-scf7180000099711-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-scf7180000099711-processed-gene-0.11&CDS=1-831, snap_masked-scf7180000099641-processed-gene-0.66-mRNA-1_1&gene=snap_masked-scf7180000099641-processed-gene-0.66&CDS=1-822
56	OG0000056	YDL082W, YMR142C	snap_masked-scf7180000099650-processed-gene-1.191-mRNA-1_1&gene=snap_masked-scf7180000099650-processed-gene-1.191&CDS=1-597, snap_masked-scf7180000099676-processed-gene-1.86-mRNA-1_1&gene=snap_masked-scf7180000099676-processed-gene-1.86&CDS=1-597
57	OG0000057	YDL109C, YGL144C	maker-scf7180000099707-augustus-gene-0.4-mRNA-1_1&gene=maker-scf7180000099707-augustus-gene-0.4&CDS=1-5124, snap_masked-scf7180000099676-processed-gene-2.125-mRNA-1_1&gene=snap_masked-scf7180000099676-processed-gene-2.125&CDS=1-1932
58	OG0000058	YDL138W, YDL194W	augustus_masked-scf7180000099642-processed-gene-2.60-mRNA-1_1&gene=augustus_masked-scf7180000099642-processed-gene-2.60&CDS=1-2532, genemark-scf7180000099619-processed-gene-0.34-mRNA-1_1&gene=genemark-scf7180000099619-processed-gene-0.34&CDS=1-2532
59	OG0000059	YDL161W, YLR206W	snap_masked-scf7180000099619-processed-gene-1.210-mRNA-1_1&gene=snap_masked-scf7180000099619-processed-gene-1.210&CDS=1-1392, snap_masked-scf7180000099642-processed-gene-1.81-mRNA-1_1&gene=snap_masked-scf7180000099642-processed-gene-1.81&CDS=1-2004
60	OG0000060	YDL229W, YNL209W	augustus_masked-scf7180000099621-processed-gene-0.226-mRNA-1_1&gene=augustus_masked-scf7180000099621-processed-gene-0.226&CDS=1-1833, genemark-scf7180000099568-processed-gene-0.19-mRNA-1_1&gene=genemark-scf7180000099568-processed-gene-0.19&CDS=1-1815
61	OG0000061	YDR038C, YDR039C, YDR040C	snap_masked-scf7180000099682-processed-gene-0.110-mRNA-1_1&gene=snap_masked-scf7180000099682-processed-gene-0.110&CDS=1-3285
62	OG0000062	YDR085C, YER158C	snap_masked-scf7180000099699-processed-gene-0.99-mRNA-1_1&gene=snap_masked-scf7180000099699-processed-gene-0.99&CDS=1-2040, snap_masked-scf7180000099711-processed-gene-2.60-mRNA-1_1&gene=snap_masked-scf7180000099711-processed-gene-2.60&CDS=1-1347
63	OG0000063	YDR111C, YLR089C	snap_masked-scf7180000099618-processed-gene-0.89-mRNA-1_1&gene=snap_masked-scf7180000099618-processed-gene-0.89&CDS=1-1545, snap_masked-scf7180000099711-processed-gene-2.74-mRNA-1_1&gene=snap_masked-scf7180000099711-processed-gene-2.74&CDS=1-1635
64	OG0000064	YDR135C, YLL015W	snap_masked-scf7180000099618-processed-gene-0.112-mRNA-1_1&gene=snap_masked-scf7180000099618-processed-gene-0.112&CDS=1-4536, snap_masked-scf7180000099716-processed-gene-0.44-mRNA-1_1&gene=snap_masked-scf7180000099716-processed-gene-0.44&CDS=1-4383
65	OG0000065	YDR144C, YLR120C	snap_masked-scf7180000099618-processed-gene-0.115-mRNA-1_1&gene=snap_masked-scf7180000099618-processed-gene-0.115&CDS=1-1728, snap_masked-scf7180000099711-processed-gene-3.38-mRNA-1_1&gene=snap_masked-scf7180000099711-processed-gene-3.38&CDS=1-1572
66	OG0000066	YDR206W, YLR233C	augustus_masked-scf7180000099642-processed-gene-1.101-mRNA-1_1&gene=augustus_masked-scf7180000099642-processed-gene-1.101&CDS=1-2826, augustus_masked-scf7180000099697-processed-gene-0.97-mRNA-1_1&gene=augustus_masked-scf7180000099697-processed-gene-0.97&CDS=1-2259
67	OG0000067	YDR213W, YLR228C	maker-scf7180000099642-snap-gene-0.107-mRNA-1_1&gene=maker-scf7180000099642-snap-gene-0.107&CDS=1-2268, maker-scf7180000099697-snap-gene-0.0-mRNA-1_1&gene=maker-scf7180000099697-snap-gene-0.0&CDS=1-2214
68	OG0000068	YDR247W, YPL026C	genemark-scf7180000099622-processed-gene-2.203-mRNA-1_1&gene=genemark-scf7180000099622-processed-gene-2.203&CDS=1-1548, genemark-scf7180000099697-processed-gene-0.33-mRNA-1_1&gene=genemark-scf7180000099697-processed-gene-0.33&CDS=1-1332
69	OG0000069	YDR263C, YOR033C	snap_masked-scf7180000099614-processed-gene-1.128-mRNA-1_1&gene=snap_masked-scf7180000099614-processed-gene-1.128&CDS=1-1209, snap_masked-scf7180000099669-processed-gene-0.130-mRNA-1_1&gene=snap_masked-scf7180000099669-processed-gene-0.130&CDS=1-2202
70	OG0000070	YDR406W, YOR153W	genemark-scf7180000099719-processed-gene-0.34-mRNA-1_1&gene=genemark-scf7180000099719-processed-gene-0.34&CDS=1-4587, snap_masked-scf7180000099632-processed-gene-0.79-mRNA-1_1&gene=snap_masked-scf7180000099632-processed-gene-0.79&CDS=1-4641
71	OG0000071	YDR409W, YOR156C	snap_masked-scf7180000099632-processed-gene-0.80-mRNA-1_1&gene=snap_masked-scf7180000099632-processed-gene-0.80&CDS=1-2544, snap_masked-scf7180000099719-processed-gene-0.18-mRNA-1_1&gene=snap_masked-scf7180000099719-processed-gene-0.18&CDS=1-2106
72	OG0000072	YDR418W, YEL054C	snap_masked-scf7180000099632-processed-gene-0.83-mRNA-1_1&gene=snap_masked-scf7180000099632-processed-gene-0.83&CDS=1-495, snap_masked-scf7180000099669-processed-gene-0.113-mRNA-1_1&gene=snap_masked-scf7180000099669-processed-gene-0.113&CDS=1-495
73	OG0000073	YDR447C, YML024W	snap_masked-scf7180000099669-processed-gene-0.116-mRNA-1_1&gene=snap_masked-scf7180000099669-processed-gene-0.116&CDS=1-453, snap_masked-scf7180000099716-processed-gene-1.124-mRNA-1_1&gene=snap_masked-scf7180000099716-processed-gene-1.124&CDS=1-405
74	OG0000074	YDR450W, YML026C	snap_masked-scf7180000099669-processed-gene-0.96-mRNA-1_1&gene=snap_masked-scf7180000099669-processed-gene-0.96&CDS=1-438, snap_masked-scf7180000099716-processed-gene-1.146-mRNA-1_1&gene=snap_masked-scf7180000099716-processed-gene-1.146&CDS=1-438
75	OG0000075	YDR458C, YML034W	augustus_masked-scf7180000099716-processed-gene-1.98-mRNA-1_1&gene=augustus_masked-scf7180000099716-processed-gene-1.98&CDS=1-2043, genemark-scf7180000099669-processed-gene-0.35-mRNA-1_1&gene=genemark-scf7180000099669-processed-gene-0.35&CDS=1-2724
76	OG0000076	YDR475C, YOR019W	snap_masked-scf7180000099578-processed-gene-0.38-mRNA-1_1&gene=snap_masked-scf7180000099578-processed-gene-0.38&CDS=1-2265, snap_masked-scf7180000099669-processed-gene-0.128-mRNA-1_1&gene=snap_masked-scf7180000099669-processed-gene-0.128&CDS=1-1995
