	OrthologID	Saccharomyces_cerevisiae	Schizosaccharomyces_pomb
147	OG0000147	YBL085W, YER114C	SPBC1289.04c_pep
148	OG0000148	YBL089W, YER119C	SPBC1685.07c_pep
149	OG0000149	YBL091C-A, YER120W	SPBC16G5.05c_pep
150	OG0000150	YBL092W	SPAC3H5.10_pep, SPBC16C6.11_pep
151	OG0000151	YBL106C, YPR032W	SPAC1F3.03_pep
152	OG0000152	YBR008C	SPAC17C9.16c_pep, SPBC609.04_pep
153	OG0000153	YBR014C, YDL010W	SPCC1450.06c_pep
154	OG0000154	YBR020W, YDR009W	SPBPB2B2.13_pep
155	OG0000155	YBR024W, YBR037C	SPBC119.06_pep
156	OG0000156	YBR042C, YDR018C	SPBC428.14_pep
157	OG0000157	YBR072W	SPBC3E7.02c_pep, SPCC338.06c_pep
158	OG0000158	YBR078W, YDR055W	SPCC1223.12c_pep
159	OG0000159	YBR089C-A, YPR052C	SPAC57A10.09c_pep
160	OG0000160	YBR104W, YPR058W	SPAC4G9.20c_pep
161	OG0000161	YBR105C, YGR066C	SPAC3H1.14_pep
162	OG0000162	YBR147W, YOL092W	SPAC17C9.10_pep
163	OG0000163	YBR161W, YPL057C	SPCC4F11.04c_pep
164	OG0000164	YBR169C, YPL106C	SPAC110.04c_pep
165	OG0000165	YBR172C, YPL105C	SPAC4F10.13c_pep
166	OG0000166	YBR182C, YPL089C	SPBC317.01_pep
167	OG0000167	YBR187W	SPAC17G8.08c_pep, SPAC186.05c_pep
168	OG0000168	YBR198C	SPBC15D4.14_pep, SPCC5E4.03c_pep
169	OG0000169	YBR210W, YGL054C	SPAC30C2.05_pep
170	OG0000170	YBR214W, YGL056C	SPBC646.13_pep
171	OG0000171	YBR242W, YGL101W	SPCC4G3.17_pep
172	OG0000172	YCL011C, YNL004W	SPAC328.05_pep
173	OG0000173	YCL035C, YDR513W	SPAC4F10.20_pep
174	OG0000174	YCL037C, YDR515W	SPAC1527.03_pep
175	OG0000175	YCL040W, YDR516C	SPAC4F8.07c_pep
176	OG0000176	YCR010C, YNR002C	SPAC5D6.09c_pep
177	OG0000177	YCR026C, YEL016C	SPBC725.05c_pep
178	OG0000178	YCR048W, YNR019W	SPAC13G7.05_pep
179	OG0000179	YCR065W	SPBC32H8.11_pep, SPBC4C3.12_pep
180	OG0000180	YCR067C, YNR026C	SPBC3H7.01_pep
181	OG0000181	YCR073W-A, YNR034W	SPCC16C4.10_pep
182	OG0000182	YCR084C	SPAC18B11.10_pep, SPAC630.14c_pep
183	OG0000183	YCR091W	SPAC4G8.05_pep, SPBC1861.09_pep
184	OG0000184	YCR094W, YNR048W	SPBC1773.11c_pep
185	OG0000185	YCR106W, YLL054C, YOR363C	
186	OG0000186	YDL017W	SPBC21C3.18_pep, SPBC776.12c_pep
187	OG0000187	YDL037C, YIR019C	SPBC1289.15_pep
188	OG0000188	YDL042C, YOL068C	SPBC16D10.07c_pep
189	OG0000189	YDL056W	SPAC22F3.09c_pep, SPBC725.16_pep
190	OG0000190	YDL061C, YLR388W	SPBC1685.09_pep
191	OG0000191	YDL075W, YLR406C	SPAC890.08_pep
192	OG0000192	YDL082W, YMR142C	SPAC664.05_pep
193	OG0000193	YDL085W, YMR145C	SPAC3A11.07_pep
194	OG0000194	YDL088C, YMR153W	SPAC19E9.01c_pep
195	OG0000195	YDL093W, YDL095W	SPAC22A12.07c_pep
196	OG0000196	YDL109C, YGL144C	SPAC4A8.10_pep
197	OG0000197	YDL136W, YDL191W	SPCC613.05c_pep
198	OG0000198	YDL144C	SPAC24B11.07c_pep, SPCC1902.02_pep
199	OG0000199	YDL147W	SPAC1420.03_pep, SPAPB8E5.02c_pep
200	OG0000200	YDL155W, YLR210W	SPCC4E9.02_pep
201	OG0000201	YDL161W, YLR206W	SPCC162.07_pep
202	OG0000202	YDL175C, YIL079C	SPBP35G2.08c_pep
203	OG0000203	YDL210W	SPAC11D3.08c_pep, SPAPB24D3.02c_pep
204	OG0000204	YDL224C, YNL197C	SPCC16C4.07_pep
205	OG0000205	YDL246C, YJR159W	SPBC1773.05c_pep
206	OG0000206	YDR011W, YNR070W	SPCC18B5.01c_pep
207	OG0000207	YDR052C	SPBC1778.04_pep, SPCC550.13_pep
208	OG0000208	YDR066C, YER139C	SPAC23A1.16c_pep
209	OG0000209	YDR069C, YER144C	SPBC18H10.08c_pep
210	OG0000210	YDR098C, YER174C	SPBC26H8.06_pep
211	OG0000211	YDR101C	SPAC23H4.09_pep, SPBC23E6.05_pep
212	OG0000212	YDR107C, YLR083C	SPBC1105.08_pep
213	OG0000213	YDR108W	SPBC1604.19c_pep, SPBC1734.07c_pep
214	OG0000214	YDR111C, YLR089C	SPBC582.08_pep
215	OG0000215	YDR122W, YLR096W	SPBC4F6.06_pep
216	OG0000216	YDR135C	SPAC3F10.11c_pep, SPBC359.05_pep
217	OG0000217	YDR146C, YLR131C	SPAC6G10.12c_pep
218	OG0000218	YDR147W, YLR133W	SPAC13G7.12c_pep
219	OG0000219	YDR151C, YLR136C	SPBC1718.07c_pep
220	OG0000220	YDR159W	SPCC576.05_pep, SPCC70.06_pep
221	OG0000221	YDR178W, YLR164W	SPBP23A10.16_pep
222	OG0000222	YDR185C, YLR168C	SPBC36.10_pep
223	OG0000223	YDR200C, YLR238W	SPBC3H7.13_pep
224	OG0000224	YDR247W, YPL026C	SPBC19C2.05_pep
225	OG0000225	YDR252W, YPL037C	SPAC4F10.14c_pep
226	OG0000226	YDR263C, YOR033C	SPBC29A10.05_pep
227	OG0000227	YDR264C, YOR034C	SPAC2F7.10_pep
228	OG0000228	YDR312W, YHR066W	SPAC1B9.03c_pep
229	OG0000229	YDR326C, YHR080C	SPBC20F10.07_pep
230	OG0000230	YDR338C	SPAC323.07c_pep, SPCC4B3.13_pep
231	OG0000231	YDR348C, YHR097C	SPCP1E11.04c_pep
232	OG0000232	YDR358W, YHR108W	SPBC25H2.16c_pep
233	OG0000233	YDR400W	SPAC17G8.02_pep, SPBC1683.06c_pep
234	OG0000234	YDR409W, YOR156C	SPAC1687.05_pep
235	OG0000235	YDR414C	SPAC1D4.05c_pep, SPAC227.01c_pep
236	OG0000236	YDR441C, YML022W	SPAC23A1.03_pep
237	OG0000237	YDR453C, YML028W	SPCC576.03c_pep
238	OG0000238	YDR501W, YLR183C	SPAP14E8.02_pep
239	OG0000239	YDR505C, YLR177W	SPBPB7E8.02_pep
240	OG0000240	YDR524C	SPAC26A3.10_pep, SPBC17G9.08c_pep
241	OG0000241	YEL006W, YIL006W	SPAC227.03c_pep
242	OG0000242	YEL007W, YHR177W	SPAC31G5.11_pep
243	OG0000243	YEL022W, YJR031C	SPBC211.03c_pep
244	OG0000244	YEL039C, YJR048W	SPCC191.07_pep
245	OG0000245	YEL041W, YJR049C	SPAC3H5.11_pep
246	OG0000246	YEL047C, YJR051W	SPAC17A2.05_pep
247	OG0000247	YEL066W, YPR193C	SPAC1002.07c_pep
248	OG0000248	YER019C-A, YER087C-B	SPBC2G2.03c_pep
249	OG0000249	YER027C, YGL208W	SPCC1919.03c_pep
250	OG0000250	YER031C, YGL210W	SPAC18G6.03_pep
251	OG0000251	YER081W, YIL074C	SPCC364.07_pep
252	OG0000252	YER109C	SPBC1289.10c_pep, SPCC1494.10_pep
253	OG0000253	YER142C	SPAPB24D3.04c_pep, SPBC23G7.11_pep
254	OG0000254	YER154W	SPAC9G1.04_pep, SPBP4H10.03_pep
255	OG0000255	YFL004W, YPL019C	SPAC14C4.11_pep
256	OG0000256	YFL033C	SPAPB18E9.02c_pep, SPCC1450.11c_pep
257	OG0000257	YFL034C-A, YLR061W	SPAC11E3.15_pep
258	OG0000258	YFL048C, YLR080W	SPBC4F6.05c_pep
259	OG0000259	YFL050C, YOL130W	SPBC27B12.12c_pep
260	OG0000260	YFR014C, YOL016C	SPACUNK12.02c_pep
261	OG0000261	YFR053C, YGL253W	SPAC24H6.04_pep
262	OG0000262	YGL003C	SPAC144.13c_pep, SPBC1198.12_pep
263	OG0000263	YGL030W	SPAC1250.05_pep, SPAC9G1.03c_pep
264	OG0000264	YGL044C	SPAC644.16_pep, SPBC3B9.11c_pep
265	OG0000265	YGL049C, YGR162W	SPAC17C9.03_pep
266	OG0000266	YGL082W, YPL191C	SPAC12G12.11c_pep
267	OG0000267	YGL084C, YPL189W	SPAC24H6.01c_pep
268	OG0000268	YGL103W	SPBC776.11_pep, SPCC5E4.07_pep
269	OG0000269	YGL139W, YPL221W	SPAC1F7.03_pep
270	OG0000270	YGL216W	SPBC1685.15c_pep, SPBC2F12.13_pep
271	OG0000271	YGR010W, YLR328W	SPAC806.06c_pep
272	OG0000272	YGR034W, YLR344W	SPBC29B5.03c_pep
273	OG0000273	YGR038W, YLR350W	SPBC119.09c_pep
274	OG0000274	YGR056W, YLR357W	SPBC4B4.03_pep
275	OG0000275	YGR086C, YPL004C	SPCC736.15_pep
276	OG0000276	YGR092W, YPR111W	SPAC24B11.11c_pep
277	OG0000277	YGR131W, YPR149W	SPBC1685.13_pep
278	OG0000278	YGR136W, YPR154W	SPBC119.05c_pep
279	OG0000279	YGR138C, YPR156C	SPBC409.08_pep
280	OG0000280	YGR143W, YPR159W	SPAC23H3.11c_pep
281	OG0000281	YGR184C	SPAC15A10.11_pep, SPBC19C7.02_pep
282	OG0000282	YGR209C, YLR043C	SPAC7D4.07c_pep
283	OG0000283	YGR225W	SPAC13G6.08_pep, SPCC1620.04c_pep
284	OG0000284	YGR238C, YHR158C	SPCC1223.06_pep
285	OG0000285	YGR241C, YHR161C	SPBC19F8.03c_pep
286	OG0000286	YGR243W, YHR162W	SPAC24B11.09_pep
287	OG0000287	YGR254W, YHR174W	SPBC1815.01_pep
288	OG0000288	YGR283C, YMR310C	SPBC8D2.16c_pep
289	OG0000289	YHL001W, YKL006W	SPAC1805.13_pep
290	OG0000290	YHL003C, YKL008C	SPBC3E7.15c_pep
291	OG0000291	YHL017W, YKL039W	SPAC26H5.07c_pep
292	OG0000292	YHL033C, YLL045C	SPBC29A3.04_pep
293	OG0000293	YHL039W, YPL208W	SPBC1709.13c_pep
294	OG0000294	YHR001W, YKR003W	SPCC23B6.01c_pep
295	OG0000295	YHR018C	SPBC1539.03c_pep, SPBC1773.14_pep
296	OG0000296	YHR021C, YKL156W	SPBC1685.10_pep
297	OG0000297	YHR047C, YKL157W	SPBC1921.05_pep
298	OG0000298	YHR086W	SPAC17A2.09c_pep, SPBC23E6.01c_pep
299	OG0000299	YHR115C, YNL116W	SPAC17G8.10c_pep
300	OG0000300	YHR117W, YNL121C	SPAC6B12.12_pep
301	OG0000301	YHR123W, YNL130C	SPAC22A12.10_pep
302	OG0000302	YHR132W-A, YNL157W	SPAC10F6.16_pep
303	OG0000303	YHR135C	SPBC1347.06c_pep, SPBP35G2.05c_pep
304	OG0000304	YHR141C, YNL162W	SPAC15E1.03_pep
305	OG0000305	YHR155W, YNL257C	SPAC19A8.02_pep
306	OG0000306	YHR198C, YHR199C	SPAC18G6.01c_pep
307	OG0000307	YHR208W, YJR148W	SPBC428.02c_pep
308	OG0000308	YHR216W, YLR432W	SPBC2F12.14c_pep
309	OG0000309	YIL095W, YNL020C	SPBC6B1.02_pep
310	OG0000310	YIL111W, YNL052W	SPCC338.10c_pep
311	OG0000311	YIL114C, YNL055C	SPAC1635.01_pep
312	OG0000312	YIL131C, YNL068C	SPBC16G5.15c_pep
313	OG0000313	YIL149C, YKR095W	SPCC162.08c_pep
314	OG0000314	YIR004W	SPAC4H3.01_pep, SPBC3E7.11c_pep
315	OG0000315	YIR023W	SPAC105.03c_pep, SPAC25B8.11_pep
316	OG0000316	YIR030C	SPAC1F7.10_pep, SPCC576.02_pep
317	OG0000317	YIR033W, YKL020C	SPAC26H5.05_pep
318	OG0000318	YIR035C, YIR036C	SPBC30D10.05c_pep
319	OG0000319	YJL045W, YKL148C	SPAC1556.02c_pep
320	OG0000320	YJL052W	SPBC32F12.11_pep, SPBC354.12_pep
321	OG0000321	YJL081C	SPAC23D3.09_pep, SPBP23A10.08_pep
322	OG0000322	YJL082W, YKR018C	SPAC11E3.14_pep
323	OG0000323	YJL083W, YKR019C	SPAC1687.09_pep
324	OG0000324	YJL098W, YKR028W	SPCC663.01c_pep
325	OG0000325	YJL105W, YKR029C	SPAC22E12.11c_pep
326	OG0000326	YJL133W, YKR052C	SPAC8C9.12c_pep
327	OG0000327	YJL134W, YKR053C	SPAC823.11_pep
328	OG0000328	YJL136C, YKR057W	SPBC18E5.06_pep
329	OG0000329	YJL138C, YKR059W	SPAC1006.07_pep
330	OG0000330	YJL172W, YOL153C	SPAC24C9.08_pep
331	OG0000331	YJR123W	SPAC328.10c_pep, SPAC8C9.08_pep
332	OG0000332	YJR130C, YML082W	SPBC15D4.09c_pep
333	OG0000333	YKL029C	SPAC750.08c_pep, SPCC794.12c_pep
334	OG0000334	YKL033W-A	SPAC4C5.01_pep, SPCC1020.07_pep
335	OG0000335	YKL081W, YPL048W	SPAC29A4.02c_pep
336	OG0000336	YKL121W, YMR102C	SPBC18H10.05_pep
337	OG0000337	YKL126W, YMR104C	SPCC24B10.07_pep
338	OG0000338	YKL140W	SPBC16A3.12c_pep, SPCC1672.09_pep
339	OG0000339	YKL141W, YMR118C	SPCC330.12c_pep
