	OrthologID	Saccharomyces_cerevisiae	yHMPu5000035261_Candida_ponderosae
10	OG0000010	YBR297W, YFL052W, YGR288W, YPR196W	augustus_masked-NODE_2050_length_361_cov_0.746094_ID_28869-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_2050_length_361_cov_0.746094_ID_28869-processed-gene-0.1&CDS=1-360, augustus_masked-NODE_37_length_126107_cov_67.1728_ID_12489-processed-gene-0.48-mRNA-1_1&gene=augustus_masked-NODE_37_length_126107_cov_67.1728_ID_12489-processed-gene-0.48&CDS=1-1797, genemark-NODE_4_length_391868_cov_66.0008_ID_13828-processed-gene-2.187-mRNA-1_1&gene=genemark-NODE_4_length_391868_cov_66.0008_ID_13828-processed-gene-2.187&CDS=1-1950
11	OG0000011	YDR342C, YDR343C, YDR345C, YHR092C, YHR094C, YHR096C	augustus_masked-NODE_1_length_544622_cov_41.6481_ID_9325-processed-gene-4.212-mRNA-1_1&gene=augustus_masked-NODE_1_length_544622_cov_41.6481_ID_9325-processed-gene-4.212&CDS=1-1680
12	OG0000012	YGL185C, YOR087W, YPL113C	augustus_masked-NODE_36_length_136019_cov_41.4499_ID_10666-processed-gene-0.98-mRNA-1_1&gene=augustus_masked-NODE_36_length_136019_cov_41.4499_ID_10666-processed-gene-0.98&CDS=1-1104, maker-NODE_13_length_259485_cov_77.4704_ID_11775-augustus-gene-0.91-mRNA-1_1&gene=maker-NODE_13_length_259485_cov_77.4704_ID_11775-augustus-gene-0.91&CDS=1-1053, maker-NODE_36_length_136019_cov_41.4499_ID_10666-snap-gene-0.151-mRNA-1_1&gene=maker-NODE_36_length_136019_cov_41.4499_ID_10666-snap-gene-0.151&CDS=1-4212, snap_masked-NODE_36_length_136019_cov_41.4499_ID_10666-processed-gene-0.24-mRNA-1_1&gene=snap_masked-NODE_36_length_136019_cov_41.4499_ID_10666-processed-gene-0.24&CDS=1-1056
13	OG0000013	YGR177C, YOR377W	augustus_masked-NODE_104_length_29384_cov_124.969_ID_18089-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-NODE_104_length_29384_cov_124.969_ID_18089-processed-gene-0.24&CDS=1-1533, augustus_masked-NODE_59_length_74710_cov_92.0031_ID_16525-processed-gene-0.68-mRNA-1_1&gene=augustus_masked-NODE_59_length_74710_cov_92.0031_ID_16525-processed-gene-0.68&CDS=1-1572, augustus_masked-NODE_59_length_74710_cov_92.0031_ID_16525-processed-gene-0.70-mRNA-1_1&gene=augustus_masked-NODE_59_length_74710_cov_92.0031_ID_16525-processed-gene-0.70&CDS=1-909, augustus_masked-NODE_65_length_64401_cov_38.9137_ID_13474-processed-gene-0.66-mRNA-1_1&gene=augustus_masked-NODE_65_length_64401_cov_38.9137_ID_13474-processed-gene-0.66&CDS=1-1587, snap_masked-NODE_52_length_83865_cov_49.229_ID_12049-processed-gene-0.61-mRNA-1_1&gene=snap_masked-NODE_52_length_83865_cov_49.229_ID_12049-processed-gene-0.61&CDS=1-1446
14	OG0000014	YGR197C, YJR015W	augustus_masked-NODE_12_length_264300_cov_42.6697_ID_12437-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-NODE_12_length_264300_cov_42.6697_ID_12437-processed-gene-0.15&CDS=1-1587, augustus_masked-NODE_12_length_264300_cov_42.6697_ID_12437-processed-gene-1.234-mRNA-1_1&gene=augustus_masked-NODE_12_length_264300_cov_42.6697_ID_12437-processed-gene-1.234&CDS=1-1986, augustus_masked-NODE_12_length_264300_cov_42.6697_ID_12437-processed-gene-1.235-mRNA-1_1&gene=augustus_masked-NODE_12_length_264300_cov_42.6697_ID_12437-processed-gene-1.235&CDS=1-1728, snap_masked-NODE_12_length_264300_cov_42.6697_ID_12437-processed-gene-1.102-mRNA-1_1&gene=snap_masked-NODE_12_length_264300_cov_42.6697_ID_12437-processed-gene-1.102&CDS=1-1851, snap_masked-NODE_12_length_264300_cov_42.6697_ID_12437-processed-gene-1.103-mRNA-1_1&gene=snap_masked-NODE_12_length_264300_cov_42.6697_ID_12437-processed-gene-1.103&CDS=1-1755
15	OG0000015	YIL166C, YOL163W	augustus_masked-NODE_1_length_544622_cov_41.6481_ID_9325-processed-gene-3.13-mRNA-1_1&gene=augustus_masked-NODE_1_length_544622_cov_41.6481_ID_9325-processed-gene-3.13&CDS=1-1566, augustus_masked-NODE_21_length_185132_cov_46.8926_ID_9748-processed-gene-0.211-mRNA-1_1&gene=augustus_masked-NODE_21_length_185132_cov_46.8926_ID_9748-processed-gene-0.211&CDS=1-1587, augustus_masked-NODE_26_length_167005_cov_40.2922_ID_11093-processed-gene-0.148-mRNA-1_1&gene=augustus_masked-NODE_26_length_167005_cov_40.2922_ID_11093-processed-gene-0.148&CDS=1-1560, augustus_masked-NODE_2_length_505443_cov_52.2683_ID_20729-processed-gene-1.118-mRNA-1_1&gene=augustus_masked-NODE_2_length_505443_cov_52.2683_ID_20729-processed-gene-1.118&CDS=1-1608, augustus_masked-NODE_60_length_72141_cov_66.147_ID_13569-processed-gene-0.66-mRNA-1_1&gene=augustus_masked-NODE_60_length_72141_cov_66.147_ID_13569-processed-gene-0.66&CDS=1-1230
16	OG0000016	YLR237W, YOR071C, YOR192C	augustus_masked-NODE_56_length_78334_cov_65.8513_ID_12335-processed-gene-0.28-mRNA-1_1&gene=augustus_masked-NODE_56_length_78334_cov_65.8513_ID_12335-processed-gene-0.28&CDS=1-1737, augustus_masked-NODE_7_length_333141_cov_59.9877_ID_12630-processed-gene-0.109-mRNA-1_1&gene=augustus_masked-NODE_7_length_333141_cov_59.9877_ID_12630-processed-gene-0.109&CDS=1-1710, augustus_masked-NODE_91_length_40934_cov_99.0188_ID_16878-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-NODE_91_length_40934_cov_99.0188_ID_16878-processed-gene-0.5&CDS=1-1653, augustus_masked-NODE_9_length_307025_cov_42.2536_ID_9480-processed-gene-1.123-mRNA-1_1&gene=augustus_masked-NODE_9_length_307025_cov_42.2536_ID_9480-processed-gene-1.123&CDS=1-4401
17	OG0000017	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W	snap_masked-NODE_20_length_189396_cov_46.4716_ID_9660-processed-gene-0.137-mRNA-1_1&gene=snap_masked-NODE_20_length_189396_cov_46.4716_ID_9660-processed-gene-0.137&CDS=1-1518
18	OG0000018	YBL017C, YIL173W, YJL222W, YNR065C	genemark-NODE_12_length_264300_cov_42.6697_ID_12437-processed-gene-1.26-mRNA-1_1&gene=genemark-NODE_12_length_264300_cov_42.6697_ID_12437-processed-gene-1.26&CDS=1-4515, genemark-NODE_18_length_213627_cov_46.8687_ID_9249-processed-gene-0.7-mRNA-1_1&gene=genemark-NODE_18_length_213627_cov_46.8687_ID_9249-processed-gene-0.7&CDS=1-4557
19	OG0000019	YBR150C, YOL089C	augustus_masked-NODE_11_length_277426_cov_44.3082_ID_9401-processed-gene-1.42-mRNA-1_1&gene=augustus_masked-NODE_11_length_277426_cov_44.3082_ID_9401-processed-gene-1.42&CDS=1-2292, augustus_masked-NODE_11_length_277426_cov_44.3082_ID_9401-processed-gene-1.44-mRNA-1_1&gene=augustus_masked-NODE_11_length_277426_cov_44.3082_ID_9401-processed-gene-1.44&CDS=1-2499, genemark-NODE_11_length_277426_cov_44.3082_ID_9401-processed-gene-1.218-mRNA-1_1&gene=genemark-NODE_11_length_277426_cov_44.3082_ID_9401-processed-gene-1.218&CDS=1-2616, snap_masked-NODE_12_length_264300_cov_42.6697_ID_12437-processed-gene-1.155-mRNA-1_1&gene=snap_masked-NODE_12_length_264300_cov_42.6697_ID_12437-processed-gene-1.155&CDS=1-2421
20	OG0000020	YDR011W, YIL013C, YOR011W	augustus_masked-NODE_21_length_185132_cov_46.8926_ID_9748-processed-gene-0.200-mRNA-1_1&gene=augustus_masked-NODE_21_length_185132_cov_46.8926_ID_9748-processed-gene-0.200&CDS=1-4485, augustus_masked-NODE_30_length_156169_cov_46.2821_ID_10106-processed-gene-0.45-mRNA-1_1&gene=augustus_masked-NODE_30_length_156169_cov_46.2821_ID_10106-processed-gene-0.45&CDS=1-3933, augustus_masked-NODE_80_length_49761_cov_51.1621_ID_17254-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-NODE_80_length_49761_cov_51.1621_ID_17254-processed-gene-0.14&CDS=1-4587
21	OG0000021	YDR134C, YLR110C	augustus_masked-NODE_149_length_4091_cov_47.4847_ID_19623-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-NODE_149_length_4091_cov_47.4847_ID_19623-processed-gene-0.4&CDS=1-546, augustus_masked-NODE_22_length_180837_cov_47.847_ID_9927-processed-gene-0.213-mRNA-1_1&gene=augustus_masked-NODE_22_length_180837_cov_47.847_ID_9927-processed-gene-0.213&CDS=1-1143, augustus_masked-NODE_26_length_167005_cov_40.2922_ID_11093-processed-gene-0.156-mRNA-1_1&gene=augustus_masked-NODE_26_length_167005_cov_40.2922_ID_11093-processed-gene-0.156&CDS=1-399, maker-NODE_63_length_69698_cov_41.9556_ID_14237-snap-gene-0.107-mRNA-1_1&gene=maker-NODE_63_length_69698_cov_41.9556_ID_14237-snap-gene-0.107&CDS=1-2343
22	OG0000022	YDR155C, YDR304C, YML078W	augustus_masked-NODE_31_length_156153_cov_45.2555_ID_36829-processed-gene-0.169-mRNA-1_1&gene=augustus_masked-NODE_31_length_156153_cov_45.2555_ID_36829-processed-gene-0.169&CDS=1-486, augustus_masked-NODE_67_length_61017_cov_46.434_ID_15271-processed-gene-0.66-mRNA-1_1&gene=augustus_masked-NODE_67_length_61017_cov_46.434_ID_15271-processed-gene-0.66&CDS=1-564, maker-NODE_73_length_53886_cov_44.0594_ID_17057-augustus-gene-0.56-mRNA-1_1&gene=maker-NODE_73_length_53886_cov_44.0594_ID_17057-augustus-gene-0.56&CDS=1-663
23	OG0000023	YDR207C	augustus_masked-NODE_1_length_544622_cov_41.6481_ID_9325-processed-gene-3.30-mRNA-1_1&gene=augustus_masked-NODE_1_length_544622_cov_41.6481_ID_9325-processed-gene-3.30&CDS=1-1374, augustus_masked-NODE_25_length_173609_cov_88.8115_ID_9998-processed-gene-0.94-mRNA-1_1&gene=augustus_masked-NODE_25_length_173609_cov_88.8115_ID_9998-processed-gene-0.94&CDS=1-1935, augustus_masked-NODE_26_length_167005_cov_40.2922_ID_11093-processed-gene-0.97-mRNA-1_1&gene=augustus_masked-NODE_26_length_167005_cov_40.2922_ID_11093-processed-gene-0.97&CDS=1-1977, snap_masked-NODE_2_length_505443_cov_52.2683_ID_20729-processed-gene-2.14-mRNA-1_1&gene=snap_masked-NODE_2_length_505443_cov_52.2683_ID_20729-processed-gene-2.14&CDS=1-1479, snap_masked-NODE_31_length_156153_cov_45.2555_ID_36829-processed-gene-0.90-mRNA-1_1&gene=snap_masked-NODE_31_length_156153_cov_45.2555_ID_36829-processed-gene-0.90&CDS=1-954
24	OG0000024	YDR338C	augustus_masked-NODE_13_length_259485_cov_77.4704_ID_11775-processed-gene-1.111-mRNA-1_1&gene=augustus_masked-NODE_13_length_259485_cov_77.4704_ID_11775-processed-gene-1.111&CDS=1-1731, augustus_masked-NODE_32_length_147469_cov_47.5155_ID_13746-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-NODE_32_length_147469_cov_47.5155_ID_13746-processed-gene-0.24&CDS=1-1779, augustus_masked-NODE_7_length_333141_cov_59.9877_ID_12630-processed-gene-0.111-mRNA-1_1&gene=augustus_masked-NODE_7_length_333141_cov_59.9877_ID_12630-processed-gene-0.111&CDS=1-1461, augustus_masked-NODE_7_length_333141_cov_59.9877_ID_12630-processed-gene-2.134-mRNA-1_1&gene=augustus_masked-NODE_7_length_333141_cov_59.9877_ID_12630-processed-gene-2.134&CDS=1-1779, maker-NODE_25_length_173609_cov_88.8115_ID_9998-snap-gene-0.8-mRNA-1_1&gene=maker-NODE_25_length_173609_cov_88.8115_ID_9998-snap-gene-0.8&CDS=1-3501
25	OG0000025	YDR380W, YGR087C, YLR044C, YLR134W	augustus_masked-NODE_37_length_126107_cov_67.1728_ID_12489-processed-gene-0.44-mRNA-1_1&gene=augustus_masked-NODE_37_length_126107_cov_67.1728_ID_12489-processed-gene-0.44&CDS=1-2088, augustus_masked-NODE_88_length_43575_cov_46.3931_ID_15135-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-NODE_88_length_43575_cov_46.3931_ID_15135-processed-gene-0.2&CDS=1-1758
26	OG0000026	YEL063C, YNL268W, YPL265W	augustus_masked-NODE_10_length_305115_cov_41.2085_ID_11868-processed-gene-2.82-mRNA-1_1&gene=augustus_masked-NODE_10_length_305115_cov_41.2085_ID_11868-processed-gene-2.82&CDS=1-1611, augustus_masked-NODE_43_length_108467_cov_37.8837_ID_13311-processed-gene-0.100-mRNA-1_1&gene=augustus_masked-NODE_43_length_108467_cov_37.8837_ID_13311-processed-gene-0.100&CDS=1-1716, genemark-NODE_43_length_108467_cov_37.8837_ID_13311-processed-gene-0.35-mRNA-1_1&gene=genemark-NODE_43_length_108467_cov_37.8837_ID_13311-processed-gene-0.35&CDS=1-1818
