	OrthologID	Metschnikowia_hamakuensis	Saccharomyces_cerevisiae
10	OG0000010	snap_masked-ham-_s279-processed-gene-3.116-mRNA-1_1&gene=snap_masked-ham-_s279-processed-gene-3.116&CDS=1-2646, snap_masked-ham-_s286-processed-gene-1.77-mRNA-1_1&gene=snap_masked-ham-_s286-processed-gene-1.77&CDS=1-2277, snap_masked-ham-_s599-processed-gene-0.122-mRNA-1_1&gene=snap_masked-ham-_s599-processed-gene-0.122&CDS=1-3372, snap_masked-ham-_s78-processed-gene-0.163-mRNA-1_1&gene=snap_masked-ham-_s78-processed-gene-0.163&CDS=1-3288	YER013W, YGL120C, YKR086W, YNR011C
11	OG0000011	augustus_masked-ham-_s442-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-ham-_s442-processed-gene-0.2&CDS=1-1458, augustus_masked-ham-_s453-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-ham-_s453-processed-gene-0.0&CDS=1-1473, snap_masked-ham-_s336-processed-gene-2.228-mRNA-1_1&gene=snap_masked-ham-_s336-processed-gene-2.228&CDS=1-1686, snap_masked-ham-_s339-processed-gene-0.8-mRNA-1_1&gene=snap_masked-ham-_s339-processed-gene-0.8&CDS=1-1461, snap_masked-ham-_s438-processed-gene-0.15-mRNA-1_1&gene=snap_masked-ham-_s438-processed-gene-0.15&CDS=1-1620	YDR144C, YLR120C, YLR121C
12	OG0000012	augustus_masked-ham-_s478-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-ham-_s478-processed-gene-0.0&CDS=1-1062, genemark-ham-_s49-processed-gene-0.19-mRNA-1_1&gene=genemark-ham-_s49-processed-gene-0.19&CDS=1-2601, genemark-ham-_s659-processed-gene-1.240-mRNA-1_1&gene=genemark-ham-_s659-processed-gene-1.240&CDS=1-1887, snap_masked-ham-_C64057-processed-gene-0.0-mRNA-1_1&gene=snap_masked-ham-_C64057-processed-gene-0.0&CDS=1-219, snap_masked-ham-_s279-processed-gene-1.43-mRNA-1_1&gene=snap_masked-ham-_s279-processed-gene-1.43&CDS=1-2502	YEL061C, YLL005C
13	OG0000013	snap_masked-ham-_s137-processed-gene-0.1-mRNA-1_1&gene=snap_masked-ham-_s137-processed-gene-0.1&CDS=1-966, snap_masked-ham-_s279-processed-gene-2.106-mRNA-1_1&gene=snap_masked-ham-_s279-processed-gene-2.106&CDS=1-957, snap_masked-ham-_s286-processed-gene-2.14-mRNA-1_1&gene=snap_masked-ham-_s286-processed-gene-2.14&CDS=1-1170	YBL068W, YER099C, YHL011C, YOL061W
14	OG0000014	augustus_masked-ham-_s415-processed-gene-0.65-mRNA-1_1&gene=augustus_masked-ham-_s415-processed-gene-0.65&CDS=1-573, snap_masked-ham-_s181-processed-gene-1.104-mRNA-1_1&gene=snap_masked-ham-_s181-processed-gene-1.104&CDS=1-693, snap_masked-ham-_s215-processed-gene-0.27-mRNA-1_1&gene=snap_masked-ham-_s215-processed-gene-0.27&CDS=1-690	YDR533C, YMR322C, YOR391C, YPL280W
15	OG0000015	snap_masked-ham-_s189-processed-gene-0.2-mRNA-1_1&gene=snap_masked-ham-_s189-processed-gene-0.2&CDS=1-1797, snap_masked-ham-_s378-processed-gene-0.58-mRNA-1_1&gene=snap_masked-ham-_s378-processed-gene-0.58&CDS=1-1425, snap_masked-ham-_s557-processed-gene-0.27-mRNA-1_1&gene=snap_masked-ham-_s557-processed-gene-0.27&CDS=1-2229, snap_masked-ham-_s659-processed-gene-1.67-mRNA-1_1&gene=snap_masked-ham-_s659-processed-gene-1.67&CDS=1-1548, snap_masked-ham-_s78-processed-gene-0.171-mRNA-1_1&gene=snap_masked-ham-_s78-processed-gene-0.171&CDS=1-2028	YFL021W, YKR034W
16	OG0000016	augustus_masked-ham-_C64847-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-ham-_C64847-processed-gene-0.1&CDS=1-297, maker-ham-_s776-snap-gene-0.9-mRNA-1_1&gene=maker-ham-_s776-snap-gene-0.9&CDS=1-2184, snap_masked-ham-_s23-processed-gene-0.5-mRNA-1_1&gene=snap_masked-ham-_s23-processed-gene-0.5&CDS=1-774, snap_masked-ham-_s76-processed-gene-0.2-mRNA-1_1&gene=snap_masked-ham-_s76-processed-gene-0.2&CDS=1-5493	YHR023W, YOR326W
17	OG0000017	genemark-ham-_s29-processed-gene-0.11-mRNA-1_1&gene=genemark-ham-_s29-processed-gene-0.11&CDS=1-1722, snap_masked-ham-_s108-processed-gene-0.59-mRNA-1_1&gene=snap_masked-ham-_s108-processed-gene-0.59&CDS=1-2454, snap_masked-ham-_s276-processed-gene-0.78-mRNA-1_1&gene=snap_masked-ham-_s276-processed-gene-0.78&CDS=1-1815, snap_masked-ham-_s725-processed-gene-0.69-mRNA-1_1&gene=snap_masked-ham-_s725-processed-gene-0.69&CDS=1-1734	YDR338C, YHR032W
18	OG0000018	maker-ham-_s553-snap-gene-0.169-mRNA-1_1&gene=maker-ham-_s553-snap-gene-0.169&CDS=1-1989, snap_masked-ham-_s109-processed-gene-0.1-mRNA-1_1&gene=snap_masked-ham-_s109-processed-gene-0.1&CDS=1-1377, snap_masked-ham-_s632-processed-gene-0.11-mRNA-1_1&gene=snap_masked-ham-_s632-processed-gene-0.11&CDS=1-1491	YBR118W, YKR084C, YPR080W
19	OG0000019	snap_masked-ham-_s117-processed-gene-0.16-mRNA-1_1&gene=snap_masked-ham-_s117-processed-gene-0.16&CDS=1-1692, snap_masked-ham-_s376-processed-gene-0.17-mRNA-1_1&gene=snap_masked-ham-_s376-processed-gene-0.17&CDS=1-1737, snap_masked-ham-_s443-processed-gene-0.2-mRNA-1_1&gene=snap_masked-ham-_s443-processed-gene-0.2&CDS=1-2667	YDR160W, YOR348C, YPL265W
20	OG0000020	snap_masked-ham-_s117-processed-gene-1.30-mRNA-1_1&gene=snap_masked-ham-_s117-processed-gene-1.30&CDS=1-2496, snap_masked-ham-_s281-processed-gene-0.68-mRNA-1_1&gene=snap_masked-ham-_s281-processed-gene-0.68&CDS=1-5364, snap_masked-ham-_s336-processed-gene-1.102-mRNA-1_1&gene=snap_masked-ham-_s336-processed-gene-1.102&CDS=1-1155	YDR523C, YHR102W, YJL095W
21	OG0000021	snap_masked-ham-_s117-processed-gene-1.27-mRNA-1_1&gene=snap_masked-ham-_s117-processed-gene-1.27&CDS=1-1056, snap_masked-ham-_s181-processed-gene-0.90-mRNA-1_1&gene=snap_masked-ham-_s181-processed-gene-0.90&CDS=1-1197	YIL123W, YJL116C, YKR042W, YNL066W
22	OG0000022	genemark-ham-_s121-processed-gene-0.110-mRNA-1_1&gene=genemark-ham-_s121-processed-gene-0.110&CDS=1-1911, snap_masked-ham-_s286-processed-gene-0.68-mRNA-1_1&gene=snap_masked-ham-_s286-processed-gene-0.68&CDS=1-1278, snap_masked-ham-_s552-processed-gene-1.18-mRNA-1_1&gene=snap_masked-ham-_s552-processed-gene-1.18&CDS=1-984	YKL139W, YPL031C, YPR161C
23	OG0000023	maker-ham-_s552-augustus-gene-1.6-mRNA-1_1&gene=maker-ham-_s552-augustus-gene-1.6&CDS=1-2505, snap_masked-ham-_s132-processed-gene-0.33-mRNA-1_1&gene=snap_masked-ham-_s132-processed-gene-0.33&CDS=1-1965, snap_masked-ham-_s24-processed-gene-0.121-mRNA-1_1&gene=snap_masked-ham-_s24-processed-gene-0.121&CDS=1-1899	YBR015C, YJL186W, YLR351C
24	OG0000024	augustus_masked-ham-_s152-processed-gene-0.60-mRNA-1_1&gene=augustus_masked-ham-_s152-processed-gene-0.60&CDS=1-1692, snap_masked-ham-_s189-processed-gene-0.7-mRNA-1_1&gene=snap_masked-ham-_s189-processed-gene-0.7&CDS=1-1656	YDR342C, YDR343C, YDR345C, YHR092C
25	OG0000025	augustus_masked-ham-_s32-processed-gene-0.29-mRNA-1_1&gene=augustus_masked-ham-_s32-processed-gene-0.29&CDS=1-513, augustus_masked-ham-_s758-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-ham-_s758-processed-gene-0.2&CDS=1-363, snap_masked-ham-_s180-processed-gene-0.4-mRNA-1_1&gene=snap_masked-ham-_s180-processed-gene-0.4&CDS=1-480, snap_masked-ham-_s58-processed-gene-0.0-mRNA-1_1&gene=snap_masked-ham-_s58-processed-gene-0.0&CDS=1-450	YGL089C, YPL187W
26	OG0000026	snap_masked-ham-_s181-processed-gene-0.97-mRNA-1_1&gene=snap_masked-ham-_s181-processed-gene-0.97&CDS=1-1227, snap_masked-ham-_s284-processed-gene-0.13-mRNA-1_1&gene=snap_masked-ham-_s284-processed-gene-0.13&CDS=1-1353, snap_masked-ham-_s800-processed-gene-0.8-mRNA-1_1&gene=snap_masked-ham-_s800-processed-gene-0.8&CDS=1-1743	YJL073W, YLR090W, YNL064C
27	OG0000027	snap_masked-ham-_s20-processed-gene-0.53-mRNA-1_1&gene=snap_masked-ham-_s20-processed-gene-0.53&CDS=1-1068	YJL158C, YJL159W, YJL160C, YKL163W, YKL164C
28	OG0000028	maker-ham-_s286-snap-gene-2.0-mRNA-1_1&gene=maker-ham-_s286-snap-gene-2.0&CDS=1-1476, snap_masked-ham-_s225-processed-gene-0.5-mRNA-1_1&gene=snap_masked-ham-_s225-processed-gene-0.5&CDS=1-2214, snap_masked-ham-_s372-processed-gene-0.4-mRNA-1_1&gene=snap_masked-ham-_s372-processed-gene-0.4&CDS=1-2310	YDL025C, YNL183C, YOR267C
29	OG0000029	genemark-ham-_s659-processed-gene-0.67-mRNA-1_1&gene=genemark-ham-_s659-processed-gene-0.67&CDS=1-1716, snap_masked-ham-_s24-processed-gene-0.108-mRNA-1_1&gene=snap_masked-ham-_s24-processed-gene-0.108&CDS=1-4860, snap_masked-ham-_s619-processed-gene-0.13-mRNA-1_1&gene=snap_masked-ham-_s619-processed-gene-0.13&CDS=1-3792	YIL126W, YKR008W, YOR290C
30	OG0000030	snap_masked-ham-_s272-processed-gene-0.7-mRNA-1_1&gene=snap_masked-ham-_s272-processed-gene-0.7&CDS=1-918, snap_masked-ham-_s341-processed-gene-0.110-mRNA-1_1&gene=snap_masked-ham-_s341-processed-gene-0.110&CDS=1-1065, snap_masked-ham-_s552-processed-gene-1.14-mRNA-1_1&gene=snap_masked-ham-_s552-processed-gene-1.14&CDS=1-942	YDL047W, YDR075W, YNR032W
31	OG0000031	snap_masked-ham-_s279-processed-gene-2.124-mRNA-1_1&gene=snap_masked-ham-_s279-processed-gene-2.124&CDS=1-759, snap_masked-ham-_s329-processed-gene-0.137-mRNA-1_1&gene=snap_masked-ham-_s329-processed-gene-0.137&CDS=1-771, snap_masked-ham-_s619-processed-gene-0.7-mRNA-1_1&gene=snap_masked-ham-_s619-processed-gene-0.7&CDS=1-771, snap_masked-ham-_s711-processed-gene-0.11-mRNA-1_1&gene=snap_masked-ham-_s711-processed-gene-0.11&CDS=1-792	YCR010C, YNR002C
32	OG0000032	snap_masked-ham-_s286-processed-gene-1.87-mRNA-1_1&gene=snap_masked-ham-_s286-processed-gene-1.87&CDS=1-921, snap_masked-ham-_s659-processed-gene-1.40-mRNA-1_1&gene=snap_masked-ham-_s659-processed-gene-1.40&CDS=1-1878, snap_masked-ham-_s75-processed-gene-0.13-mRNA-1_1&gene=snap_masked-ham-_s75-processed-gene-0.13&CDS=1-2580	YDL230W, YER075C, YOR208W
33	OG0000033	snap_masked-ham-_s358-processed-gene-0.94-mRNA-1_1&gene=snap_masked-ham-_s358-processed-gene-0.94&CDS=1-1389	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W
34	OG0000034	augustus_masked-ham-_s636-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-ham-_s636-processed-gene-0.4&CDS=1-1464, augustus_masked-ham-_s64-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-ham-_s64-processed-gene-0.17&CDS=1-594, snap_masked-ham-_s422-processed-gene-0.38-mRNA-1_1&gene=snap_masked-ham-_s422-processed-gene-0.38&CDS=1-2334, snap_masked-ham-_s659-processed-gene-1.61-mRNA-1_1&gene=snap_masked-ham-_s659-processed-gene-1.61&CDS=1-3237	YMR075W, YOL034W
35	OG0000035	maker-ham-_s519-snap-gene-0.11-mRNA-1_1&gene=maker-ham-_s519-snap-gene-0.11&CDS=1-2844, snap_masked-ham-_s482-processed-gene-4.245-mRNA-1_1&gene=snap_masked-ham-_s482-processed-gene-4.245&CDS=1-3066, snap_masked-ham-_s892-processed-gene-0.1-mRNA-1_1&gene=snap_masked-ham-_s892-processed-gene-0.1&CDS=1-3093	YBR245C, YFR038W, YOR304W
36	OG0000036	augustus_masked-ham-_s539-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-ham-_s539-processed-gene-0.9&CDS=1-1953, snap_masked-ham-_s6-processed-gene-0.16-mRNA-1_1&gene=snap_masked-ham-_s6-processed-gene-0.16&CDS=1-1782	YER054C, YIL045W, YLR273C, YOR178C
37	OG0000037	genemark-ham-_C61241-processed-gene-0.0-mRNA-1_1&gene=genemark-ham-_C61241-processed-gene-0.0&CDS=1-177, genemark-ham-_s108-processed-gene-0.9-mRNA-1_1&gene=genemark-ham-_s108-processed-gene-0.9&CDS=1-1923, snap_masked-ham-_s479-processed-gene-0.9-mRNA-1_1&gene=snap_masked-ham-_s479-processed-gene-0.9&CDS=1-738	YHR131C, YNL144C
38	OG0000038	augustus_masked-ham-_C64663-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-ham-_C64663-processed-gene-0.0&CDS=1-294, augustus_masked-ham-_s507-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-ham-_s507-processed-gene-0.0&CDS=1-177, augustus_masked-ham-_s784-processed-gene-0.51-mRNA-1_1&gene=augustus_masked-ham-_s784-processed-gene-0.51&CDS=1-144	YLR284C, YOR180C
39	OG0000039	genemark-ham-_s286-processed-gene-2.145-mRNA-1_1&gene=genemark-ham-_s286-processed-gene-2.145&CDS=1-2259, snap_masked-ham-_C74467-processed-gene-0.9-mRNA-1_1&gene=snap_masked-ham-_C74467-processed-gene-0.9&CDS=1-1572, snap_masked-ham-_s279-processed-gene-4.20-mRNA-1_1&gene=snap_masked-ham-_s279-processed-gene-4.20&CDS=1-2103	YGL257C, YNR059W
40	OG0000040	augustus_masked-ham-_s539-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-ham-_s539-processed-gene-0.18&CDS=1-579, genemark-ham-_s479-processed-gene-0.13-mRNA-1_1&gene=genemark-ham-_s479-processed-gene-0.13&CDS=1-2193, snap_masked-ham-_s117-processed-gene-1.40-mRNA-1_1&gene=snap_masked-ham-_s117-processed-gene-1.40&CDS=1-2295	YGL014W, YGL178W
41	OG0000041	snap_masked-ham-_s117-processed-gene-2.57-mRNA-1_1&gene=snap_masked-ham-_s117-processed-gene-2.57&CDS=1-891, snap_masked-ham-_s181-processed-gene-2.195-mRNA-1_1&gene=snap_masked-ham-_s181-processed-gene-2.195&CDS=1-816	YDL127W, YDL179W, YNL289W
42	OG0000042	genemark-ham-_s70-processed-gene-0.7-mRNA-1_1&gene=genemark-ham-_s70-processed-gene-0.7&CDS=1-537, snap_masked-ham-_s117-processed-gene-2.90-mRNA-1_1&gene=snap_masked-ham-_s117-processed-gene-2.90&CDS=1-675, snap_masked-ham-_s89-processed-gene-0.16-mRNA-1_1&gene=snap_masked-ham-_s89-processed-gene-0.16&CDS=1-1635	YHR008C, YOR037W
43	OG0000043	snap_masked-ham-_s121-processed-gene-0.55-mRNA-1_1&gene=snap_masked-ham-_s121-processed-gene-0.55&CDS=1-2526, snap_masked-ham-_s264-processed-gene-0.159-mRNA-1_1&gene=snap_masked-ham-_s264-processed-gene-0.159&CDS=1-2916	YDR385W, YKL173W, YOR133W
44	OG0000044	maker-ham-_s39-augustus-gene-0.84-mRNA-1_1&gene=maker-ham-_s39-augustus-gene-0.84&CDS=1-1209, snap_masked-ham-_s14-processed-gene-0.125-mRNA-1_1&gene=snap_masked-ham-_s14-processed-gene-0.125&CDS=1-1656, snap_masked-ham-_s279-processed-gene-1.46-mRNA-1_1&gene=snap_masked-ham-_s279-processed-gene-1.46&CDS=1-1527	YER133W, YML016C
45	OG0000045	snap_masked-ham-_s149-processed-gene-0.30-mRNA-1_1&gene=snap_masked-ham-_s149-processed-gene-0.30&CDS=1-1896, snap_masked-ham-_s443-processed-gene-0.6-mRNA-1_1&gene=snap_masked-ham-_s443-processed-gene-0.6&CDS=1-2127, snap_masked-ham-_s564-processed-gene-0.30-mRNA-1_1&gene=snap_masked-ham-_s564-processed-gene-0.30&CDS=1-2007	YMR008C, YOL011W
46	OG0000046	snap_masked-ham-_s152-processed-gene-0.13-mRNA-1_1&gene=snap_masked-ham-_s152-processed-gene-0.13&CDS=1-1275, snap_masked-ham-_s593-processed-gene-0.75-mRNA-1_1&gene=snap_masked-ham-_s593-processed-gene-0.75&CDS=1-1179	YCR094W, YNL323W, YNR048W
47	OG0000047	augustus_masked-ham-_s401-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-ham-_s401-processed-gene-0.16&CDS=1-2328, maker-ham-_s16-snap-gene-0.52-mRNA-1_1&gene=maker-ham-_s16-snap-gene-0.52&CDS=1-7320, snap_masked-ham-_s358-processed-gene-0.68-mRNA-1_1&gene=snap_masked-ham-_s358-processed-gene-0.68&CDS=1-1377	YER156C, YJL039C
48	OG0000048	augustus_masked-ham-_s16-processed-gene-0.33-mRNA-1_1&gene=augustus_masked-ham-_s16-processed-gene-0.33&CDS=1-1839, genemark-ham-_s552-processed-gene-0.39-mRNA-1_1&gene=genemark-ham-_s552-processed-gene-0.39&CDS=1-2196, snap_masked-ham-_s747-processed-gene-0.47-mRNA-1_1&gene=snap_masked-ham-_s747-processed-gene-0.47&CDS=1-2061	YLR098C, YOR337W
49	OG0000049	snap_masked-ham-_s173-processed-gene-0.115-mRNA-1_1&gene=snap_masked-ham-_s173-processed-gene-0.115&CDS=1-3573, snap_masked-ham-_s468-processed-gene-0.145-mRNA-1_1&gene=snap_masked-ham-_s468-processed-gene-0.145&CDS=1-3663	YJL042W, YOR227W, YPL137C
50	OG0000050	augustus_masked-ham-_s284-processed-gene-0.69-mRNA-1_1&gene=augustus_masked-ham-_s284-processed-gene-0.69&CDS=1-630, snap_masked-ham-_s175-processed-gene-0.2-mRNA-1_1&gene=snap_masked-ham-_s175-processed-gene-0.2&CDS=1-1272, snap_masked-ham-_s276-processed-gene-0.72-mRNA-1_1&gene=snap_masked-ham-_s276-processed-gene-0.72&CDS=1-1527	YER028C, YGL209W
51	OG0000051	snap_masked-ham-_s184-processed-gene-0.6-mRNA-1_1&gene=snap_masked-ham-_s184-processed-gene-0.6&CDS=1-1527, snap_masked-ham-_s802-processed-gene-0.14-mRNA-1_1&gene=snap_masked-ham-_s802-processed-gene-0.14&CDS=1-1560, snap_masked-ham-_s802-processed-gene-0.2-mRNA-1_1&gene=snap_masked-ham-_s802-processed-gene-0.2&CDS=1-1977	YGR197C, YJR015W
52	OG0000052	snap_masked-ham-_s189-processed-gene-0.6-mRNA-1_1&gene=snap_masked-ham-_s189-processed-gene-0.6&CDS=1-1272, snap_masked-ham-_s39-processed-gene-0.72-mRNA-1_1&gene=snap_masked-ham-_s39-processed-gene-0.72&CDS=1-1260, snap_masked-ham-_s847-processed-gene-0.5-mRNA-1_1&gene=snap_masked-ham-_s847-processed-gene-0.5&CDS=1-1191	YKL106W, YLR027C
53	OG0000053	maker-ham-_s189-snap-gene-0.20-mRNA-1_1&gene=maker-ham-_s189-snap-gene-0.20&CDS=1-1275, snap_masked-ham-_s259-processed-gene-0.77-mRNA-1_1&gene=snap_masked-ham-_s259-processed-gene-0.77&CDS=1-1374, snap_masked-ham-_s358-processed-gene-0.88-mRNA-1_1&gene=snap_masked-ham-_s358-processed-gene-0.88&CDS=1-1434	YOL030W, YOL132W
