	OrthologID	Neurospora_crassa	Saccharomyces_cerevisiae
54	OG0000054	XP_011392871.1, XP_011392872.1, XP_011392873.1	YOL031C
55	OG0000055	XP_011392874.1, XP_011392875.1	YBR014C, YDL010W
56	OG0000056	XP_011392914.1, XP_011392915.1	YDR500C, YLR185W
57	OG0000057	XP_011392916.1, XP_011392917.1, XP_011392918.1	YHL024W
58	OG0000058	XP_011392961.1, XP_011392962.1	YFR053C, YGL253W
59	OG0000059	XP_011392976.1, XP_011392977.1	YGL084C, YPL189W
60	OG0000060	XP_011393034.1, XP_011393035.1	YHR090C, YOR064C
61	OG0000061	XP_011393111.1, XP_011393112.1, XP_011393113.1	YNL238W
62	OG0000062	XP_011393142.1, XP_011393143.1, XP_011393144.1	YKR066C
63	OG0000063	XP_011393166.1, XP_011393167.1, XP_011393168.1	YPR062W
64	OG0000064	XP_011393189.1, XP_011393190.1	YDL137W, YDL192W
65	OG0000065	XP_011393198.1, XP_011393199.1	YBL067C, YER098W
66	OG0000066	XP_011393200.1, XP_011393201.1, XP_011393202.1	YLR019W
67	OG0000067	XP_011393215.1, XP_011393216.1	YJL136C, YKR057W
68	OG0000068	XP_011393237.1, XP_011393238.1	YGR273C, YMR295C
69	OG0000069	XP_011393243.1, XP_011393244.1, XP_011393245.1	YOL016C
70	OG0000070	XP_011393253.1, XP_011393254.1, XP_011393255.1	YMR216C
71	OG0000071	XP_011393270.1, XP_011393271.1	YDR458C, YML034W
72	OG0000072	XP_011393283.1, XP_011393284.1, XP_011393285.1	YDR510W
73	OG0000073	XP_011393321.1, XP_011393322.1, XP_011393323.1	YPR097W
74	OG0000074	XP_011393440.1, XP_011393788.1, XP_011393789.1	YPL067C
75	OG0000075	XP_011393449.1, XP_011393450.1, XP_011393451.1	YDL235C
76	OG0000076	XP_011393461.1, XP_011393462.1	YGR118W, YPR132W
77	OG0000077	XP_011393489.1, XP_011393490.1	YIR033W, YKL020C
78	OG0000078	XP_011393497.1, XP_011393498.1	YBR054W, YDR033W
79	OG0000079	XP_011393501.1	YBR145W, YMR303C, YOL086C
80	OG0000080	XP_011393560.1, XP_011393561.1, XP_011393562.1	YOL012C
81	OG0000081	XP_011393609.1, XP_011393610.1	YDL070W, YLR399C
82	OG0000082	XP_011393617.1, XP_011393618.1	YBL072C, YER102W
83	OG0000083	XP_011393643.1, XP_011393644.1, XP_011393645.1	YLR422W
84	OG0000084	XP_011393741.1, XP_011393742.1	YCL036W, YDR514C
85	OG0000085	XP_011393751.1, XP_011393752.1, XP_011393753.1	YOR358W
86	OG0000086	XP_011393768.1, XP_011393769.1, XP_011393770.1	YIL020C
87	OG0000087	XP_011393870.1, XP_011393871.1, XP_011393872.1	YMR004W
88	OG0000088	XP_011393889.1, XP_011393890.1	YDR409W, YOR156C
89	OG0000089	XP_011393907.1, XP_011393908.1, XP_011393909.1	YNL163C
90	OG0000090	XP_011393910.1, XP_011393911.1	YJL190C, YLR367W
91	OG0000091	XP_011393953.1, XP_011393954.1	YGL049C, YGR162W
92	OG0000092	XP_011393964.1, XP_011393965.1	YER054C, YIL045W
93	OG0000093	XP_011393976.1, XP_011393977.1, XP_011393978.1	YDR481C
94	OG0000094	XP_011393979.1, XP_011393980.1, XP_011393981.1	YGR019W
95	OG0000095	XP_011393982.1, XP_011393983.1, XP_011393984.1	YJR060W
96	OG0000096	XP_011393992.1, XP_011393993.1	YKL121W, YMR102C
97	OG0000097	XP_011394150.1, XP_011394151.1	YBR169C, YPL106C
98	OG0000098	XP_011394183.1, XP_011394184.1, XP_011394185.1	YJR099W
99	OG0000099	XP_011394213.1, XP_011394214.1	YDR326C, YHR080C
100	OG0000100	XP_011394256.1, XP_011394257.1	YDR379W, YOR127W
101	OG0000101	XP_011394278.1, XP_011394279.1	YLR260W, YOR171C
102	OG0000102	XP_011394327.1, XP_011394328.1, XP_011394329.1	YHR124W
103	OG0000103	XP_011394473.1, XP_011394474.1	YIR013C, YLR013W
104	OG0000104	XP_011394487.1, XP_011394488.1	YIL133C, YNL069C
105	OG0000105	XP_011394515.1, XP_011394516.1, XP_011394517.1	YIL031W
106	OG0000106	XP_011394532.1, XP_011394533.1, XP_011394534.1	YHR128W
107	OG0000107	XP_011394586.1, XP_011394587.1, XP_011394588.1, XP_011394589.1	
108	OG0000108	XP_011394627.1, XP_011394628.1, XP_011394629.1	YNL070W
109	OG0000109	XP_011394635.1, XP_011394636.1	YKL133C, YMR115W
110	OG0000110	XP_011394659.1, XP_011394660.1	YBL056W, YER089C
111	OG0000111	XP_011394671.1, XP_011394672.1, XP_957663.2	YNL141W
112	OG0000112	XP_011394701.1, XP_011394702.1	YJL137C, YKR058W
113	OG0000113	XP_011394865.1, XP_011394866.1	YDL036C, YOL066C
114	OG0000114	XP_011394871.1, XP_011394872.1, XP_011394873.1	YDL066W
115	OG0000115	XP_011394876.1, XP_011394877.1	YHR146W, YNL173C
116	OG0000116	XP_011394882.1, XP_011394883.1, XP_011394884.1	YHL007C
117	OG0000117	XP_011394972.1, XP_011394973.1, XP_011394974.1	YNL026W
118	OG0000118	XP_011395010.1, XP_011395011.1	YML109W, YMR273C
119	OG0000119	XP_011395133.1, XP_011395134.1	YBR049C, YDR026C
120	OG0000120	XP_011395147.1, XP_011395148.1, XP_011395149.1	YFL044C
121	OG0000121	XP_011395156.1, XP_011395157.1, XP_011395158.1	YIL078W
122	OG0000122	XP_011395167.1, XP_011395168.1, XP_011395169.1	YLR386W
123	OG0000123	XP_011395176.1, XP_011395177.1	YIL105C, YNL047C
124	OG0000124	XP_011395217.1, XP_011395218.1, XP_011395219.1	YPR169W
125	OG0000125	XP_011395259.1, XP_011395260.1, XP_011395261.1	YOR008C
126	OG0000126	XP_011395289.1, XP_011395290.1, XP_011395291.1	YLR189C
127	OG0000127	XP_011395294.1, XP_011395295.1	YBL106C, YPR032W
128	OG0000128	XP_011395317.1, XP_011395318.1, XP_011395319.1	YBR215W
129	OG0000129	XP_955945.2, XP_957924.2, XP_965309.3	YDR371W
130	OG0000130	XP_956002.2, XP_956597.1	YBR009C, YNL030W
131	OG0000131	XP_956144.2, XP_959510.3	YDR519W, YNL135C
132	OG0000132	XP_956208.1, XP_961359.3	YJL031C, YKL019W
133	OG0000133	XP_956354.1	YDR038C, YDR039C, YDR040C
134	OG0000134	XP_956977.1	YGR192C, YJL052W, YJR009C
135	OG0000135	XP_957004.1, XP_961504.3, XP_964441.1	YML099C
136	OG0000136	XP_957553.1	YDR261C, YLR300W, YOR190W
137	OG0000137	XP_957771.1, XP_959139.1	YBR147W, YOL092W
138	OG0000138	XP_958486.1, XP_958913.1, XP_965612.1	YPR127W
139	OG0000139	XP_958928.1, XP_962312.1	YDR194C, YMR290C
140	OG0000140	XP_959542.3	YCR102C, YLR460C, YNL134C
141	OG0000141	XP_959717.3	YGR087C, YLR044C, YLR134W
142	OG0000142	XP_960114.1	YJL078C, YJL079C, YKR013W
143	OG0000143	XP_960975.1	YJL042W, YOR227W, YPL137C
144	OG0000144	XP_961779.1	YBR298C, YDL247W, YJR160C
145	OG0000145	XP_962206.3	YIL120W, YIL121W, YNL065W
146	OG0000146	XP_962256.1	YFL060C, YMR095C, YNL334C
147	OG0000147	XP_962257.1	YFL059W, YMR096W, YNL333W
148	OG0000148	XP_962263.3	YCR083W, YGR209C, YLR043C
149	OG0000149	XP_963633.1, XP_965313.2	YJR061W, YKL201C
150	OG0000150	XP_964190.2	YMR006C, YMR008C, YOL011W
151	OG0000151	XP_965046.3, XP_965047.1, XP_965048.1	YBR162C
152	OG0000152	XP_965183.2	YLL052C, YLL053C, YPR192W
153	OG0000153	XP_965343.2	YDR144C, YLR120C, YLR121C
154	OG0000154	XP_001727970.2, XP_011395336.1	YIL112W
155	OG0000155	XP_001727981.1, XP_957422.1	YPR200C
156	OG0000156	XP_001728015.2	YEL029C, YNR027W
157	OG0000157	XP_001728096.1	YCL050C, YDR530C
158	OG0000158	XP_001728169.2	YGR279C, YMR305C
159	OG0000159	XP_001728193.2	YDR501W, YLR183C
160	OG0000160	XP_001728213.2	YFL050C, YOL130W
161	OG0000161	XP_001728226.1	YGR038W, YLR350W
162	OG0000162	XP_001728268.2	YJL172W, YOL153C
163	OG0000163	XP_001728373.1, XP_958152.2	YFR018C
164	OG0000164	XP_001728409.1	YDL136W, YDL191W
165	OG0000165	XP_011392772.1, XP_011392773.1	YGR074W
166	OG0000166	XP_011392782.1, XP_011392783.1	YER069W
167	OG0000167	XP_011392789.1, XP_011392790.1	YJL128C
168	OG0000168	XP_011392798.1, XP_011392799.1	YKL016C
169	OG0000169	XP_011392806.1, XP_011392807.1	YBR026C
170	OG0000170	XP_011392816.1, XP_011392817.1	YBL086C
171	OG0000171	XP_011392829.1, XP_011392830.1	YDR523C
172	OG0000172	XP_011392846.1, XP_011392847.1	YOR241W
173	OG0000173	XP_011392848.1, XP_011392849.1	YJL091C
174	OG0000174	XP_011392857.1, XP_011392858.1	YHR005C-A
175	OG0000175	XP_011392867.1, XP_011392868.1	YCR081W
176	OG0000176	XP_011392869.1, XP_011392870.1	YKR080W
177	OG0000177	XP_011392881.1, XP_011392882.1	YKR035W-A
178	OG0000178	XP_011392883.1, XP_011392884.1	YOR032C
179	OG0000179	XP_011392889.1, XP_011392890.1	YJL035C
180	OG0000180	XP_011392891.1, XP_011392892.1	YLR006C
181	OG0000181	XP_011392895.1, XP_011392896.1	YDL095W
182	OG0000182	XP_011392910.1, XP_011392911.1	YBL019W
183	OG0000183	XP_011392912.1, XP_011392913.1	YGL191W
184	OG0000184	XP_011392926.1, XP_011392927.1	YCR042C
185	OG0000185	XP_011392932.1, XP_011392933.1	YLR451W
186	OG0000186	XP_011392934.1, XP_011392935.1	YGR024C
187	OG0000187	XP_011392936.1, XP_011392937.1	YPL181W
188	OG0000188	XP_011392948.1, XP_011392949.1	YDR198C
189	OG0000189	XP_011392952.1, XP_011392953.1	YGR223C
190	OG0000190	XP_011392959.1, XP_011392960.1	YPR066W
191	OG0000191	XP_011392965.1, XP_011392966.1	YHR122W
192	OG0000192	XP_011392969.1, XP_011392970.1	YOL004W
193	OG0000193	XP_011392984.1, XP_011392985.1	YDR424C
194	OG0000194	XP_011392995.1, XP_011392996.1	YLR180W
195	OG0000195	XP_011392999.1, XP_011393000.1	YBR170C
196	OG0000196	XP_011393012.1, XP_011393013.1	YDR084C
197	OG0000197	XP_011393016.1, XP_011393017.1	YGR058W
198	OG0000198	XP_011393021.1, XP_011393022.1	YOR004W
199	OG0000199	XP_011393027.1, XP_011393028.1	YMR099C
200	OG0000200	XP_011393043.1, XP_011393044.1	YER010C
201	OG0000201	XP_011393050.1, XP_011393051.1	YBL007C
202	OG0000202	XP_011393056.1, XP_011393057.1	YFR047C
203	OG0000203	XP_011393064.1, XP_011393065.1	YNR035C
204	OG0000204	XP_011393066.1, XP_011393067.1	YER164W
205	OG0000205	XP_011393076.1, XP_011393077.1	YJR022W
206	OG0000206	XP_011393082.1, XP_011393083.1	YLR313C
207	OG0000207	XP_011393090.1, XP_011393091.1	YPL120W
208	OG0000208	XP_011393097.1, XP_011393098.1	YGL243W
209	OG0000209	XP_011393107.1, XP_011393108.1	YBR028C
210	OG0000210	XP_011393109.1, XP_011393110.1	YHR205W
211	OG0000211	XP_011393121.1, XP_011393122.1	YLR023C
212	OG0000212	XP_011393129.1, XP_011393130.1	YCR087C-A
213	OG0000213	XP_011393131.1, XP_011393132.1	YNL320W
214	OG0000214	XP_011393133.1, XP_011393134.1	YHR175W
215	OG0000215	XP_011393135.1, XP_011393136.1	YNL168C
216	OG0000216	XP_011393158.1, XP_011393159.1	YBL026W
217	OG0000217	XP_011393160.1, XP_011393161.1	YKL017C
218	OG0000218	XP_011393164.1, XP_011393165.1	YLR340W
219	OG0000219	XP_011393173.1, XP_011393174.1	YOR332W
220	OG0000220	XP_011393175.1, XP_011393176.1	YER053C
221	OG0000221	XP_011393183.1, XP_011393184.1	YDR379C-A
222	OG0000222	XP_011393192.1, XP_011393193.1	YBR274W
223	OG0000223	XP_011393196.1, XP_011393197.1	YJL005W
224	OG0000224	XP_011393203.1, XP_011393204.1	YJR084W
225	OG0000225	XP_011393206.1	YMR242C, YOR312C
226	OG0000226	XP_011393211.1, XP_011393212.1	YBR007C
227	OG0000227	XP_011393213.1, XP_011393214.1	YGL252C
228	OG0000228	XP_011393232.1, XP_011393233.1	YIL083C
229	OG0000229	XP_011393234.1, XP_011393235.1	YHR085W
230	OG0000230	XP_011393239.1, XP_011393240.1	YGL202W
231	OG0000231	XP_011393241.1, XP_011393242.1	YOL006C
232	OG0000232	XP_011393256.1, XP_011393257.1	YLR248W
233	OG0000233	XP_011393260.1, XP_011393261.1	YPL157W
234	OG0000234	XP_011393264.1, XP_011393265.1	YBL021C
235	OG0000235	XP_011393266.1, XP_011393267.1	YOR185C
236	OG0000236	XP_011393268.1, XP_011393269.1	YDR028C
237	OG0000237	XP_011393272.1, XP_011393273.1	YBL061C
238	OG0000238	XP_011393274.1, XP_011393275.1	YBR023C
239	OG0000239	XP_011393281.1, XP_011393282.1	YGL190C
240	OG0000240	XP_011393298.1, XP_011393299.1	YIR031C
241	OG0000241	XP_011393302.1, XP_011393303.1	YGR254W
242	OG0000242	XP_011393304.1, XP_011393305.1	YGR188C
243	OG0000243	XP_011393319.1, XP_011393320.1	YPR178W
244	OG0000244	XP_011393384.1, XP_011393385.1	YER014W
245	OG0000245	XP_011393447.1, XP_011393448.1	YLR384C
246	OG0000246	XP_011393454.1, XP_011393455.1	YNL129W
247	OG0000247	XP_011393463.1, XP_011393464.1	YNL025C
248	OG0000248	XP_011393466.1, XP_011393467.1	YLL050C
249	OG0000249	XP_011393468.1, XP_011393469.1	YBR133C
250	OG0000250	XP_011393487.1, XP_011393488.1	YDR109C
251	OG0000251	XP_011393491.1, XP_011393492.1	YIL107C
252	OG0000252	XP_011393499.1, XP_011393500.1	YDL171C
253	OG0000253	XP_011393503.1, XP_011393504.1	YMR239C
254	OG0000254	XP_011393507.1, XP_011393508.1	YFL001W
255	OG0000255	XP_011393517.1, XP_011393518.1	YDR051C
256	OG0000256	XP_011393526.1, XP_011393527.1	YPL091W
257	OG0000257	XP_011393529.1, XP_011393530.1	YDL190C
258	OG0000258	XP_011393535.1, XP_011393536.1	YAL024C
259	OG0000259	XP_011393538.1, XP_011393539.1	YPL046C
260	OG0000260	XP_011393546.1	YMR253C, YPL264C
261	OG0000261	XP_011393552.1, XP_011393553.1	YDR390C
262	OG0000262	XP_011393558.1, XP_011393559.1	YBL051C
263	OG0000263	XP_011393570.1, XP_011393571.1	YOL141W
264	OG0000264	XP_011393578.1, XP_011393579.1	YBR227C
265	OG0000265	XP_011393580.1, XP_011393581.1	YEL011W
266	OG0000266	XP_011393585.1, XP_011393586.1	YJR036C
267	OG0000267	XP_011393598.1, XP_011393599.1	YOL107W
268	OG0000268	XP_011393600.1, XP_011393601.1	YBR112C
269	OG0000269	XP_011393620.1	YBR181C, YPL090C
270	OG0000270	XP_011393622.1, XP_011393623.1	YIL103W
271	OG0000271	XP_011393652.1, XP_011393653.1	YCR033W
272	OG0000272	XP_011393670.1, XP_011393671.1	YBR022W
273	OG0000273	XP_011393719.1, XP_011393720.1	YAR014C
274	OG0000274	XP_011393721.1, XP_011393722.1	YDL126C
275	OG0000275	XP_011393723.1, XP_011393724.1	YBL049W
276	OG0000276	XP_011393728.1, XP_011393729.1	YDR410C
277	OG0000277	XP_011393732.1, XP_011393733.1	YNL317W
278	OG0000278	XP_011393747.1, XP_011393748.1	YBL104C
279	OG0000279	XP_011393749.1, XP_011393750.1	YPR040W
280	OG0000280	XP_011393760.1, XP_011393761.1	YKL205W
281	OG0000281	XP_011393762.1, XP_011393763.1	YDL142C
282	OG0000282	XP_011393771.1, XP_011393772.1	YJR092W
283	OG0000283	XP_011393775.1, XP_011393776.1	YJR098C
284	OG0000284	XP_011393777.1, XP_011393778.1	YLR438W
285	OG0000285	XP_011393782.1, XP_011393783.1	YKL211C
286	OG0000286	XP_011393795.1, XP_011393796.1	YOR093C
287	OG0000287	XP_011393809.1, XP_011393810.1	YOR359W
288	OG0000288	XP_011393816.1, XP_011393817.1	YBR053C
289	OG0000289	XP_011393818.1, XP_011393819.1	YPL051W
290	OG0000290	XP_011393825.1, XP_011393826.1	YGR163W
291	OG0000291	XP_011393827.1, XP_011393828.1	YML049C
292	OG0000292	XP_011393836.1, XP_011393837.1	YNL316C
293	OG0000293	XP_011393840.1, XP_011393841.1	YDR101C
294	OG0000294	XP_011393844.1, XP_011393845.1	YDR002W
295	OG0000295	XP_011393850.1, XP_011393851.1	YLR454W
296	OG0000296	XP_011393854.1, XP_011393855.1	YBR166C
297	OG0000297	XP_011393859.1, XP_011393860.1	YOR360C
298	OG0000298	XP_011393877.1, XP_011393878.1	YCR065W
299	OG0000299	XP_011393879.1, XP_011393880.1	YML077W
300	OG0000300	XP_011393881.1, XP_011393882.1	YOL049W
301	OG0000301	XP_011393883.1, XP_011393884.1	YBL001C
302	OG0000302	XP_011393899.1, XP_011393900.1	YOL102C
303	OG0000303	XP_011393903.1, XP_011393904.1	YGL130W
304	OG0000304	XP_011393934.1, XP_011393935.1	YPL212C
305	OG0000305	XP_011393936.1, XP_011393937.1	YDL074C
306	OG0000306	XP_011393938.1, XP_011393939.1	YPL082C
307	OG0000307	XP_011393943.1, XP_011393944.1	YHR063C
308	OG0000308	XP_011393972.1, XP_011393973.1	YDR328C
309	OG0000309	XP_011393974.1, XP_011393975.1	YBR204C
310	OG0000310	XP_011393987.1, XP_011393988.1	YPR180W
311	OG0000311	XP_011394000.1, XP_011394001.1	YJR110W
312	OG0000312	XP_011394002.1, XP_011394003.1	YFR006W
313	OG0000313	XP_011394006.1, XP_011394007.1	YMR274C
314	OG0000314	XP_011394040.1, XP_011394041.1	YGL016W
315	OG0000315	XP_011394096.1, XP_011394097.1	YML128C
316	OG0000316	XP_011394114.1, XP_011394115.1	YKR070W
317	OG0000317	XP_011394132.1, XP_011394133.1	YJL049W
318	OG0000318	XP_011394134.1, XP_011394135.1	YFL016C
319	OG0000319	XP_011394139.1, XP_011394140.1	YDL132W
320	OG0000320	XP_011394144.1, XP_011394145.1	YPR022C
321	OG0000321	XP_011394159.1, XP_011394160.1	YDR173C
322	OG0000322	XP_011394164.1, XP_011394165.1	YJL072C
323	OG0000323	XP_011394186.1, XP_011394187.1	YNL201C
324	OG0000324	XP_011394188.1, XP_011394189.1	YOR122C
325	OG0000325	XP_011394190.1, XP_011394191.1	YGR060W
326	OG0000326	XP_011394201.1, XP_011394202.1	YJR040W
327	OG0000327	XP_011394205.1, XP_011394206.1	YHL011C
328	OG0000328	XP_011394207.1, XP_011394208.1	YKR054C
329	OG0000329	XP_011394209.1, XP_011394210.1	YHL028W
330	OG0000330	XP_011394211.1, XP_011394212.1	YMR266W
331	OG0000331	XP_011394219.1, XP_011394220.1	YLR114C
332	OG0000332	XP_011394229.1, XP_011394230.1	YPR086W
333	OG0000333	XP_011394231.1, XP_011394232.1	YDL043C
334	OG0000334	XP_011394233.1, XP_011394234.1	YML097C
335	OG0000335	XP_011394235.1, XP_011394236.1	YKL182W
336	OG0000336	XP_011394237.1, XP_011394238.1	YPL231W
337	OG0000337	XP_011394246.1, XP_011394247.1	YOR095C
338	OG0000338	XP_011394254.1, XP_011394255.1	YJL071W
339	OG0000339	XP_011394270.1, XP_011394271.1	YOR303W
340	OG0000340	XP_011394274.1, XP_011394275.1	YER043C
341	OG0000341	XP_011394285.1, XP_011394286.1	YMR108W
342	OG0000342	XP_011394287.1, XP_011394288.1	YCR019W
343	OG0000343	XP_011394291.1, XP_011394292.1	YPL003W
344	OG0000344	XP_011394297.1, XP_011394298.1	YLR314C
345	OG0000345	XP_011394306.1, XP_011394307.1	YMR167W
346	OG0000346	XP_011394308.1, XP_011394309.1	YLR452C
347	OG0000347	XP_011394317.1, XP_011394318.1	YGR205W
348	OG0000348	XP_011394321.1, XP_011394322.1	YPR003C
349	OG0000349	XP_011394345.1, XP_011394346.1	YIL041W
350	OG0000350	XP_011394347.1, XP_011394348.1	YDL165W
351	OG0000351	XP_011394439.1, XP_011394440.1	YJL025W
352	OG0000352	XP_011394477.1, XP_011394478.1	YIL033C
353	OG0000353	XP_011394479.1, XP_011394480.1	YLR345W
354	OG0000354	XP_011394481.1, XP_011394482.1	YDR155C
355	OG0000355	XP_011394501.1, XP_011394502.1	YDR159W
356	OG0000356	XP_011394510.1, XP_011394511.1	YGR149W
357	OG0000357	XP_011394512.1, XP_011394513.1	YNL167C
358	OG0000358	XP_011394518.1, XP_011394519.1	YER012W
359	OG0000359	XP_011394520.1, XP_011394521.1	YHR100C
360	OG0000360	XP_011394522.1, XP_011394523.1	YKL095W
361	OG0000361	XP_011394545.1, XP_011394546.1	YGL115W
362	OG0000362	XP_011394547.1, XP_011394548.1	YML025C
363	OG0000363	XP_011394551.1, XP_011394552.1	YJR107W
364	OG0000364	XP_011394559.1, XP_011394560.1	YGL027C
365	OG0000365	XP_011394572.1, XP_011394573.1	YNL127W
366	OG0000366	XP_011394582.1, XP_011394583.1	YOR272W
367	OG0000367	XP_011394584.1, XP_011394585.1	YER146W
368	OG0000368	XP_011394593.1, XP_011394594.1	YOL005C
369	OG0000369	XP_011394595.1, XP_011394596.1	YBR123C
370	OG0000370	XP_011394597.1, XP_011394598.1	YLR433C
371	OG0000371	XP_011394604.1, XP_011394605.1	YKL190W
372	OG0000372	XP_011394606.1, XP_011394607.1	YKR038C
373	OG0000373	XP_011394608.1, XP_011394609.1	YDL117W
374	OG0000374	XP_011394625.1, XP_011394626.1	YFL039C
375	OG0000375	XP_011394630.1, XP_011394631.1	YOR319W
376	OG0000376	XP_011394632.1, XP_011394633.1	YMR139W
377	OG0000377	XP_011394655.1, XP_011394656.1	YLR420W
378	OG0000378	XP_011394657.1, XP_011394658.1	YKL215C
379	OG0000379	XP_011394661.1, XP_011394662.1	YNL024C
380	OG0000380	XP_011394663.1, XP_011394664.1	YBR055C
381	OG0000381	XP_011394665.1, XP_011394666.1	YDL159W
382	OG0000382	XP_011394669.1, XP_011394670.1	YPL237W
383	OG0000383	XP_011394673.1, XP_011394674.1	YHR074W
384	OG0000384	XP_011394682.1, XP_011394683.1	YDR479C
385	OG0000385	XP_011394688.1, XP_011394689.1	YHR171W
