	OrthologID	Saccharomyces_cerevisiae	yHMPu5000034610_Saturnispora_hagleri
10	OG0000010	YBR237W, YDR243C, YNL112W	augustus_masked-NODE_24_length_144509_cov_19.8257_ID_47-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_24_length_144509_cov_19.8257_ID_47-processed-gene-0.1&CDS=1-1809, genemark-NODE_2_length_837746_cov_20.7076_ID_3-processed-gene-1.69-mRNA-1_1&gene=genemark-NODE_2_length_837746_cov_20.7076_ID_3-processed-gene-1.69&CDS=1-2316, snap_masked-NODE_21_length_154617_cov_20.2003_ID_41-processed-gene-0.16-mRNA-1_1&gene=snap_masked-NODE_21_length_154617_cov_20.2003_ID_41-processed-gene-0.16&CDS=1-1524
11	OG0000011	YBR297W, YFL052W, YGR288W, YPR196W	augustus_masked-NODE_3_length_572726_cov_19.7219_ID_5-processed-gene-1.82-mRNA-1_1&gene=augustus_masked-NODE_3_length_572726_cov_19.7219_ID_5-processed-gene-1.82&CDS=1-516, maker-NODE_3_length_572726_cov_19.7219_ID_5-augustus-gene-1.5-mRNA-1_1&gene=maker-NODE_3_length_572726_cov_19.7219_ID_5-augustus-gene-1.5&CDS=1-1893
12	OG0000012	YCL037C, YDL051W, YDR515W	augustus_masked-NODE_13_length_200565_cov_20.5037_ID_25-processed-gene-1.131-mRNA-1_1&gene=augustus_masked-NODE_13_length_200565_cov_20.5037_ID_25-processed-gene-1.131&CDS=1-774, augustus_masked-NODE_2_length_837746_cov_20.7076_ID_3-processed-gene-7.22-mRNA-1_1&gene=augustus_masked-NODE_2_length_837746_cov_20.7076_ID_3-processed-gene-7.22&CDS=1-696, augustus_masked-NODE_4_length_490047_cov_21.4437_ID_7-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-NODE_4_length_490047_cov_21.4437_ID_7-processed-gene-0.7&CDS=1-1338
13	OG0000013	YCL074W	genemark-NODE_78_length_4468_cov_41.6655_ID_155-processed-gene-0.2-mRNA-1_1&gene=genemark-NODE_78_length_4468_cov_41.6655_ID_155-processed-gene-0.2&CDS=1-984, maker-NODE_23_length_144753_cov_22.3047_ID_45-snap-gene-0.60-mRNA-1_1&gene=maker-NODE_23_length_144753_cov_22.3047_ID_45-snap-gene-0.60&CDS=1-336, snap_masked-NODE_10_length_292512_cov_19.4515_ID_19-processed-gene-1.206-mRNA-1_1&gene=snap_masked-NODE_10_length_292512_cov_19.4515_ID_19-processed-gene-1.206&CDS=1-219, snap_masked-NODE_228_length_361_cov_21.6583_ID_455-processed-gene-0.0-mRNA-1_1&gene=snap_masked-NODE_228_length_361_cov_21.6583_ID_455-processed-gene-0.0&CDS=1-219, snap_masked-NODE_97_length_1954_cov_125.975_ID_193-processed-gene-0.0-mRNA-1_1&gene=snap_masked-NODE_97_length_1954_cov_125.975_ID_193-processed-gene-0.0&CDS=1-309
14	OG0000014	YDR144C, YLR120C, YLR121C	augustus_masked-NODE_26_length_134196_cov_21.0216_ID_51-processed-gene-0.64-mRNA-1_1&gene=augustus_masked-NODE_26_length_134196_cov_21.0216_ID_51-processed-gene-0.64&CDS=1-1773, augustus_masked-NODE_47_length_33835_cov_27.3199_ID_93-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-NODE_47_length_33835_cov_27.3199_ID_93-processed-gene-0.19&CDS=1-2151, augustus_masked-NODE_6_length_399628_cov_19.9528_ID_11-processed-gene-2.65-mRNA-1_1&gene=augustus_masked-NODE_6_length_399628_cov_19.9528_ID_11-processed-gene-2.65&CDS=1-2058
15	OG0000015	YFL010C	augustus_masked-NODE_17_length_169313_cov_21.3871_ID_33-processed-gene-0.235-mRNA-1_1&gene=augustus_masked-NODE_17_length_169313_cov_21.3871_ID_33-processed-gene-0.235&CDS=1-585, augustus_masked-NODE_17_length_169313_cov_21.3871_ID_33-processed-gene-0.236-mRNA-1_1&gene=augustus_masked-NODE_17_length_169313_cov_21.3871_ID_33-processed-gene-0.236&CDS=1-531, augustus_masked-NODE_5_length_466031_cov_22.0033_ID_9-processed-gene-0.103-mRNA-1_1&gene=augustus_masked-NODE_5_length_466031_cov_22.0033_ID_9-processed-gene-0.103&CDS=1-435, maker-NODE_47_length_33835_cov_27.3199_ID_93-snap-gene-0.9-mRNA-1_1&gene=maker-NODE_47_length_33835_cov_27.3199_ID_93-snap-gene-0.9&CDS=1-723, snap_masked-NODE_2_length_837746_cov_20.7076_ID_3-processed-gene-0.52-mRNA-1_1&gene=snap_masked-NODE_2_length_837746_cov_20.7076_ID_3-processed-gene-0.52&CDS=1-600
16	OG0000016	YGR055W	augustus_masked-NODE_13_length_200565_cov_20.5037_ID_25-processed-gene-1.163-mRNA-1_1&gene=augustus_masked-NODE_13_length_200565_cov_20.5037_ID_25-processed-gene-1.163&CDS=1-1746, augustus_masked-NODE_45_length_49366_cov_24.9547_ID_89-processed-gene-0.25-mRNA-1_1&gene=augustus_masked-NODE_45_length_49366_cov_24.9547_ID_89-processed-gene-0.25&CDS=1-1734, augustus_masked-NODE_45_length_49366_cov_24.9547_ID_89-processed-gene-0.27-mRNA-1_1&gene=augustus_masked-NODE_45_length_49366_cov_24.9547_ID_89-processed-gene-0.27&CDS=1-1746, augustus_masked-NODE_48_length_33532_cov_21.7084_ID_95-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-NODE_48_length_33532_cov_21.7084_ID_95-processed-gene-0.15&CDS=1-1749, augustus_masked-NODE_4_length_490047_cov_21.4437_ID_7-processed-gene-3.301-mRNA-1_1&gene=augustus_masked-NODE_4_length_490047_cov_21.4437_ID_7-processed-gene-3.301&CDS=1-1734
17	OG0000017	YJL069C, YKL221W, YNL125C	genemark-NODE_30_length_96722_cov_21.6521_ID_59-processed-gene-0.28-mRNA-1_1&gene=genemark-NODE_30_length_96722_cov_21.6521_ID_59-processed-gene-0.28&CDS=1-1509, genemark-NODE_5_length_466031_cov_22.0033_ID_9-processed-gene-3.238-mRNA-1_1&gene=genemark-NODE_5_length_466031_cov_22.0033_ID_9-processed-gene-3.238&CDS=1-1680, maker-NODE_30_length_96722_cov_21.6521_ID_59-augustus-gene-0.7-mRNA-1_1&gene=maker-NODE_30_length_96722_cov_21.6521_ID_59-augustus-gene-0.7&CDS=1-3000
18	OG0000018	YNL123W	augustus_masked-NODE_13_length_200565_cov_20.5037_ID_25-processed-gene-1.141-mRNA-1_1&gene=augustus_masked-NODE_13_length_200565_cov_20.5037_ID_25-processed-gene-1.141&CDS=1-2865, augustus_masked-NODE_1_length_1340882_cov_20.2954_ID_1-processed-gene-9.152-mRNA-1_1&gene=augustus_masked-NODE_1_length_1340882_cov_20.2954_ID_1-processed-gene-9.152&CDS=1-2856, augustus_masked-NODE_25_length_143880_cov_21.6552_ID_49-processed-gene-0.197-mRNA-1_1&gene=augustus_masked-NODE_25_length_143880_cov_21.6552_ID_49-processed-gene-0.197&CDS=1-2970, genemark-NODE_48_length_33532_cov_21.7084_ID_95-processed-gene-0.33-mRNA-1_1&gene=genemark-NODE_48_length_33532_cov_21.7084_ID_95-processed-gene-0.33&CDS=1-1395, snap_masked-NODE_79_length_4223_cov_51.2214_ID_157-processed-gene-0.1-mRNA-1_1&gene=snap_masked-NODE_79_length_4223_cov_51.2214_ID_157-processed-gene-0.1&CDS=1-1131
19	OG0000019	YOR049C, YOR217W	augustus_masked-NODE_11_length_282380_cov_21.34_ID_21-processed-gene-1.89-mRNA-1_1&gene=augustus_masked-NODE_11_length_282380_cov_21.34_ID_21-processed-gene-1.89&CDS=1-1026, augustus_masked-NODE_13_length_200565_cov_20.5037_ID_25-processed-gene-1.134-mRNA-1_1&gene=augustus_masked-NODE_13_length_200565_cov_20.5037_ID_25-processed-gene-1.134&CDS=1-1056, augustus_masked-NODE_1_length_1340882_cov_20.2954_ID_1-processed-gene-3.9-mRNA-1_1&gene=augustus_masked-NODE_1_length_1340882_cov_20.2954_ID_1-processed-gene-3.9&CDS=1-4692, snap_masked-NODE_7_length_338824_cov_20.1904_ID_13-processed-gene-0.84-mRNA-1_1&gene=snap_masked-NODE_7_length_338824_cov_20.1904_ID_13-processed-gene-0.84&CDS=1-1035
20	OG0000020	Q0045, Q0065, Q0070	maker-NODE_43_length_51414_cov_5702.98_ID_85-snap-gene-0.40-mRNA-1_1&gene=maker-NODE_43_length_51414_cov_5702.98_ID_85-snap-gene-0.40&CDS=1-1125, maker-NODE_43_length_51414_cov_5702.98_ID_85-snap-gene-0.43-mRNA-1_1&gene=maker-NODE_43_length_51414_cov_5702.98_ID_85-snap-gene-0.43&CDS=1-375, maker-NODE_43_length_51414_cov_5702.98_ID_85-snap-gene-0.51-mRNA-1_1&gene=maker-NODE_43_length_51414_cov_5702.98_ID_85-snap-gene-0.51&CDS=1-381
21	OG0000021	YBL017C, YIL173W, YJL222W, YNR065C	maker-NODE_2_length_837746_cov_20.7076_ID_3-augustus-gene-1.135-mRNA-1_1&gene=maker-NODE_2_length_837746_cov_20.7076_ID_3-augustus-gene-1.135&CDS=1-5784
22	OG0000022	YBL056W, YBR125C, YER089C	augustus_masked-NODE_7_length_338824_cov_20.1904_ID_13-processed-gene-2.113-mRNA-1_1&gene=augustus_masked-NODE_7_length_338824_cov_20.1904_ID_13-processed-gene-2.113&CDS=1-1305, augustus_masked-NODE_9_length_322914_cov_20.301_ID_17-processed-gene-0.136-mRNA-1_1&gene=augustus_masked-NODE_9_length_322914_cov_20.301_ID_17-processed-gene-0.136&CDS=1-1149
23	OG0000023	YBR067C, YER011W, YIL011W, YOR010C	augustus_masked-NODE_35_length_85358_cov_20.3898_ID_69-processed-gene-0.27-mRNA-1_1&gene=augustus_masked-NODE_35_length_85358_cov_20.3898_ID_69-processed-gene-0.27&CDS=1-585
24	OG0000024	YCL075W	augustus_masked-NODE_104_length_1639_cov_46.3011_ID_207-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_104_length_1639_cov_46.3011_ID_207-processed-gene-0.0&CDS=1-918, augustus_masked-NODE_189_length_491_cov_17.1676_ID_377-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_189_length_491_cov_17.1676_ID_377-processed-gene-0.0&CDS=1-396, snap_masked-NODE_130_length_1058_cov_37.4376_ID_259-processed-gene-0.0-mRNA-1_1&gene=snap_masked-NODE_130_length_1058_cov_37.4376_ID_259-processed-gene-0.0&CDS=1-774, snap_masked-NODE_182_length_508_cov_60.9612_ID_363-processed-gene-0.1-mRNA-1_1&gene=snap_masked-NODE_182_length_508_cov_60.9612_ID_363-processed-gene-0.1&CDS=1-447
25	OG0000025	YCR105W, YMR318C	augustus_masked-NODE_15_length_173769_cov_21.4258_ID_29-processed-gene-0.213-mRNA-1_1&gene=augustus_masked-NODE_15_length_173769_cov_21.4258_ID_29-processed-gene-0.213&CDS=1-1086, augustus_masked-NODE_34_length_87098_cov_20.6258_ID_67-processed-gene-0.142-mRNA-1_1&gene=augustus_masked-NODE_34_length_87098_cov_20.6258_ID_67-processed-gene-0.142&CDS=1-1086, augustus_masked-NODE_41_length_51703_cov_22.0394_ID_81-processed-gene-0.80-mRNA-1_1&gene=augustus_masked-NODE_41_length_51703_cov_22.0394_ID_81-processed-gene-0.80&CDS=1-987
26	OG0000026	YDR034C	augustus_masked-NODE_1_length_1340882_cov_20.2954_ID_1-processed-gene-8.102-mRNA-1_1&gene=augustus_masked-NODE_1_length_1340882_cov_20.2954_ID_1-processed-gene-8.102&CDS=1-1113, genemark-NODE_13_length_200565_cov_20.5037_ID_25-processed-gene-0.8-mRNA-1_1&gene=genemark-NODE_13_length_200565_cov_20.5037_ID_25-processed-gene-0.8&CDS=1-1092, snap_masked-NODE_10_length_292512_cov_19.4515_ID_19-processed-gene-0.62-mRNA-1_1&gene=snap_masked-NODE_10_length_292512_cov_19.4515_ID_19-processed-gene-0.62&CDS=1-282, snap_masked-NODE_4_length_490047_cov_21.4437_ID_7-processed-gene-1.79-mRNA-1_1&gene=snap_masked-NODE_4_length_490047_cov_21.4437_ID_7-processed-gene-1.79&CDS=1-540
27	OG0000027	YDR038C, YDR039C, YDR040C	augustus_masked-NODE_35_length_85358_cov_20.3898_ID_69-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-NODE_35_length_85358_cov_20.3898_ID_69-processed-gene-0.5&CDS=1-3222, augustus_masked-NODE_5_length_466031_cov_22.0033_ID_9-processed-gene-0.86-mRNA-1_1&gene=augustus_masked-NODE_5_length_466031_cov_22.0033_ID_9-processed-gene-0.86&CDS=1-3222
28	OG0000028	YDR178W, YLR164W, YOR297C	augustus_masked-NODE_31_length_93087_cov_19.9839_ID_61-processed-gene-0.41-mRNA-1_1&gene=augustus_masked-NODE_31_length_93087_cov_19.9839_ID_61-processed-gene-0.41&CDS=1-474, maker-NODE_39_length_59137_cov_20.6451_ID_77-augustus-gene-0.68-mRNA-1_1&gene=maker-NODE_39_length_59137_cov_20.6451_ID_77-augustus-gene-0.68&CDS=1-1737
29	OG0000029	YER005W	augustus_masked-NODE_17_length_169313_cov_21.3871_ID_33-processed-gene-0.206-mRNA-1_1&gene=augustus_masked-NODE_17_length_169313_cov_21.3871_ID_33-processed-gene-0.206&CDS=1-2082, augustus_masked-NODE_45_length_49366_cov_24.9547_ID_89-processed-gene-0.32-mRNA-1_1&gene=augustus_masked-NODE_45_length_49366_cov_24.9547_ID_89-processed-gene-0.32&CDS=1-2124, augustus_masked-NODE_9_length_322914_cov_20.301_ID_17-processed-gene-1.100-mRNA-1_1&gene=augustus_masked-NODE_9_length_322914_cov_20.301_ID_17-processed-gene-1.100&CDS=1-5733, maker-NODE_42_length_51609_cov_28.3715_ID_83-snap-gene-0.22-mRNA-1_1&gene=maker-NODE_42_length_51609_cov_28.3715_ID_83-snap-gene-0.22&CDS=1-4197
30	OG0000030	YGL201C, YOR348C	augustus_masked-NODE_3_length_572726_cov_19.7219_ID_5-processed-gene-2.139-mRNA-1_1&gene=augustus_masked-NODE_3_length_572726_cov_19.7219_ID_5-processed-gene-2.139&CDS=1-1737, augustus_masked-NODE_42_length_51609_cov_28.3715_ID_83-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-NODE_42_length_51609_cov_28.3715_ID_83-processed-gene-0.1&CDS=1-1719, maker-NODE_19_length_167265_cov_21.9052_ID_37-augustus-gene-0.194-mRNA-1_1&gene=maker-NODE_19_length_167265_cov_21.9052_ID_37-augustus-gene-0.194&CDS=1-4671
31	OG0000031	YGL257C, YNR059W	augustus_masked-NODE_28_length_117100_cov_20.6555_ID_55-processed-gene-0.43-mRNA-1_1&gene=augustus_masked-NODE_28_length_117100_cov_20.6555_ID_55-processed-gene-0.43&CDS=1-1845, augustus_masked-NODE_2_length_837746_cov_20.7076_ID_3-processed-gene-1.98-mRNA-1_1&gene=augustus_masked-NODE_2_length_837746_cov_20.7076_ID_3-processed-gene-1.98&CDS=1-2676, augustus_masked-NODE_6_length_399628_cov_19.9528_ID_11-processed-gene-0.30-mRNA-1_1&gene=augustus_masked-NODE_6_length_399628_cov_19.9528_ID_11-processed-gene-0.30&CDS=1-2502
32	OG0000032	YJR061W, YKL201C	augustus_masked-NODE_5_length_466031_cov_22.0033_ID_9-processed-gene-1.122-mRNA-1_1&gene=augustus_masked-NODE_5_length_466031_cov_22.0033_ID_9-processed-gene-1.122&CDS=1-2418, snap_masked-NODE_13_length_200565_cov_20.5037_ID_25-processed-gene-1.107-mRNA-1_1&gene=snap_masked-NODE_13_length_200565_cov_20.5037_ID_25-processed-gene-1.107&CDS=1-2127, snap_masked-NODE_29_length_102874_cov_20.6168_ID_57-processed-gene-0.125-mRNA-1_1&gene=snap_masked-NODE_29_length_102874_cov_20.6168_ID_57-processed-gene-0.125&CDS=1-2379
33	OG0000033	YKL220C, YLL051C, YNR060W, YOR381W, YOR384W	
