	OrthologID	Saccharomyces_cerevisiae	yHMPu5000035301_Pichia_terricola
10	OG0000010	YMR303C, YOL086C	augustus_masked-NODE_1_length_1348442_cov_15.7902_ID_2726-processed-gene-1.16-mRNA-1_1&gene=augustus_masked-NODE_1_length_1348442_cov_15.7902_ID_2726-processed-gene-1.16&CDS=1-1131, augustus_masked-NODE_1_length_1348442_cov_15.7902_ID_2726-processed-gene-6.91-mRNA-1_1&gene=augustus_masked-NODE_1_length_1348442_cov_15.7902_ID_2726-processed-gene-6.91&CDS=1-1119, augustus_masked-NODE_4_length_475427_cov_15.6432_ID_2663-processed-gene-3.106-mRNA-1_1&gene=augustus_masked-NODE_4_length_475427_cov_15.6432_ID_2663-processed-gene-3.106&CDS=1-1056, augustus_masked-NODE_50_length_78000_cov_17.1_ID_6454-processed-gene-0.44-mRNA-1_1&gene=augustus_masked-NODE_50_length_78000_cov_17.1_ID_6454-processed-gene-0.44&CDS=1-1062, snap_masked-NODE_29_length_134260_cov_32.1059_ID_4476-processed-gene-0.26-mRNA-1_1&gene=snap_masked-NODE_29_length_134260_cov_32.1059_ID_4476-processed-gene-0.26&CDS=1-1143
11	OG0000011	YAL005C, YJL034W, YLL024C	augustus_masked-NODE_1_length_1348442_cov_15.7902_ID_2726-processed-gene-3.30-mRNA-1_1&gene=augustus_masked-NODE_1_length_1348442_cov_15.7902_ID_2726-processed-gene-3.30&CDS=1-1935, augustus_masked-NODE_33_length_124450_cov_17.0632_ID_7542-processed-gene-0.92-mRNA-1_1&gene=augustus_masked-NODE_33_length_124450_cov_17.0632_ID_7542-processed-gene-0.92&CDS=1-2022, augustus_masked-NODE_60_length_60257_cov_26.8931_ID_8789-processed-gene-0.43-mRNA-1_1&gene=augustus_masked-NODE_60_length_60257_cov_26.8931_ID_8789-processed-gene-0.43&CDS=1-1935
12	OG0000012	YAL063C, YAL064C-A, YAR050W, YHR211W, YHR213W, YKR102W	
13	OG0000013	YBR015C	augustus_masked-NODE_26_length_141271_cov_17.1813_ID_4286-processed-gene-0.40-mRNA-1_1&gene=augustus_masked-NODE_26_length_141271_cov_17.1813_ID_4286-processed-gene-0.40&CDS=1-2325, augustus_masked-NODE_3_length_481115_cov_15.4763_ID_3968-processed-gene-1.50-mRNA-1_1&gene=augustus_masked-NODE_3_length_481115_cov_15.4763_ID_3968-processed-gene-1.50&CDS=1-2235, augustus_masked-NODE_8_length_275204_cov_14.4756_ID_3711-processed-gene-1.110-mRNA-1_1&gene=augustus_masked-NODE_8_length_275204_cov_14.4756_ID_3711-processed-gene-1.110&CDS=1-1767, genemark-NODE_43_length_91010_cov_17.1761_ID_6164-processed-gene-0.58-mRNA-1_1&gene=genemark-NODE_43_length_91010_cov_17.1761_ID_6164-processed-gene-0.58&CDS=1-2193, snap_masked-NODE_22_length_175399_cov_17.6135_ID_4084-processed-gene-0.36-mRNA-1_1&gene=snap_masked-NODE_22_length_175399_cov_17.6135_ID_4084-processed-gene-0.36&CDS=1-1725
14	OG0000014	YDR011W, YPL058C	augustus_masked-NODE_47_length_80505_cov_14.9272_ID_6111-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-NODE_47_length_80505_cov_14.9272_ID_6111-processed-gene-0.9&CDS=1-4494, augustus_masked-NODE_72_length_35744_cov_17.2742_ID_7895-processed-gene-0.22-mRNA-1_1&gene=augustus_masked-NODE_72_length_35744_cov_17.2742_ID_7895-processed-gene-0.22&CDS=1-4512, augustus_masked-NODE_94_length_12208_cov_32.3992_ID_9049-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-NODE_94_length_12208_cov_32.3992_ID_9049-processed-gene-0.12&CDS=1-4488, maker-NODE_13_length_217194_cov_15.3271_ID_4613-augustus-gene-1.117-mRNA-1_1&gene=maker-NODE_13_length_217194_cov_15.3271_ID_4613-augustus-gene-1.117&CDS=1-4494
15	OG0000015	YDR389W, YOR134W, YPL115C	augustus_masked-NODE_11_length_252831_cov_22.8798_ID_3225-processed-gene-1.178-mRNA-1_1&gene=augustus_masked-NODE_11_length_252831_cov_22.8798_ID_3225-processed-gene-1.178&CDS=1-2199, augustus_masked-NODE_5_length_348002_cov_16.5598_ID_11580-processed-gene-0.83-mRNA-1_1&gene=augustus_masked-NODE_5_length_348002_cov_16.5598_ID_11580-processed-gene-0.83&CDS=1-2853, snap_masked-NODE_6_length_345093_cov_18.5582_ID_5167-processed-gene-1.36-mRNA-1_1&gene=snap_masked-NODE_6_length_345093_cov_18.5582_ID_5167-processed-gene-1.36&CDS=1-3312
16	OG0000016	YEL063C, YNL268W, YNL270C, YOR348C	augustus_masked-NODE_20_length_185409_cov_13.3471_ID_6310-processed-gene-0.217-mRNA-1_1&gene=augustus_masked-NODE_20_length_185409_cov_13.3471_ID_6310-processed-gene-0.217&CDS=1-3342, maker-NODE_16_length_206739_cov_17.5261_ID_5492-snap-gene-0.69-mRNA-1_1&gene=maker-NODE_16_length_206739_cov_17.5261_ID_5492-snap-gene-0.69&CDS=1-5124
17	OG0000017	YKL220C, YLL051C, YNR060W, YOR381W, YOR384W	augustus_masked-NODE_28_length_135086_cov_16.4496_ID_5646-processed-gene-0.69-mRNA-1_1&gene=augustus_masked-NODE_28_length_135086_cov_16.4496_ID_5646-processed-gene-0.69&CDS=1-2103
18	OG0000018	YOL119C, YOR306C	augustus_masked-NODE_20_length_185409_cov_13.3471_ID_6310-processed-gene-0.227-mRNA-1_1&gene=augustus_masked-NODE_20_length_185409_cov_13.3471_ID_6310-processed-gene-0.227&CDS=1-1494, augustus_masked-NODE_2_length_601386_cov_16.6954_ID_7452-processed-gene-2.38-mRNA-1_1&gene=augustus_masked-NODE_2_length_601386_cov_16.6954_ID_7452-processed-gene-2.38&CDS=1-1413, augustus_masked-NODE_48_length_80279_cov_16.5054_ID_4794-processed-gene-0.27-mRNA-1_1&gene=augustus_masked-NODE_48_length_80279_cov_16.5054_ID_4794-processed-gene-0.27&CDS=1-1512, snap_masked-NODE_2_length_601386_cov_16.6954_ID_7452-processed-gene-2.124-mRNA-1_1&gene=snap_masked-NODE_2_length_601386_cov_16.6954_ID_7452-processed-gene-2.124&CDS=1-1464
19	OG0000019		augustus_masked-NODE_1_length_1348442_cov_15.7902_ID_2726-processed-gene-7.29-mRNA-1_1&gene=augustus_masked-NODE_1_length_1348442_cov_15.7902_ID_2726-processed-gene-7.29&CDS=1-1644, augustus_masked-NODE_88_length_14853_cov_27.6201_ID_14837-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-NODE_88_length_14853_cov_27.6201_ID_14837-processed-gene-0.7&CDS=1-2550, maker-NODE_123_length_3687_cov_35.853_ID_14663-snap-gene-0.4-mRNA-1_1&gene=maker-NODE_123_length_3687_cov_35.853_ID_14663-snap-gene-0.4&CDS=1-1728, maker-NODE_12_length_247577_cov_16.8422_ID_9877-augustus-gene-0.112-mRNA-1_1&gene=maker-NODE_12_length_247577_cov_16.8422_ID_9877-augustus-gene-0.112&CDS=1-3855, snap_masked-NODE_1_length_1348442_cov_15.7902_ID_2726-processed-gene-0.72-mRNA-1_1&gene=snap_masked-NODE_1_length_1348442_cov_15.7902_ID_2726-processed-gene-0.72&CDS=1-4983, snap_masked-NODE_84_length_20106_cov_16.5054_ID_8471-processed-gene-0.2-mRNA-1_1&gene=snap_masked-NODE_84_length_20106_cov_16.5054_ID_8471-processed-gene-0.2&CDS=1-2151
20	OG0000020	YAL030W, YLR093C, YOR327C	augustus_masked-NODE_5_length_348002_cov_16.5598_ID_11580-processed-gene-2.171-mRNA-1_1&gene=augustus_masked-NODE_5_length_348002_cov_16.5598_ID_11580-processed-gene-2.171&CDS=1-393, augustus_masked-NODE_8_length_275204_cov_14.4756_ID_3711-processed-gene-1.103-mRNA-1_1&gene=augustus_masked-NODE_8_length_275204_cov_14.4756_ID_3711-processed-gene-1.103&CDS=1-795
21	OG0000021	YBL017C, YIL173W, YJL222W, YNR065C	maker-NODE_2_length_601386_cov_16.6954_ID_7452-augustus-gene-4.50-mRNA-1_1&gene=maker-NODE_2_length_601386_cov_16.6954_ID_7452-augustus-gene-4.50&CDS=1-4554
22	OG0000022	YBL056W, YBR125C, YER089C	augustus_masked-NODE_14_length_212763_cov_20.3796_ID_11122-processed-gene-0.106-mRNA-1_1&gene=augustus_masked-NODE_14_length_212763_cov_20.3796_ID_11122-processed-gene-0.106&CDS=1-1197, augustus_masked-NODE_17_length_195790_cov_13.1745_ID_5918-processed-gene-0.152-mRNA-1_1&gene=augustus_masked-NODE_17_length_195790_cov_13.1745_ID_5918-processed-gene-0.152&CDS=1-1353
23	OG0000023	YBR238C, YGL107C	genemark-NODE_9_length_273278_cov_27.3782_ID_3385-processed-gene-0.41-mRNA-1_1&gene=genemark-NODE_9_length_273278_cov_27.3782_ID_3385-processed-gene-0.41&CDS=1-1911, maker-NODE_68_length_45245_cov_16.3411_ID_7344-snap-gene-0.51-mRNA-1_1&gene=maker-NODE_68_length_45245_cov_16.3411_ID_7344-snap-gene-0.51&CDS=1-3756, snap_masked-NODE_54_length_70998_cov_15.5163_ID_5435-processed-gene-0.86-mRNA-1_1&gene=snap_masked-NODE_54_length_70998_cov_15.5163_ID_5435-processed-gene-0.86&CDS=1-285
24	OG0000024	YCL024W, YDR507C, YKL101W	augustus_masked-NODE_16_length_206739_cov_17.5261_ID_5492-processed-gene-0.61-mRNA-1_1&gene=augustus_masked-NODE_16_length_206739_cov_17.5261_ID_5492-processed-gene-0.61&CDS=1-3852, augustus_masked-NODE_47_length_80505_cov_14.9272_ID_6111-processed-gene-0.31-mRNA-1_1&gene=augustus_masked-NODE_47_length_80505_cov_14.9272_ID_6111-processed-gene-0.31&CDS=1-3693
25	OG0000025	YCR065W, YIL131C, YNL068C	augustus_masked-NODE_51_length_77383_cov_16.4763_ID_4864-processed-gene-0.59-mRNA-1_1&gene=augustus_masked-NODE_51_length_77383_cov_16.4763_ID_4864-processed-gene-0.59&CDS=1-2223, augustus_masked-NODE_7_length_284069_cov_18.2518_ID_6949-processed-gene-1.47-mRNA-1_1&gene=augustus_masked-NODE_7_length_284069_cov_18.2518_ID_6949-processed-gene-1.47&CDS=1-1866
26	OG0000026	YDR146C, YLR131C	augustus_masked-NODE_23_length_150847_cov_29.6526_ID_4401-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-NODE_23_length_150847_cov_29.6526_ID_4401-processed-gene-0.14&CDS=1-2007, augustus_masked-NODE_28_length_135086_cov_16.4496_ID_5646-processed-gene-0.102-mRNA-1_1&gene=augustus_masked-NODE_28_length_135086_cov_16.4496_ID_5646-processed-gene-0.102&CDS=1-1662, genemark-NODE_47_length_80505_cov_14.9272_ID_6111-processed-gene-0.52-mRNA-1_1&gene=genemark-NODE_47_length_80505_cov_14.9272_ID_6111-processed-gene-0.52&CDS=1-2448
27	OG0000027	YDR216W, YJR127C, YML081W	augustus_masked-NODE_11_length_252831_cov_22.8798_ID_3225-processed-gene-1.190-mRNA-1_1&gene=augustus_masked-NODE_11_length_252831_cov_22.8798_ID_3225-processed-gene-1.190&CDS=1-3774, augustus_masked-NODE_12_length_247577_cov_16.8422_ID_9877-processed-gene-1.155-mRNA-1_1&gene=augustus_masked-NODE_12_length_247577_cov_16.8422_ID_9877-processed-gene-1.155&CDS=1-4392
28	OG0000028	YDR388W, YMR032W	augustus_masked-NODE_1_length_1348442_cov_15.7902_ID_2726-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-NODE_1_length_1348442_cov_15.7902_ID_2726-processed-gene-0.6&CDS=1-2040, augustus_masked-NODE_5_length_348002_cov_16.5598_ID_11580-processed-gene-0.104-mRNA-1_1&gene=augustus_masked-NODE_5_length_348002_cov_16.5598_ID_11580-processed-gene-0.104&CDS=1-1407, maker-NODE_32_length_126459_cov_15.3937_ID_4335-augustus-gene-0.2-mRNA-1_1&gene=maker-NODE_32_length_126459_cov_15.3937_ID_4335-augustus-gene-0.2&CDS=1-1077
29	OG0000029	YDR466W, YDR471W, YHR010W	augustus_masked-NODE_15_length_209250_cov_20.7183_ID_3273-processed-gene-1.135-mRNA-1_1&gene=augustus_masked-NODE_15_length_209250_cov_20.7183_ID_3273-processed-gene-1.135&CDS=1-3468, augustus_masked-NODE_1_length_1348442_cov_15.7902_ID_2726-processed-gene-12.81-mRNA-1_1&gene=augustus_masked-NODE_1_length_1348442_cov_15.7902_ID_2726-processed-gene-12.81&CDS=1-3978
30	OG0000030	YDR541C, YGL039W, YGL157W, YOL151W	augustus_masked-NODE_17_length_195790_cov_13.1745_ID_5918-processed-gene-0.144-mRNA-1_1&gene=augustus_masked-NODE_17_length_195790_cov_13.1745_ID_5918-processed-gene-0.144&CDS=1-1050
31	OG0000031	YER133W, YML016C	augustus_masked-NODE_31_length_132279_cov_18.5466_ID_6717-processed-gene-0.94-mRNA-1_1&gene=augustus_masked-NODE_31_length_132279_cov_18.5466_ID_6717-processed-gene-0.94&CDS=1-993, augustus_masked-NODE_48_length_80279_cov_16.5054_ID_4794-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-NODE_48_length_80279_cov_16.5054_ID_4794-processed-gene-0.23&CDS=1-2061, augustus_masked-NODE_6_length_345093_cov_18.5582_ID_5167-processed-gene-2.101-mRNA-1_1&gene=augustus_masked-NODE_6_length_345093_cov_18.5582_ID_5167-processed-gene-2.101&CDS=1-1770
32	OG0000032	YFL021W, YJL110C, YKR034W	augustus_masked-NODE_5_length_348002_cov_16.5598_ID_11580-processed-gene-1.108-mRNA-1_1&gene=augustus_masked-NODE_5_length_348002_cov_16.5598_ID_11580-processed-gene-1.108&CDS=1-2484, augustus_masked-NODE_79_length_24930_cov_17.317_ID_8017-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-NODE_79_length_24930_cov_17.317_ID_8017-processed-gene-0.14&CDS=1-2265
