	OrthologID	Saccharomyces_cerevisiae	yHMPu5000035045_Barnettozyma_hawaiiensis
10	OG0000010	YER013W, YGL120C, YKR086W, YNR011C	augustus_masked-flattened_line_24-processed-gene-1.251-mRNA-1_1&gene=augustus_masked-flattened_line_24-processed-gene-1.251&CDS=1-4101, maker-flattened_line_32-augustus-gene-0.2-mRNA-1_1&gene=maker-flattened_line_32-augustus-gene-0.2&CDS=1-3885, snap_masked-flattened_line_42-processed-gene-0.201-mRNA-1_1&gene=snap_masked-flattened_line_42-processed-gene-0.201&CDS=1-3771, snap_masked-flattened_line_6-processed-gene-1.78-mRNA-1_1&gene=snap_masked-flattened_line_6-processed-gene-1.78&CDS=1-2178
11	OG0000011	YAR019C, YDR523C, YHR102W	genemark-flattened_line_2-processed-gene-3.130-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-3.130&CDS=1-2616, snap_masked-flattened_line_0-processed-gene-4.116-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-4.116&CDS=1-1584, snap_masked-flattened_line_2-processed-gene-1.72-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-1.72&CDS=1-3066, snap_masked-flattened_line_8-processed-gene-2.218-mRNA-1_1&gene=snap_masked-flattened_line_8-processed-gene-2.218&CDS=1-1365
12	OG0000012	YCL024W, YDR477W, YDR507C, YKL101W	maker-flattened_line_30-augustus-gene-1.155-mRNA-1_1&gene=maker-flattened_line_30-augustus-gene-1.155&CDS=1-3021, snap_masked-flattened_line_2-processed-gene-2.64-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-2.64&CDS=1-3468, snap_masked-flattened_line_48-processed-gene-0.154-mRNA-1_1&gene=snap_masked-flattened_line_48-processed-gene-0.154&CDS=1-3438
13	OG0000013	YDL138W, YDL194W, YDR536W	maker-flattened_line_28-augustus-gene-0.56-mRNA-1_1&gene=maker-flattened_line_28-augustus-gene-0.56&CDS=1-2670, snap_masked-flattened_line_20-processed-gene-1.64-mRNA-1_1&gene=snap_masked-flattened_line_20-processed-gene-1.64&CDS=1-1626, snap_masked-flattened_line_28-processed-gene-1.169-mRNA-1_1&gene=snap_masked-flattened_line_28-processed-gene-1.169&CDS=1-1659, snap_masked-flattened_line_84-processed-gene-0.97-mRNA-1_1&gene=snap_masked-flattened_line_84-processed-gene-0.97&CDS=1-1923
14	OG0000014	YDR321W, YLR155C, YLR157C, YLR158C, YLR160C	snap_masked-flattened_line_60-processed-gene-0.142-mRNA-1_1&gene=snap_masked-flattened_line_60-processed-gene-0.142&CDS=1-1101, snap_masked-flattened_line_62-processed-gene-0.187-mRNA-1_1&gene=snap_masked-flattened_line_62-processed-gene-0.187&CDS=1-1194
15	OG0000015	YEL063C, YNL268W, YOR348C	maker-flattened_line_12-augustus-gene-2.1-mRNA-1_1&gene=maker-flattened_line_12-augustus-gene-2.1&CDS=1-3021, maker-flattened_line_76-augustus-gene-0.157-mRNA-1_1&gene=maker-flattened_line_76-augustus-gene-0.157&CDS=1-2901, snap_masked-flattened_line_2-processed-gene-3.27-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-3.27&CDS=1-1656, snap_masked-flattened_line_2-processed-gene-3.5-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-3.5&CDS=1-1668
16	OG0000016	YER055C, YOL119C, YOR306C	augustus_masked-flattened_line_2-processed-gene-4.115-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-4.115&CDS=1-2271, snap_masked-flattened_line_24-processed-gene-0.71-mRNA-1_1&gene=snap_masked-flattened_line_24-processed-gene-0.71&CDS=1-1422, snap_masked-flattened_line_4-processed-gene-3.118-mRNA-1_1&gene=snap_masked-flattened_line_4-processed-gene-3.118&CDS=1-1506, snap_masked-flattened_line_8-processed-gene-1.59-mRNA-1_1&gene=snap_masked-flattened_line_8-processed-gene-1.59&CDS=1-1602
17	OG0000017	YGL257C, YIL014W, YNR059W	maker-flattened_line_0-snap-gene-5.119-mRNA-1_1&gene=maker-flattened_line_0-snap-gene-5.119&CDS=1-5412, snap_masked-flattened_line_18-processed-gene-1.188-mRNA-1_1&gene=snap_masked-flattened_line_18-processed-gene-1.188&CDS=1-2319, snap_masked-flattened_line_40-processed-gene-0.180-mRNA-1_1&gene=snap_masked-flattened_line_40-processed-gene-0.180&CDS=1-2175, snap_masked-flattened_line_50-processed-gene-0.142-mRNA-1_1&gene=snap_masked-flattened_line_50-processed-gene-0.142&CDS=1-2202
18	OG0000018	YGR197C, YJR015W	genemark-flattened_line_38-processed-gene-0.74-mRNA-1_1&gene=genemark-flattened_line_38-processed-gene-0.74&CDS=1-1551, snap_masked-flattened_line_38-processed-gene-0.126-mRNA-1_1&gene=snap_masked-flattened_line_38-processed-gene-0.126&CDS=1-1431, snap_masked-flattened_line_38-processed-gene-0.145-mRNA-1_1&gene=snap_masked-flattened_line_38-processed-gene-0.145&CDS=1-1662, snap_masked-flattened_line_38-processed-gene-0.193-mRNA-1_1&gene=snap_masked-flattened_line_38-processed-gene-0.193&CDS=1-1617, snap_masked-flattened_line_72-processed-gene-0.44-mRNA-1_1&gene=snap_masked-flattened_line_72-processed-gene-0.44&CDS=1-1695
19	OG0000019	YIL107C, YJL155C, YOL136C	snap_masked-flattened_line_24-processed-gene-1.148-mRNA-1_1&gene=snap_masked-flattened_line_24-processed-gene-1.148&CDS=1-1890, snap_masked-flattened_line_52-processed-gene-0.121-mRNA-1_1&gene=snap_masked-flattened_line_52-processed-gene-0.121&CDS=1-1359, snap_masked-flattened_line_60-processed-gene-0.90-mRNA-1_1&gene=snap_masked-flattened_line_60-processed-gene-0.90&CDS=1-1302, snap_masked-flattened_line_66-processed-gene-0.69-mRNA-1_1&gene=snap_masked-flattened_line_66-processed-gene-0.69&CDS=1-1161
20	OG0000020	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W	snap_masked-flattened_line_0-processed-gene-5.134-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-5.134&CDS=1-1368
21	OG0000021	YBL017C, YIL173W, YJL222W, YNR065C	maker-flattened_line_38-augustus-gene-0.112-mRNA-1_1&gene=maker-flattened_line_38-augustus-gene-0.112&CDS=1-5037, snap_masked-flattened_line_44-processed-gene-0.144-mRNA-1_1&gene=snap_masked-flattened_line_44-processed-gene-0.144&CDS=1-2757
22	OG0000022	YCL037C, YDL051W, YDR515W	augustus_masked-flattened_line_38-processed-gene-0.244-mRNA-1_1&gene=augustus_masked-flattened_line_38-processed-gene-0.244&CDS=1-1596, snap_masked-flattened_line_10-processed-gene-1.67-mRNA-1_1&gene=snap_masked-flattened_line_10-processed-gene-1.67&CDS=1-1461, snap_masked-flattened_line_60-processed-gene-0.141-mRNA-1_1&gene=snap_masked-flattened_line_60-processed-gene-0.141&CDS=1-765
23	OG0000023	YCR037C, YJL198W, YNR013C	genemark-flattened_line_62-processed-gene-0.19-mRNA-1_1&gene=genemark-flattened_line_62-processed-gene-0.19&CDS=1-3219, snap_masked-flattened_line_0-processed-gene-7.63-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-7.63&CDS=1-2637, snap_masked-flattened_line_24-processed-gene-1.165-mRNA-1_1&gene=snap_masked-flattened_line_24-processed-gene-1.165&CDS=1-2460
24	OG0000024	YDL025C, YNL183C, YOR267C	maker-flattened_line_0-snap-gene-2.5-mRNA-1_1&gene=maker-flattened_line_0-snap-gene-2.5&CDS=1-1746, snap_masked-flattened_line_0-processed-gene-5.169-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-5.169&CDS=1-2280, snap_masked-flattened_line_64-processed-gene-0.122-mRNA-1_1&gene=snap_masked-flattened_line_64-processed-gene-0.122&CDS=1-1386
25	OG0000025	YDL132W, YGR003W, YJL047C	augustus_masked-flattened_line_22-processed-gene-1.101-mRNA-1_1&gene=augustus_masked-flattened_line_22-processed-gene-1.101&CDS=1-2166, snap_masked-flattened_line_14-processed-gene-1.164-mRNA-1_1&gene=snap_masked-flattened_line_14-processed-gene-1.164&CDS=1-2313, snap_masked-flattened_line_50-processed-gene-0.123-mRNA-1_1&gene=snap_masked-flattened_line_50-processed-gene-0.123&CDS=1-2316
26	OG0000026	YDL230W, YER075C, YOR208W	snap_masked-flattened_line_0-processed-gene-3.93-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-3.93&CDS=1-876, snap_masked-flattened_line_8-processed-gene-1.68-mRNA-1_1&gene=snap_masked-flattened_line_8-processed-gene-1.68&CDS=1-2289, snap_masked-flattened_line_94-processed-gene-0.18-mRNA-1_1&gene=snap_masked-flattened_line_94-processed-gene-0.18&CDS=1-2277
27	OG0000027	YDR011W, YOR153W	maker-flattened_line_22-snap-gene-1.76-mRNA-1_1&gene=maker-flattened_line_22-snap-gene-1.76&CDS=1-9114, snap_masked-flattened_line_16-processed-gene-0.69-mRNA-1_1&gene=snap_masked-flattened_line_16-processed-gene-0.69&CDS=1-4434, snap_masked-flattened_line_36-processed-gene-0.104-mRNA-1_1&gene=snap_masked-flattened_line_36-processed-gene-0.104&CDS=1-4539, snap_masked-flattened_line_72-processed-gene-0.13-mRNA-1_1&gene=snap_masked-flattened_line_72-processed-gene-0.13&CDS=1-4512
28	OG0000028	YDR242W	augustus_masked-flattened_line_30-processed-gene-1.45-mRNA-1_1&gene=augustus_masked-flattened_line_30-processed-gene-1.45&CDS=1-1734, augustus_masked-flattened_line_42-processed-gene-0.169-mRNA-1_1&gene=augustus_masked-flattened_line_42-processed-gene-0.169&CDS=1-1974, snap_masked-flattened_line_0-processed-gene-0.109-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-0.109&CDS=1-1617, snap_masked-flattened_line_0-processed-gene-3.86-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-3.86&CDS=1-1650, snap_masked-flattened_line_36-processed-gene-1.138-mRNA-1_1&gene=snap_masked-flattened_line_36-processed-gene-1.138&CDS=1-1617
29	OG0000029	YDR338C, YHR032W	genemark-flattened_line_18-processed-gene-1.301-mRNA-1_1&gene=genemark-flattened_line_18-processed-gene-1.301&CDS=1-1536, snap_masked-flattened_line_2-processed-gene-3.32-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-3.32&CDS=1-1839, snap_masked-flattened_line_26-processed-gene-1.64-mRNA-1_1&gene=snap_masked-flattened_line_26-processed-gene-1.64&CDS=1-1911, snap_masked-flattened_line_30-processed-gene-0.121-mRNA-1_1&gene=snap_masked-flattened_line_30-processed-gene-0.121&CDS=1-1755
30	OG0000030	YER047C, YPL074W, YPR173C	snap_masked-flattened_line_48-processed-gene-0.171-mRNA-1_1&gene=snap_masked-flattened_line_48-processed-gene-0.171&CDS=1-1284, snap_masked-flattened_line_62-processed-gene-0.164-mRNA-1_1&gene=snap_masked-flattened_line_62-processed-gene-0.164&CDS=1-1989, snap_masked-flattened_line_92-processed-gene-0.23-mRNA-1_1&gene=snap_masked-flattened_line_92-processed-gene-0.23&CDS=1-2406
31	OG0000031	YER185W, YGR213C, YLR046C	augustus_masked-flattened_line_12-processed-gene-2.128-mRNA-1_1&gene=augustus_masked-flattened_line_12-processed-gene-2.128&CDS=1-987, augustus_masked-flattened_line_12-processed-gene-2.129-mRNA-1_1&gene=augustus_masked-flattened_line_12-processed-gene-2.129&CDS=1-1026, augustus_masked-flattened_line_32-processed-gene-1.94-mRNA-1_1&gene=augustus_masked-flattened_line_32-processed-gene-1.94&CDS=1-990
32	OG0000032	YGL227W, YKL124W, YMR171C	snap_masked-flattened_line_16-processed-gene-1.278-mRNA-1_1&gene=snap_masked-flattened_line_16-processed-gene-1.278&CDS=1-1659, snap_masked-flattened_line_4-processed-gene-3.200-mRNA-1_1&gene=snap_masked-flattened_line_4-processed-gene-3.200&CDS=1-1377, snap_masked-flattened_line_8-processed-gene-0.97-mRNA-1_1&gene=snap_masked-flattened_line_8-processed-gene-0.97&CDS=1-1791
33	OG0000033	YGR007W	augustus_masked-flattened_line_147-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-flattened_line_147-processed-gene-0.5&CDS=1-3159, augustus_masked-flattened_line_42-processed-gene-0.139-mRNA-1_1&gene=augustus_masked-flattened_line_42-processed-gene-0.139&CDS=1-1248, augustus_masked-flattened_line_42-processed-gene-0.140-mRNA-1_1&gene=augustus_masked-flattened_line_42-processed-gene-0.140&CDS=1-3141, snap_masked-flattened_line_28-processed-gene-0.100-mRNA-1_1&gene=snap_masked-flattened_line_28-processed-gene-0.100&CDS=1-2190, snap_masked-flattened_line_42-processed-gene-0.222-mRNA-1_1&gene=snap_masked-flattened_line_42-processed-gene-0.222&CDS=1-1212
34	OG0000034	YGR249W, YHR206W, YOR140W	genemark-flattened_line_52-processed-gene-0.223-mRNA-1_1&gene=genemark-flattened_line_52-processed-gene-0.223&CDS=1-2250, snap_masked-flattened_line_44-processed-gene-0.125-mRNA-1_1&gene=snap_masked-flattened_line_44-processed-gene-0.125&CDS=1-1878, snap_masked-flattened_line_96-processed-gene-0.62-mRNA-1_1&gene=snap_masked-flattened_line_96-processed-gene-0.62&CDS=1-1431
35	OG0000035	YHR031C, YKL149C, YML061C	maker-flattened_line_18-augustus-gene-1.221-mRNA-1_1&gene=maker-flattened_line_18-augustus-gene-1.221&CDS=1-3015, snap_masked-flattened_line_18-processed-gene-0.122-mRNA-1_1&gene=snap_masked-flattened_line_18-processed-gene-0.122&CDS=1-2661, snap_masked-flattened_line_48-processed-gene-0.101-mRNA-1_1&gene=snap_masked-flattened_line_48-processed-gene-0.101&CDS=1-2142
36	OG0000036	YHR050W, YLR034C, YOL122C	snap_masked-flattened_line_0-processed-gene-0.145-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-0.145&CDS=1-1494, snap_masked-flattened_line_2-processed-gene-2.71-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-2.71&CDS=1-1458, snap_masked-flattened_line_56-processed-gene-0.137-mRNA-1_1&gene=snap_masked-flattened_line_56-processed-gene-0.137&CDS=1-1773
37	OG0000037	YJL099W, YKR027W, YMR237W, YOR299W	genemark-flattened_line_2-processed-gene-1.122-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-1.122&CDS=1-2025, snap_masked-flattened_line_22-processed-gene-1.67-mRNA-1_1&gene=snap_masked-flattened_line_22-processed-gene-1.67&CDS=1-1938
38	OG0000038	YKL217W	snap_masked-flattened_line_20-processed-gene-0.87-mRNA-1_1&gene=snap_masked-flattened_line_20-processed-gene-0.87&CDS=1-1527, snap_masked-flattened_line_26-processed-gene-0.121-mRNA-1_1&gene=snap_masked-flattened_line_26-processed-gene-0.121&CDS=1-1620, snap_masked-flattened_line_36-processed-gene-0.139-mRNA-1_1&gene=snap_masked-flattened_line_36-processed-gene-0.139&CDS=1-1518, snap_masked-flattened_line_38-processed-gene-0.118-mRNA-1_1&gene=snap_masked-flattened_line_38-processed-gene-0.118&CDS=1-1485, snap_masked-flattened_line_80-processed-gene-0.42-mRNA-1_1&gene=snap_masked-flattened_line_80-processed-gene-0.42&CDS=1-1632
39	OG0000039	YLR214W	augustus_masked-flattened_line_26-processed-gene-1.73-mRNA-1_1&gene=augustus_masked-flattened_line_26-processed-gene-1.73&CDS=1-2022, maker-flattened_line_100-augustus-gene-0.0-mRNA-1_1&gene=maker-flattened_line_100-augustus-gene-0.0&CDS=1-3504, maker-flattened_line_118-augustus-gene-0.34-mRNA-1_1&gene=maker-flattened_line_118-augustus-gene-0.34&CDS=1-2433, snap_masked-flattened_line_30-processed-gene-1.124-mRNA-1_1&gene=snap_masked-flattened_line_30-processed-gene-1.124&CDS=1-2070, snap_masked-flattened_line_6-processed-gene-2.141-mRNA-1_1&gene=snap_masked-flattened_line_6-processed-gene-2.141&CDS=1-2082
40	OG0000040	YAL007C, YDL018C, YOR016C	genemark-flattened_line_90-processed-gene-0.16-mRNA-1_1&gene=genemark-flattened_line_90-processed-gene-0.16&CDS=1-648, snap_masked-flattened_line_40-processed-gene-0.221-mRNA-1_1&gene=snap_masked-flattened_line_40-processed-gene-0.221&CDS=1-615
41	OG0000041	YBL063W, YEL061C	genemark-flattened_line_0-processed-gene-8.58-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-8.58&CDS=1-4473, snap_masked-flattened_line_0-processed-gene-1.21-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-1.21&CDS=1-3345, snap_masked-flattened_line_0-processed-gene-7.46-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-7.46&CDS=1-1464
42	OG0000042	YBL089W, YER119C, YIL088C	snap_masked-flattened_line_28-processed-gene-0.90-mRNA-1_1&gene=snap_masked-flattened_line_28-processed-gene-0.90&CDS=1-1248, snap_masked-flattened_line_46-processed-gene-0.192-mRNA-1_1&gene=snap_masked-flattened_line_46-processed-gene-0.192&CDS=1-1551
43	OG0000043	YBR028C, YHR205W	genemark-flattened_line_96-processed-gene-0.101-mRNA-1_1&gene=genemark-flattened_line_96-processed-gene-0.101&CDS=1-2235, snap_masked-flattened_line_100-processed-gene-0.71-mRNA-1_1&gene=snap_masked-flattened_line_100-processed-gene-0.71&CDS=1-1362, snap_masked-flattened_line_30-processed-gene-1.147-mRNA-1_1&gene=snap_masked-flattened_line_30-processed-gene-1.147&CDS=1-1269
44	OG0000044	YBR245C, YFR038W	augustus_masked-flattened_line_6-processed-gene-2.19-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-2.19&CDS=1-5631, maker-flattened_line_40-augustus-gene-0.228-mRNA-1_1&gene=maker-flattened_line_40-augustus-gene-0.228&CDS=1-2619, snap_masked-flattened_line_54-processed-gene-0.148-mRNA-1_1&gene=snap_masked-flattened_line_54-processed-gene-0.148&CDS=1-3123
45	OG0000045	YBR293W, YMR088C	snap_masked-flattened_line_30-processed-gene-1.136-mRNA-1_1&gene=snap_masked-flattened_line_30-processed-gene-1.136&CDS=1-1764, snap_masked-flattened_line_4-processed-gene-3.218-mRNA-1_1&gene=snap_masked-flattened_line_4-processed-gene-3.218&CDS=1-1776, snap_masked-flattened_line_44-processed-gene-0.137-mRNA-1_1&gene=snap_masked-flattened_line_44-processed-gene-0.137&CDS=1-1632
46	OG0000046	YBR297W, YFL052W, YGR288W, YPR196W	snap_masked-flattened_line_28-processed-gene-1.198-mRNA-1_1&gene=snap_masked-flattened_line_28-processed-gene-1.198&CDS=1-2124
