	OrthologID	Metschnikowia_bowlesiae	Saccharomyces_cerevisiae
10	OG0000010	augustus_masked-bow-b_s187-processed-gene-0.31-mRNA-1_1&gene=augustus_masked-bow-b_s187-processed-gene-0.31&CDS=1-1086, augustus_masked-bow-b_s291-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-bow-b_s291-processed-gene-0.6&CDS=1-1080, augustus_masked-bow-b_s291-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-bow-b_s291-processed-gene-0.8&CDS=1-1023, augustus_masked-bow-b_s501-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-bow-b_s501-processed-gene-0.8&CDS=1-1083	YCR105W, YMR318C
11	OG0000011	augustus_masked-bow-b_s373-processed-gene-4.120-mRNA-1_1&gene=augustus_masked-bow-b_s373-processed-gene-4.120&CDS=1-1389	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W
12	OG0000012	augustus_masked-bow-b_s41-processed-gene-0.46-mRNA-1_1&gene=augustus_masked-bow-b_s41-processed-gene-0.46&CDS=1-1143	YJL158C, YJL159W, YJL160C, YKL163W, YKL164C
13	OG0000013	augustus_masked-bow-b_s607-processed-gene-0.87-mRNA-1_1&gene=augustus_masked-bow-b_s607-processed-gene-0.87&CDS=1-2652, snap_masked-bow-b_s431-processed-gene-1.31-mRNA-1_1&gene=snap_masked-bow-b_s431-processed-gene-1.31&CDS=1-837	YDR253C, YGR067C, YMR182C, YPL038W
14	OG0000014	augustus_masked-bow-b_s488-processed-gene-0.64-mRNA-1_1&gene=augustus_masked-bow-b_s488-processed-gene-0.64&CDS=1-2268, augustus_masked-bow-b_s509-processed-gene-0.84-mRNA-1_1&gene=augustus_masked-bow-b_s509-processed-gene-0.84&CDS=1-2268, augustus_masked-bow-b_s614-processed-gene-0.72-mRNA-1_1&gene=augustus_masked-bow-b_s614-processed-gene-0.72&CDS=1-2220, augustus_masked-bow-b_s76-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-bow-b_s76-processed-gene-0.24&CDS=1-2622	YJR061W, YKL201C
15	OG0000015	augustus_masked-bow-b_s568-processed-gene-0.91-mRNA-1_1&gene=augustus_masked-bow-b_s568-processed-gene-0.91&CDS=1-453	YBR067C, YDR542W, YER011W, YIL011W, YOR010C
16	OG0000016		YAL063C, YAL064C-A, YAR050W, YHR211W, YHR213W, YKR102W
17	OG0000017	augustus_masked-bow-b_s118-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-bow-b_s118-processed-gene-0.12&CDS=1-5622, augustus_masked-bow-b_s223-processed-gene-1.52-mRNA-1_1&gene=augustus_masked-bow-b_s223-processed-gene-1.52&CDS=1-2148, augustus_masked-bow-b_s282-processed-gene-1.140-mRNA-1_1&gene=augustus_masked-bow-b_s282-processed-gene-1.140&CDS=1-2199, genemark-bow-b_s373-processed-gene-2.55-mRNA-1_1&gene=genemark-bow-b_s373-processed-gene-2.55&CDS=1-2247	YMR287C
18	OG0000018	augustus_masked-bow-b_s176-processed-gene-0.27-mRNA-1_1&gene=augustus_masked-bow-b_s176-processed-gene-0.27&CDS=1-1665, augustus_masked-bow-b_s464-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-bow-b_s464-processed-gene-0.12&CDS=1-1719	YDR342C, YDR343C, YHR092C
19	OG0000019	augustus_masked-bow-b_s223-processed-gene-3.28-mRNA-1_1&gene=augustus_masked-bow-b_s223-processed-gene-3.28&CDS=1-3228, augustus_masked-bow-b_s358-processed-gene-0.37-mRNA-1_1&gene=augustus_masked-bow-b_s358-processed-gene-0.37&CDS=1-2721, augustus_masked-bow-b_s639-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-bow-b_s639-processed-gene-0.9&CDS=1-2748, genemark-bow-b_s491-processed-gene-0.168-mRNA-1_1&gene=genemark-bow-b_s491-processed-gene-0.168&CDS=1-2502, maker-bow-b_s292-augustus-gene-1.240-mRNA-1_1&gene=maker-bow-b_s292-augustus-gene-1.240&CDS=1-7155	
20	OG0000020	augustus_masked-bow-b_s26-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-bow-b_s26-processed-gene-0.4&CDS=1-456, maker-bow-b_s512-augustus-gene-0.4-mRNA-1_1&gene=maker-bow-b_s512-augustus-gene-0.4&CDS=1-1170	YEL066W, YOR283W, YPR193C
21	OG0000021	augustus_masked-bow-b_s26-processed-gene-2.119-mRNA-1_1&gene=augustus_masked-bow-b_s26-processed-gene-2.119&CDS=1-1119, augustus_masked-bow-b_s373-processed-gene-2.88-mRNA-1_1&gene=augustus_masked-bow-b_s373-processed-gene-2.88&CDS=1-1560	YER045C, YIL036W, YNL167C
22	OG0000022	augustus_masked-bow-b_s431-processed-gene-1.134-mRNA-1_1&gene=augustus_masked-bow-b_s431-processed-gene-1.134&CDS=1-408, augustus_masked-bow-b_s509-processed-gene-1.34-mRNA-1_1&gene=augustus_masked-bow-b_s509-processed-gene-1.34&CDS=1-408, augustus_masked-bow-b_s617-processed-gene-0.28-mRNA-1_1&gene=augustus_masked-bow-b_s617-processed-gene-0.28&CDS=1-408	YBR010W, YNL031C
23	OG0000023	maker-bow-b_s512-snap-gene-0.128-mRNA-1_1&gene=maker-bow-b_s512-snap-gene-0.128&CDS=1-1677	YBR297W, YFL052W, YGR288W, YPR196W
24	OG0000024	augustus_masked-bow-b_s550-processed-gene-0.58-mRNA-1_1&gene=augustus_masked-bow-b_s550-processed-gene-0.58&CDS=1-4521	YBL017C, YIL173W, YJL222W, YNR065C
25	OG0000025	augustus_masked-bow-b_C20893-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-bow-b_C20893-processed-gene-0.1&CDS=1-276, augustus_masked-bow-b_s278-processed-gene-1.133-mRNA-1_1&gene=augustus_masked-bow-b_s278-processed-gene-1.133&CDS=1-2553, augustus_masked-bow-b_s538-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-bow-b_s538-processed-gene-0.0&CDS=1-987	YLR032W
26	OG0000026	augustus_masked-bow-b_s509-processed-gene-1.58-mRNA-1_1&gene=augustus_masked-bow-b_s509-processed-gene-1.58&CDS=1-1296, snap_masked-bow-b_C21981-processed-gene-0.0-mRNA-1_1&gene=snap_masked-bow-b_C21981-processed-gene-0.0&CDS=1-183, snap_masked-bow-b_s497-processed-gene-0.7-mRNA-1_1&gene=snap_masked-bow-b_s497-processed-gene-0.7&CDS=1-474	YOL041C
27	OG0000027	augustus_masked-bow-b_C22869-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-bow-b_C22869-processed-gene-0.0&CDS=1-393, augustus_masked-bow-b_s126-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-bow-b_s126-processed-gene-0.16&CDS=1-225, augustus_masked-bow-b_s282-processed-gene-1.145-mRNA-1_1&gene=augustus_masked-bow-b_s282-processed-gene-1.145&CDS=1-498	YML055W
28	OG0000028	augustus_masked-bow-b_s120-processed-gene-1.62-mRNA-1_1&gene=augustus_masked-bow-b_s120-processed-gene-1.62&CDS=1-1095, augustus_masked-bow-b_s491-processed-gene-0.92-mRNA-1_1&gene=augustus_masked-bow-b_s491-processed-gene-0.92&CDS=1-1011	YGL185C, YNL274C
29	OG0000029	augustus_masked-bow-b_s146-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-bow-b_s146-processed-gene-0.24&CDS=1-1314, augustus_masked-bow-b_s511-processed-gene-0.65-mRNA-1_1&gene=augustus_masked-bow-b_s511-processed-gene-0.65&CDS=1-1293, augustus_masked-bow-b_s568-processed-gene-0.58-mRNA-1_1&gene=augustus_masked-bow-b_s568-processed-gene-0.58&CDS=1-1275, augustus_masked-bow-b_s96-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-bow-b_s96-processed-gene-0.2&CDS=1-1371	
30	OG0000030	augustus_masked-bow-b_s150-processed-gene-0.33-mRNA-1_1&gene=augustus_masked-bow-b_s150-processed-gene-0.33&CDS=1-1359, augustus_masked-bow-b_s278-processed-gene-1.152-mRNA-1_1&gene=augustus_masked-bow-b_s278-processed-gene-1.152&CDS=1-1338	YKL046C, YMR238W
31	OG0000031	genemark-bow-b_s159-processed-gene-0.249-mRNA-1_1&gene=genemark-bow-b_s159-processed-gene-0.249&CDS=1-1326, maker-bow-b_s373-snap-gene-0.0-mRNA-1_1&gene=maker-bow-b_s373-snap-gene-0.0&CDS=1-1455	YBR239C, YJL103C
32	OG0000032	augustus_masked-bow-b_s167-processed-gene-0.161-mRNA-1_1&gene=augustus_masked-bow-b_s167-processed-gene-0.161&CDS=1-996	YGR192C, YJL052W, YJR009C
33	OG0000033	maker-bow-b_s173-snap-gene-0.54-mRNA-1_1&gene=maker-bow-b_s173-snap-gene-0.54&CDS=1-6144	YOL055C, YPL258C, YPR121W
34	OG0000034	augustus_masked-bow-b_s181-processed-gene-0.42-mRNA-1_1&gene=augustus_masked-bow-b_s181-processed-gene-0.42&CDS=1-2478, augustus_masked-bow-b_s373-processed-gene-2.73-mRNA-1_1&gene=augustus_masked-bow-b_s373-processed-gene-2.73&CDS=1-2244	YAR035W, YER024W
35	OG0000035	augustus_masked-bow-b_s189-processed-gene-0.86-mRNA-1_1&gene=augustus_masked-bow-b_s189-processed-gene-0.86&CDS=1-969, augustus_masked-bow-b_s190-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-bow-b_s190-processed-gene-0.11&CDS=1-969	YBR118W, YPR080W
36	OG0000036	augustus_masked-bow-b_s200-processed-gene-0.51-mRNA-1_1&gene=augustus_masked-bow-b_s200-processed-gene-0.51&CDS=1-1746, augustus_masked-bow-b_s530-processed-gene-1.154-mRNA-1_1&gene=augustus_masked-bow-b_s530-processed-gene-1.154&CDS=1-4143, augustus_masked-bow-b_s625-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-bow-b_s625-processed-gene-0.23&CDS=1-1821	YAL048C
37	OG0000037	augustus_masked-bow-b_s22-processed-gene-0.43-mRNA-1_1&gene=augustus_masked-bow-b_s22-processed-gene-0.43&CDS=1-2874, augustus_masked-bow-b_s618-processed-gene-0.61-mRNA-1_1&gene=augustus_masked-bow-b_s618-processed-gene-0.61&CDS=1-2622	YFL047W, YHR182W
38	OG0000038	snap_masked-bow-b_s222-processed-gene-1.41-mRNA-1_1&gene=snap_masked-bow-b_s222-processed-gene-1.41&CDS=1-198, snap_masked-bow-b_s292-processed-gene-0.76-mRNA-1_1&gene=snap_masked-bow-b_s292-processed-gene-0.76&CDS=1-192	YOL077W-A, YOR020W-A
39	OG0000039	augustus_masked-bow-b_s223-processed-gene-1.54-mRNA-1_1&gene=augustus_masked-bow-b_s223-processed-gene-1.54&CDS=1-2109, augustus_masked-bow-b_s90-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-bow-b_s90-processed-gene-0.23&CDS=1-2121, maker-bow-b_s223-snap-gene-1.0-mRNA-1_1&gene=maker-bow-b_s223-snap-gene-1.0&CDS=1-2139	YGL205W
40	OG0000040	augustus_masked-bow-b_s347-processed-gene-0.49-mRNA-1_1&gene=augustus_masked-bow-b_s347-processed-gene-0.49&CDS=1-1674, augustus_masked-bow-b_s470-processed-gene-0.76-mRNA-1_1&gene=augustus_masked-bow-b_s470-processed-gene-0.76&CDS=1-1635, snap_masked-bow-b_s223-processed-gene-3.149-mRNA-1_1&gene=snap_masked-bow-b_s223-processed-gene-3.149&CDS=1-2304	YOR080W
41	OG0000041	augustus_masked-bow-b_s28-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-bow-b_s28-processed-gene-0.3&CDS=1-492, snap_masked-bow-b_s298-processed-gene-0.62-mRNA-1_1&gene=snap_masked-bow-b_s298-processed-gene-0.62&CDS=1-492, snap_masked-bow-b_s327-processed-gene-0.66-mRNA-1_1&gene=snap_masked-bow-b_s327-processed-gene-0.66&CDS=1-492	YPR017C
42	OG0000042	augustus_masked-bow-b_s283-processed-gene-0.26-mRNA-1_1&gene=augustus_masked-bow-b_s283-processed-gene-0.26&CDS=1-1230, snap_masked-bow-b_s407-processed-gene-0.31-mRNA-1_1&gene=snap_masked-bow-b_s407-processed-gene-0.31&CDS=1-1275	YBR078W, YDR055W
43	OG0000043	augustus_masked-bow-b_s292-processed-gene-0.47-mRNA-1_1&gene=augustus_masked-bow-b_s292-processed-gene-0.47&CDS=1-732, augustus_masked-bow-b_s54-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-bow-b_s54-processed-gene-0.1&CDS=1-723	YGL076C, YPL198W
44	OG0000044	augustus_masked-bow-b_s292-processed-gene-1.138-mRNA-1_1&gene=augustus_masked-bow-b_s292-processed-gene-1.138&CDS=1-993	YLL062C, YMR321C, YPL273W
45	OG0000045	augustus_masked-bow-b_s314-processed-gene-0.63-mRNA-1_1&gene=augustus_masked-bow-b_s314-processed-gene-0.63&CDS=1-1671	YDR144C, YLR120C, YLR121C
46	OG0000046	genemark-bow-b_s405-processed-gene-0.9-mRNA-1_1&gene=genemark-bow-b_s405-processed-gene-0.9&CDS=1-774, snap_masked-bow-b_s491-processed-gene-0.42-mRNA-1_1&gene=snap_masked-bow-b_s491-processed-gene-0.42&CDS=1-771	YHL033C, YLL045C
47	OG0000047	augustus_masked-bow-b_s41-processed-gene-0.31-mRNA-1_1&gene=augustus_masked-bow-b_s41-processed-gene-0.31&CDS=1-2838, snap_masked-bow-b_s621-processed-gene-0.101-mRNA-1_1&gene=snap_masked-bow-b_s621-processed-gene-0.101&CDS=1-2337	YDL132W, YGR003W
48	OG0000048	snap_masked-bow-b_s411-processed-gene-0.79-mRNA-1_1&gene=snap_masked-bow-b_s411-processed-gene-0.79&CDS=1-882, snap_masked-bow-b_s635-processed-gene-0.69-mRNA-1_1&gene=snap_masked-bow-b_s635-processed-gene-0.69&CDS=1-5310	YIL149C, YKR095W
49	OG0000049	augustus_masked-bow-b_s43-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-bow-b_s43-processed-gene-0.6&CDS=1-1536	YER056C, YER060W, YER060W-A
50	OG0000050	augustus_masked-bow-b_s431-processed-gene-1.98-mRNA-1_1&gene=augustus_masked-bow-b_s431-processed-gene-1.98&CDS=1-309, augustus_masked-bow-b_s509-processed-gene-1.78-mRNA-1_1&gene=augustus_masked-bow-b_s509-processed-gene-1.78&CDS=1-309	YBR009C, YNL030W
51	OG0000051	augustus_masked-bow-b_s630-processed-gene-0.25-mRNA-1_1&gene=augustus_masked-bow-b_s630-processed-gene-0.25&CDS=1-1437, genemark-bow-b_s464-processed-gene-0.37-mRNA-1_1&gene=genemark-bow-b_s464-processed-gene-0.37&CDS=1-312, snap_masked-bow-b_s464-processed-gene-0.63-mRNA-1_1&gene=snap_masked-bow-b_s464-processed-gene-0.63&CDS=1-345	YCR054C
52	OG0000052	augustus_masked-bow-b_s509-processed-gene-1.11-mRNA-1_1&gene=augustus_masked-bow-b_s509-processed-gene-1.11&CDS=1-2526, augustus_masked-bow-b_s630-processed-gene-0.34-mRNA-1_1&gene=augustus_masked-bow-b_s630-processed-gene-0.34&CDS=1-2001	YLR098C, YOR337W
53	OG0000053	augustus_masked-bow-b_s512-processed-gene-0.55-mRNA-1_1&gene=augustus_masked-bow-b_s512-processed-gene-0.55&CDS=1-1767, augustus_masked-bow-b_s87-processed-gene-0.62-mRNA-1_1&gene=augustus_masked-bow-b_s87-processed-gene-0.62&CDS=1-1725	YJL172W, YOL153C
54	OG0000054	augustus_masked-bow-b_s512-processed-gene-0.65-mRNA-1_1&gene=augustus_masked-bow-b_s512-processed-gene-0.65&CDS=1-3246	YDR038C, YDR039C, YDR040C
55	OG0000055	augustus_masked-bow-b_s512-processed-gene-0.67-mRNA-1_1&gene=augustus_masked-bow-b_s512-processed-gene-0.67&CDS=1-1722	YBR298C, YDL247W, YJR160C
56	OG0000056	genemark-bow-b_s76-processed-gene-0.33-mRNA-1_1&gene=genemark-bow-b_s76-processed-gene-0.33&CDS=1-1182, maker-bow-b_s90-snap-gene-0.2-mRNA-1_1&gene=maker-bow-b_s90-snap-gene-0.2&CDS=1-480, snap_masked-bow-b_s518-processed-gene-0.0-mRNA-1_1&gene=snap_masked-bow-b_s518-processed-gene-0.0&CDS=1-807	YCL074W
57	OG0000057	augustus_masked-bow-b_s534-processed-gene-0.40-mRNA-1_1&gene=augustus_masked-bow-b_s534-processed-gene-0.40&CDS=1-924, augustus_masked-bow-b_s94-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-bow-b_s94-processed-gene-0.5&CDS=1-915	YGR086C, YPL004C
58	OG0000058	snap_masked-bow-b_s534-processed-gene-0.59-mRNA-1_1&gene=snap_masked-bow-b_s534-processed-gene-0.59&CDS=1-741	YFL060C, YMR095C, YNL334C
59	OG0000059	augustus_masked-bow-b_s534-processed-gene-1.49-mRNA-1_1&gene=augustus_masked-bow-b_s534-processed-gene-1.49&CDS=1-1533, augustus_masked-bow-b_s634-processed-gene-0.177-mRNA-1_1&gene=augustus_masked-bow-b_s634-processed-gene-0.177&CDS=1-606	YBR062C, YDR143C
60	OG0000060	augustus_masked-bow-b_s622-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-bow-b_s622-processed-gene-0.16&CDS=1-2592, genemark-bow-b_s61-processed-gene-1.71-mRNA-1_1&gene=genemark-bow-b_s61-processed-gene-1.71&CDS=1-1572	YDR458C, YML034W
61	OG0000061	augustus_masked-bow-b_s610-processed-gene-1.13-mRNA-1_1&gene=augustus_masked-bow-b_s610-processed-gene-1.13&CDS=1-1044, augustus_masked-bow-b_s90-processed-gene-0.28-mRNA-1_1&gene=augustus_masked-bow-b_s90-processed-gene-0.28&CDS=1-1044	YMR303C, YOL086C
62	OG0000062	genemark-bow-b_s637-processed-gene-0.39-mRNA-1_1&gene=genemark-bow-b_s637-processed-gene-0.39&CDS=1-2664	YML111W, YMR275C, YNR069C
63	OG0000063	augustus_masked-bow-b_C22695-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-bow-b_C22695-processed-gene-0.1&CDS=1-351	YFR031C-A, YIL018W
64	OG0000064	augustus_masked-bow-b_C26233-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-bow-b_C26233-processed-gene-0.8&CDS=1-1797	YGR092W, YPR111W
65	OG0000065	augustus_masked-bow-b_C26399-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-bow-b_C26399-processed-gene-0.4&CDS=1-903	YBR105C, YGR066C
