	OrthologID	Saccharomyces_cerevisiae	yHMPu5000034967_Candida_freyschussii
10	OG0000010	YKL055C, YMR226C	genemark-flattened_line_0-processed-gene-1.73-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-1.73&CDS=1-771, genemark-flattened_line_10-processed-gene-5.186-mRNA-1_1&gene=genemark-flattened_line_10-processed-gene-5.186&CDS=1-807, genemark-flattened_line_32-processed-gene-0.106-mRNA-1_1&gene=genemark-flattened_line_32-processed-gene-0.106&CDS=1-789, genemark-flattened_line_34-processed-gene-0.266-mRNA-1_1&gene=genemark-flattened_line_34-processed-gene-0.266&CDS=1-804, maker-flattened_line_10-snap-gene-2.64-mRNA-1_1&gene=maker-flattened_line_10-snap-gene-2.64&CDS=1-744
11	OG0000011	YKL220C, YNR060W, YOR381W, YOR384W	genemark-flattened_line_20-processed-gene-3.195-mRNA-1_1&gene=genemark-flattened_line_20-processed-gene-3.195&CDS=1-2106, genemark-flattened_line_38-processed-gene-0.189-mRNA-1_1&gene=genemark-flattened_line_38-processed-gene-0.189&CDS=1-2025, genemark-flattened_line_42-processed-gene-0.208-mRNA-1_1&gene=genemark-flattened_line_42-processed-gene-0.208&CDS=1-2124
12	OG0000012	YOL119C, YOR306C	genemark-flattened_line_0-processed-gene-7.123-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-7.123&CDS=1-1428, genemark-flattened_line_14-processed-gene-1.150-mRNA-1_1&gene=genemark-flattened_line_14-processed-gene-1.150&CDS=1-1506, genemark-flattened_line_2-processed-gene-8.233-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-8.233&CDS=1-1551, genemark-flattened_line_34-processed-gene-0.233-mRNA-1_1&gene=genemark-flattened_line_34-processed-gene-0.233&CDS=1-1443, genemark-flattened_line_6-processed-gene-0.46-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-0.46&CDS=1-1443
13	OG0000013	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W	snap_masked-flattened_line_12-processed-gene-0.91-mRNA-1_1&gene=snap_masked-flattened_line_12-processed-gene-0.91&CDS=1-1329
14	OG0000014	YBL017C, YIL173W, YJL222W, YNR065C	genemark-flattened_line_12-processed-gene-1.64-mRNA-1_1&gene=genemark-flattened_line_12-processed-gene-1.64&CDS=1-4572, genemark-flattened_line_12-processed-gene-3.17-mRNA-1_1&gene=genemark-flattened_line_12-processed-gene-3.17&CDS=1-4518
15	OG0000015	YBR298C, YDL247W, YGR289C, YJR160C	genemark-flattened_line_18-processed-gene-3.225-mRNA-1_1&gene=genemark-flattened_line_18-processed-gene-3.225&CDS=1-1758, genemark-flattened_line_4-processed-gene-6.131-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-6.131&CDS=1-1725
16	OG0000016	YDL025C, YNL183C, YOR267C	genemark-flattened_line_14-processed-gene-3.151-mRNA-1_1&gene=genemark-flattened_line_14-processed-gene-3.151&CDS=1-2232, genemark-flattened_line_4-processed-gene-1.176-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-1.176&CDS=1-1692, maker-flattened_line_36-snap-gene-0.102-mRNA-1_1&gene=maker-flattened_line_36-snap-gene-0.102&CDS=1-1623
17	OG0000017	YDL230W, YER075C, YOR208W	genemark-flattened_line_0-processed-gene-12.140-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-12.140&CDS=1-1956, genemark-flattened_line_4-processed-gene-4.117-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-4.117&CDS=1-1086, genemark-flattened_line_8-processed-gene-1.107-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-1.107&CDS=1-2040
18	OG0000018	YER015W	genemark-flattened_line_0-processed-gene-10.37-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-10.37&CDS=1-2073, genemark-flattened_line_10-processed-gene-5.171-mRNA-1_1&gene=genemark-flattened_line_10-processed-gene-5.171&CDS=1-2109, genemark-flattened_line_10-processed-gene-5.172-mRNA-1_1&gene=genemark-flattened_line_10-processed-gene-5.172&CDS=1-2085, genemark-flattened_line_10-processed-gene-5.200-mRNA-1_1&gene=genemark-flattened_line_10-processed-gene-5.200&CDS=1-2145, genemark-flattened_line_2-processed-gene-5.57-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-5.57&CDS=1-2118
19	OG0000019	YFR033C, YHL033C, YLL045C	genemark-flattened_line_0-processed-gene-8.121-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-8.121&CDS=1-792, genemark-flattened_line_0-processed-gene-8.122-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-8.122&CDS=1-543, maker-flattened_line_10-augustus-gene-5.0-mRNA-1_1&gene=maker-flattened_line_10-augustus-gene-5.0&CDS=1-1194
20	OG0000020	YGR249W, YHR206W, YOR140W	genemark-flattened_line_4-processed-gene-5.12-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-5.12&CDS=1-2028, genemark-flattened_line_6-processed-gene-3.160-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-3.160&CDS=1-1989, genemark-flattened_line_6-processed-gene-5.99-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-5.99&CDS=1-1485
21	OG0000021	YHR050W, YLR034C, YOL122C	genemark-flattened_line_10-processed-gene-0.37-mRNA-1_1&gene=genemark-flattened_line_10-processed-gene-0.37&CDS=1-1437, genemark-flattened_line_40-processed-gene-0.153-mRNA-1_1&gene=genemark-flattened_line_40-processed-gene-0.153&CDS=1-1692, genemark-flattened_line_8-processed-gene-5.90-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-5.90&CDS=1-1527
22	OG0000022	YHR176W	genemark-flattened_line_10-processed-gene-3.90-mRNA-1_1&gene=genemark-flattened_line_10-processed-gene-3.90&CDS=1-1455, genemark-flattened_line_22-processed-gene-1.162-mRNA-1_1&gene=genemark-flattened_line_22-processed-gene-1.162&CDS=1-1530, genemark-flattened_line_28-processed-gene-0.197-mRNA-1_1&gene=genemark-flattened_line_28-processed-gene-0.197&CDS=1-1413, genemark-flattened_line_52-processed-gene-0.103-mRNA-1_1&gene=genemark-flattened_line_52-processed-gene-0.103&CDS=1-1383, genemark-flattened_line_8-processed-gene-3.101-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-3.101&CDS=1-1521
23	OG0000023	YIL002C, YNL106C, YOL065C	genemark-flattened_line_2-processed-gene-0.59-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-0.59&CDS=1-2673, genemark-flattened_line_6-processed-gene-1.36-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-1.36&CDS=1-3438, genemark-flattened_line_68-processed-gene-0.37-mRNA-1_1&gene=genemark-flattened_line_68-processed-gene-0.37&CDS=1-1062
24	OG0000024	YJL099W, YKR027W, YMR237W, YOR299W	genemark-flattened_line_22-processed-gene-1.163-mRNA-1_1&gene=genemark-flattened_line_22-processed-gene-1.163&CDS=1-2433, genemark-flattened_line_22-processed-gene-1.96-mRNA-1_1&gene=genemark-flattened_line_22-processed-gene-1.96&CDS=1-1914
25	OG0000025	YLR152C, YNL095C, YOR092W	genemark-flattened_line_2-processed-gene-5.65-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-5.65&CDS=1-1491, genemark-flattened_line_26-processed-gene-0.119-mRNA-1_1&gene=genemark-flattened_line_26-processed-gene-0.119&CDS=1-1497, genemark-flattened_line_6-processed-gene-1.30-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-1.30&CDS=1-1563
26	OG0000026	YMR083W	genemark-flattened_line_0-processed-gene-10.50-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-10.50&CDS=1-1098, genemark-flattened_line_12-processed-gene-0.20-mRNA-1_1&gene=genemark-flattened_line_12-processed-gene-0.20&CDS=1-1098, genemark-flattened_line_2-processed-gene-8.194-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-8.194&CDS=1-1113, genemark-flattened_line_6-processed-gene-4.156-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-4.156&CDS=1-1053, maker-flattened_line_14-snap-gene-4.206-mRNA-1_1&gene=maker-flattened_line_14-snap-gene-4.206&CDS=1-3183
27	OG0000027	YAL007C, YDL018C, YOR016C	genemark-flattened_line_4-processed-gene-2.146-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-2.146&CDS=1-618, genemark-flattened_line_50-processed-gene-0.52-mRNA-1_1&gene=genemark-flattened_line_50-processed-gene-0.52&CDS=1-615
28	OG0000028	YBR054W, YCR021C, YDR033W	genemark-flattened_line_0-processed-gene-9.125-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-9.125&CDS=1-945, genemark-flattened_line_10-processed-gene-0.41-mRNA-1_1&gene=genemark-flattened_line_10-processed-gene-0.41&CDS=1-891
29	OG0000029	YBR245C, YFR038W	genemark-flattened_line_20-processed-gene-0.74-mRNA-1_1&gene=genemark-flattened_line_20-processed-gene-0.74&CDS=1-3078, maker-flattened_line_0-augustus-gene-11.52-mRNA-1_1&gene=maker-flattened_line_0-augustus-gene-11.52&CDS=1-3612, maker-flattened_line_34-augustus-gene-0.12-mRNA-1_1&gene=maker-flattened_line_34-augustus-gene-0.12&CDS=1-5295
30	OG0000030	YCL069W, YGR224W, YKR105C, YPR198W	maker-flattened_line_10-snap-gene-3.52-mRNA-1_1&gene=maker-flattened_line_10-snap-gene-3.52&CDS=1-3381
31	OG0000031	YDL037C, YIR019C	augustus_masked-flattened_line_75-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-flattened_line_75-processed-gene-0.15&CDS=1-396, genemark-flattened_line_110-processed-gene-0.3-mRNA-1_1&gene=genemark-flattened_line_110-processed-gene-0.3&CDS=1-495, genemark-flattened_line_75-processed-gene-0.3-mRNA-1_1&gene=genemark-flattened_line_75-processed-gene-0.3&CDS=1-495
32	OG0000032	YDL111C, YMR008C, YOL011W	genemark-flattened_line_20-processed-gene-1.103-mRNA-1_1&gene=genemark-flattened_line_20-processed-gene-1.103&CDS=1-1983, genemark-flattened_line_54-processed-gene-0.80-mRNA-1_1&gene=genemark-flattened_line_54-processed-gene-0.80&CDS=1-3492
33	OG0000033	YDL161W, YLL038C, YLR206W	genemark-flattened_line_30-processed-gene-0.191-mRNA-1_1&gene=genemark-flattened_line_30-processed-gene-0.191&CDS=1-1431, genemark-flattened_line_66-processed-gene-0.43-mRNA-1_1&gene=genemark-flattened_line_66-processed-gene-0.43&CDS=1-663
34	OG0000034	YDL170W, YDR207C	genemark-flattened_line_0-processed-gene-9.154-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-9.154&CDS=1-2160, genemark-flattened_line_32-processed-gene-0.141-mRNA-1_1&gene=genemark-flattened_line_32-processed-gene-0.141&CDS=1-1191, snap_masked-flattened_line_16-processed-gene-1.142-mRNA-1_1&gene=snap_masked-flattened_line_16-processed-gene-1.142&CDS=1-1833
35	OG0000035	YDL174C	augustus_masked-flattened_line_14-processed-gene-1.39-mRNA-1_1&gene=augustus_masked-flattened_line_14-processed-gene-1.39&CDS=1-1689, genemark-flattened_line_0-processed-gene-9.126-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-9.126&CDS=1-1674, genemark-flattened_line_22-processed-gene-0.3-mRNA-1_1&gene=genemark-flattened_line_22-processed-gene-0.3&CDS=1-1653, genemark-flattened_line_30-processed-gene-0.152-mRNA-1_1&gene=genemark-flattened_line_30-processed-gene-0.152&CDS=1-1647
36	OG0000036	YDL210W	genemark-flattened_line_10-processed-gene-4.135-mRNA-1_1&gene=genemark-flattened_line_10-processed-gene-4.135&CDS=1-1734, genemark-flattened_line_12-processed-gene-4.148-mRNA-1_1&gene=genemark-flattened_line_12-processed-gene-4.148&CDS=1-1662, genemark-flattened_line_60-processed-gene-0.21-mRNA-1_1&gene=genemark-flattened_line_60-processed-gene-0.21&CDS=1-1659, maker-flattened_line_12-snap-gene-4.211-mRNA-1_1&gene=maker-flattened_line_12-snap-gene-4.211&CDS=1-1671
37	OG0000037	YDR326C, YFL042C, YHR080C	genemark-flattened_line_2-processed-gene-8.231-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-8.231&CDS=1-2580, genemark-flattened_line_34-processed-gene-0.295-mRNA-1_1&gene=genemark-flattened_line_34-processed-gene-0.295&CDS=1-3672
38	OG0000038	YDR342C, YDR343C, YHR092C	genemark-flattened_line_18-processed-gene-3.195-mRNA-1_1&gene=genemark-flattened_line_18-processed-gene-3.195&CDS=1-1695, maker-flattened_line_18-snap-gene-3.8-mRNA-1_1&gene=maker-flattened_line_18-snap-gene-3.8&CDS=1-1770
39	OG0000039	YDR380W, YLR134W	genemark-flattened_line_0-processed-gene-1.122-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-1.122&CDS=1-1689, genemark-flattened_line_4-processed-gene-6.174-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-6.174&CDS=1-1782, genemark-flattened_line_6-processed-gene-4.127-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-4.127&CDS=1-1719
40	OG0000040	YDR385W, YKL173W, YOR133W	augustus_masked-flattened_line_46-processed-gene-0.45-mRNA-1_1&gene=augustus_masked-flattened_line_46-processed-gene-0.45&CDS=1-2532, genemark-flattened_line_6-processed-gene-0.74-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-0.74&CDS=1-2835
41	OG0000041	YDR387C, YDR497C	genemark-flattened_line_0-processed-gene-2.153-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-2.153&CDS=1-1704, genemark-flattened_line_0-processed-gene-5.56-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-5.56&CDS=1-1692, genemark-flattened_line_20-processed-gene-2.49-mRNA-1_1&gene=genemark-flattened_line_20-processed-gene-2.49&CDS=1-1539
42	OG0000042	YDR475C, YGR237C, YOR019W	genemark-flattened_line_26-processed-gene-1.130-mRNA-1_1&gene=genemark-flattened_line_26-processed-gene-1.130&CDS=1-1842, snap_masked-flattened_line_40-processed-gene-0.205-mRNA-1_1&gene=snap_masked-flattened_line_40-processed-gene-0.205&CDS=1-1968
43	OG0000043	YDR523C, YHR102W	genemark-flattened_line_10-processed-gene-1.103-mRNA-1_1&gene=genemark-flattened_line_10-processed-gene-1.103&CDS=1-2412, genemark-flattened_line_10-processed-gene-4.152-mRNA-1_1&gene=genemark-flattened_line_10-processed-gene-4.152&CDS=1-1476, snap_masked-flattened_line_12-processed-gene-2.144-mRNA-1_1&gene=snap_masked-flattened_line_12-processed-gene-2.144&CDS=1-1536
44	OG0000044	YDR533C, YMR322C, YOR391C, YPL280W	genemark-flattened_line_30-processed-gene-0.137-mRNA-1_1&gene=genemark-flattened_line_30-processed-gene-0.137&CDS=1-711
45	OG0000045	YER073W, YPL061W	genemark-flattened_line_0-processed-gene-2.151-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-2.151&CDS=1-1491, maker-flattened_line_8-snap-gene-1.57-mRNA-1_1&gene=maker-flattened_line_8-snap-gene-1.57&CDS=1-1941, snap_masked-flattened_line_8-processed-gene-5.247-mRNA-1_1&gene=snap_masked-flattened_line_8-processed-gene-5.247&CDS=1-1491
46	OG0000046	YER103W, YJL034W	genemark-flattened_line_18-processed-gene-0.28-mRNA-1_1&gene=genemark-flattened_line_18-processed-gene-0.28&CDS=1-2001, genemark-flattened_line_77-processed-gene-0.13-mRNA-1_1&gene=genemark-flattened_line_77-processed-gene-0.13&CDS=1-1938, maker-flattened_line_26-snap-gene-1.0-mRNA-1_1&gene=maker-flattened_line_26-snap-gene-1.0&CDS=1-2820
47	OG0000047	YER133W, YML016C	genemark-flattened_line_0-processed-gene-10.27-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-10.27&CDS=1-1443, genemark-flattened_line_18-processed-gene-0.16-mRNA-1_1&gene=genemark-flattened_line_18-processed-gene-0.16&CDS=1-1587, maker-flattened_line_38-snap-gene-0.152-mRNA-1_1&gene=maker-flattened_line_38-snap-gene-0.152&CDS=1-1173
48	OG0000048	YFR040W, YGL229C, YKR028W	genemark-flattened_line_0-processed-gene-10.41-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-10.41&CDS=1-2289, genemark-flattened_line_22-processed-gene-1.95-mRNA-1_1&gene=genemark-flattened_line_22-processed-gene-1.95&CDS=1-2712
49	OG0000049	YGL010W	genemark-flattened_line_10-processed-gene-3.74-mRNA-1_1&gene=genemark-flattened_line_10-processed-gene-3.74&CDS=1-1209, maker-flattened_line_14-augustus-gene-1.3-mRNA-1_1&gene=maker-flattened_line_14-augustus-gene-1.3&CDS=1-1428, maker-flattened_line_16-snap-gene-1.61-mRNA-1_1&gene=maker-flattened_line_16-snap-gene-1.61&CDS=1-1680, maker-flattened_line_6-augustus-gene-5.335-mRNA-1_1&gene=maker-flattened_line_6-augustus-gene-5.335&CDS=1-3156
50	OG0000050	YGL038C, YJR068W	augustus_masked-flattened_line_2-processed-gene-8.86-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-8.86&CDS=1-1209, genemark-flattened_line_4-processed-gene-6.207-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-6.207&CDS=1-1251, maker-flattened_line_2-augustus-gene-2.63-mRNA-1_1&gene=maker-flattened_line_2-augustus-gene-2.63&CDS=1-2205
51	OG0000051	YGL092W, YKL068W, YMR047C	genemark-flattened_line_4-processed-gene-0.129-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-0.129&CDS=1-3105, snap_masked-flattened_line_0-processed-gene-0.59-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-0.59&CDS=1-3903
52	OG0000052	YGL185C, YPL113C	genemark-flattened_line_0-processed-gene-11.59-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-11.59&CDS=1-1113, genemark-flattened_line_16-processed-gene-2.24-mRNA-1_1&gene=genemark-flattened_line_16-processed-gene-2.24&CDS=1-1074, genemark-flattened_line_52-processed-gene-0.107-mRNA-1_1&gene=genemark-flattened_line_52-processed-gene-0.107&CDS=1-1098
53	OG0000053	YGR067C, YMR182C	augustus_masked-flattened_line_20-processed-gene-3.26-mRNA-1_1&gene=augustus_masked-flattened_line_20-processed-gene-3.26&CDS=1-1389, genemark-flattened_line_4-processed-gene-2.114-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-2.114&CDS=1-1053, snap_masked-flattened_line_26-processed-gene-0.104-mRNA-1_1&gene=snap_masked-flattened_line_26-processed-gene-0.104&CDS=1-2151
54	OG0000054	YGR068C, YOR018W	genemark-flattened_line_36-processed-gene-0.237-mRNA-1_1&gene=genemark-flattened_line_36-processed-gene-0.237&CDS=1-1899, genemark-flattened_line_36-processed-gene-0.301-mRNA-1_1&gene=genemark-flattened_line_36-processed-gene-0.301&CDS=1-1950, genemark-flattened_line_42-processed-gene-0.186-mRNA-1_1&gene=genemark-flattened_line_42-processed-gene-0.186&CDS=1-2409
