	OrthologID	Saccharomyces_cerevisiae	Scheffersomyces_stipitis
10	OG0000010	YPL088W	augustus_masked-chr_1.1-processed-gene-18.109-mRNA-1_1&gene=augustus_masked-chr_1.1-processed-gene-18.109&CDS=1-1053, augustus_masked-chr_4.1-processed-gene-12.72-mRNA-1_1&gene=augustus_masked-chr_4.1-processed-gene-12.72&CDS=1-1053, snap_masked-chr_1.1-processed-gene-14.82-mRNA-1_1&gene=snap_masked-chr_1.1-processed-gene-14.82&CDS=1-1056, snap_masked-chr_1.1-processed-gene-18.30-mRNA-1_1&gene=snap_masked-chr_1.1-processed-gene-18.30&CDS=1-1053, snap_masked-chr_1.1-processed-gene-20.39-mRNA-1_1&gene=snap_masked-chr_1.1-processed-gene-20.39&CDS=1-1062, snap_masked-chr_5.1-processed-gene-12.119-mRNA-1_1&gene=snap_masked-chr_5.1-processed-gene-12.119&CDS=1-1059
11	OG0000011	YBR067C, YDR542W, YER011W, YIL011W, YOR010C	snap_masked-chr_8.1-processed-gene-5.10-mRNA-1_1&gene=snap_masked-chr_8.1-processed-gene-5.10&CDS=1-516
12	OG0000012	YFL011W, YMR011W	snap_masked-chr_1.1-processed-gene-0.7-mRNA-1_1&gene=snap_masked-chr_1.1-processed-gene-0.7&CDS=1-1650, snap_masked-chr_1.1-processed-gene-13.107-mRNA-1_1&gene=snap_masked-chr_1.1-processed-gene-13.107&CDS=1-1659, snap_masked-chr_4.1-processed-gene-17.23-mRNA-1_1&gene=snap_masked-chr_4.1-processed-gene-17.23&CDS=1-1650, snap_masked-chr_6.1-processed-gene-16.120-mRNA-1_1&gene=snap_masked-chr_6.1-processed-gene-16.120&CDS=1-1650
13	OG0000013	YIL166C	genemark-chr_5.1-processed-gene-15.85-mRNA-1_1&gene=genemark-chr_5.1-processed-gene-15.85&CDS=1-1692, snap_masked-chr_1.1-processed-gene-0.12-mRNA-1_1&gene=snap_masked-chr_1.1-processed-gene-0.12&CDS=1-1665, snap_masked-chr_2.1-processed-gene-2.81-mRNA-1_1&gene=snap_masked-chr_2.1-processed-gene-2.81&CDS=1-1659, snap_masked-chr_5.1-processed-gene-15.6-mRNA-1_1&gene=snap_masked-chr_5.1-processed-gene-15.6&CDS=1-1632, snap_masked-chr_8.1-processed-gene-8.11-mRNA-1_1&gene=snap_masked-chr_8.1-processed-gene-8.11&CDS=1-1731
14	OG0000014	YPR194C	snap_masked-chr_1.1-processed-gene-15.82-mRNA-1_1&gene=snap_masked-chr_1.1-processed-gene-15.82&CDS=1-2751, snap_masked-chr_3.1-processed-gene-1.25-mRNA-1_1&gene=snap_masked-chr_3.1-processed-gene-1.25&CDS=1-2721, snap_masked-chr_3.1-processed-gene-15.42-mRNA-1_1&gene=snap_masked-chr_3.1-processed-gene-15.42&CDS=1-2745, snap_masked-chr_7.1-processed-gene-5.72-mRNA-1_1&gene=snap_masked-chr_7.1-processed-gene-5.72&CDS=1-2733, snap_masked-chr_7.1-processed-gene-5.81-mRNA-1_1&gene=snap_masked-chr_7.1-processed-gene-5.81&CDS=1-2739
15	OG0000015	YBL017C, YIL173W, YJL222W, YNR065C	snap_masked-chr_1.2-processed-gene-9.77-mRNA-1_1&gene=snap_masked-chr_1.2-processed-gene-9.77&CDS=1-4692
16	OG0000016	YBR005W, YDR003W	snap_masked-chr_2.1-processed-gene-26.35-mRNA-1_1&gene=snap_masked-chr_2.1-processed-gene-26.35&CDS=1-714, snap_masked-chr_4.1-processed-gene-10.29-mRNA-1_1&gene=snap_masked-chr_4.1-processed-gene-10.29&CDS=1-726, snap_masked-chr_5.1-processed-gene-16.133-mRNA-1_1&gene=snap_masked-chr_5.1-processed-gene-16.133&CDS=1-738
17	OG0000017	YBR008C	snap_masked-chr_1.2-processed-gene-7.84-mRNA-1_1&gene=snap_masked-chr_1.2-processed-gene-7.84&CDS=1-1659, snap_masked-chr_4.1-processed-gene-4.34-mRNA-1_1&gene=snap_masked-chr_4.1-processed-gene-4.34&CDS=1-1662, snap_masked-chr_4.1-processed-gene-9.28-mRNA-1_1&gene=snap_masked-chr_4.1-processed-gene-9.28&CDS=1-1644, snap_masked-chr_7.1-processed-gene-5.62-mRNA-1_1&gene=snap_masked-chr_7.1-processed-gene-5.62&CDS=1-1641
18	OG0000018	YBR010W, YNL031C	augustus_masked-chr_6.1-processed-gene-10.27-mRNA-1_1&gene=augustus_masked-chr_6.1-processed-gene-10.27&CDS=1-408, augustus_masked-chr_6.1-processed-gene-6.113-mRNA-1_1&gene=augustus_masked-chr_6.1-processed-gene-6.113&CDS=1-408, snap_masked-chr_1.2-processed-gene-6.102-mRNA-1_1&gene=snap_masked-chr_1.2-processed-gene-6.102&CDS=1-408
19	OG0000019	YCL069W, YGR224W, YKR105C, YPR198W	snap_masked-chr_5.1-processed-gene-16.132-mRNA-1_1&gene=snap_masked-chr_5.1-processed-gene-16.132&CDS=1-1812
20	OG0000020	YCR032W, YOL119C	augustus_masked-chr_2.1-processed-gene-25.73-mRNA-1_1&gene=augustus_masked-chr_2.1-processed-gene-25.73&CDS=1-8298, augustus_masked-chr_8.1-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-chr_8.1-processed-gene-0.12&CDS=1-1644, snap_masked-chr_2.1-processed-gene-17.16-mRNA-1_1&gene=snap_masked-chr_2.1-processed-gene-17.16&CDS=1-1413
21	OG0000021	YDL244W, YFL058W, YJR156C, YNL332W	snap_masked-chr_3.1-processed-gene-12.84-mRNA-1_1&gene=snap_masked-chr_3.1-processed-gene-12.84&CDS=1-1017
22	OG0000022	YDR038C, YDR039C, YDR040C	genemark-chr_6.1-processed-gene-13.9-mRNA-1_1&gene=genemark-chr_6.1-processed-gene-13.9&CDS=1-3294, snap_masked-chr_1.1-processed-gene-6.85-mRNA-1_1&gene=snap_masked-chr_1.1-processed-gene-6.85&CDS=1-3261
23	OG0000023	YDR072C	genemark-chr_7.1-processed-gene-4.74-mRNA-1_1&gene=genemark-chr_7.1-processed-gene-4.74&CDS=1-999, genemark-chr_7.1-processed-gene-4.91-mRNA-1_1&gene=genemark-chr_7.1-processed-gene-4.91&CDS=1-999, snap_masked-chr_6.1-processed-gene-1.109-mRNA-1_1&gene=snap_masked-chr_6.1-processed-gene-1.109&CDS=1-723, snap_masked-chr_6.1-processed-gene-2.21-mRNA-1_1&gene=snap_masked-chr_6.1-processed-gene-2.21&CDS=1-1437
24	OG0000024	YDR144C, YLR120C, YLR121C	maker-chr_8.1-augustus-gene-3.1-mRNA-1_1&gene=maker-chr_8.1-augustus-gene-3.1&CDS=1-3414, snap_masked-chr_7.1-processed-gene-9.76-mRNA-1_1&gene=snap_masked-chr_7.1-processed-gene-9.76&CDS=1-1260
25	OG0000025	YDR533C, YMR322C, YOR391C, YPL280W	snap_masked-chr_4.1-processed-gene-15.99-mRNA-1_1&gene=snap_masked-chr_4.1-processed-gene-15.99&CDS=1-708
26	OG0000026	YGR192C, YJL052W, YJR009C	snap_masked-chr_2.1-processed-gene-8.94-mRNA-1_1&gene=snap_masked-chr_2.1-processed-gene-8.94&CDS=1-999, snap_masked-chr_8.1-processed-gene-3.13-mRNA-1_1&gene=snap_masked-chr_8.1-processed-gene-3.13&CDS=1-999
27	OG0000027	YJL079C, YKR013W	snap_masked-chr_2.1-processed-gene-24.134-mRNA-1_1&gene=snap_masked-chr_2.1-processed-gene-24.134&CDS=1-612, snap_masked-chr_6.1-processed-gene-1.104-mRNA-1_1&gene=snap_masked-chr_6.1-processed-gene-1.104&CDS=1-744, snap_masked-chr_6.1-processed-gene-1.92-mRNA-1_1&gene=snap_masked-chr_6.1-processed-gene-1.92&CDS=1-1107
28	OG0000028	YJR019C	snap_masked-chr_4.1-processed-gene-3.20-mRNA-1_1&gene=snap_masked-chr_4.1-processed-gene-3.20&CDS=1-1149, snap_masked-chr_4.1-processed-gene-3.21-mRNA-1_1&gene=snap_masked-chr_4.1-processed-gene-3.21&CDS=1-1002, snap_masked-chr_4.1-processed-gene-3.22-mRNA-1_1&gene=snap_masked-chr_4.1-processed-gene-3.22&CDS=1-1062, snap_masked-chr_4.1-processed-gene-3.23-mRNA-1_1&gene=snap_masked-chr_4.1-processed-gene-3.23&CDS=1-1074
29	OG0000029	YKL128C	snap_masked-chr_1.2-processed-gene-11.21-mRNA-1_1&gene=snap_masked-chr_1.2-processed-gene-11.21&CDS=1-942, snap_masked-chr_2.1-processed-gene-22.18-mRNA-1_1&gene=snap_masked-chr_2.1-processed-gene-22.18&CDS=1-960, snap_masked-chr_2.1-processed-gene-23.17-mRNA-1_1&gene=snap_masked-chr_2.1-processed-gene-23.17&CDS=1-987, snap_masked-chr_3.1-processed-gene-3.91-mRNA-1_1&gene=snap_masked-chr_3.1-processed-gene-3.91&CDS=1-984
30	OG0000030	YKL220C, YLL051C, YNR060W, YOR381W, YOR384W	
31	OG0000031	YKL222C, YLR266C, YOR162C, YOR172W	snap_masked-chr_1.1-processed-gene-15.79-mRNA-1_1&gene=snap_masked-chr_1.1-processed-gene-15.79&CDS=1-3372
32	OG0000032		augustus_masked-chr_1.1-processed-gene-13.67-mRNA-1_1&gene=augustus_masked-chr_1.1-processed-gene-13.67&CDS=1-2178, augustus_masked-chr_1.1-processed-gene-13.68-mRNA-1_1&gene=augustus_masked-chr_1.1-processed-gene-13.68&CDS=1-2190, snap_masked-chr_1.1-processed-gene-9.25-mRNA-1_1&gene=snap_masked-chr_1.1-processed-gene-9.25&CDS=1-2172, snap_masked-chr_2.1-processed-gene-13.42-mRNA-1_1&gene=snap_masked-chr_2.1-processed-gene-13.42&CDS=1-2184, snap_masked-chr_3.1-processed-gene-13.90-mRNA-1_1&gene=snap_masked-chr_3.1-processed-gene-13.90&CDS=1-2106
33	OG0000033		snap_masked-chr_1.2-processed-gene-12.49-mRNA-1_1&gene=snap_masked-chr_1.2-processed-gene-12.49&CDS=1-1719, snap_masked-chr_2.1-processed-gene-7.35-mRNA-1_1&gene=snap_masked-chr_2.1-processed-gene-7.35&CDS=1-1716, snap_masked-chr_5.1-processed-gene-0.63-mRNA-1_1&gene=snap_masked-chr_5.1-processed-gene-0.63&CDS=1-1716, snap_masked-chr_6.1-processed-gene-0.78-mRNA-1_1&gene=snap_masked-chr_6.1-processed-gene-0.78&CDS=1-1716, snap_masked-chr_6.1-processed-gene-5.47-mRNA-1_1&gene=snap_masked-chr_6.1-processed-gene-5.47&CDS=1-1716
34	OG0000034		augustus_masked-chr_6.1-processed-gene-0.59-mRNA-1_1&gene=augustus_masked-chr_6.1-processed-gene-0.59&CDS=1-1797, genemark-chr_6.1-processed-gene-0.4-mRNA-1_1&gene=genemark-chr_6.1-processed-gene-0.4&CDS=1-1737, snap_masked-chr_5.1-processed-gene-0.66-mRNA-1_1&gene=snap_masked-chr_5.1-processed-gene-0.66&CDS=1-1617, snap_masked-chr_5.1-processed-gene-0.79-mRNA-1_1&gene=snap_masked-chr_5.1-processed-gene-0.79&CDS=1-1701, snap_masked-chr_7.1-processed-gene-10.105-mRNA-1_1&gene=snap_masked-chr_7.1-processed-gene-10.105&CDS=1-1797
35	OG0000035	YAL021C, YOL042W	snap_masked-chr_2.1-processed-gene-23.15-mRNA-1_1&gene=snap_masked-chr_2.1-processed-gene-23.15&CDS=1-1224, snap_masked-chr_2.1-processed-gene-23.16-mRNA-1_1&gene=snap_masked-chr_2.1-processed-gene-23.16&CDS=1-2541
36	OG0000036	YBL002W, YDR224C	snap_masked-chr_6.1-processed-gene-6.46-mRNA-1_1&gene=snap_masked-chr_6.1-processed-gene-6.46&CDS=1-393, snap_masked-chr_8.1-processed-gene-3.9-mRNA-1_1&gene=snap_masked-chr_8.1-processed-gene-3.9&CDS=1-393
37	OG0000037	YBR009C, YNL030W	augustus_masked-chr_6.1-processed-gene-10.14-mRNA-1_1&gene=augustus_masked-chr_6.1-processed-gene-10.14&CDS=1-309, snap_masked-chr_6.1-processed-gene-6.38-mRNA-1_1&gene=snap_masked-chr_6.1-processed-gene-6.38&CDS=1-309
38	OG0000038	YBR021W, YIR028W	augustus_masked-chr_2.1-processed-gene-9.85-mRNA-1_1&gene=augustus_masked-chr_2.1-processed-gene-9.85&CDS=1-1788, snap_masked-chr_6.1-processed-gene-16.81-mRNA-1_1&gene=snap_masked-chr_6.1-processed-gene-16.81&CDS=1-1779
39	OG0000039	YBR078W, YDR055W, YDR522C	snap_masked-chr_6.1-processed-gene-7.90-mRNA-1_1&gene=snap_masked-chr_6.1-processed-gene-7.90&CDS=1-1254
40	OG0000040	YBR118W, YPR080W	snap_masked-chr_2.1-processed-gene-24.103-mRNA-1_1&gene=snap_masked-chr_2.1-processed-gene-24.103&CDS=1-1374, snap_masked-chr_4.1-processed-gene-9.38-mRNA-1_1&gene=snap_masked-chr_4.1-processed-gene-9.38&CDS=1-1374
41	OG0000041	YBR150C, YOL089C	augustus_masked-chr_7.1-processed-gene-7.100-mRNA-1_1&gene=augustus_masked-chr_7.1-processed-gene-7.100&CDS=1-3138, snap_masked-chr_7.1-processed-gene-7.28-mRNA-1_1&gene=snap_masked-chr_7.1-processed-gene-7.28&CDS=1-2706
42	OG0000042	YBR240C, YDR207C	snap_masked-chr_1.1-processed-gene-16.6-mRNA-1_1&gene=snap_masked-chr_1.1-processed-gene-16.6&CDS=1-2298, snap_masked-chr_2.1-processed-gene-25.31-mRNA-1_1&gene=snap_masked-chr_2.1-processed-gene-25.31&CDS=1-1605
43	OG0000043	YBR297W, YFL052W, YGR288W, YPR196W	
44	OG0000044	YCL036W, YDR514C	snap_masked-chr_8.1-processed-gene-8.29-mRNA-1_1&gene=snap_masked-chr_8.1-processed-gene-8.29&CDS=1-1140, snap_masked-chr_8.1-processed-gene-8.30-mRNA-1_1&gene=snap_masked-chr_8.1-processed-gene-8.30&CDS=1-849
45	OG0000045	YCL064C, YIL167W	snap_masked-chr_2.1-processed-gene-2.95-mRNA-1_1&gene=snap_masked-chr_2.1-processed-gene-2.95&CDS=1-1065, snap_masked-chr_2.1-processed-gene-20.85-mRNA-1_1&gene=snap_masked-chr_2.1-processed-gene-20.85&CDS=1-1008
46	OG0000046	YCR102C, YLR460C, YNL134C	maker-chr_3.1-snap-gene-0.112-mRNA-1_1&gene=maker-chr_3.1-snap-gene-0.112&CDS=1-2184
47	OG0000047	YDL137W, YDL192W	snap_masked-chr_7.1-processed-gene-3.9-mRNA-1_1&gene=snap_masked-chr_7.1-processed-gene-3.9&CDS=1-540, snap_masked-chr_8.1-processed-gene-1.63-mRNA-1_1&gene=snap_masked-chr_8.1-processed-gene-1.63&CDS=1-543
48	OG0000048	YDR368W, YOR120W	snap_masked-chr_3.1-processed-gene-10.10-mRNA-1_1&gene=snap_masked-chr_3.1-processed-gene-10.10&CDS=1-930, snap_masked-chr_3.1-processed-gene-15.25-mRNA-1_1&gene=snap_masked-chr_3.1-processed-gene-15.25&CDS=1-927
49	OG0000049	YDR525W-A, YJL151C	augustus_masked-chr_7.1-processed-gene-6.62-mRNA-1_1&gene=augustus_masked-chr_7.1-processed-gene-6.62&CDS=1-213, snap_masked-chr_4.1-processed-gene-12.111-mRNA-1_1&gene=snap_masked-chr_4.1-processed-gene-12.111&CDS=1-432
50	OG0000050	YER004W	snap_masked-chr_2.1-processed-gene-25.25-mRNA-1_1&gene=snap_masked-chr_2.1-processed-gene-25.25&CDS=1-690, snap_masked-chr_3.1-processed-gene-14.19-mRNA-1_1&gene=snap_masked-chr_3.1-processed-gene-14.19&CDS=1-687, snap_masked-chr_5.1-processed-gene-2.115-mRNA-1_1&gene=snap_masked-chr_5.1-processed-gene-2.115&CDS=1-678
51	OG0000051	YER015W	snap_masked-chr_2.1-processed-gene-14.113-mRNA-1_1&gene=snap_masked-chr_2.1-processed-gene-14.113&CDS=1-2259, snap_masked-chr_4.1-processed-gene-3.18-mRNA-1_1&gene=snap_masked-chr_4.1-processed-gene-3.18&CDS=1-2259, snap_masked-chr_5.1-processed-gene-10.94-mRNA-1_1&gene=snap_masked-chr_5.1-processed-gene-10.94&CDS=1-2160
52	OG0000052	YER028C, YGL209W	snap_masked-chr_5.1-processed-gene-9.110-mRNA-1_1&gene=snap_masked-chr_5.1-processed-gene-9.110&CDS=1-1737, snap_masked-chr_6.1-processed-gene-16.118-mRNA-1_1&gene=snap_masked-chr_6.1-processed-gene-16.118&CDS=1-1710
53	OG0000053	YER056C, YER060W, YER060W-A	snap_masked-chr_4.1-processed-gene-12.96-mRNA-1_1&gene=snap_masked-chr_4.1-processed-gene-12.96&CDS=1-1533
54	OG0000054	YER185W, YGR213C, YLR046C	maker-chr_1.2-snap-gene-10.65-mRNA-1_1&gene=maker-chr_1.2-snap-gene-10.65&CDS=1-1695
55	OG0000055	YFL017W-A, YJR022W	maker-chr_3.1-augustus-gene-9.83-mRNA-1_1&gene=maker-chr_3.1-augustus-gene-9.83&CDS=1-210, snap_masked-chr_5.1-processed-gene-8.34-mRNA-1_1&gene=snap_masked-chr_5.1-processed-gene-8.34&CDS=1-294
56	OG0000056	YFL060C, YMR095C, YNL334C	snap_masked-chr_3.1-processed-gene-5.121-mRNA-1_1&gene=snap_masked-chr_3.1-processed-gene-5.121&CDS=1-753
57	OG0000057	YFR031C-A, YIL018W	snap_masked-chr_1.1-processed-gene-9.3-mRNA-1_1&gene=snap_masked-chr_1.1-processed-gene-9.3&CDS=1-762, snap_masked-chr_1.2-processed-gene-4.2-mRNA-1_1&gene=snap_masked-chr_1.2-processed-gene-4.2&CDS=1-762
58	OG0000058	YGR177C, YOR377W	augustus_masked-chr_6.1-processed-gene-14.59-mRNA-1_1&gene=augustus_masked-chr_6.1-processed-gene-14.59&CDS=1-1434, snap_masked-chr_5.1-processed-gene-0.93-mRNA-1_1&gene=snap_masked-chr_5.1-processed-gene-0.93&CDS=1-1434
59	OG0000059	YGR184C, YLR024C	augustus_masked-chr_1.1-processed-gene-17.32-mRNA-1_1&gene=augustus_masked-chr_1.1-processed-gene-17.32&CDS=1-5406, snap_masked-chr_1.1-processed-gene-17.87-mRNA-1_1&gene=snap_masked-chr_1.1-processed-gene-17.87&CDS=1-5793
60	OG0000060	YHL003C, YKL008C	snap_masked-chr_4.1-processed-gene-2.76-mRNA-1_1&gene=snap_masked-chr_4.1-processed-gene-2.76&CDS=1-1266, snap_masked-chr_6.1-processed-gene-9.92-mRNA-1_1&gene=snap_masked-chr_6.1-processed-gene-9.92&CDS=1-1251
