	OrthologID	Saccharomyces_cerevisiae	yHMPu5000034613_Saturnispora_serradocipensis
10	OG0000010	YNR070W, YPL058C	augustus_masked-flattened_line_18-processed-gene-0.41-mRNA-1_1&gene=augustus_masked-flattened_line_18-processed-gene-0.41&CDS=1-4488, genemark-flattened_line_0-processed-gene-8.98-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-8.98&CDS=1-4473, genemark-flattened_line_68-processed-gene-0.57-mRNA-1_1&gene=genemark-flattened_line_68-processed-gene-0.57&CDS=1-4464, maker-flattened_line_40-augustus-gene-0.78-mRNA-1_1&gene=maker-flattened_line_40-augustus-gene-0.78&CDS=1-6183, maker-flattened_line_62-snap-gene-0.82-mRNA-1_1&gene=maker-flattened_line_62-snap-gene-0.82&CDS=1-5061
11	OG0000011	Q0105, Q0110, Q0115, Q0120	maker-flattened_line_92-snap-gene-0.1-mRNA-1_1&gene=maker-flattened_line_92-snap-gene-0.1&CDS=1-267, maker-flattened_line_92-snap-gene-0.3-mRNA-1_1&gene=maker-flattened_line_92-snap-gene-0.3&CDS=1-990, maker-flattened_line_92-snap-gene-0.7-mRNA-1_1&gene=maker-flattened_line_92-snap-gene-0.7&CDS=1-1152
12	OG0000012	YAL026C, YGL257C, YNR059W	augustus_masked-flattened_line_8-processed-gene-2.150-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-2.150&CDS=1-1842, genemark-flattened_line_18-processed-gene-1.59-mRNA-1_1&gene=genemark-flattened_line_18-processed-gene-1.59&CDS=1-2676, genemark-flattened_line_64-processed-gene-0.94-mRNA-1_1&gene=genemark-flattened_line_64-processed-gene-0.94&CDS=1-5826
13	OG0000013	YAL063C, YAL064C-A, YAR050W, YHR211W, YHR213W, YKR102W	
14	OG0000014	YBR015C, YJL186W	genemark-flattened_line_0-processed-gene-10.182-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-10.182&CDS=1-2043, genemark-flattened_line_38-processed-gene-0.48-mRNA-1_1&gene=genemark-flattened_line_38-processed-gene-0.48&CDS=1-2016, genemark-flattened_line_42-processed-gene-0.64-mRNA-1_1&gene=genemark-flattened_line_42-processed-gene-0.64&CDS=1-1953, genemark-flattened_line_6-processed-gene-0.88-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-0.88&CDS=1-2358
15	OG0000015	YBR073W, YDL206W, YGL163C	augustus_masked-flattened_line_6-processed-gene-3.92-mRNA-1_1&gene=augustus_masked-flattened_line_6-processed-gene-3.92&CDS=1-2361, genemark-flattened_line_34-processed-gene-0.210-mRNA-1_1&gene=genemark-flattened_line_34-processed-gene-0.210&CDS=1-2517, maker-flattened_line_14-augustus-gene-0.0-mRNA-1_1&gene=maker-flattened_line_14-augustus-gene-0.0&CDS=1-4233
16	OG0000016	YBR237W, YDR243C, YNL112W	genemark-flattened_line_14-processed-gene-1.242-mRNA-1_1&gene=genemark-flattened_line_14-processed-gene-1.242&CDS=1-1797, genemark-flattened_line_18-processed-gene-1.45-mRNA-1_1&gene=genemark-flattened_line_18-processed-gene-1.45&CDS=1-2316, snap_masked-flattened_line_50-processed-gene-0.9-mRNA-1_1&gene=snap_masked-flattened_line_50-processed-gene-0.9&CDS=1-1524
17	OG0000017	YCL037C, YDL051W, YDR515W	genemark-flattened_line_2-processed-gene-4.48-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-4.48&CDS=1-1338, genemark-flattened_line_30-processed-gene-0.175-mRNA-1_1&gene=genemark-flattened_line_30-processed-gene-0.175&CDS=1-696, genemark-flattened_line_46-processed-gene-0.177-mRNA-1_1&gene=genemark-flattened_line_46-processed-gene-0.177&CDS=1-777
18	OG0000018	YDL124W, YGR007W	augustus_masked-flattened_line_42-processed-gene-0.159-mRNA-1_1&gene=augustus_masked-flattened_line_42-processed-gene-0.159&CDS=1-2766, genemark-flattened_line_12-processed-gene-1.17-mRNA-1_1&gene=genemark-flattened_line_12-processed-gene-1.17&CDS=1-942, genemark-flattened_line_12-processed-gene-1.78-mRNA-1_1&gene=genemark-flattened_line_12-processed-gene-1.78&CDS=1-915, genemark-flattened_line_2-processed-gene-8.126-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-8.126&CDS=1-936
19	OG0000019	YDR144C, YLR120C, YLR121C	genemark-flattened_line_2-processed-gene-8.95-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-8.95&CDS=1-2052, maker-flattened_line_34-snap-gene-0.0-mRNA-1_1&gene=maker-flattened_line_34-snap-gene-0.0&CDS=1-3498, snap_masked-flattened_line_136-processed-gene-0.7-mRNA-1_1&gene=snap_masked-flattened_line_136-processed-gene-0.7&CDS=1-936
20	OG0000020	YER013W, YKR086W, YNR011C	genemark-flattened_line_50-processed-gene-0.188-mRNA-1_1&gene=genemark-flattened_line_50-processed-gene-0.188&CDS=1-2673, genemark-flattened_line_54-processed-gene-0.40-mRNA-1_1&gene=genemark-flattened_line_54-processed-gene-0.40&CDS=1-2646, genemark-flattened_line_6-processed-gene-3.23-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-3.23&CDS=1-2943
21	OG0000021	YFL010C	genemark-flattened_line_12-processed-gene-0.71-mRNA-1_1&gene=genemark-flattened_line_12-processed-gene-0.71&CDS=1-531, genemark-flattened_line_12-processed-gene-0.72-mRNA-1_1&gene=genemark-flattened_line_12-processed-gene-0.72&CDS=1-612, genemark-flattened_line_70-processed-gene-0.37-mRNA-1_1&gene=genemark-flattened_line_70-processed-gene-0.37&CDS=1-588, snap_masked-flattened_line_151-processed-gene-0.9-mRNA-1_1&gene=snap_masked-flattened_line_151-processed-gene-0.9&CDS=1-408, snap_masked-flattened_line_38-processed-gene-0.171-mRNA-1_1&gene=snap_masked-flattened_line_38-processed-gene-0.171&CDS=1-435
22	OG0000022	YGR055W	genemark-flattened_line_0-processed-gene-7.23-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-7.23&CDS=1-1746, genemark-flattened_line_122-processed-gene-0.34-mRNA-1_1&gene=genemark-flattened_line_122-processed-gene-0.34&CDS=1-1749, genemark-flattened_line_2-processed-gene-0.92-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-0.92&CDS=1-1734, genemark-flattened_line_82-processed-gene-0.2-mRNA-1_1&gene=genemark-flattened_line_82-processed-gene-0.2&CDS=1-1746, maker-flattened_line_136-snap-gene-0.5-mRNA-1_1&gene=maker-flattened_line_136-snap-gene-0.5&CDS=1-2316
23	OG0000023		augustus_masked-flattened_line_2-processed-gene-3.101-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-3.101&CDS=1-540, genemark-flattened_line_0-processed-gene-2.167-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-2.167&CDS=1-2304, genemark-flattened_line_4-processed-gene-0.96-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-0.96&CDS=1-1698, genemark-flattened_line_4-processed-gene-3.216-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-3.216&CDS=1-3168, genemark-flattened_line_76-processed-gene-0.19-mRNA-1_1&gene=genemark-flattened_line_76-processed-gene-0.19&CDS=1-2658, maker-flattened_line_6-snap-gene-1.106-mRNA-1_1&gene=maker-flattened_line_6-snap-gene-1.106&CDS=1-1689
24	OG0000024	YBL017C, YIL173W, YJL222W, YNR065C	genemark-flattened_line_18-processed-gene-1.52-mRNA-1_1&gene=genemark-flattened_line_18-processed-gene-1.52&CDS=1-5526
25	OG0000025	YBL054W, YER088C	augustus_masked-flattened_line_171-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-flattened_line_171-processed-gene-0.3&CDS=1-1245, snap_masked-flattened_line_132-processed-gene-0.15-mRNA-1_1&gene=snap_masked-flattened_line_132-processed-gene-0.15&CDS=1-1287, snap_masked-flattened_line_14-processed-gene-1.45-mRNA-1_1&gene=snap_masked-flattened_line_14-processed-gene-1.45&CDS=1-1362
26	OG0000026	YBL056W, YBR125C, YER089C	augustus_masked-flattened_line_8-processed-gene-1.132-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-1.132&CDS=1-1149, genemark-flattened_line_0-processed-gene-10.208-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-10.208&CDS=1-1302
27	OG0000027	YBR067C, YER011W, YIL011W, YOR010C	genemark-flattened_line_12-processed-gene-1.71-mRNA-1_1&gene=genemark-flattened_line_12-processed-gene-1.71&CDS=1-585
28	OG0000028	YCR102C, YLR460C, YNL134C	augustus_masked-flattened_line_0-processed-gene-6.118-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-6.118&CDS=1-1098, genemark-flattened_line_0-processed-gene-6.35-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-6.35&CDS=1-1098
29	OG0000029	YDR038C, YDR039C, YDR040C	genemark-flattened_line_12-processed-gene-1.22-mRNA-1_1&gene=genemark-flattened_line_12-processed-gene-1.22&CDS=1-3222, genemark-flattened_line_38-processed-gene-0.4-mRNA-1_1&gene=genemark-flattened_line_38-processed-gene-0.4&CDS=1-3222
30	OG0000030	YDR178W, YLR164W, YOR297C	augustus_masked-flattened_line_0-processed-gene-2.92-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-2.92&CDS=1-474, augustus_masked-flattened_line_94-processed-gene-0.64-mRNA-1_1&gene=augustus_masked-flattened_line_94-processed-gene-0.64&CDS=1-1737
31	OG0000031	YDR216W, YJR127C, YML081W	genemark-flattened_line_114-processed-gene-0.15-mRNA-1_1&gene=genemark-flattened_line_114-processed-gene-0.15&CDS=1-4503, genemark-flattened_line_2-processed-gene-4.28-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-4.28&CDS=1-3687
32	OG0000032	YER005W	augustus_masked-flattened_line_8-processed-gene-0.72-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-0.72&CDS=1-5784, genemark-flattened_line_0-processed-gene-7.44-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-7.44&CDS=1-2124, snap_masked-flattened_line_12-processed-gene-0.47-mRNA-1_1&gene=snap_masked-flattened_line_12-processed-gene-0.47&CDS=1-2082, snap_masked-flattened_line_38-processed-gene-0.190-mRNA-1_1&gene=snap_masked-flattened_line_38-processed-gene-0.190&CDS=1-2106
33	OG0000033	YGL201C, YOR348C	genemark-flattened_line_0-processed-gene-5.38-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-5.38&CDS=1-1737, genemark-flattened_line_100-processed-gene-0.8-mRNA-1_1&gene=genemark-flattened_line_100-processed-gene-0.8&CDS=1-1719, maker-flattened_line_58-augustus-gene-0.46-mRNA-1_1&gene=maker-flattened_line_58-augustus-gene-0.46&CDS=1-4665
34	OG0000034	YHR023W, YOR326W	augustus_masked-flattened_line_0-processed-gene-6.100-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-6.100&CDS=1-4317, genemark-flattened_line_8-processed-gene-2.78-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-2.78&CDS=1-4572, maker-flattened_line_52-snap-gene-0.164-mRNA-1_1&gene=maker-flattened_line_52-snap-gene-0.164&CDS=1-4932
35	OG0000035	YJL042W, YOR227W, YPL137C	genemark-flattened_line_2-processed-gene-4.29-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-4.29&CDS=1-3882, genemark-flattened_line_6-processed-gene-1.138-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-1.138&CDS=1-3648
36	OG0000036	YJR061W, YKL201C	augustus_masked-flattened_line_66-processed-gene-0.37-mRNA-1_1&gene=augustus_masked-flattened_line_66-processed-gene-0.37&CDS=1-2337, snap_masked-flattened_line_10-processed-gene-1.31-mRNA-1_1&gene=snap_masked-flattened_line_10-processed-gene-1.31&CDS=1-2397, snap_masked-flattened_line_82-processed-gene-0.32-mRNA-1_1&gene=snap_masked-flattened_line_82-processed-gene-0.32&CDS=1-2121
37	OG0000037	YKL220C, YLL051C, YNR060W, YOR381W, YOR384W	
38	OG0000038	YML072C, YNL087W, YOR086C	genemark-flattened_line_18-processed-gene-1.19-mRNA-1_1&gene=genemark-flattened_line_18-processed-gene-1.19&CDS=1-5268, genemark-flattened_line_2-processed-gene-5.53-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-5.53&CDS=1-3468
39	OG0000039	YMR303C, YOL086C	genemark-flattened_line_112-processed-gene-0.19-mRNA-1_1&gene=genemark-flattened_line_112-processed-gene-0.19&CDS=1-1116, genemark-flattened_line_120-processed-gene-0.51-mRNA-1_1&gene=genemark-flattened_line_120-processed-gene-0.51&CDS=1-1044, genemark-flattened_line_8-processed-gene-2.54-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-2.54&CDS=1-1107
40	OG0000040	YOR153W	genemark-flattened_line_100-processed-gene-0.1-mRNA-1_1&gene=genemark-flattened_line_100-processed-gene-0.1&CDS=1-4509, genemark-flattened_line_100-processed-gene-0.13-mRNA-1_1&gene=genemark-flattened_line_100-processed-gene-0.13&CDS=1-4500, genemark-flattened_line_76-processed-gene-0.10-mRNA-1_1&gene=genemark-flattened_line_76-processed-gene-0.10&CDS=1-5607, snap_masked-flattened_line_82-processed-gene-0.41-mRNA-1_1&gene=snap_masked-flattened_line_82-processed-gene-0.41&CDS=1-4488
41	OG0000041		augustus_masked-flattened_line_36-processed-gene-0.144-mRNA-1_1&gene=augustus_masked-flattened_line_36-processed-gene-0.144&CDS=1-2718, genemark-flattened_line_102-processed-gene-0.40-mRNA-1_1&gene=genemark-flattened_line_102-processed-gene-0.40&CDS=1-3021, genemark-flattened_line_36-processed-gene-0.3-mRNA-1_1&gene=genemark-flattened_line_36-processed-gene-0.3&CDS=1-2940, genemark-flattened_line_60-processed-gene-0.106-mRNA-1_1&gene=genemark-flattened_line_60-processed-gene-0.106&CDS=1-2826, genemark-flattened_line_8-processed-gene-2.69-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-2.69&CDS=1-3054
42	OG0000042	YAL054C, YLR153C	genemark-flattened_line_0-processed-gene-9.32-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-9.32&CDS=1-2019, genemark-flattened_line_10-processed-gene-2.171-mRNA-1_1&gene=genemark-flattened_line_10-processed-gene-2.171&CDS=1-2025
43	OG0000043	YAR035W, YER024W	genemark-flattened_line_26-processed-gene-0.95-mRNA-1_1&gene=genemark-flattened_line_26-processed-gene-0.95&CDS=1-2100, genemark-flattened_line_6-processed-gene-0.121-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-0.121&CDS=1-2205
44	OG0000044	YBR005W, YDR003W	genemark-flattened_line_66-processed-gene-0.87-mRNA-1_1&gene=genemark-flattened_line_66-processed-gene-0.87&CDS=1-618, snap_masked-flattened_line_2-processed-gene-6.7-mRNA-1_1&gene=snap_masked-flattened_line_2-processed-gene-6.7&CDS=1-426
45	OG0000045	YBR021W, YIR028W	genemark-flattened_line_10-processed-gene-2.193-mRNA-1_1&gene=genemark-flattened_line_10-processed-gene-2.193&CDS=1-1794, genemark-flattened_line_38-processed-gene-0.67-mRNA-1_1&gene=genemark-flattened_line_38-processed-gene-0.67&CDS=1-1746
46	OG0000046	YBR038W, YNL192W	genemark-flattened_line_0-processed-gene-4.109-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-4.109&CDS=1-3159, genemark-flattened_line_2-processed-gene-2.33-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-2.33&CDS=1-3018
47	OG0000047	YBR118W, YPR080W	genemark-flattened_line_0-processed-gene-10.245-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-10.245&CDS=1-1377, genemark-flattened_line_0-processed-gene-8.102-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-8.102&CDS=1-1377
48	OG0000048	YBR139W, YMR297W	genemark-flattened_line_0-processed-gene-2.148-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-2.148&CDS=1-1629, genemark-flattened_line_46-processed-gene-0.158-mRNA-1_1&gene=genemark-flattened_line_46-processed-gene-0.158&CDS=1-1605
49	OG0000049	YBR199W, YJR139C	augustus_masked-flattened_line_2-processed-gene-8.0-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-8.0&CDS=1-2235, genemark-flattened_line_2-processed-gene-5.48-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-5.48&CDS=1-1404
50	OG0000050	YBR238C, YGL107C	genemark-flattened_line_12-processed-gene-1.6-mRNA-1_1&gene=genemark-flattened_line_12-processed-gene-1.6&CDS=1-1917, maker-flattened_line_30-snap-gene-0.253-mRNA-1_1&gene=maker-flattened_line_30-snap-gene-0.253&CDS=1-3807
51	OG0000051	YBR263W, YLR058C	augustus_masked-flattened_line_2-processed-gene-3.127-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-3.127&CDS=1-1476, genemark-flattened_line_84-processed-gene-0.70-mRNA-1_1&gene=genemark-flattened_line_84-processed-gene-0.70&CDS=1-1410
52	OG0000052	YBR293W, YMR088C	genemark-flattened_line_22-processed-gene-0.9-mRNA-1_1&gene=genemark-flattened_line_22-processed-gene-0.9&CDS=1-1704, maker-flattened_line_4-snap-gene-1.1-mRNA-1_1&gene=maker-flattened_line_4-snap-gene-1.1&CDS=1-4659
53	OG0000053	YCR065W, YIL131C	genemark-flattened_line_2-processed-gene-7.44-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-7.44&CDS=1-1932, genemark-flattened_line_6-processed-gene-1.147-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-1.147&CDS=1-1602
54	OG0000054	YCR098C	genemark-flattened_line_191-processed-gene-0.1-mRNA-1_1&gene=genemark-flattened_line_191-processed-gene-0.1&CDS=1-1602, genemark-flattened_line_38-processed-gene-0.40-mRNA-1_1&gene=genemark-flattened_line_38-processed-gene-0.40&CDS=1-1599, genemark-flattened_line_40-processed-gene-0.3-mRNA-1_1&gene=genemark-flattened_line_40-processed-gene-0.3&CDS=1-1593
55	OG0000055	YDR135C, YLL015W	genemark-flattened_line_0-processed-gene-5.7-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-5.7&CDS=1-4518, genemark-flattened_line_20-processed-gene-1.125-mRNA-1_1&gene=genemark-flattened_line_20-processed-gene-1.125&CDS=1-4713
