	OrthologID	Saccharomyces_cerevisiae	Torulaspora_delbrueckii
12	OG0000012		augustus_masked-scaffold_1-processed-gene-2.121-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-2.121&CDS=1-1107, augustus_masked-scaffold_6-processed-gene-4.89-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-4.89&CDS=1-1125, snap_masked-scaffold_1-processed-gene-12.15-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-12.15&CDS=1-1143, snap_masked-scaffold_1-processed-gene-12.16-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-12.16&CDS=1-876, snap_masked-scaffold_1-processed-gene-2.77-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-2.77&CDS=1-393, snap_masked-scaffold_2-processed-gene-5.123-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-5.123&CDS=1-1083, snap_masked-scaffold_4-processed-gene-1.39-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-1.39&CDS=1-1092
13	OG0000013	YBL017C, YIL173W, YJL222W, YNR065C	snap_masked-scaffold_2-processed-gene-8.79-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-8.79&CDS=1-4530, snap_masked-scaffold_6-processed-gene-9.193-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-9.193&CDS=1-4491
14	OG0000014	YDR011W, YOR153W, YPL058C	augustus_masked-scaffold_2-processed-gene-2.34-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-2.34&CDS=1-4536, snap_masked-scaffold_1-processed-gene-6.21-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-6.21&CDS=1-4527, snap_masked-scaffold_4-processed-gene-7.45-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-7.45&CDS=1-4500
15	OG0000015	YER040W, YFL021W, YKR034W	snap_masked-scaffold_3-processed-gene-1.13-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-1.13&CDS=1-1035, snap_masked-scaffold_4-processed-gene-11.2-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-11.2&CDS=1-2433, snap_masked-scaffold_4-processed-gene-2.48-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-2.48&CDS=1-1074
16	OG0000016	YER073W, YOR374W, YPL061W	maker-scaffold_8-snap-gene-3.169-mRNA-1_1&gene=maker-scaffold_8-snap-gene-3.169&CDS=1-1911, snap_masked-scaffold_2-processed-gene-5.127-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-5.127&CDS=1-1494, snap_masked-scaffold_8-processed-gene-7.131-mRNA-1_1&gene=snap_masked-scaffold_8-processed-gene-7.131&CDS=1-1557
17	OG0000017	YER133W, YML016C, YPL179W	maker-scaffold_2-snap-gene-8.4-mRNA-1_1&gene=maker-scaffold_2-snap-gene-8.4&CDS=1-936, snap_masked-scaffold_1-processed-gene-7.62-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-7.62&CDS=1-2022, snap_masked-scaffold_6-processed-gene-3.56-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-3.56&CDS=1-1677
18	OG0000018	YFL041W, YJL184W, YMR058W	genemark-scaffold_7-processed-gene-4.3-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-4.3&CDS=1-2277, snap_masked-scaffold_2-processed-gene-12.19-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-12.19&CDS=1-1869, snap_masked-scaffold_3-processed-gene-0.69-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-0.69&CDS=1-1863
19	OG0000019	YGR109W-A, YGR109W-B, YIL082W, YIL082W-A	augustus_masked-scaffold_5-processed-gene-5.50-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-5.50&CDS=1-621, snap_masked-scaffold_3-processed-gene-11.207-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-11.207&CDS=1-1365
20	OG0000020	YIR013C, YLR013W, YMR136W, YPL021W	snap_masked-scaffold_7-processed-gene-6.38-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-6.38&CDS=1-1644, snap_masked-scaffold_7-processed-gene-6.43-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-6.43&CDS=1-1299
21	OG0000021	YLL061W, YPL274W	snap_masked-scaffold_2-processed-gene-0.1-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-0.1&CDS=1-1752, snap_masked-scaffold_5-processed-gene-0.8-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-0.8&CDS=1-1761, snap_masked-scaffold_5-processed-gene-9.208-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-9.208&CDS=1-1752, snap_masked-scaffold_8-processed-gene-7.155-mRNA-1_1&gene=snap_masked-scaffold_8-processed-gene-7.155&CDS=1-1752
22	OG0000022	YLR266C, YOR162C, YOR172W	snap_masked-scaffold_1-processed-gene-5.115-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-5.115&CDS=1-2166, snap_masked-scaffold_7-processed-gene-7.45-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-7.45&CDS=1-2229, snap_masked-scaffold_7-processed-gene-7.46-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-7.46&CDS=1-2097
23	OG0000023	YMR083W, YMR303C, YOL086C	maker-scaffold_6-augustus-gene-5.101-mRNA-1_1&gene=maker-scaffold_6-augustus-gene-5.101&CDS=1-1827, snap_masked-scaffold_1-processed-gene-4.153-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-4.153&CDS=1-1119, snap_masked-scaffold_4-processed-gene-9.58-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-9.58&CDS=1-1053
24	OG0000024	YBL005W-A, YDR170W-A, YDR210C-C, YMR046C, YNL284C-A	
25	OG0000025	YBR203W, YNR060W	augustus_masked-scaffold_2-processed-gene-5.79-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-5.79&CDS=1-4716, augustus_masked-scaffold_6-processed-gene-5.89-mRNA-1_1&gene=augustus_masked-scaffold_6-processed-gene-5.89&CDS=1-2373, snap_masked-scaffold_4-processed-gene-11.61-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-11.61&CDS=1-2139
26	OG0000026	YCR037C, YJL198W, YNR013C	augustus_masked-scaffold_3-processed-gene-10.31-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-10.31&CDS=1-6210, snap_masked-scaffold_1-processed-gene-12.47-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-12.47&CDS=1-2553
27	OG0000027	YDL178W, YEL071W	snap_masked-scaffold_1-processed-gene-13.197-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-13.197&CDS=1-1488, snap_masked-scaffold_5-processed-gene-9.163-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-9.163&CDS=1-1488, snap_masked-scaffold_8-processed-gene-2.37-mRNA-1_1&gene=snap_masked-scaffold_8-processed-gene-2.37&CDS=1-1605
28	OG0000028	YDL244W, YFL058W, YJR156C, YNL332W	snap_masked-scaffold_5-processed-gene-7.41-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-7.41&CDS=1-1020
29	OG0000029	YDR038C, YDR039C, YDR040C	maker-scaffold_4-augustus-gene-6.1-mRNA-1_1&gene=maker-scaffold_4-augustus-gene-6.1&CDS=1-3786, snap_masked-scaffold_7-processed-gene-8.132-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-8.132&CDS=1-3273
30	OG0000030	YDR533C, YMR322C, YOR391C, YPL280W	snap_masked-scaffold_6-processed-gene-0.29-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-0.29&CDS=1-702
31	OG0000031	YFR040W, YJL098W, YKR028W	augustus_masked-scaffold_4-processed-gene-2.15-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-2.15&CDS=1-7980, snap_masked-scaffold_4-processed-gene-11.8-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-11.8&CDS=1-2673
32	OG0000032	YJL116C, YKR042W, YNL066W	snap_masked-scaffold_3-processed-gene-8.18-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-8.18&CDS=1-1272, snap_masked-scaffold_8-processed-gene-2.45-mRNA-1_1&gene=snap_masked-scaffold_8-processed-gene-2.45&CDS=1-1155
33	OG0000033	YAL023C, YGR199W	augustus_masked-scaffold_5-processed-gene-9.225-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-9.225&CDS=1-4437, snap_masked-scaffold_8-processed-gene-6.67-mRNA-1_1&gene=snap_masked-scaffold_8-processed-gene-6.67&CDS=1-2250
34	OG0000034	YAL054C, YLR153C	snap_masked-scaffold_6-processed-gene-9.163-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-9.163&CDS=1-2037, snap_masked-scaffold_8-processed-gene-7.127-mRNA-1_1&gene=snap_masked-scaffold_8-processed-gene-7.127&CDS=1-2169
35	OG0000035	YBL003C, YDR225W	genemark-scaffold_2-processed-gene-3.45-mRNA-1_1&gene=genemark-scaffold_2-processed-gene-3.45&CDS=1-396, snap_masked-scaffold_4-processed-gene-7.48-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-7.48&CDS=1-396
36	OG0000036	YBL011W, YKR067W	snap_masked-scaffold_2-processed-gene-5.103-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-5.103&CDS=1-2166, snap_masked-scaffold_6-processed-gene-4.147-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-4.147&CDS=1-2181
37	OG0000037	YBL042C, YBR021W	snap_masked-scaffold_3-processed-gene-6.63-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-6.63&CDS=1-1815, snap_masked-scaffold_4-processed-gene-7.44-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-7.44&CDS=1-1872
38	OG0000038	YBL052C, YOR244W	snap_masked-scaffold_1-processed-gene-11.1-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-11.1&CDS=1-1329, snap_masked-scaffold_3-processed-gene-3.91-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-3.91&CDS=1-2286
39	OG0000039	YBL063W, YEL061C	augustus_masked-scaffold_7-processed-gene-8.49-mRNA-1_1&gene=augustus_masked-scaffold_7-processed-gene-8.49&CDS=1-2874, snap_masked-scaffold_3-processed-gene-2.84-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-2.84&CDS=1-3294
40	OG0000040	YBR009C, YNL030W	snap_masked-scaffold_4-processed-gene-7.56-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-7.56&CDS=1-309, snap_masked-scaffold_7-processed-gene-4.150-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-4.150&CDS=1-309
41	OG0000041	YBR010W, YNL031C	snap_masked-scaffold_4-processed-gene-7.33-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-7.33&CDS=1-408, snap_masked-scaffold_7-processed-gene-4.179-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-4.179&CDS=1-408
42	OG0000042	YBR019C	augustus_masked-scaffold_5-processed-gene-0.32-mRNA-1_1&gene=augustus_masked-scaffold_5-processed-gene-0.32&CDS=1-2109, snap_masked-scaffold_5-processed-gene-0.5-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-0.5&CDS=1-2091, snap_masked-scaffold_7-processed-gene-8.105-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-8.105&CDS=1-2100
43	OG0000043	YBR025C, YHL014C	snap_masked-scaffold_2-processed-gene-11.122-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-11.122&CDS=1-1215, snap_masked-scaffold_4-processed-gene-7.18-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-7.18&CDS=1-1179
44	OG0000044	YBR038W, YNL192W	genemark-scaffold_1-processed-gene-1.35-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-1.35&CDS=1-3540, snap_masked-scaffold_4-processed-gene-7.19-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-7.19&CDS=1-2844
45	OG0000045	YBR059C, YNL020C	snap_masked-scaffold_4-processed-gene-6.26-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-6.26&CDS=1-3147, snap_masked-scaffold_7-processed-gene-4.143-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-4.143&CDS=1-1983
46	OG0000046	YBR245C, YOR304W	snap_masked-scaffold_2-processed-gene-6.56-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-6.56&CDS=1-3147, snap_masked-scaffold_2-processed-gene-7.75-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-7.75&CDS=1-3234
47	OG0000047	YBR263W, YLR058C	snap_masked-scaffold_3-processed-gene-1.6-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-1.6&CDS=1-1407, snap_masked-scaffold_4-processed-gene-4.34-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-4.34&CDS=1-1497
48	OG0000048	YCL025C, YKR039W	snap_masked-scaffold_3-processed-gene-1.42-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-1.42&CDS=1-1785, snap_masked-scaffold_3-processed-gene-11.208-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-11.208&CDS=1-1926
49	OG0000049	YCL067C, YCR039C, YCR096C	snap_masked-scaffold_3-processed-gene-11.283-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-11.283&CDS=1-711
50	OG0000050	YCR097W	genemark-scaffold_3-processed-gene-10.111-mRNA-1_1&gene=genemark-scaffold_3-processed-gene-10.111&CDS=1-303, genemark-scaffold_5-processed-gene-0.82-mRNA-1_1&gene=genemark-scaffold_5-processed-gene-0.82&CDS=1-519, genemark-scaffold_7-processed-gene-0.27-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-0.27&CDS=1-519
51	OG0000051	YCR102C, YLR460C, YNL134C	snap_masked-scaffold_1-processed-gene-0.37-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-0.37&CDS=1-1215
52	OG0000052	YDL025C, YNL183C	snap_masked-scaffold_1-processed-gene-2.52-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-2.52&CDS=1-2247, snap_masked-scaffold_4-processed-gene-8.79-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-8.79&CDS=1-2061
53	OG0000053	YDL138W, YDL194W	augustus_masked-scaffold_3-processed-gene-4.63-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-4.63&CDS=1-3204, snap_masked-scaffold_3-processed-gene-0.56-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-0.56&CDS=1-1578
54	OG0000054	YDR135C, YLL015W	snap_masked-scaffold_5-processed-gene-9.158-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-9.158&CDS=1-4605, snap_masked-scaffold_6-processed-gene-8.25-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-8.25&CDS=1-4542
55	OG0000055	YDR368W, YOR120W	snap_masked-scaffold_4-processed-gene-0.76-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-0.76&CDS=1-936, snap_masked-scaffold_5-processed-gene-3.52-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-3.52&CDS=1-933
56	OG0000056	YDR420W, YGR014W	augustus_masked-scaffold_1-processed-gene-7.102-mRNA-1_1&gene=augustus_masked-scaffold_1-processed-gene-7.102&CDS=1-5088, augustus_masked-scaffold_4-processed-gene-5.52-mRNA-1_1&gene=augustus_masked-scaffold_4-processed-gene-5.52&CDS=1-3369
57	OG0000057	YDR466W, YOL100W	snap_masked-scaffold_1-processed-gene-8.128-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-8.128&CDS=1-2082, snap_masked-scaffold_4-processed-gene-9.98-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-9.98&CDS=1-3171
58	OG0000058	YEL036C, YMR278W	augustus_masked-scaffold_2-processed-gene-1.127-mRNA-1_1&gene=augustus_masked-scaffold_2-processed-gene-1.127&CDS=1-5457, snap_masked-scaffold_3-processed-gene-4.143-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-4.143&CDS=1-1386
59	OG0000059	YEL040W, YLR213C	augustus_masked-scaffold_3-processed-gene-4.58-mRNA-1_1&gene=augustus_masked-scaffold_3-processed-gene-4.58&CDS=1-1428, snap_masked-scaffold_3-processed-gene-4.123-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-4.123&CDS=1-1437
60	OG0000060	YER017C, YMR089C	snap_masked-scaffold_1-processed-gene-4.130-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-4.130&CDS=1-2448, snap_masked-scaffold_8-processed-gene-4.87-mRNA-1_1&gene=snap_masked-scaffold_8-processed-gene-4.87&CDS=1-2232
61	OG0000061	YER056C, YER060W, YER060W-A	snap_masked-scaffold_8-processed-gene-3.72-mRNA-1_1&gene=snap_masked-scaffold_8-processed-gene-3.72&CDS=1-1611
62	OG0000062	YER062C, YIL053W	augustus_masked-scaffold_8-processed-gene-3.15-mRNA-1_1&gene=augustus_masked-scaffold_8-processed-gene-3.15&CDS=1-2004, snap_masked-scaffold_4-processed-gene-9.56-mRNA-1_1&gene=snap_masked-scaffold_4-processed-gene-9.56&CDS=1-747
63	OG0000063	YER070W, YIL066C	maker-scaffold_1-augustus-gene-9.180-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-9.180&CDS=1-5733, snap_masked-scaffold_8-processed-gene-3.90-mRNA-1_1&gene=snap_masked-scaffold_8-processed-gene-3.90&CDS=1-2658
64	OG0000064	YER123W, YHR135C	snap_masked-scaffold_6-processed-gene-1.23-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-1.23&CDS=1-1689, snap_masked-scaffold_6-processed-gene-1.51-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-1.51&CDS=1-1473
65	OG0000065	YER172C, YGR271W	snap_masked-scaffold_1-processed-gene-2.60-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-2.60&CDS=1-6438, snap_masked-scaffold_7-processed-gene-1.73-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-1.73&CDS=1-5877
66	OG0000066	YFL060C, YMR095C, YNL334C	genemark-scaffold_1-processed-gene-4.17-mRNA-1_1&gene=genemark-scaffold_1-processed-gene-4.17&CDS=1-627
67	OG0000067	YGL035C, YGL209W	genemark-scaffold_4-processed-gene-10.49-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-10.49&CDS=1-990, snap_masked-scaffold_6-processed-gene-5.2-mRNA-1_1&gene=snap_masked-scaffold_6-processed-gene-5.2&CDS=1-1050
68	OG0000068	YGL147C, YNL067W	genemark-scaffold_7-processed-gene-4.60-mRNA-1_1&gene=genemark-scaffold_7-processed-gene-4.60&CDS=1-573, snap_masked-scaffold_3-processed-gene-8.15-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-8.15&CDS=1-573
69	OG0000069	YGL194C, YNL330C	maker-scaffold_1-augustus-gene-0.83-mRNA-1_1&gene=maker-scaffold_1-augustus-gene-0.83&CDS=1-4350, snap_masked-scaffold_2-processed-gene-8.105-mRNA-1_1&gene=snap_masked-scaffold_2-processed-gene-8.105&CDS=1-1338
70	OG0000070	YGR012W, YJL063C	genemark-scaffold_4-processed-gene-5.172-mRNA-1_1&gene=genemark-scaffold_4-processed-gene-5.172&CDS=1-1335, maker-scaffold_4-augustus-gene-3.56-mRNA-1_1&gene=maker-scaffold_4-augustus-gene-3.56&CDS=1-1773
71	OG0000071	YGR086C, YPL004C	snap_masked-scaffold_3-processed-gene-10.50-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-10.50&CDS=1-1059, snap_masked-scaffold_3-processed-gene-2.64-mRNA-1_1&gene=snap_masked-scaffold_3-processed-gene-2.64&CDS=1-963
72	OG0000072	YGR240C, YMR205C	snap_masked-scaffold_1-processed-gene-12.44-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-12.44&CDS=1-2874, snap_masked-scaffold_7-processed-gene-2.59-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-2.59&CDS=1-2949
73	OG0000073	YGR249W, YOR140W	snap_masked-scaffold_1-processed-gene-6.9-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-6.9&CDS=1-2430, snap_masked-scaffold_7-processed-gene-2.74-mRNA-1_1&gene=snap_masked-scaffold_7-processed-gene-2.74&CDS=1-1194
74	OG0000074	YHL007C, YNL298W	snap_masked-scaffold_1-processed-gene-5.119-mRNA-1_1&gene=snap_masked-scaffold_1-processed-gene-5.119&CDS=1-2745, snap_masked-scaffold_5-processed-gene-1.16-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-1.16&CDS=1-2499
75	OG0000075	YHR023W, YOR326W	snap_masked-scaffold_5-processed-gene-6.151-mRNA-1_1&gene=snap_masked-scaffold_5-processed-gene-6.151&CDS=1-5583, snap_masked-scaffold_8-processed-gene-6.71-mRNA-1_1&gene=snap_masked-scaffold_8-processed-gene-6.71&CDS=1-4746
