	OrthologID	Saccharomyces_cerevisiae	yHMPu5000041822_Dipodascus_geniculatus
10	OG0000010	YKL046C	genemark-flattened_line_0-processed-gene-0.75-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-0.75&CDS=1-1350, genemark-flattened_line_134-processed-gene-0.120-mRNA-1_1&gene=genemark-flattened_line_134-processed-gene-0.120&CDS=1-1392, genemark-flattened_line_2-processed-gene-4.183-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-4.183&CDS=1-1359, genemark-flattened_line_8-processed-gene-1.5-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-1.5&CDS=1-1356, genemark-flattened_line_92-processed-gene-0.24-mRNA-1_1&gene=genemark-flattened_line_92-processed-gene-0.24&CDS=1-1374, snap_masked-flattened_line_0-processed-gene-0.35-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-0.35&CDS=1-1341
11	OG0000011	YKR039W	genemark-flattened_line_14-processed-gene-1.114-mRNA-1_1&gene=genemark-flattened_line_14-processed-gene-1.114&CDS=1-1743, genemark-flattened_line_16-processed-gene-2.18-mRNA-1_1&gene=genemark-flattened_line_16-processed-gene-2.18&CDS=1-1734, genemark-flattened_line_6-processed-gene-1.18-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-1.18&CDS=1-1719, genemark-flattened_line_6-processed-gene-3.66-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-3.66&CDS=1-1725, genemark-flattened_line_6-processed-gene-3.95-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-3.95&CDS=1-1758, genemark-flattened_line_84-processed-gene-0.186-mRNA-1_1&gene=genemark-flattened_line_84-processed-gene-0.186&CDS=1-1740
12	OG0000012	Q0045, Q0060, Q0065, Q0070	maker-flattened_line_112-snap-gene-0.34-mRNA-1_1&gene=maker-flattened_line_112-snap-gene-0.34&CDS=1-270, maker-flattened_line_112-snap-gene-0.35-mRNA-1_1&gene=maker-flattened_line_112-snap-gene-0.35&CDS=1-438, maker-flattened_line_112-snap-gene-0.45-mRNA-1_1&gene=maker-flattened_line_112-snap-gene-0.45&CDS=1-447
13	OG0000013	YBR038W, YNL192W	genemark-flattened_line_158-processed-gene-0.53-mRNA-1_1&gene=genemark-flattened_line_158-processed-gene-0.53&CDS=1-2886, genemark-flattened_line_66-processed-gene-0.75-mRNA-1_1&gene=genemark-flattened_line_66-processed-gene-0.75&CDS=1-3252, genemark-flattened_line_74-processed-gene-0.221-mRNA-1_1&gene=genemark-flattened_line_74-processed-gene-0.221&CDS=1-3060, genemark-flattened_line_8-processed-gene-2.125-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-2.125&CDS=1-2790
14	OG0000014	YBR207W, YER145C	genemark-flattened_line_24-processed-gene-0.113-mRNA-1_1&gene=genemark-flattened_line_24-processed-gene-0.113&CDS=1-1119, genemark-flattened_line_26-processed-gene-0.34-mRNA-1_1&gene=genemark-flattened_line_26-processed-gene-0.34&CDS=1-1281, genemark-flattened_line_70-processed-gene-0.39-mRNA-1_1&gene=genemark-flattened_line_70-processed-gene-0.39&CDS=1-1176, genemark-flattened_line_88-processed-gene-0.90-mRNA-1_1&gene=genemark-flattened_line_88-processed-gene-0.90&CDS=1-1230
15	OG0000015	YCL069W, YGR224W, YKR105C, YPR198W	genemark-flattened_line_140-processed-gene-0.72-mRNA-1_1&gene=genemark-flattened_line_140-processed-gene-0.72&CDS=1-1713, genemark-flattened_line_173-processed-gene-0.37-mRNA-1_1&gene=genemark-flattened_line_173-processed-gene-0.37&CDS=1-1725
16	OG0000016	YCR073W-A, YGR248W, YHR163W, YNR034W	genemark-flattened_line_58-processed-gene-0.89-mRNA-1_1&gene=genemark-flattened_line_58-processed-gene-0.89&CDS=1-789, genemark-flattened_line_86-processed-gene-0.156-mRNA-1_1&gene=genemark-flattened_line_86-processed-gene-0.156&CDS=1-855
17	OG0000017	YER054C, YIL045W, YLR273C, YOR178C	augustus_masked-flattened_line_64-processed-gene-0.217-mRNA-1_1&gene=augustus_masked-flattened_line_64-processed-gene-0.217&CDS=1-2118, snap_masked-flattened_line_42-processed-gene-0.48-mRNA-1_1&gene=snap_masked-flattened_line_42-processed-gene-0.48&CDS=1-888
18	OG0000018	YLR098C, YOR337W	genemark-flattened_line_10-processed-gene-0.66-mRNA-1_1&gene=genemark-flattened_line_10-processed-gene-0.66&CDS=1-2574, genemark-flattened_line_120-processed-gene-0.60-mRNA-1_1&gene=genemark-flattened_line_120-processed-gene-0.60&CDS=1-1638, snap_masked-flattened_line_126-processed-gene-0.0-mRNA-1_1&gene=snap_masked-flattened_line_126-processed-gene-0.0&CDS=1-1110, snap_masked-flattened_line_315-processed-gene-0.0-mRNA-1_1&gene=snap_masked-flattened_line_315-processed-gene-0.0&CDS=1-204
19	OG0000019	YLR144C, YNR067C	genemark-flattened_line_14-processed-gene-1.122-mRNA-1_1&gene=genemark-flattened_line_14-processed-gene-1.122&CDS=1-2502, genemark-flattened_line_16-processed-gene-2.12-mRNA-1_1&gene=genemark-flattened_line_16-processed-gene-2.12&CDS=1-3039, genemark-flattened_line_86-processed-gene-0.166-mRNA-1_1&gene=genemark-flattened_line_86-processed-gene-0.166&CDS=1-2142, snap_masked-flattened_line_166-processed-gene-0.36-mRNA-1_1&gene=snap_masked-flattened_line_166-processed-gene-0.36&CDS=1-2241
20	OG0000020	YPR194C	genemark-flattened_line_0-processed-gene-9.87-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-9.87&CDS=1-2526, genemark-flattened_line_102-processed-gene-0.79-mRNA-1_1&gene=genemark-flattened_line_102-processed-gene-0.79&CDS=1-2526, genemark-flattened_line_12-processed-gene-2.5-mRNA-1_1&gene=genemark-flattened_line_12-processed-gene-2.5&CDS=1-2532, genemark-flattened_line_32-processed-gene-1.43-mRNA-1_1&gene=genemark-flattened_line_32-processed-gene-1.43&CDS=1-2628, maker-flattened_line_38-snap-gene-0.55-mRNA-1_1&gene=maker-flattened_line_38-snap-gene-0.55&CDS=1-5085
21	OG0000021	YAL005C, YLL024C	genemark-flattened_line_0-processed-gene-3.77-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-3.77&CDS=1-1929, genemark-flattened_line_100-processed-gene-0.21-mRNA-1_1&gene=genemark-flattened_line_100-processed-gene-0.21&CDS=1-1941, genemark-flattened_line_4-processed-gene-0.88-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-0.88&CDS=1-1950
22	OG0000022	YBL017C, YIL173W, YJL222W, YNR065C	genemark-flattened_line_10-processed-gene-0.69-mRNA-1_1&gene=genemark-flattened_line_10-processed-gene-0.69&CDS=1-4533
23	OG0000023	YBR150C, YOL089C	genemark-flattened_line_34-processed-gene-1.143-mRNA-1_1&gene=genemark-flattened_line_34-processed-gene-1.143&CDS=1-1548, snap_masked-flattened_line_114-processed-gene-0.26-mRNA-1_1&gene=snap_masked-flattened_line_114-processed-gene-0.26&CDS=1-2187, snap_masked-flattened_line_26-processed-gene-2.135-mRNA-1_1&gene=snap_masked-flattened_line_26-processed-gene-2.135&CDS=1-1248
24	OG0000024	YCL032W, YKL141W, YMR118C	genemark-flattened_line_38-processed-gene-1.168-mRNA-1_1&gene=genemark-flattened_line_38-processed-gene-1.168&CDS=1-1824, genemark-flattened_line_88-processed-gene-0.119-mRNA-1_1&gene=genemark-flattened_line_88-processed-gene-0.119&CDS=1-1425
25	OG0000025	YDR313C, YGL023C	augustus_masked-flattened_line_0-processed-gene-10.14-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-10.14&CDS=1-1608, genemark-flattened_line_2-processed-gene-3.135-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-3.135&CDS=1-702, genemark-flattened_line_46-processed-gene-0.148-mRNA-1_1&gene=genemark-flattened_line_46-processed-gene-0.148&CDS=1-693
26	OG0000026	YDR533C, YMR322C, YOR391C, YPL280W	genemark-flattened_line_150-processed-gene-0.25-mRNA-1_1&gene=genemark-flattened_line_150-processed-gene-0.25&CDS=1-735
27	OG0000027	YDR541C, YGL039W, YGL157W, YOL151W	genemark-flattened_line_10-processed-gene-0.83-mRNA-1_1&gene=genemark-flattened_line_10-processed-gene-0.83&CDS=1-1098
28	OG0000028	YER017C, YMR089C	genemark-flattened_line_114-processed-gene-0.118-mRNA-1_1&gene=genemark-flattened_line_114-processed-gene-0.118&CDS=1-2322, genemark-flattened_line_34-processed-gene-1.149-mRNA-1_1&gene=genemark-flattened_line_34-processed-gene-1.149&CDS=1-2097, genemark-flattened_line_94-processed-gene-0.164-mRNA-1_1&gene=genemark-flattened_line_94-processed-gene-0.164&CDS=1-2028
29	OG0000029	YER056C, YER060W, YER060W-A	genemark-flattened_line_0-processed-gene-4.71-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-4.71&CDS=1-1509, genemark-flattened_line_48-processed-gene-0.47-mRNA-1_1&gene=genemark-flattened_line_48-processed-gene-0.47&CDS=1-1521
30	OG0000030	YGL003C, YGL116W	genemark-flattened_line_0-processed-gene-1.129-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-1.129&CDS=1-1779, genemark-flattened_line_4-processed-gene-0.115-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-0.115&CDS=1-1659, genemark-flattened_line_42-processed-gene-0.15-mRNA-1_1&gene=genemark-flattened_line_42-processed-gene-0.15&CDS=1-1323
31	OG0000031	YGL226W, YIL111W, YNL052W	genemark-flattened_line_40-processed-gene-1.147-mRNA-1_1&gene=genemark-flattened_line_40-processed-gene-1.147&CDS=1-522, genemark-flattened_line_44-processed-gene-0.110-mRNA-1_1&gene=genemark-flattened_line_44-processed-gene-0.110&CDS=1-468
32	OG0000032	YHR216W, YLR432W, YML056C	genemark-flattened_line_116-processed-gene-0.53-mRNA-1_1&gene=genemark-flattened_line_116-processed-gene-0.53&CDS=1-1566, genemark-flattened_line_132-processed-gene-0.94-mRNA-1_1&gene=genemark-flattened_line_132-processed-gene-0.94&CDS=1-1566
33	OG0000033	YKL092C, YPL242C	genemark-flattened_line_2-processed-gene-4.193-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-4.193&CDS=1-4767, genemark-flattened_line_24-processed-gene-2.141-mRNA-1_1&gene=genemark-flattened_line_24-processed-gene-2.141&CDS=1-2166, snap_masked-flattened_line_62-processed-gene-0.23-mRNA-1_1&gene=snap_masked-flattened_line_62-processed-gene-0.23&CDS=1-2274
34	OG0000034	YKR089C, YMR313C, YOR081C	genemark-flattened_line_32-processed-gene-1.15-mRNA-1_1&gene=genemark-flattened_line_32-processed-gene-1.15&CDS=1-1920, genemark-flattened_line_72-processed-gene-0.210-mRNA-1_1&gene=genemark-flattened_line_72-processed-gene-0.210&CDS=1-1497
35	OG0000035	YLL016W, YLL017W, YLR310C	genemark-flattened_line_10-processed-gene-0.85-mRNA-1_1&gene=genemark-flattened_line_10-processed-gene-0.85&CDS=1-4515, genemark-flattened_line_126-processed-gene-0.55-mRNA-1_1&gene=genemark-flattened_line_126-processed-gene-0.55&CDS=1-1917
36	OG0000036	YLL057C	genemark-flattened_line_12-processed-gene-1.105-mRNA-1_1&gene=genemark-flattened_line_12-processed-gene-1.105&CDS=1-1191, genemark-flattened_line_12-processed-gene-1.126-mRNA-1_1&gene=genemark-flattened_line_12-processed-gene-1.126&CDS=1-1173, genemark-flattened_line_4-processed-gene-2.65-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-2.65&CDS=1-1185, genemark-flattened_line_48-processed-gene-0.15-mRNA-1_1&gene=genemark-flattened_line_48-processed-gene-0.15&CDS=1-1047
37	OG0000037	YLR034C	genemark-flattened_line_140-processed-gene-0.61-mRNA-1_1&gene=genemark-flattened_line_140-processed-gene-0.61&CDS=1-1980, genemark-flattened_line_4-processed-gene-2.74-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-2.74&CDS=1-1698, genemark-flattened_line_50-processed-gene-0.198-mRNA-1_1&gene=genemark-flattened_line_50-processed-gene-0.198&CDS=1-1632, genemark-flattened_line_6-processed-gene-3.71-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-3.71&CDS=1-1731
38	OG0000038	YMR006C, YMR008C, YOL011W	genemark-flattened_line_6-processed-gene-2.129-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-2.129&CDS=1-1812, snap_masked-flattened_line_84-processed-gene-0.24-mRNA-1_1&gene=snap_masked-flattened_line_84-processed-gene-0.24&CDS=1-1857
39	OG0000039	YMR193W, YMR194W, YPL249C-A	genemark-flattened_line_36-processed-gene-1.112-mRNA-1_1&gene=genemark-flattened_line_36-processed-gene-1.112&CDS=1-312, maker-flattened_line_80-snap-gene-0.187-mRNA-1_1&gene=maker-flattened_line_80-snap-gene-0.187&CDS=1-1047
40	OG0000040	YNL095C, YOR092W	genemark-flattened_line_0-processed-gene-1.112-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-1.112&CDS=1-1761, genemark-flattened_line_54-processed-gene-0.123-mRNA-1_1&gene=genemark-flattened_line_54-processed-gene-0.123&CDS=1-1464, snap_masked-flattened_line_40-processed-gene-0.85-mRNA-1_1&gene=snap_masked-flattened_line_40-processed-gene-0.85&CDS=1-1548
41	OG0000041	YNL294C	augustus_masked-flattened_line_84-processed-gene-0.91-mRNA-1_1&gene=augustus_masked-flattened_line_84-processed-gene-0.91&CDS=1-1371, genemark-flattened_line_78-processed-gene-0.73-mRNA-1_1&gene=genemark-flattened_line_78-processed-gene-0.73&CDS=1-1767, snap_masked-flattened_line_68-processed-gene-0.22-mRNA-1_1&gene=snap_masked-flattened_line_68-processed-gene-0.22&CDS=1-1503, snap_masked-flattened_line_90-processed-gene-0.86-mRNA-1_1&gene=snap_masked-flattened_line_90-processed-gene-0.86&CDS=1-1890
42	OG0000042	Q0105, Q0110, Q0115, Q0120	maker-flattened_line_112-snap-gene-0.41-mRNA-1_1&gene=maker-flattened_line_112-snap-gene-0.41&CDS=1-555
43	OG0000043	YAL040C	genemark-flattened_line_8-processed-gene-0.120-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-0.120&CDS=1-1437, genemark-flattened_line_98-processed-gene-0.62-mRNA-1_1&gene=genemark-flattened_line_98-processed-gene-0.62&CDS=1-1017, snap_masked-flattened_line_70-processed-gene-0.104-mRNA-1_1&gene=snap_masked-flattened_line_70-processed-gene-0.104&CDS=1-1014
44	OG0000044	YAL058W, YGL163C	genemark-flattened_line_10-processed-gene-0.56-mRNA-1_1&gene=genemark-flattened_line_10-processed-gene-0.56&CDS=1-1689, maker-flattened_line_4-augustus-gene-3.195-mRNA-1_1&gene=maker-flattened_line_4-augustus-gene-3.195&CDS=1-4269
45	OG0000045	YAR019C, YLR362W	genemark-flattened_line_14-processed-gene-2.131-mRNA-1_1&gene=genemark-flattened_line_14-processed-gene-2.131&CDS=1-1965, genemark-flattened_line_48-processed-gene-0.21-mRNA-1_1&gene=genemark-flattened_line_48-processed-gene-0.21&CDS=1-4128
46	OG0000046	YAR042W, YDL019C	genemark-flattened_line_28-processed-gene-1.158-mRNA-1_1&gene=genemark-flattened_line_28-processed-gene-1.158&CDS=1-3450, genemark-flattened_line_74-processed-gene-0.220-mRNA-1_1&gene=genemark-flattened_line_74-processed-gene-0.220&CDS=1-3354
47	OG0000047	YBL003C, YDR225W	genemark-flattened_line_10-processed-gene-2.108-mRNA-1_1&gene=genemark-flattened_line_10-processed-gene-2.108&CDS=1-399, genemark-flattened_line_72-processed-gene-0.176-mRNA-1_1&gene=genemark-flattened_line_72-processed-gene-0.176&CDS=1-399
48	OG0000048	YBL005W, YER184C, YGL013C	genemark-flattened_line_24-processed-gene-2.135-mRNA-1_1&gene=genemark-flattened_line_24-processed-gene-2.135&CDS=1-1518
49	OG0000049	YBL009W, YGL021W	genemark-flattened_line_130-processed-gene-0.18-mRNA-1_1&gene=genemark-flattened_line_130-processed-gene-0.18&CDS=1-2865, snap_masked-flattened_line_78-processed-gene-0.34-mRNA-1_1&gene=snap_masked-flattened_line_78-processed-gene-0.34&CDS=1-2934
50	OG0000050	YBL056W, YER089C	genemark-flattened_line_102-processed-gene-0.62-mRNA-1_1&gene=genemark-flattened_line_102-processed-gene-0.62&CDS=1-1182, genemark-flattened_line_2-processed-gene-3.108-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-3.108&CDS=1-1344
51	OG0000051	YBL063W, YEL061C	genemark-flattened_line_10-processed-gene-2.88-mRNA-1_1&gene=genemark-flattened_line_10-processed-gene-2.88&CDS=1-2172, genemark-flattened_line_40-processed-gene-0.49-mRNA-1_1&gene=genemark-flattened_line_40-processed-gene-0.49&CDS=1-2865
52	OG0000052	YBL072C, YER102W	genemark-flattened_line_30-processed-gene-0.53-mRNA-1_1&gene=genemark-flattened_line_30-processed-gene-0.53&CDS=1-606, genemark-flattened_line_42-processed-gene-1.163-mRNA-1_1&gene=genemark-flattened_line_42-processed-gene-1.163&CDS=1-606
53	OG0000053	YBL087C, YER117W	augustus_masked-flattened_line_14-processed-gene-2.41-mRNA-1_1&gene=augustus_masked-flattened_line_14-processed-gene-2.41&CDS=1-411, genemark-flattened_line_76-processed-gene-0.151-mRNA-1_1&gene=genemark-flattened_line_76-processed-gene-0.151&CDS=1-411
54	OG0000054	YBR007C	genemark-flattened_line_0-processed-gene-9.54-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-9.54&CDS=1-1140, genemark-flattened_line_22-processed-gene-2.87-mRNA-1_1&gene=genemark-flattened_line_22-processed-gene-2.87&CDS=1-1716, snap_masked-flattened_line_10-processed-gene-0.111-mRNA-1_1&gene=snap_masked-flattened_line_10-processed-gene-0.111&CDS=1-774
55	OG0000055	YBR009C, YNL030W	genemark-flattened_line_36-processed-gene-0.29-mRNA-1_1&gene=genemark-flattened_line_36-processed-gene-0.29&CDS=1-309, genemark-flattened_line_88-processed-gene-0.99-mRNA-1_1&gene=genemark-flattened_line_88-processed-gene-0.99&CDS=1-309
56	OG0000056	YBR010W, YNL031C	genemark-flattened_line_36-processed-gene-0.1-mRNA-1_1&gene=genemark-flattened_line_36-processed-gene-0.1&CDS=1-414, genemark-flattened_line_88-processed-gene-0.74-mRNA-1_1&gene=genemark-flattened_line_88-processed-gene-0.74&CDS=1-414
57	OG0000057	YBR015C, YJL186W	genemark-flattened_line_4-processed-gene-0.102-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-0.102&CDS=1-2091, snap_masked-flattened_line_18-processed-gene-0.76-mRNA-1_1&gene=snap_masked-flattened_line_18-processed-gene-0.76&CDS=1-1746
58	OG0000058	YBR026C	augustus_masked-flattened_line_108-processed-gene-0.34-mRNA-1_1&gene=augustus_masked-flattened_line_108-processed-gene-0.34&CDS=1-1089, augustus_masked-flattened_line_108-processed-gene-0.37-mRNA-1_1&gene=augustus_masked-flattened_line_108-processed-gene-0.37&CDS=1-1077, genemark-flattened_line_38-processed-gene-1.137-mRNA-1_1&gene=genemark-flattened_line_38-processed-gene-1.137&CDS=1-1158
59	OG0000059	YBR078W, YDR055W	genemark-flattened_line_56-processed-gene-0.53-mRNA-1_1&gene=genemark-flattened_line_56-processed-gene-0.53&CDS=1-1236, genemark-flattened_line_98-processed-gene-0.92-mRNA-1_1&gene=genemark-flattened_line_98-processed-gene-0.92&CDS=1-1209
60	OG0000060	YBR118W, YPR080W	genemark-flattened_line_36-processed-gene-1.147-mRNA-1_1&gene=genemark-flattened_line_36-processed-gene-1.147&CDS=1-1230, genemark-flattened_line_80-processed-gene-0.116-mRNA-1_1&gene=genemark-flattened_line_80-processed-gene-0.116&CDS=1-1374
61	OG0000061	YBR140C, YOL081W	augustus_masked-flattened_line_22-processed-gene-2.25-mRNA-1_1&gene=augustus_masked-flattened_line_22-processed-gene-2.25&CDS=1-7815, snap_masked-flattened_line_106-processed-gene-0.25-mRNA-1_1&gene=snap_masked-flattened_line_106-processed-gene-0.25&CDS=1-7953
62	OG0000062	YBR151W, YML050W	genemark-flattened_line_28-processed-gene-0.15-mRNA-1_1&gene=genemark-flattened_line_28-processed-gene-0.15&CDS=1-924, genemark-flattened_line_64-processed-gene-0.59-mRNA-1_1&gene=genemark-flattened_line_64-processed-gene-0.59&CDS=1-837
63	OG0000063	YBR172C, YPL105C	genemark-flattened_line_24-processed-gene-1.73-mRNA-1_1&gene=genemark-flattened_line_24-processed-gene-1.73&CDS=1-1506, maker-flattened_line_14-snap-gene-0.126-mRNA-1_1&gene=maker-flattened_line_14-snap-gene-0.126&CDS=1-2892
