	OrthologID	Saccharomyces_cerevisiae	Wickerhamomyces_ciferrii
10	OG0000010	YKR064W	augustus_masked-NW_011887524.1-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-NW_011887524.1-processed-gene-0.15&CDS=1-2622, genemark-NW_011887542.1-processed-gene-0.80-mRNA-1_1&gene=genemark-NW_011887542.1-processed-gene-0.80&CDS=1-3042, genemark-NW_011887643.1-processed-gene-0.92-mRNA-1_1&gene=genemark-NW_011887643.1-processed-gene-0.92&CDS=1-2589, maker-NW_011887542.1-augustus-gene-0.108-mRNA-1_1&gene=maker-NW_011887542.1-augustus-gene-0.108&CDS=1-2802, maker-NW_011887542.1-snap-gene-0.172-mRNA-1_1&gene=maker-NW_011887542.1-snap-gene-0.172&CDS=1-10380, maker-NW_011887696.1-snap-gene-0.22-mRNA-1_1&gene=maker-NW_011887696.1-snap-gene-0.22&CDS=1-3153, maker-NW_011887696.1-snap-gene-0.23-mRNA-1_1&gene=maker-NW_011887696.1-snap-gene-0.23&CDS=1-5310, maker-NW_011887697.1-snap-gene-0.181-mRNA-1_1&gene=maker-NW_011887697.1-snap-gene-0.181&CDS=1-2868
11	OG0000011	YAL024C	augustus_masked-NW_011887469.1-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-NW_011887469.1-processed-gene-0.13&CDS=1-2496, genemark-NW_011887453.1-processed-gene-0.17-mRNA-1_1&gene=genemark-NW_011887453.1-processed-gene-0.17&CDS=1-1611, genemark-NW_011887505.1-processed-gene-0.44-mRNA-1_1&gene=genemark-NW_011887505.1-processed-gene-0.44&CDS=1-5322, genemark-NW_011887541.1-processed-gene-0.4-mRNA-1_1&gene=genemark-NW_011887541.1-processed-gene-0.4&CDS=1-1605, genemark-NW_011887639.1-processed-gene-0.19-mRNA-1_1&gene=genemark-NW_011887639.1-processed-gene-0.19&CDS=1-1518, genemark-NW_011887645.1-processed-gene-0.4-mRNA-1_1&gene=genemark-NW_011887645.1-processed-gene-0.4&CDS=1-1605, maker-NW_011887723.1-snap-gene-0.200-mRNA-1_1&gene=maker-NW_011887723.1-snap-gene-0.200&CDS=1-1548
12	OG0000012	YBR008C	augustus_masked-NW_011887531.1-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NW_011887531.1-processed-gene-0.0&CDS=1-1692, genemark-NW_011887474.1-processed-gene-0.9-mRNA-1_1&gene=genemark-NW_011887474.1-processed-gene-0.9&CDS=1-1620, genemark-NW_011887484.1-processed-gene-0.56-mRNA-1_1&gene=genemark-NW_011887484.1-processed-gene-0.56&CDS=1-1644, genemark-NW_011887711.1-processed-gene-1.156-mRNA-1_1&gene=genemark-NW_011887711.1-processed-gene-1.156&CDS=1-1653, genemark-NW_011887737.1-processed-gene-0.132-mRNA-1_1&gene=genemark-NW_011887737.1-processed-gene-0.132&CDS=1-1638, maker-NW_011887532.1-snap-gene-0.95-mRNA-1_1&gene=maker-NW_011887532.1-snap-gene-0.95&CDS=1-2205, snap_masked-NW_011887532.1-processed-gene-0.70-mRNA-1_1&gene=snap_masked-NW_011887532.1-processed-gene-0.70&CDS=1-1047
13	OG0000013	YDR541C, YGL039W, YGL157W, YOL151W	genemark-NW_011887450.1-processed-gene-0.43-mRNA-1_1&gene=genemark-NW_011887450.1-processed-gene-0.43&CDS=1-1047, genemark-NW_011887584.1-processed-gene-0.125-mRNA-1_1&gene=genemark-NW_011887584.1-processed-gene-0.125&CDS=1-1029, genemark-NW_011887710.1-processed-gene-0.111-mRNA-1_1&gene=genemark-NW_011887710.1-processed-gene-0.111&CDS=1-1008, snap_masked-NW_011887733.1-processed-gene-1.116-mRNA-1_1&gene=snap_masked-NW_011887733.1-processed-gene-1.116&CDS=1-1035
14	OG0000014	YER073W, YOR374W, YPL061W	genemark-NW_011887479.1-processed-gene-0.18-mRNA-1_1&gene=genemark-NW_011887479.1-processed-gene-0.18&CDS=1-1509, genemark-NW_011887576.1-processed-gene-0.65-mRNA-1_1&gene=genemark-NW_011887576.1-processed-gene-0.65&CDS=1-1524, genemark-NW_011887686.1-processed-gene-0.158-mRNA-1_1&gene=genemark-NW_011887686.1-processed-gene-0.158&CDS=1-1551, maker-NW_011887652.1-snap-gene-0.182-mRNA-1_1&gene=maker-NW_011887652.1-snap-gene-0.182&CDS=1-1965, snap_masked-NW_011887657.1-processed-gene-0.107-mRNA-1_1&gene=snap_masked-NW_011887657.1-processed-gene-0.107&CDS=1-1491
15	OG0000015	YGL257C, YNR059W	augustus_masked-NW_011887662.1-processed-gene-0.77-mRNA-1_1&gene=augustus_masked-NW_011887662.1-processed-gene-0.77&CDS=1-3768, genemark-NW_011887506.1-processed-gene-0.21-mRNA-1_1&gene=genemark-NW_011887506.1-processed-gene-0.21&CDS=1-2511, genemark-NW_011887508.1-processed-gene-0.40-mRNA-1_1&gene=genemark-NW_011887508.1-processed-gene-0.40&CDS=1-2295, genemark-NW_011887697.1-processed-gene-0.11-mRNA-1_1&gene=genemark-NW_011887697.1-processed-gene-0.11&CDS=1-2070, genemark-NW_011887713.1-processed-gene-0.143-mRNA-1_1&gene=genemark-NW_011887713.1-processed-gene-0.143&CDS=1-1824, maker-NW_011887520.1-snap-gene-0.69-mRNA-1_1&gene=maker-NW_011887520.1-snap-gene-0.69&CDS=1-4044
16	OG0000016	YBR015C	genemark-NW_011887589.1-processed-gene-0.47-mRNA-1_1&gene=genemark-NW_011887589.1-processed-gene-0.47&CDS=1-1887, genemark-NW_011887650.1-processed-gene-0.82-mRNA-1_1&gene=genemark-NW_011887650.1-processed-gene-0.82&CDS=1-1671, genemark-NW_011887690.1-processed-gene-0.57-mRNA-1_1&gene=genemark-NW_011887690.1-processed-gene-0.57&CDS=1-1746, genemark-NW_011887691.1-processed-gene-0.35-mRNA-1_1&gene=genemark-NW_011887691.1-processed-gene-0.35&CDS=1-1905, genemark-NW_011887701.1-processed-gene-1.100-mRNA-1_1&gene=genemark-NW_011887701.1-processed-gene-1.100&CDS=1-1683, maker-NW_011887610.1-snap-gene-0.1-mRNA-1_1&gene=maker-NW_011887610.1-snap-gene-0.1&CDS=1-3165
17	OG0000017	YKL220C, YNR060W, YOR381W	genemark-NW_011887441.1-processed-gene-0.29-mRNA-1_1&gene=genemark-NW_011887441.1-processed-gene-0.29&CDS=1-2016, genemark-NW_011887511.1-processed-gene-0.19-mRNA-1_1&gene=genemark-NW_011887511.1-processed-gene-0.19&CDS=1-2145, genemark-NW_011887511.1-processed-gene-0.26-mRNA-1_1&gene=genemark-NW_011887511.1-processed-gene-0.26&CDS=1-2127, maker-NW_011887723.1-snap-gene-0.202-mRNA-1_1&gene=maker-NW_011887723.1-snap-gene-0.202&CDS=1-4047
18	OG0000018	YKL222C, YLR266C, YOR162C, YOR172W	augustus_masked-NW_011887727.1-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-NW_011887727.1-processed-gene-0.12&CDS=1-2367, genemark-NW_011887509.1-processed-gene-0.42-mRNA-1_1&gene=genemark-NW_011887509.1-processed-gene-0.42&CDS=1-1218, genemark-NW_011887739.1-processed-gene-0.17-mRNA-1_1&gene=genemark-NW_011887739.1-processed-gene-0.17&CDS=1-2475
19	OG0000019	YPL088W	genemark-NW_011887546.1-processed-gene-0.41-mRNA-1_1&gene=genemark-NW_011887546.1-processed-gene-0.41&CDS=1-1092, genemark-NW_011887592.1-processed-gene-0.7-mRNA-1_1&gene=genemark-NW_011887592.1-processed-gene-0.7&CDS=1-1074, genemark-NW_011887599.1-processed-gene-0.9-mRNA-1_1&gene=genemark-NW_011887599.1-processed-gene-0.9&CDS=1-1083, genemark-NW_011887640.1-processed-gene-0.15-mRNA-1_1&gene=genemark-NW_011887640.1-processed-gene-0.15&CDS=1-1077, maker-NW_011887654.1-snap-gene-0.0-mRNA-1_1&gene=maker-NW_011887654.1-snap-gene-0.0&CDS=1-2055, maker-NW_011887737.1-snap-gene-0.184-mRNA-1_1&gene=maker-NW_011887737.1-snap-gene-0.184&CDS=1-981
20	OG0000020	YBL017C, YIL173W, YJL222W, YNR065C	genemark-NW_011887672.1-processed-gene-1.110-mRNA-1_1&gene=genemark-NW_011887672.1-processed-gene-1.110&CDS=1-4569, snap_masked-NW_011887701.1-processed-gene-0.87-mRNA-1_1&gene=snap_masked-NW_011887701.1-processed-gene-0.87&CDS=1-4497
21	OG0000021	YBR298C, YDL247W, YGR289C, YJR160C	genemark-NW_011887720.1-processed-gene-1.101-mRNA-1_1&gene=genemark-NW_011887720.1-processed-gene-1.101&CDS=1-1740, genemark-NW_011887720.1-processed-gene-1.139-mRNA-1_1&gene=genemark-NW_011887720.1-processed-gene-1.139&CDS=1-1746
22	OG0000022	YCL069W, YGR224W, YKR105C, YPR198W	genemark-NW_011887727.1-processed-gene-0.88-mRNA-1_1&gene=genemark-NW_011887727.1-processed-gene-0.88&CDS=1-1749, maker-NW_011887655.1-snap-gene-0.164-mRNA-1_1&gene=maker-NW_011887655.1-snap-gene-0.164&CDS=1-1842
23	OG0000023	YGR177C, YOR377W	augustus_masked-NW_011887415.1-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-NW_011887415.1-processed-gene-0.18&CDS=1-1428, augustus_masked-NW_011887468.1-processed-gene-0.44-mRNA-1_1&gene=augustus_masked-NW_011887468.1-processed-gene-0.44&CDS=1-2790, genemark-NW_011887500.1-processed-gene-0.15-mRNA-1_1&gene=genemark-NW_011887500.1-processed-gene-0.15&CDS=1-1464, genemark-NW_011887727.1-processed-gene-0.97-mRNA-1_1&gene=genemark-NW_011887727.1-processed-gene-0.97&CDS=1-1458
24	OG0000024	YIL166C	genemark-NW_011887441.1-processed-gene-0.23-mRNA-1_1&gene=genemark-NW_011887441.1-processed-gene-0.23&CDS=1-1650, genemark-NW_011887494.1-processed-gene-0.37-mRNA-1_1&gene=genemark-NW_011887494.1-processed-gene-0.37&CDS=1-1722, genemark-NW_011887639.1-processed-gene-0.20-mRNA-1_1&gene=genemark-NW_011887639.1-processed-gene-0.20&CDS=1-1707, genemark-NW_011887724.1-processed-gene-0.6-mRNA-1_1&gene=genemark-NW_011887724.1-processed-gene-0.6&CDS=1-1683, maker-NW_011887723.1-snap-gene-0.201-mRNA-1_1&gene=maker-NW_011887723.1-snap-gene-0.201&CDS=1-3270
25	OG0000025	YLR392C	genemark-NW_011887449.1-processed-gene-0.35-mRNA-1_1&gene=genemark-NW_011887449.1-processed-gene-0.35&CDS=1-1557, genemark-NW_011887449.1-processed-gene-0.36-mRNA-1_1&gene=genemark-NW_011887449.1-processed-gene-0.36&CDS=1-1614, genemark-NW_011887449.1-processed-gene-0.37-mRNA-1_1&gene=genemark-NW_011887449.1-processed-gene-0.37&CDS=1-1551, maker-NW_011887449.1-snap-gene-0.1-mRNA-1_1&gene=maker-NW_011887449.1-snap-gene-0.1&CDS=1-4248, snap_masked-NW_011887449.1-processed-gene-0.19-mRNA-1_1&gene=snap_masked-NW_011887449.1-processed-gene-0.19&CDS=1-909
26	OG0000026	YML111W, YMR275C	genemark-NW_011887498.1-processed-gene-0.53-mRNA-1_1&gene=genemark-NW_011887498.1-processed-gene-0.53&CDS=1-2727, genemark-NW_011887498.1-processed-gene-0.54-mRNA-1_1&gene=genemark-NW_011887498.1-processed-gene-0.54&CDS=1-2511, genemark-NW_011887712.1-processed-gene-0.201-mRNA-1_1&gene=genemark-NW_011887712.1-processed-gene-0.201&CDS=1-2661, maker-NW_011887701.1-snap-gene-1.205-mRNA-1_1&gene=maker-NW_011887701.1-snap-gene-1.205&CDS=1-4794
27	OG0000027	YMR303C, YOL086C	genemark-NW_011887524.1-processed-gene-0.101-mRNA-1_1&gene=genemark-NW_011887524.1-processed-gene-0.101&CDS=1-1110, genemark-NW_011887546.1-processed-gene-0.38-mRNA-1_1&gene=genemark-NW_011887546.1-processed-gene-0.38&CDS=1-1044, genemark-NW_011887727.1-processed-gene-1.140-mRNA-1_1&gene=genemark-NW_011887727.1-processed-gene-1.140&CDS=1-1113, maker-NW_011887691.1-augustus-gene-0.122-mRNA-1_1&gene=maker-NW_011887691.1-augustus-gene-0.122&CDS=1-2100
28	OG0000028	YAR019C, YDR523C	augustus_masked-NW_011887545.1-processed-gene-0.40-mRNA-1_1&gene=augustus_masked-NW_011887545.1-processed-gene-0.40&CDS=1-1668, genemark-NW_011887539.1-processed-gene-0.23-mRNA-1_1&gene=genemark-NW_011887539.1-processed-gene-0.23&CDS=1-3093, genemark-NW_011887700.1-processed-gene-0.75-mRNA-1_1&gene=genemark-NW_011887700.1-processed-gene-0.75&CDS=1-1497
29	OG0000029	YBR054W, YCR021C, YDR033W	genemark-NW_011887629.1-processed-gene-0.58-mRNA-1_1&gene=genemark-NW_011887629.1-processed-gene-0.58&CDS=1-933, genemark-NW_011887651.1-processed-gene-0.33-mRNA-1_1&gene=genemark-NW_011887651.1-processed-gene-0.33&CDS=1-957
30	OG0000030	YBR297W, YFL052W, YGR288W, YPR196W	genemark-NW_011887720.1-processed-gene-1.140-mRNA-1_1&gene=genemark-NW_011887720.1-processed-gene-1.140&CDS=1-1965
31	OG0000031	YCR028C, YKL081W, YPL048W	augustus_masked-NW_011887737.1-processed-gene-0.31-mRNA-1_1&gene=augustus_masked-NW_011887737.1-processed-gene-0.31&CDS=1-2532, genemark-NW_011887587.1-processed-gene-0.110-mRNA-1_1&gene=genemark-NW_011887587.1-processed-gene-0.110&CDS=1-1443
32	OG0000032	YCR102C, YLR460C, YNL134C	augustus_masked-NW_011887664.1-processed-gene-1.113-mRNA-1_1&gene=augustus_masked-NW_011887664.1-processed-gene-1.113&CDS=1-1104, augustus_masked-NW_011887664.1-processed-gene-1.115-mRNA-1_1&gene=augustus_masked-NW_011887664.1-processed-gene-1.115&CDS=1-1104
33	OG0000033	YDL161W, YLL038C, YLR206W	genemark-NW_011887636.1-processed-gene-0.12-mRNA-1_1&gene=genemark-NW_011887636.1-processed-gene-0.12&CDS=1-1491, genemark-NW_011887701.1-processed-gene-1.127-mRNA-1_1&gene=genemark-NW_011887701.1-processed-gene-1.127&CDS=1-669
34	OG0000034	YDL174C	genemark-NW_011887629.1-processed-gene-0.53-mRNA-1_1&gene=genemark-NW_011887629.1-processed-gene-0.53&CDS=1-1701, genemark-NW_011887660.1-processed-gene-0.32-mRNA-1_1&gene=genemark-NW_011887660.1-processed-gene-0.32&CDS=1-1746, genemark-NW_011887706.1-processed-gene-0.135-mRNA-1_1&gene=genemark-NW_011887706.1-processed-gene-0.135&CDS=1-1566, genemark-NW_011887709.1-processed-gene-0.61-mRNA-1_1&gene=genemark-NW_011887709.1-processed-gene-0.61&CDS=1-1677
35	OG0000035	YDL244W, YFL058W, YJR156C, YNL332W	genemark-NW_011887707.1-processed-gene-0.40-mRNA-1_1&gene=genemark-NW_011887707.1-processed-gene-0.40&CDS=1-1044
36	OG0000036	YDR242W	genemark-NW_011887469.1-processed-gene-0.48-mRNA-1_1&gene=genemark-NW_011887469.1-processed-gene-0.48&CDS=1-1611, genemark-NW_011887523.1-processed-gene-0.41-mRNA-1_1&gene=genemark-NW_011887523.1-processed-gene-0.41&CDS=1-1710, genemark-NW_011887523.1-processed-gene-0.42-mRNA-1_1&gene=genemark-NW_011887523.1-processed-gene-0.42&CDS=1-1710, genemark-NW_011887576.1-processed-gene-0.73-mRNA-1_1&gene=genemark-NW_011887576.1-processed-gene-0.73&CDS=1-1599
37	OG0000037	YDR391C, YOR013W	augustus_masked-NW_011887701.1-processed-gene-1.166-mRNA-1_1&gene=augustus_masked-NW_011887701.1-processed-gene-1.166&CDS=1-594, augustus_masked-NW_011887701.1-processed-gene-1.167-mRNA-1_1&gene=augustus_masked-NW_011887701.1-processed-gene-1.167&CDS=1-609, augustus_masked-NW_011887701.1-processed-gene-1.168-mRNA-1_1&gene=augustus_masked-NW_011887701.1-processed-gene-1.168&CDS=1-606
38	OG0000038	YDR475C, YGR237C, YOR019W	augustus_masked-NW_011887592.1-processed-gene-0.169-mRNA-1_1&gene=augustus_masked-NW_011887592.1-processed-gene-0.169&CDS=1-2115, genemark-NW_011887637.1-processed-gene-0.28-mRNA-1_1&gene=genemark-NW_011887637.1-processed-gene-0.28&CDS=1-2025
39	OG0000039	YEL063C, YNL268W	genemark-NW_011887643.1-processed-gene-0.89-mRNA-1_1&gene=genemark-NW_011887643.1-processed-gene-0.89&CDS=1-1671, genemark-NW_011887650.1-processed-gene-0.58-mRNA-1_1&gene=genemark-NW_011887650.1-processed-gene-0.58&CDS=1-1686, genemark-NW_011887650.1-processed-gene-0.83-mRNA-1_1&gene=genemark-NW_011887650.1-processed-gene-0.83&CDS=1-1677
40	OG0000040	YER045C, YIL036W, YNL167C	genemark-NW_011887712.1-processed-gene-0.162-mRNA-1_1&gene=genemark-NW_011887712.1-processed-gene-0.162&CDS=1-1869, genemark-NW_011887737.1-processed-gene-0.124-mRNA-1_1&gene=genemark-NW_011887737.1-processed-gene-0.124&CDS=1-1248
41	OG0000041	YER185W, YGR213C	augustus_masked-NW_011887569.1-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-NW_011887569.1-processed-gene-0.23&CDS=1-765, genemark-NW_011887727.1-processed-gene-0.85-mRNA-1_1&gene=genemark-NW_011887727.1-processed-gene-0.85&CDS=1-1035, snap_masked-NW_011887568.1-processed-gene-0.2-mRNA-1_1&gene=snap_masked-NW_011887568.1-processed-gene-0.2&CDS=1-354
42	OG0000042	YFL040W	genemark-NW_011887415.1-processed-gene-0.7-mRNA-1_1&gene=genemark-NW_011887415.1-processed-gene-0.7&CDS=1-1665, genemark-NW_011887532.1-processed-gene-0.44-mRNA-1_1&gene=genemark-NW_011887532.1-processed-gene-0.44&CDS=1-1596, genemark-NW_011887592.1-processed-gene-0.1-mRNA-1_1&gene=genemark-NW_011887592.1-processed-gene-0.1&CDS=1-1662, genemark-NW_011887727.1-processed-gene-1.185-mRNA-1_1&gene=genemark-NW_011887727.1-processed-gene-1.185&CDS=1-2052
43	OG0000043	YFR040W, YGL229C, YKR028W	genemark-NW_011887495.1-processed-gene-0.81-mRNA-1_1&gene=genemark-NW_011887495.1-processed-gene-0.81&CDS=1-2955, genemark-NW_011887702.1-processed-gene-0.39-mRNA-1_1&gene=genemark-NW_011887702.1-processed-gene-0.39&CDS=1-2487
44	OG0000044	YGR109W-A, YGR109W-B, YIL082W, YIL082W-A	snap_masked-NW_011887659.1-processed-gene-0.3-mRNA-1_1&gene=snap_masked-NW_011887659.1-processed-gene-0.3&CDS=1-3348
