	OrthologID	Saccharomyces_cerevisiae	yHMPu5000026152_Torulaspora_franciscae
10	OG0000010	YBL017C, YIL173W, YJL222W, YNR065C	maker-flattened_line_12-augustus-gene-0.97-mRNA-1_1&gene=maker-flattened_line_12-augustus-gene-0.97&CDS=1-4884
11	OG0000011	YDL244W, YFL058W, YJR156C, YNL332W	snap_masked-flattened_line_14-processed-gene-1.150-mRNA-1_1&gene=snap_masked-flattened_line_14-processed-gene-1.150&CDS=1-1020
12	OG0000012	YDR160W, YLR138W	augustus_masked-flattened_line_0-processed-gene-17.69-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-17.69&CDS=1-11046, augustus_masked-flattened_line_0-processed-gene-2.47-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-2.47&CDS=1-3597, augustus_masked-flattened_line_0-processed-gene-2.48-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-2.48&CDS=1-7557
13	OG0000013	YEL070W, YNR073C	snap_masked-flattened_line_50-processed-gene-0.39-mRNA-1_1&gene=snap_masked-flattened_line_50-processed-gene-0.39&CDS=1-1512, snap_masked-flattened_line_69-processed-gene-0.5-mRNA-1_1&gene=snap_masked-flattened_line_69-processed-gene-0.5&CDS=1-1512, snap_masked-flattened_line_73-processed-gene-0.4-mRNA-1_1&gene=snap_masked-flattened_line_73-processed-gene-0.4&CDS=1-1512
14	OG0000014	YGR287C, YIL172C, YJL221C, YOL157C	snap_masked-flattened_line_38-processed-gene-0.131-mRNA-1_1&gene=snap_masked-flattened_line_38-processed-gene-0.131&CDS=1-1812
15	OG0000015	YLR237W, YOR071C, YOR192C	snap_masked-flattened_line_0-processed-gene-0.55-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-0.55&CDS=1-1791, snap_masked-flattened_line_0-processed-gene-18.209-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-18.209&CDS=1-1791
16	OG0000016	YAL018C, YOL047C	snap_masked-flattened_line_26-processed-gene-1.70-mRNA-1_1&gene=snap_masked-flattened_line_26-processed-gene-1.70&CDS=1-798, snap_masked-flattened_line_26-processed-gene-1.71-mRNA-1_1&gene=snap_masked-flattened_line_26-processed-gene-1.71&CDS=1-891
17	OG0000017	YBL003C, YDR225W	snap_masked-flattened_line_1-processed-gene-3.133-mRNA-1_1&gene=snap_masked-flattened_line_1-processed-gene-3.133&CDS=1-396, snap_masked-flattened_line_20-processed-gene-0.117-mRNA-1_1&gene=snap_masked-flattened_line_20-processed-gene-0.117&CDS=1-396
18	OG0000018	YBR009C, YNL030W	snap_masked-flattened_line_18-processed-gene-2.74-mRNA-1_1&gene=snap_masked-flattened_line_18-processed-gene-2.74&CDS=1-309, snap_masked-flattened_line_20-processed-gene-0.125-mRNA-1_1&gene=snap_masked-flattened_line_20-processed-gene-0.125&CDS=1-309
19	OG0000019	YBR020W, YDR009W	snap_masked-flattened_line_0-processed-gene-0.43-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-0.43&CDS=1-1569, snap_masked-flattened_line_0-processed-gene-18.221-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-18.221&CDS=1-1569
20	OG0000020	YCR010C, YNR002C	maker-flattened_line_0-snap-gene-13.169-mRNA-1_1&gene=maker-flattened_line_0-snap-gene-13.169&CDS=1-1572, maker-flattened_line_0-snap-gene-5.48-mRNA-1_1&gene=maker-flattened_line_0-snap-gene-5.48&CDS=1-1572
21	OG0000021	YCR031C, YJL191W	augustus_masked-flattened_line_0-processed-gene-14.77-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-14.77&CDS=1-414, augustus_masked-flattened_line_0-processed-gene-5.105-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-5.105&CDS=1-414
22	OG0000022	YDR038C, YDR039C, YDR040C	snap_masked-flattened_line_8-processed-gene-3.5-mRNA-1_1&gene=snap_masked-flattened_line_8-processed-gene-3.5&CDS=1-3225
23	OG0000023	YDR099W, YER177W	snap_masked-flattened_line_0-processed-gene-15.107-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-15.107&CDS=1-810, snap_masked-flattened_line_0-processed-gene-3.146-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-3.146&CDS=1-810
24	OG0000024	YDR107C, YLR083C	snap_masked-flattened_line_0-processed-gene-15.130-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-15.130&CDS=1-1962, snap_masked-flattened_line_0-processed-gene-3.120-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-3.120&CDS=1-1962
25	OG0000025	YDR144C, YLR120C	snap_masked-flattened_line_0-processed-gene-17.126-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-17.126&CDS=1-1584, snap_masked-flattened_line_0-processed-gene-2.20-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-2.20&CDS=1-1584
26	OG0000026	YDR146C, YLR131C	snap_masked-flattened_line_0-processed-gene-17.129-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-17.129&CDS=1-2229, snap_masked-flattened_line_0-processed-gene-2.17-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-2.17&CDS=1-2229
27	OG0000027	YDR178W, YLR164W	snap_masked-flattened_line_0-processed-gene-1.40-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-1.40&CDS=1-510, snap_masked-flattened_line_0-processed-gene-18.153-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-18.153&CDS=1-510
28	OG0000028	YDR185C, YLR168C	augustus_masked-flattened_line_0-processed-gene-1.63-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-1.63&CDS=1-3942, augustus_masked-flattened_line_0-processed-gene-18.128-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-18.128&CDS=1-3942
29	OG0000029	YDR342C, YDR343C, YLR081W	snap_masked-flattened_line_63-processed-gene-0.3-mRNA-1_1&gene=snap_masked-flattened_line_63-processed-gene-0.3&CDS=1-1698
30	OG0000030	YDR525W-A, YJL151C	snap_masked-flattened_line_7-processed-gene-1.84-mRNA-1_1&gene=snap_masked-flattened_line_7-processed-gene-1.84&CDS=1-372, snap_masked-flattened_line_7-processed-gene-4.108-mRNA-1_1&gene=snap_masked-flattened_line_7-processed-gene-4.108&CDS=1-372
31	OG0000031	YER056C, YER060W, YER060W-A	maker-flattened_line_10-augustus-gene-3.63-mRNA-1_1&gene=maker-flattened_line_10-augustus-gene-3.63&CDS=1-2004
32	OG0000032	YFL060C, YMR095C, YNL334C	augustus_masked-flattened_line_22-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-flattened_line_22-processed-gene-0.5&CDS=1-627
33	OG0000033	YGR010W, YLR328W	snap_masked-flattened_line_0-processed-gene-12.141-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-12.141&CDS=1-1305, snap_masked-flattened_line_0-processed-gene-7.124-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-7.124&CDS=1-1305
34	OG0000034	YGR027C, YLR333C	snap_masked-flattened_line_0-processed-gene-11.37-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-11.37&CDS=1-324, snap_masked-flattened_line_0-processed-gene-7.157-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-7.157&CDS=1-324
35	OG0000035	YGR032W, YLR342W	maker-flattened_line_0-augustus-gene-11.5-mRNA-1_1&gene=maker-flattened_line_0-augustus-gene-11.5&CDS=1-7362, maker-flattened_line_0-augustus-gene-7.165-mRNA-1_1&gene=maker-flattened_line_0-augustus-gene-7.165&CDS=1-7362
36	OG0000036	YGR034W, YLR344W	snap_masked-flattened_line_0-processed-gene-11.54-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-11.54&CDS=1-381, snap_masked-flattened_line_0-processed-gene-7.142-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-7.142&CDS=1-381
37	OG0000037	YGR092W, YPR111W	augustus_masked-flattened_line_0-processed-gene-14.64-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-14.64&CDS=1-4425, augustus_masked-flattened_line_0-processed-gene-5.101-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-5.101&CDS=1-4425
38	OG0000038	YGR109W-A, YGR109W-B, YIL082W, YIL082W-A	
39	OG0000039	YGR118W, YPR132W	snap_masked-flattened_line_0-processed-gene-15.98-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-15.98&CDS=1-435, snap_masked-flattened_line_0-processed-gene-4.72-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-4.72&CDS=1-435
40	OG0000040	YHR210C, YNR071C	augustus_masked-flattened_line_61-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-flattened_line_61-processed-gene-0.9&CDS=1-1437, augustus_masked-flattened_line_63-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-flattened_line_63-processed-gene-0.4&CDS=1-1431
41	OG0000041	YHR216W, YLR432W, YML056C	maker-flattened_line_10-snap-gene-1.98-mRNA-1_1&gene=maker-flattened_line_10-snap-gene-1.98&CDS=1-1563
42	OG0000042	YIL170W, YJL219W, YOL156W	snap_masked-flattened_line_34-processed-gene-1.105-mRNA-1_1&gene=snap_masked-flattened_line_34-processed-gene-1.105&CDS=1-1704
43	OG0000043	YIR013C, YLR013W, YPL021W	augustus_masked-flattened_line_1-processed-gene-5.97-mRNA-1_1&gene=augustus_masked-flattened_line_1-processed-gene-5.97&CDS=1-1308
44	OG0000044	YJL043W, YKR015C	augustus_masked-flattened_line_0-processed-gene-12.87-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-12.87&CDS=1-1548, augustus_masked-flattened_line_0-processed-gene-6.151-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-6.151&CDS=1-1548
45	OG0000045	YJL116C, YKR042W	snap_masked-flattened_line_7-processed-gene-2.45-mRNA-1_1&gene=snap_masked-flattened_line_7-processed-gene-2.45&CDS=1-1131, snap_masked-flattened_line_7-processed-gene-3.118-mRNA-1_1&gene=snap_masked-flattened_line_7-processed-gene-3.118&CDS=1-1131
46	OG0000046	YJL164C, YKL166C, YPL203W	maker-flattened_line_8-snap-gene-2.144-mRNA-1_1&gene=maker-flattened_line_8-snap-gene-2.144&CDS=1-4767
47	OG0000047	YJL190C, YLR367W	augustus_masked-flattened_line_0-processed-gene-14.58-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-14.58&CDS=1-390, augustus_masked-flattened_line_0-processed-gene-5.128-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-5.128&CDS=1-390
48	OG0000048	YKL220C, YNR060W, YOR381W	maker-flattened_line_38-snap-gene-0.217-mRNA-1_1&gene=maker-flattened_line_38-snap-gene-0.217&CDS=1-1518
49	OG0000049	YLR249W, YNL014W	augustus_masked-flattened_line_0-processed-gene-13.5-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-13.5&CDS=1-7263, augustus_masked-flattened_line_0-processed-gene-6.148-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-6.148&CDS=1-7263
50	OG0000050	YMR006C, YMR008C, YOL011W	maker-flattened_line_1-snap-gene-7.181-mRNA-1_1&gene=maker-flattened_line_1-snap-gene-7.181&CDS=1-3837
51	OG0000051	YMR303C, YOL086C	snap_masked-flattened_line_0-processed-gene-14.108-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-14.108&CDS=1-1053, snap_masked-flattened_line_0-processed-gene-4.95-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-4.95&CDS=1-1053
52	OG0000052	YNL119W	genemark-flattened_line_3-processed-gene-1.105-mRNA-1_1&gene=genemark-flattened_line_3-processed-gene-1.105&CDS=1-1398, snap_masked-flattened_line_7-processed-gene-1.74-mRNA-1_1&gene=snap_masked-flattened_line_7-processed-gene-1.74&CDS=1-978, snap_masked-flattened_line_7-processed-gene-4.146-mRNA-1_1&gene=snap_masked-flattened_line_7-processed-gene-4.146&CDS=1-978
53	OG0000053	YNR055C	augustus_masked-flattened_line_5-processed-gene-0.22-mRNA-1_1&gene=augustus_masked-flattened_line_5-processed-gene-0.22&CDS=1-1287, augustus_masked-flattened_line_7-processed-gene-0.63-mRNA-1_1&gene=augustus_masked-flattened_line_7-processed-gene-0.63&CDS=1-1287, snap_masked-flattened_line_7-processed-gene-4.145-mRNA-1_1&gene=snap_masked-flattened_line_7-processed-gene-4.145&CDS=1-1278
54	OG0000054	YOL055C, YPL258C, YPR121W	snap_masked-flattened_line_20-processed-gene-1.124-mRNA-1_1&gene=snap_masked-flattened_line_20-processed-gene-1.124&CDS=1-1650
55	OG0000055	YPR165W	augustus_masked-flattened_line_7-processed-gene-4.201-mRNA-1_1&gene=augustus_masked-flattened_line_7-processed-gene-4.201&CDS=1-2067, genemark-flattened_line_7-processed-gene-0.124-mRNA-1_1&gene=genemark-flattened_line_7-processed-gene-0.124&CDS=1-2097, snap_masked-flattened_line_10-processed-gene-0.39-mRNA-1_1&gene=snap_masked-flattened_line_10-processed-gene-0.39&CDS=1-1701
56	OG0000056	YAL005C, YLL024C	snap_masked-flattened_line_3-processed-gene-2.61-mRNA-1_1&gene=snap_masked-flattened_line_3-processed-gene-2.61&CDS=1-1917
57	OG0000057	YAL062W, YOR375C	snap_masked-flattened_line_26-processed-gene-0.45-mRNA-1_1&gene=snap_masked-flattened_line_26-processed-gene-0.45&CDS=1-1377
58	OG0000058	YBL002W, YDR224C	snap_masked-flattened_line_20-processed-gene-0.101-mRNA-1_1&gene=snap_masked-flattened_line_20-processed-gene-0.101&CDS=1-396
59	OG0000059	YBL027W, YBR084C-A	snap_masked-flattened_line_3-processed-gene-3.8-mRNA-1_1&gene=snap_masked-flattened_line_3-processed-gene-3.8&CDS=1-600
60	OG0000060	YBL069W, YER101C	augustus_masked-flattened_line_5-processed-gene-2.76-mRNA-1_1&gene=augustus_masked-flattened_line_5-processed-gene-2.76&CDS=1-1509
61	OG0000061	YBL072C, YER102W	snap_masked-flattened_line_5-processed-gene-2.50-mRNA-1_1&gene=snap_masked-flattened_line_5-processed-gene-2.50&CDS=1-603
62	OG0000062	YBL089W, YER119C	maker-flattened_line_5-augustus-gene-5.131-mRNA-1_1&gene=maker-flattened_line_5-augustus-gene-5.131&CDS=1-2295
63	OG0000063	YBL106C, YPR032W	augustus_masked-flattened_line_5-processed-gene-5.85-mRNA-1_1&gene=augustus_masked-flattened_line_5-processed-gene-5.85&CDS=1-4995
64	OG0000064	YBR010W, YNL031C	snap_masked-flattened_line_20-processed-gene-1.108-mRNA-1_1&gene=snap_masked-flattened_line_20-processed-gene-1.108&CDS=1-408
65	OG0000065	YBR018C	augustus_masked-flattened_line_0-processed-gene-0.105-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-0.105&CDS=1-2784, augustus_masked-flattened_line_0-processed-gene-18.118-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-18.118&CDS=1-2784
66	OG0000066	YBR021W, YIR028W	snap_masked-flattened_line_20-processed-gene-0.113-mRNA-1_1&gene=snap_masked-flattened_line_20-processed-gene-0.113&CDS=1-1869
67	OG0000067	YBR031W, YDR012W	maker-flattened_line_20-augustus-gene-0.132-mRNA-1_1&gene=maker-flattened_line_20-augustus-gene-0.132&CDS=1-2523
68	OG0000068	YBR048W, YDR025W	snap_masked-flattened_line_8-processed-gene-0.56-mRNA-1_1&gene=snap_masked-flattened_line_8-processed-gene-0.56&CDS=1-465
69	OG0000069	YBR054W, YDR033W	augustus_masked-flattened_line_8-processed-gene-0.102-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-0.102&CDS=1-942
70	OG0000070	YBR082C, YDR059C	maker-flattened_line_3-snap-gene-3.91-mRNA-1_1&gene=maker-flattened_line_3-snap-gene-3.91&CDS=1-441
71	OG0000071	YBR118W, YPR080W	maker-flattened_line_40-snap-gene-0.138-mRNA-1_1&gene=maker-flattened_line_40-snap-gene-0.138&CDS=1-2406
72	OG0000072	YBR161W, YPL057C	snap_masked-flattened_line_1-processed-gene-2.91-mRNA-1_1&gene=snap_masked-flattened_line_1-processed-gene-2.91&CDS=1-1095
73	OG0000073	YBR169C, YPL106C	maker-flattened_line_24-augustus-gene-0.138-mRNA-1_1&gene=maker-flattened_line_24-augustus-gene-0.138&CDS=1-3786
74	OG0000074	YBR181C, YPL090C	snap_masked-flattened_line_24-processed-gene-0.84-mRNA-1_1&gene=snap_masked-flattened_line_24-processed-gene-0.84&CDS=1-708
75	OG0000075	YBR189W, YPL081W	maker-flattened_line_1-snap-gene-5.104-mRNA-1_1&gene=maker-flattened_line_1-snap-gene-5.104&CDS=1-1188
76	OG0000076	YBR214W, YGL056C	snap_masked-flattened_line_1-processed-gene-6.104-mRNA-1_1&gene=snap_masked-flattened_line_1-processed-gene-6.104&CDS=1-2202
77	OG0000077	YBR218C, YGL062W	snap_masked-flattened_line_1-processed-gene-5.37-mRNA-1_1&gene=snap_masked-flattened_line_1-processed-gene-5.37&CDS=1-3531
78	OG0000078	YBR242W, YGL101W	augustus_masked-flattened_line_12-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-flattened_line_12-processed-gene-0.21&CDS=1-1095
79	OG0000079	YBR257W	snap_masked-flattened_line_0-processed-gene-10.146-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-10.146&CDS=1-831, snap_masked-flattened_line_0-processed-gene-8.144-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-8.144&CDS=1-831
80	OG0000080	YBR258C	snap_masked-flattened_line_0-processed-gene-10.122-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-10.122&CDS=1-384, snap_masked-flattened_line_0-processed-gene-8.172-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-8.172&CDS=1-384
81	OG0000081	YBR260C	snap_masked-flattened_line_0-processed-gene-10.121-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-10.121&CDS=1-2034, snap_masked-flattened_line_0-processed-gene-9.53-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-9.53&CDS=1-2034
82	OG0000082	YBR261C	snap_masked-flattened_line_0-processed-gene-10.120-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-10.120&CDS=1-693, snap_masked-flattened_line_0-processed-gene-9.54-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-9.54&CDS=1-693
83	OG0000083	YBR262C	augustus_masked-flattened_line_0-processed-gene-10.74-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-10.74&CDS=1-429, maker-flattened_line_0-augustus-gene-9.0-mRNA-1_1&gene=maker-flattened_line_0-augustus-gene-9.0&CDS=1-429
84	OG0000084	YBR263W	snap_masked-flattened_line_0-processed-gene-10.143-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-10.143&CDS=1-1497, snap_masked-flattened_line_0-processed-gene-9.52-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-9.52&CDS=1-1497
85	OG0000085	YBR264C	snap_masked-flattened_line_0-processed-gene-10.118-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-10.118&CDS=1-609, snap_masked-flattened_line_0-processed-gene-9.78-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-9.78&CDS=1-609
86	OG0000086	YBR269C	snap_masked-flattened_line_0-processed-gene-10.111-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-10.111&CDS=1-375, snap_masked-flattened_line_0-processed-gene-9.64-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-9.64&CDS=1-375
87	OG0000087	YBR271W	snap_masked-flattened_line_0-processed-gene-10.112-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-10.112&CDS=1-1236, snap_masked-flattened_line_0-processed-gene-9.84-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-9.84&CDS=1-1236
88	OG0000088	YBR272C	snap_masked-flattened_line_0-processed-gene-10.115-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-10.115&CDS=1-1443, snap_masked-flattened_line_0-processed-gene-9.81-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-9.81&CDS=1-1443
89	OG0000089	YBR273C	snap_masked-flattened_line_0-processed-gene-10.141-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-10.141&CDS=1-1275, snap_masked-flattened_line_0-processed-gene-9.57-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-9.57&CDS=1-1275
90	OG0000090	YBR274W	snap_masked-flattened_line_0-processed-gene-10.117-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-10.117&CDS=1-1581, snap_masked-flattened_line_0-processed-gene-9.79-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-9.79&CDS=1-1581
91	OG0000091	YBR275C	augustus_masked-flattened_line_0-processed-gene-10.92-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-10.92&CDS=1-4836, snap_masked-flattened_line_0-processed-gene-9.56-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-9.56&CDS=1-4836
92	OG0000092	YBR276C	snap_masked-flattened_line_0-processed-gene-9.77-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-9.77&CDS=1-2481, snap_masked-flattened_line_0-processed-gene-9.92-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-9.92&CDS=1-2481
