	OrthologID	Metschnikowia_similis	Saccharomyces_cerevisiae
10	OG0000010	augustus_masked-sim-_s178-processed-gene-0.87-mRNA-1_1&gene=augustus_masked-sim-_s178-processed-gene-0.87&CDS=1-1716, augustus_masked-sim-_s307-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-sim-_s307-processed-gene-0.6&CDS=1-1665	YDR342C, YDR343C, YDR345C, YHR092C
11	OG0000011	augustus_masked-sim-_s18-processed-gene-0.153-mRNA-1_1&gene=augustus_masked-sim-_s18-processed-gene-0.153&CDS=1-453	YBR067C, YDR542W, YER011W, YIL011W, YOR010C
12	OG0000012	augustus_masked-sim-_s181-processed-gene-0.84-mRNA-1_1&gene=augustus_masked-sim-_s181-processed-gene-0.84&CDS=1-2622, augustus_masked-sim-_s192-processed-gene-0.49-mRNA-1_1&gene=augustus_masked-sim-_s192-processed-gene-0.49&CDS=1-2271, augustus_masked-sim-_s194-processed-gene-0.155-mRNA-1_1&gene=augustus_masked-sim-_s194-processed-gene-0.155&CDS=1-2220, augustus_masked-sim-_s200-processed-gene-3.67-mRNA-1_1&gene=augustus_masked-sim-_s200-processed-gene-3.67&CDS=1-1707	YJR061W, YKL201C
13	OG0000013	augustus_masked-sim-_s480-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-sim-_s480-processed-gene-0.6&CDS=1-1659, maker-sim-_s236-snap-gene-0.45-mRNA-1_1&gene=maker-sim-_s236-snap-gene-0.45&CDS=1-1410, maker-sim-_s383-snap-gene-0.102-mRNA-1_1&gene=maker-sim-_s383-snap-gene-0.102&CDS=1-1572	YDR144C, YLR120C, YLR121C
14	OG0000014	augustus_masked-sim-_s91-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-sim-_s91-processed-gene-0.12&CDS=1-1725, augustus_masked-sim-_s91-processed-gene-0.38-mRNA-1_1&gene=augustus_masked-sim-_s91-processed-gene-0.38&CDS=1-1752, genemark-sim-_s246-processed-gene-1.240-mRNA-1_1&gene=genemark-sim-_s246-processed-gene-1.240&CDS=1-1806	YKR039W, YLL061W, YPL274W
15	OG0000015	augustus_masked-sim-_s46-processed-gene-0.101-mRNA-1_1&gene=augustus_masked-sim-_s46-processed-gene-0.101&CDS=1-1389	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W
16	OG0000016	augustus_masked-sim-_s48-processed-gene-0.94-mRNA-1_1&gene=augustus_masked-sim-_s48-processed-gene-0.94&CDS=1-1713, augustus_masked-sim-_s48-processed-gene-0.98-mRNA-1_1&gene=augustus_masked-sim-_s48-processed-gene-0.98&CDS=1-1824, genemark-sim-_s53-processed-gene-0.10-mRNA-1_1&gene=genemark-sim-_s53-processed-gene-0.10&CDS=1-1815, maker-sim-_s48-augustus-gene-0.106-mRNA-1_1&gene=maker-sim-_s48-augustus-gene-0.106&CDS=1-2829	YPL243W, YPL244C
17	OG0000017	augustus_masked-sim-_s52-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-sim-_s52-processed-gene-0.8&CDS=1-1152	YJL158C, YJL159W, YJL160C, YKL163W, YKL164C
18	OG0000018	maker-sim-_C26071-snap-gene-0.0-mRNA-1_1&gene=maker-sim-_C26071-snap-gene-0.0&CDS=1-225	Q0105, Q0110, Q0115, Q0120
19	OG0000019	augustus_masked-sim-_s72-processed-gene-0.118-mRNA-1_1&gene=augustus_masked-sim-_s72-processed-gene-0.118&CDS=1-4215, genemark-sim-_s116-processed-gene-1.101-mRNA-1_1&gene=genemark-sim-_s116-processed-gene-1.101&CDS=1-4116	YCL024W, YDR507C, YKL101W
20	OG0000020	augustus_masked-sim-_s233-processed-gene-0.133-mRNA-1_1&gene=augustus_masked-sim-_s233-processed-gene-0.133&CDS=1-4521	YBL017C, YIL173W, YJL222W, YNR065C
21	OG0000021	augustus_masked-sim-_s24-processed-gene-0.71-mRNA-1_1&gene=augustus_masked-sim-_s24-processed-gene-0.71&CDS=1-1056	YDR541C, YGL039W, YGL157W, YOL151W
22	OG0000022	maker-sim-_s477-snap-gene-0.5-mRNA-1_1&gene=maker-sim-_s477-snap-gene-0.5&CDS=1-1671	YBR297W, YFL052W, YGR288W, YPR196W
23	OG0000023	augustus_masked-sim-_C20613-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-sim-_C20613-processed-gene-0.1&CDS=1-156, augustus_masked-sim-_s266-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-sim-_s266-processed-gene-0.2&CDS=1-441, augustus_masked-sim-_s37-processed-gene-0.70-mRNA-1_1&gene=augustus_masked-sim-_s37-processed-gene-0.70&CDS=1-5085	YJL207C
24	OG0000024	augustus_masked-sim-_C22837-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-sim-_C22837-processed-gene-0.2&CDS=1-324, augustus_masked-sim-_C23107-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-sim-_C23107-processed-gene-0.2&CDS=1-414, augustus_masked-sim-_s305-processed-gene-0.38-mRNA-1_1&gene=augustus_masked-sim-_s305-processed-gene-0.38&CDS=1-1413	YJL002C
25	OG0000025	augustus_masked-sim-_C24361-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-sim-_C24361-processed-gene-0.2&CDS=1-684, augustus_masked-sim-_C27153-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-sim-_C27153-processed-gene-0.7&CDS=1-1071, augustus_masked-sim-_s476-processed-gene-0.98-mRNA-1_1&gene=augustus_masked-sim-_s476-processed-gene-0.98&CDS=1-1719	YDR242W
26	OG0000026	augustus_masked-sim-_C26835-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-sim-_C26835-processed-gene-0.4&CDS=1-897, augustus_masked-sim-_s226-processed-gene-0.9-mRNA-1_1&gene=augustus_masked-sim-_s226-processed-gene-0.9&CDS=1-849, augustus_masked-sim-_s235-processed-gene-1.156-mRNA-1_1&gene=augustus_masked-sim-_s235-processed-gene-1.156&CDS=1-870	YKL096W
27	OG0000027	augustus_masked-sim-_s111-processed-gene-1.92-mRNA-1_1&gene=augustus_masked-sim-_s111-processed-gene-1.92&CDS=1-996	YGR192C, YJL052W, YJR009C
28	OG0000028	genemark-sim-_s111-processed-gene-2.245-mRNA-1_1&gene=genemark-sim-_s111-processed-gene-2.245&CDS=1-771, genemark-sim-_s412-processed-gene-0.45-mRNA-1_1&gene=genemark-sim-_s412-processed-gene-0.45&CDS=1-774	YHL033C, YLL045C
29	OG0000029	augustus_masked-sim-_s111-processed-gene-2.172-mRNA-1_1&gene=augustus_masked-sim-_s111-processed-gene-2.172&CDS=1-1011, augustus_masked-sim-_s222-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-sim-_s222-processed-gene-0.20&CDS=1-1095	YGL185C, YNL274C
30	OG0000030	genemark-sim-_s116-processed-gene-0.11-mRNA-1_1&gene=genemark-sim-_s116-processed-gene-0.11&CDS=1-1875, snap_masked-sim-_s154-processed-gene-0.4-mRNA-1_1&gene=snap_masked-sim-_s154-processed-gene-0.4&CDS=1-2517	YER075C, YOR208W
31	OG0000031	augustus_masked-sim-_s116-processed-gene-1.5-mRNA-1_1&gene=augustus_masked-sim-_s116-processed-gene-1.5&CDS=1-2244, augustus_masked-sim-_s247-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-sim-_s247-processed-gene-0.13&CDS=1-2478	YAR035W, YER024W
32	OG0000032	augustus_masked-sim-_s121-processed-gene-2.97-mRNA-1_1&gene=augustus_masked-sim-_s121-processed-gene-2.97&CDS=1-2622, snap_masked-sim-_s433-processed-gene-0.4-mRNA-1_1&gene=snap_masked-sim-_s433-processed-gene-0.4&CDS=1-2874	YFL047W, YHR182W
33	OG0000033	augustus_masked-sim-_s465-processed-gene-1.33-mRNA-1_1&gene=augustus_masked-sim-_s465-processed-gene-1.33&CDS=1-2337, maker-sim-_s123-snap-gene-0.8-mRNA-1_1&gene=maker-sim-_s123-snap-gene-0.8&CDS=1-2673	YDL132W, YGR003W
34	OG0000034	augustus_masked-sim-_s126-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-sim-_s126-processed-gene-0.16&CDS=1-411, augustus_masked-sim-_s477-processed-gene-0.78-mRNA-1_1&gene=augustus_masked-sim-_s477-processed-gene-0.78&CDS=1-456	YEL066W, YPR193C
35	OG0000035	augustus_masked-sim-_s133-processed-gene-0.147-mRNA-1_1&gene=augustus_masked-sim-_s133-processed-gene-0.147&CDS=1-309, augustus_masked-sim-_s345-processed-gene-0.177-mRNA-1_1&gene=augustus_masked-sim-_s345-processed-gene-0.177&CDS=1-309	YBR009C, YNL030W
36	OG0000036	augustus_masked-sim-_s133-processed-gene-0.148-mRNA-1_1&gene=augustus_masked-sim-_s133-processed-gene-0.148&CDS=1-834, genemark-sim-_s360-processed-gene-0.20-mRNA-1_1&gene=genemark-sim-_s360-processed-gene-0.20&CDS=1-948	YNL032W, YNL056W
37	OG0000037	augustus_masked-sim-_s152-processed-gene-0.35-mRNA-1_1&gene=augustus_masked-sim-_s152-processed-gene-0.35&CDS=1-1635, augustus_masked-sim-_s428-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-sim-_s428-processed-gene-0.10&CDS=1-1608, maker-sim-_s429-augustus-gene-0.0-mRNA-1_1&gene=maker-sim-_s429-augustus-gene-0.0&CDS=1-1239	YNL189W
38	OG0000038	augustus_masked-sim-_s171-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-sim-_s171-processed-gene-0.0&CDS=1-582, augustus_masked-sim-_s77-processed-gene-0.66-mRNA-1_1&gene=augustus_masked-sim-_s77-processed-gene-0.66&CDS=1-549, snap_masked-sim-_s445-processed-gene-0.5-mRNA-1_1&gene=snap_masked-sim-_s445-processed-gene-0.5&CDS=1-576	YLR435W
39	OG0000039	augustus_masked-sim-_s18-processed-gene-0.106-mRNA-1_1&gene=augustus_masked-sim-_s18-processed-gene-0.106&CDS=1-1275, augustus_masked-sim-_s236-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-sim-_s236-processed-gene-0.11&CDS=1-1275, augustus_masked-sim-_s490-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-sim-_s490-processed-gene-0.1&CDS=1-1371, augustus_masked-sim-_s53-processed-gene-0.23-mRNA-1_1&gene=augustus_masked-sim-_s53-processed-gene-0.23&CDS=1-1275	
40	OG0000040	augustus_masked-sim-_s182-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-sim-_s182-processed-gene-0.7&CDS=1-3096, augustus_masked-sim-_s496-processed-gene-0.92-mRNA-1_1&gene=augustus_masked-sim-_s496-processed-gene-0.92&CDS=1-3066	YBR245C, YOR304W
41	OG0000041	augustus_masked-sim-_s200-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-sim-_s200-processed-gene-0.6&CDS=1-1149, snap_masked-sim-_s476-processed-gene-0.64-mRNA-1_1&gene=snap_masked-sim-_s476-processed-gene-0.64&CDS=1-5310	YIL149C, YKR095W
42	OG0000042	augustus_masked-sim-_s200-processed-gene-3.47-mRNA-1_1&gene=augustus_masked-sim-_s200-processed-gene-3.47&CDS=1-5727, augustus_masked-sim-_s72-processed-gene-0.103-mRNA-1_1&gene=augustus_masked-sim-_s72-processed-gene-0.103&CDS=1-1332	YMR130W, YPL259C
43	OG0000043	augustus_masked-sim-_s383-processed-gene-0.137-mRNA-1_1&gene=augustus_masked-sim-_s383-processed-gene-0.137&CDS=1-1263, genemark-sim-_s200-processed-gene-3.106-mRNA-1_1&gene=genemark-sim-_s200-processed-gene-3.106&CDS=1-1647	YER028C, YGL209W
44	OG0000044	augustus_masked-sim-_s203-processed-gene-0.44-mRNA-1_1&gene=augustus_masked-sim-_s203-processed-gene-0.44&CDS=1-1374, augustus_masked-sim-_s277-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-sim-_s277-processed-gene-0.12&CDS=1-1374	YBR118W, YPR080W
45	OG0000045	augustus_masked-sim-_s30-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-sim-_s30-processed-gene-0.5&CDS=1-2097, genemark-sim-_s205-processed-gene-0.1-mRNA-1_1&gene=genemark-sim-_s205-processed-gene-0.1&CDS=1-480, genemark-sim-_s30-processed-gene-0.22-mRNA-1_1&gene=genemark-sim-_s30-processed-gene-0.22&CDS=1-498	YJR019C
46	OG0000046	augustus_masked-sim-_s6-processed-gene-1.223-mRNA-1_1&gene=augustus_masked-sim-_s6-processed-gene-1.223&CDS=1-3441, maker-sim-_s224-snap-gene-0.15-mRNA-1_1&gene=maker-sim-_s224-snap-gene-0.15&CDS=1-2175	YDR466W, YDR490C
47	OG0000047	augustus_masked-sim-_s224-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-sim-_s224-processed-gene-0.13&CDS=1-993	YLL062C, YMR321C, YPL273W
48	OG0000048	genemark-sim-_s225-processed-gene-0.9-mRNA-1_1&gene=genemark-sim-_s225-processed-gene-0.9&CDS=1-1557, snap_masked-sim-_s345-processed-gene-0.18-mRNA-1_1&gene=snap_masked-sim-_s345-processed-gene-0.18&CDS=1-2136	YLR098C, YOR337W
49	OG0000049	augustus_masked-sim-_s225-processed-gene-0.31-mRNA-1_1&gene=augustus_masked-sim-_s225-processed-gene-0.31&CDS=1-1347, augustus_masked-sim-_s226-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-sim-_s226-processed-gene-0.12&CDS=1-1530	YBR020W, YDR009W
50	OG0000050	augustus_masked-sim-_s246-processed-gene-0.114-mRNA-1_1&gene=augustus_masked-sim-_s246-processed-gene-0.114&CDS=1-5367, augustus_masked-sim-_s246-processed-gene-0.134-mRNA-1_1&gene=augustus_masked-sim-_s246-processed-gene-0.134&CDS=1-5679	YGR184C, YLR024C
51	OG0000051	augustus_masked-sim-_s246-processed-gene-1.155-mRNA-1_1&gene=augustus_masked-sim-_s246-processed-gene-1.155&CDS=1-1326, augustus_masked-sim-_s360-processed-gene-1.68-mRNA-1_1&gene=augustus_masked-sim-_s360-processed-gene-1.68&CDS=1-1545	YBR239C, YJL103C
52	OG0000052	augustus_masked-sim-_s253-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-sim-_s253-processed-gene-0.20&CDS=1-690, augustus_masked-sim-_s260-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-sim-_s260-processed-gene-0.24&CDS=1-762, augustus_masked-sim-_s383-processed-gene-0.149-mRNA-1_1&gene=augustus_masked-sim-_s383-processed-gene-0.149&CDS=1-762	YMR234W
53	OG0000053	augustus_masked-sim-_s260-processed-gene-0.33-mRNA-1_1&gene=augustus_masked-sim-_s260-processed-gene-0.33&CDS=1-1536	YER056C, YER060W, YER060W-A
54	OG0000054	augustus_masked-sim-_s268-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-sim-_s268-processed-gene-0.0&CDS=1-4188, augustus_masked-sim-_s310-processed-gene-0.46-mRNA-1_1&gene=augustus_masked-sim-_s310-processed-gene-0.46&CDS=1-2517	YAL002W, YJL102W
55	OG0000055	augustus_masked-sim-_s294-processed-gene-0.21-mRNA-1_1&gene=augustus_masked-sim-_s294-processed-gene-0.21&CDS=1-1548, augustus_masked-sim-_s370-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-sim-_s370-processed-gene-0.1&CDS=1-1587	YGR197C, YJR015W
56	OG0000056	augustus_masked-sim-_s306-processed-gene-0.189-mRNA-1_1&gene=augustus_masked-sim-_s306-processed-gene-0.189&CDS=1-672, augustus_masked-sim-_s346-processed-gene-2.116-mRNA-1_1&gene=augustus_masked-sim-_s346-processed-gene-2.116&CDS=1-1371	YBL095W, YER182W
57	OG0000057	augustus_masked-sim-_s307-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-sim-_s307-processed-gene-0.7&CDS=1-1272, augustus_masked-sim-_s81-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-sim-_s81-processed-gene-0.5&CDS=1-1260	YKL106W, YLR027C
58	OG0000058	maker-sim-_s308-augustus-gene-0.67-mRNA-1_1&gene=maker-sim-_s308-augustus-gene-0.67&CDS=1-2106	YOL055C, YPL258C, YPR121W
59	OG0000059	augustus_masked-sim-_s346-processed-gene-1.51-mRNA-1_1&gene=augustus_masked-sim-_s346-processed-gene-1.51&CDS=1-2109, augustus_masked-sim-_s359-processed-gene-0.22-mRNA-1_1&gene=augustus_masked-sim-_s359-processed-gene-0.22&CDS=1-2121, maker-sim-_s346-snap-gene-1.43-mRNA-1_1&gene=maker-sim-_s346-snap-gene-1.43&CDS=1-2169	YGL205W
60	OG0000060	augustus_masked-sim-_s368-processed-gene-0.50-mRNA-1_1&gene=augustus_masked-sim-_s368-processed-gene-0.50&CDS=1-282	YIL148W, YKR094C, YLR167W
61	OG0000061	augustus_masked-sim-_s493-processed-gene-0.54-mRNA-1_1&gene=augustus_masked-sim-_s493-processed-gene-0.54&CDS=1-1830, snap_masked-sim-_s373-processed-gene-0.12-mRNA-1_1&gene=snap_masked-sim-_s373-processed-gene-0.12&CDS=1-546	YDR134C, YLR110C
62	OG0000062	augustus_masked-sim-_s383-processed-gene-0.131-mRNA-1_1&gene=augustus_masked-sim-_s383-processed-gene-0.131&CDS=1-792, maker-sim-_s91-augustus-gene-0.1-mRNA-1_1&gene=maker-sim-_s91-augustus-gene-0.1&CDS=1-786	YHR203C, YJR145C
63	OG0000063	augustus_masked-sim-_s387-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-sim-_s387-processed-gene-0.24&CDS=1-861	YFL059W, YMR096W, YNL333W
64	OG0000064	augustus_masked-sim-_s387-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-sim-_s387-processed-gene-0.6&CDS=1-741	YFL060C, YMR095C, YNL334C
65	OG0000065	augustus_masked-sim-_s487-processed-gene-0.95-mRNA-1_1&gene=augustus_masked-sim-_s487-processed-gene-0.95&CDS=1-3792, snap_masked-sim-_s46-processed-gene-0.31-mRNA-1_1&gene=snap_masked-sim-_s46-processed-gene-0.31&CDS=1-4506	YIL126W, YOR290C
66	OG0000066	augustus_masked-sim-_s477-processed-gene-0.58-mRNA-1_1&gene=augustus_masked-sim-_s477-processed-gene-0.58&CDS=1-3216	YDR038C, YDR039C, YDR040C
67	OG0000067	augustus_masked-sim-_s477-processed-gene-0.60-mRNA-1_1&gene=augustus_masked-sim-_s477-processed-gene-0.60&CDS=1-1722	YBR298C, YDL247W, YJR160C
68	OG0000068	genemark-sim-_s72-processed-gene-0.10-mRNA-1_1&gene=genemark-sim-_s72-processed-gene-0.10&CDS=1-2358	YML111W, YMR275C, YNR069C
69	OG0000069	augustus_masked-sim-_s73-processed-gene-0.24-mRNA-1_1&gene=augustus_masked-sim-_s73-processed-gene-0.24&CDS=1-2757, maker-sim-_s99-augustus-gene-0.39-mRNA-1_1&gene=maker-sim-_s99-augustus-gene-0.39&CDS=1-1662	YBR237W, YNL112W
70	OG0000070		YGR109W-A, YGR109W-B, YIL082W, YIL082W-A
71	OG0000071		YKL222C, YLR266C, YOR162C, YOR172W
72	OG0000072	augustus_masked-sim-_C22247-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-sim-_C22247-processed-gene-0.1&CDS=1-261, augustus_masked-sim-_s346-processed-gene-2.154-mRNA-1_1&gene=augustus_masked-sim-_s346-processed-gene-2.154&CDS=1-1053	YJL145W
73	OG0000073	augustus_masked-sim-_C23333-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-sim-_C23333-processed-gene-0.0&CDS=1-324	YER057C, YIL051C
