	OrthologID	Saccharomyces_cerevisiae	yHMPu5000035691_Candida_salmanticensis
13	OG0000013	YER073W, YMR169C, YMR170C	augustus_masked-flattened_line_36-processed-gene-0.130-mRNA-1_1&gene=augustus_masked-flattened_line_36-processed-gene-0.130&CDS=1-1479, genemark-flattened_line_28-processed-gene-0.110-mRNA-1_1&gene=genemark-flattened_line_28-processed-gene-0.110&CDS=1-1482, genemark-flattened_line_6-processed-gene-0.107-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-0.107&CDS=1-1485
14	OG0000014	YGR067C, YMR182C, YPL230W	genemark-flattened_line_12-processed-gene-1.103-mRNA-1_1&gene=genemark-flattened_line_12-processed-gene-1.103&CDS=1-1791, genemark-flattened_line_8-processed-gene-5.226-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-5.226&CDS=1-2022, genemark-flattened_line_8-processed-gene-5.241-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-5.241&CDS=1-1761
15	OG0000015	YKL107W	genemark-flattened_line_34-processed-gene-1.252-mRNA-1_1&gene=genemark-flattened_line_34-processed-gene-1.252&CDS=1-933, genemark-flattened_line_52-processed-gene-0.30-mRNA-1_1&gene=genemark-flattened_line_52-processed-gene-0.30&CDS=1-966, genemark-flattened_line_8-processed-gene-5.243-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-5.243&CDS=1-930, snap_masked-flattened_line_0-processed-gene-4.76-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-4.76&CDS=1-933, snap_masked-flattened_line_0-processed-gene-4.77-mRNA-1_1&gene=snap_masked-flattened_line_0-processed-gene-4.77&CDS=1-933
16	OG0000016	YMR111C	augustus_masked-flattened_line_136-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_136-processed-gene-0.1&CDS=1-3837, augustus_masked-flattened_line_48-processed-gene-0.106-mRNA-1_1&gene=augustus_masked-flattened_line_48-processed-gene-0.106&CDS=1-3723, augustus_masked-flattened_line_48-processed-gene-0.107-mRNA-1_1&gene=augustus_masked-flattened_line_48-processed-gene-0.107&CDS=1-3708, snap_masked-flattened_line_134-processed-gene-0.1-mRNA-1_1&gene=snap_masked-flattened_line_134-processed-gene-0.1&CDS=1-3777, snap_masked-flattened_line_6-processed-gene-6.126-mRNA-1_1&gene=snap_masked-flattened_line_6-processed-gene-6.126&CDS=1-390
17	OG0000017	YAL053W, YGL139W, YPL221W	genemark-flattened_line_2-processed-gene-5.99-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-5.99&CDS=1-2397, genemark-flattened_line_50-processed-gene-0.66-mRNA-1_1&gene=genemark-flattened_line_50-processed-gene-0.66&CDS=1-2397
18	OG0000018	YBL017C, YIL173W, YJL222W, YNR065C	genemark-flattened_line_6-processed-gene-4.29-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-4.29&CDS=1-4416
19	OG0000019	YBR118W, YKR084C, YPR080W	genemark-flattened_line_6-processed-gene-2.4-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-2.4&CDS=1-1380, maker-flattened_line_6-snap-gene-3.66-mRNA-1_1&gene=maker-flattened_line_6-snap-gene-3.66&CDS=1-2235
20	OG0000020	YBR207W, YER145C	genemark-flattened_line_24-processed-gene-0.38-mRNA-1_1&gene=genemark-flattened_line_24-processed-gene-0.38&CDS=1-1197, genemark-flattened_line_28-processed-gene-0.116-mRNA-1_1&gene=genemark-flattened_line_28-processed-gene-0.116&CDS=1-1176, genemark-flattened_line_82-processed-gene-0.4-mRNA-1_1&gene=genemark-flattened_line_82-processed-gene-0.4&CDS=1-1200
21	OG0000021	YBR297W, YFL052W, YGR288W, YPR196W	snap_masked-flattened_line_28-processed-gene-1.169-mRNA-1_1&gene=snap_masked-flattened_line_28-processed-gene-1.169&CDS=1-1593
22	OG0000022	YCR065W, YIL131C, YNL068C	genemark-flattened_line_6-processed-gene-0.93-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-0.93&CDS=1-3312, genemark-flattened_line_6-processed-gene-1.53-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-1.53&CDS=1-2271
23	OG0000023	YDL137W, YDL192W, YOR094W	genemark-flattened_line_14-processed-gene-3.173-mRNA-1_1&gene=genemark-flattened_line_14-processed-gene-3.173&CDS=1-543, genemark-flattened_line_2-processed-gene-4.158-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-4.158&CDS=1-546
24	OG0000024	YDR144C, YLR120C, YLR121C	genemark-flattened_line_8-processed-gene-2.147-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-2.147&CDS=1-1713, genemark-flattened_line_82-processed-gene-0.0-mRNA-1_1&gene=genemark-flattened_line_82-processed-gene-0.0&CDS=1-2223
25	OG0000025	YDR385W, YKL173W, YOR133W	genemark-flattened_line_0-processed-gene-4.121-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-4.121&CDS=1-2943, genemark-flattened_line_6-processed-gene-5.43-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-5.43&CDS=1-2526
26	OG0000026	YDR387C, YDR497C, YOL103W	genemark-flattened_line_2-processed-gene-0.42-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-0.42&CDS=1-1683, genemark-flattened_line_38-processed-gene-1.40-mRNA-1_1&gene=genemark-flattened_line_38-processed-gene-1.40&CDS=1-1446
27	OG0000027	YDR533C, YMR322C, YOR391C, YPL280W	maker-flattened_line_10-augustus-gene-4.132-mRNA-1_1&gene=maker-flattened_line_10-augustus-gene-4.132&CDS=1-1476
28	OG0000028	YDR541C, YGL039W, YGL157W, YOL151W	genemark-flattened_line_30-processed-gene-1.273-mRNA-1_1&gene=genemark-flattened_line_30-processed-gene-1.273&CDS=1-1020
29	OG0000029	YGR070W, YLR371W, YLR425W	genemark-flattened_line_14-processed-gene-3.198-mRNA-1_1&gene=genemark-flattened_line_14-processed-gene-3.198&CDS=1-4449, genemark-flattened_line_56-processed-gene-0.133-mRNA-1_1&gene=genemark-flattened_line_56-processed-gene-0.133&CDS=1-4458
30	OG0000030	YGR109W-A, YGR109W-B, YIL082W, YIL082W-A	augustus_masked-flattened_line_128-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-flattened_line_128-processed-gene-0.3&CDS=1-1188
31	OG0000031	YGR260W	genemark-flattened_line_2-processed-gene-6.22-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-6.22&CDS=1-1476, genemark-flattened_line_34-processed-gene-1.206-mRNA-1_1&gene=genemark-flattened_line_34-processed-gene-1.206&CDS=1-1476, genemark-flattened_line_44-processed-gene-0.324-mRNA-1_1&gene=genemark-flattened_line_44-processed-gene-0.324&CDS=1-1503, genemark-flattened_line_56-processed-gene-0.126-mRNA-1_1&gene=genemark-flattened_line_56-processed-gene-0.126&CDS=1-1458
32	OG0000032	YJL139C, YKR061W, YOR099W	augustus_masked-flattened_line_2-processed-gene-3.41-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-3.41&CDS=1-1239, genemark-flattened_line_4-processed-gene-0.41-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-0.41&CDS=1-1362
33	OG0000033	YJR152W	genemark-flattened_line_34-processed-gene-1.207-mRNA-1_1&gene=genemark-flattened_line_34-processed-gene-1.207&CDS=1-1503, genemark-flattened_line_52-processed-gene-0.23-mRNA-1_1&gene=genemark-flattened_line_52-processed-gene-0.23&CDS=1-1530, genemark-flattened_line_8-processed-gene-5.201-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-5.201&CDS=1-1503, genemark-flattened_line_88-processed-gene-0.8-mRNA-1_1&gene=genemark-flattened_line_88-processed-gene-0.8&CDS=1-1533
34	OG0000034	YKL055C, YMR226C	genemark-flattened_line_0-processed-gene-3.103-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-3.103&CDS=1-693, genemark-flattened_line_2-processed-gene-6.41-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-6.41&CDS=1-759, maker-flattened_line_34-augustus-gene-1.9-mRNA-1_1&gene=maker-flattened_line_34-augustus-gene-1.9&CDS=1-882
35	OG0000035	YKL070W	genemark-flattened_line_110-processed-gene-0.19-mRNA-1_1&gene=genemark-flattened_line_110-processed-gene-0.19&CDS=1-645, genemark-flattened_line_34-processed-gene-1.210-mRNA-1_1&gene=genemark-flattened_line_34-processed-gene-1.210&CDS=1-633, genemark-flattened_line_8-processed-gene-5.209-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-5.209&CDS=1-633, snap_masked-flattened_line_74-processed-gene-0.108-mRNA-1_1&gene=snap_masked-flattened_line_74-processed-gene-0.108&CDS=1-648
36	OG0000036	YKL220C, YLL051C, YNR060W, YOR381W, YOR384W	
37	OG0000037	YKR089C, YMR313C, YOR081C	genemark-flattened_line_10-processed-gene-1.124-mRNA-1_1&gene=genemark-flattened_line_10-processed-gene-1.124&CDS=1-1767, genemark-flattened_line_2-processed-gene-2.115-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-2.115&CDS=1-1989
38	OG0000038	YLR034C, YOL122C	genemark-flattened_line_0-processed-gene-1.0-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-1.0&CDS=1-2220, genemark-flattened_line_106-processed-gene-0.18-mRNA-1_1&gene=genemark-flattened_line_106-processed-gene-0.18&CDS=1-1617, snap_masked-flattened_line_24-processed-gene-1.76-mRNA-1_1&gene=snap_masked-flattened_line_24-processed-gene-1.76&CDS=1-1605
39	OG0000039	YLR237W, YOR071C, YOR192C	genemark-flattened_line_2-processed-gene-6.27-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-6.27&CDS=1-1707, genemark-flattened_line_26-processed-gene-0.80-mRNA-1_1&gene=genemark-flattened_line_26-processed-gene-0.80&CDS=1-1731
40	OG0000040	YMR019W	genemark-flattened_line_2-processed-gene-3.146-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-3.146&CDS=1-2295, genemark-flattened_line_2-processed-gene-3.147-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-3.147&CDS=1-2328, genemark-flattened_line_34-processed-gene-1.211-mRNA-1_1&gene=genemark-flattened_line_34-processed-gene-1.211&CDS=1-1983, genemark-flattened_line_8-processed-gene-5.210-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-5.210&CDS=1-1980
41	OG0000041	YOL062C, YPL259C	genemark-flattened_line_14-processed-gene-0.17-mRNA-1_1&gene=genemark-flattened_line_14-processed-gene-0.17&CDS=1-1335, genemark-flattened_line_4-processed-gene-5.137-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-5.137&CDS=1-1284, genemark-flattened_line_68-processed-gene-0.110-mRNA-1_1&gene=genemark-flattened_line_68-processed-gene-0.110&CDS=1-1329
42	OG0000042	YOR320C	augustus_masked-flattened_line_16-processed-gene-0.113-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-0.113&CDS=1-1143, augustus_masked-flattened_line_16-processed-gene-0.114-mRNA-1_1&gene=augustus_masked-flattened_line_16-processed-gene-0.114&CDS=1-1143, genemark-flattened_line_14-processed-gene-2.24-mRNA-1_1&gene=genemark-flattened_line_14-processed-gene-2.24&CDS=1-1041, genemark-flattened_line_16-processed-gene-0.39-mRNA-1_1&gene=genemark-flattened_line_16-processed-gene-0.39&CDS=1-1212
43	OG0000043	YOR389W, YPL277C, YPL278C	genemark-flattened_line_2-processed-gene-6.25-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-6.25&CDS=1-1626, snap_masked-flattened_line_6-processed-gene-6.130-mRNA-1_1&gene=snap_masked-flattened_line_6-processed-gene-6.130&CDS=1-1755
44	OG0000044	Q0105, Q0110, Q0115, Q0120	maker-flattened_line_102-snap-gene-0.31-mRNA-1_1&gene=maker-flattened_line_102-snap-gene-0.31&CDS=1-519
45	OG0000045		augustus_masked-flattened_line_48-processed-gene-0.122-mRNA-1_1&gene=augustus_masked-flattened_line_48-processed-gene-0.122&CDS=1-2304, snap_masked-flattened_line_30-processed-gene-1.45-mRNA-1_1&gene=snap_masked-flattened_line_30-processed-gene-1.45&CDS=1-2121, snap_masked-flattened_line_6-processed-gene-4.60-mRNA-1_1&gene=snap_masked-flattened_line_6-processed-gene-4.60&CDS=1-2142, snap_masked-flattened_line_6-processed-gene-4.63-mRNA-1_1&gene=snap_masked-flattened_line_6-processed-gene-4.63&CDS=1-2130, snap_masked-flattened_line_80-processed-gene-0.62-mRNA-1_1&gene=snap_masked-flattened_line_80-processed-gene-0.62&CDS=1-2109
46	OG0000046	YBL068W-A, YBL069W, YER101C, YMR152W	
47	OG0000047	YBR009C, YNL030W	genemark-flattened_line_0-processed-gene-6.142-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-6.142&CDS=1-309, snap_masked-flattened_line_26-processed-gene-1.105-mRNA-1_1&gene=snap_masked-flattened_line_26-processed-gene-1.105&CDS=1-309
48	OG0000048	YBR038W, YNL192W	genemark-flattened_line_20-processed-gene-2.65-mRNA-1_1&gene=genemark-flattened_line_20-processed-gene-2.65&CDS=1-3207, genemark-flattened_line_8-processed-gene-5.182-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-5.182&CDS=1-2931
49	OG0000049	YBR052C, YCR004C, YDR032C	maker-flattened_line_36-augustus-gene-0.54-mRNA-1_1&gene=maker-flattened_line_36-augustus-gene-0.54&CDS=1-2025
50	OG0000050	YBR073W, YGL163C	genemark-flattened_line_14-processed-gene-3.230-mRNA-1_1&gene=genemark-flattened_line_14-processed-gene-3.230&CDS=1-2703, genemark-flattened_line_4-processed-gene-0.2-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-0.2&CDS=1-2475
51	OG0000051	YBR114W, YOR191W	maker-flattened_line_44-snap-gene-0.22-mRNA-1_1&gene=maker-flattened_line_44-snap-gene-0.22&CDS=1-3258, snap_masked-flattened_line_20-processed-gene-0.104-mRNA-1_1&gene=snap_masked-flattened_line_20-processed-gene-0.104&CDS=1-2526
52	OG0000052	YBR119W, YIR009W	genemark-flattened_line_30-processed-gene-0.116-mRNA-1_1&gene=genemark-flattened_line_30-processed-gene-0.116&CDS=1-1074, genemark-flattened_line_38-processed-gene-1.46-mRNA-1_1&gene=genemark-flattened_line_38-processed-gene-1.46&CDS=1-741
53	OG0000053	YBR151W, YML050W	genemark-flattened_line_16-processed-gene-2.241-mRNA-1_1&gene=genemark-flattened_line_16-processed-gene-2.241&CDS=1-855, genemark-flattened_line_18-processed-gene-0.122-mRNA-1_1&gene=genemark-flattened_line_18-processed-gene-0.122&CDS=1-789
54	OG0000054	YBR199W	genemark-flattened_line_16-processed-gene-2.223-mRNA-1_1&gene=genemark-flattened_line_16-processed-gene-2.223&CDS=1-1278, genemark-flattened_line_2-processed-gene-2.143-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-2.143&CDS=1-1188, genemark-flattened_line_8-processed-gene-3.140-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-3.140&CDS=1-1125
55	OG0000055	YBR237W, YNL112W	genemark-flattened_line_0-processed-gene-0.24-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-0.24&CDS=1-1671, genemark-flattened_line_26-processed-gene-1.16-mRNA-1_1&gene=genemark-flattened_line_26-processed-gene-1.16&CDS=1-2967
56	OG0000056	YBR263W, YLR058C	genemark-flattened_line_26-processed-gene-0.101-mRNA-1_1&gene=genemark-flattened_line_26-processed-gene-0.101&CDS=1-1467, maker-flattened_line_14-augustus-gene-0.55-mRNA-1_1&gene=maker-flattened_line_14-augustus-gene-0.55&CDS=1-1422
57	OG0000057	YBR278W, YER159C	genemark-flattened_line_24-processed-gene-2.40-mRNA-1_1&gene=genemark-flattened_line_24-processed-gene-2.40&CDS=1-399, maker-flattened_line_4-augustus-gene-6.96-mRNA-1_1&gene=maker-flattened_line_4-augustus-gene-6.96&CDS=1-297
58	OG0000058	YBR293W	genemark-flattened_line_32-processed-gene-0.134-mRNA-1_1&gene=genemark-flattened_line_32-processed-gene-0.134&CDS=1-1656, genemark-flattened_line_54-processed-gene-0.146-mRNA-1_1&gene=genemark-flattened_line_54-processed-gene-0.146&CDS=1-1632, maker-flattened_line_92-snap-gene-0.49-mRNA-1_1&gene=maker-flattened_line_92-snap-gene-0.49&CDS=1-4596
59	OG0000059	YCR102C, YLR460C, YNL134C	maker-flattened_line_70-snap-gene-0.79-mRNA-1_1&gene=maker-flattened_line_70-snap-gene-0.79&CDS=1-2187
60	OG0000060	YDL056W, YLR182W	genemark-flattened_line_4-processed-gene-6.64-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-6.64&CDS=1-2499, genemark-flattened_line_40-processed-gene-0.127-mRNA-1_1&gene=genemark-flattened_line_40-processed-gene-0.127&CDS=1-2892
61	OG0000061	YDL132W, YGR003W	genemark-flattened_line_0-processed-gene-3.125-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-3.125&CDS=1-2337, genemark-flattened_line_8-processed-gene-4.146-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-4.146&CDS=1-2376
62	OG0000062	YDL161W, YLR206W	genemark-flattened_line_20-processed-gene-1.168-mRNA-1_1&gene=genemark-flattened_line_20-processed-gene-1.168&CDS=1-819, maker-flattened_line_18-augustus-gene-2.129-mRNA-1_1&gene=maker-flattened_line_18-augustus-gene-2.129&CDS=1-1518
63	OG0000063	YDL210W	genemark-flattened_line_24-processed-gene-2.35-mRNA-1_1&gene=genemark-flattened_line_24-processed-gene-2.35&CDS=1-1689, genemark-flattened_line_34-processed-gene-1.245-mRNA-1_1&gene=genemark-flattened_line_34-processed-gene-1.245&CDS=1-1551, genemark-flattened_line_50-processed-gene-0.27-mRNA-1_1&gene=genemark-flattened_line_50-processed-gene-0.27&CDS=1-1620
64	OG0000064	YDR038C, YDR039C, YDR040C	genemark-flattened_line_8-processed-gene-2.148-mRNA-1_1&gene=genemark-flattened_line_8-processed-gene-2.148&CDS=1-3246
65	OG0000065	YDR338C, YHR032W	genemark-flattened_line_2-processed-gene-6.26-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-6.26&CDS=1-1458, genemark-flattened_line_78-processed-gene-0.95-mRNA-1_1&gene=genemark-flattened_line_78-processed-gene-0.95&CDS=1-1713
66	OG0000066	YDR352W, YOL092W	genemark-flattened_line_18-processed-gene-2.15-mRNA-1_1&gene=genemark-flattened_line_18-processed-gene-2.15&CDS=1-879, genemark-flattened_line_36-processed-gene-1.9-mRNA-1_1&gene=genemark-flattened_line_36-processed-gene-1.9&CDS=1-1200
67	OG0000067	YDR479C, YHR150W	augustus_masked-flattened_line_8-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-flattened_line_8-processed-gene-0.11&CDS=1-1593, genemark-flattened_line_38-processed-gene-1.32-mRNA-1_1&gene=genemark-flattened_line_38-processed-gene-1.32&CDS=1-1068
68	OG0000068	YER056C, YER060W, YER060W-A	genemark-flattened_line_4-processed-gene-5.173-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-5.173&CDS=1-1569
69	OG0000069	YER065C, YPR006C	genemark-flattened_line_2-processed-gene-0.44-mRNA-1_1&gene=genemark-flattened_line_2-processed-gene-0.44&CDS=1-1632, snap_masked-flattened_line_4-processed-gene-1.118-mRNA-1_1&gene=snap_masked-flattened_line_4-processed-gene-1.118&CDS=1-1710
70	OG0000070	YER151C, YNL186W	genemark-flattened_line_26-processed-gene-0.117-mRNA-1_1&gene=genemark-flattened_line_26-processed-gene-0.117&CDS=1-1467, snap_masked-flattened_line_4-processed-gene-6.173-mRNA-1_1&gene=snap_masked-flattened_line_4-processed-gene-6.173&CDS=1-1281
71	OG0000071	YFL059W, YMR096W, YNL333W	snap_masked-flattened_line_34-processed-gene-0.24-mRNA-1_1&gene=snap_masked-flattened_line_34-processed-gene-0.24&CDS=1-840
72	OG0000072	YFL060C, YMR095C, YNL334C	genemark-flattened_line_0-processed-gene-1.26-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-1.26&CDS=1-750
73	OG0000073	YFL061W, YNL335W	genemark-flattened_line_28-processed-gene-1.304-mRNA-1_1&gene=genemark-flattened_line_28-processed-gene-1.304&CDS=1-726, genemark-flattened_line_92-processed-gene-0.46-mRNA-1_1&gene=genemark-flattened_line_92-processed-gene-0.46&CDS=1-726
