	OrthologID	Saccharomyces_cerevisiae	yHMPu5000034957_Hanseniaspora_osmophila
10	OG0000010	YBL005W, YER184C, YGL013C	augustus_masked-flattened_line_374-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-flattened_line_374-processed-gene-0.5&CDS=1-768, snap_masked-flattened_line_314-processed-gene-0.2-mRNA-1_1&gene=snap_masked-flattened_line_314-processed-gene-0.2&CDS=1-3672
11	OG0000011	YBL017C, YIL173W, YJL222W, YNR065C	snap_masked-flattened_line_121-processed-gene-0.20-mRNA-1_1&gene=snap_masked-flattened_line_121-processed-gene-0.20&CDS=1-4944
12	OG0000012	YBR297W, YFL052W, YGR288W, YPR196W	augustus_masked-flattened_line_200-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-flattened_line_200-processed-gene-0.11&CDS=1-1887
13	OG0000013	YCL069W, YGR224W, YKR105C, YPR198W	maker-flattened_line_17-snap-gene-0.36-mRNA-1_1&gene=maker-flattened_line_17-snap-gene-0.36&CDS=1-3639
14	OG0000014	YCR105W, YMR318C	genemark-flattened_line_21-processed-gene-1.41-mRNA-1_1&gene=genemark-flattened_line_21-processed-gene-1.41&CDS=1-1179, genemark-flattened_line_57-processed-gene-0.155-mRNA-1_1&gene=genemark-flattened_line_57-processed-gene-0.155&CDS=1-1155, genemark-flattened_line_57-processed-gene-0.158-mRNA-1_1&gene=genemark-flattened_line_57-processed-gene-0.158&CDS=1-1155
15	OG0000015	YDL141W	genemark-flattened_line_109-processed-gene-0.43-mRNA-1_1&gene=genemark-flattened_line_109-processed-gene-0.43&CDS=1-2064, genemark-flattened_line_214-processed-gene-0.5-mRNA-1_1&gene=genemark-flattened_line_214-processed-gene-0.5&CDS=1-2091, genemark-flattened_line_49-processed-gene-0.75-mRNA-1_1&gene=genemark-flattened_line_49-processed-gene-0.75&CDS=1-2091, genemark-flattened_line_95-processed-gene-0.8-mRNA-1_1&gene=genemark-flattened_line_95-processed-gene-0.8&CDS=1-2112
16	OG0000016	YDR155C, YHR057C, YML078W	maker-flattened_line_25-augustus-gene-0.93-mRNA-1_1&gene=maker-flattened_line_25-augustus-gene-0.93&CDS=1-1899, maker-flattened_line_27-snap-gene-0.0-mRNA-1_1&gene=maker-flattened_line_27-snap-gene-0.0&CDS=1-1830
17	OG0000017	YDR178W, YLR164W, YOR297C	genemark-flattened_line_11-processed-gene-1.61-mRNA-1_1&gene=genemark-flattened_line_11-processed-gene-1.61&CDS=1-540, genemark-flattened_line_87-processed-gene-0.46-mRNA-1_1&gene=genemark-flattened_line_87-processed-gene-0.46&CDS=1-597
18	OG0000018	YER185W, YGR213C	augustus_masked-flattened_line_0-processed-gene-1.25-mRNA-1_1&gene=augustus_masked-flattened_line_0-processed-gene-1.25&CDS=1-1056, genemark-flattened_line_0-processed-gene-0.77-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-0.77&CDS=1-1029, genemark-flattened_line_23-processed-gene-1.93-mRNA-1_1&gene=genemark-flattened_line_23-processed-gene-1.93&CDS=1-1056
19	OG0000019	YGR212W	augustus_masked-flattened_line_75-processed-gene-0.88-mRNA-1_1&gene=augustus_masked-flattened_line_75-processed-gene-0.88&CDS=1-1491, snap_masked-flattened_line_105-processed-gene-0.58-mRNA-1_1&gene=snap_masked-flattened_line_105-processed-gene-0.58&CDS=1-1446, snap_masked-flattened_line_75-processed-gene-0.10-mRNA-1_1&gene=snap_masked-flattened_line_75-processed-gene-0.10&CDS=1-3000, snap_masked-flattened_line_75-processed-gene-0.8-mRNA-1_1&gene=snap_masked-flattened_line_75-processed-gene-0.8&CDS=1-1521
20	OG0000020	YIR013C, YLR013W, YMR136W	augustus_masked-flattened_line_182-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-flattened_line_182-processed-gene-0.7&CDS=1-1428, augustus_masked-flattened_line_23-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-flattened_line_23-processed-gene-0.13&CDS=1-1110
21	OG0000021	YJL164C, YKL166C, YPL203W	genemark-flattened_line_91-processed-gene-0.59-mRNA-1_1&gene=genemark-flattened_line_91-processed-gene-0.59&CDS=1-1458, maker-flattened_line_97-snap-gene-0.31-mRNA-1_1&gene=maker-flattened_line_97-snap-gene-0.31&CDS=1-2355
22	OG0000022	YKL220C, YLL051C, YNR060W, YOR381W, YOR384W	
23	OG0000023		augustus_masked-flattened_line_119-processed-gene-0.32-mRNA-1_1&gene=augustus_masked-flattened_line_119-processed-gene-0.32&CDS=1-2184, augustus_masked-flattened_line_119-processed-gene-0.33-mRNA-1_1&gene=augustus_masked-flattened_line_119-processed-gene-0.33&CDS=1-2187, augustus_masked-flattened_line_119-processed-gene-0.34-mRNA-1_1&gene=augustus_masked-flattened_line_119-processed-gene-0.34&CDS=1-2208, augustus_masked-flattened_line_326-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-flattened_line_326-processed-gene-0.0&CDS=1-2142, snap_masked-flattened_line_8-processed-gene-2.33-mRNA-1_1&gene=snap_masked-flattened_line_8-processed-gene-2.33&CDS=1-2088
24	OG0000024	YBL002W, YDR224C	genemark-flattened_line_11-processed-gene-1.3-mRNA-1_1&gene=genemark-flattened_line_11-processed-gene-1.3&CDS=1-375, genemark-flattened_line_144-processed-gene-0.29-mRNA-1_1&gene=genemark-flattened_line_144-processed-gene-0.29&CDS=1-375
25	OG0000025	YBL003C, YDR225W	genemark-flattened_line_11-processed-gene-1.36-mRNA-1_1&gene=genemark-flattened_line_11-processed-gene-1.36&CDS=1-393, genemark-flattened_line_144-processed-gene-0.22-mRNA-1_1&gene=genemark-flattened_line_144-processed-gene-0.22&CDS=1-393
26	OG0000026	YBL042C, YBR021W, YIR028W	maker-flattened_line_103-snap-gene-0.81-mRNA-1_1&gene=maker-flattened_line_103-snap-gene-0.81&CDS=1-3873
27	OG0000027	YBR009C, YNL030W	genemark-flattened_line_0-processed-gene-0.110-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-0.110&CDS=1-309, genemark-flattened_line_62-processed-gene-0.108-mRNA-1_1&gene=genemark-flattened_line_62-processed-gene-0.108&CDS=1-309
28	OG0000028	YBR010W, YNL031C	genemark-flattened_line_0-processed-gene-0.90-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-0.90&CDS=1-408, genemark-flattened_line_62-processed-gene-0.136-mRNA-1_1&gene=genemark-flattened_line_62-processed-gene-0.136&CDS=1-408
29	OG0000029	YBR015C	genemark-flattened_line_144-processed-gene-0.26-mRNA-1_1&gene=genemark-flattened_line_144-processed-gene-0.26&CDS=1-1938, genemark-flattened_line_6-processed-gene-2.13-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-2.13&CDS=1-2718, maker-flattened_line_6-snap-gene-2.145-mRNA-1_1&gene=maker-flattened_line_6-snap-gene-2.145&CDS=1-1767
30	OG0000030	YBR024W, YBR037C	genemark-flattened_line_57-processed-gene-0.150-mRNA-1_1&gene=genemark-flattened_line_57-processed-gene-0.150&CDS=1-975, genemark-flattened_line_57-processed-gene-0.163-mRNA-1_1&gene=genemark-flattened_line_57-processed-gene-0.163&CDS=1-975
31	OG0000031	YCR102C, YLR460C, YNL134C	genemark-flattened_line_55-processed-gene-0.111-mRNA-1_1&gene=genemark-flattened_line_55-processed-gene-0.111&CDS=1-1128
32	OG0000032	YDR144C, YLR120C, YLR121C	genemark-flattened_line_27-processed-gene-0.94-mRNA-1_1&gene=genemark-flattened_line_27-processed-gene-0.94&CDS=1-2457
33	OG0000033	YDR295C, YPR179C	augustus_masked-flattened_line_47-processed-gene-0.48-mRNA-1_1&gene=augustus_masked-flattened_line_47-processed-gene-0.48&CDS=1-3543, snap_masked-flattened_line_109-processed-gene-0.20-mRNA-1_1&gene=snap_masked-flattened_line_109-processed-gene-0.20&CDS=1-2205
34	OG0000034	YER031C, YGL210W	genemark-flattened_line_10-processed-gene-0.23-mRNA-1_1&gene=genemark-flattened_line_10-processed-gene-0.23&CDS=1-732, genemark-flattened_line_10-processed-gene-1.124-mRNA-1_1&gene=genemark-flattened_line_10-processed-gene-1.124&CDS=1-732
35	OG0000035	YER037W, YGL224C	genemark-flattened_line_10-processed-gene-0.12-mRNA-1_1&gene=genemark-flattened_line_10-processed-gene-0.12&CDS=1-1293, genemark-flattened_line_10-processed-gene-1.153-mRNA-1_1&gene=genemark-flattened_line_10-processed-gene-1.153&CDS=1-1293
36	OG0000036	YER056C, YER060W, YER060W-A	genemark-flattened_line_43-processed-gene-0.218-mRNA-1_1&gene=genemark-flattened_line_43-processed-gene-0.218&CDS=1-1629
37	OG0000037	YER057C, YIL051C	genemark-flattened_line_21-processed-gene-1.21-mRNA-1_1&gene=genemark-flattened_line_21-processed-gene-1.21&CDS=1-372, genemark-flattened_line_43-processed-gene-0.217-mRNA-1_1&gene=genemark-flattened_line_43-processed-gene-0.217&CDS=1-435
38	OG0000038	YFR045W	genemark-flattened_line_10-processed-gene-0.19-mRNA-1_1&gene=genemark-flattened_line_10-processed-gene-0.19&CDS=1-1266, maker-flattened_line_10-snap-gene-1.81-mRNA-1_1&gene=maker-flattened_line_10-snap-gene-1.81&CDS=1-2139, snap_masked-flattened_line_10-processed-gene-0.95-mRNA-1_1&gene=snap_masked-flattened_line_10-processed-gene-0.95&CDS=1-912
39	OG0000039	YGL147C, YNL067W	genemark-flattened_line_0-processed-gene-0.82-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-0.82&CDS=1-573, genemark-flattened_line_0-processed-gene-2.22-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-2.22&CDS=1-573
40	OG0000040	YGR192C, YJR009C	genemark-flattened_line_45-processed-gene-0.75-mRNA-1_1&gene=genemark-flattened_line_45-processed-gene-0.75&CDS=1-993, genemark-flattened_line_62-processed-gene-0.135-mRNA-1_1&gene=genemark-flattened_line_62-processed-gene-0.135&CDS=1-993
41	OG0000041	YGR221C, YHR149C	augustus_masked-flattened_line_66-processed-gene-0.66-mRNA-1_1&gene=augustus_masked-flattened_line_66-processed-gene-0.66&CDS=1-2661, snap_masked-flattened_line_29-processed-gene-0.211-mRNA-1_1&gene=snap_masked-flattened_line_29-processed-gene-0.211&CDS=1-510
42	OG0000042	YIL041W, YPR148C	genemark-flattened_line_43-processed-gene-0.208-mRNA-1_1&gene=genemark-flattened_line_43-processed-gene-0.208&CDS=1-1011, snap_masked-flattened_line_85-processed-gene-0.24-mRNA-1_1&gene=snap_masked-flattened_line_85-processed-gene-0.24&CDS=1-1239
43	OG0000043	YJL158C	augustus_masked-flattened_line_1646-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-flattened_line_1646-processed-gene-0.1&CDS=1-234, augustus_masked-flattened_line_398-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-flattened_line_398-processed-gene-0.4&CDS=1-234, genemark-flattened_line_4-processed-gene-1.3-mRNA-1_1&gene=genemark-flattened_line_4-processed-gene-1.3&CDS=1-609
44	OG0000044	YKL062W, YMR037C	genemark-flattened_line_154-processed-gene-0.18-mRNA-1_1&gene=genemark-flattened_line_154-processed-gene-0.18&CDS=1-2250, genemark-flattened_line_69-processed-gene-0.91-mRNA-1_1&gene=genemark-flattened_line_69-processed-gene-0.91&CDS=1-1530
45	OG0000045	YLR237W, YOR071C, YOR192C	genemark-flattened_line_128-processed-gene-0.21-mRNA-1_1&gene=genemark-flattened_line_128-processed-gene-0.21&CDS=1-1854
46	OG0000046	YML111W, YMR275C	snap_masked-flattened_line_228-processed-gene-0.2-mRNA-1_1&gene=snap_masked-flattened_line_228-processed-gene-0.2&CDS=1-3114, snap_masked-flattened_line_4-processed-gene-2.138-mRNA-1_1&gene=snap_masked-flattened_line_4-processed-gene-2.138&CDS=1-2751
47	OG0000047	YML116W, YMR279C	augustus_masked-flattened_line_123-processed-gene-0.19-mRNA-1_1&gene=augustus_masked-flattened_line_123-processed-gene-0.19&CDS=1-1689, augustus_masked-flattened_line_123-processed-gene-0.20-mRNA-1_1&gene=augustus_masked-flattened_line_123-processed-gene-0.20&CDS=1-1653
48	OG0000048	YMR169C, YMR170C	genemark-flattened_line_0-processed-gene-0.97-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-0.97&CDS=1-1560, genemark-flattened_line_23-processed-gene-1.88-mRNA-1_1&gene=genemark-flattened_line_23-processed-gene-1.88&CDS=1-1512
49	OG0000049	YNL020C, YPL236C	augustus_masked-flattened_line_60-processed-gene-0.50-mRNA-1_1&gene=augustus_masked-flattened_line_60-processed-gene-0.50&CDS=1-1320, genemark-flattened_line_0-processed-gene-1.37-mRNA-1_1&gene=genemark-flattened_line_0-processed-gene-1.37&CDS=1-2526
50	OG0000050	YNL283C, YOL105C	genemark-flattened_line_57-processed-gene-0.152-mRNA-1_1&gene=genemark-flattened_line_57-processed-gene-0.152&CDS=1-1596, genemark-flattened_line_57-processed-gene-0.161-mRNA-1_1&gene=genemark-flattened_line_57-processed-gene-0.161&CDS=1-1596
51	OG0000051	YOL111C	augustus_masked-flattened_line_41-processed-gene-0.77-mRNA-1_1&gene=augustus_masked-flattened_line_41-processed-gene-0.77&CDS=1-252, augustus_masked-flattened_line_57-processed-gene-0.98-mRNA-1_1&gene=augustus_masked-flattened_line_57-processed-gene-0.98&CDS=1-567, snap_masked-flattened_line_57-processed-gene-0.38-mRNA-1_1&gene=snap_masked-flattened_line_57-processed-gene-0.38&CDS=1-558
52	OG0000052	YOR229W, YOR230W, YPL139C	augustus_masked-flattened_line_13-processed-gene-1.173-mRNA-1_1&gene=augustus_masked-flattened_line_13-processed-gene-1.173&CDS=1-1386
53	OG0000053	YOR389W, YPL277C, YPL278C	genemark-flattened_line_182-processed-gene-0.21-mRNA-1_1&gene=genemark-flattened_line_182-processed-gene-0.21&CDS=1-1962
54	OG0000054	YPR013C, YPR015C	genemark-flattened_line_15-processed-gene-1.103-mRNA-1_1&gene=genemark-flattened_line_15-processed-gene-1.103&CDS=1-2217, genemark-flattened_line_6-processed-gene-2.38-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-2.38&CDS=1-1593
55	OG0000055	YPR065W	augustus_masked-flattened_line_388-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-flattened_line_388-processed-gene-0.3&CDS=1-279, snap_masked-flattened_line_1156-processed-gene-0.1-mRNA-1_1&gene=snap_masked-flattened_line_1156-processed-gene-0.1&CDS=1-243, snap_masked-flattened_line_75-processed-gene-0.17-mRNA-1_1&gene=snap_masked-flattened_line_75-processed-gene-0.17&CDS=1-1893
56	OG0000056	Q0045, Q0065, Q0070	maker-flattened_line_230-snap-gene-0.7-mRNA-1_1&gene=maker-flattened_line_230-snap-gene-0.7&CDS=1-240
57	OG0000057		augustus_masked-flattened_line_298-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-flattened_line_298-processed-gene-0.6&CDS=1-978, snap_masked-flattened_line_266-processed-gene-0.1-mRNA-1_1&gene=snap_masked-flattened_line_266-processed-gene-0.1&CDS=1-1755, snap_masked-flattened_line_29-processed-gene-0.190-mRNA-1_1&gene=snap_masked-flattened_line_29-processed-gene-0.190&CDS=1-996, snap_masked-flattened_line_432-processed-gene-0.0-mRNA-1_1&gene=snap_masked-flattened_line_432-processed-gene-0.0&CDS=1-1605
58	OG0000058	YAL005C, YLL024C	genemark-flattened_line_121-processed-gene-0.48-mRNA-1_1&gene=genemark-flattened_line_121-processed-gene-0.48&CDS=1-1935
59	OG0000059	YAL015C, YOL043C	genemark-flattened_line_402-processed-gene-0.2-mRNA-1_1&gene=genemark-flattened_line_402-processed-gene-0.2&CDS=1-1218
60	OG0000060	YAL017W, YOL045W	genemark-flattened_line_170-processed-gene-0.17-mRNA-1_1&gene=genemark-flattened_line_170-processed-gene-0.17&CDS=1-4005
61	OG0000061	YAL034C, YOR338W	genemark-flattened_line_19-processed-gene-1.34-mRNA-1_1&gene=genemark-flattened_line_19-processed-gene-1.34&CDS=1-1527
62	OG0000062	YAL051W, YOR363C	augustus_masked-flattened_line_33-processed-gene-0.209-mRNA-1_1&gene=augustus_masked-flattened_line_33-processed-gene-0.209&CDS=1-3489
63	OG0000063	YAL056W, YOR371C	snap_masked-flattened_line_33-processed-gene-0.66-mRNA-1_1&gene=snap_masked-flattened_line_33-processed-gene-0.66&CDS=1-2583
64	OG0000064	YAL062W, YOR375C	genemark-flattened_line_33-processed-gene-0.149-mRNA-1_1&gene=genemark-flattened_line_33-processed-gene-0.149&CDS=1-1365
65	OG0000065	YAR014C	genemark-flattened_line_57-processed-gene-0.147-mRNA-1_1&gene=genemark-flattened_line_57-processed-gene-0.147&CDS=1-2790, genemark-flattened_line_57-processed-gene-0.166-mRNA-1_1&gene=genemark-flattened_line_57-processed-gene-0.166&CDS=1-2790
66	OG0000066	YAR015W	genemark-flattened_line_57-processed-gene-0.144-mRNA-1_1&gene=genemark-flattened_line_57-processed-gene-0.144&CDS=1-918, genemark-flattened_line_57-processed-gene-0.173-mRNA-1_1&gene=genemark-flattened_line_57-processed-gene-0.173&CDS=1-918
67	OG0000067	YAR018C	genemark-flattened_line_57-processed-gene-0.167-mRNA-1_1&gene=genemark-flattened_line_57-processed-gene-0.167&CDS=1-1275, snap_masked-flattened_line_57-processed-gene-0.26-mRNA-1_1&gene=snap_masked-flattened_line_57-processed-gene-0.26&CDS=1-1458
68	OG0000068	YBL009W, YGL021W	augustus_masked-flattened_line_2-processed-gene-0.31-mRNA-1_1&gene=augustus_masked-flattened_line_2-processed-gene-0.31&CDS=1-3339
69	OG0000069	YBL027W, YBR084C-A	augustus_masked-flattened_line_83-processed-gene-0.34-mRNA-1_1&gene=augustus_masked-flattened_line_83-processed-gene-0.34&CDS=1-621
70	OG0000070	YBL043W, YJR115W	snap_masked-flattened_line_125-processed-gene-0.77-mRNA-1_1&gene=snap_masked-flattened_line_125-processed-gene-0.77&CDS=1-876
71	OG0000071	YBL054W, YER088C	genemark-flattened_line_21-processed-gene-1.49-mRNA-1_1&gene=genemark-flattened_line_21-processed-gene-1.49&CDS=1-2475
72	OG0000072	YBL056W, YER089C	genemark-flattened_line_21-processed-gene-1.50-mRNA-1_1&gene=genemark-flattened_line_21-processed-gene-1.50&CDS=1-1686
73	OG0000073	YBL067C, YER098W	genemark-flattened_line_128-processed-gene-0.26-mRNA-1_1&gene=genemark-flattened_line_128-processed-gene-0.26&CDS=1-3054
74	OG0000074	YBL069W, YER101C	genemark-flattened_line_128-processed-gene-0.34-mRNA-1_1&gene=genemark-flattened_line_128-processed-gene-0.34&CDS=1-1266
75	OG0000075	YBL072C, YER102W	genemark-flattened_line_128-processed-gene-0.28-mRNA-1_1&gene=genemark-flattened_line_128-processed-gene-0.28&CDS=1-600
76	OG0000076	YBL087C, YER117W	snap_masked-flattened_line_6-processed-gene-2.109-mRNA-1_1&gene=snap_masked-flattened_line_6-processed-gene-2.109&CDS=1-411
77	OG0000077	YBL101C, YPR030W	genemark-flattened_line_6-processed-gene-2.30-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-2.30&CDS=1-3291
78	OG0000078	YBL106C, YPR032W	genemark-flattened_line_6-processed-gene-2.26-mRNA-1_1&gene=genemark-flattened_line_6-processed-gene-2.26&CDS=1-3078
79	OG0000079	YBR001C, YDR001C	genemark-flattened_line_250-processed-gene-0.11-mRNA-1_1&gene=genemark-flattened_line_250-processed-gene-0.11&CDS=1-2241
80	OG0000080	YBR005W, YDR003W	maker-flattened_line_62-snap-gene-0.1-mRNA-1_1&gene=maker-flattened_line_62-snap-gene-0.1&CDS=1-1350
81	OG0000081	YBR014C, YDL010W	genemark-flattened_line_168-processed-gene-0.27-mRNA-1_1&gene=genemark-flattened_line_168-processed-gene-0.27&CDS=1-1167
82	OG0000082	YBR022W	genemark-flattened_line_57-processed-gene-0.135-mRNA-1_1&gene=genemark-flattened_line_57-processed-gene-0.135&CDS=1-633, genemark-flattened_line_57-processed-gene-0.182-mRNA-1_1&gene=genemark-flattened_line_57-processed-gene-0.182&CDS=1-633
83	OG0000083	YBR023C	genemark-flattened_line_57-processed-gene-0.154-mRNA-1_1&gene=genemark-flattened_line_57-processed-gene-0.154&CDS=1-3549, genemark-flattened_line_57-processed-gene-0.159-mRNA-1_1&gene=genemark-flattened_line_57-processed-gene-0.159&CDS=1-3549
84	OG0000084	YBR025C	genemark-flattened_line_57-processed-gene-0.140-mRNA-1_1&gene=genemark-flattened_line_57-processed-gene-0.140&CDS=1-1185, genemark-flattened_line_57-processed-gene-0.177-mRNA-1_1&gene=genemark-flattened_line_57-processed-gene-0.177&CDS=1-1185
85	OG0000085	YBR031W, YDR012W	genemark-flattened_line_29-processed-gene-0.80-mRNA-1_1&gene=genemark-flattened_line_29-processed-gene-0.80&CDS=1-1089
86	OG0000086	YBR038W	snap_masked-flattened_line_57-processed-gene-0.34-mRNA-1_1&gene=snap_masked-flattened_line_57-processed-gene-0.34&CDS=1-2856, snap_masked-flattened_line_57-processed-gene-0.41-mRNA-1_1&gene=snap_masked-flattened_line_57-processed-gene-0.41&CDS=1-2856
87	OG0000087	YBR048W, YDR025W	snap_masked-flattened_line_125-processed-gene-0.68-mRNA-1_1&gene=snap_masked-flattened_line_125-processed-gene-0.68&CDS=1-468
88	OG0000088	YBR049C, YDR026C	genemark-flattened_line_125-processed-gene-0.26-mRNA-1_1&gene=genemark-flattened_line_125-processed-gene-0.26&CDS=1-2463
89	OG0000089	YBR066C, YDR043C	augustus_masked-flattened_line_15-processed-gene-1.53-mRNA-1_1&gene=augustus_masked-flattened_line_15-processed-gene-1.53&CDS=1-888
90	OG0000090	YBR078W, YDR055W	genemark-flattened_line_83-processed-gene-0.81-mRNA-1_1&gene=genemark-flattened_line_83-processed-gene-0.81&CDS=1-1287
91	OG0000091	YBR089C-A, YPR052C	snap_masked-flattened_line_19-processed-gene-0.116-mRNA-1_1&gene=snap_masked-flattened_line_19-processed-gene-0.116&CDS=1-282
92	OG0000092	YBR104W, YPR058W	genemark-flattened_line_19-processed-gene-0.61-mRNA-1_1&gene=genemark-flattened_line_19-processed-gene-0.61&CDS=1-900
93	OG0000093	YBR105C, YGR066C	snap_masked-flattened_line_19-processed-gene-0.124-mRNA-1_1&gene=snap_masked-flattened_line_19-processed-gene-0.124&CDS=1-1134
94	OG0000094	YBR118W, YPR080W	maker-flattened_line_4-snap-gene-2.194-mRNA-1_1&gene=maker-flattened_line_4-snap-gene-2.194&CDS=1-2394
95	OG0000095	YBR140C, YOL081W	augustus_masked-flattened_line_62-processed-gene-0.84-mRNA-1_1&gene=augustus_masked-flattened_line_62-processed-gene-0.84&CDS=1-10029
96	OG0000096	YBR161W, YPL057C	snap_masked-flattened_line_113-processed-gene-0.1-mRNA-1_1&gene=snap_masked-flattened_line_113-processed-gene-0.1&CDS=1-1185
97	OG0000097	YBR169C, YPL106C	genemark-flattened_line_13-processed-gene-1.79-mRNA-1_1&gene=genemark-flattened_line_13-processed-gene-1.79&CDS=1-2007
