	OrthologID	Saccharomyces_cerevisiae	yHMPu5000035703_Cyberlindnera_americana
10	OG0000010	YER013W, YGL120C, YKR086W, YNR011C	augustus_masked-NODE_26_length_64077_cov_61.9596_ID_4578-processed-gene-0.50-mRNA-1_1&gene=augustus_masked-NODE_26_length_64077_cov_61.9596_ID_4578-processed-gene-0.50&CDS=1-2667, augustus_masked-NODE_2_length_1009356_cov_73.9684_ID_2785-processed-gene-5.69-mRNA-1_1&gene=augustus_masked-NODE_2_length_1009356_cov_73.9684_ID_2785-processed-gene-5.69&CDS=1-2478, augustus_masked-NODE_2_length_1009356_cov_73.9684_ID_2785-processed-gene-8.23-mRNA-1_1&gene=augustus_masked-NODE_2_length_1009356_cov_73.9684_ID_2785-processed-gene-8.23&CDS=1-2199, augustus_masked-NODE_4_length_839664_cov_66.9286_ID_3363-processed-gene-7.164-mRNA-1_1&gene=augustus_masked-NODE_4_length_839664_cov_66.9286_ID_3363-processed-gene-7.164&CDS=1-3249
11	OG0000011	YGR263C	augustus_masked-NODE_11_length_458690_cov_86.9314_ID_2597-processed-gene-0.115-mRNA-1_1&gene=augustus_masked-NODE_11_length_458690_cov_86.9314_ID_2597-processed-gene-0.115&CDS=1-1197, augustus_masked-NODE_12_length_446973_cov_83.3758_ID_7689-processed-gene-3.42-mRNA-1_1&gene=augustus_masked-NODE_12_length_446973_cov_83.3758_ID_7689-processed-gene-3.42&CDS=1-1197, augustus_masked-NODE_16_length_299054_cov_95.3201_ID_10579-processed-gene-0.126-mRNA-1_1&gene=augustus_masked-NODE_16_length_299054_cov_95.3201_ID_10579-processed-gene-0.126&CDS=1-1017, augustus_masked-NODE_18_length_235908_cov_98.2544_ID_4951-processed-gene-0.110-mRNA-1_1&gene=augustus_masked-NODE_18_length_235908_cov_98.2544_ID_4951-processed-gene-0.110&CDS=1-996, augustus_masked-NODE_6_length_634179_cov_62.9887_ID_2943-processed-gene-5.133-mRNA-1_1&gene=augustus_masked-NODE_6_length_634179_cov_62.9887_ID_2943-processed-gene-5.133&CDS=1-897, augustus_masked-NODE_6_length_634179_cov_62.9887_ID_2943-processed-gene-5.135-mRNA-1_1&gene=augustus_masked-NODE_6_length_634179_cov_62.9887_ID_2943-processed-gene-5.135&CDS=1-1029, snap_masked-NODE_4_length_839664_cov_66.9286_ID_3363-processed-gene-5.7-mRNA-1_1&gene=snap_masked-NODE_4_length_839664_cov_66.9286_ID_3363-processed-gene-5.7&CDS=1-855
12	OG0000012	YGR281W	augustus_masked-NODE_13_length_418472_cov_68.5033_ID_3840-processed-gene-1.10-mRNA-1_1&gene=augustus_masked-NODE_13_length_418472_cov_68.5033_ID_3840-processed-gene-1.10&CDS=1-4161, augustus_masked-NODE_26_length_64077_cov_61.9596_ID_4578-processed-gene-0.46-mRNA-1_1&gene=augustus_masked-NODE_26_length_64077_cov_61.9596_ID_4578-processed-gene-0.46&CDS=1-3966, augustus_masked-NODE_26_length_64077_cov_61.9596_ID_4578-processed-gene-0.47-mRNA-1_1&gene=augustus_masked-NODE_26_length_64077_cov_61.9596_ID_4578-processed-gene-0.47&CDS=1-3462, augustus_masked-NODE_26_length_64077_cov_61.9596_ID_4578-processed-gene-0.56-mRNA-1_1&gene=augustus_masked-NODE_26_length_64077_cov_61.9596_ID_4578-processed-gene-0.56&CDS=1-4038, augustus_masked-NODE_2_length_1009356_cov_73.9684_ID_2785-processed-gene-8.55-mRNA-1_1&gene=augustus_masked-NODE_2_length_1009356_cov_73.9684_ID_2785-processed-gene-8.55&CDS=1-4164, augustus_masked-NODE_3_length_897502_cov_76.7024_ID_2822-processed-gene-0.66-mRNA-1_1&gene=augustus_masked-NODE_3_length_897502_cov_76.7024_ID_2822-processed-gene-0.66&CDS=1-4086, snap_masked-NODE_44_length_3809_cov_74.2662_ID_5511-processed-gene-0.4-mRNA-1_1&gene=snap_masked-NODE_44_length_3809_cov_74.2662_ID_5511-processed-gene-0.4&CDS=1-3459
13	OG0000013	YBL063W, YEL061C, YKL079W	augustus_masked-NODE_15_length_368651_cov_64.3218_ID_3775-processed-gene-0.131-mRNA-1_1&gene=augustus_masked-NODE_15_length_368651_cov_64.3218_ID_3775-processed-gene-0.131&CDS=1-3210, maker-NODE_3_length_897502_cov_76.7024_ID_2822-augustus-gene-7.340-mRNA-1_1&gene=maker-NODE_3_length_897502_cov_76.7024_ID_2822-augustus-gene-7.340&CDS=1-4476, maker-NODE_8_length_523989_cov_78.18_ID_4014-snap-gene-2.147-mRNA-1_1&gene=maker-NODE_8_length_523989_cov_78.18_ID_4014-snap-gene-2.147&CDS=1-2211, snap_masked-NODE_5_length_638838_cov_68.9705_ID_2404-processed-gene-4.162-mRNA-1_1&gene=snap_masked-NODE_5_length_638838_cov_68.9705_ID_2404-processed-gene-4.162&CDS=1-1374
14	OG0000014	YBR067C, YDL091C, YMR097C	augustus_masked-NODE_12_length_446973_cov_83.3758_ID_7689-processed-gene-2.86-mRNA-1_1&gene=augustus_masked-NODE_12_length_446973_cov_83.3758_ID_7689-processed-gene-2.86&CDS=1-699, augustus_masked-NODE_13_length_418472_cov_68.5033_ID_3840-processed-gene-3.22-mRNA-1_1&gene=augustus_masked-NODE_13_length_418472_cov_68.5033_ID_3840-processed-gene-3.22&CDS=1-573, augustus_masked-NODE_3_length_897502_cov_76.7024_ID_2822-processed-gene-7.246-mRNA-1_1&gene=augustus_masked-NODE_3_length_897502_cov_76.7024_ID_2822-processed-gene-7.246&CDS=1-1818, maker-NODE_6_length_634179_cov_62.9887_ID_2943-augustus-gene-0.1-mRNA-1_1&gene=maker-NODE_6_length_634179_cov_62.9887_ID_2943-augustus-gene-0.1&CDS=1-1737
15	OG0000015	YDR342C, YDR343C, YDR345C, YHR092C, YHR094C, YLR081W	augustus_masked-NODE_8_length_523989_cov_78.18_ID_4014-processed-gene-4.93-mRNA-1_1&gene=augustus_masked-NODE_8_length_523989_cov_78.18_ID_4014-processed-gene-4.93&CDS=1-1698
16	OG0000016	YER015W	augustus_masked-NODE_25_length_65391_cov_63.2404_ID_4522-processed-gene-0.93-mRNA-1_1&gene=augustus_masked-NODE_25_length_65391_cov_63.2404_ID_4522-processed-gene-0.93&CDS=1-2127, augustus_masked-NODE_2_length_1009356_cov_73.9684_ID_2785-processed-gene-6.141-mRNA-1_1&gene=augustus_masked-NODE_2_length_1009356_cov_73.9684_ID_2785-processed-gene-6.141&CDS=1-2118, augustus_masked-NODE_6_length_634179_cov_62.9887_ID_2943-processed-gene-5.147-mRNA-1_1&gene=augustus_masked-NODE_6_length_634179_cov_62.9887_ID_2943-processed-gene-5.147&CDS=1-2064, maker-NODE_12_length_446973_cov_83.3758_ID_7689-snap-gene-3.177-mRNA-1_1&gene=maker-NODE_12_length_446973_cov_83.3758_ID_7689-snap-gene-3.177&CDS=1-4269, snap_masked-NODE_12_length_446973_cov_83.3758_ID_7689-processed-gene-3.190-mRNA-1_1&gene=snap_masked-NODE_12_length_446973_cov_83.3758_ID_7689-processed-gene-3.190&CDS=1-2109, snap_masked-NODE_12_length_446973_cov_83.3758_ID_7689-processed-gene-3.191-mRNA-1_1&gene=snap_masked-NODE_12_length_446973_cov_83.3758_ID_7689-processed-gene-3.191&CDS=1-2043
17	OG0000017	YGL257C, YNR059W	augustus_masked-NODE_13_length_418472_cov_68.5033_ID_3840-processed-gene-0.33-mRNA-1_1&gene=augustus_masked-NODE_13_length_418472_cov_68.5033_ID_3840-processed-gene-0.33&CDS=1-2622, augustus_masked-NODE_1_length_1160020_cov_59.4726_ID_4662-processed-gene-6.154-mRNA-1_1&gene=augustus_masked-NODE_1_length_1160020_cov_59.4726_ID_4662-processed-gene-6.154&CDS=1-2280, augustus_masked-NODE_7_length_568211_cov_77.8147_ID_2993-processed-gene-4.190-mRNA-1_1&gene=augustus_masked-NODE_7_length_568211_cov_77.8147_ID_2993-processed-gene-4.190&CDS=1-2109, maker-NODE_27_length_57372_cov_96.4162_ID_4112-snap-gene-0.98-mRNA-1_1&gene=maker-NODE_27_length_57372_cov_96.4162_ID_4112-snap-gene-0.98&CDS=1-3537, snap_masked-NODE_22_length_121182_cov_66.2256_ID_3548-processed-gene-0.201-mRNA-1_1&gene=snap_masked-NODE_22_length_121182_cov_66.2256_ID_3548-processed-gene-0.201&CDS=1-2031
18	OG0000018	YKL220C, YLL051C, YNR060W, YOR381W, YOR384W	augustus_masked-NODE_2_length_1009356_cov_73.9684_ID_2785-processed-gene-4.95-mRNA-1_1&gene=augustus_masked-NODE_2_length_1009356_cov_73.9684_ID_2785-processed-gene-4.95&CDS=1-2100, genemark-NODE_5_length_638838_cov_68.9705_ID_2404-processed-gene-0.13-mRNA-1_1&gene=genemark-NODE_5_length_638838_cov_68.9705_ID_2404-processed-gene-0.13&CDS=1-1860
19	OG0000019	YAR019C, YDR523C	augustus_masked-NODE_108_length_448_cov_1.68661_ID_8112-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-NODE_108_length_448_cov_1.68661_ID_8112-processed-gene-0.0&CDS=1-396, augustus_masked-NODE_10_length_461391_cov_79.6907_ID_3272-processed-gene-2.66-mRNA-1_1&gene=augustus_masked-NODE_10_length_461391_cov_79.6907_ID_3272-processed-gene-2.66&CDS=1-3087, augustus_masked-NODE_14_length_414941_cov_63.102_ID_3101-processed-gene-1.89-mRNA-1_1&gene=augustus_masked-NODE_14_length_414941_cov_63.102_ID_3101-processed-gene-1.89&CDS=1-1488, augustus_masked-NODE_3_length_897502_cov_76.7024_ID_2822-processed-gene-7.247-mRNA-1_1&gene=augustus_masked-NODE_3_length_897502_cov_76.7024_ID_2822-processed-gene-7.247&CDS=1-1371
20	OG0000020	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W	augustus_masked-NODE_11_length_458690_cov_86.9314_ID_2597-processed-gene-1.158-mRNA-1_1&gene=augustus_masked-NODE_11_length_458690_cov_86.9314_ID_2597-processed-gene-1.158&CDS=1-1383
21	OG0000021	YBL017C, YIL173W, YJL222W, YNR065C	augustus_masked-NODE_7_length_568211_cov_77.8147_ID_2993-processed-gene-2.82-mRNA-1_1&gene=augustus_masked-NODE_7_length_568211_cov_77.8147_ID_2993-processed-gene-2.82&CDS=1-4521, augustus_masked-NODE_9_length_467079_cov_75.7385_ID_4067-processed-gene-2.31-mRNA-1_1&gene=augustus_masked-NODE_9_length_467079_cov_75.7385_ID_4067-processed-gene-2.31&CDS=1-4569
22	OG0000022	YCL037C, YDL051W, YDR515W	augustus_masked-NODE_10_length_461391_cov_79.6907_ID_3272-processed-gene-0.29-mRNA-1_1&gene=augustus_masked-NODE_10_length_461391_cov_79.6907_ID_3272-processed-gene-0.29&CDS=1-792, augustus_masked-NODE_13_length_418472_cov_68.5033_ID_3840-processed-gene-1.37-mRNA-1_1&gene=augustus_masked-NODE_13_length_418472_cov_68.5033_ID_3840-processed-gene-1.37&CDS=1-1554, augustus_masked-NODE_4_length_839664_cov_66.9286_ID_3363-processed-gene-4.38-mRNA-1_1&gene=augustus_masked-NODE_4_length_839664_cov_66.9286_ID_3363-processed-gene-4.38&CDS=1-1287
