	OrthologID	Saccharomyces_cerevisiae	Yarrowia_keelungensis
10	OG0000010	YDL210W	-processed-gene-1.100-mRNA-1_1&gene=augustus_masked-gi|1002317705|dbj|BCJD01000010.1|-processed-gene-1.100&CDS=1-1641, -processed-gene-1.70-mRNA-1_1&gene=genemark-gi|1002317702|dbj|BCJD01000013.1|-processed-gene-1.70&CDS=1-1599, -processed-gene-17.104-mRNA-1_1&gene=genemark-gi|1002317714|dbj|BCJD01000001.1|-processed-gene-17.104&CDS=1-1599, -processed-gene-30.19-mRNA-1_1&gene=genemark-gi|1002317713|dbj|BCJD01000002.1|-processed-gene-30.19&CDS=1-1629, -processed-gene-31.101-mRNA-1_1&gene=genemark-gi|1002317714|dbj|BCJD01000001.1|-processed-gene-31.101&CDS=1-1647, -processed-gene-5.121-mRNA-1_1&gene=genemark-gi|1002317705|dbj|BCJD01000010.1|-processed-gene-5.121&CDS=1-1584, -processed-gene-7.69-mRNA-1_1&gene=genemark-gi|1002317710|dbj|BCJD01000005.1|-processed-gene-7.69&CDS=1-1572
11	OG0000011	YKR039W	-processed-gene-11.14-mRNA-1_1&gene=genemark-gi|1002317711|dbj|BCJD01000004.1|-processed-gene-11.14&CDS=1-1737, -processed-gene-14.10-mRNA-1_1&gene=genemark-gi|1002317709|dbj|BCJD01000006.1|-processed-gene-14.10&CDS=1-1755, -processed-gene-19.72-mRNA-1_1&gene=genemark-gi|1002317712|dbj|BCJD01000003.1|-processed-gene-19.72&CDS=1-1755, -processed-gene-22.41-mRNA-1_1&gene=genemark-gi|1002317714|dbj|BCJD01000001.1|-processed-gene-22.41&CDS=1-1779, -processed-gene-4.19-mRNA-1_1&gene=genemark-gi|1002317703|dbj|BCJD01000012.1|-processed-gene-4.19&CDS=1-1806, -processed-gene-4.41-mRNA-1_1&gene=genemark-gi|1002317703|dbj|BCJD01000012.1|-processed-gene-4.41&CDS=1-1758, -processed-gene-7.19-mRNA-1_1&gene=genemark-gi|1002317708|dbj|BCJD01000007.1|-processed-gene-7.19&CDS=1-1731
12	OG0000012	YBL005W, YER184C, YGL013C, YLR256W	-processed-gene-3.28-mRNA-1_1&gene=augustus_masked-gi|1002317702|dbj|BCJD01000013.1|-processed-gene-3.28&CDS=1-1722, -processed-gene-8.101-mRNA-1_1&gene=genemark-gi|1002317711|dbj|BCJD01000004.1|-processed-gene-8.101&CDS=1-2526, -processed-gene-8.85-mRNA-1_1&gene=genemark-gi|1002317711|dbj|BCJD01000004.1|-processed-gene-8.85&CDS=1-3402
13	OG0000013	YDR242W	-processed-gene-0.39-mRNA-1_1&gene=genemark-gi|1002317706|dbj|BCJD01000009.1|-processed-gene-0.39&CDS=1-1617, -processed-gene-13.110-mRNA-1_1&gene=augustus_masked-gi|1002317714|dbj|BCJD01000001.1|-processed-gene-13.110&CDS=1-1620, -processed-gene-2.22-mRNA-1_1&gene=genemark-gi|1002317711|dbj|BCJD01000004.1|-processed-gene-2.22&CDS=1-1626, -processed-gene-3.18-mRNA-1_1&gene=augustus_masked-gi|1002317705|dbj|BCJD01000010.1|-processed-gene-3.18&CDS=1-1686, -processed-gene-30.11-mRNA-1_1&gene=genemark-gi|1002317713|dbj|BCJD01000002.1|-processed-gene-30.11&CDS=1-1632, -processed-gene-7.53-mRNA-1_1&gene=genemark-gi|1002317711|dbj|BCJD01000004.1|-processed-gene-7.53&CDS=1-1656
14	OG0000014	YDR406W, YOR153W, YOR328W	-augustus-gene-17.55-mRNA-1_1&gene=maker-gi|1002317712|dbj|BCJD01000003.1|-augustus-gene-17.55&CDS=1-4413, -processed-gene-3.11-mRNA-1_1&gene=genemark-gi|1002317708|dbj|BCJD01000007.1|-processed-gene-3.11&CDS=1-4404, -snap-gene-10.33-mRNA-1_1&gene=maker-gi|1002317714|dbj|BCJD01000001.1|-snap-gene-10.33&CDS=1-4527, -snap-gene-7.63-mRNA-1_1&gene=maker-gi|1002317712|dbj|BCJD01000003.1|-snap-gene-7.63&CDS=1-4449
15	OG0000015	YDR536W	-processed-gene-18.24-mRNA-1_1&gene=genemark-gi|1002317711|dbj|BCJD01000004.1|-processed-gene-18.24&CDS=1-1689, -processed-gene-19.68-mRNA-1_1&gene=genemark-gi|1002317712|dbj|BCJD01000003.1|-processed-gene-19.68&CDS=1-1731, -processed-gene-2.81-mRNA-1_1&gene=genemark-gi|1002317710|dbj|BCJD01000005.1|-processed-gene-2.81&CDS=1-1722, -processed-gene-30.7-mRNA-1_1&gene=genemark-gi|1002317713|dbj|BCJD01000002.1|-processed-gene-30.7&CDS=1-1776, -processed-gene-8.112-mRNA-1_1&gene=genemark-gi|1002317708|dbj|BCJD01000007.1|-processed-gene-8.112&CDS=1-1749, -snap-gene-8.36-mRNA-1_1&gene=maker-gi|1002317709|dbj|BCJD01000006.1|-snap-gene-8.36&CDS=1-3531
16	OG0000016	YGL205W	-processed-gene-0.9-mRNA-1_1&gene=genemark-gi|1002317704|dbj|BCJD01000011.1|-processed-gene-0.9&CDS=1-2103, -processed-gene-17.14-mRNA-1_1&gene=genemark-gi|1002317710|dbj|BCJD01000005.1|-processed-gene-17.14&CDS=1-2100, -processed-gene-17.91-mRNA-1_1&gene=genemark-gi|1002317714|dbj|BCJD01000001.1|-processed-gene-17.91&CDS=1-2067, -processed-gene-2.6-mRNA-1_1&gene=genemark-gi|1002317707|dbj|BCJD01000008.1|-processed-gene-2.6&CDS=1-2100, -processed-gene-26.36-mRNA-1_1&gene=genemark-gi|1002317712|dbj|BCJD01000003.1|-processed-gene-26.36&CDS=1-2097, -processed-gene-3.20-mRNA-1_1&gene=genemark-gi|1002317706|dbj|BCJD01000009.1|-processed-gene-3.20&CDS=1-2067
17	OG0000017	YJR152W	-processed-gene-14.67-mRNA-1_1&gene=genemark-gi|1002317713|dbj|BCJD01000002.1|-processed-gene-14.67&CDS=1-1485, -processed-gene-16.16-mRNA-1_1&gene=genemark-gi|1002317713|dbj|BCJD01000002.1|-processed-gene-16.16&CDS=1-1533, -processed-gene-18.74-mRNA-1_1&gene=genemark-gi|1002317712|dbj|BCJD01000003.1|-processed-gene-18.74&CDS=1-1575, -processed-gene-6.10-mRNA-1_1&gene=genemark-gi|1002317712|dbj|BCJD01000003.1|-processed-gene-6.10&CDS=1-1536, -processed-gene-6.2-mRNA-1_1&gene=genemark-gi|1002317713|dbj|BCJD01000002.1|-processed-gene-6.2&CDS=1-1167, -processed-gene-7.55-mRNA-1_1&gene=genemark-gi|1002317711|dbj|BCJD01000004.1|-processed-gene-7.55&CDS=1-1473
18	OG0000018	YKL133C, YMR115W	-processed-gene-0.33-mRNA-1_1&gene=augustus_masked-gi|1002317708|dbj|BCJD01000007.1|-processed-gene-0.33&CDS=1-2427, -processed-gene-18.65-mRNA-1_1&gene=genemark-gi|1002317714|dbj|BCJD01000001.1|-processed-gene-18.65&CDS=1-1038, -processed-gene-2.97-mRNA-1_1&gene=augustus_masked-gi|1002317711|dbj|BCJD01000004.1|-processed-gene-2.97&CDS=1-1020, -processed-gene-29.32-mRNA-1_1&gene=augustus_masked-gi|1002317713|dbj|BCJD01000002.1|-processed-gene-29.32&CDS=1-1047, -processed-gene-8.31-mRNA-1_1&gene=snap_masked-gi|1002317714|dbj|BCJD01000001.1|-processed-gene-8.31&CDS=1-1551
19	OG0000019	YKL217W	-processed-gene-14.63-mRNA-1_1&gene=genemark-gi|1002317712|dbj|BCJD01000003.1|-processed-gene-14.63&CDS=1-1500, -processed-gene-17.6-mRNA-1_1&gene=genemark-gi|1002317710|dbj|BCJD01000005.1|-processed-gene-17.6&CDS=1-1476, -processed-gene-2.39-mRNA-1_1&gene=genemark-gi|1002317706|dbj|BCJD01000009.1|-processed-gene-2.39&CDS=1-1572, -processed-gene-22.68-mRNA-1_1&gene=genemark-gi|1002317712|dbj|BCJD01000003.1|-processed-gene-22.68&CDS=1-1569, -processed-gene-4.42-mRNA-1_1&gene=genemark-gi|1002317703|dbj|BCJD01000012.1|-processed-gene-4.42&CDS=1-1587, -processed-gene-4.79-mRNA-1_1&gene=genemark-gi|1002317710|dbj|BCJD01000005.1|-processed-gene-4.79&CDS=1-1524
20	OG0000020	YMR083W, YMR303C, YOL086C	-processed-gene-19.18-mRNA-1_1&gene=genemark-gi|1002317710|dbj|BCJD01000005.1|-processed-gene-19.18&CDS=1-1047, -processed-gene-4.98-mRNA-1_1&gene=genemark-gi|1002317714|dbj|BCJD01000001.1|-processed-gene-4.98&CDS=1-1053, -processed-gene-6.14-mRNA-1_1&gene=genemark-gi|1002317713|dbj|BCJD01000002.1|-processed-gene-6.14&CDS=1-1041, -processed-gene-8.7-mRNA-1_1&gene=genemark-gi|1002317713|dbj|BCJD01000002.1|-processed-gene-8.7&CDS=1-1047
21	OG0000021		-processed-gene-1.0-mRNA-1_1&gene=snap_masked-gi|1002317708|dbj|BCJD01000007.1|-processed-gene-1.0&CDS=1-2112, -processed-gene-19.74-mRNA-1_1&gene=genemark-gi|1002317714|dbj|BCJD01000001.1|-processed-gene-19.74&CDS=1-2097, -processed-gene-3.18-mRNA-1_1&gene=genemark-gi|1002317708|dbj|BCJD01000007.1|-processed-gene-3.18&CDS=1-2157, -processed-gene-3.19-mRNA-1_1&gene=genemark-gi|1002317708|dbj|BCJD01000007.1|-processed-gene-3.19&CDS=1-2151, -processed-gene-3.20-mRNA-1_1&gene=genemark-gi|1002317708|dbj|BCJD01000007.1|-processed-gene-3.20&CDS=1-2106, -processed-gene-3.21-mRNA-1_1&gene=genemark-gi|1002317708|dbj|BCJD01000007.1|-processed-gene-3.21&CDS=1-2064, -processed-gene-4.10-mRNA-1_1&gene=augustus_masked-gi|1002317707|dbj|BCJD01000008.1|-processed-gene-4.10&CDS=1-2358
22	OG0000022	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W	-processed-gene-12.6-mRNA-1_1&gene=genemark-gi|1002317709|dbj|BCJD01000006.1|-processed-gene-12.6&CDS=1-1755
23	OG0000023	YCL069W, YGR224W, YKR105C, YPR198W	-processed-gene-12.27-mRNA-1_1&gene=augustus_masked-gi|1002317710|dbj|BCJD01000005.1|-processed-gene-12.27&CDS=1-1668, -processed-gene-21.55-mRNA-1_1&gene=snap_masked-gi|1002317711|dbj|BCJD01000004.1|-processed-gene-21.55&CDS=1-1722
24	OG0000024	YCR102C, YLR460C, YNL134C	-processed-gene-11.86-mRNA-1_1&gene=augustus_masked-gi|1002317708|dbj|BCJD01000007.1|-processed-gene-11.86&CDS=1-1128, -processed-gene-22.13-mRNA-1_1&gene=snap_masked-gi|1002317711|dbj|BCJD01000004.1|-processed-gene-22.13&CDS=1-999, -processed-gene-29.38-mRNA-1_1&gene=augustus_masked-gi|1002317713|dbj|BCJD01000002.1|-processed-gene-29.38&CDS=1-1014
25	OG0000025	YDR368W, YOR120W	-processed-gene-10.3-mRNA-1_1&gene=genemark-gi|1002317708|dbj|BCJD01000007.1|-processed-gene-10.3&CDS=1-927, -processed-gene-2.72-mRNA-1_1&gene=genemark-gi|1002317703|dbj|BCJD01000012.1|-processed-gene-2.72&CDS=1-927, -processed-gene-27.33-mRNA-1_1&gene=genemark-gi|1002317713|dbj|BCJD01000002.1|-processed-gene-27.33&CDS=1-927, -processed-gene-7.74-mRNA-1_1&gene=genemark-gi|1002317713|dbj|BCJD01000002.1|-processed-gene-7.74&CDS=1-927
26	OG0000026	YDR533C, YMR322C, YOR391C, YPL280W	-processed-gene-1.61-mRNA-1_1&gene=genemark-gi|1002317702|dbj|BCJD01000013.1|-processed-gene-1.61&CDS=1-750, -processed-gene-23.86-mRNA-1_1&gene=genemark-gi|1002317712|dbj|BCJD01000003.1|-processed-gene-23.86&CDS=1-717
27	OG0000027	YIR013C, YLR013W, YMR136W, YPL021W	-processed-gene-4.24-mRNA-1_1&gene=augustus_masked-gi|1002317713|dbj|BCJD01000002.1|-processed-gene-4.24&CDS=1-1446, -processed-gene-4.74-mRNA-1_1&gene=augustus_masked-gi|1002317706|dbj|BCJD01000009.1|-processed-gene-4.74&CDS=1-747
28	OG0000028	YBL017C, YIL173W, YJL222W, YNR065C	-processed-gene-15.61-mRNA-1_1&gene=genemark-gi|1002317714|dbj|BCJD01000001.1|-processed-gene-15.61&CDS=1-2469
29	OG0000029	YBR150C, YOL089C	-processed-gene-28.21-mRNA-1_1&gene=genemark-gi|1002317714|dbj|BCJD01000001.1|-processed-gene-28.21&CDS=1-2532, -processed-gene-4.7-mRNA-1_1&gene=snap_masked-gi|1002317710|dbj|BCJD01000005.1|-processed-gene-4.7&CDS=1-2703, -processed-gene-5.3-mRNA-1_1&gene=snap_masked-gi|1002317711|dbj|BCJD01000004.1|-processed-gene-5.3&CDS=1-1242
30	OG0000030	YBR207W, YER145C	-processed-gene-1.64-mRNA-1_1&gene=genemark-gi|1002317710|dbj|BCJD01000005.1|-processed-gene-1.64&CDS=1-1218, -processed-gene-13.35-mRNA-1_1&gene=genemark-gi|1002317713|dbj|BCJD01000002.1|-processed-gene-13.35&CDS=1-1254, -processed-gene-19.87-mRNA-1_1&gene=genemark-gi|1002317713|dbj|BCJD01000002.1|-processed-gene-19.87&CDS=1-1206
