	OrthologID	Saccharomyces_cerevisiae	yHMPu5000035032_Candida_gatunensis
14	OG0000014	YBR189W, YBR191W, YPL079W, YPL081W	maker-NODE_2_length_793832_cov_33.1037_ID_3-snap-gene-1.53-mRNA-1_1&gene=maker-NODE_2_length_793832_cov_33.1037_ID_3-snap-gene-1.53&CDS=1-993, snap_masked-NODE_18_length_184451_cov_25.83_ID_35-processed-gene-0.103-mRNA-1_1&gene=snap_masked-NODE_18_length_184451_cov_25.83_ID_35-processed-gene-0.103&CDS=1-480
15	OG0000015	YBR207W, YER145C	snap_masked-NODE_10_length_430571_cov_33.053_ID_19-processed-gene-1.84-mRNA-1_1&gene=snap_masked-NODE_10_length_430571_cov_33.053_ID_19-processed-gene-1.84&CDS=1-1179, snap_masked-NODE_15_length_321391_cov_37.3759_ID_29-processed-gene-1.48-mRNA-1_1&gene=snap_masked-NODE_15_length_321391_cov_37.3759_ID_29-processed-gene-1.48&CDS=1-1212, snap_masked-NODE_8_length_599434_cov_35.5304_ID_15-processed-gene-4.274-mRNA-1_1&gene=snap_masked-NODE_8_length_599434_cov_35.5304_ID_15-processed-gene-4.274&CDS=1-1227, snap_masked-NODE_9_length_512528_cov_38.4928_ID_17-processed-gene-3.90-mRNA-1_1&gene=snap_masked-NODE_9_length_512528_cov_38.4928_ID_17-processed-gene-3.90&CDS=1-1179
16	OG0000016	YBR298C, YDL247W, YGR289C, YJR160C	snap_masked-NODE_15_length_321391_cov_37.3759_ID_29-processed-gene-1.15-mRNA-1_1&gene=snap_masked-NODE_15_length_321391_cov_37.3759_ID_29-processed-gene-1.15&CDS=1-1752, snap_masked-NODE_2_length_793832_cov_33.1037_ID_3-processed-gene-5.114-mRNA-1_1&gene=snap_masked-NODE_2_length_793832_cov_33.1037_ID_3-processed-gene-5.114&CDS=1-1746
17	OG0000017	YCL069W, YGR224W, YKR105C, YPR198W	maker-NODE_13_length_362616_cov_35.2913_ID_25-snap-gene-2.192-mRNA-1_1&gene=maker-NODE_13_length_362616_cov_35.2913_ID_25-snap-gene-2.192&CDS=1-3453, snap_masked-NODE_3_length_787651_cov_25.538_ID_5-processed-gene-6.121-mRNA-1_1&gene=snap_masked-NODE_3_length_787651_cov_25.538_ID_5-processed-gene-6.121&CDS=1-1746
18	OG0000018	YCR102C, YLR460C, YNL134C	maker-NODE_9_length_512528_cov_38.4928_ID_17-snap-gene-2.1-mRNA-1_1&gene=maker-NODE_9_length_512528_cov_38.4928_ID_17-snap-gene-2.1&CDS=1-4245, snap_masked-NODE_28_length_43072_cov_45.1117_ID_55-processed-gene-0.16-mRNA-1_1&gene=snap_masked-NODE_28_length_43072_cov_45.1117_ID_55-processed-gene-0.16&CDS=1-1092, snap_masked-NODE_9_length_512528_cov_38.4928_ID_17-processed-gene-3.73-mRNA-1_1&gene=snap_masked-NODE_9_length_512528_cov_38.4928_ID_17-processed-gene-3.73&CDS=1-1113
19	OG0000019	YDR342C, YDR343C, YDR345C, YHR092C	snap_masked-NODE_15_length_321391_cov_37.3759_ID_29-processed-gene-0.41-mRNA-1_1&gene=snap_masked-NODE_15_length_321391_cov_37.3759_ID_29-processed-gene-0.41&CDS=1-1659, snap_masked-NODE_15_length_321391_cov_37.3759_ID_29-processed-gene-1.29-mRNA-1_1&gene=snap_masked-NODE_15_length_321391_cov_37.3759_ID_29-processed-gene-1.29&CDS=1-1656
20	OG0000020	YER054C, YIL045W, YLR273C, YOR178C	snap_masked-NODE_1_length_1143824_cov_34.5486_ID_1-processed-gene-3.48-mRNA-1_1&gene=snap_masked-NODE_1_length_1143824_cov_34.5486_ID_1-processed-gene-3.48&CDS=1-1680, snap_masked-NODE_9_length_512528_cov_38.4928_ID_17-processed-gene-4.94-mRNA-1_1&gene=snap_masked-NODE_9_length_512528_cov_38.4928_ID_17-processed-gene-4.94&CDS=1-1950
21	OG0000021	YIL126W, YKR008W, YOR290C	augustus_masked-NODE_15_length_321391_cov_37.3759_ID_29-processed-gene-0.89-mRNA-1_1&gene=augustus_masked-NODE_15_length_321391_cov_37.3759_ID_29-processed-gene-0.89&CDS=1-1728, snap_masked-NODE_20_length_158291_cov_25.8963_ID_39-processed-gene-0.10-mRNA-1_1&gene=snap_masked-NODE_20_length_158291_cov_25.8963_ID_39-processed-gene-0.10&CDS=1-3711, snap_masked-NODE_5_length_653611_cov_35.0472_ID_9-processed-gene-3.64-mRNA-1_1&gene=snap_masked-NODE_5_length_653611_cov_35.0472_ID_9-processed-gene-3.64&CDS=1-4779
22	OG0000022	YKR064W, YLR256W	augustus_masked-NODE_3_length_787651_cov_25.538_ID_5-processed-gene-6.16-mRNA-1_1&gene=augustus_masked-NODE_3_length_787651_cov_25.538_ID_5-processed-gene-6.16&CDS=1-6528, snap_masked-NODE_11_length_425398_cov_34.283_ID_21-processed-gene-2.112-mRNA-1_1&gene=snap_masked-NODE_11_length_425398_cov_34.283_ID_21-processed-gene-2.112&CDS=1-2673, snap_masked-NODE_1_length_1143824_cov_34.5486_ID_1-processed-gene-10.41-mRNA-1_1&gene=snap_masked-NODE_1_length_1143824_cov_34.5486_ID_1-processed-gene-10.41&CDS=1-2889, snap_masked-NODE_7_length_601681_cov_28.4028_ID_13-processed-gene-1.163-mRNA-1_1&gene=snap_masked-NODE_7_length_601681_cov_28.4028_ID_13-processed-gene-1.163&CDS=1-3156
23	OG0000023	YNL239W, YOR153W	genemark-NODE_6_length_610689_cov_25.7818_ID_11-processed-gene-0.119-mRNA-1_1&gene=genemark-NODE_6_length_610689_cov_25.7818_ID_11-processed-gene-0.119&CDS=1-5631, snap_masked-NODE_10_length_430571_cov_33.053_ID_19-processed-gene-1.86-mRNA-1_1&gene=snap_masked-NODE_10_length_430571_cov_33.053_ID_19-processed-gene-1.86&CDS=1-4461, snap_masked-NODE_20_length_158291_cov_25.8963_ID_39-processed-gene-0.51-mRNA-1_1&gene=snap_masked-NODE_20_length_158291_cov_25.8963_ID_39-processed-gene-0.51&CDS=1-4509, snap_masked-NODE_3_length_787651_cov_25.538_ID_5-processed-gene-2.62-mRNA-1_1&gene=snap_masked-NODE_3_length_787651_cov_25.538_ID_5-processed-gene-2.62&CDS=1-1530
24	OG0000024	YAL019W, YLL057C	augustus_masked-NODE_11_length_425398_cov_34.283_ID_21-processed-gene-2.116-mRNA-1_1&gene=augustus_masked-NODE_11_length_425398_cov_34.283_ID_21-processed-gene-2.116&CDS=1-1164, augustus_masked-NODE_1_length_1143824_cov_34.5486_ID_1-processed-gene-10.103-mRNA-1_1&gene=augustus_masked-NODE_1_length_1143824_cov_34.5486_ID_1-processed-gene-10.103&CDS=1-4167, snap_masked-NODE_5_length_653611_cov_35.0472_ID_9-processed-gene-5.10-mRNA-1_1&gene=snap_masked-NODE_5_length_653611_cov_35.0472_ID_9-processed-gene-5.10&CDS=1-1125
25	OG0000025	YBL017C, YIL173W, YJL222W, YNR065C	maker-NODE_6_length_610689_cov_25.7818_ID_11-augustus-gene-1.46-mRNA-1_1&gene=maker-NODE_6_length_610689_cov_25.7818_ID_11-augustus-gene-1.46&CDS=1-4956
26	OG0000026	YBL089W, YER119C, YIL088C	maker-NODE_11_length_425398_cov_34.283_ID_21-snap-gene-3.212-mRNA-1_1&gene=maker-NODE_11_length_425398_cov_34.283_ID_21-snap-gene-3.212&CDS=1-1941, maker-NODE_5_length_653611_cov_35.0472_ID_9-snap-gene-2.172-mRNA-1_1&gene=maker-NODE_5_length_653611_cov_35.0472_ID_9-snap-gene-2.172&CDS=1-1443
27	OG0000027	YBR010W, YNL031C	snap_masked-NODE_1_length_1143824_cov_34.5486_ID_1-processed-gene-8.66-mRNA-1_1&gene=snap_masked-NODE_1_length_1143824_cov_34.5486_ID_1-processed-gene-8.66&CDS=1-408, snap_masked-NODE_4_length_670283_cov_33.1529_ID_7-processed-gene-5.174-mRNA-1_1&gene=snap_masked-NODE_4_length_670283_cov_33.1529_ID_7-processed-gene-5.174&CDS=1-408, snap_masked-NODE_7_length_601681_cov_28.4028_ID_13-processed-gene-0.132-mRNA-1_1&gene=snap_masked-NODE_7_length_601681_cov_28.4028_ID_13-processed-gene-0.132&CDS=1-408
28	OG0000028	YBR015C, YJL186W	augustus_masked-NODE_14_length_357940_cov_25.5952_ID_27-processed-gene-2.144-mRNA-1_1&gene=augustus_masked-NODE_14_length_357940_cov_25.5952_ID_27-processed-gene-2.144&CDS=1-2178, snap_masked-NODE_10_length_430571_cov_33.053_ID_19-processed-gene-0.55-mRNA-1_1&gene=snap_masked-NODE_10_length_430571_cov_33.053_ID_19-processed-gene-0.55&CDS=1-1671, snap_masked-NODE_17_length_192123_cov_33.9301_ID_33-processed-gene-0.222-mRNA-1_1&gene=snap_masked-NODE_17_length_192123_cov_33.9301_ID_33-processed-gene-0.222&CDS=1-1455
29	OG0000029	YBR297W, YFL052W, YGR288W, YPR196W	snap_masked-NODE_8_length_599434_cov_35.5304_ID_15-processed-gene-0.7-mRNA-1_1&gene=snap_masked-NODE_8_length_599434_cov_35.5304_ID_15-processed-gene-0.7&CDS=1-1914
30	OG0000030	YCL036W, YDR514C	augustus_masked-NODE_16_length_220665_cov_46.5903_ID_31-processed-gene-0.87-mRNA-1_1&gene=augustus_masked-NODE_16_length_220665_cov_46.5903_ID_31-processed-gene-0.87&CDS=1-555, augustus_masked-NODE_4_length_670283_cov_33.1529_ID_7-processed-gene-5.251-mRNA-1_1&gene=augustus_masked-NODE_4_length_670283_cov_33.1529_ID_7-processed-gene-5.251&CDS=1-903, maker-NODE_7_length_601681_cov_28.4028_ID_13-snap-gene-0.89-mRNA-1_1&gene=maker-NODE_7_length_601681_cov_28.4028_ID_13-snap-gene-0.89&CDS=1-1167
31	OG0000031	YCR010C, YNR002C	snap_masked-NODE_15_length_321391_cov_37.3759_ID_29-processed-gene-2.160-mRNA-1_1&gene=snap_masked-NODE_15_length_321391_cov_37.3759_ID_29-processed-gene-2.160&CDS=1-783, snap_masked-NODE_18_length_184451_cov_25.83_ID_35-processed-gene-0.69-mRNA-1_1&gene=snap_masked-NODE_18_length_184451_cov_25.83_ID_35-processed-gene-0.69&CDS=1-774, snap_masked-NODE_5_length_653611_cov_35.0472_ID_9-processed-gene-4.48-mRNA-1_1&gene=snap_masked-NODE_5_length_653611_cov_35.0472_ID_9-processed-gene-4.48&CDS=1-789
32	OG0000032	YCR037C, YJL198W, YNR013C	snap_masked-NODE_12_length_397345_cov_26.076_ID_23-processed-gene-1.29-mRNA-1_1&gene=snap_masked-NODE_12_length_397345_cov_26.076_ID_23-processed-gene-1.29&CDS=1-2823, snap_masked-NODE_3_length_787651_cov_25.538_ID_5-processed-gene-2.104-mRNA-1_1&gene=snap_masked-NODE_3_length_787651_cov_25.538_ID_5-processed-gene-2.104&CDS=1-2511
33	OG0000033	YDL072C, YKL065C, YMR040W	augustus_masked-NODE_16_length_220665_cov_46.5903_ID_31-processed-gene-1.142-mRNA-1_1&gene=augustus_masked-NODE_16_length_220665_cov_46.5903_ID_31-processed-gene-1.142&CDS=1-552, genemark-NODE_19_length_175028_cov_43.2758_ID_37-processed-gene-0.225-mRNA-1_1&gene=genemark-NODE_19_length_175028_cov_43.2758_ID_37-processed-gene-0.225&CDS=1-564
