	OrthologID	Saccharomyces_cerevisiae	Spathaspora_gorwiae
10	OG0000010		augustus_masked-LQMZ01000808.1-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-LQMZ01000808.1-processed-gene-0.2&CDS=1-954, augustus_masked-LQMZ01001042.1-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-LQMZ01001042.1-processed-gene-0.4&CDS=1-1344, augustus_masked-LQMZ01001478.1-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-LQMZ01001478.1-processed-gene-0.3&CDS=1-1071, augustus_masked-LQMZ01001834.1-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-LQMZ01001834.1-processed-gene-0.5&CDS=1-4464, augustus_masked-LQMZ01001935.1-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-LQMZ01001935.1-processed-gene-0.7&CDS=1-231, augustus_masked-LQMZ01002498.1-processed-gene-0.11-mRNA-1_1&gene=augustus_masked-LQMZ01002498.1-processed-gene-0.11&CDS=1-1656, augustus_masked-LQMZ01002505.1-processed-gene-0.45-mRNA-1_1&gene=augustus_masked-LQMZ01002505.1-processed-gene-0.45&CDS=1-3870, snap_masked-LQMZ01000761.1-processed-gene-0.3-mRNA-1_1&gene=snap_masked-LQMZ01000761.1-processed-gene-0.3&CDS=1-642, snap_masked-LQMZ01001190.1-processed-gene-0.16-mRNA-1_1&gene=snap_masked-LQMZ01001190.1-processed-gene-0.16&CDS=1-177
11	OG0000011	YBR297W, YFL052W, YGR288W, YPR196W	augustus_masked-LQMZ01000515.1-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-LQMZ01000515.1-processed-gene-0.4&CDS=1-1659, augustus_masked-LQMZ01001163.1-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-LQMZ01001163.1-processed-gene-0.0&CDS=1-1659, augustus_masked-LQMZ01002156.1-processed-gene-0.18-mRNA-1_1&gene=augustus_masked-LQMZ01002156.1-processed-gene-0.18&CDS=1-1659, maker-LQMZ01002108.1-snap-gene-0.2-mRNA-1_1&gene=maker-LQMZ01002108.1-snap-gene-0.2&CDS=1-2130
12	OG0000012	YDR144C, YEL029C, YLR120C, YLR121C	maker-LQMZ01000001.1-augustus-gene-0.8-mRNA-1_1&gene=maker-LQMZ01000001.1-augustus-gene-0.8&CDS=1-2727, maker-LQMZ01001287.1-snap-gene-0.1-mRNA-1_1&gene=maker-LQMZ01001287.1-snap-gene-0.1&CDS=1-3207, maker-LQMZ01001287.1-snap-gene-0.2-mRNA-1_1&gene=maker-LQMZ01001287.1-snap-gene-0.2&CDS=1-1308, snap_masked-LQMZ01001707.1-processed-gene-0.7-mRNA-1_1&gene=snap_masked-LQMZ01001707.1-processed-gene-0.7&CDS=1-1140
13	OG0000013		augustus_masked-LQMZ01001042.1-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-LQMZ01001042.1-processed-gene-0.5&CDS=1-1272, augustus_masked-LQMZ01001461.1-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-LQMZ01001461.1-processed-gene-0.0&CDS=1-2718, augustus_masked-LQMZ01001902.1-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-LQMZ01001902.1-processed-gene-0.15&CDS=1-807, augustus_masked-LQMZ01002135.1-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-LQMZ01002135.1-processed-gene-0.6&CDS=1-1302, augustus_masked-LQMZ01002295.1-processed-gene-0.15-mRNA-1_1&gene=augustus_masked-LQMZ01002295.1-processed-gene-0.15&CDS=1-1593, snap_masked-LQMZ01000110.1-processed-gene-0.2-mRNA-1_1&gene=snap_masked-LQMZ01000110.1-processed-gene-0.2&CDS=1-447, snap_masked-LQMZ01001948.1-processed-gene-0.16-mRNA-1_1&gene=snap_masked-LQMZ01001948.1-processed-gene-0.16&CDS=1-738, snap_masked-LQMZ01002269.1-processed-gene-0.1-mRNA-1_1&gene=snap_masked-LQMZ01002269.1-processed-gene-0.1&CDS=1-282
14	OG0000014	YAR071W, YBR092C, YBR093C, YDL024C, YHR215W	augustus_masked-LQMZ01002234.1-processed-gene-0.8-mRNA-1_1&gene=augustus_masked-LQMZ01002234.1-processed-gene-0.8&CDS=1-1383, genemark-LQMZ01002234.1-processed-gene-0.39-mRNA-1_1&gene=genemark-LQMZ01002234.1-processed-gene-0.39&CDS=1-1389
15	OG0000015	YHR179W, YPL171C	augustus_masked-LQMZ01000298.1-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-LQMZ01000298.1-processed-gene-0.2&CDS=1-639, augustus_masked-LQMZ01001463.1-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-LQMZ01001463.1-processed-gene-0.4&CDS=1-1188, augustus_masked-LQMZ01002217.1-processed-gene-0.28-mRNA-1_1&gene=augustus_masked-LQMZ01002217.1-processed-gene-0.28&CDS=1-1212, augustus_masked-LQMZ01002420.1-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-LQMZ01002420.1-processed-gene-0.0&CDS=1-1212, maker-LQMZ01002145.1-augustus-gene-0.1-mRNA-1_1&gene=maker-LQMZ01002145.1-augustus-gene-0.1&CDS=1-2421
16	OG0000016	YJL158C, YJL159W, YJL160C, YKL163W, YKL164C	augustus_masked-LQMZ01000085.1-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-LQMZ01000085.1-processed-gene-0.0&CDS=1-1617, augustus_masked-LQMZ01002231.1-processed-gene-0.110-mRNA-1_1&gene=augustus_masked-LQMZ01002231.1-processed-gene-0.110&CDS=1-783
17	OG0000017		augustus_masked-LQMZ01000023.1-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-LQMZ01000023.1-processed-gene-0.1&CDS=1-2154, augustus_masked-LQMZ01001532.1-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-LQMZ01001532.1-processed-gene-0.4&CDS=1-2226, augustus_masked-LQMZ01002112.1-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-LQMZ01002112.1-processed-gene-0.3&CDS=1-2166, augustus_masked-LQMZ01002299.1-processed-gene-0.32-mRNA-1_1&gene=augustus_masked-LQMZ01002299.1-processed-gene-0.32&CDS=1-2163, augustus_masked-LQMZ01002505.1-processed-gene-0.47-mRNA-1_1&gene=augustus_masked-LQMZ01002505.1-processed-gene-0.47&CDS=1-2151, genemark-LQMZ01002251.1-processed-gene-0.32-mRNA-1_1&gene=genemark-LQMZ01002251.1-processed-gene-0.32&CDS=1-2100, maker-LQMZ01000929.1-snap-gene-0.9-mRNA-1_1&gene=maker-LQMZ01000929.1-snap-gene-0.9&CDS=1-4521
18	OG0000018	YBR067C, YDR542W, YER011W, YIL011W, YOR010C	genemark-LQMZ01001710.1-processed-gene-0.26-mRNA-1_1&gene=genemark-LQMZ01001710.1-processed-gene-0.26&CDS=1-555
19	OG0000019	YBR298C, YDL247W, YGR289C, YJR160C	augustus_masked-LQMZ01001928.1-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-LQMZ01001928.1-processed-gene-0.0&CDS=1-1743, augustus_masked-LQMZ01002358.1-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-LQMZ01002358.1-processed-gene-0.0&CDS=1-1728
20	OG0000020	YCL024W, YDR507C, YKL101W	augustus_masked-LQMZ01002032.1-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-LQMZ01002032.1-processed-gene-0.2&CDS=1-3888, augustus_masked-LQMZ01002101.1-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-LQMZ01002101.1-processed-gene-0.2&CDS=1-657, augustus_masked-LQMZ01002374.1-processed-gene-0.29-mRNA-1_1&gene=augustus_masked-LQMZ01002374.1-processed-gene-0.29&CDS=1-4350
21	OG0000021	YCL069W, YGR224W, YKR105C, YPR198W	augustus_masked-LQMZ01000651.1-processed-gene-0.29-mRNA-1_1&gene=augustus_masked-LQMZ01000651.1-processed-gene-0.29&CDS=1-1932, augustus_masked-LQMZ01002024.1-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-LQMZ01002024.1-processed-gene-0.2&CDS=1-1884
22	OG0000022	YGR109W-A, YGR109W-B, YIL082W, YIL082W-A	genemark-LQMZ01000361.1-processed-gene-0.2-mRNA-1_1&gene=genemark-LQMZ01000361.1-processed-gene-0.2&CDS=1-1671, genemark-LQMZ01000424.1-processed-gene-0.1-mRNA-1_1&gene=genemark-LQMZ01000424.1-processed-gene-0.1&CDS=1-4185
23	OG0000023	YGR197C, YJR015W	augustus_masked-LQMZ01000725.1-processed-gene-0.10-mRNA-1_1&gene=augustus_masked-LQMZ01000725.1-processed-gene-0.10&CDS=1-1545, augustus_masked-LQMZ01000801.1-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-LQMZ01000801.1-processed-gene-0.2&CDS=1-1491, augustus_masked-LQMZ01002341.1-processed-gene-0.16-mRNA-1_1&gene=augustus_masked-LQMZ01002341.1-processed-gene-0.16&CDS=1-1647, augustus_masked-LQMZ01002341.1-processed-gene-0.17-mRNA-1_1&gene=augustus_masked-LQMZ01002341.1-processed-gene-0.17&CDS=1-1779
24	OG0000024	YMR180C, YPL228W	augustus_masked-LQMZ01001072.1-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-LQMZ01001072.1-processed-gene-0.4&CDS=1-1614, snap_masked-LQMZ01000508.1-processed-gene-0.1-mRNA-1_1&gene=snap_masked-LQMZ01000508.1-processed-gene-0.1&CDS=1-432, snap_masked-LQMZ01002234.1-processed-gene-0.95-mRNA-1_1&gene=snap_masked-LQMZ01002234.1-processed-gene-0.95&CDS=1-846, snap_masked-LQMZ01002234.1-processed-gene-0.96-mRNA-1_1&gene=snap_masked-LQMZ01002234.1-processed-gene-0.96&CDS=1-684
25	OG0000025	YNL216W	augustus_masked-LQMZ01000057.1-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-LQMZ01000057.1-processed-gene-0.5&CDS=1-1122, augustus_masked-LQMZ01002125.1-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-LQMZ01002125.1-processed-gene-0.5&CDS=1-1125, augustus_masked-LQMZ01002256.1-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-LQMZ01002256.1-processed-gene-0.5&CDS=1-441, genemark-LQMZ01002419.1-processed-gene-0.17-mRNA-1_1&gene=genemark-LQMZ01002419.1-processed-gene-0.17&CDS=1-1671, maker-LQMZ01000746.1-augustus-gene-0.1-mRNA-1_1&gene=maker-LQMZ01000746.1-augustus-gene-0.1&CDS=1-2517
26	OG0000026	YBL017C, YIL173W, YJL222W, YNR065C	augustus_masked-LQMZ01000877.1-processed-gene-0.6-mRNA-1_1&gene=augustus_masked-LQMZ01000877.1-processed-gene-0.6&CDS=1-4758
27	OG0000027	YBR089C-A, YKL032C, YMR072W, YPR052C	augustus_masked-LQMZ01000867.1-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-LQMZ01000867.1-processed-gene-0.0&CDS=1-282
28	OG0000028	YBR173C	augustus_masked-LQMZ01000222.1-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-LQMZ01000222.1-processed-gene-0.2&CDS=1-1149, augustus_masked-LQMZ01000481.1-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-LQMZ01000481.1-processed-gene-0.0&CDS=1-1149, genemark-LQMZ01000218.1-processed-gene-0.4-mRNA-1_1&gene=genemark-LQMZ01000218.1-processed-gene-0.4&CDS=1-1446, genemark-LQMZ01000831.1-processed-gene-0.6-mRNA-1_1&gene=genemark-LQMZ01000831.1-processed-gene-0.6&CDS=1-1491
29	OG0000029	YCR037C, YJL198W, YNR013C	augustus_masked-LQMZ01000655.1-processed-gene-0.12-mRNA-1_1&gene=augustus_masked-LQMZ01000655.1-processed-gene-0.12&CDS=1-2883, genemark-LQMZ01001005.1-processed-gene-0.1-mRNA-1_1&gene=genemark-LQMZ01001005.1-processed-gene-0.1&CDS=1-2544
30	OG0000030	YCR102C, YLR460C, YNL134C	augustus_masked-LQMZ01000677.1-processed-gene-0.28-mRNA-1_1&gene=augustus_masked-LQMZ01000677.1-processed-gene-0.28&CDS=1-1089, maker-LQMZ01001911.1-augustus-gene-0.5-mRNA-1_1&gene=maker-LQMZ01001911.1-augustus-gene-0.5&CDS=1-1896
31	OG0000031	YDL138W, YDL194W	augustus_masked-LQMZ01002372.1-processed-gene-0.1-mRNA-1_1&gene=augustus_masked-LQMZ01002372.1-processed-gene-0.1&CDS=1-1575, genemark-LQMZ01002410.1-processed-gene-0.20-mRNA-1_1&gene=genemark-LQMZ01002410.1-processed-gene-0.20&CDS=1-2226, snap_masked-LQMZ01002372.1-processed-gene-0.11-mRNA-1_1&gene=snap_masked-LQMZ01002372.1-processed-gene-0.11&CDS=1-1575
32	OG0000032	YDR034C, YML099C	augustus_masked-LQMZ01000908.1-processed-gene-0.85-mRNA-1_1&gene=augustus_masked-LQMZ01000908.1-processed-gene-0.85&CDS=1-2061, augustus_masked-LQMZ01002316.1-processed-gene-0.7-mRNA-1_1&gene=augustus_masked-LQMZ01002316.1-processed-gene-0.7&CDS=1-2613, maker-LQMZ01002316.1-augustus-gene-0.3-mRNA-1_1&gene=maker-LQMZ01002316.1-augustus-gene-0.3&CDS=1-4890
33	OG0000033	YDR038C, YDR039C, YDR040C	augustus_masked-LQMZ01001884.1-processed-gene-0.35-mRNA-1_1&gene=augustus_masked-LQMZ01001884.1-processed-gene-0.35&CDS=1-3288, genemark-LQMZ01001845.1-processed-gene-0.3-mRNA-1_1&gene=genemark-LQMZ01001845.1-processed-gene-0.3&CDS=1-3174
34	OG0000034	YDR489W	augustus_masked-LQMZ01000002.1-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-LQMZ01000002.1-processed-gene-0.4&CDS=1-633, augustus_masked-LQMZ01000219.1-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-LQMZ01000219.1-processed-gene-0.2&CDS=1-747, augustus_masked-LQMZ01000472.1-processed-gene-0.0-mRNA-1_1&gene=augustus_masked-LQMZ01000472.1-processed-gene-0.0&CDS=1-747, augustus_masked-LQMZ01000905.1-processed-gene-0.4-mRNA-1_1&gene=augustus_masked-LQMZ01000905.1-processed-gene-0.4&CDS=1-747
35	OG0000035	YFL050C, YOL130W	augustus_masked-LQMZ01000327.1-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-LQMZ01000327.1-processed-gene-0.13&CDS=1-1749, augustus_masked-LQMZ01001091.1-processed-gene-0.2-mRNA-1_1&gene=augustus_masked-LQMZ01001091.1-processed-gene-0.2&CDS=1-1416, augustus_masked-LQMZ01002223.1-processed-gene-0.13-mRNA-1_1&gene=augustus_masked-LQMZ01002223.1-processed-gene-0.13&CDS=1-1416
36	OG0000036	YGR209C, YLR043C, YOL088C	augustus_masked-LQMZ01000327.1-processed-gene-0.14-mRNA-1_1&gene=augustus_masked-LQMZ01000327.1-processed-gene-0.14&CDS=1-1104, augustus_masked-LQMZ01002144.1-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-LQMZ01002144.1-processed-gene-0.5&CDS=1-309
37	OG0000037	YHR115C, YNL116W	augustus_masked-LQMZ01000515.1-processed-gene-0.5-mRNA-1_1&gene=augustus_masked-LQMZ01000515.1-processed-gene-0.5&CDS=1-1389, augustus_masked-LQMZ01001163.1-processed-gene-0.3-mRNA-1_1&gene=augustus_masked-LQMZ01001163.1-processed-gene-0.3&CDS=1-1389, augustus_masked-LQMZ01002156.1-processed-gene-0.22-mRNA-1_1&gene=augustus_masked-LQMZ01002156.1-processed-gene-0.22&CDS=1-1389
